Oral Roberts,197,Oklahoma State,198
3:19,197,Mitchell Solomon made Jumper.,27,37
2:59,198,Javan White Turnover.,27,37
2:38,197,Mitchell Solomon made Dunk. Assisted by Brandon Averette.,27,39
2:06,198,Javan White Turnover.,27,39
1:53,197,Brandon Averette missed Jumper.,27,39
1:53,198,Emmanuel Nzekwesi Defensive Rebound.,27,39
1:28,198,Albert Owens missed Jumper.,27,39
1:28,197,Mitchell Solomon Defensive Rebound.,27,39
1:27,198,Foul on Emmanuel Nzekwesi.,27,39
1:15,197,Thomas Dziagwa Turnover.,27,39
0:43,198,Austin Ruder missed Jumper.,27,39
0:43,197,Lindy Waters III Defensive Rebound.,27,39
0:33,197,Brandon Averette made Jumper.,27,41
0:33,198,Foul on Sam Kearns.,27,41
0:33,197,Brandon Averette made Free Throw.,27,42
0:23,198,Sam Kearns Turnover.,27,42
0:04,197,Brandon Averette missed Jumper.,27,42
0:04,197,Tavarius Shine Offensive Rebound.,27,42
0:03,197,Tavarius Shine missed Layup.,27,42
0:03,197,Lindy Waters III Offensive Rebound.,27,42
0:01,197,Lindy Waters III made Layup.,27,44
0:00,197,End of 1st half,27,42
19:49,198,R.J. Fuqua made Layup.,29,44
19:28,198,Foul on Sam Kearns.,29,44
19:13,197,Lindy Waters III made Three Point Jumper. Assisted by Kendall Smith.,29,47
18:56,198,Javan White missed Layup.,29,47
18:56,197,Mitchell Solomon Block.,29,47
18:55,197,Mitchell Solomon Defensive Rebound.,29,47
18:29,197,Tavarius Shine made Three Point Jumper. Assisted by Kendall Smith.,29,50
18:06,198,Foul on Albert Owens.,29,50
18:06,198,Albert Owens Turnover.,29,50
17:42,197,Kendall Smith Turnover.,29,50
17:31,197,Foul on Lucas N'Guessan.,29,50
17:28,198,Austin Ruder missed Jumper.,29,50
17:28,197,Tavarius Shine Defensive Rebound.,29,50
17:20,197,Lindy Waters III missed Three Point Jumper.,29,50
17:20,198,R.J. Fuqua Defensive Rebound.,29,50
17:10,198,Javan White missed Layup.,29,50
17:10,197,Mitchell Solomon Defensive Rebound.,29,50
17:01,197,Foul on Kendall Smith.,29,50
17:01,197,Kendall Smith Turnover.,29,50
16:34,198,Austin Ruder missed Three Point Jumper.,29,50
16:34,198,Albert Owens Offensive Rebound.,29,50
16:30,198,Albert Owens missed Layup.,29,50
16:30,198,Emmanuel Nzekwesi Offensive Rebound.,29,50
16:28,197,Foul on Cameron McGriff.,29,50
16:27,198,Emmanuel Nzekwesi made Free Throw.,30,50
16:27,198,Emmanuel Nzekwesi missed Free Throw.,30,50
16:27,197,Cameron McGriff Defensive Rebound.,30,50
16:21,197,Tavarius Shine made Three Point Jumper. Assisted by Brandon Averette.,30,53
16:14,198,Austin Ruder missed Three Point Jumper.,30,53
16:14,197,Brandon Averette Defensive Rebound.,30,53
16:07,197,Brandon Averette made Jumper.,30,55
15:59,198,Albert Owens made Dunk. Assisted by Sam Kearns.,32,55
15:29,197,Brandon Averette missed Three Point Jumper.,32,55
15:29,198,Oral Roberts Defensive Rebound.,32,55
15:15,198,Javan White missed Layup.,32,55
15:15,197,Lindy Waters III Defensive Rebound.,32,55
15:03,197,Tavarius Shine missed Three Point Jumper.,32,55
15:03,197,Tavarius Shine Offensive Rebound.,32,55
14:46,197,Kendall Smith missed Three Point Jumper.,32,55
14:46,197,Brandon Averette Offensive Rebound.,32,55
14:31,197,Lindy Waters III missed Three Point Jumper.,32,55
14:31,197,Lindy Waters III Offensive Rebound.,32,55
14:08,197,Cameron McGriff made Layup.,32,57
13:34,198,Javan White missed Layup.,32,57
13:34,198,Emmanuel Nzekwesi Offensive Rebound.,32,57
13:31,198,Emmanuel Nzekwesi made Layup.,34,57
13:12,197,Kendall Smith made Dunk. Assisted by Tavarius Shine.,34,59
12:57,198,Sam Kearns Turnover.,34,59
12:39,197,Zack Dawson missed Three Point Jumper.,34,59
12:39,198,Emmanuel Nzekwesi Defensive Rebound.,34,59
12:24,198,Austin Ruder Turnover.,34,59
12:23,197,Tavarius Shine Steal.,34,59
12:18,197,Zack Dawson made Layup. Assisted by Tavarius Shine.,34,61
12:18,198,Foul on Sam Kearns.,34,61
12:18,197,Zack Dawson missed Free Throw.,34,61
12:18,197,Cameron McGriff Offensive Rebound.,34,61
12:14,197,Cameron McGriff Turnover.,34,61
11:54,198,Foul on Sam Kearns.,34,61
11:54,197,Official TV Timeout,34,61
11:17,197,Brandon Averette made Three Point Jumper.,34,64
10:53,198,Emmanuel Nzekwesi missed Three Point Jumper.,34,64
10:53,197,Zack Dawson Defensive Rebound.,34,64
10:44,197,Tavarius Shine missed Three Point Jumper.,34,64
10:44,197,Tavarius Shine Offensive Rebound.,34,64
10:38,197,Zack Dawson missed Three Point Jumper.,34,64
10:38,198,Jontray Harris Defensive Rebound.,34,64
10:28,198,Chris Miller made Layup.,36,64
10:17,197,Brandon Averette made Jumper.,36,66
9:59,198,R.J. Fuqua Turnover.,36,66
9:58,197,Brandon Averette Steal.,36,66
9:57,197,Cameron McGriff made Dunk. Assisted by Brandon Averette.,36,68
9:43,198,R.J. Fuqua missed Layup.,36,68
9:43,198,Chris Miller Offensive Rebound.,36,68
9:39,198,Chris Miller missed Layup.,36,68
9:39,198,Jontray Harris Offensive Rebound.,36,68
9:16,198,Jontray Harris missed Layup.,36,68
9:16,197,Mitchell Solomon Defensive Rebound.,36,68
9:16,197,Zack Dawson made Layup. Assisted by Brandon Averette.,36,70
9:16,198,Emmanuel Nzekwesi missed Jumper.,36,70
9:16,197,Brandon Averette Defensive Rebound.,36,70
9:14,197,Lucas N'Guessan missed Three Point Jumper.,36,70
9:14,197,Cameron McGriff Offensive Rebound.,36,70
9:04,197,Thomas Dziagwa missed Three Point Jumper.,36,70
9:04,197,Lucas N'Guessan Offensive Rebound.,36,70
8:45,197,Brandon Averette missed Jumper.,36,70
8:45,198,Austin Ruder Defensive Rebound.,36,70
8:28,198,Chris Miller missed Jumper.,36,70
8:28,197,Lucas N'Guessan Defensive Rebound.,36,70
8:22,197,Thomas Dziagwa missed Three Point Jumper.,36,70
8:22,197,Cameron McGriff Offensive Rebound.,36,70
8:18,197,Cameron McGriff missed Three Point Jumper.,36,70
8:18,198,Austin Ruder Defensive Rebound.,36,70
7:29,198,Austin Ruder missed Three Point Jumper.,36,70
7:29,197,Lucas N'Guessan Defensive Rebound.,36,70
7:21,197,Thomas Dziagwa made Three Point Jumper. Assisted by Zack Dawson.,36,73
6:57,198,Austin Ruder missed Three Point Jumper.,36,73
6:57,197,Cameron McGriff Defensive Rebound.,36,73
6:32,197,Cameron McGriff made Jumper. Assisted by Brandon Averette.,36,75
6:10,198,Albert Owens missed Jumper.,36,75
6:10,197,Lucas N'Guessan Defensive Rebound.,36,75
6:01,197,Brandon Averette missed Three Point Jumper.,36,75
6:01,197,Lucas N'Guessan Offensive Rebound.,36,75
5:41,198,Foul on Chris Miller.,36,75
5:41,197,Lucas N'Guessan made Free Throw.,36,76
5:41,197,Lucas N'Guessan missed Free Throw.,36,76
5:41,198,R.J. Fuqua Defensive Rebound.,36,76
5:25,198,Javan White missed Jumper.,36,76
5:25,197,Lucas N'Guessan Block.,36,76
5:23,197,Cameron McGriff Defensive Rebound.,36,76
5:19,197,Cameron McGriff made Dunk. Assisted by Zack Dawson.,36,78
4:55,198,Javan White missed Jumper.,36,78
4:55,197,Cameron McGriff Defensive Rebound.,36,78
4:48,197,Zack Dawson missed Three Point Jumper.,36,78
4:48,198,Albert Owens Defensive Rebound.,36,78
4:37,198,Chris Miller made Layup. Assisted by Javan White.,38,78
4:18,197,Thomas Dziagwa made Three Point Jumper. Assisted by Zack Dawson.,38,81
4:01,198,Chris Miller missed Layup.,38,81
4:01,197,Lucas N'Guessan Defensive Rebound.,38,81
3:51,197,Thomas Dziagwa made Three Point Jumper. Assisted by Brandon Averette.,38,84
3:24,198,Albert Owens made Layup.,40,84
3:01,197,Brandon Averette missed Jumper.,40,84
3:01,198,Austin Ruder Defensive Rebound.,40,84
2:52,198,Austin Ruder Turnover.,40,84
2:51,197,Brandon Averette Steal.,40,84
2:48,198,Foul on Austin Ruder.,40,84
2:47,197,Official TV Timeout,40,84
2:47,197,Zack Dawson made Free Throw.,40,85
2:47,197,Zack Dawson made Free Throw.,40,86
2:47,198,Albert Owens missed Jumper.,40,86
2:47,198,Oral Roberts Offensive Rebound.,40,86
2:33,198,Albert Owens made Jumper.,42,86
1:49,197,Zack Dawson Turnover.,42,86
1:48,198,Albert Owens Steal.,42,86
1:37,198,R.J. Fuqua made Layup.,44,86
1:26,197,Zack Dawson made Three Point Jumper.,44,89
1:01,198,Albert Owens made Layup. Assisted by Austin Ruder.,46,89
0:50,198,Foul on Emmanuel Nzekwesi.,46,89
0:50,197,Zack Dawson made Free Throw.,46,90
0:50,197,Zack Dawson made Free Throw.,46,91
0:27,198,Spencer Sutton made Layup.,48,91
0:27,197,Foul on Thomas Dziagwa.,48,91
0:27,198,Spencer Sutton missed Free Throw.,48,91
0:27,198,Austin Ruder Offensive Rebound.,48,91
0:19,198,Austin Ruder missed Three Point Jumper.,48,91
0:19,197,Zack Dawson Defensive Rebound.,48,91
0:00,197,End of Game,48,91
