Auburn,282,Indiana State,2
14:42,2,Foul on Bryce Brown.,13,4
14:26,282,Qiydar Davis Turnover.,13,4
14:17,2,Foul on Davion Mitchell.,13,4
14:17,2,Davion Mitchell Turnover.,13,4
14:05,2,Foul on Anfernee McLemore.,13,4
13:59,282,Tyreke Key missed Three Point Jumper.,13,4
13:59,2,Chuma Okeke Defensive Rebound.,13,4
13:48,2,Chuma Okeke missed Three Point Jumper.,13,4
13:48,282,Qiydar Davis Defensive Rebound.,13,4
13:44,2,Foul on Malik Dunbar.,13,4
13:44,282,Qiydar Davis missed Free Throw.,13,4
13:44,2,Horace Spencer Defensive Rebound.,13,4
13:28,2,Chuma Okeke missed Jumper.,13,4
13:28,282,Bronson Kessinger Defensive Rebound.,13,4
13:18,282,Qiydar Davis missed Three Point Jumper.,13,4
13:18,2,Horace Spencer Defensive Rebound.,13,4
13:10,2,Jared Harper Turnover.,13,4
12:59,282,Jordan Barnes made Three Point Jumper. Assisted by Tyreke Key.,13,7
12:35,2,Chuma Okeke made Layup. Assisted by Jared Harper.,15,7
12:28,2,Foul on Chuma Okeke.,15,7
12:28,282,Jordan Barnes made Free Throw.,15,8
12:28,282,Jordan Barnes made Free Throw.,15,9
12:13,2,Malik Dunbar made Layup. Assisted by Chuma Okeke.,17,9
11:56,2,Foul on Chuma Okeke.,17,9
11:56,282,Official TV Timeout,17,9
11:56,282,Tyreke Key made Free Throw.,17,10
11:56,282,Tyreke Key made Free Throw.,17,11
11:45,282,Foul on Qiydar Davis.,17,11
11:33,2,Desean Murray missed Layup.,17,11
11:33,2,Mustapha Heron Offensive Rebound.,17,11
11:31,2,Mustapha Heron made Layup.,19,11
11:11,282,Jordan Barnes made Three Point Jumper. Assisted by Devin Thomas.,19,14
10:49,2,Desean Murray made Three Point Jumper. Assisted by Jared Harper.,22,14
10:36,282,Devin Thomas Turnover.,22,14
10:35,2,Horace Spencer Steal.,22,14
10:30,2,Mustapha Heron missed Three Point Jumper.,22,14
10:30,2,Horace Spencer Offensive Rebound.,22,14
10:02,282,Foul on Brandon Murphy.,22,14
10:02,2,Jared Harper made Free Throw.,23,14
10:02,2,Jared Harper missed Free Throw.,23,14
10:02,282,Devin Thomas Defensive Rebound.,23,14
9:46,282,Jordan Barnes made Three Point Jumper. Assisted by Tyreke Key.,23,17
9:42,282,Technical Foul on Jordan Barnes.,23,17
9:42,282,Foul on Jordan Barnes.,23,17
9:42,2,Bryce Brown made Free Throw.,24,17
9:42,2,Bryce Brown made Free Throw.,25,17
9:31,2,Bryce Brown missed Layup.,25,17
9:31,282,Emondre Rickman Block.,25,17
9:29,2,Desean Murray Offensive Rebound.,25,17
9:29,282,Foul on Tyreke Key.,25,17
9:29,2,Desean Murray made Free Throw.,26,17
9:29,2,Desean Murray made Free Throw.,27,17
9:09,282,Tyreke Key missed Layup.,27,17
9:09,282,Emondre Rickman Offensive Rebound.,27,17
9:07,282,Emondre Rickman made Layup.,27,19
8:45,2,Jared Harper missed Three Point Jumper.,27,19
8:45,282,Bronson Kessinger Defensive Rebound.,27,19
8:34,282,Tyreke Key missed Layup.,27,19
8:34,2,Bryce Brown Block.,27,19
8:32,282,Indiana State Offensive Rebound.,27,19
8:31,282,Brenton Scott Turnover.,27,19
8:30,2,Horace Spencer Steal.,27,19
8:26,2,Bryce Brown made Layup.,29,19
8:23,282,Indiana State  Timeout,29,19
8:23,282,Official TV Timeout,29,19
8:08,282,Tyreke Key missed Layup.,29,19
8:08,2,Jared Harper Defensive Rebound.,29,19
7:58,282,Foul on Bronson Kessinger.,29,19
7:58,2,Desean Murray made Free Throw.,30,19
7:58,2,Desean Murray made Free Throw.,31,19
7:45,282,Bronson Kessinger missed Three Point Jumper.,31,19
7:45,2,Desean Murray Defensive Rebound.,31,19
7:35,2,Horace Spencer made Dunk. Assisted by Bryce Brown.,33,19
7:32,2,Technical Foul on Desean Murray.,33,19
7:32,2,Foul on Desean Murray.,33,19
7:32,282,Brenton Scott made Free Throw.,33,20
7:32,282,Brenton Scott made Free Throw.,33,21
7:20,282,Demonte Ojinnaka missed Three Point Jumper.,33,21
7:20,2,Horace Spencer Defensive Rebound.,33,21
7:08,2,Chuma Okeke made Three Point Jumper. Assisted by Jared Harper.,36,21
6:38,282,Jordan Barnes missed Layup.,36,21
6:38,282,Jordan Barnes Offensive Rebound.,36,21
6:29,282,Jordan Barnes made Layup.,36,23
6:22,2,Foul on Horace Spencer.,36,23
6:22,2,Horace Spencer Turnover.,36,23
6:08,282,Qiydar Davis Turnover.,36,23
6:08,2,Anfernee McLemore Steal.,36,23
5:46,2,Jared Harper made Layup.,38,23
5:29,282,Foul on Devin Thomas.,38,23
5:29,282,Devin Thomas Turnover.,38,23
5:05,2,Chuma Okeke missed Jumper.,38,23
5:05,282,Devin Thomas Defensive Rebound.,38,23
4:57,282,Jordan Barnes Turnover.,38,23
4:57,2,Chuma Okeke Steal.,38,23
4:54,2,Chuma Okeke made Dunk.,40,23
4:45,282,Devin Thomas Turnover.,40,23
4:17,2,Foul on Mustapha Heron.,40,23
4:17,2,Mustapha Heron Turnover.,40,23
4:05,2,Foul on Malik Dunbar.,40,23
4:05,282,Brenton Scott missed Free Throw.,40,23
4:05,282,Indiana State Deadball Team Rebound.,40,23
4:05,282,Brenton Scott missed Free Throw.,40,23
4:05,2,Anfernee McLemore Defensive Rebound.,40,23
3:52,2,Bryce Brown made Jumper. Assisted by Davion Mitchell.,42,23
3:30,282,Tyreke Key missed Jumper.,42,23
3:30,2,Anfernee McLemore Block.,42,23
3:28,2,Chuma Okeke Defensive Rebound.,42,23
3:24,2,Bryce Brown missed Three Point Jumper.,42,23
3:24,2,Chuma Okeke Offensive Rebound.,42,23
3:18,2,Anfernee McLemore made Layup.,44,23
3:18,282,Foul on Demonte Ojinnaka.,44,23
3:18,282,Official TV Timeout,44,23
3:18,2,Anfernee McLemore made Free Throw.,45,23
3:10,282,Jordan Barnes Turnover.,45,23
3:06,2,Mustapha Heron missed Jumper.,45,23
3:06,282,Jordan Barnes Defensive Rebound.,45,23
2:55,282,Brenton Scott missed Three Point Jumper.,45,23
2:55,2,Chuma Okeke Defensive Rebound.,45,23
2:41,282,Foul on Emondre Rickman.,45,23
2:41,2,Davion Mitchell missed Free Throw.,45,23
2:41,2,Auburn Deadball Team Rebound.,45,23
2:41,2,Davion Mitchell made Free Throw.,46,23
2:25,2,Foul on Horace Spencer.,46,23
2:25,282,Qiydar Davis made Free Throw.,46,24
2:25,282,Qiydar Davis made Free Throw.,46,25
2:05,2,Mustapha Heron missed Layup.,46,25
2:05,282,Emondre Rickman Block.,46,25
2:04,282,Indiana State Defensive Rebound.,46,25
1:54,282,Qiydar Davis missed Jumper.,46,25
1:54,2,Chuma Okeke Defensive Rebound.,46,25
1:47,2,Mustapha Heron Turnover.,46,25
1:45,282,Clayton Hughes Steal.,46,25
1:39,282,Clayton Hughes missed Dunk.,46,25
1:39,2,Horace Spencer Block.,46,25
1:37,282,Qiydar Davis Offensive Rebound.,46,25
1:30,282,Qiydar Davis made Dunk.,46,27
1:19,2,Jared Harper missed Layup.,46,27
1:19,282,Emondre Rickman Defensive Rebound.,46,27
1:15,282,Jordan Barnes missed Three Point Jumper.,46,27
1:15,2,Auburn Defensive Rebound.,46,27
0:58,2,Anfernee McLemore made Dunk. Assisted by Jared Harper.,48,27
0:32,282,Demonte Ojinnaka missed Jumper.,48,27
0:32,2,Mustapha Heron Defensive Rebound.,48,27
0:00,2,Bryce Brown missed Three Point Jumper.,48,27
0:00,2,Desean Murray Offensive Rebound.,48,27
0:00,282,End of 1st half,48,27
19:45,282,Emondre Rickman made Layup. Assisted by Brenton Scott.,48,29
19:29,282,Foul on Brenton Scott.,48,29
19:29,2,Bryce Brown missed Free Throw.,48,29
19:29,2,Auburn Deadball Team Rebound.,48,29
19:29,2,Bryce Brown made Free Throw.,49,29
19:17,282,Brenton Scott missed Jumper.,49,29
19:17,2,Horace Spencer Defensive Rebound.,49,29
19:06,2,Jared Harper made Three Point Jumper.,52,29
18:45,282,Jordan Barnes missed Jumper.,52,29
18:45,2,Horace Spencer Block.,52,29
18:44,2,Desean Murray Defensive Rebound.,52,29
18:39,2,Bryce Brown made Layup. Assisted by Desean Murray.,54,29
18:22,282,Emondre Rickman missed Jumper.,54,29
18:22,2,Desean Murray Defensive Rebound.,54,29
18:12,2,Foul on Horace Spencer.,54,29
18:12,2,Horace Spencer Turnover.,54,29
18:01,282,Qiydar Davis Turnover.,54,29
17:46,2,Mustapha Heron missed Jumper.,54,29
17:46,282,Emondre Rickman Defensive Rebound.,54,29
17:41,282,Tyreke Key made Layup. Assisted by Emondre Rickman.,54,31
17:24,2,Mustapha Heron missed Three Point Jumper.,54,31
17:24,282,Emondre Rickman Defensive Rebound.,54,31
17:13,282,Jordan Barnes missed Layup.,54,31
17:13,2,Anfernee McLemore Block.,54,31
17:12,282,Indiana State Offensive Rebound.,54,31
17:02,282,Tyreke Key missed Jumper.,54,31
17:02,282,Emondre Rickman Offensive Rebound.,54,31
17:00,282,Emondre Rickman missed Layup.,54,31
17:00,2,Desean Murray Block.,54,31
16:59,282,Emondre Rickman Offensive Rebound.,54,31
16:59,2,Foul on Anfernee McLemore.,54,31
16:59,282,Emondre Rickman missed Free Throw.,54,31
16:59,282,Indiana State Deadball Team Rebound.,54,31
16:59,282,Emondre Rickman made Free Throw.,54,32
16:52,2,Desean Murray Turnover.,54,32
16:52,282,Qiydar Davis Steal.,54,32
16:36,2,Foul on Anfernee McLemore.,54,32
16:36,282,Emondre Rickman made Free Throw.,54,33
16:36,282,Emondre Rickman made Free Throw.,54,34
16:11,2,Mustapha Heron missed Jumper.,54,34
16:11,2,Auburn Offensive Rebound.,54,34
16:07,2,Chuma Okeke missed Jumper.,54,34
16:07,282,Qiydar Davis Defensive Rebound.,54,34
15:52,282,Jordan Barnes missed Three Point Jumper.,54,34
15:52,2,Mustapha Heron Defensive Rebound.,54,34
15:31,2,Bryce Brown missed Three Point Jumper.,54,34
15:31,2,Chuma Okeke Offensive Rebound.,54,34
15:26,2,Chuma Okeke missed Layup.,54,34
15:26,2,Desean Murray Offensive Rebound.,54,34
15:20,2,Desean Murray made Two Point Tip Shot.,56,34
15:16,282,Tyreke Key made Layup. Assisted by Bronson Kessinger.,56,36
14:47,2,Bryce Brown Turnover.,56,36
14:46,282,Qiydar Davis Steal.,56,36
14:43,282,Tyreke Key made Layup. Assisted by Qiydar Davis.,56,38
14:23,282,Foul on Jordan Barnes.,56,38
14:23,282,Official TV Timeout,56,38
14:23,2,Jared Harper missed Free Throw.,56,38
14:23,2,Auburn Deadball Team Rebound.,56,38
14:23,2,Jared Harper made Free Throw.,57,38
14:22,282,Devin Thomas Turnover.,57,38
14:09,282,Foul on Qiydar Davis.,57,38
14:09,2,Bryce Brown made Free Throw.,58,38
14:09,2,Bryce Brown made Free Throw.,59,38
13:56,282,Jordan Barnes made Three Point Jumper. Assisted by Tyreke Key.,59,41
13:22,2,Desean Murray made Jumper. Assisted by Jared Harper.,61,41
13:04,282,Bronson Kessinger missed Jumper.,61,41
13:04,2,Chuma Okeke Block.,61,41
13:03,2,Desean Murray Defensive Rebound.,61,41
12:52,282,Foul on Bronson Kessinger.,61,41
12:39,2,Jared Harper missed Jumper.,61,41
12:39,282,Emondre Rickman Defensive Rebound.,61,41
12:32,282,Jordan Barnes missed Layup.,61,41
12:32,2,Desean Murray Block.,61,41
12:31,282,Indiana State Offensive Rebound.,61,41
12:28,282,Devin Thomas Turnover.,61,41
12:28,2,Chuma Okeke Steal.,61,41
12:23,2,Chuma Okeke missed Jumper.,61,41
12:23,282,Demonte Ojinnaka Defensive Rebound.,61,41
12:18,282,Foul on Jordan Barnes.,61,41
12:18,282,Jordan Barnes Turnover.,61,41
12:02,2,Chuma Okeke made Three Point Jumper. Assisted by Jared Harper.,64,41
11:45,2,Foul on Chuma Okeke.,64,41
11:45,282,Official TV Timeout,64,41
11:43,2,Foul on Chuma Okeke.,64,41
11:43,282,Devin Thomas made Free Throw.,64,42
11:43,282,Devin Thomas made Free Throw.,64,43
11:17,2,Desean Murray made Three Point Jumper. Assisted by Davion Mitchell.,67,43
10:55,282,Devin Thomas Turnover.,67,43
10:53,2,Desean Murray Steal.,67,43
10:50,282,Foul on Demonte Ojinnaka.,67,43
10:50,2,Malik Dunbar made Free Throw.,68,43
10:50,2,Malik Dunbar made Free Throw.,69,43
10:48,2,Foul on Malik Dunbar.,69,43
10:42,282,Clayton Hughes Turnover.,69,43
10:41,2,Horace Spencer Steal.,69,43
10:31,2,Malik Dunbar missed Three Point Jumper.,69,43
10:31,282,Emondre Rickman Defensive Rebound.,69,43
10:21,282,Qiydar Davis Turnover.,69,43
10:09,2,Bryce Brown missed Layup.,69,43
10:09,282,Emondre Rickman Block.,69,43
10:08,282,Emondre Rickman Defensive Rebound.,69,43
10:02,2,Foul on Davion Mitchell.,69,43
10:02,282,Brenton Scott made Free Throw.,69,44
10:02,282,Brenton Scott missed Free Throw.,69,44
10:02,2,Desean Murray Defensive Rebound.,69,44
9:42,282,Foul on Emondre Rickman.,69,44
9:42,2,Davion Mitchell made Free Throw.,70,44
9:42,2,Davion Mitchell made Free Throw.,71,44
9:30,282,Qiydar Davis made Layup. Assisted by Emondre Rickman.,71,46
9:15,2,Desean Murray Turnover.,71,46
9:05,2,Foul on Mustapha Heron.,71,46
9:05,282,Emondre Rickman missed Free Throw.,71,46
9:05,2,Horace Spencer Defensive Rebound.,71,46
8:57,282,Foul on Clayton Hughes.,71,46
8:57,2,Mustapha Heron made Free Throw.,72,46
8:57,2,Mustapha Heron made Free Throw.,73,46
8:50,282,Demonte Ojinnaka missed Three Point Jumper.,73,46
8:50,282,Emondre Rickman Offensive Rebound.,73,46
8:46,282,Emondre Rickman missed Jumper.,73,46
8:46,2,Mustapha Heron Defensive Rebound.,73,46
8:38,2,Mustapha Heron missed Layup.,73,46
8:38,282,Indiana State Defensive Rebound.,73,46
8:20,282,Qiydar Davis made Three Point Jumper. Assisted by Demonte Ojinnaka.,73,49
7:53,2,Jared Harper missed Layup.,73,49
7:53,2,Horace Spencer Offensive Rebound.,73,49
7:47,2,Bryce Brown missed Three Point Jumper.,73,49
7:47,282,Indiana State Defensive Rebound.,73,49
7:44,282,Official TV Timeout,73,49
7:30,282,Qiydar Davis missed Three Point Jumper.,73,49
7:30,2,Mustapha Heron Defensive Rebound.,73,49
7:10,2,Desean Murray Turnover.,73,49
7:08,282,Qiydar Davis Steal.,73,49
7:06,282,Qiydar Davis missed Layup.,73,49
7:06,282,Brenton Scott Offensive Rebound.,73,49
7:03,282,Brenton Scott missed Jumper.,73,49
7:03,2,Davion Mitchell Defensive Rebound.,73,49
6:55,2,Mustapha Heron made Dunk. Assisted by Davion Mitchell.,75,49
6:33,282,Devin Thomas missed Jumper.,75,49
6:33,2,Horace Spencer Block.,75,49
6:32,2,Desean Murray Defensive Rebound.,75,49
6:11,2,Desean Murray missed Jumper.,75,49
6:11,282,Devin Thomas Defensive Rebound.,75,49
6:04,2,Foul on Davion Mitchell.,75,49
6:04,282,Clayton Hughes made Free Throw.,75,50
6:04,282,Clayton Hughes made Free Throw.,75,51
5:45,2,Anfernee McLemore missed Dunk.,75,51
5:45,282,Qiydar Davis Defensive Rebound.,75,51
5:41,282,Qiydar Davis missed Jumper.,75,51
5:41,2,Anfernee McLemore Defensive Rebound.,75,51
5:27,2,Foul on Desean Murray.,75,51
5:27,2,Desean Murray Turnover.,75,51
5:18,282,Jordan Barnes Turnover.,75,51
5:06,2,Mustapha Heron missed Layup.,75,51
5:06,282,Clayton Hughes Block.,75,51
5:05,282,Indiana State Defensive Rebound.,75,51
4:55,282,Tyreke Key missed Jumper.,75,51
4:55,2,Anfernee McLemore Defensive Rebound.,75,51
4:48,2,Jared Harper missed Layup.,75,51
4:48,282,Tyreke Key Defensive Rebound.,75,51
4:41,282,Tyreke Key Turnover.,75,51
4:40,2,Chuma Okeke Steal.,75,51
4:37,282,Foul on Emondre Rickman.,75,51
4:37,2,Chuma Okeke missed Free Throw.,75,51
4:37,2,Auburn Deadball Team Rebound.,75,51
4:37,2,Chuma Okeke made Free Throw.,76,51
4:17,2,Anfernee McLemore made Dunk.,78,51
4:13,2,Technical Foul on Mustapha Heron.,78,51
4:13,2,Foul on Mustapha Heron.,78,51
4:13,282,Jordan Barnes made Free Throw.,78,52
4:13,282,Jordan Barnes made Free Throw.,78,53
3:49,282,Brenton Scott Turnover.,78,53
3:49,282,Official TV Timeout,78,53
3:36,2,Bryce Brown Turnover.,78,53
3:35,282,Brenton Scott Steal.,78,53
3:33,282,Brenton Scott missed Three Point Jumper.,78,53
3:33,2,Davion Mitchell Defensive Rebound.,78,53
3:26,2,Malik Dunbar made Dunk. Assisted by Bryce Brown.,80,53
3:23,2,Technical Foul on Malik Dunbar.,80,53
3:23,2,Foul on Malik Dunbar.,80,53
3:23,282,Jordan Barnes made Free Throw.,80,54
3:10,2,Foul on Will Macoy.,80,54
3:10,282,Clayton Hughes made Free Throw.,80,55
3:10,282,Clayton Hughes made Free Throw.,80,56
3:01,2,Bryce Brown missed Three Point Jumper.,80,56
3:01,2,Will Macoy Offensive Rebound.,80,56
2:42,2,Davion Mitchell Turnover.,80,56
2:39,282,Brenton Scott Steal.,80,56
2:37,282,Demonte Ojinnaka made Three Point Jumper. Assisted by Brenton Scott.,80,59
2:15,2,Bryce Brown made Jumper.,82,59
2:02,282,Clayton Hughes missed Three Point Jumper.,82,59
2:02,2,Bryce Brown Defensive Rebound.,82,59
1:45,2,Chuma Okeke missed Jumper.,82,59
1:45,282,Emondre Rickman Defensive Rebound.,82,59
1:36,282,Tyreke Key made Jumper.,82,61
1:36,2,Foul on Davion Mitchell.,82,61
1:36,282,Tyreke Key made Free Throw.,82,62
1:13,282,Foul on Demonte Ojinnaka.,82,62
1:13,2,Malik Dunbar made Free Throw.,83,62
1:13,2,Malik Dunbar missed Free Throw.,83,62
1:13,282,Matt Deady Defensive Rebound.,83,62
1:00,282,Daniel Huenermann missed Three Point Jumper.,83,62
1:00,2,Patrick Keim Defensive Rebound.,83,62
0:44,2,Devontae Williams Turnover.,83,62
0:43,282,Clayton Hughes Steal.,83,62
0:31,282,Daniel Huenermann made Jumper.,83,64
0:20,2,Malik Dunbar missed Three Point Jumper.,83,64
0:20,282,Demonte Ojinnaka Defensive Rebound.,83,64
0:00,282,End of Game,83,64
