Boise State,2638,UTEP,68
9:27,68,Chandler Hutchison Defensive Rebound.,16,9
9:17,68,Marcus Dickinson made Three Point Jumper. Assisted by Alex Hobbs.,19,9
9:01,2638,Keith Frazier made Jumper.,19,11
8:40,2638,Foul on Kobe Magee.,19,11
8:32,68,Chandler Hutchison made Layup. Assisted by Marcus Dickinson.,21,11
8:15,2638,Keith Frazier missed Jumper.,21,11
8:15,68,Zach Haney Defensive Rebound.,21,11
8:03,68,Alex Hobbs missed Three Point Jumper.,21,11
8:03,2638,UTEP Defensive Rebound.,21,11
7:57,68,Foul on Chandler Hutchison.,21,11
7:57,2638,Official TV Timeout,21,11
7:57,2638,Keith Frazier made Free Throw.,21,12
7:57,2638,Keith Frazier missed Free Throw.,21,12
7:57,68,Malek Harwell Defensive Rebound.,21,12
7:39,68,Malek Harwell missed Three Point Jumper.,21,12
7:39,2638,Keith Frazier Defensive Rebound.,21,12
7:26,68,Foul on Malek Harwell.,21,12
7:26,2638,Trey Wade made Free Throw.,21,13
7:26,2638,Trey Wade made Free Throw.,21,14
7:13,68,Justinian Jessup made Three Point Jumper.,24,14
6:57,2638,Trey Wade made Jumper. Assisted by Evan Gilyard.,24,16
6:30,68,Justinian Jessup made Three Point Jumper. Assisted by Malek Harwell.,27,16
5:54,2638,Evan Gilyard missed Three Point Jumper.,27,16
5:54,68,Malek Harwell Defensive Rebound.,27,16
5:45,68,Alex Hobbs made Jumper. Assisted by Justinian Jessup.,29,16
5:34,2638,UTEP  Timeout,29,16
5:20,68,Foul on Marcus Dickinson.,29,16
5:20,2638,Matt Willms missed Free Throw.,29,16
5:20,2638,UTEP Deadball Team Rebound.,29,16
5:20,2638,Matt Willms missed Free Throw.,29,16
5:20,68,Justinian Jessup Defensive Rebound.,29,16
5:00,68,Justinian Jessup missed Three Point Jumper.,29,16
5:00,2638,Keith Frazier Defensive Rebound.,29,16
4:50,2638,Keith Frazier missed Three Point Jumper.,29,16
4:50,2638,UTEP Offensive Rebound.,29,16
4:47,68,Foul on Robin Jorch.,29,16
4:47,2638,Matt Willms made Free Throw.,29,17
4:47,2638,Matt Willms made Free Throw.,29,18
4:28,68,Malek Harwell Turnover.,29,18
4:28,2638,Omega Harris Steal.,29,18
4:16,2638,Keith Frazier missed Three Point Jumper.,29,18
4:16,68,Justinian Jessup Defensive Rebound.,29,18
4:00,68,Justinian Jessup missed Three Point Jumper.,29,18
4:00,2638,Keith Frazier Defensive Rebound.,29,18
3:50,2638,Omega Harris missed Jumper.,29,18
3:50,68,Alex Hobbs Defensive Rebound.,29,18
3:37,68,Foul on Marcus Dickinson.,29,18
3:37,68,Marcus Dickinson Turnover.,29,18
3:37,2638,Official TV Timeout,29,18
3:27,2638,Evan Gilyard missed Three Point Jumper.,29,18
3:27,68,Zach Haney Defensive Rebound.,29,18
3:02,68,Lexus Williams missed Jumper.,29,18
3:02,2638,Matt Willms Defensive Rebound.,29,18
2:41,2638,Keith Frazier made Dunk. Assisted by Evan Gilyard.,29,20
2:20,68,Justinian Jessup missed Three Point Jumper.,29,20
2:20,2638,Evan Gilyard Defensive Rebound.,29,20
2:05,2638,Paul Thomas missed Jumper.,29,20
2:05,68,Justinian Jessup Defensive Rebound.,29,20
1:43,68,Alex Hobbs missed Three Point Jumper.,29,20
1:43,2638,Paul Thomas Defensive Rebound.,29,20
1:25,2638,Matt Willms Turnover.,29,20
1:25,68,Lexus Williams Steal.,29,20
1:03,68,Lexus Williams missed Three Point Jumper.,29,20
1:03,2638,Keith Frazier Defensive Rebound.,29,20
0:36,2638,Paul Thomas made Layup.,29,22
0:10,68,Alex Hobbs made Layup.,31,22
0:01,2638,Paul Thomas Turnover.,31,22
0:01,68,Justinian Jessup Steal.,31,22
0:01,68,Justinian Jessup missed Three Point Jumper.,31,22
0:01,68,Boise State Offensive Rebound.,31,22
0:00,2638,End of 1st half,31,22
20:00,2638,Jump Ball won by UTEP,31,22
19:48,2638,Matt Willms missed Layup.,31,22
19:48,68,Zach Haney Block.,31,22
19:48,68,Zach Haney Defensive Rebound.,31,22
19:28,68,Zach Haney made Three Point Jumper. Assisted by Lexus Williams.,34,22
19:10,2638,Matt Willms made Dunk. Assisted by Omega Harris.,34,24
18:53,68,Zach Haney missed Three Point Jumper.,34,24
18:53,2638,Paul Thomas Defensive Rebound.,34,24
18:27,2638,Paul Thomas made Layup.,34,26
18:00,68,Zach Haney missed Jumper.,34,26
18:00,2638,Matt Willms Block.,34,26
18:00,2638,Matt Willms Defensive Rebound.,34,26
17:29,2638,Evan Gilyard missed Layup.,34,26
17:29,2638,Matt Willms Offensive Rebound.,34,26
17:29,2638,UTEP  Turnover.,34,26
17:21,2638,Foul on Evan Gilyard.,34,26
17:17,68,Chandler Hutchison missed Jumper.,34,26
17:17,2638,Matt Willms Defensive Rebound.,34,26
17:09,2638,Omega Harris made Jumper. Assisted by Matt Willms.,34,28
16:47,68,Zach Haney missed Layup.,34,28
16:47,2638,Matt Willms Block.,34,28
16:47,68,Christian Sengfelder Offensive Rebound.,34,28
16:34,68,Christian Sengfelder missed Layup.,34,28
16:34,2638,UTEP Defensive Rebound.,34,28
16:34,68,Foul on Chandler Hutchison.,34,28
16:21,2638,Matt Willms made Layup. Assisted by Evan Gilyard.,34,30
16:17,2638,Foul on Evan Gilyard.,34,30
15:53,68,Boise State  Turnover.,34,30
15:53,2638,Official TV Timeout,34,30
15:49,68,Foul on Justinian Jessup.,34,30
15:28,2638,Isiah Osborne missed Three Point Jumper.,34,30
15:28,68,Zach Haney Defensive Rebound.,34,30
15:13,2638,Foul on Matt Willms.,34,30
15:13,68,Alex Hobbs made Free Throw.,35,30
15:13,68,Alex Hobbs made Free Throw.,36,30
14:52,2638,Matt Willms made Dunk. Assisted by Paul Thomas.,36,32
14:37,68,Justinian Jessup missed Three Point Jumper.,36,32
14:37,2638,Isiah Osborne Defensive Rebound.,36,32
14:14,2638,Omega Harris missed Jumper.,36,32
14:14,68,Zach Haney Defensive Rebound.,36,32
14:02,68,Alex Hobbs made Jumper.,38,32
13:43,2638,Omega Harris missed Jumper.,38,32
13:43,68,Justinian Jessup Defensive Rebound.,38,32
13:34,68,Christian Sengfelder missed Three Point Jumper.,38,32
13:34,2638,Keith Frazier Defensive Rebound.,38,32
13:12,2638,Keith Frazier missed Three Point Jumper.,38,32
13:12,68,Christian Sengfelder Defensive Rebound.,38,32
12:58,68,Justinian Jessup missed Jumper.,38,32
12:58,2638,Matt Willms Block.,38,32
12:58,2638,Keith Frazier Defensive Rebound.,38,32
12:44,2638,Omega Harris missed Layup.,38,32
12:44,68,Zach Haney Block.,38,32
12:44,2638,UTEP Offensive Rebound.,38,32
12:35,2638,Tirus Smith Turnover.,38,32
12:21,68,Chandler Hutchison Turnover.,38,32
12:21,2638,Isiah Osborne Steal.,38,32
12:17,68,Foul on Robin Jorch.,38,32
12:17,2638,Keith Frazier made Free Throw.,38,33
12:17,2638,Keith Frazier made Free Throw.,38,34
12:02,68,David Wacker made Layup. Assisted by Alex Hobbs.,40,34
11:49,2638,Isiah Osborne made Three Point Jumper. Assisted by Tirus Smith.,40,37
11:33,2638,Foul on Paul Thomas.,40,37
11:33,2638,Official TV Timeout,40,37
11:22,68,Chandler Hutchison missed Jumper.,40,37
11:22,2638,UTEP Defensive Rebound.,40,37
11:09,2638,Keith Frazier made Three Point Jumper.,40,40
10:49,68,Alex Hobbs missed Jumper.,40,40
10:49,2638,Keith Frazier Block.,40,40
10:49,2638,UTEP Defensive Rebound.,40,40
10:36,2638,Keith Frazier made Three Point Jumper. Assisted by Omega Harris.,40,43
10:09,2638,Foul on Tirus Smith.,40,43
10:09,68,Chandler Hutchison missed Free Throw.,40,43
10:09,68,Boise State Deadball Team Rebound.,40,43
10:09,68,Chandler Hutchison made Free Throw.,41,43
9:40,2638,Keith Frazier made Three Point Jumper.,41,46
9:12,68,Chandler Hutchison missed Layup.,41,46
9:12,2638,Keith Frazier Defensive Rebound.,41,46
9:12,2638,Evan Gilyard missed Three Point Jumper.,41,46
9:12,2638,Tirus Smith Offensive Rebound.,41,46
9:12,2638,Tirus Smith made Layup.,41,48
9:12,68,Boise State  Timeout,41,48
8:58,68,Christian Sengfelder made Three Point Jumper. Assisted by Chandler Hutchison.,44,48
8:38,2638,Isiah Osborne missed Jumper.,44,48
8:38,68,Marcus Dickinson Defensive Rebound.,44,48
8:28,68,Chandler Hutchison missed Three Point Jumper.,44,48
8:28,2638,Isiah Osborne Defensive Rebound.,44,48
8:11,2638,Keith Frazier missed Layup.,44,48
8:11,68,Chandler Hutchison Defensive Rebound.,44,48
7:48,68,Jump Ball won by Boise State,44,48
7:48,2638,Official TV Timeout,44,48
7:40,68,Christian Sengfelder missed Three Point Jumper.,44,48
7:40,68,Chandler Hutchison Offensive Rebound.,44,48
7:36,68,Marcus Dickinson missed Jumper.,44,48
7:36,2638,Paul Thomas Defensive Rebound.,44,48
7:27,2638,Omega Harris missed Layup.,44,48
7:27,68,Justinian Jessup Block.,44,48
7:27,68,Justinian Jessup Defensive Rebound.,44,48
7:03,68,Christian Sengfelder missed Layup.,44,48
7:03,2638,Tirus Smith Block.,44,48
7:03,68,Boise State Offensive Rebound.,44,48
7:03,68,Justinian Jessup Turnover.,44,48
7:03,2638,Keith Frazier Steal.,44,48
6:58,2638,Keith Frazier made Dunk.,44,50
6:39,68,Chandler Hutchison missed Three Point Jumper.,44,50
6:39,68,Christian Sengfelder Offensive Rebound.,44,50
6:39,2638,Foul on Paul Thomas.,44,50
6:39,68,Christian Sengfelder missed Free Throw.,44,50
6:39,68,Boise State Deadball Team Rebound.,44,50
6:39,68,Christian Sengfelder made Free Throw.,45,50
6:25,2638,Matt Willms Turnover.,45,50
6:25,68,Chandler Hutchison Steal.,45,50
6:17,68,Christian Sengfelder missed Three Point Jumper.,45,50
6:17,68,Zach Haney Offensive Rebound.,45,50
6:09,68,Lexus Williams missed Layup.,45,50
6:09,2638,Trey Wade Block.,45,50
6:09,2638,Isiah Osborne Defensive Rebound.,45,50
5:51,2638,Keith Frazier missed Three Point Jumper.,45,50
5:51,2638,Isiah Osborne Offensive Rebound.,45,50
5:44,2638,Isiah Osborne made Dunk.,45,52
5:25,2638,Foul on Trey Wade.,45,52
5:25,68,Chandler Hutchison missed Free Throw.,45,52
5:25,2638,Omega Harris Defensive Rebound.,45,52
5:08,2638,Isiah Osborne missed Layup.,45,52
5:08,2638,Trey Wade Offensive Rebound.,45,52
5:08,2638,Trey Wade missed Two Point Tip Shot.,45,52
5:08,68,Chandler Hutchison Defensive Rebound.,45,52
4:52,2638,Foul on Isiah Osborne.,45,52
4:52,68,Chandler Hutchison missed Free Throw.,45,52
4:52,2638,Isiah Osborne Defensive Rebound.,45,52
4:40,2638,Trey Wade missed Jumper.,45,52
4:40,68,Chandler Hutchison Defensive Rebound.,45,52
4:31,68,Chandler Hutchison missed Layup.,45,52
4:31,2638,Matt Willms Defensive Rebound.,45,52
4:11,2638,Omega Harris missed Three Point Jumper.,45,52
4:11,2638,Trey Wade Offensive Rebound.,45,52
4:04,2638,Trey Wade missed Jumper.,45,52
4:04,68,Chandler Hutchison Block.,45,52
4:04,68,Chandler Hutchison Defensive Rebound.,45,52
3:52,68,Zach Haney Turnover.,45,52
3:52,2638,Official TV Timeout,45,52
3:27,2638,Matt Willms made Layup. Assisted by Keith Frazier.,45,54
2:56,68,Christian Sengfelder made Jumper.,47,54
2:25,2638,Paul Thomas missed Three Point Jumper.,47,54
2:25,68,Chandler Hutchison Defensive Rebound.,47,54
2:08,2638,Foul on Matt Willms.,47,54
2:08,68,Marcus Dickinson missed Free Throw.,47,54
2:08,68,Boise State Deadball Team Rebound.,47,54
2:08,68,Marcus Dickinson made Free Throw.,48,54
1:50,2638,Keith Frazier missed Jumper.,48,54
1:50,68,Marcus Dickinson Defensive Rebound.,48,54
1:41,68,Chandler Hutchison missed Layup.,48,54
1:41,2638,Keith Frazier Defensive Rebound.,48,54
1:16,2638,Isiah Osborne missed Layup.,48,54
1:16,68,Chandler Hutchison Defensive Rebound.,48,54
1:07,68,Marcus Dickinson made Three Point Jumper. Assisted by Chandler Hutchison.,51,54
1:02,68,Boise State  Timeout,51,54
0:54,2638,Omega Harris made Layup.,51,56
0:43,68,Christian Sengfelder made Layup.,53,56
0:34,68,Foul on Christian Sengfelder.,53,56
0:34,2638,UTEP  Timeout,53,56
0:30,2638,UTEP  Timeout,53,56
0:30,2638,UTEP  Timeout,53,56
0:20,68,Foul on Justinian Jessup.,53,56
0:20,68,Foul on Marcus Dickinson.,53,56
0:19,2638,Paul Thomas Turnover.,53,56
0:13,68,Chandler Hutchison made Dunk.,55,56
0:09,68,Foul on Chandler Hutchison.,55,56
0:09,2638,Keith Frazier missed Free Throw.,55,56
0:09,68,Alex Hobbs Defensive Rebound.,55,56
0:03,68,Chandler Hutchison made Layup.,57,56
0:03,2638,Foul on Omega Harris.,57,56
0:03,68,Chandler Hutchison made Free Throw.,58,56
0:02,2638,Keith Frazier missed Three Point Jumper.,58,56
0:02,2638,UTEP Offensive Rebound.,58,56
0:00,2638,End of Game,58,56
