Boyce,Error,Tennessee Tech,2635
14:36,2635,Courtney Alexander II made Free Throw.,2,17
14:36,2635,Courtney Alexander II missed Free Throw.,2,17
14:36,2635,Mason Ramsey Offensive Rebound.,2,17
14:30,2635,Aleksa Jugovic missed Three Point Jumper.,2,17
14:30,2635,Tennessee Tech Offensive Rebound.,2,17
14:28,-1,Boyce  Timeout,2,17
14:24,2635,Shaq Calhoun made Jumper. Assisted by Micaiah Henry.,2,19
14:01,-1,Moses Abwoch missed Three Point Jumper.,2,19
14:01,2635,Micaiah Henry Defensive Rebound.,2,19
13:50,2635,Aleksa Jugovic missed Three Point Jumper.,2,19
13:50,2635,Micaiah Henry Offensive Rebound.,2,19
13:46,2635,Micaiah Henry missed Layup.,2,19
13:46,-1,Malachi Williams Defensive Rebound.,2,19
13:35,-1,Drew McKay made Three Point Jumper.,5,19
13:26,2635,Foul on Micaiah Henry.,5,19
13:26,2635,Micaiah Henry Turnover.,5,19
13:05,-1,Malachi Williams made Layup. Assisted by Adam Rabke.,7,19
12:47,2635,Micaiah Henry made Layup. Assisted by Mason Ramsey.,7,21
12:38,-1,Bradley Cole missed Layup.,7,21
12:38,2635,Shaq Calhoun Defensive Rebound.,7,21
12:32,2635,Aleksa Jugovic missed Layup.,7,21
12:32,-1,Nickolas Turner Defensive Rebound.,7,21
12:13,-1,Adam Rabke missed Layup.,7,21
12:13,2635,Mason Ramsey Defensive Rebound.,7,21
11:56,2635,Mason Ramsey missed Three Point Jumper.,7,21
11:56,-1,Adam Rabke Defensive Rebound.,7,21
11:36,-1,Adam Rabke missed Three Point Jumper.,7,21
11:36,2635,Micaiah Henry Defensive Rebound.,7,21
11:25,-1,Foul on Malachi Williams.,7,21
11:25,2635,Official TV Timeout,7,21
11:25,2635,Micaiah Henry made Free Throw.,7,22
11:25,2635,Micaiah Henry missed Free Throw.,7,22
11:25,-1,Bradley Cole Defensive Rebound.,7,22
11:00,-1,Bradley Cole Turnover.,7,22
10:59,2635,Aleksa Jugovic Steal.,7,22
10:54,2635,Shaq Calhoun made Layup. Assisted by Aleksa Jugovic.,7,24
10:51,2635,Tennessee Tech  Timeout,7,24
10:09,-1,Moses Abwoch missed Layup.,7,24
10:09,2635,Kajon Mack Defensive Rebound.,7,24
10:04,2635,Cade Crosland made Three Point Jumper. Assisted by Shaq Calhoun.,7,27
9:42,-1,Demetrius Minnick-Tucker made Jumper.,9,27
9:20,2635,Domen Omladic made Layup. Assisted by Kajon Mack.,9,29
9:00,-1,Bradley Cole made Three Point Jumper. Assisted by Nickolas Turner.,12,29
8:45,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Shaq Calhoun.,12,32
8:31,-1,Moses Abwoch missed Three Point Jumper.,12,32
8:31,-1,Nickolas Turner Offensive Rebound.,12,32
8:24,-1,Bradley Cole missed Three Point Jumper.,12,32
8:24,-1,Boyce Offensive Rebound.,12,32
8:18,-1,Adam Rabke made Three Point Jumper. Assisted by A.J. Caldwell.,15,32
8:00,2635,Cade Crosland missed Three Point Jumper.,15,32
8:00,-1,Drew McKay Defensive Rebound.,15,32
7:49,-1,Bradley Cole Turnover.,15,32
7:48,2635,Maverick Smith Steal.,15,32
7:40,2635,Domen Omladic made Layup. Assisted by Curtis Phillips Jr..,15,34
7:27,-1,A.J. Caldwell missed Jumper.,15,34
7:27,2635,Domen Omladic Defensive Rebound.,15,34
7:19,-1,Foul on Leonidas Alexakos.,15,34
7:19,2635,Official TV Timeout,15,34
7:19,2635,Kajon Mack made Free Throw.,15,35
7:19,2635,Kajon Mack made Free Throw.,15,36
7:04,-1,Adam Rabke missed Layup.,15,36
7:04,2635,Courtney Alexander II Block.,15,36
7:02,2635,Cade Crosland Defensive Rebound.,15,36
6:59,2635,Micaiah Henry made Dunk. Assisted by Kajon Mack.,15,38
6:38,-1,Adam Rabke made Layup.,17,38
6:26,2635,Curtis Phillips Jr. missed Three Point Jumper.,17,38
6:26,2635,Cade Crosland Offensive Rebound.,17,38
6:23,2635,Micaiah Henry missed Layup.,17,38
6:23,2635,Courtney Alexander II Offensive Rebound.,17,38
6:03,2635,Curtis Phillips Jr. missed Three Point Jumper.,17,38
6:03,2635,Micaiah Henry Offensive Rebound.,17,38
5:59,2635,Micaiah Henry Turnover.,17,38
5:44,-1,A.J. Caldwell missed Three Point Jumper.,17,38
5:44,-1,Moses Abwoch Offensive Rebound.,17,38
5:33,-1,Drew McKay missed Three Point Jumper.,17,38
5:33,2635,Cade Crosland Defensive Rebound.,17,38
5:23,2635,Curtis Phillips Jr. missed Layup.,17,38
5:23,2635,Courtney Alexander II Offensive Rebound.,17,38
5:21,2635,Courtney Alexander II made Two Point Tip Shot.,17,40
5:18,-1,Boyce  Timeout,17,40
5:03,-1,Drew McKay missed Three Point Jumper.,17,40
5:03,-1,Drew McKay Offensive Rebound.,17,40
5:00,2635,Foul on Courtney Alexander II.,17,40
4:53,-1,Demetrius Minnick-Tucker missed Jumper.,17,40
4:53,-1,Drew McKay Offensive Rebound.,17,40
4:51,-1,Drew McKay made Layup.,19,40
4:39,2635,Mason Ramsey Turnover.,19,40
4:37,-1,Drew McKay Steal.,19,40
4:28,-1,Adam Rabke missed Three Point Jumper.,19,40
4:28,-1,Boyce Offensive Rebound.,19,40
4:25,2635,Tennessee Tech  Timeout,19,40
4:25,2635,Official TV Timeout,19,40
4:17,-1,Demetrius Minnick-Tucker Turnover.,19,40
4:00,-1,Foul on Malachi Williams.,19,40
4:00,2635,Micaiah Henry missed Free Throw.,19,40
4:00,2635,Tennessee Tech Deadball Team Rebound.,19,40
4:00,2635,Micaiah Henry made Free Throw.,19,41
3:52,2635,Foul on Mason Ramsey.,19,41
3:52,-1,Drew McKay made Jumper. Assisted by Demetrius Minnick-Tucker.,21,41
3:32,2635,Shaq Calhoun made Three Point Jumper. Assisted by Micaiah Henry.,21,44
3:15,-1,Moses Abwoch Turnover.,21,44
3:10,2635,Aleksa Jugovic made Three Point Jumper.,21,47
2:56,-1,Demetrius Minnick-Tucker missed Jumper.,21,47
2:56,2635,Shaq Calhoun Block.,21,47
2:54,2635,Micaiah Henry Defensive Rebound.,21,47
2:49,-1,Foul on Demetrius Minnick-Tucker.,21,47
2:49,2635,Aleksa Jugovic missed Free Throw.,21,47
2:49,-1,A.J. Caldwell Defensive Rebound.,21,47
2:29,-1,Adam Rabke missed Layup.,21,47
2:29,-1,Adam Rabke Offensive Rebound.,21,47
2:26,-1,Adam Rabke missed Layup.,21,47
2:26,2635,Micaiah Henry Block.,21,47
2:23,-1,A.J. Caldwell Offensive Rebound.,21,47
2:20,-1,Adam Rabke missed Three Point Jumper.,21,47
2:20,2635,Kajon Mack Defensive Rebound.,21,47
2:09,-1,Foul on Adam Rabke.,21,47
2:09,2635,Aleksa Jugovic missed Free Throw.,21,47
2:09,2635,Tennessee Tech Deadball Team Rebound.,21,47
2:09,2635,Aleksa Jugovic made Free Throw.,21,48
1:58,-1,A.J. Caldwell made Three Point Jumper. Assisted by Leonidas Alexakos.,24,48
1:45,2635,Kajon Mack missed Layup.,24,48
1:45,-1,Leonidas Alexakos Defensive Rebound.,24,48
1:31,-1,Bradley Cole Turnover.,24,48
1:30,2635,Kajon Mack Steal.,24,48
1:26,-1,Foul on Nickolas Turner.,24,48
1:26,2635,Shaq Calhoun made Free Throw.,24,49
1:26,2635,Shaq Calhoun missed Free Throw.,24,49
1:26,-1,Drew McKay Defensive Rebound.,24,49
1:04,2635,Foul on Domen Omladic.,24,49
1:04,-1,Drew McKay missed Free Throw.,24,49
1:04,-1,Boyce Deadball Team Rebound.,24,49
1:04,-1,Drew McKay missed Free Throw.,24,49
1:04,2635,Domen Omladic Defensive Rebound.,24,49
0:57,2635,Shaq Calhoun made Layup. Assisted by Cade Crosland.,24,51
0:56,-1,Foul on Bradley Cole.,24,51
0:56,2635,Shaq Calhoun made Free Throw.,24,52
0:47,-1,Bradley Cole Turnover.,24,52
0:39,2635,Shaq Calhoun Turnover.,24,52
0:38,-1,Drew McKay Steal.,24,52
0:26,-1,Moses Abwoch Turnover.,24,52
0:25,2635,Curtis Phillips Jr. Steal.,24,52
0:03,2635,Cade Crosland missed Three Point Jumper.,24,52
0:03,-1,Bradley Cole Defensive Rebound.,24,52
0:00,2635,End of 1st half,24,52
19:53,-1,A.J. Caldwell missed Three Point Jumper.,24,52
19:53,2635,Courtney Alexander II Defensive Rebound.,24,52
19:45,2635,Foul on Courtney Alexander II.,24,52
19:45,2635,Courtney Alexander II Turnover.,24,52
19:29,-1,Drew McKay missed Layup.,24,52
19:29,2635,Mason Ramsey Defensive Rebound.,24,52
19:21,2635,Aleksa Jugovic missed Three Point Jumper.,24,52
19:21,-1,Drew McKay Defensive Rebound.,24,52
19:14,-1,Adam Rabke Turnover.,24,52
19:13,2635,Curtis Phillips Jr. Steal.,24,52
19:09,2635,Courtney Alexander II made Dunk. Assisted by Curtis Phillips Jr..,24,54
18:45,-1,Leonidas Alexakos missed Three Point Jumper.,24,54
18:45,2635,Courtney Alexander II Defensive Rebound.,24,54
18:37,2635,Curtis Phillips Jr. missed Three Point Jumper.,24,54
18:37,-1,Leonidas Alexakos Defensive Rebound.,24,54
18:30,-1,Demetrius Minnick-Tucker made Layup.,26,54
18:17,2635,Aleksa Jugovic missed Jumper.,26,54
18:17,-1,A.J. Caldwell Defensive Rebound.,26,54
18:13,-1,A.J. Caldwell Turnover.,26,54
18:13,2635,Aleksa Jugovic Steal.,26,54
18:10,2635,Aleksa Jugovic Turnover.,26,54
17:57,-1,Adam Rabke missed Three Point Jumper.,26,54
17:57,2635,Mason Ramsey Defensive Rebound.,26,54
17:50,2635,Aleksa Jugovic missed Three Point Jumper.,26,54
17:50,-1,Drew McKay Defensive Rebound.,26,54
17:42,-1,A.J. Caldwell missed Three Point Jumper.,26,54
17:42,2635,Kajon Mack Defensive Rebound.,26,54
17:32,2635,Shaq Calhoun made Layup. Assisted by Kajon Mack.,26,56
17:12,-1,Adam Rabke missed Jumper.,26,56
17:12,2635,Curtis Phillips Jr. Block.,26,56
17:12,2635,Curtis Phillips Jr. Defensive Rebound.,26,56
16:58,2635,Mason Ramsey made Layup. Assisted by Kajon Mack.,26,58
16:58,-1,Foul on Leonidas Alexakos.,26,58
16:58,2635,Mason Ramsey made Free Throw.,26,59
16:50,-1,Demetrius Minnick-Tucker Turnover.,26,59
16:49,2635,Shaq Calhoun Steal.,26,59
16:48,2635,Shaq Calhoun made Layup.,26,61
16:48,-1,Foul on Demetrius Minnick-Tucker.,26,61
16:48,2635,Shaq Calhoun made Free Throw.,26,62
16:24,-1,Drew McKay missed Jumper.,26,62
16:24,2635,Kajon Mack Defensive Rebound.,26,62
16:10,-1,Foul on Malachi Williams.,26,62
16:05,2635,Shaq Calhoun made Layup. Assisted by Micaiah Henry.,26,64
15:46,-1,Bradley Cole Turnover.,26,64
15:44,2635,Shaq Calhoun Steal.,26,64
15:42,2635,Kajon Mack made Dunk. Assisted by Shaq Calhoun.,26,66
15:29,2635,Foul on Micaiah Henry.,26,66
15:29,2635,Official TV Timeout,26,66
15:28,-1,Leonidas Alexakos made Layup. Assisted by Nickolas Turner.,28,66
15:06,2635,Mason Ramsey Turnover.,28,66
15:06,-1,Leonidas Alexakos Steal.,28,66
14:50,-1,Nickolas Turner Turnover.,28,66
14:48,2635,Kajon Mack Steal.,28,66
14:46,2635,Shaq Calhoun made Dunk. Assisted by Kajon Mack.,28,68
14:25,-1,Nickolas Turner Turnover.,28,68
14:25,2635,Kajon Mack Steal.,28,68
14:20,2635,Mason Ramsey missed Layup.,28,68
14:20,-1,Leonidas Alexakos Block.,28,68
14:20,2635,Tennessee Tech Offensive Rebound.,28,68
14:16,2635,Mason Ramsey made Jumper. Assisted by Kajon Mack.,28,70
13:59,2635,Foul on Shaq Calhoun.,28,70
13:40,-1,Adam Rabke missed Three Point Jumper.,28,70
13:40,2635,Shaq Calhoun Block.,28,70
13:38,-1,Boyce Offensive Rebound.,28,70
13:38,-1,Boyce  Turnover.,28,70
13:28,2635,Curtis Phillips Jr. missed Three Point Jumper.,28,70
13:28,-1,Nickolas Turner Defensive Rebound.,28,70
13:19,-1,Nickolas Turner Turnover.,28,70
13:06,2635,Aleksa Jugovic made Dunk. Assisted by Curtis Phillips Jr..,28,72
12:52,-1,Adam Rabke made Three Point Jumper. Assisted by Demetrius Minnick-Tucker.,31,72
12:36,2635,Courtney Alexander II made Layup. Assisted by Curtis Phillips Jr..,31,74
12:18,-1,Demetrius Minnick-Tucker made Three Point Jumper. Assisted by Drew McKay.,34,74
12:00,2635,Micaiah Henry made Jumper. Assisted by Curtis Phillips Jr..,34,76
12:00,2635,Tennessee Tech  Timeout,34,76
12:00,2635,Official TV Timeout,34,76
11:39,-1,Drew McKay made Jumper.,36,76
11:21,2635,Micaiah Henry made Layup. Assisted by Curtis Phillips Jr..,36,78
11:07,2635,Foul on Micaiah Henry.,36,78
11:07,2635,Official TV Timeout,36,78
11:05,-1,Demetrius Minnick-Tucker Turnover.,36,78
11:05,2635,Cade Crosland Steal.,36,78
11:05,-1,Foul on Drew McKay.,36,78
10:55,2635,Courtney Alexander II Turnover.,36,78
10:38,-1,Moses Abwoch missed Layup.,36,78
10:38,2635,Courtney Alexander II Defensive Rebound.,36,78
10:30,2635,Domen Omladic made Layup. Assisted by Courtney Alexander II.,36,80
10:19,-1,Demetrius Minnick-Tucker missed Three Point Jumper.,36,80
10:19,-1,Boyce Offensive Rebound.,36,80
10:19,2635,Foul on Domen Omladic.,36,80
10:17,-1,Moses Abwoch Turnover.,36,80
10:15,2635,Curtis Phillips Jr. Steal.,36,80
10:14,2635,Cade Crosland made Layup. Assisted by Curtis Phillips Jr..,36,82
9:54,-1,Demetrius Minnick-Tucker missed Three Point Jumper.,36,82
9:54,2635,Curtis Phillips Jr. Defensive Rebound.,36,82
9:41,2635,Maverick Smith missed Three Point Jumper.,36,82
9:41,-1,A.J. Caldwell Defensive Rebound.,36,82
9:23,-1,Adam Rabke made Three Point Jumper. Assisted by A.J. Caldwell.,39,82
9:21,-1,Boyce  Timeout,39,82
9:01,-1,Foul on Malachi Williams.,39,82
8:55,2635,Curtis Phillips Jr. made Layup. Assisted by Domen Omladic.,39,84
8:39,-1,Drew McKay made Jumper.,41,84
8:32,2635,Foul on Courtney Alexander II.,41,84
8:32,2635,Courtney Alexander II Turnover.,41,84
8:15,-1,Drew McKay missed Three Point Jumper.,41,84
8:15,2635,Courtney Alexander II Defensive Rebound.,41,84
8:03,2635,Curtis Phillips Jr. made Jumper.,41,86
7:41,-1,A.J. Caldwell missed Three Point Jumper.,41,86
7:41,2635,Courtney Alexander II Defensive Rebound.,41,86
7:36,-1,Foul on Drew McKay.,41,86
7:36,2635,Official TV Timeout,41,86
7:32,2635,Cade Crosland missed Three Point Jumper.,41,86
7:32,2635,Domen Omladic Offensive Rebound.,41,86
7:27,2635,Domen Omladic missed Layup.,41,86
7:27,2635,Cade Crosland Offensive Rebound.,41,86
7:04,2635,Domen Omladic missed Layup.,41,86
7:04,2635,Shaq Calhoun Offensive Rebound.,41,86
6:54,2635,Courtney Alexander II Turnover.,41,86
6:44,-1,Bradley Cole missed Three Point Jumper.,41,86
6:44,2635,Maverick Smith Defensive Rebound.,41,86
6:41,-1,Foul on Drew McKay.,41,86
6:41,2635,Maverick Smith made Free Throw.,41,87
6:41,2635,Foul on Domen Omladic.,41,87
6:41,-1,Leonidas Alexakos missed Free Throw.,41,87
6:41,2635,Shaq Calhoun Defensive Rebound.,41,87
6:21,2635,Courtney Alexander II made Layup.,41,89
6:05,-1,Bradley Cole missed Three Point Jumper.,41,89
6:05,2635,Shaq Calhoun Defensive Rebound.,41,89
6:01,2635,Shaq Calhoun Turnover.,41,89
5:54,-1,A.J. Caldwell missed Three Point Jumper.,41,89
5:54,-1,Leonidas Alexakos Offensive Rebound.,41,89
5:41,-1,Bradley Cole missed Three Point Jumper.,41,89
5:41,2635,Courtney Alexander II Defensive Rebound.,41,89
5:32,2635,Shaq Calhoun missed Layup.,41,89
5:32,-1,Bradley Cole Block.,41,89
5:30,-1,A.J. Caldwell Defensive Rebound.,41,89
5:26,-1,Moses Abwoch made Layup. Assisted by A.J. Caldwell.,43,89
5:13,-1,Foul on Moses Abwoch.,43,89
5:13,2635,Courtney Alexander II made Free Throw.,43,90
5:04,-1,A.J. Caldwell missed Three Point Jumper.,43,90
5:04,2635,Courtney Alexander II Defensive Rebound.,43,90
4:47,2635,Domen Omladic made Layup. Assisted by Maverick Smith.,43,92
4:36,-1,Nickolas Turner Turnover.,43,92
4:34,2635,Shaq Calhoun Steal.,43,92
4:31,2635,Courtney Alexander II made Dunk. Assisted by Courtney Alexander II.,43,94
4:03,-1,Drew McKay missed Three Point Jumper.,43,94
4:03,2635,Domen Omladic Defensive Rebound.,43,94
3:55,2635,Cade Crosland made Three Point Jumper. Assisted by Courtney Alexander II.,43,97
3:31,-1,Isaac Gibson missed Jumper.,43,97
3:31,2635,Micaiah Henry Defensive Rebound.,43,97
3:13,2635,Cade Crosland made Three Point Jumper. Assisted by Courtney Alexander II.,43,100
2:56,-1,Adam Rabke made Three Point Jumper. Assisted by Demetrius Minnick-Tucker.,46,100
2:54,-1,Boyce  Timeout,46,100
2:54,2635,Official TV Timeout,46,100
2:45,2635,Maverick Smith made Three Point Jumper. Assisted by Courtney Alexander II.,46,103
2:17,-1,Adam Rabke missed Three Point Jumper.,46,103
2:17,2635,Domen Omladic Defensive Rebound.,46,103
2:06,2635,Domen Omladic Turnover.,46,103
2:05,-1,Isaac Gibson Steal.,46,103
2:00,-1,Isaac Gibson missed Three Point Jumper.,46,103
2:00,2635,Maverick Smith Defensive Rebound.,46,103
1:47,2635,Courtney Alexander II made Layup.,46,105
1:47,-1,Foul on Malachi Williams.,46,105
1:47,2635,Courtney Alexander II missed Free Throw.,46,105
1:47,-1,Isaac Gibson Defensive Rebound.,46,105
1:18,-1,Leonidas Alexakos missed Three Point Jumper.,46,105
1:18,2635,Cade Crosland Defensive Rebound.,46,105
1:10,2635,Domen Omladic Turnover.,46,105
0:57,-1,Bradley Cole missed Jumper.,46,105
0:57,2635,Courtney Alexander II Defensive Rebound.,46,105
0:34,2635,Domen Omladic missed Three Point Jumper.,46,105
0:34,-1,Sebastian Castillon Defensive Rebound.,46,105
0:27,-1,Leonidas Alexakos made Jumper.,48,105
0:00,2635,End of Game,48,105
