Le Moyne-Owen,Error,UAB,5
3:13,5,Nate Darling Block.,24,43
3:13,-1,Lemoyne-Owen Offensive Rebound.,24,43
3:13,5,Official TV Timeout,24,43
3:04,-1,Aston Morton missed Layup.,24,43
3:04,5,Lewis Sullivan Defensive Rebound.,24,43
2:58,5,Chris Cokley made Dunk. Assisted by Nick Norton.,24,45
2:42,-1,Rashawn Ellis made Jumper.,26,45
2:25,5,Nick Norton missed Three Point Jumper.,26,45
2:25,-1,Jaquan Lawrence Defensive Rebound.,26,45
2:01,-1,Rashawn Ellis missed Three Point Jumper.,26,45
2:01,5,Nick Norton Defensive Rebound.,26,45
1:51,5,Lewis Sullivan Turnover.,26,45
1:51,5,Foul on Lewis Sullivan.,26,45
1:29,-1,Aston Morton Turnover.,26,45
1:29,5,Nick Norton Steal.,26,45
1:21,5,Deion Lavender Turnover.,26,45
1:07,-1,Jalen Myrie Turnover.,26,45
1:07,5,Deion Lavender Steal.,26,45
1:03,5,Deion Lavender made Layup.,26,47
0:38,-1,Jalen Myrie missed Three Point Jumper.,26,47
0:38,5,William Lee Defensive Rebound.,26,47
0:07,5,William Lee missed Three Point Jumper.,26,47
0:07,-1,Jalen Myrie Defensive Rebound.,26,47
0:00,5,End of 1st half,26,47
19:37,5,Nate Darling missed Layup.,26,47
19:37,5,Chris Cokley Offensive Rebound.,26,47
19:33,5,Chris Cokley made Layup.,26,49
19:27,-1,Martez Briggs missed Jumper.,26,49
19:27,5,Zack Bryant Defensive Rebound.,26,49
19:17,5,William Lee missed Three Point Jumper.,26,49
19:17,5,Nate Darling Offensive Rebound.,26,49
19:08,5,Zack Bryant missed Three Point Jumper.,26,49
19:08,-1,Daaron Maston Defensive Rebound.,26,49
18:49,-1,Rashawn Ellis missed Three Point Jumper.,26,49
18:49,-1,Martez Briggs Offensive Rebound.,26,49
18:26,-1,Rashawn Ellis missed Jumper.,26,49
18:26,5,William Lee Block.,26,49
18:23,5,Nate Darling Defensive Rebound.,26,49
18:18,5,Chris Cokley missed Layup.,26,49
18:18,-1,Jaquan Lawrence Defensive Rebound.,26,49
17:59,-1,Jaquan Lawrence made Jumper. Assisted by Rashawn Ellis.,28,49
17:42,5,Nate Darling missed Three Point Jumper.,28,49
17:42,-1,Lemoyne-Owen Defensive Rebound.,28,49
17:14,-1,Jalen Myrie missed Layup.,28,49
17:14,-1,Jaquan Lawrence Offensive Rebound.,28,49
17:12,-1,Jaquan Lawrence missed Layup.,28,49
17:12,5,William Lee Block.,28,49
17:11,5,Chris Cokley Defensive Rebound.,28,49
16:57,5,William Lee Turnover.,28,49
16:56,-1,Rashawn Ellis Steal.,28,49
16:52,-1,Rashawn Ellis missed Layup.,28,49
16:52,5,Nick Norton Defensive Rebound.,28,49
16:40,5,Zack Bryant made Dunk. Assisted by William Lee.,28,51
16:39,5,UAB  Timeout,28,51
16:30,-1,Daaron Maston missed Layup.,28,51
16:30,5,Chris Cokley Defensive Rebound.,28,51
16:20,5,Zack Bryant missed Three Point Jumper.,28,51
16:20,-1,Daaron Maston Defensive Rebound.,28,51
16:16,-1,Daaron Maston Turnover.,28,51
16:15,5,Chris Cokley Steal.,28,51
16:12,5,Chris Cokley made Dunk. Assisted by Lewis Sullivan.,28,53
15:54,-1,Rashawn Ellis made Jumper.,30,53
15:41,5,Official TV Timeout,30,53
15:34,-1,Foul on Jalen Myrie.,30,53
15:34,5,Official TV Timeout,30,53
15:23,5,Jalen Perry Turnover.,30,53
15:22,-1,Jalen Myrie Steal.,30,53
15:20,5,Foul on Lewis Sullivan.,30,53
15:20,-1,Daaron Maston made Free Throw.,31,53
15:20,-1,Daaron Maston made Free Throw.,32,53
15:20,5,Foul on Jalen Perry.,32,53
15:10,-1,Daaron Maston made Layup.,34,53
14:37,5,Nate Darling Turnover.,34,53
14:21,-1,Daaron Maston missed Layup.,34,53
14:21,5,Lewis Sullivan Block.,34,53
14:20,5,Lewis Sullivan Defensive Rebound.,34,53
13:51,5,Nate Darling missed Three Point Jumper.,34,53
13:51,-1,Daaron Maston Defensive Rebound.,34,53
13:46,5,Foul on Zack Bryant.,34,53
13:43,-1,Rashawn Ellis made Three Point Jumper. Assisted by Daaron Maston.,37,53
13:10,5,Nick Norton missed Three Point Jumper.,37,53
13:10,-1,Jalen Myrie Defensive Rebound.,37,53
13:00,-1,Daaron Maston missed Three Point Jumper.,37,53
13:00,5,Nick Norton Defensive Rebound.,37,53
12:56,-1,Foul on Daaron Maston.,37,53
12:39,5,William Lee made Three Point Jumper. Assisted by Nate Darling.,37,56
12:15,-1,Aston Morton missed Layup.,37,56
12:15,-1,Kemar Campbell Offensive Rebound.,37,56
12:11,-1,Kemar Campbell made Two Point Tip Shot.,39,56
11:54,5,Makhtar Gueye missed Three Point Jumper.,39,56
11:54,-1,Kemar Campbell Defensive Rebound.,39,56
11:28,-1,Rashawn Ellis made Three Point Jumper.,42,56
11:20,5,UAB  Timeout,42,56
11:04,5,Chris Cokley made Jumper. Assisted by Nick Norton.,42,58
10:53,-1,Daaron Maston Turnover.,42,58
10:51,5,Makhtar Gueye Steal.,42,58
10:49,-1,Foul on Jalen Myrie.,42,58
10:49,5,Chris Cokley made Free Throw.,42,59
10:49,5,Chris Cokley missed Free Throw.,42,59
10:49,-1,Aston Morton Defensive Rebound.,42,59
10:45,5,Foul on Makhtar Gueye.,42,59
10:35,-1,Rashawn Ellis made Three Point Jumper. Assisted by Jalen Myrie.,45,59
10:35,-1,Lemoyne-Owen  Timeout,45,59
10:34,5,William Lee made Layup. Assisted by Deion Lavender.,45,61
9:51,-1,Daaron Maston missed Jumper.,45,61
9:51,-1,Jaquan Lawrence Offensive Rebound.,45,61
9:47,-1,Jaquan Lawrence missed Jumper.,45,61
9:47,-1,Aston Morton Offensive Rebound.,45,61
9:46,5,Foul on Makhtar Gueye.,45,61
9:46,-1,Aston Morton made Free Throw.,46,61
9:46,-1,Daaron Maston Turnover.,46,61
9:23,5,William Lee missed Jumper.,46,61
9:23,-1,Jalen Myrie Defensive Rebound.,46,61
9:16,-1,Daaron Maston missed Three Point Jumper.,46,61
9:16,5,Chris Cokley Defensive Rebound.,46,61
9:04,5,Deion Lavender Turnover.,46,61
8:53,5,Foul on Deion Lavender.,46,61
8:48,-1,Aston Morton missed Three Point Jumper.,46,61
8:48,-1,Daaron Maston Offensive Rebound.,46,61
8:45,-1,Daaron Maston made Layup.,48,61
8:45,5,Foul on Nick Norton.,48,61
8:45,-1,Daaron Maston made Free Throw.,49,61
8:33,5,Zack Bryant missed Layup.,49,61
8:33,-1,Jaquan Lawrence Block.,49,61
8:29,-1,Jaquan Lawrence Defensive Rebound.,49,61
8:09,-1,Aston Morton Turnover.,49,61
7:56,5,Nick Norton Turnover.,49,61
7:55,-1,Aston Morton Steal.,49,61
7:35,-1,Rashawn Ellis made Jumper.,51,61
7:29,-1,Foul on Jalen Myrie.,51,61
7:29,5,Official TV Timeout,51,61
7:12,5,Jalen Perry made Jumper. Assisted by Chris Cokley.,51,63
6:52,-1,Rashawn Ellis missed Jumper.,51,63
6:52,-1,Jaquan Lawrence Offensive Rebound.,51,63
6:48,-1,Daaron Maston missed Three Point Jumper.,51,63
6:48,5,Chris Cokley Defensive Rebound.,51,63
6:39,5,Jalen Perry missed Three Point Jumper.,51,63
6:39,-1,Jalen Myrie Defensive Rebound.,51,63
6:11,-1,Jalen Myrie missed Layup.,51,63
6:11,5,Jalen Perry Defensive Rebound.,51,63
5:59,5,Chris Cokley missed Jumper.,51,63
5:59,5,Lewis Sullivan Offensive Rebound.,51,63
5:46,-1,Foul on Rashawn Ellis.,51,63
5:46,5,Lewis Sullivan made Free Throw.,51,64
5:46,5,Lewis Sullivan missed Free Throw.,51,64
5:46,-1,Filip Vukmorovic Defensive Rebound.,51,64
5:34,5,Foul on Lewis Sullivan.,51,64
5:34,-1,Jaquan Lawrence missed Free Throw.,51,64
5:34,-1,Lemoyne-Owen Deadball Team Rebound.,51,64
5:34,-1,Jaquan Lawrence made Free Throw.,52,64
5:24,-1,Foul on Branson Bush.,52,64
5:16,5,Zack Bryant missed Jumper.,52,64
5:16,-1,Jaquan Lawrence Defensive Rebound.,52,64
4:57,-1,Rashawn Ellis missed Three Point Jumper.,52,64
4:57,-1,Lemoyne-Owen Offensive Rebound.,52,64
4:55,5,Foul on Nate Darling.,52,64
4:55,-1,Aston Morton made Free Throw.,53,64
4:55,-1,Aston Morton missed Free Throw.,53,64
4:55,5,William Lee Defensive Rebound.,53,64
4:40,5,Jalen Perry missed Three Point Jumper.,53,64
4:40,5,William Lee Offensive Rebound.,53,64
4:20,5,William Lee made Three Point Jumper. Assisted by Nick Norton.,53,67
3:51,5,Foul on Jalen Perry.,53,67
3:51,5,Official TV Timeout,53,67
3:51,-1,Rashawn Ellis made Free Throw.,54,67
3:51,-1,Rashawn Ellis missed Free Throw.,54,67
3:51,5,William Lee Defensive Rebound.,54,67
3:36,5,Zack Bryant made Three Point Jumper. Assisted by Nick Norton.,54,70
3:07,-1,Jaquan Lawrence Turnover.,54,70
3:06,5,William Lee Steal.,54,70
2:58,-1,Foul on Rashawn Ellis.,54,70
2:58,5,Chris Cokley made Free Throw.,54,71
2:58,5,Chris Cokley made Free Throw.,54,72
2:40,-1,Jalen Myrie missed Three Point Jumper.,54,72
2:40,5,Chris Cokley Defensive Rebound.,54,72
2:30,-1,Foul on Jaquan Lawrence.,54,72
2:30,-1,Lemoyne-Owen  Timeout,54,72
2:30,5,Nick Norton made Free Throw.,54,73
2:30,5,Nick Norton made Free Throw.,54,74
2:20,-1,Lemoyne-Owen  Timeout,54,74
2:01,-1,Daaron Maston missed Three Point Jumper.,54,74
2:01,5,William Lee Defensive Rebound.,54,74
1:34,5,Zack Bryant missed Three Point Jumper.,54,74
1:34,-1,Rashawn Ellis Defensive Rebound.,54,74
1:24,-1,Daaron Maston Turnover.,54,74
1:22,5,Zack Bryant Steal.,54,74
1:19,5,Makhtar Gueye made Layup. Assisted by Zack Bryant.,54,76
1:09,-1,Rashawn Ellis missed Three Point Jumper.,54,76
1:09,5,UAB Defensive Rebound.,54,76
0:56,5,Zack Bryant missed Layup.,54,76
0:56,-1,Jaquan Lawrence Defensive Rebound.,54,76
0:45,-1,Jalen Myrie made Three Point Jumper. Assisted by Rashawn Ellis.,57,76
0:37,5,Jalen Perry made Layup.,57,78
0:37,-1,Foul on Jaquan Lawrence.,57,78
0:37,5,Jalen Perry made Free Throw.,57,79
0:14,-1,Filip Vukmorovic Turnover.,57,79
0:13,5,Zack Bryant Steal.,57,79
0:11,5,Zack Bryant made Dunk.,57,81
0:03,-1,Rashawn Ellis missed Three Point Jumper.,57,81
0:03,5,Makhtar Gueye Defensive Rebound.,57,81
0:00,5,End of Game,57,81
