Johnson &amp; Wales (CO),Error,Denver,2172
18:02,2172,Joe Rosga made Layup.,29,39
17:41,-1,Cole Moore missed Three Point Jumper.,29,39
17:41,2172,Joe Rosga Defensive Rebound.,29,39
17:34,2172,Daniel Amigo Turnover.,29,39
17:32,-1,King Grant-Perry Steal.,29,39
17:31,-1,King Grant-Perry Turnover.,29,39
17:30,2172,Daniel Amigo Steal.,29,39
17:29,2172,Joe Rosga made Three Point Jumper. Assisted by Daniel Amigo.,29,42
17:05,-1,Andrew Romero III missed Three Point Jumper.,29,42
17:05,2172,Daniel Amigo Defensive Rebound.,29,42
16:45,2172,Daniel Amigo missed Jumper.,29,42
16:45,2172,Abiola Akintola Offensive Rebound.,29,42
16:43,2172,Abiola Akintola made Layup.,29,44
16:27,-1,Dakota Patton Turnover.,29,44
16:26,2172,Joe Rosga Steal.,29,44
16:20,-1,Foul on Jontrell Herman.,29,44
16:20,2172,Joe Rosga made Free Throw.,29,45
16:20,2172,Joe Rosga made Free Throw.,29,46
16:05,-1,Jontrell Herman missed Jumper.,29,46
16:05,2172,Daniel Amigo Defensive Rebound.,29,46
15:57,2172,Abiola Akintola missed Jumper.,29,46
15:57,2172,Joe Rosga Offensive Rebound.,29,46
15:54,2172,Elvin Rodriguez made Three Point Jumper. Assisted by Joe Rosga.,29,49
15:38,2172,Foul on Jake Pemberton.,29,49
15:38,2172,Official TV Timeout,29,49
15:32,2172,Foul on Jake Pemberton.,29,49
15:20,-1,Jontrell Herman missed Layup.,29,49
15:20,2172,Abiola Akintola Block.,29,49
15:18,-1,Johnson & Wales (CO) Offensive Rebound.,29,49
15:13,-1,Jontrell Herman missed Jumper.,29,49
15:13,2172,Jake Krafka Defensive Rebound.,29,49
15:05,2172,Joe Rosga made Three Point Jumper. Assisted by Elvin Rodriguez.,29,52
14:51,-1,Bailey Stephens missed Three Point Jumper.,29,52
14:51,-1,Cole Moore Offensive Rebound.,29,52
14:35,-1,Andrew Romero III missed Layup.,29,52
14:35,2172,Daniel Amigo Block.,29,52
14:33,2172,Jake Krafka Defensive Rebound.,29,52
14:27,2172,Daniel Amigo missed Layup.,29,52
14:27,2172,Elvin Rodriguez Offensive Rebound.,29,52
14:22,2172,Joe Rosga made Three Point Jumper. Assisted by Jake Pemberton.,29,55
14:21,-1,Foul on Cole Moore.,29,55
14:21,2172,Joe Rosga made Free Throw.,29,56
14:12,2172,Foul on Luke Neff.,29,56
13:58,-1,Andrew Romero III made Three Point Jumper.,32,56
13:39,2172,Jake Krafka made Jumper. Assisted by Elvin Rodriguez.,32,58
13:26,-1,Jontrell Herman missed Layup.,32,58
13:26,2172,Christian Mackey Block.,32,58
13:25,2172,Christian Mackey Defensive Rebound.,32,58
13:22,2172,Elvin Rodriguez Turnover.,32,58
13:20,-1,Bailey Stephens Steal.,32,58
13:14,-1,Cole Moore Turnover.,32,58
13:13,2172,Jake Holtzmann Steal.,32,58
13:06,-1,Foul on King Grant-Perry.,32,58
13:03,2172,Luke Neff missed Three Point Jumper.,32,58
13:03,-1,Cole Moore Defensive Rebound.,32,58
12:56,-1,Bailey Stephens missed Three Point Jumper.,32,58
12:56,2172,Jake Krafka Defensive Rebound.,32,58
12:49,2172,Elvin Rodriguez Turnover.,32,58
12:48,-1,Bailey Stephens Steal.,32,58
12:46,-1,Bailey Stephens made Layup.,34,58
12:46,2172,Foul on Jake Krafka.,34,58
12:46,-1,Bailey Stephens made Free Throw.,35,58
12:28,-1,Foul on Bailey Stephens.,35,58
12:22,2172,Elvin Rodriguez made Layup.,35,60
12:04,-1,Jontrell Herman missed Three Point Jumper.,35,60
12:04,2172,Jake Krafka Defensive Rebound.,35,60
11:52,2172,Elvin Rodriguez made Three Point Jumper. Assisted by Luke Neff.,35,63
11:43,-1,Johnson & Wales (CO)  Timeout,35,63
11:21,-1,Jontrell Herman made Three Point Jumper. Assisted by Andrew Romero III.,38,63
11:06,2172,Luke Neff made Layup. Assisted by Jake Krafka.,38,65
10:36,-1,Jontrell Herman missed Three Point Jumper.,38,65
10:36,2172,Jake Krafka Defensive Rebound.,38,65
10:28,2172,Luke Neff Turnover.,38,65
10:26,-1,King Grant-Perry Steal.,38,65
10:22,-1,Jontrell Herman made Jumper. Assisted by King Grant-Perry.,40,65
10:22,2172,Foul on Elvin Rodriguez.,40,65
10:22,2172,Official TV Timeout,40,65
10:21,-1,Jontrell Herman made Free Throw.,41,65
9:58,2172,Joe Rosga Turnover.,41,65
9:56,-1,Bailey Stephens Steal.,41,65
9:52,-1,King Grant-Perry Offensive Rebound.,41,65
9:52,-1,Bailey Stephens missed Jumper.,41,65
9:41,-1,King Grant-Perry made Layup.,43,65
9:37,2172,Ade Murkey Turnover.,43,65
9:37,2172,Foul on Ade Murkey.,43,65
9:25,2172,Foul on Jake Pemberton.,43,65
9:25,-1,Bailey Stephens made Free Throw.,44,65
9:25,-1,Bailey Stephens missed Free Throw.,44,65
9:25,-1,Andrew Romero III Offensive Rebound.,44,65
9:21,-1,Jontrell Herman missed Three Point Jumper.,44,65
9:21,2172,Ade Murkey Defensive Rebound.,44,65
9:13,2172,Daniel Amigo made Layup. Assisted by Ade Murkey.,44,67
8:59,-1,Cole Moore made Layup.,46,67
8:54,2172,Luke Neff Turnover.,46,67
8:54,2172,Foul on Luke Neff.,46,67
8:51,-1,Jontrell Herman missed Three Point Jumper.,46,67
8:51,2172,Luke Neff Defensive Rebound.,46,67
8:40,2172,Jake Krafka made Three Point Jumper. Assisted by Luke Neff.,46,70
8:28,-1,Andrew Romero III missed Three Point Jumper.,46,70
8:28,2172,Jake Krafka Defensive Rebound.,46,70
8:12,2172,Jake Holtzmann missed Three Point Jumper.,46,70
8:12,2172,Christian Mackey Offensive Rebound.,46,70
8:08,2172,Christian Mackey made Layup.,46,72
7:49,-1,Cole Moore Turnover.,46,72
7:49,-1,Foul on Cole Moore.,46,72
7:49,2172,Official TV Timeout,46,72
7:43,2172,Jake Holtzmann made Three Point Jumper. Assisted by Jake Krafka.,46,75
7:13,-1,Jontrell Herman missed Layup.,46,75
7:13,2172,Elvin Rodriguez Block.,46,75
7:11,2172,Christian Mackey Defensive Rebound.,46,75
7:03,-1,Foul on Dakota Patton.,46,75
7:03,2172,Elvin Rodriguez missed Free Throw.,46,75
7:03,2172,Denver Deadball Team Rebound.,46,75
7:03,2172,Elvin Rodriguez made Free Throw.,46,76
6:37,-1,Bailey Stephens missed Jumper.,46,76
6:37,-1,Dakota Patton Offensive Rebound.,46,76
6:26,-1,Jontrell Herman missed Three Point Jumper.,46,76
6:26,2172,Christian Mackey Defensive Rebound.,46,76
6:17,2172,Jake Krafka made Dunk. Assisted by Elvin Rodriguez.,46,78
6:09,-1,Johnson & Wales (CO)  Timeout,46,78
5:45,-1,Bailey Stephens missed Jumper.,46,78
5:45,2172,Elvin Rodriguez Defensive Rebound.,46,78
5:42,-1,Foul on Andrew Romero III.,46,78
5:42,2172,Elvin Rodriguez missed Free Throw.,46,78
5:42,-1,Johnson & Wales (CO) Defensive Rebound.,46,78
5:42,2172,Foul on Donoven Carlisle.,46,78
5:42,-1,Bailey Stephens made Free Throw.,47,78
5:42,-1,Bailey Stephens made Free Throw.,48,78
5:26,2172,Jake Holtzmann missed Layup.,48,78
5:26,2172,Donoven Carlisle Offensive Rebound.,48,78
5:19,2172,Jake Holtzmann Turnover.,48,78
4:53,-1,Jalen Scandrett missed Jumper.,48,78
4:53,2172,Jake Holtzmann Defensive Rebound.,48,78
4:43,2172,Donoven Carlisle missed Layup.,48,78
4:43,-1,King Grant-Perry Block.,48,78
4:41,-1,Bailey Stephens Defensive Rebound.,48,78
4:37,-1,Andrew Romero III missed Layup.,48,78
4:37,2172,Donoven Carlisle Block.,48,78
4:36,-1,King Grant-Perry Offensive Rebound.,48,78
4:33,-1,Dakota Patton missed Layup.,48,78
4:33,2172,Donoven Carlisle Defensive Rebound.,48,78
4:25,2172,Elvin Rodriguez made Layup.,48,80
4:25,-1,Foul on Jontrell Herman.,48,80
4:25,2172,Elvin Rodriguez made Free Throw.,48,81
4:19,2172,Foul on Elvin Rodriguez.,48,81
4:19,-1,Andrew Romero III missed Free Throw.,48,81
4:19,-1,Johnson & Wales (CO) Deadball Team Rebound.,48,81
4:19,-1,Andrew Romero III missed Free Throw.,48,81
4:19,-1,Bailey Stephens Offensive Rebound.,48,81
4:14,-1,Bailey Stephens Turnover.,48,81
4:14,2172,Jake Holtzmann Steal.,48,81
4:11,2172,Jake Holtzmann made Layup.,48,83
3:50,2172,Official TV Timeout,48,83
3:48,2172,Foul on Elvin Rodriguez.,48,83
3:48,-1,Andrew Romero III missed Free Throw.,48,83
3:48,-1,Johnson & Wales (CO) Deadball Team Rebound.,48,83
3:48,-1,Andrew Romero III made Free Throw.,49,83
3:33,2172,Emil Knighton made Layup. Assisted by Luke Neff.,49,85
3:19,-1,Andrew Romero III made Three Point Jumper.,52,85
2:58,2172,Emil Knighton missed Layup.,52,85
2:58,-1,King Grant-Perry Block.,52,85
2:58,2172,Denver Offensive Rebound.,52,85
2:49,2172,Elvin Rodriguez made Layup.,52,87
2:25,-1,Jontrell Herman missed Three Point Jumper.,52,87
2:25,-1,King Grant-Perry Offensive Rebound.,52,87
2:19,-1,Andrew Romero III made Layup.,54,87
1:52,2172,Elvin Rodriguez Turnover.,54,87
1:50,-1,King Grant-Perry Steal.,54,87
1:45,-1,Jalen Scandrett made Three Point Jumper. Assisted by Andrew Romero III.,57,87
1:29,2172,Luke Neff missed Three Point Jumper.,57,87
1:29,2172,Donoven Carlisle Offensive Rebound.,57,87
1:27,2172,Donoven Carlisle missed Two Point Tip Shot.,57,87
1:27,-1,Andrew Romero III Defensive Rebound.,57,87
1:23,-1,Andrew Romero III Turnover.,57,87
1:20,2172,Elvin Rodriguez Turnover.,57,87
1:09,-1,Jontrell Herman missed Layup.,57,87
1:09,2172,Emil Knighton Defensive Rebound.,57,87
1:05,2172,Elvin Rodriguez made Dunk. Assisted by Emil Knighton.,57,89
0:48,-1,King Grant-Perry Turnover.,57,89
0:47,2172,Elvin Rodriguez Steal.,57,89
0:43,2172,Donoven Carlisle made Layup.,57,91
0:14,-1,Jontrell Herman missed Layup.,57,91
0:14,2172,Donoven Carlisle Defensive Rebound.,57,91
0:09,2172,Luke Neff Turnover.,57,91
0:08,-1,Andrew Romero III Steal.,57,91
0:06,-1,Mike Howerton made Layup. Assisted by Andrew Romero III.,59,91
0:00,2172,End of Game,59,91
