Kentucky State,Error,Eastern Kentucky,2198
13:48,-1,Ray Croon Offensive Rebound.,12,4
13:43,2198,Foul on Zach Charles.,12,4
13:34,-1,Austin Sherrell missed Three Point Jumper.,12,4
13:34,2198,Dedric Boyd Defensive Rebound.,12,4
13:25,2198,Peyton Broughton missed Jumper.,12,4
13:25,-1,Felix Wilson Defensive Rebound.,12,4
13:17,-1,Felix Wilson Turnover.,12,4
13:11,2198,DeAndre Dishman made Dunk. Assisted by Nick Mayo.,12,6
13:10,-1,Foul on Felix Wilson.,12,6
13:10,2198,DeAndre Dishman missed Free Throw.,12,6
13:10,-1,Austin Sherrell Defensive Rebound.,12,6
13:04,-1,Ray Croon Turnover.,12,6
12:44,-1,Foul on Ray Croon.,12,6
12:33,2198,Dedric Boyd missed Jumper.,12,6
12:33,-1,Felix Wilson Block.,12,6
12:33,-1,Kentucky State Defensive Rebound.,12,6
12:15,-1,Ray Croon made Jumper.,14,6
11:53,2198,Peyton Broughton made Three Point Jumper. Assisted by Nick Mayo.,14,9
11:28,-1,Austin Sherrell missed Jumper.,14,9
11:28,2198,Zach Charles Defensive Rebound.,14,9
11:11,2198,Nick Mayo missed Three Point Jumper.,14,9
11:11,-1,Ray Croon Defensive Rebound.,14,9
11:02,-1,Ray Croon Turnover.,14,9
11:01,2198,Nick Mayo Steal.,14,9
10:59,2198,Nick Mayo Turnover.,14,9
10:58,-1,Kevin Hayes Steal.,14,9
10:54,-1,Kevin Hayes missed Jumper.,14,9
10:54,-1,Kevin Hayes Offensive Rebound.,14,9
10:35,-1,Reggie Breeden made Three Point Jumper. Assisted by Felix Wilson.,17,9
10:21,2198,DeAndre Dishman made Layup. Assisted by Nick Mayo.,17,11
10:01,2198,Foul on DeAndre Dishman.,17,11
10:01,2198,Official TV Timeout,17,11
10:01,-1,Ray Croon missed Free Throw.,17,11
10:01,-1,Kentucky State Deadball Team Rebound.,17,11
10:01,-1,Ray Croon missed Free Throw.,17,11
10:01,2198,DeAndre Dishman Defensive Rebound.,17,11
9:48,2198,Peyton Broughton missed Jumper.,17,11
9:48,2198,DeAndre Dishman Offensive Rebound.,17,11
9:44,2198,DeAndre Dishman missed Two Point Tip Shot.,17,11
9:44,-1,Michael Stevenson Defensive Rebound.,17,11
9:35,-1,Reggie Breeden missed Three Point Jumper.,17,11
9:35,2198,Peyton Broughton Defensive Rebound.,17,11
9:24,2198,DeAndre Dishman missed Jumper.,17,11
9:24,-1,Austin Sherrell Defensive Rebound.,17,11
9:00,-1,Ray Croon made Three Point Jumper. Assisted by Felix Wilson.,20,11
8:36,2198,DeAndre Dishman made Layup.,20,13
8:22,2198,Foul on JacQuess Hobbs.,20,13
8:19,-1,Felix Wilson missed Three Point Jumper.,20,13
8:19,2198,Dillon Avare Defensive Rebound.,20,13
7:48,2198,JacQuess Hobbs missed Jumper.,20,13
7:48,-1,David Jelks Defensive Rebound.,20,13
7:40,2198,Foul on JacQuess Hobbs.,20,13
7:40,2198,Official TV Timeout,20,13
7:36,-1,Reggie Breeden made Three Point Jumper. Assisted by Felix Wilson.,23,13
7:14,2198,Nick Mayo missed Jumper.,23,13
7:14,-1,Ray Croon Defensive Rebound.,23,13
7:04,-1,Ray Croon missed Jumper.,23,13
7:04,-1,Ray Croon Offensive Rebound.,23,13
7:02,-1,Ray Croon made Two Point Tip Shot.,25,13
6:46,2198,Nick Mayo Turnover.,25,13
6:32,-1,Reggie Breeden made Jumper. Assisted by Ray Croon.,27,13
6:18,2198,Dedric Boyd made Three Point Jumper.,27,16
6:07,-1,Michael Stevenson missed Layup.,27,16
6:07,2198,Nick Mayo Block.,27,16
6:06,-1,Michael Stevenson Offensive Rebound.,27,16
6:04,-1,Michael Stevenson missed Jumper.,27,16
6:04,2198,DeAndre Dishman Block.,27,16
6:03,-1,Michael Stevenson Offensive Rebound.,27,16
6:01,-1,Michael Stevenson missed Two Point Tip Shot.,27,16
6:01,2198,Nick Mayo Defensive Rebound.,27,16
5:53,2198,Dedric Boyd made Dunk.,27,18
5:37,-1,Reggie Breeden missed Jumper.,27,18
5:37,2198,Dedric Boyd Defensive Rebound.,27,18
5:31,-1,Foul on Reggie Breeden.,27,18
5:22,2198,Jackson Davis missed Jumper.,27,18
5:22,-1,David Jelks Defensive Rebound.,27,18
5:13,-1,Felix Wilson made Jumper.,29,18
4:56,-1,Foul on David Jelks.,29,18
4:56,2198,Nick Mayo made Dunk. Assisted by A.J. Youngman.,29,20
4:34,-1,Felix Wilson missed Jumper.,29,20
4:34,2198,Jackson Davis Defensive Rebound.,29,20
4:27,2198,Dedric Boyd missed Jumper.,29,20
4:27,-1,Ray Croon Defensive Rebound.,29,20
4:12,-1,Ray Croon Turnover.,29,20
4:01,2198,Nick Mayo missed Jumper.,29,20
4:01,-1,Ray Croon Defensive Rebound.,29,20
3:39,-1,Felix Wilson Turnover.,29,20
3:39,2198,Official TV Timeout,29,20
3:23,2198,A.J. Youngman made Three Point Jumper. Assisted by Dillon Avare.,29,23
3:11,-1,Ray Croon missed Jumper.,29,23
3:11,2198,Nick Mayo Defensive Rebound.,29,23
3:06,2198,Dedric Boyd made Layup.,29,25
3:06,-1,Foul on Felix Wilson.,29,25
3:06,2198,Technical Foul on Jackson Davis.,29,25
3:06,2198,Foul on Jackson Davis.,29,25
3:06,-1,Reggie Breeden made Free Throw.,30,25
3:06,-1,Reggie Breeden missed Free Throw.,30,25
3:06,-1,Kentucky State Deadball Team Rebound.,30,25
3:06,2198,Dedric Boyd made Free Throw.,30,26
2:50,-1,Kevin Hayes made Layup. Assisted by Reggie Breeden.,32,26
2:27,2198,Nick Mayo made Jumper. Assisted by JacQuess Hobbs.,32,28
2:08,-1,Chas Harvey missed Jumper.,32,28
2:08,2198,DeAndre Dishman Block.,32,28
2:07,-1,Austin Sherrell Offensive Rebound.,32,28
2:03,-1,Chas Harvey missed Three Point Jumper.,32,28
2:03,2198,JacQuess Hobbs Defensive Rebound.,32,28
1:46,-1,Foul on Ray Croon.,32,28
1:29,2198,Dedric Boyd made Layup.,32,30
1:04,-1,Kevin Hayes made Jumper. Assisted by Austin Sherrell.,34,30
0:46,2198,Nick Mayo made Layup.,34,32
0:31,-1,Kentucky State  Timeout,34,32
0:18,-1,Ray Croon Turnover.,34,32
0:17,2198,Dedric Boyd Steal.,34,32
0:14,2198,A.J. Youngman made Three Point Jumper. Assisted by JacQuess Hobbs.,34,35
0:06,-1,Ray Croon missed Layup.,34,35
0:06,-1,Kevin Hayes Offensive Rebound.,34,35
0:04,-1,Kevin Hayes made Two Point Tip Shot.,36,35
0:00,2198,End of 1st half,36,35
19:37,2198,Zach Charles made Jumper. Assisted by JacQuess Hobbs.,36,37
19:28,2198,Foul on Nick Mayo.,36,37
19:28,-1,Kevin Hayes made Free Throw.,37,37
19:28,-1,Kevin Hayes missed Free Throw.,37,37
19:28,2198,DeAndre Dishman Defensive Rebound.,37,37
19:16,2198,Zach Charles missed Layup.,37,37
19:16,2198,Dedric Boyd Offensive Rebound.,37,37
19:09,2198,DeAndre Dishman missed Jumper.,37,37
19:09,-1,Ray Croon Defensive Rebound.,37,37
18:57,-1,Reggie Breeden made Jumper. Assisted by Kevin Hayes.,39,37
18:27,2198,DeAndre Dishman made Layup. Assisted by Nick Mayo.,39,39
18:13,-1,Austin Sherrell missed Three Point Jumper.,39,39
18:13,2198,Dedric Boyd Defensive Rebound.,39,39
18:06,2198,DeAndre Dishman made Layup. Assisted by Dedric Boyd.,39,41
18:04,-1,Foul on Kevin Hayes.,39,41
18:04,2198,DeAndre Dishman made Free Throw.,39,42
17:58,-1,Ray Croon missed Jumper.,39,42
17:58,2198,Zach Charles Block.,39,42
17:57,2198,Dedric Boyd Defensive Rebound.,39,42
17:50,2198,JacQuess Hobbs missed Layup.,39,42
17:50,-1,Kentucky State Defensive Rebound.,39,42
17:40,-1,Kevin Hayes Turnover.,39,42
17:14,-1,Foul on Kevin Hayes.,39,42
17:14,2198,Dedric Boyd made Free Throw.,39,43
17:14,2198,Dedric Boyd made Free Throw.,39,44
17:03,-1,Ray Croon Turnover.,39,44
17:02,2198,JacQuess Hobbs Steal.,39,44
17:01,-1,Foul on Reggie Breeden.,39,44
16:55,2198,DeAndre Dishman missed Jumper.,39,44
16:55,-1,Kentucky State Defensive Rebound.,39,44
16:36,-1,Austin Sherrell missed Jumper.,39,44
16:36,2198,JacQuess Hobbs Defensive Rebound.,39,44
16:24,2198,Nick Mayo made Jumper. Assisted by Zach Charles.,39,46
16:01,-1,Reggie Breeden missed Jumper.,39,46
16:01,2198,Zach Charles Defensive Rebound.,39,46
15:54,-1,Foul on Felix Wilson.,39,46
15:54,2198,Official TV Timeout,39,46
15:54,2198,DeAndre Dishman made Free Throw.,39,47
15:54,2198,DeAndre Dishman made Free Throw.,39,48
15:38,2198,Foul on JacQuess Hobbs.,39,48
15:38,-1,Kentucky State  Timeout,39,48
15:38,2198,Official TV Timeout,39,48
15:25,-1,Toussaint Rose Turnover.,39,48
15:14,2198,Nick Mayo Turnover.,39,48
15:00,-1,Reggie Breeden missed Jumper.,39,48
15:00,2198,DeAndre Dishman Defensive Rebound.,39,48
14:48,-1,Foul on Ray Croon.,39,48
14:41,2198,DeAndre Dishman missed Jumper.,39,48
14:41,-1,Austin Sherrell Defensive Rebound.,39,48
14:33,-1,David Jelks missed Jumper.,39,48
14:33,2198,Nick Mayo Defensive Rebound.,39,48
14:14,-1,Foul on Ray Croon.,39,48
14:14,2198,Nick Mayo made Free Throw.,39,49
14:14,2198,Nick Mayo made Free Throw.,39,50
14:02,-1,Foul on Kevin Hayes.,39,50
14:02,-1,Kevin Hayes Turnover.,39,50
13:51,2198,Jackson Davis made Layup. Assisted by Nick Mayo.,39,52
13:23,-1,David Jelks made Layup. Assisted by Reggie Breeden.,41,52
13:09,2198,Dedric Boyd made Three Point Jumper.,41,55
12:37,-1,David Jelks made Jumper. Assisted by Kevin Hayes.,43,55
12:24,2198,Dedric Boyd Turnover.,43,55
12:23,-1,Austin Sherrell Steal.,43,55
12:19,-1,Austin Sherrell missed Layup.,43,55
12:19,2198,Nick Mayo Defensive Rebound.,43,55
12:13,2198,Dillon Avare made Three Point Jumper.,43,58
11:45,-1,Reggie Breeden missed Layup.,43,58
11:45,2198,Nick Mayo Block.,43,58
11:43,2198,Jackson Davis Defensive Rebound.,43,58
11:39,2198,Peyton Broughton made Layup. Assisted by Dedric Boyd.,43,60
11:33,-1,Kentucky State  Timeout,43,60
11:33,2198,Official TV Timeout,43,60
11:11,-1,Reggie Breeden missed Jumper.,43,60
11:11,-1,Austin Sherrell Offensive Rebound.,43,60
11:03,-1,Kevin Hayes Turnover.,43,60
10:53,-1,Foul on David Jelks.,43,60
10:53,2198,Nick Mayo made Free Throw.,43,61
10:53,2198,Nick Mayo made Free Throw.,43,62
10:47,-1,David Jelks made Layup. Assisted by Felix Wilson.,45,62
10:24,2198,Jackson Davis Turnover.,45,62
10:16,-1,Felix Wilson Steal.,45,62
10:15,-1,Kevin Hayes missed Layup.,45,62
10:15,-1,Felix Wilson Offensive Rebound.,45,62
10:15,-1,Felix Wilson missed Two Point Tip Shot.,45,62
10:15,2198,Eastern Kentucky Defensive Rebound.,45,62
10:02,2198,Jackson Davis missed Jumper.,45,62
10:02,2198,Zach Charles Offensive Rebound.,45,62
9:47,2198,JacQuess Hobbs made Jumper.,45,64
9:31,-1,Michael Stevenson Turnover.,45,64
9:14,-1,Foul on David Jelks.,45,64
9:14,2198,Jackson Davis made Free Throw.,45,65
9:14,2198,Jackson Davis made Free Throw.,45,66
9:05,-1,Ray Croon made Layup.,47,66
8:52,2198,Dedric Boyd made Jumper.,47,68
8:42,-1,Ray Croon missed Jumper.,47,68
8:42,2198,Zach Charles Block.,47,68
8:41,-1,David Jelks Offensive Rebound.,47,68
8:40,2198,Foul on A.J. Youngman.,47,68
8:40,-1,David Jelks made Free Throw.,48,68
8:40,-1,David Jelks made Free Throw.,49,68
8:21,2198,Jackson Davis made Three Point Jumper. Assisted by Dedric Boyd.,49,71
8:18,2198,Eastern Kentucky  Timeout,49,71
8:18,2198,Official TV Timeout,49,71
8:12,-1,Ray Croon made Layup.,51,71
7:56,-1,Foul on Michael Stevenson.,51,71
7:56,2198,Jackson Davis missed Free Throw.,51,71
7:56,2198,Eastern Kentucky Deadball Team Rebound.,51,71
7:56,2198,Jackson Davis made Free Throw.,51,72
7:40,-1,Reggie Breeden missed Three Point Jumper.,51,72
7:40,2198,Peyton Broughton Defensive Rebound.,51,72
7:30,2198,Peyton Broughton missed Jumper.,51,72
7:30,-1,Michael Stevenson Block.,51,72
7:28,2198,Eastern Kentucky Offensive Rebound.,51,72
7:08,2198,Dedric Boyd missed Jumper.,51,72
7:08,-1,Ray Croon Defensive Rebound.,51,72
7:08,-1,Ray Croon made Layup.,53,72
6:56,2198,Jackson Davis missed Three Point Jumper.,53,72
6:56,-1,Reggie Breeden Defensive Rebound.,53,72
6:47,-1,Michael Stevenson made Layup. Assisted by Reggie Breeden.,55,72
6:38,-1,Foul on David Jelks.,55,72
6:38,2198,Peyton Broughton made Free Throw.,55,73
6:38,2198,Peyton Broughton made Free Throw.,55,74
6:23,2198,Foul on A.J. Youngman.,55,74
6:23,-1,Ray Croon made Free Throw.,56,74
6:23,-1,Ray Croon made Free Throw.,57,74
6:04,2198,Zach Charles made Layup. Assisted by Dedric Boyd.,57,76
5:56,-1,Reggie Breeden missed Jumper.,57,76
5:56,2198,Dedric Boyd Defensive Rebound.,57,76
5:44,-1,Foul on Michael Stevenson.,57,76
5:44,2198,DeAndre Dishman made Free Throw.,57,77
5:44,2198,DeAndre Dishman missed Free Throw.,57,77
5:44,-1,Austin Sherrell Defensive Rebound.,57,77
5:30,2198,Foul on Dedric Boyd.,57,77
5:21,-1,Austin Sherrell missed Jumper.,57,77
5:21,2198,Eastern Kentucky Defensive Rebound.,57,77
5:07,2198,Peyton Broughton made Three Point Jumper. Assisted by Dedric Boyd.,57,80
4:34,2198,Foul on Dedric Boyd.,57,80
4:34,-1,Ray Croon made Free Throw.,58,80
4:34,-1,Ray Croon missed Free Throw.,58,80
4:34,2198,DeAndre Dishman Defensive Rebound.,58,80
4:25,2198,DeAndre Dishman made Dunk.,58,82
4:08,2198,Foul on Dedric Boyd.,58,82
4:08,-1,Ray Croon missed Free Throw.,58,82
4:08,2198,DeAndre Dishman Defensive Rebound.,58,82
3:59,-1,Foul on Austin Sherrell.,58,82
3:59,2198,Official TV Timeout,58,82
3:59,2198,Dedric Boyd missed Free Throw.,58,82
3:59,2198,Eastern Kentucky Deadball Team Rebound.,58,82
3:59,2198,Dedric Boyd made Free Throw.,58,83
3:50,-1,Reggie Breeden missed Three Point Jumper.,58,83
3:50,2198,Dedric Boyd Defensive Rebound.,58,83
3:37,2198,DeAndre Dishman made Dunk.,58,85
3:24,-1,Kevin Hayes Turnover.,58,85
3:04,2198,Dedric Boyd missed Layup.,58,85
3:04,-1,Michael Stevenson Block.,58,85
3:04,2198,Eastern Kentucky Offensive Rebound.,58,85
3:03,2198,A.J. Youngman made Three Point Jumper. Assisted by Peyton Broughton.,58,88
2:44,2198,Foul on Lachlan Anderson.,58,88
2:44,-1,Michael Stevenson missed Free Throw.,58,88
2:44,-1,Kentucky State Deadball Team Rebound.,58,88
2:44,-1,Michael Stevenson missed Free Throw.,58,88
2:44,2198,Lachlan Anderson Defensive Rebound.,58,88
2:31,-1,Foul on David Jelks.,58,88
2:31,2198,Cameron Carmical missed Free Throw.,58,88
2:31,2198,Eastern Kentucky Deadball Team Rebound.,58,88
2:31,2198,Cameron Carmical made Free Throw.,58,89
2:22,-1,Rodman Allen missed Three Point Jumper.,58,89
2:22,2198,DeAndre Dishman Defensive Rebound.,58,89
2:13,-1,Foul on Michael Stevenson.,58,89
2:13,2198,Peyton Broughton made Free Throw.,58,90
2:13,2198,Peyton Broughton made Free Throw.,58,91
2:01,-1,Michael Stevenson made Jumper.,60,91
2:01,2198,Foul on Lachlan Anderson.,60,91
2:01,-1,Michael Stevenson made Free Throw.,61,91
1:53,2198,Kirkland Humphrey missed Three Point Jumper.,61,91
1:53,-1,Maliek Ivey Defensive Rebound.,61,91
1:45,-1,Vincent Mattox made Three Point Jumper. Assisted by Rodman Allen.,64,91
1:28,2198,Lachlan Anderson made Jumper. Assisted by Cameron Carmical.,64,93
1:15,-1,Vincent Mattox Turnover.,64,93
1:15,2198,Cameron Carmical Steal.,64,93
1:11,-1,Foul on Toussaint Rose.,64,93
1:11,2198,Peyton Broughton made Free Throw.,64,94
1:11,2198,Peyton Broughton missed Free Throw.,64,94
1:11,-1,Kentucky State Defensive Rebound.,64,94
1:03,-1,Rodman Allen missed Three Point Jumper.,64,94
1:03,-1,Vincent Mattox Offensive Rebound.,64,94
0:57,-1,Vincent Mattox missed Two Point Tip Shot.,64,94
0:57,2198,Lachlan Anderson Defensive Rebound.,64,94
0:51,2198,A.J. Youngman made Three Point Jumper. Assisted by Cameron Carmical.,64,97
0:42,-1,Rodman Allen made Layup.,66,97
0:42,2198,Foul on A.J. Youngman.,66,97
0:42,-1,Rodman Allen missed Free Throw.,66,97
0:42,2198,A.J. Youngman Defensive Rebound.,66,97
0:33,2198,Cameron Carmical missed Three Point Jumper.,66,97
0:33,-1,Vincent Mattox Defensive Rebound.,66,97
0:16,-1,Toussaint Rose missed Three Point Jumper.,66,97
0:16,2198,Kirkland Humphrey Defensive Rebound.,66,97
0:00,2198,End of Game,66,97
