Iowa State,2026,Appalachian State,66
2:17,66,Nick Weiler-Babb Turnover.,43,40
2:01,2026,O'Showen Williams missed Layup.,43,40
2:01,66,Cameron Lard Block.,43,40
2:01,2026,Appalachian State Offensive Rebound.,43,40
1:48,2026,Ronshad Shabazz missed Jumper.,43,40
1:48,66,Hans Brase Defensive Rebound.,43,40
1:39,66,Zoran Talley Jr. missed Layup.,43,40
1:39,2026,Tyrell Johnson Block.,43,40
1:39,66,Cameron Lard Offensive Rebound.,43,40
1:39,2026,Foul on Justin Forrest.,43,40
1:39,66,Cameron Lard made Free Throw.,44,40
1:39,66,Cameron Lard made Free Throw.,45,40
1:19,2026,Isaac Johnson missed Layup.,45,40
1:19,66,Cameron Lard Defensive Rebound.,45,40
1:06,66,Cameron Lard made Layup. Assisted by Hans Brase.,47,40
0:34,2026,Ronshad Shabazz made Three Point Jumper. Assisted by O'Showen Williams.,47,43
0:01,66,Zoran Talley Jr. missed Jumper.,47,43
0:01,66,Iowa State Offensive Rebound.,47,43
0:00,2026,End of 1st half,47,43
19:36,66,Solomon Young missed Layup.,47,43
19:36,2026,Griffin Kinney Defensive Rebound.,47,43
19:28,2026,Ronshad Shabazz made Three Point Jumper.,47,46
19:16,2026,Foul on Griffin Kinney.,47,46
19:16,66,Jeff Beverly made Free Throw.,48,46
19:16,66,Jeff Beverly made Free Throw.,49,46
18:59,2026,Isaac Johnson made Layup.,49,48
18:59,66,Foul on Solomon Young.,49,48
18:59,2026,Isaac Johnson made Free Throw.,49,49
18:48,66,Lindell Wigginton missed Layup.,49,49
18:48,2026,Tyrell Johnson Defensive Rebound.,49,49
18:34,2026,Bennett Holley Turnover.,49,49
18:10,66,Nick Weiler-Babb made Layup.,51,49
18:07,2026,Tyrell Johnson Turnover.,51,49
18:07,2026,Foul on Tyrell Johnson.,51,49
17:47,66,Donovan Jackson made Jumper. Assisted by Jeff Beverly.,53,49
17:40,2026,Tyrell Johnson missed Layup.,53,49
17:40,66,Solomon Young Defensive Rebound.,53,49
17:01,66,Donovan Jackson missed Three Point Jumper.,53,49
17:01,2026,Tyrell Johnson Defensive Rebound.,53,49
16:44,66,Foul on Nick Weiler-Babb.,53,49
16:27,2026,Isaac Johnson Turnover.,53,49
16:27,66,Nick Weiler-Babb made Layup.,55,49
16:27,2026,Foul on Craig Hinton.,55,49
16:27,66,Nick Weiler-Babb made Free Throw.,56,49
16:12,66,Donovan Jackson missed Three Point Jumper.,56,49
16:12,66,Donovan Jackson Offensive Rebound.,56,49
16:04,66,Lindell Wigginton missed Three Point Jumper.,56,49
16:04,2026,Bennett Holley Defensive Rebound.,56,49
15:42,2026,Craig Hinton made Layup.,56,51
15:34,2026,Foul on Bennett Holley.,56,51
15:34,2026,Official TV Timeout,56,51
15:34,66,Donovan Jackson made Free Throw.,57,51
15:34,66,Donovan Jackson made Free Throw.,58,51
15:22,2026,Justin Forrest missed Layup.,58,51
15:22,66,Donovan Jackson Defensive Rebound.,58,51
15:17,66,Lindell Wigginton made Three Point Jumper. Assisted by Donovan Jackson.,61,51
15:06,2026,Bennett Holley made Three Point Jumper. Assisted by Ronshad Shabazz.,61,54
15:04,2026,Appalachian State  Timeout,61,54
14:53,66,Iowa State  Timeout,61,54
14:44,66,Solomon Young Turnover.,61,54
14:44,66,Foul on Solomon Young.,61,54
14:29,2026,Bennett Holley made Three Point Jumper. Assisted by Ronshad Shabazz.,61,57
14:17,66,Lindell Wigginton missed Jumper.,61,57
14:17,2026,Bennett Holley Defensive Rebound.,61,57
13:58,2026,Justin Forrest missed Three Point Jumper.,61,57
13:58,66,Nick Weiler-Babb Defensive Rebound.,61,57
13:52,66,Jeff Beverly made Layup. Assisted by Nick Weiler-Babb.,63,57
13:39,66,Foul on Jeff Beverly.,63,57
13:39,2026,Justin Forrest made Free Throw.,63,58
13:39,2026,Justin Forrest made Free Throw.,63,59
13:19,66,Zoran Talley Jr. made Jumper.,65,59
13:11,2026,Ronshad Shabazz missed Three Point Jumper.,65,59
13:11,66,Cameron Lard Defensive Rebound.,65,59
12:59,66,Cameron Lard made Layup. Assisted by Nick Weiler-Babb.,67,59
12:44,2026,Isaac Johnson missed Jumper.,67,59
12:44,66,Hans Brase Defensive Rebound.,67,59
12:36,66,Donovan Jackson made Three Point Jumper. Assisted by Nick Weiler-Babb.,70,59
12:33,2026,Appalachian State  Timeout,70,59
12:24,2026,Ronshad Shabazz missed Jumper.,70,59
12:24,66,Hans Brase Defensive Rebound.,70,59
12:17,66,Nick Weiler-Babb made Three Point Jumper.,73,59
11:52,2026,Ronshad Shabazz missed Jumper.,73,59
11:52,66,Cameron Lard Defensive Rebound.,73,59
11:43,2026,Foul on O'Showen Williams.,73,59
11:43,2026,Official TV Timeout,73,59
11:28,2026,Appalachian State Defensive Rebound.,73,59
11:28,66,Zoran Talley Jr. missed Jumper.,73,59
11:27,66,Foul on Hans Brase.,73,59
11:18,66,Foul on Hans Brase.,73,59
11:07,66,Foul on Cameron Lard.,73,59
11:07,2026,Griffin Kinney missed Free Throw.,73,59
11:07,2026,Tyrell Johnson Offensive Rebound.,73,59
11:00,2026,Justin Forrest missed Three Point Jumper.,73,59
11:00,66,Hans Brase Defensive Rebound.,73,59
10:44,66,Zoran Talley Jr. Turnover.,73,59
10:41,2026,O'Showen Williams Steal.,73,59
10:36,2026,O'Showen Williams Turnover.,73,59
10:36,66,Donovan Jackson Steal.,73,59
10:30,66,Donovan Jackson Turnover.,73,59
10:15,66,Foul on Cameron Lard.,73,59
10:15,2026,Justin Forrest made Free Throw.,73,60
10:15,2026,Justin Forrest made Free Throw.,73,61
10:05,66,Hans Brase missed Layup.,73,61
10:05,2026,Tyrell Johnson Block.,73,61
10:03,2026,Ronshad Shabazz Defensive Rebound.,73,61
9:43,2026,Tyrell Johnson missed Three Point Jumper.,73,61
9:43,66,Nick Weiler-Babb Defensive Rebound.,73,61
9:36,2026,Foul on Griffin Kinney.,73,61
9:36,66,Zoran Talley Jr. made Free Throw.,74,61
9:36,66,Zoran Talley Jr. made Free Throw.,75,61
9:09,2026,Isaac Johnson missed Three Point Jumper.,75,61
9:09,2026,Appalachian State Offensive Rebound.,75,61
9:00,2026,Ronshad Shabazz missed Three Point Jumper.,75,61
9:00,66,Iowa State Defensive Rebound.,75,61
8:46,66,Lindell Wigginton made Three Point Jumper. Assisted by Nick Weiler-Babb.,78,61
8:29,2026,Tyrell Johnson Turnover.,78,61
8:28,66,Lindell Wigginton Steal.,78,61
8:25,2026,Foul on Ronshad Shabazz.,78,61
8:25,66,Lindell Wigginton made Free Throw.,79,61
8:25,66,Lindell Wigginton missed Free Throw.,79,61
8:25,2026,Isaac Johnson Defensive Rebound.,79,61
8:07,2026,Justin Forrest made Layup. Assisted by O'Showen Williams.,79,63
7:46,66,Lindell Wigginton missed Layup.,79,63
7:46,2026,O'Showen Williams Defensive Rebound.,79,63
7:37,66,Foul on Hans Brase.,79,63
7:37,2026,Official TV Timeout,79,63
7:37,2026,Ronshad Shabazz made Free Throw.,79,64
7:37,2026,Ronshad Shabazz made Free Throw.,79,65
7:16,66,Jeff Beverly made Jumper. Assisted by Lindell Wigginton.,81,65
7:07,66,Jeff Beverly missed Three Point Jumper.,81,65
7:07,66,Cameron Lard Defensive Rebound.,81,65
7:07,2026,Craig Hinton made Layup. Assisted by Justin Forrest.,81,67
7:07,66,Foul on Solomon Young.,81,67
7:06,2026,Craig Hinton missed Free Throw.,81,67
7:06,66,Cameron Lard Offensive Rebound.,81,67
6:43,2026,Foul on Craig Hinton.,81,67
6:43,66,Cameron Lard made Free Throw.,82,67
6:43,66,Cameron Lard made Free Throw.,83,67
6:27,2026,Griffin Kinney missed Jumper.,83,67
6:27,66,Nick Weiler-Babb Defensive Rebound.,83,67
6:23,2026,Foul on Justin Forrest.,83,67
6:23,66,Nick Weiler-Babb missed Free Throw.,83,67
6:23,2026,Griffin Kinney Defensive Rebound.,83,67
6:07,2026,Justin Forrest made Three Point Jumper. Assisted by O'Showen Williams.,83,70
5:35,66,Lindell Wigginton missed Three Point Jumper.,83,70
5:35,66,Lindell Wigginton Offensive Rebound.,83,70
5:13,66,Lindell Wigginton made Layup.,85,70
5:07,2026,Justin Forrest made Three Point Jumper. Assisted by O'Showen Williams.,85,73
4:47,66,Zoran Talley Jr. missed Three Point Jumper.,85,73
4:47,2026,O'Showen Williams Defensive Rebound.,85,73
4:43,66,Foul on Jeff Beverly.,85,73
4:43,2026,O'Showen Williams made Free Throw.,85,74
4:43,2026,O'Showen Williams made Free Throw.,85,75
4:23,2026,Foul on O'Showen Williams.,85,75
4:23,66,Cameron Lard missed Free Throw.,85,75
4:23,66,Iowa State Deadball Team Rebound.,85,75
4:23,66,Cameron Lard missed Free Throw.,85,75
4:23,2026,Griffin Kinney Defensive Rebound.,85,75
4:15,2026,O'Showen Williams missed Layup.,85,75
4:15,66,Lindell Wigginton Block.,85,75
4:15,2026,Craig Hinton Offensive Rebound.,85,75
4:15,66,Foul on Jeff Beverly.,85,75
4:15,2026,Craig Hinton missed Free Throw.,85,75
4:15,2026,Appalachian State Deadball Team Rebound.,85,75
4:15,2026,Craig Hinton missed Free Throw.,85,75
4:15,66,Cameron Lard Defensive Rebound.,85,75
4:02,66,Cameron Lard missed Layup.,85,75
4:02,2026,Craig Hinton Defensive Rebound.,85,75
3:56,2026,Justin Forrest missed Three Point Jumper.,85,75
3:56,66,Iowa State Defensive Rebound.,85,75
3:55,2026,Official TV Timeout,85,75
3:48,66,Donovan Jackson missed Jumper.,85,75
3:48,66,Iowa State Offensive Rebound.,85,75
3:33,66,Nick Weiler-Babb missed Layup.,85,75
3:33,2026,Tyrell Johnson Defensive Rebound.,85,75
3:12,2026,Justin Forrest made Layup.,85,77
3:12,66,Foul on Nick Weiler-Babb.,85,77
3:12,2026,Justin Forrest missed Free Throw.,85,77
3:12,66,Cameron Lard Defensive Rebound.,85,77
2:58,66,Lindell Wigginton Turnover.,85,77
2:58,66,Foul on Lindell Wigginton.,85,77
2:35,2026,Ronshad Shabazz missed Three Point Jumper.,85,77
2:34,66,Cameron Lard Defensive Rebound.,85,77
2:26,66,Hans Brase made Layup.,87,77
2:21,2026,Ronshad Shabazz missed Layup.,87,77
2:21,66,Cameron Lard Block.,87,77
2:20,2026,Appalachian State Offensive Rebound.,87,77
2:16,66,Foul on Nick Weiler-Babb.,87,77
2:16,2026,Ronshad Shabazz made Free Throw.,87,78
2:16,2026,Ronshad Shabazz made Free Throw.,87,79
2:08,66,Donovan Jackson made Three Point Jumper. Assisted by Nick Weiler-Babb.,90,79
1:55,2026,Ronshad Shabazz missed Three Point Jumper.,90,79
1:55,66,Lindell Wigginton Defensive Rebound.,90,79
1:38,2026,Foul on O'Showen Williams.,90,79
1:38,66,Nick Weiler-Babb made Free Throw.,91,79
1:38,66,Nick Weiler-Babb made Free Throw.,92,79
1:26,66,Foul on Donovan Jackson.,92,79
1:26,2026,Justin Forrest missed Free Throw.,92,79
1:26,2026,Appalachian State Deadball Team Rebound.,92,79
1:26,2026,Justin Forrest made Free Throw.,92,80
1:22,66,Cameron Lard made Layup. Assisted by Donovan Jackson.,94,80
1:11,2026,Justin Forrest made Layup.,94,82
1:11,2026,Appalachian State  Timeout,94,82
1:04,2026,Foul on Ronshad Shabazz.,94,82
1:04,66,Lindell Wigginton missed Free Throw.,94,82
1:04,66,Iowa State Deadball Team Rebound.,94,82
1:04,66,Lindell Wigginton made Free Throw.,95,82
0:55,66,Foul on Lindell Wigginton.,95,82
0:55,2026,Justin Forrest made Free Throw.,95,83
0:55,2026,Justin Forrest made Free Throw.,95,84
0:55,2026,Justin Forrest made Free Throw.,95,85
0:55,2026,Foul on Justin Forrest.,95,85
0:55,66,Lindell Wigginton made Free Throw.,96,85
0:55,66,Lindell Wigginton made Free Throw.,97,85
0:47,2026,Bennett Holley made Three Point Jumper. Assisted by Justin Forrest.,97,88
0:43,2026,Foul on Griffin Kinney.,97,88
0:43,66,Donovan Jackson made Free Throw.,98,88
0:43,66,Donovan Jackson made Free Throw.,99,88
0:35,66,Foul on Lindell Wigginton.,99,88
0:35,2026,Justin Forrest made Free Throw.,99,89
0:35,2026,Justin Forrest made Free Throw.,99,90
0:35,2026,Justin Forrest made Free Throw.,99,91
0:27,2026,Foul on O'Showen Williams.,99,91
0:27,66,Nick Weiler-Babb made Free Throw.,100,91
0:27,66,Nick Weiler-Babb made Free Throw.,101,91
0:17,2026,Justin Forrest made Three Point Jumper. Assisted by Isaac Johnson.,101,94
0:16,2026,Foul on Bennett Holley.,101,94
0:16,66,Jakolby Long missed Free Throw.,101,94
0:16,66,Iowa State Deadball Team Rebound.,101,94
0:16,66,Jakolby Long made Free Throw.,102,94
0:16,66,Iowa State  Timeout,102,94
0:09,66,Foul on Jakolby Long.,102,94
0:09,2026,Ronshad Shabazz made Free Throw.,102,95
0:09,2026,Ronshad Shabazz made Free Throw.,102,96
0:09,2026,Foul on O'Showen Williams.,102,96
0:09,66,Donovan Jackson made Free Throw.,103,96
0:09,66,Donovan Jackson made Free Throw.,104,96
0:04,2026,Ronshad Shabazz missed Three Point Jumper.,104,96
0:04,2026,Appalachian State Offensive Rebound.,104,96
0:01,2026,Ronshad Shabazz made Layup. Assisted by Isaac Johnson.,104,98
0:00,2026,End of Game,104,98
