Bowling Green,2132,Cincinnati,189
10:38,189,Zack Denny missed Jumper.,8,12
10:38,2132,Troy Caupain Defensive Rebound.,8,12
10:26,189,Foul on Rasheed Worrell.,8,12
10:22,2132,Troy Caupain made Jumper.,8,14
10:22,189,Foul on Ismail Ali.,8,14
10:22,2132,Troy Caupain made Free Throw.,8,15
10:05,189,Ismail Ali made Layup.,10,15
9:43,2132,Jacob Evans missed Three Point Jumper.,10,15
9:43,189,Ismail Ali Defensive Rebound.,10,15
9:34,189,Matt Fox made Three Point Jumper. Assisted by Ismail Ali.,13,15
9:09,2132,Kyle Washington missed Layup.,13,15
9:09,189,Demajeo Wiggins Defensive Rebound.,13,15
8:49,189,Ismail Ali Turnover.,13,15
8:49,2132,Troy Caupain Steal.,13,15
8:49,189,Foul on Ismail Ali.,13,15
8:32,2132,Justin Jenifer made Three Point Jumper. Assisted by Jacob Evans.,13,18
8:18,189,Ismail Ali Turnover.,13,18
8:09,2132,Nysier Brooks missed Jumper.,13,18
8:09,2132,Gary Clark Offensive Rebound.,13,18
8:09,2132,Gary Clark made Two Point Tip Shot.,13,20
7:51,189,Zack Denny made Three Point Jumper. Assisted by Ismail Ali.,16,20
7:29,2132,Troy Caupain made Jumper.,16,22
7:29,189,Foul on Zack Denny.,16,22
7:29,2132,Official TV Timeout,16,22
7:29,2132,Troy Caupain made Free Throw.,16,23
7:06,189,Zack Denny missed Layup.,16,23
7:06,2132,Jacob Evans Block.,16,23
7:06,189,Bowling Green Offensive Rebound.,16,23
7:05,189,Ismail Ali Turnover.,16,23
7:05,2132,Gary Clark Steal.,16,23
6:59,2132,Gary Clark made Dunk.,16,25
6:42,189,Zack Denny missed Three Point Jumper.,16,25
6:42,189,Ismail Ali Offensive Rebound.,16,25
6:37,2132,Foul on Nysier Brooks.,16,25
6:36,189,Ismail Ali made Jumper. Assisted by Zack Denny.,18,25
6:12,2132,Jacob Evans made Jumper.,18,27
5:50,189,Ismail Ali made Layup.,20,27
5:21,2132,Justin Jenifer missed Jumper.,20,27
5:21,189,Matt Fox Defensive Rebound.,20,27
5:12,2132,Foul on Troy Caupain.,20,27
5:11,189,Wes Alcegaire missed Jumper.,20,27
5:11,2132,Tre Scott Defensive Rebound.,20,27
4:56,2132,Troy Caupain made Jumper.,20,29
4:39,189,Wes Alcegaire missed Jumper.,20,29
4:39,2132,Tre Scott Defensive Rebound.,20,29
4:18,2132,Troy Caupain made Jumper.,20,31
3:56,189,Ismail Ali missed Jumper.,20,31
3:56,2132,Troy Caupain Defensive Rebound.,20,31
3:36,2132,Kyle Washington made Jumper. Assisted by Troy Caupain.,20,33
3:10,2132,Foul on Troy Caupain.,20,33
3:10,2132,Official TV Timeout,20,33
3:10,189,Wes Alcegaire made Free Throw.,21,33
3:10,189,Wes Alcegaire made Free Throw.,22,33
3:06,2132,Kyle Washington made Dunk. Assisted by Jacob Evans.,22,35
2:35,189,Rodrick Caldwell missed Three Point Jumper.,22,35
2:35,2132,Kevin Johnson Defensive Rebound.,22,35
2:20,2132,Justin Jenifer missed Three Point Jumper.,22,35
2:20,189,Zack Denny Defensive Rebound.,22,35
1:48,189,Zack Denny missed Jumper.,22,35
1:48,2132,Kyle Washington Block.,22,35
1:48,189,Bowling Green Offensive Rebound.,22,35
1:43,189,Antwon Lillard missed Jumper.,22,35
1:43,2132,Jacob Evans Defensive Rebound.,22,35
1:33,2132,Justin Jenifer missed Jumper.,22,35
1:33,2132,Jacob Evans Offensive Rebound.,22,35
1:17,2132,Kevin Johnson Turnover.,22,35
0:57,189,Wes Alcegaire made Layup.,24,35
0:43,2132,Jacob Evans made Three Point Jumper. Assisted by Kevin Johnson.,24,38
0:12,189,Antwon Lillard missed Jumper.,24,38
0:12,2132,Kyle Washington Block.,24,38
0:12,189,Wes Alcegaire Offensive Rebound.,24,38
0:04,189,Antwon Lillard missed Three Point Jumper.,24,38
0:04,2132,Justin Jenifer Defensive Rebound.,24,38
0:01,2132,Justin Jenifer made Three Point Jumper.,24,41
0:00,2132,End of 1st half,24,41
20:00,189,Jump Ball won by Bowling Green,24,41
19:51,189,Antwon Lillard missed Three Point Jumper.,24,41
19:51,189,Demajeo Wiggins Offensive Rebound.,24,41
19:43,2132,Foul on Kyle Washington.,24,41
19:43,189,Demajeo Wiggins missed Free Throw.,24,41
19:43,189,Bowling Green Deadball Team Rebound.,24,41
19:43,189,Demajeo Wiggins missed Free Throw.,24,41
19:43,2132,Kyle Washington Defensive Rebound.,24,41
19:22,2132,Troy Caupain made Jumper. Assisted by Gary Clark.,24,43
18:55,189,Antwon Lillard missed Jumper.,24,43
18:55,2132,Kyle Washington Defensive Rebound.,24,43
18:42,2132,Gary Clark missed Jumper.,24,43
18:42,189,Wes Alcegaire Defensive Rebound.,24,43
18:33,189,Wes Alcegaire made Jumper.,26,43
18:05,2132,Kyle Washington made Jumper. Assisted by Gary Clark.,26,45
17:37,189,Wes Alcegaire made Layup.,28,45
17:16,2132,Troy Caupain missed Three Point Jumper.,28,45
17:16,189,Antwon Lillard Defensive Rebound.,28,45
17:07,189,Wes Alcegaire missed Three Point Jumper.,28,45
17:07,2132,Gary Clark Defensive Rebound.,28,45
16:55,2132,Kyle Washington made Jumper. Assisted by Kevin Johnson.,28,47
16:43,189,Bowling Green  Timeout,28,47
16:36,189,Rasheed Worrell made Dunk. Assisted by Antwon Lillard.,30,47
16:21,2132,Jacob Evans missed Three Point Jumper.,30,47
16:21,2132,Kyle Washington Offensive Rebound.,30,47
16:15,2132,Kyle Washington made Layup.,30,49
15:48,189,Rasheed Worrell missed Layup.,30,49
15:48,2132,Kyle Washington Block.,30,49
15:48,2132,Troy Caupain Defensive Rebound.,30,49
15:39,189,Foul on Wes Alcegaire.,30,49
15:39,2132,Official TV Timeout,30,49
15:39,2132,Kevin Johnson made Free Throw.,30,50
15:39,2132,Kevin Johnson made Free Throw.,30,51
15:35,189,Ismail Ali missed Layup.,30,51
15:35,2132,Cincinnati Defensive Rebound.,30,51
15:15,189,Foul on Rasheed Worrell.,30,51
15:15,2132,Gary Clark made Free Throw.,30,52
15:15,2132,Gary Clark made Free Throw.,30,53
14:53,189,Zack Denny made Three Point Jumper. Assisted by Ismail Ali.,33,53
14:27,2132,Kyle Washington made Jumper. Assisted by Jacob Evans.,33,55
14:04,2132,Foul on Kevin Johnson.,33,55
14:00,189,Wes Alcegaire missed Jumper.,33,55
14:00,2132,Kyle Washington Defensive Rebound.,33,55
13:52,2132,Jump Ball won by Cincinnati,33,55
13:51,2132,Jacob Evans made Layup. Assisted by Troy Caupain.,33,57
13:33,189,Zack Denny made Jumper.,35,57
13:09,189,Foul on Antwon Lillard.,35,57
13:09,2132,Quadri Moore made Free Throw.,35,58
13:09,2132,Quadri Moore missed Free Throw.,35,58
13:09,2132,Justin Jenifer Offensive Rebound.,35,58
13:08,2132,Quadri Moore Turnover.,35,58
13:08,189,Zack Denny Steal.,35,58
13:03,2132,Foul on Jarron Cumberland.,35,58
13:03,189,Zack Denny made Free Throw.,36,58
13:03,189,Zack Denny made Free Throw.,37,58
12:45,2132,Justin Jenifer made Three Point Jumper. Assisted by Jarron Cumberland.,37,61
12:34,189,Zack Denny made Jumper. Assisted by Ismail Ali.,39,61
12:13,2132,Kevin Johnson missed Three Point Jumper.,39,61
12:13,189,Zack Denny Defensive Rebound.,39,61
12:04,189,Zack Denny made Jumper.,41,61
11:36,189,Foul on Zack Denny.,41,61
11:36,2132,Official TV Timeout,41,61
11:21,2132,Tre Scott missed Jumper.,41,61
11:21,189,Matt Fox Defensive Rebound.,41,61
10:50,189,Antwon Lillard missed Jumper.,41,61
10:50,2132,Quadri Moore Block.,41,61
10:50,2132,Jarron Cumberland Defensive Rebound.,41,61
10:38,2132,Quadri Moore Turnover.,41,61
10:18,2132,Foul on Kevin Johnson.,41,61
10:02,189,Rodrick Caldwell missed Jumper.,41,61
10:02,2132,Tre Scott Defensive Rebound.,41,61
9:55,2132,Jarron Cumberland missed Three Point Jumper.,41,61
9:55,189,Antwon Lillard Defensive Rebound.,41,61
9:45,189,Antwon Lillard missed Jumper.,41,61
9:45,2132,Jarron Cumberland Block.,41,61
9:45,189,Bowling Green Offensive Rebound.,41,61
9:45,189,Rodrick Caldwell Turnover.,41,61
9:45,2132,Tre Scott Steal.,41,61
9:38,2132,Kyle Washington made Dunk. Assisted by Tre Scott.,41,63
9:27,189,Bowling Green  Timeout,41,63
9:18,189,Dylan Frye missed Three Point Jumper.,41,63
9:18,2132,Kyle Washington Defensive Rebound.,41,63
9:03,2132,Kyle Washington made Jumper.,41,65
8:34,2132,Foul on Jarron Cumberland.,41,65
8:34,189,Demajeo Wiggins made Free Throw.,42,65
8:34,189,Demajeo Wiggins made Free Throw.,43,65
8:18,2132,Kyle Washington made Dunk. Assisted by Troy Caupain.,43,67
7:58,189,Dylan Frye made Three Point Jumper. Assisted by Rodrick Caldwell.,46,67
7:26,2132,Troy Caupain missed Jumper.,46,67
7:26,2132,Jarron Cumberland Offensive Rebound.,46,67
7:22,2132,Jarron Cumberland Turnover.,46,67
7:21,2132,Official TV Timeout,46,67
7:15,189,Dylan Frye missed Jumper.,46,67
7:15,2132,Kyle Washington Defensive Rebound.,46,67
6:52,2132,Tre Scott made Dunk. Assisted by Troy Caupain.,46,69
6:28,189,Wes Alcegaire Turnover.,46,69
6:28,2132,Tre Scott Steal.,46,69
6:21,189,Foul on Matt Fox.,46,69
6:21,2132,Kyle Washington made Free Throw.,46,70
6:21,2132,Kyle Washington made Free Throw.,46,71
6:16,189,Ismail Ali Turnover.,46,71
6:16,2132,Jarron Cumberland Steal.,46,71
6:09,2132,Gary Clark made Layup. Assisted by Jarron Cumberland.,46,73
5:53,189,Demajeo Wiggins made Dunk. Assisted by Dylan Frye.,48,73
5:37,2132,Jarron Cumberland missed Jumper.,48,73
5:37,189,Wes Alcegaire Defensive Rebound.,48,73
5:17,2132,Foul on Nysier Brooks.,48,73
5:17,189,Wes Alcegaire missed Free Throw.,48,73
5:17,189,Bowling Green Deadball Team Rebound.,48,73
5:17,189,Wes Alcegaire made Free Throw.,49,73
5:11,2132,Nysier Brooks made Dunk. Assisted by Jarron Cumberland.,49,75
5:02,189,Dylan Frye Turnover.,49,75
5:02,2132,Kevin Johnson Steal.,49,75
5:02,189,Foul on Dylan Frye.,49,75
4:36,2132,Gary Clark Turnover.,49,75
4:20,189,Rasheed Worrell Turnover.,49,75
4:03,2132,Jarron Cumberland missed Jumper.,49,75
4:03,189,Zack Denny Defensive Rebound.,49,75
3:49,189,Wes Alcegaire made Layup.,51,75
3:25,2132,Justin Jenifer Turnover.,51,75
3:25,189,Ismail Ali Steal.,51,75
3:20,189,Zack Denny made Layup. Assisted by Ismail Ali.,53,75
2:58,2132,Nysier Brooks made Jumper.,53,77
2:49,189,Foul on Rasheed Worrell.,53,77
2:49,2132,Official TV Timeout,53,77
2:49,2132,Nysier Brooks made Free Throw.,53,78
2:49,2132,Nysier Brooks missed Free Throw.,53,78
2:49,2132,Cincinnati Deadball Team Rebound.,53,78
2:36,2132,Kevin Johnson made Jumper.,53,80
2:19,189,Matt Fox missed Three Point Jumper.,53,80
2:19,2132,Kevin Johnson Defensive Rebound.,53,80
2:06,2132,Tre Scott missed Jumper.,53,80
2:06,189,Demajeo Wiggins Defensive Rebound.,53,80
1:51,2132,Foul on Nysier Brooks.,53,80
1:51,189,Ismail Ali made Free Throw.,54,80
1:51,189,Ismail Ali missed Free Throw.,54,80
1:51,2132,Justin Jenifer Defensive Rebound.,54,80
1:28,2132,Zack Tobler missed Layup.,54,80
1:28,189,Ismail Ali Defensive Rebound.,54,80
1:21,189,Wes Alcegaire made Jumper.,56,80
1:05,2132,Zack Tobler missed Jumper.,56,80
1:05,2132,Jarron Cumberland Offensive Rebound.,56,80
1:05,2132,Jarron Cumberland missed Two Point Tip Shot.,56,80
1:05,2132,Jarron Cumberland Offensive Rebound.,56,80
0:55,2132,Jarron Cumberland made Layup.,56,82
0:54,2132,Cincinnati  Timeout,56,82
0:42,189,Ismail Ali missed Jumper.,56,82
0:42,2132,John Koz Defensive Rebound.,56,82
0:26,2132,Zack Tobler made Three Point Jumper. Assisted by John Koz.,56,85
0:00,2132,End of Game,56,85
