Niagara,314,Iona,315
15:38,315,Foul on Marvin Prochet.,45,34
15:38,314,Official TV Timeout,45,34
15:38,314,Jon Severe made Free Throw.,45,35
15:38,314,Jon Severe made Free Throw.,45,36
15:26,315,Kahlil Dukes missed Three Point Jumper.,45,36
15:26,315,Ali Tew Offensive Rebound.,45,36
15:18,315,Matt Scott missed Three Point Jumper.,45,36
15:18,314,Iona Defensive Rebound.,45,36
15:01,314,Jon Severe made Three Point Jumper. Assisted by Taylor Bessick.,45,39
14:37,315,Marvin Prochet missed Jumper.,45,39
14:37,314,Taylor Bessick Defensive Rebound.,45,39
14:25,314,Taylor Bessick missed Layup.,45,39
14:25,315,Matt Scott Defensive Rebound.,45,39
14:02,315,Niagara  Turnover.,45,39
13:35,314,Rickey McGill made Jumper.,45,41
13:24,314,Foul on Rickey McGill.,45,41
13:04,315,Kahlil Dukes made Three Point Jumper. Assisted by Marvin Prochet.,48,41
12:51,315,Foul on Kahlil Dukes.,48,41
12:38,314,Jordan Washington made Layup. Assisted by Jon Severe.,48,43
12:12,315,Shane Gatling missed Jumper.,48,43
12:12,314,Jordan Washington Defensive Rebound.,48,43
12:05,314,Sam Cassell Jr. missed Three Point Jumper.,48,43
12:05,314,Rickey McGill Offensive Rebound.,48,43
12:02,314,Rickey McGill missed Layup.,48,43
12:02,315,Maurice Taylor Jr. Defensive Rebound.,48,43
11:49,315,Shane Gatling missed Three Point Jumper.,48,43
11:49,315,Maurice Taylor Jr. Offensive Rebound.,48,43
11:44,315,Maurice Taylor Jr. made Layup.,50,43
11:38,315,Foul on Maurice Taylor Jr..,50,43
11:23,314,E.J. Crawford missed Layup.,50,43
11:23,314,Taylor Bessick Offensive Rebound.,50,43
11:20,314,Taylor Bessick missed Layup.,50,43
11:20,315,Maurice Taylor Jr. Defensive Rebound.,50,43
11:06,315,Kahlil Dukes missed Three Point Jumper.,50,43
11:06,315,Matt Scott Offensive Rebound.,50,43
10:55,315,Maurice Taylor Jr. made Layup.,52,43
10:34,314,Jon Severe missed Layup.,52,43
10:34,314,Taylor Bessick Offensive Rebound.,52,43
10:14,314,E.J. Crawford missed Three Point Jumper.,52,43
10:14,315,Shane Gatling Defensive Rebound.,52,43
9:49,315,Shane Gatling made Layup.,54,43
9:24,314,Sam Cassell Jr. made Layup.,54,45
9:06,315,Maurice Taylor Jr. Turnover.,54,45
9:06,315,Foul on Maurice Taylor Jr..,54,45
8:48,314,E.J. Crawford made Three Point Jumper. Assisted by Jon Severe.,54,48
8:31,315,Kahlil Dukes missed Layup.,54,48
8:31,315,Matt Scott Offensive Rebound.,54,48
8:29,314,Foul on E.J. Crawford.,54,48
8:29,315,Matt Scott missed Free Throw.,54,48
8:29,315,Niagara Deadball Team Rebound.,54,48
8:29,315,Matt Scott made Free Throw.,55,48
8:07,314,Jordan Washington missed Jumper.,55,48
8:07,315,Maurice Taylor Jr. Defensive Rebound.,55,48
7:57,315,Matt Scott made Three Point Jumper. Assisted by Kahlil Dukes.,58,48
7:39,314,Deyshonee Much missed Three Point Jumper.,58,48
7:39,315,Maurice Taylor Jr. Defensive Rebound.,58,48
7:29,315,Kahlil Dukes made Layup.,60,48
7:25,314,Iona  Timeout,60,48
7:06,315,Foul on Maurice Taylor Jr..,60,48
7:06,314,Official TV Timeout,60,48
7:06,314,Jordan Washington missed Free Throw.,60,48
7:06,315,Shane Gatling Defensive Rebound.,60,48
6:49,315,Shane Gatling made Three Point Jumper. Assisted by Matt Scott.,63,48
6:29,314,Jordan Washington missed Layup.,63,48
6:29,315,Shane Gatling Defensive Rebound.,63,48
6:08,315,Dominic Robb Turnover.,63,48
6:08,315,Foul on Dominic Robb.,63,48
5:52,314,Rickey McGill missed Three Point Jumper.,63,48
5:52,315,Maurice Taylor Jr. Defensive Rebound.,63,48
5:20,315,Marvin Prochet made Layup. Assisted by Matt Scott.,65,48
5:07,314,Jon Severe Turnover.,65,48
5:07,314,Foul on Jon Severe.,65,48
5:02,314,Foul on Schadrac Casimir.,65,48
4:49,315,Matt Scott missed Jumper.,65,48
4:49,314,Rickey McGill Defensive Rebound.,65,48
4:43,314,Rickey McGill missed Layup.,65,48
4:43,314,Schadrac Casimir Offensive Rebound.,65,48
4:41,315,Foul on Maurice Taylor Jr..,65,48
4:41,314,Schadrac Casimir made Free Throw.,65,49
4:41,314,Schadrac Casimir made Free Throw.,65,50
4:08,315,Shane Gatling missed Layup.,65,50
4:08,314,Taylor Bessick Defensive Rebound.,65,50
4:01,314,Schadrac Casimir Turnover.,65,50
3:39,315,Marvin Prochet missed Jumper.,65,50
3:39,314,Iona Defensive Rebound.,65,50
3:39,315,Foul on Ali Tew.,65,50
3:39,314,Jon Severe made Free Throw.,65,51
3:38,314,Jon Severe made Free Throw.,65,52
3:06,315,Matt Scott made Layup.,67,52
2:56,314,Sam Cassell Jr. missed Three Point Jumper.,67,52
2:56,315,Marvin Prochet Defensive Rebound.,67,52
2:25,315,Matt Scott missed Three Point Jumper.,67,52
2:25,314,Taylor Bessick Defensive Rebound.,67,52
2:15,314,Iona  Timeout,67,52
2:03,314,Jordan Washington made Layup. Assisted by Rickey McGill.,67,54
1:33,315,Marvin Prochet missed Jumper.,67,54
1:33,314,Jon Severe Defensive Rebound.,67,54
1:28,315,Foul on Matt Scott.,67,54
1:28,314,Jon Severe made Free Throw.,67,55
1:28,314,Jon Severe made Free Throw.,67,56
1:24,315,Kahlil Dukes made Layup.,69,56
1:12,314,Jon Severe Turnover.,69,56
1:11,315,Kahlil Dukes Steal.,69,56
1:08,315,Kahlil Dukes made Layup.,71,56
0:55,314,Rickey McGill made Layup.,71,58
0:55,314,Iona  Timeout,71,58
0:31,314,Foul on Jon Severe.,71,58
0:01,315,Kahlil Dukes made Three Point Jumper.,74,58
0:00,314,End of Game,74,58
