Marist,2514,Quinnipiac,2368
17:22,2514,Chaise Daniels Turnover.,29,44
17:01,2368,Isaiah Lamb missed Three Point Jumper.,29,44
17:01,2368,Brian Parker Offensive Rebound.,29,44
16:52,2368,Khallid Hart made Three Point Jumper. Assisted by Brian Parker.,32,44
16:27,2368,Foul on Brian Parker.,32,44
16:27,2514,Reggie Oliver made Free Throw.,32,45
16:27,2514,Reggie Oliver made Free Throw.,32,46
16:14,2368,Ryan Funk made Three Point Jumper. Assisted by Brian Parker.,35,46
15:54,2514,Daniel Harris Turnover.,35,46
15:53,2368,Khallid Hart Steal.,35,46
15:51,2368,Khallid Hart made Layup.,37,46
15:51,2514,Foul on Abdulai Bundu.,37,46
15:51,2368,Khallid Hart missed Free Throw.,37,46
15:51,2514,Mikey Dixon Defensive Rebound.,37,46
15:32,2514,Peter Kiss made Jumper.,37,48
15:18,2368,Ryan Funk made Three Point Jumper. Assisted by David Knudsen.,40,48
14:57,2514,Chaise Daniels missed Jumper.,40,48
14:57,2368,Kentrall Brooks Defensive Rebound.,40,48
14:50,2368,Ryan Funk made Three Point Jumper. Assisted by Khallid Hart.,43,48
14:41,2514,Quinnipiac  Timeout,43,48
14:18,2514,Mikey Dixon made Layup.,43,50
14:00,2368,Brian Parker missed Jumper.,43,50
14:00,2368,Brian Parker Offensive Rebound.,43,50
13:56,2514,Foul on Mikey Dixon.,43,50
13:52,2368,Kentrall Brooks missed Layup.,43,50
13:52,2514,Donovan Smith Defensive Rebound.,43,50
13:48,2514,Mikey Dixon made Layup. Assisted by Donovan Smith.,43,52
13:48,2368,Foul on Ryan Funk.,43,52
13:48,2514,Mikey Dixon missed Free Throw.,43,52
13:48,2368,Brian Parker Defensive Rebound.,43,52
13:37,2368,Kentrall Brooks Turnover.,43,52
13:36,2514,Peter Kiss Steal.,43,52
13:30,2514,Donovan Smith missed Three Point Jumper.,43,52
13:30,2368,Marist Defensive Rebound.,43,52
13:28,2514,Foul on Alain Chigha.,43,52
13:12,2514,Foul on Donovan Smith.,43,52
13:12,2368,Brian Parker missed Free Throw.,43,52
13:12,2368,Marist Deadball Team Rebound.,43,52
13:12,2368,Brian Parker missed Free Throw.,43,52
13:12,2514,Chaise Daniels Defensive Rebound.,43,52
13:05,2368,Foul on Kentrall Brooks.,43,52
12:55,2514,Daniel Harris Turnover.,43,52
12:54,2368,Obi Momah Steal.,43,52
12:47,2368,Khallid Hart missed Three Point Jumper.,43,52
12:47,2514,Peter Kiss Defensive Rebound.,43,52
12:41,2514,Chaise Daniels missed Layup.,43,52
12:41,2368,David Knudsen Defensive Rebound.,43,52
12:28,2514,Foul on Alain Chigha.,43,52
12:17,2368,Obi Momah Turnover.,43,52
12:06,2514,Mikey Dixon made Layup.,43,54
11:38,2368,Kristinn Palsson missed Jumper.,43,54
11:38,2514,Quinnipiac Defensive Rebound.,43,54
11:38,2514,Official TV Timeout,43,54
11:25,2368,Foul on Tobias Sjoberg.,43,54
11:25,2514,Chaise Daniels made Free Throw.,43,55
11:25,2514,Chaise Daniels made Free Throw.,43,56
11:13,2514,Foul on Mikey Dixon.,43,56
11:13,2368,Ryan Funk made Free Throw.,44,56
11:13,2368,Ryan Funk missed Free Throw.,44,56
11:13,2514,Chaise Daniels Defensive Rebound.,44,56
10:55,2514,Daniel Harris missed Three Point Jumper.,44,56
10:55,2368,Tobias Sjoberg Defensive Rebound.,44,56
10:43,2368,Tobias Sjoberg made Layup. Assisted by Khallid Hart.,46,56
10:24,2514,Daniel Harris made Jumper. Assisted by Peter Kiss.,46,58
9:59,2514,Foul on Chaise Daniels.,46,58
9:59,2368,Isaiah Lamb missed Free Throw.,46,58
9:59,2368,Marist Deadball Team Rebound.,46,58
9:59,2368,Isaiah Lamb made Free Throw.,47,58
9:44,2514,Chaise Daniels made Jumper. Assisted by Mikey Dixon.,47,60
9:31,2368,Khallid Hart made Layup.,49,60
9:13,2514,Peter Kiss missed Jumper.,49,60
9:13,2514,Quinnipiac Offensive Rebound.,49,60
9:13,2514,Mikey Dixon missed Jumper.,49,60
9:13,2368,Brian Parker Defensive Rebound.,49,60
8:59,2514,Foul on Reggie Oliver.,49,60
8:59,2368,Ryan Funk made Free Throw.,50,60
8:59,2368,Ryan Funk made Free Throw.,51,60
8:40,2514,Donovan Smith missed Jumper.,51,60
8:40,2368,Marist Defensive Rebound.,51,60
8:40,2514,Foul on Chaise Daniels.,51,60
8:40,2368,Kristinn Palsson missed Free Throw.,51,60
8:40,2368,Marist Deadball Team Rebound.,51,60
8:40,2368,Kristinn Palsson made Free Throw.,52,60
8:29,2514,Daniel Harris missed Three Point Jumper.,52,60
8:29,2514,Quinnipiac Offensive Rebound.,52,60
8:27,2368,Foul on Kristinn Palsson.,52,60
8:22,2514,Chaise Daniels made Jumper. Assisted by Mikey Dixon.,52,62
8:01,2514,Foul on Mikey Dixon.,52,62
8:01,2368,Ryan Funk missed Free Throw.,52,62
8:01,2368,Marist Deadball Team Rebound.,52,62
8:01,2368,Ryan Funk made Free Throw.,53,62
7:36,2514,Chaise Daniels missed Jumper.,53,62
7:36,2368,Kristinn Palsson Defensive Rebound.,53,62
7:17,2514,Foul on Donovan Smith.,53,62
7:17,2368,Kristinn Palsson made Free Throw.,54,62
7:17,2368,Kristinn Palsson made Free Throw.,55,62
6:59,2514,Daniel Harris made Three Point Jumper. Assisted by Alain Chigha.,55,65
6:41,2368,Ryan Funk missed Three Point Jumper.,55,65
6:41,2514,Reggie Oliver Defensive Rebound.,55,65
