Delaware State,2567,SMU,2169
3:22,2169,Artem Tavakalyan Turnover.,51,66
3:21,2567,Jarrey Foster Steal.,51,66
3:16,2567,Semi Ojeleye missed Three Point Jumper.,51,66
3:16,2169,Artem Tavakalyan Defensive Rebound.,51,66
3:05,2169,Mrdjan Gasevic missed Layup.,51,66
3:05,2567,Ben Moore Block.,51,66
3:03,2169,Delaware St Offensive Rebound.,51,66
3:03,2567,Official TV Timeout,51,66
2:54,2169,Devin Morgan Turnover.,51,66
2:53,2567,Sterling Brown Steal.,51,66
2:51,2567,Ben Moore made Dunk. Assisted by Jarrey Foster.,51,68
2:36,2169,Artem Tavakalyan missed Three Point Jumper.,51,68
2:36,2567,Sterling Brown Defensive Rebound.,51,68
2:29,2169,Foul on DeAndre Haywood.,51,68
2:29,2567,Sterling Brown made Free Throw.,51,69
2:29,2567,Sterling Brown made Free Throw.,51,70
2:17,2169,Artem Tavakalyan missed Layup.,51,70
2:17,2567,Semi Ojeleye Defensive Rebound.,51,70
1:59,2567,SMU  Timeout,51,70
1:49,2567,Harry Froling made Three Point Jumper. Assisted by Tom Wilson.,51,73
1:31,2567,Foul on Harry Froling.,51,73
1:31,2169,Kavon Waller missed Free Throw.,51,73
1:31,2169,Delaware St Deadball Team Rebound.,51,73
1:31,2169,Kavon Waller made Free Throw.,52,73
1:31,2567,Harry Froling Turnover.,52,73
1:30,2169,Kavon Waller made Three Point Jumper. Assisted by Artem Tavakalyan.,55,73
1:02,2567,Dashawn McDowell Turnover.,55,73
1:02,2169,Kavon Waller Steal.,55,73
0:53,2169,Mrdjan Gasevic missed Jumper.,55,73
0:53,2567,Harry Froling Defensive Rebound.,55,73
0:51,2567,Harry Froling Turnover.,55,73
0:50,2169,Artem Tavakalyan Steal.,55,73
0:49,2169,Artem Tavakalyan made Layup.,57,73
0:48,2567,Jonathan Wilfong Turnover.,57,73
0:41,2169,Devin Morgan missed Jumper.,57,73
0:41,2567,Jonathan Wilfong Defensive Rebound.,57,73
0:31,2567,Tom Wilson Turnover.,57,73
0:30,2169,DeAndre Haywood Steal.,57,73
0:27,2169,Devin Morgan made Jumper.,59,73
0:22,2169,Foul on Devin Morgan.,59,73
0:22,2567,Dashawn McDowell missed Free Throw.,59,73
0:22,2567,Dashawn McDowell made Free Throw.,59,74
0:04,2567,Foul on Dashawn McDowell.,59,74
0:04,2169,Artem Tavakalyan made Free Throw.,60,74
0:04,2169,Artem Tavakalyan missed Free Throw.,60,74
0:04,2567,Harry Froling Defensive Rebound.,60,74
0:00,2567,End of Game,60,74
