Boyce,Error,UT Martin,2630
15:56,2630,Malik London Block.,5,7
15:55,-1,Bryce Wells Offensive Rebound.,5,7
15:52,-1,Trey Stewart missed Three Point Jumper.,5,7
15:52,-1,Bryce Wells Offensive Rebound.,5,7
15:46,-1,Bryce Wells missed Three Point Jumper.,5,7
15:46,-1,Trey Stewart Offensive Rebound.,5,7
15:43,-1,Trey Stewart missed Jumper.,5,7
15:43,2630,Malik London Block.,5,7
15:42,2630,Mike Fofana Defensive Rebound.,5,7
15:41,-1,Foul on Drew McKay.,5,7
15:41,2630,Official TV Timeout,5,7
15:29,2630,Matthew Butler made Three Point Jumper. Assisted by Malik Pugh.,5,10
15:14,-1,Adam Rabke made Three Point Jumper. Assisted by Trey Stewart.,8,10
14:57,2630,Matthew Butler made Three Point Jumper. Assisted by Malik Pugh.,8,13
14:38,-1,Adam Rabke Turnover.,8,13
14:36,2630,Malik London Steal.,8,13
14:29,2630,Malik Pugh made Three Point Jumper. Assisted by Mike Fofana.,8,16
14:11,-1,Demetrius Tucker missed Jumper.,8,16
14:11,2630,Mike Fofana Defensive Rebound.,8,16
14:04,2630,Mike Fofana Turnover.,8,16
13:45,-1,Adam Rabke missed Three Point Jumper.,8,16
13:45,2630,Matthew Butler Defensive Rebound.,8,16
13:38,-1,Foul on Trey Stewart.,8,16
13:38,2630,Matthew Butler made Free Throw.,8,17
13:38,2630,Matthew Butler made Free Throw.,8,18
13:31,-1,Adam Rabke Turnover.,8,18
13:30,2630,Malik Pugh Steal.,8,18
13:26,2630,Malik Pugh made Layup.,8,20
13:17,2630,Foul on Malik Pugh.,8,20
13:17,-1,Trey Stewart made Free Throw.,9,20
13:17,-1,Trey Stewart made Free Throw.,10,20
13:02,2630,Malik Pugh Turnover.,10,20
13:01,-1,Bryce Wells Steal.,10,20
12:55,-1,Trey Stewart missed Three Point Jumper.,10,20
12:55,2630,Mike Fofana Defensive Rebound.,10,20
12:48,2630,Mike Fofana made Layup.,10,22
12:30,-1,Drew McKay missed Three Point Jumper.,10,22
12:30,2630,Mike Fofana Defensive Rebound.,10,22
12:23,2630,Mike Fofana made Layup.,10,24
11:59,-1,Drew McKay missed Layup.,10,24
11:59,2630,Malik London Block.,10,24
11:59,-1,Boyce Offensive Rebound.,10,24
11:58,2630,Official TV Timeout,10,24
11:55,-1,Darius Tucker missed Three Point Jumper.,10,24
11:55,2630,Chandler Rowe Defensive Rebound.,10,24
11:35,2630,Malik Pugh made Layup.,10,26
11:14,-1,Adam Rabke missed Three Point Jumper.,10,26
11:14,2630,Dante Bailey Defensive Rebound.,10,26
11:04,2630,Dante Bailey missed Three Point Jumper.,10,26
11:04,2630,Malik London Offensive Rebound.,10,26
10:56,2630,Matthew Butler made Three Point Jumper. Assisted by Dante Bailey.,10,29
10:40,-1,Trey Stewart missed Three Point Jumper.,10,29
10:40,2630,Malik London Defensive Rebound.,10,29
10:39,-1,Foul on Demetrius Tucker.,10,29
10:26,2630,Matthew Butler made Jumper.,10,31
10:12,-1,Foul on Trey Stewart.,10,31
10:12,-1,Trey Stewart Turnover.,10,31
9:59,2630,Matthew Butler missed Jumper.,10,31
9:59,-1,Adam Rabke Defensive Rebound.,10,31
9:49,-1,Darius Tucker Turnover.,10,31
9:34,2630,Malik Pugh made Three Point Jumper.,10,34
9:28,-1,Demetrius Tucker Turnover.,10,34
9:27,2630,Kedar Edwards Steal.,10,34
9:27,2630,Kedar Edwards Turnover.,10,34
9:18,2630,Foul on Fatodd Lewis.,10,34
9:18,-1,Darius Tucker made Free Throw.,11,34
9:18,-1,Darius Tucker made Free Throw.,12,34
9:06,2630,Kedar Edwards made Jumper.,12,36
8:47,-1,Drew McKay missed Jumper.,12,36
8:47,2630,Chandler Rowe Defensive Rebound.,12,36
8:24,2630,Kedar Edwards made Three Point Jumper. Assisted by Malik Pugh.,12,39
8:13,-1,Trey Stewart missed Three Point Jumper.,12,39
8:13,2630,Chandler Rowe Defensive Rebound.,12,39
8:09,2630,Malik Pugh Turnover.,12,39
8:06,-1,Trey Stewart Steal.,12,39
8:03,-1,Trey Stewart Turnover.,12,39
8:01,2630,Kedar Edwards Steal.,12,39
7:55,2630,Dante Bailey missed Three Point Jumper.,12,39
7:55,-1,Bryce Wells Defensive Rebound.,12,39
7:45,-1,Adam Rabke made Jumper.,14,39
7:42,2630,UT Martin  Timeout,14,39
7:42,2630,Official TV Timeout,14,39
7:24,2630,Kedar Edwards missed Three Point Jumper.,14,39
7:24,-1,Darius Tucker Defensive Rebound.,14,39
7:18,-1,Bryce Wells Turnover.,14,39
7:17,2630,Kedar Edwards Steal.,14,39
7:14,2630,Matthew Butler made Layup. Assisted by Kedar Edwards.,14,41
7:08,-1,Adam Rabke Turnover.,14,41
7:06,2630,Kahari Beaufort Steal.,14,41
7:05,2630,Kahari Beaufort made Layup.,14,43
7:05,-1,Foul on Drew McKay.,14,43
7:05,2630,Kahari Beaufort missed Free Throw.,14,43
7:05,-1,Drew McKay Defensive Rebound.,14,43
6:45,-1,Trey Stewart missed Jumper.,14,43
6:45,2630,Kahari Beaufort Defensive Rebound.,14,43
6:35,2630,Mike Fofana missed Jumper.,14,43
6:35,-1,Darius Tucker Defensive Rebound.,14,43
6:30,-1,Darius Tucker made Jumper.,16,43
6:30,2630,Foul on Matthew Butler.,16,43
6:30,-1,Darius Tucker made Free Throw.,17,43
6:14,2630,Matthew Butler made Jumper.,17,45
6:01,-1,Trey Stewart made Three Point Jumper. Assisted by Bryce Wells.,20,45
5:41,2630,Matthew Butler missed Jumper.,20,45
5:41,-1,Adam Rabke Defensive Rebound.,20,45
5:24,-1,Adam Rabke made Three Point Jumper. Assisted by Trey Stewart.,23,45
5:07,2630,Chandler Rowe missed Three Point Jumper.,23,45
5:07,-1,Darius Tucker Defensive Rebound.,23,45
4:56,-1,Trey Stewart made Three Point Jumper. Assisted by Adam Rabke.,26,45
4:36,2630,Matthew Butler made Three Point Jumper. Assisted by Kedar Edwards.,26,48
4:10,-1,Foul on Darius Tucker.,26,48
4:10,-1,Darius Tucker Turnover.,26,48
4:01,-1,Foul on Adam Rabke.,26,48
4:01,2630,Malik Pugh missed Free Throw.,26,48
4:01,-1,Boyce Deadball Team Rebound.,26,48
4:01,2630,Malik Pugh missed Free Throw.,26,48
4:01,-1,Adam Rabke Defensive Rebound.,26,48
3:55,-1,Bryce Wells missed Three Point Jumper.,26,48
3:55,2630,Kedar Edwards Defensive Rebound.,26,48
3:48,2630,Kedar Edwards made Layup.,26,50
3:37,-1,Darius Tucker missed Jumper.,26,50
3:37,2630,Malik London Block.,26,50
3:36,2630,Malik London Defensive Rebound.,26,50
3:29,2630,Malik Pugh missed Three Point Jumper.,26,50
3:29,2630,Malik London Offensive Rebound.,26,50
3:27,2630,Malik London made Layup.,26,52
3:25,-1,Boyce  Timeout,26,52
3:25,2630,Official TV Timeout,26,52
3:13,2630,Foul on Malik London.,26,52
3:13,-1,Adam Rabke made Free Throw.,27,52
3:13,-1,Adam Rabke missed Free Throw.,27,52
3:13,2630,UT Martin Deadball Team Rebound.,27,52
3:13,-1,Adam Rabke missed Free Throw.,27,52
3:13,2630,Malik London Defensive Rebound.,27,52
3:01,2630,Kedar Edwards made Jumper.,27,54
2:43,-1,Adam Rabke missed Three Point Jumper.,27,54
2:43,2630,Kedar Edwards Defensive Rebound.,27,54
2:37,2630,Kedar Edwards made Dunk.,27,56
2:22,-1,Darius Tucker missed Jumper.,27,56
2:22,2630,Matthew Butler Defensive Rebound.,27,56
2:16,2630,Kedar Edwards made Jumper. Assisted by Matthew Butler.,27,58
2:16,-1,Foul on Adam Rabke.,27,58
2:16,2630,Kedar Edwards missed Free Throw.,27,58
2:16,-1,Ben Cook Defensive Rebound.,27,58
2:06,-1,Demetrius Tucker missed Three Point Jumper.,27,58
2:06,2630,Kedar Edwards Defensive Rebound.,27,58
1:58,2630,Matthew Butler missed Three Point Jumper.,27,58
1:58,-1,Drew McKay Defensive Rebound.,27,58
1:48,-1,Ben Cook missed Jumper.,27,58
1:48,2630,Malik London Defensive Rebound.,27,58
1:25,2630,Matthew Butler made Layup.,27,60
1:09,2630,Foul on Malik Pugh.,27,60
0:51,-1,Drew McKay missed Three Point Jumper.,27,60
0:51,2630,Chandler Rowe Defensive Rebound.,27,60
0:46,2630,Malik Pugh made Layup. Assisted by Chandler Rowe.,27,62
0:46,-1,Foul on Drew McKay.,27,62
0:46,2630,Malik Pugh made Free Throw.,27,63
0:35,-1,Trey Stewart missed Jumper.,27,63
0:35,2630,Chandler Rowe Defensive Rebound.,27,63
0:27,2630,Matthew Butler made Three Point Jumper. Assisted by Kedar Edwards.,27,66
0:05,-1,Trey Stewart missed Three Point Jumper.,27,66
0:05,2630,Nick Detlev Defensive Rebound.,27,66
0:00,2630,End of 1st half,27,66
19:46,-1,Trey Stewart Turnover.,27,66
19:31,2630,Malik Pugh missed Three Point Jumper.,27,66
19:31,-1,Trey Stewart Defensive Rebound.,27,66
19:30,2630,Foul on Fatodd Lewis.,27,66
19:26,-1,Demetrius Tucker Turnover.,27,66
19:25,2630,Kedar Edwards Steal.,27,66
19:23,-1,Foul on Trey Stewart.,27,66
19:23,2630,Kedar Edwards missed Free Throw.,27,66
19:23,-1,Boyce Deadball Team Rebound.,27,66
19:23,2630,Kedar Edwards made Free Throw.,27,67
19:08,-1,Adam Rabke missed Jumper.,27,67
19:08,2630,Chandler Rowe Block.,27,67
19:08,-1,Boyce Offensive Rebound.,27,67
19:02,-1,Adam Rabke made Jumper.,29,67
18:45,2630,Matthew Butler missed Three Point Jumper.,29,67
18:45,2630,Kedar Edwards Offensive Rebound.,29,67
18:39,2630,Chandler Rowe missed Layup.,29,67
18:39,2630,Fatodd Lewis Offensive Rebound.,29,67
18:37,2630,Fatodd Lewis missed Jumper.,29,67
18:37,2630,Kedar Edwards Offensive Rebound.,29,67
18:32,2630,Kedar Edwards Turnover.,29,67
18:30,-1,Trey Stewart Steal.,29,67
18:25,-1,Foul on Trey Stewart.,29,67
18:25,-1,Trey Stewart Turnover.,29,67
18:13,2630,Mike Fofana missed Jumper.,29,67
18:13,-1,Darius Tucker Defensive Rebound.,29,67
17:51,-1,Demetrius Tucker Turnover.,29,67
17:50,2630,Mike Fofana Steal.,29,67
17:47,2630,Matthew Butler made Layup. Assisted by Mike Fofana.,29,69
17:32,-1,Drew McKay made Three Point Jumper. Assisted by Adam Rabke.,32,69
17:03,2630,Kedar Edwards missed Jumper.,32,69
17:03,2630,Chandler Rowe Offensive Rebound.,32,69
17:01,2630,Chandler Rowe Turnover.,32,69
16:48,-1,Bryce Wells Turnover.,32,69
16:47,2630,Kedar Edwards Steal.,32,69
16:43,2630,Malik Pugh made Layup. Assisted by Kedar Edwards.,32,71
16:24,-1,Adam Rabke made Three Point Jumper.,35,71
16:16,2630,Malik Pugh made Layup.,35,73
15:59,-1,Darius Tucker made Layup.,37,73
15:38,-1,Foul on Darius Tucker.,37,73
15:38,2630,Official TV Timeout,37,73
15:38,2630,Chandler Rowe missed Free Throw.,37,73
15:38,-1,Boyce Deadball Team Rebound.,37,73
15:38,2630,Chandler Rowe made Free Throw.,37,74
15:15,-1,Adam Rabke Turnover.,37,74
15:04,2630,Mike Fofana made Layup. Assisted by Malik Pugh.,37,76
14:33,-1,Drew McKay Turnover.,37,76
14:19,2630,Mike Fofana made Jumper. Assisted by Malik Pugh.,37,78
14:07,-1,Drew McKay Turnover.,37,78
14:06,2630,Kedar Edwards Steal.,37,78
14:00,2630,Malik Pugh Turnover.,37,78
13:48,-1,Darius Tucker missed Jumper.,37,78
13:48,-1,Bryce Wells Offensive Rebound.,37,78
13:45,-1,Bryce Wells made Jumper.,39,78
13:23,2630,Mike Fofana Turnover.,39,78
13:03,-1,Adam Rabke missed Three Point Jumper.,39,78
13:03,2630,Malik Pugh Defensive Rebound.,39,78
12:51,2630,Matthew Butler made Three Point Jumper.,39,81
12:36,-1,Darius Tucker missed Three Point Jumper.,39,81
12:36,2630,Matthew Butler Defensive Rebound.,39,81
12:30,2630,Matthew Butler Turnover.,39,81
12:13,2630,Foul on Chandler Rowe.,39,81
12:13,-1,Trey Stewart made Free Throw.,40,81
12:13,-1,Trey Stewart made Free Throw.,41,81
12:02,2630,Jalen Jackson made Three Point Jumper. Assisted by Kedar Edwards.,41,84
11:49,2630,Foul on Malik London.,41,84
11:49,2630,Official TV Timeout,41,84
11:45,-1,Bryce Wells made Three Point Jumper. Assisted by Darius Tucker.,44,84
11:31,2630,Kedar Edwards made Three Point Jumper. Assisted by Malik Pugh.,44,87
11:15,-1,Adam Rabke missed Three Point Jumper.,44,87
11:15,2630,Kedar Edwards Block.,44,87
11:14,2630,Malik London Defensive Rebound.,44,87
11:06,2630,Jalen Jackson missed Three Point Jumper.,44,87
11:06,2630,Malik London Offensive Rebound.,44,87
10:59,2630,Malik London made Jumper.,44,89
10:47,-1,Trey Stewart made Three Point Jumper. Assisted by Josh Hurst.,47,89
10:30,2630,Malik Pugh Turnover.,47,89
10:28,-1,Josh Hurst Steal.,47,89
10:25,-1,Josh Hurst made Jumper.,49,89
10:06,2630,Malik London made Dunk. Assisted by Malik Pugh.,49,91
9:54,-1,Josh Hurst Turnover.,49,91
9:37,2630,Kedar Edwards missed Three Point Jumper.,49,91
9:37,-1,Trey Stewart Defensive Rebound.,49,91
9:30,-1,Adam Rabke missed Layup.,49,91
9:30,2630,Malik London Defensive Rebound.,49,91
9:18,2630,Matthew Butler Turnover.,49,91
9:16,-1,Darius Tucker Steal.,49,91
9:08,-1,Trey Stewart made Three Point Jumper. Assisted by Josh Hurst.,52,91
9:07,-1,Boyce  Timeout,52,91
8:53,2630,Kahari Beaufort made Layup.,52,93
8:41,-1,Bryce Wells made Three Point Jumper. Assisted by Adam Rabke.,55,93
8:18,2630,Jalen Jackson made Jumper.,55,95
7:56,-1,Demetrius Tucker missed Jumper.,55,95
7:56,2630,Matthew Butler Defensive Rebound.,55,95
7:47,2630,Matthew Butler missed Three Point Jumper.,55,95
7:47,-1,Boyce Defensive Rebound.,55,95
7:44,2630,Official TV Timeout,55,95
7:26,-1,Bryce Wells missed Jumper.,55,95
7:26,2630,Nick Detlev Block.,55,95
7:25,2630,Mike Fofana Defensive Rebound.,55,95
7:14,2630,Nick Detlev made Jumper. Assisted by Malik Pugh.,55,97
6:52,-1,Bryce Wells missed Three Point Jumper.,55,97
6:52,2630,Matthew Butler Defensive Rebound.,55,97
6:30,2630,Malik Pugh made Layup.,55,99
6:15,2630,Foul on Matthew Butler.,55,99
6:09,-1,Drew McKay made Three Point Jumper.,58,99
5:59,2630,Nick Detlev Turnover.,58,99
5:58,-1,Drew McKay Steal.,58,99
5:53,-1,Drew McKay missed Layup.,58,99
5:53,2630,Malik Pugh Block.,58,99
5:51,2630,Dante Bailey Defensive Rebound.,58,99
5:46,2630,Mike Fofana missed Free Throw.,58,99
5:46,-1,Boyce Deadball Team Rebound.,58,99
5:46,2630,Mike Fofana made Free Throw.,58,100
5:32,-1,Josh Hurst missed Jumper.,58,100
5:32,2630,Kahari Beaufort Defensive Rebound.,58,100
5:23,2630,Nick Detlev made Jumper. Assisted by Malik Pugh.,58,102
5:03,-1,Drew McKay missed Three Point Jumper.,58,102
5:03,-1,Drew McKay Offensive Rebound.,58,102
4:44,-1,Demetrius Tucker missed Jumper.,58,102
4:44,2630,Mike Fofana Defensive Rebound.,58,102
4:36,2630,Dante Bailey missed Three Point Jumper.,58,102
4:36,2630,Kahari Beaufort Offensive Rebound.,58,102
4:16,2630,Malik Pugh Turnover.,58,102
4:15,-1,Drew McKay Steal.,58,102
4:11,-1,Josh Hurst made Layup. Assisted by Drew McKay.,60,102
3:43,2630,Dante Bailey missed Jumper.,60,102
3:43,2630,Nick Detlev Offensive Rebound.,60,102
3:40,2630,Nick Detlev made Jumper.,60,104
3:37,2630,UT Martin  Timeout,60,104
3:37,2630,Official TV Timeout,60,104
3:23,-1,Brandon Grasmick missed Jumper.,60,104
3:23,2630,Nick Detlev Block.,60,104
3:21,2630,Dante Bailey Defensive Rebound.,60,104
3:06,2630,Jalen Jackson Turnover.,60,104
2:52,-1,Josh Hurst missed Jumper.,60,104
2:52,2630,Dante Bailey Block.,60,104
2:50,2630,Kahari Beaufort Defensive Rebound.,60,104
2:37,2630,Foul on Kahari Beaufort.,60,104
2:37,2630,Kahari Beaufort Turnover.,60,104
2:27,-1,Will Cook missed Jumper.,60,104
2:27,2630,Nick Detlev Block.,60,104
2:26,2630,Nick Detlev Defensive Rebound.,60,104
2:12,2630,Nick Detlev missed Jumper.,60,104
2:12,-1,Boyce Defensive Rebound.,60,104
2:09,-1,Boyce  Timeout,60,104
1:55,-1,Brandon Grasmick missed Layup.,60,104
1:55,-1,Nick Turner Offensive Rebound.,60,104
1:48,-1,Nick Turner missed Jumper.,60,104
1:48,2630,Dante Bailey Defensive Rebound.,60,104
1:22,-1,Foul on Brandon Grasmick.,60,104
1:22,2630,Jalen Jackson missed Free Throw.,60,104
1:22,-1,Boyce Deadball Team Rebound.,60,104
1:22,2630,Jalen Jackson missed Free Throw.,60,104
1:22,-1,Brandon Grasmick Defensive Rebound.,60,104
1:15,-1,Nick Turner Turnover.,60,104
1:14,2630,Mike Fofana Steal.,60,104
1:10,2630,Dante Bailey made Layup. Assisted by Mike Fofana.,60,106
0:58,2630,Foul on Jalen Jackson.,60,106
0:51,-1,Sam Stopher made Jumper.,62,106
0:37,2630,Kahari Beaufort missed Three Point Jumper.,62,106
0:37,2630,Mike Fofana Offensive Rebound.,62,106
0:34,2630,Mike Fofana made Layup.,62,108
0:24,-1,Nick Turner made Jumper. Assisted by Sam Stopher.,64,108
0:00,2630,End of Game,64,108
