Savannah State,245,Texas A&amp;M,2542
0:16,2542,Dexter McClanahan Turnover.,33,48
0:14,245,Tonny Trocha-Morelos Steal.,33,48
0:12,245,Jay Jay Chandler made Layup. Assisted by Tonny Trocha-Morelos.,33,50
0:04,2542,Jahir Cabeza Turnover.,33,50
0:03,245,Duane Wilson Steal.,33,50
0:01,245,Admon Gilder made Layup. Assisted by Jay Jay Chandler.,33,52
0:00,245,End of 1st half,33,52
19:40,2542,John Grant Jr. missed Three Point Jumper.,33,52
19:40,245,Duane Wilson Defensive Rebound.,33,52
19:34,245,Admon Gilder missed Layup.,33,52
19:34,245,Tyler Davis Offensive Rebound.,33,52
19:26,245,DJ Hogg made Three Point Jumper. Assisted by Duane Wilson.,33,55
19:17,2542,Dexter McClanahan missed Three Point Jumper.,33,55
19:17,245,DJ Hogg Defensive Rebound.,33,55
19:08,245,DJ Hogg missed Three Point Jumper.,33,55
19:08,2542,Javaris Jenkins Defensive Rebound.,33,55
18:51,2542,Dexter McClanahan made Jumper. Assisted by Maricus Glenn.,35,55
18:31,245,Tyler Davis missed Jumper.,35,55
18:31,2542,Maricus Glenn Defensive Rebound.,35,55
18:22,245,Foul on Tyler Davis.,35,55
18:22,2542,Dexter McClanahan missed Free Throw.,35,55
18:22,2542,Savannah State Deadball Team Rebound.,35,55
18:22,2542,Dexter McClanahan made Free Throw.,36,55
18:06,245,DJ Hogg missed Three Point Jumper.,36,55
18:06,245,Tonny Trocha-Morelos Offensive Rebound.,36,55
18:00,245,Tonny Trocha-Morelos Turnover.,36,55
17:47,2542,Maricus Glenn missed Layup.,36,55
17:47,245,Tyler Davis Defensive Rebound.,36,55
17:45,2542,Foul on Maricus Glenn.,36,55
17:33,245,Admon Gilder missed Three Point Jumper.,36,55
17:33,245,DJ Hogg Offensive Rebound.,36,55
17:29,245,DJ Hogg missed Jumper.,36,55
17:29,245,Tonny Trocha-Morelos Offensive Rebound.,36,55
17:27,245,Tonny Trocha-Morelos made Layup.,36,57
17:18,2542,Dexter McClanahan Turnover.,36,57
17:17,245,Admon Gilder Steal.,36,57
17:15,245,Duane Wilson made Layup. Assisted by Admon Gilder.,36,59
17:04,2542,Javaris Jenkins missed Jumper.,36,59
17:04,2542,Maricus Glenn Offensive Rebound.,36,59
17:01,2542,Maricus Glenn made Two Point Tip Shot.,38,59
16:39,245,Tyler Davis made Layup. Assisted by Tonny Trocha-Morelos.,38,61
16:23,2542,Maricus Glenn missed Three Point Jumper.,38,61
16:23,245,Admon Gilder Defensive Rebound.,38,61
16:20,2542,Foul on John Grant Jr..,38,61
16:10,245,Duane Wilson made Three Point Jumper. Assisted by Tyler Davis.,38,64
15:50,2542,Javaris Jenkins missed Three Point Jumper.,38,64
15:50,245,Duane Wilson Defensive Rebound.,38,64
15:42,245,Tonny Trocha-Morelos missed Layup.,38,64
