New Orleans,2567,SMU,2443
8:32,2567,Jimmy Whitt made Jumper. Assisted by Shake Milton.,20,30
8:19,2443,Ezekiel Charles missed Three Point Jumper.,20,30
8:19,2567,Ben Emelogu II Defensive Rebound.,20,30
8:09,2443,Foul on Michael Zeno.,20,30
8:04,2567,Shake Milton missed Three Point Jumper.,20,30
8:04,2443,Bryson Robinson Defensive Rebound.,20,30
8:02,2567,Foul on Ben Emelogu II.,20,30
8:02,2443,Bryson Robinson made Free Throw.,21,30
8:02,2443,Bryson Robinson made Free Throw.,22,30
7:47,2567,Shake Milton missed Jumper.,22,30
7:47,2567,Everett Ray Offensive Rebound.,22,30
7:44,2567,Everett Ray missed Two Point Tip Shot.,22,30
7:44,2567,SMU Offensive Rebound.,22,30
7:43,2567,Official TV Timeout,22,30
7:39,2567,William Douglas missed Three Point Jumper.,22,30
7:39,2443,Bryson Robinson Defensive Rebound.,22,30
7:31,2443,Ezekiel Charles Turnover.,22,30
7:30,2567,Jimmy Whitt Steal.,22,30
7:13,2567,Jarrey Foster made Layup.,22,32
6:56,2443,Troy Green made Jumper.,24,32
6:39,2567,Jarrey Foster made Layup. Assisted by Jimmy Whitt.,24,34
6:20,2443,Travin Thibodeaux made Jumper. Assisted by Troy Green.,26,34
6:01,2567,Ethan Chargois made Three Point Jumper. Assisted by Jimmy Whitt.,26,37
5:37,2443,Travin Thibodeaux made Jumper.,28,37
5:17,2567,Shake Milton Turnover.,28,37
5:17,2567,Foul on Shake Milton.,28,37
5:00,2443,Makur Puou missed Jumper.,28,37
5:00,2567,Jarrey Foster Defensive Rebound.,28,37
4:52,2567,Elijah Landrum missed Three Point Jumper.,28,37
4:52,2567,Jimmy Whitt Offensive Rebound.,28,37
4:50,2443,Foul on Troy Green.,28,37
4:50,2567,Jimmy Whitt missed Free Throw.,28,37
4:50,2443,Makur Puou Defensive Rebound.,28,37
4:34,2443,Bryson Robinson Turnover.,28,37
4:34,2443,Foul on Bryson Robinson.,28,37
4:26,2567,Jarrey Foster missed Three Point Jumper.,28,37
4:26,2443,Bryson Robinson Defensive Rebound.,28,37
4:22,2567,Foul on Jimmy Whitt.,28,37
4:22,2443,Bryson Robinson made Free Throw.,29,37
4:22,2443,Bryson Robinson missed Free Throw.,29,37
4:22,2443,New Orleans Offensive Rebound.,29,37
3:59,2443,Makur Puou missed Jumper.,29,37
3:59,2567,Elijah Landrum Defensive Rebound.,29,37
3:45,2567,Ethan Chargois Turnover.,29,37
3:45,2567,Foul on Ethan Chargois.,29,37
3:45,2567,Official TV Timeout,29,37
3:25,2443,Travin Thibodeaux made Jumper. Assisted by Makur Puou.,31,37
3:07,2567,Jimmy Whitt made Jumper.,31,39
2:48,2443,New Orleans  Timeout,31,39
2:40,2443,Travin Thibodeaux made Jumper.,33,39
2:19,2567,Jarrey Foster Turnover.,33,39
1:56,2567,Foul on Everett Ray.,33,39
1:56,2443,Travin Thibodeaux made Free Throw.,34,39
1:56,2443,Travin Thibodeaux missed Free Throw.,34,39
1:56,2443,Damion Rosser Offensive Rebound.,34,39
1:48,2443,Dionta Champion Turnover.,34,39
1:48,2567,Elijah Landrum Steal.,34,39
1:31,2567,Everett Ray made Layup. Assisted by Jarrey Foster.,34,41
1:07,2443,Damion Rosser Turnover.,34,41
1:05,2567,Elijah Landrum Steal.,34,41
0:55,2567,Jarrey Foster made Three Point Jumper. Assisted by Jimmy Whitt.,34,44
0:30,2443,Travin Thibodeaux missed Jumper.,34,44
0:30,2567,Jarrey Foster Defensive Rebound.,34,44
0:21,2567,SMU  Timeout,34,44
0:05,2567,Jimmy Whitt missed Jumper.,34,44
0:01,2567,Everett Ray Offensive Rebound.,34,44
0:00,2567,End of 1st half,34,44
19:34,2443,Troy Green made Jumper. Assisted by Bryson Robinson.,36,44
19:16,2567,Jimmy Whitt missed Layup.,36,44
19:16,2443,Bryson Robinson Defensive Rebound.,36,44
19:10,2443,Michael Zeno missed Jumper.,36,44
19:10,2567,SMU Defensive Rebound.,36,44
18:51,2567,Shake Milton Turnover.,36,44
18:49,2443,Travin Thibodeaux Steal.,36,44
18:43,2443,Travin Thibodeaux made Layup. Assisted by Troy Green.,38,44
18:24,2443,Foul on Makur Puou.,38,44
18:05,2567,Jimmy Whitt Turnover.,38,44
18:04,2443,Michael Zeno Steal.,38,44
18:02,2443,Michael Zeno missed Layup.,38,44
18:02,2443,Troy Green Offensive Rebound.,38,44
17:44,2443,Michael Zeno missed Jumper.,38,44
17:44,2567,Shake Milton Defensive Rebound.,38,44
17:20,2567,Jimmy Whitt made Layup. Assisted by Jarrey Foster.,38,46
17:00,2567,Foul on Jarrey Foster.,38,46
17:00,2443,Travin Thibodeaux missed Free Throw.,38,46
17:00,2443,New Orleans Deadball Team Rebound.,38,46
17:00,2443,Travin Thibodeaux made Free Throw.,39,46
16:50,2567,Ben Emelogu II made Three Point Jumper. Assisted by Jimmy Whitt.,39,49
16:41,2567,Foul on Ben Emelogu II.,39,49
16:27,2443,Bryson Robinson made Layup.,41,49
16:04,2443,Foul on Travin Thibodeaux.,41,49
16:04,2567,Ethan Chargois made Free Throw.,41,50
16:04,2567,Ethan Chargois missed Free Throw.,41,50
16:04,2567,Jimmy Whitt Offensive Rebound.,41,50
16:00,2567,Ben Emelogu II made Three Point Jumper. Assisted by Jimmy Whitt.,41,53
15:41,2443,Bryson Robinson made Jumper.,43,53
15:24,2567,Ethan Chargois made Three Point Jumper. Assisted by Shake Milton.,43,56
15:07,2443,Ezekiel Charles made Layup. Assisted by Bryson Robinson.,45,56
14:44,2567,Jimmy Whitt made Layup. Assisted by Ethan Chargois.,45,58
14:44,2443,Foul on Bryson Robinson.,45,58
14:44,2567,Official TV Timeout,45,58
14:44,2567,Jimmy Whitt made Free Throw.,45,59
14:35,2443,Troy Green Turnover.,45,59
14:35,2567,Shake Milton Steal.,45,59
14:35,2567,Shake Milton Turnover.,45,59
14:25,2443,Makur Puou Turnover.,45,59
14:25,2443,Foul on Makur Puou.,45,59
14:13,2567,Ethan Chargois missed Three Point Jumper.,45,59
14:13,2443,Makur Puou Defensive Rebound.,45,59
14:04,2443,Ezekiel Charles made Three Point Jumper. Assisted by Bryson Robinson.,48,59
13:44,2567,Ethan Chargois missed Layup.,48,59
13:44,2443,Makur Puou Defensive Rebound.,48,59
13:38,2443,Ezekiel Charles made Three Point Jumper. Assisted by Bryson Robinson.,51,59
13:07,2567,Jimmy Whitt made Jumper. Assisted by Shake Milton.,51,61
12:57,2443,Makur Puou made Jumper. Assisted by Travin Thibodeaux.,53,61
12:25,2567,Ethan Chargois missed Layup.,53,61
12:24,2567,Jimmy Whitt Offensive Rebound.,53,61
12:23,2567,Jimmy Whitt missed Two Point Tip Shot.,53,61
12:21,2443,Bryson Robinson Defensive Rebound.,53,61
12:15,2443,Ezekiel Charles made Three Point Jumper. Assisted by Bryson Robinson.,56,61
12:13,2567,SMU  Timeout,56,61
12:13,2567,Official TV Timeout,56,61
11:54,2567,Official TV Timeout,56,61
11:45,2567,Jarrey Foster missed Jumper.,56,61
11:42,2567,Jimmy Whitt Offensive Rebound.,56,61
11:20,2567,Jimmy Whitt made Jumper.,56,63
11:20,2443,Foul on Bryson Robinson.,56,63
11:20,2567,Jimmy Whitt made Free Throw.,56,64
11:04,2443,Troy Green Turnover.,56,64
11:03,2567,Jimmy Whitt Steal.,56,64
11:00,2567,Elijah Landrum Turnover.,56,64
10:35,2443,Makur Puou missed Jumper.,56,64
10:35,2567,Ethan Chargois Defensive Rebound.,56,64
10:19,2567,Jarrey Foster missed Three Point Jumper.,56,64
10:19,2443,Makur Puou Defensive Rebound.,56,64
10:03,2443,Travin Thibodeaux missed Jumper.,56,64
10:03,2567,Ethan Chargois Defensive Rebound.,56,64
9:44,2567,Ethan Chargois missed Layup.,56,64
9:44,2443,Travin Thibodeaux Block.,56,64
9:42,2443,Ezekiel Charles Defensive Rebound.,56,64
9:36,2443,Troy Green missed Three Point Jumper.,56,64
9:36,2567,Ethan Chargois Defensive Rebound.,56,64
9:10,2567,Elijah Landrum Turnover.,56,64
9:09,2443,Troy Green Steal.,56,64
9:06,2443,Troy Green missed Jumper.,56,64
9:06,2443,Bryson Robinson Offensive Rebound.,56,64
9:04,2443,Bryson Robinson missed Two Point Tip Shot.,56,64
9:04,2567,Ethan Chargois Defensive Rebound.,56,64
8:36,2567,Jarrey Foster made Layup. Assisted by Jimmy Whitt.,56,66
8:14,2443,Travin Thibodeaux Turnover.,56,66
7:55,2567,Ben Emelogu II made Three Point Jumper. Assisted by William Douglas.,56,69
7:25,2443,Ezekiel Charles made Three Point Jumper. Assisted by Damion Rosser.,59,69
7:01,2443,Foul on Dionta Champion.,59,69
7:01,2567,Official TV Timeout,59,69
6:52,2567,Ben Emelogu II made Dunk. Assisted by Jimmy Whitt.,59,71
6:22,2443,Dionta Champion missed Three Point Jumper.,59,71
6:22,2567,Jarrey Foster Defensive Rebound.,59,71
6:06,2567,Shake Milton missed Jumper.,59,71
6:06,2443,Michael Zeno Defensive Rebound.,59,71
5:44,2443,Makur Puou Turnover.,59,71
5:43,2567,Jarrey Foster Steal.,59,71
5:39,2567,William Douglas missed Three Point Jumper.,59,71
5:39,2567,Jarrey Foster Offensive Rebound.,59,71
5:34,2567,Jarrey Foster Turnover.,59,71
5:33,2443,Lamont Berzat Steal.,59,71
5:29,2443,Michael Zeno missed Layup.,59,71
5:29,2443,Dionta Champion Offensive Rebound.,59,71
5:27,2443,Dionta Champion made Two Point Tip Shot.,61,71
5:25,2443,New Orleans  Timeout,61,71
5:08,2567,Ben Emelogu II missed Jumper.,61,71
5:08,2567,SMU Offensive Rebound.,61,71
5:04,2567,Ethan Chargois Turnover.,61,71
5:03,2443,Makur Puou Steal.,61,71
5:02,2443,Makur Puou Turnover.,61,71
4:47,2567,Jarrey Foster missed Jumper.,61,71
4:47,2567,Ethan Chargois Offensive Rebound.,61,71
4:43,2567,Jarrey Foster missed Three Point Jumper.,61,71
4:43,2443,Makur Puou Defensive Rebound.,61,71
4:20,2443,Michael Zeno missed Layup.,61,71
4:20,2567,Ethan Chargois Block.,61,71
4:18,2567,Jimmy Whitt Defensive Rebound.,61,71
4:14,2443,Foul on Troy Green.,61,71
4:14,2567,Jimmy Whitt made Free Throw.,61,72
4:14,2567,Jimmy Whitt missed Free Throw.,61,72
4:14,2443,Makur Puou Defensive Rebound.,61,72
3:56,2443,Ezekiel Charles missed Three Point Jumper.,61,72
3:56,2443,Makur Puou Offensive Rebound.,61,72
3:53,2567,Foul on Ben Emelogu II.,61,72
3:53,2567,Official TV Timeout,61,72
3:43,2443,Travin Thibodeaux missed Jumper.,61,72
3:43,2567,Ethan Chargois Block.,61,72
3:41,2567,Jimmy Whitt Defensive Rebound.,61,72
3:24,2567,Jarrey Foster made Layup. Assisted by Ethan Chargois.,61,74
3:09,2443,Troy Green missed Jumper.,61,74
3:09,2567,Shake Milton Defensive Rebound.,61,74
2:53,2567,Ethan Chargois made Layup. Assisted by Shake Milton.,61,76
2:43,2443,New Orleans  Timeout,61,76
2:27,2443,Travin Thibodeaux made Three Point Jumper. Assisted by Ezekiel Charles.,64,76
1:56,2567,Jimmy Whitt made Jumper.,64,78
1:33,2443,Travin Thibodeaux missed Layup.,64,78
1:33,2567,Ethan Chargois Block.,64,78
1:31,2567,Jarrey Foster Defensive Rebound.,64,78
1:06,2443,Foul on Ezekiel Charles.,64,78
1:06,2567,Shake Milton missed Free Throw.,64,78
1:06,2567,SMU Deadball Team Rebound.,64,78
1:06,2567,Shake Milton made Free Throw.,64,79
1:00,2443,New Orleans  Timeout,64,79
0:37,2443,Charles Bohannon missed Three Point Jumper.,64,79
0:37,2567,Ethan Chargois Block.,64,79
0:36,2443,New Orleans Deadball Team Rebound.,64,79
0:36,2443,New Orleans  Turnover.,64,79
0:17,2567,Elijah Landrum missed Jumper.,64,79
0:17,2443,Bol Riek Block.,64,79
0:16,2443,Lamont Berzat Defensive Rebound.,64,79
0:12,2443,Lamont Berzat made Layup.,66,79
