Arkansas State,2437,Omaha,2032
9:00,2437,Ayo Akinwole Defensive Rebound.,11,16
8:56,2032,Foul on Salif Boudie.,11,16
8:42,2437,KJ Robinson missed Three Point Jumper.,11,16
8:42,2032,Tamas Bruce Defensive Rebound.,11,16
8:33,2032,Marquis Eaton made Layup.,13,16
8:14,2437,Ayo Akinwole made Jumper. Assisted by Daniel Meyer.,13,18
8:02,2032,Tristin Walley missed Three Point Jumper.,13,18
8:02,2437,Daniel Norl Defensive Rebound.,13,18
7:55,2437,Alex Allbery missed Layup.,13,18
7:55,2032,Tristin Walley Block.,13,18
7:53,2032,Tristin Walley Defensive Rebound.,13,18
7:43,2032,Rashad Lindsey missed Jumper.,13,18
7:43,2032,Tristin Walley Offensive Rebound.,13,18
7:40,2032,Tristin Walley missed Layup.,13,18
7:40,2437,Daniel Meyer Defensive Rebound.,13,18
7:31,2437,KJ Robinson missed Layup.,13,18
7:31,2032,Tamas Bruce Block.,13,18
7:31,2437,Omaha Offensive Rebound.,13,18
7:31,2437,Official TV Timeout,13,18
7:20,2437,Daniel Norl made Jumper. Assisted by JT Gibson.,13,20
7:03,2032,Tristin Walley made Jumper. Assisted by Deven Simms.,15,20
6:40,2437,Daniel Norl made Three Point Jumper. Assisted by Alex Allbery.,15,23
6:27,2437,Foul on Alex Allbery.,15,23
6:27,2032,Marquis Eaton missed Free Throw.,15,23
6:27,2437,Daniel Meyer Defensive Rebound.,15,23
6:13,2437,Daniel Meyer missed Jumper.,15,23
6:13,2032,Tamas Bruce Defensive Rebound.,15,23
5:59,2032,Tamas Bruce made Layup. Assisted by Marquis Eaton.,17,23
5:41,2437,Ayo Akinwole missed Three Point Jumper.,17,23
5:41,2032,Rashad Lindsey Defensive Rebound.,17,23
5:29,2032,Rashad Lindsey Turnover.,17,23
5:19,2437,Daniel Meyer missed Layup.,17,23
5:19,2437,Daniel Norl Offensive Rebound.,17,23
5:11,2437,Daniel Norl Turnover.,17,23
5:10,2032,Ty Cockfield Steal.,17,23
5:07,2032,Ty Cockfield made Layup.,19,23
4:51,2437,JT Gibson missed Three Point Jumper.,19,23
4:51,2032,Tristin Walley Defensive Rebound.,19,23
4:37,2437,Foul on Daniel Meyer.,19,23
4:37,2032,Tamas Bruce made Free Throw.,20,23
4:37,2032,Tamas Bruce made Free Throw.,21,23
4:12,2437,missed Jumper.,21,23
4:12,2437,JT Gibson Offensive Rebound.,21,23
4:09,2437,JT Gibson missed Two Point Tip Shot.,21,23
4:09,2032,Tristin Walley Defensive Rebound.,21,23
3:47,2032,Ty Cockfield made Jumper.,23,23
3:31,2437,Zach Jackson made Three Point Jumper.,23,26
3:08,2032,Tamas Bruce made Layup.,25,26
2:46,2437,missed Jumper.,25,26
2:46,2437,Zach Jackson Offensive Rebound.,25,26
2:43,2437,Zach Jackson made Layup.,25,28
2:26,2437,Official TV Timeout,25,28
2:25,2437,Foul on Daniel Norl.,25,28
2:25,2437,Official TV Timeout,25,28
2:25,2032,Ty Cockfield made Free Throw.,26,28
2:25,2032,Ty Cockfield missed Free Throw.,26,28
2:25,2437,JT Gibson Defensive Rebound.,26,28
2:11,2032,Foul on Salif Boudie.,26,28
2:11,2437,missed Free Throw.,26,28
2:11,2437,Omaha Deadball Team Rebound.,26,28
2:11,2437,made Free Throw.,26,29
2:00,2032,Ty Cockfield Turnover.,26,29
1:59,2437,Daniel Meyer Steal.,26,29
1:56,2437,JT Gibson made Jumper.,26,31
1:50,2032,Arkansas State  Timeout,26,31
1:32,2032,Grantham Gillard missed Jumper.,26,31
1:32,2437,JT Gibson Block.,26,31
1:30,2437,Ayo Akinwole Defensive Rebound.,26,31
1:07,2437,JT Gibson missed Three Point Jumper.,26,31
1:07,2437,Offensive Rebound.,26,31
1:01,2437,JT Gibson missed Jumper.,26,31
1:01,2437,Omaha Offensive Rebound.,26,31
0:57,2437,Ayo Akinwole made Jumper. Assisted by KJ Robinson.,26,33
0:55,2437,Omaha  Timeout,26,33
0:52,2032,Deven Simms missed Three Point Jumper.,26,33
0:52,2437,Ayo Akinwole Defensive Rebound.,26,33
0:28,2437,Daniel Meyer missed Jumper.,26,33
0:28,2437,JT Gibson Offensive Rebound.,26,33
0:24,2437,JT Gibson made Two Point Tip Shot.,26,35
0:05,2032,Deven Simms missed Three Point Jumper.,26,35
0:05,2437,Omaha Defensive Rebound.,26,35
0:00,2437,End of 1st half,26,35
19:40,2437,missed Layup.,26,35
19:40,2032,Tristin Walley Defensive Rebound.,26,35
19:25,2032,Deven Simms made Layup.,28,35
19:06,2437,Zach Jackson Turnover.,28,35
18:58,2032,Ty Cockfield missed Three Point Jumper.,28,35
18:58,2032,Tristin Walley Offensive Rebound.,28,35
18:47,2032,Ty Cockfield made Layup.,30,35
18:23,2437,Daniel Norl made Three Point Jumper.,30,38
18:00,2032,Rashad Lindsey missed Jumper.,30,38
18:00,2032,Ty Cockfield Offensive Rebound.,30,38
17:46,2032,Tamas Bruce missed Jumper.,30,38
17:46,2437,Defensive Rebound.,30,38
17:35,2437,made Layup. Assisted by Zach Jackson.,30,40
17:22,2032,Ty Cockfield missed Three Point Jumper.,30,40
17:22,2032,Tamas Bruce Offensive Rebound.,30,40
17:18,2032,Tamas Bruce missed Layup.,30,40
17:18,2437,JT Gibson Defensive Rebound.,30,40
17:11,2437,Zach Jackson made Layup. Assisted by JT Gibson.,30,42
17:11,2032,Foul on Tristin Walley.,30,42
17:11,2437,Zach Jackson made Free Throw.,30,43
16:59,2032,Rashad Lindsey made Three Point Jumper.,33,43
16:45,2437,Daniel Norl made Three Point Jumper.,33,46
16:25,2032,Deven Simms Turnover.,33,46
16:24,2437,JT Gibson Steal.,33,46
16:21,2437,Zach Jackson made Layup. Assisted by JT Gibson.,33,48
16:15,2437,Foul on JT Gibson.,33,48
16:07,2437,Foul on KJ Robinson.,33,48
16:04,2032,Tamas Bruce missed Layup.,33,48
16:04,2437,Matt Pile Defensive Rebound.,33,48
15:55,2437,Zach Jackson made Layup. Assisted by Daniel Norl.,33,50
15:43,2032,Tristin Walley made Layup.,35,50
15:32,2032,Foul on Tamas Bruce.,35,50
15:32,2437,Official TV Timeout,35,50
15:32,2437,Zach Jackson made Free Throw.,35,51
15:32,2437,Zach Jackson made Free Throw.,35,52
15:11,2032,Marquis Eaton missed Jumper.,35,52
15:11,2032,Salif Boudie Offensive Rebound.,35,52
15:06,2032,Connor Kern missed Three Point Jumper.,35,52
15:06,2437,KJ Robinson Defensive Rebound.,35,52
15:03,2032,Foul on Ty Cockfield.,35,52
14:35,2032,Foul on Connor Kern.,35,52
14:35,2437,JT Gibson made Free Throw.,35,53
14:35,2437,JT Gibson made Free Throw.,35,54
14:21,2032,Marquis Eaton missed Jumper.,35,54
14:21,2032,Deven Simms Offensive Rebound.,35,54
14:17,2032,Deven Simms made Three Point Jumper.,38,54
13:50,2032,Foul on Deven Simms.,38,54
13:36,2437,Daniel Norl missed Three Point Jumper.,38,54
13:36,2032,Deven Simms Defensive Rebound.,38,54
13:23,2032,Salif Boudie Turnover.,38,54
13:01,2437,Turnover.,38,54
13:00,2032,Marquis Eaton Steal.,38,54
12:51,2032,Ty Cockfield made Layup.,40,54
12:36,2437,missed Jumper.,40,54
12:36,2032,Tamas Bruce Block.,40,54
12:35,2032,Marquis Eaton Defensive Rebound.,40,54
12:31,2032,Ty Cockfield made Layup. Assisted by Marquis Eaton.,42,54
12:31,2437,Official TV Timeout,42,54
12:30,2437,Omaha  Timeout,42,54
12:30,2437,Official TV Timeout,42,54
12:13,2437,Zach Jackson made Jumper.,42,56
12:00,2032,Ty Cockfield made Layup.,44,56
11:42,2437,KJ Robinson Turnover.,44,56
11:42,2437,Official TV Timeout,44,56
11:25,2032,Ty Cockfield made Layup.,46,56
11:03,2437,KJ Robinson missed Jumper.,46,56
11:03,2032,Ty Cockfield Defensive Rebound.,46,56
10:55,2032,Deven Simms Turnover.,46,56
10:54,2437,Ayo Akinwole Steal.,46,56
10:53,2032,Foul on Marquis Eaton.,46,56
10:41,2437,Daniel Norl missed Jumper.,46,56
10:41,2437,Zach Jackson Offensive Rebound.,46,56
10:38,2437,Zach Jackson missed Two Point Tip Shot.,46,56
10:38,2437,Daniel Norl Offensive Rebound.,46,56
10:34,2437,Daniel Norl made Two Point Tip Shot.,46,58
10:24,2032,Marquis Eaton made Three Point Jumper. Assisted by Ty Cockfield.,49,58
10:00,2437,JT Gibson missed Three Point Jumper.,49,58
10:00,2032,Connor Kern Defensive Rebound.,49,58
9:47,2437,Foul on  .,49,58
9:47,2032,Deven Simms made Free Throw.,50,58
9:47,2032,Deven Simms made Free Throw.,51,58
9:20,2437,Matt Pile missed Layup.,51,58
9:20,2032,Deven Simms Defensive Rebound.,51,58
9:14,2032,Grantham Gillard made Three Point Jumper. Assisted by Deven Simms.,54,58
9:13,2437,Foul on Matt Pile.,54,58
8:58,2032,Deven Simms missed Three Point Jumper.,54,58
8:58,2032,Tamas Bruce Offensive Rebound.,54,58
8:54,2032,Tamas Bruce made Layup.,56,58
8:30,2437,Daniel Meyer Turnover.,56,58
8:29,2032,Tamas Bruce Steal.,56,58
8:26,2032,Deven Simms made Layup.,58,58
7:59,2437,Daniel Meyer made Layup.,58,60
7:46,2032,Foul on Deven Simms.,58,60
7:46,2032,Deven Simms Turnover.,58,60
7:46,2437,Official TV Timeout,58,60
7:20,2437,JT Gibson made Three Point Jumper.,58,63
7:08,2032,Marquis Eaton made Layup.,60,63
6:43,2437,missed Jumper.,60,63
6:43,2032,Grantham Gillard Defensive Rebound.,60,63
6:35,2032,Grantham Gillard missed Three Point Jumper.,60,63
6:35,2437,KJ Robinson Defensive Rebound.,60,63
6:29,2032,Foul on Deven Simms.,60,63
6:29,2437,KJ Robinson made Free Throw.,60,64
6:29,2437,KJ Robinson made Free Throw.,60,65
6:15,2032,Rashad Lindsey made Jumper.,62,65
5:52,2437,Zach Jackson Turnover.,62,65
5:51,2032,Ty Cockfield Steal.,62,65
5:37,2032,Arkansas State  Timeout,62,65
5:27,2032,Salif Boudie made Jumper. Assisted by Ty Cockfield.,64,65
5:04,2032,Foul on Salif Boudie.,64,65
5:04,2437,Zach Jackson made Free Throw.,64,66
5:04,2437,Zach Jackson made Free Throw.,64,67
4:53,2437,Foul on Zach Jackson.,64,67
4:40,2032,Ty Cockfield missed Three Point Jumper.,64,67
4:40,2437,Daniel Norl Defensive Rebound.,64,67
4:12,2437,KJ Robinson missed Jumper.,64,67
4:12,2032,Salif Boudie Defensive Rebound.,64,67
4:09,2437,Foul on Zach Jackson.,64,67
4:00,2032,Ty Cockfield made Jumper.,66,67
3:33,2437,Daniel Norl missed Jumper.,66,67
3:33,2437,Matt Pile Offensive Rebound.,66,67
3:30,2437,Matt Pile made Two Point Tip Shot.,66,69
3:29,2437,Official TV Timeout,66,69
3:18,2032,Ty Cockfield made Layup.,68,69
2:47,2437,Zach Jackson missed Layup.,68,69
2:43,2032,Arkansas State Deadball Team Rebound.,68,69
2:29,2032,Salif Boudie made Layup. Assisted by Deven Simms.,70,69
2:01,2437,KJ Robinson Turnover.,70,69
2:00,2032,Rashad Lindsey Steal.,70,69
1:52,2032,Deven Simms Turnover.,70,69
1:51,2437,KJ Robinson Steal.,70,69
1:51,2032,Foul on Salif Boudie.,70,69
1:51,2437,KJ Robinson made Free Throw.,70,70
1:51,2437,KJ Robinson made Free Throw.,70,71
1:43,2437,Foul on JT Gibson.,70,71
1:43,2032,Deven Simms missed Free Throw.,70,71
1:43,2437,Zach Jackson Defensive Rebound.,70,71
1:21,2437,Zach Jackson made Layup.,70,73
1:19,2437,Omaha  Timeout,70,73
1:04,2032,Ty Cockfield made Jumper.,72,73
0:55,2437,KJ Robinson Turnover.,72,73
0:54,2032,Grantham Gillard Steal.,72,73
0:53,2032,Grantham Gillard made Layup.,74,73
0:33,2437,Zach Jackson missed Three Point Jumper.,74,73
0:33,2437,Matt Pile Offensive Rebound.,74,73
0:27,2437,Matt Pile made Layup.,74,75
0:25,2437,Omaha  Timeout,74,75
0:16,2032,Foul on Deven Simms.,74,75
0:16,2032,Deven Simms Turnover.,74,75
0:08,2032,Foul on Ty Cockfield.,74,75
0:08,2437,Daniel Norl made Free Throw.,74,76
0:08,2437,Daniel Norl made Free Throw.,74,77
0:08,2032,Arkansas State  Timeout,74,77
0:03,2032,Ty Cockfield missed Three Point Jumper.,74,77
0:03,2437,Daniel Norl Defensive Rebound.,74,77
0:00,2437,End of Game,74,77
