St. Martin's,Error,Seattle,2547
13:58,2547,Matej Kavas Defensive Rebound.,10,15
13:40,2547,Matej Kavas made Jumper.,10,17
13:19,-1,Jared Mathews made Jumper.,12,17
13:03,2547,Jordan Hill Turnover.,12,17
12:50,-1,E.J. Boyce Turnover.,12,17
12:49,2547,Jordan Hill Steal.,12,17
12:34,2547,Jordan Hill made Three Point Jumper. Assisted by Matej Kavas.,12,20
12:09,2547,Foul on Scott Ulaneo.,12,20
12:03,-1,Jared Mathews Turnover.,12,20
11:51,-1,Foul on Jared Mathews.,12,20
11:51,2547,Official TV Timeout,12,20
11:49,2547,Josh Hearlihy Turnover.,12,20
11:30,-1,BJ Standley made Three Point Jumper.,15,20
11:16,-1,Foul on Caden Smith.,15,20
11:16,2547,Josh Hearlihy made Free Throw.,15,21
11:16,2547,Josh Hearlihy made Free Throw.,15,22
11:04,-1,Jared Mathews made Layup.,17,22
10:52,-1,Foul on Tavian Henderson.,17,22
10:52,2547,Matej Kavas missed Free Throw.,17,22
10:52,-1,Jared Mathews Defensive Rebound.,17,22
10:38,-1,Tavian Henderson missed Layup.,17,22
10:38,2547,Aaron Menzies Block.,17,22
10:37,-1,BJ Standley Offensive Rebound.,17,22
10:26,-1,Caden Smith made Three Point Jumper.,20,22
10:05,2547,Aaron Menzies made Dunk. Assisted by Richaud Gittens.,20,24
9:48,-1,Jared Mathews missed Three Point Jumper.,20,24
9:48,2547,Morgan Means Defensive Rebound.,20,24
9:27,2547,Josh Hearlihy missed Three Point Jumper.,20,24
9:27,-1,Caden Smith Defensive Rebound.,20,24
9:18,2547,Foul on Morgan Means.,20,24
9:18,-1,Jared Mathews made Free Throw.,21,24
9:18,-1,Jared Mathews made Free Throw.,22,24
8:58,2547,Josh Hearlihy Turnover.,22,24
8:57,-1,BJ Standley Steal.,22,24
8:52,-1,Luke Chavez made Three Point Jumper.,25,24
8:35,2547,Matej Kavas made Three Point Jumper. Assisted by Morgan Means.,25,27
8:13,-1,BJ Standley made Jumper.,27,27
7:50,2547,Foul on Scott Ulaneo.,27,27
7:50,2547,Scott Ulaneo Turnover.,27,27
7:50,2547,Official TV Timeout,27,27
7:34,-1,Caden Smith Turnover.,27,27
7:32,2547,Scott Ulaneo Steal.,27,27
7:20,-1,Foul on Caden Smith.,27,27
7:20,2547,Josh Hearlihy made Free Throw.,27,28
7:20,2547,Josh Hearlihy made Free Throw.,27,29
7:05,-1,Foul on Matt Dahlen.,27,29
7:05,-1,Matt Dahlen Turnover.,27,29
6:52,2547,Matej Kavas missed Jumper.,27,29
6:52,-1,Jared Mathews Defensive Rebound.,27,29
6:31,-1,Luke Chavez made Three Point Jumper. Assisted by Rhett Baerlocher.,30,29
6:08,2547,Scott Ulaneo Turnover.,30,29
5:56,-1,Jared Mathews missed Jumper.,30,29
5:56,2547,Matej Kavas Defensive Rebound.,30,29
5:41,2547,Matej Kavas missed Three Point Jumper.,30,29
5:41,-1,BJ Standley Defensive Rebound.,30,29
5:23,-1,BJ Standley missed Jumper.,30,29
5:23,2547,Richaud Gittens Defensive Rebound.,30,29
4:53,2547,Jordan Hill made Jumper.,30,31
4:41,-1,Robert Little made Three Point Jumper. Assisted by Luke Chavez.,33,31
4:33,-1,Foul on Luke Chavez.,33,31
4:33,2547,Richaud Gittens made Free Throw.,33,32
4:33,2547,Richaud Gittens made Free Throw.,33,33
4:33,2547,Seattle  Timeout,33,33
4:11,-1,Robert Little made Three Point Jumper. Assisted by E.J. Boyce.,36,33
4:01,2547,Josh Hearlihy missed Three Point Jumper.,36,33
4:01,-1,Caden Smith Defensive Rebound.,36,33
3:54,-1,Robert Little made Three Point Jumper. Assisted by Caden Smith.,39,33
3:52,2547,Official TV Timeout,39,33
3:49,2547,Official TV Timeout,39,33
3:38,2547,Richaud Gittens missed Three Point Jumper.,39,33
3:38,-1,Robert Little Defensive Rebound.,39,33
3:20,-1,Robert Little Turnover.,39,33
3:19,2547,Richaud Gittens Steal.,39,33
3:17,2547,Richaud Gittens made Dunk.,39,35
2:59,-1,Jared Mathews made Layup.,41,35
2:59,2547,Foul on Aaron Menzies.,41,35
2:59,-1,Jared Mathews made Free Throw.,42,35
2:50,2547,Jordan Hill made Jumper.,42,37
2:14,-1,St. Martins  Turnover.,42,37
2:03,-1,Foul on Robert Little.,42,37
2:03,2547,Matej Kavas made Free Throw.,42,38
2:03,2547,Matej Kavas made Free Throw.,42,39
1:49,-1,Jared Mathews missed Jumper.,42,39
1:49,-1,Jared Mathews Offensive Rebound.,42,39
1:46,-1,BJ Standley made Three Point Jumper. Assisted by Robert Little.,45,39
1:34,2547,Matej Kavas made Jumper.,45,41
1:05,-1,BJ Standley missed Jumper.,45,41
1:05,2547,Jordan Hill Defensive Rebound.,45,41
0:57,2547,Matej Kavas Turnover.,45,41
0:57,-1,St. Martins  Timeout,45,41
0:47,-1,BJ Standley Turnover.,45,41
0:45,2547,Richaud Gittens Steal.,45,41
0:21,2547,Jordan Hill made Three Point Jumper. Assisted by Morgan Means.,45,44
0:01,-1,E.J. Boyce made Three Point Jumper. Assisted by Jared Mathews.,48,44
0:00,2547,End of 1st half,48,44
19:49,2547,Josh Hearlihy missed Jumper.,48,44
19:49,2547,Josh Hearlihy Offensive Rebound.,48,44
19:45,2547,Richaud Gittens made Jumper.,48,46
19:38,-1,Matt Dahlen Turnover.,48,46
19:32,2547,Josh Hearlihy missed Jumper.,48,46
19:32,-1,Jordan Kitchen Defensive Rebound.,48,46
19:08,2547,Foul on Aaron Menzies.,48,46
19:08,-1,Matt Dahlen made Free Throw.,49,46
19:08,-1,Matt Dahlen missed Free Throw.,49,46
19:08,2547,Jordan Hill Defensive Rebound.,49,46
18:58,-1,Foul on Tavian Henderson.,49,46
18:55,2547,Jordan Hill made Jumper.,49,48
18:32,-1,Luke Chavez made Jumper.,51,48
18:14,2547,Foul on Jordan Hill.,51,48
18:14,2547,Jordan Hill Turnover.,51,48
18:04,-1,Jordan Kitchen made Three Point Jumper. Assisted by Luke Chavez.,54,48
17:37,-1,Foul on Matt Dahlen.,54,48
17:35,2547,Richaud Gittens made Layup. Assisted by Jordan Hill.,54,50
17:17,-1,Jordan Kitchen missed Layup.,54,50
17:17,2547,Aaron Menzies Defensive Rebound.,54,50
17:00,2547,Matej Kavas made Jumper.,54,52
16:44,2547,Foul on Morgan Means.,54,52
16:31,-1,E.J. Boyce missed Three Point Jumper.,54,52
16:31,-1,Rhett Baerlocher Offensive Rebound.,54,52
16:27,2547,Foul on Jordan Hill.,54,52
16:08,-1,Jordan Kitchen missed Jumper.,54,52
16:08,2547,Jordan Hill Defensive Rebound.,54,52
15:49,2547,Scott Ulaneo missed Jumper.,54,52
15:49,2547,Morgan Means Offensive Rebound.,54,52
15:35,-1,Foul on Rhett Baerlocher.,54,52
15:35,2547,Official TV Timeout,54,52
15:35,2547,Matej Kavas made Free Throw.,54,53
15:35,2547,Matej Kavas missed Free Throw.,54,53
15:35,-1,Tavian Henderson Defensive Rebound.,54,53
15:22,-1,Tavian Henderson Turnover.,54,53
15:11,2547,Matej Kavas missed Three Point Jumper.,54,53
15:11,-1,Tavian Henderson Defensive Rebound.,54,53
14:59,2547,Foul on Richaud Gittens.,54,53
14:48,-1,Rhett Baerlocher made Jumper.,56,53
14:32,2547,Josh Hearlihy made Layup. Assisted by Jordan Hill.,56,55
14:20,-1,BJ Standley made Jumper.,58,55
14:01,2547,Morgan Means missed Three Point Jumper.,58,55
14:01,2547,Richaud Gittens Offensive Rebound.,58,55
13:59,2547,Richaud Gittens made Layup.,58,57
13:59,-1,Foul on E.J. Boyce.,58,57
13:59,2547,Richaud Gittens missed Free Throw.,58,57
13:59,-1,Matt Dahlen Defensive Rebound.,58,57
13:30,-1,Matt Dahlen missed Three Point Jumper.,58,57
13:30,2547,Seattle Deadball Team Rebound.,58,57
13:10,2547,Jordan Hill Turnover.,58,57
13:09,-1,BJ Standley Steal.,58,57
13:03,-1,Rhett Baerlocher missed Three Point Jumper.,58,57
13:03,2547,Matej Kavas Defensive Rebound.,58,57
12:45,2547,Jordan Hill made Layup.,58,59
12:45,-1,Foul on Rhett Baerlocher.,58,59
12:45,2547,Jordan Hill made Free Throw.,58,60
12:18,-1,Luke Chavez Turnover.,58,60
12:05,2547,Richaud Gittens missed Three Point Jumper.,58,60
12:05,2547,Matej Kavas Offensive Rebound.,58,60
12:01,-1,Foul on Matt Dahlen.,58,60
11:57,2547,Aaron Nettles made Three Point Jumper. Assisted by Jordan Hill.,58,63
11:34,-1,Luke Chavez made Three Point Jumper. Assisted by Jared Mathews.,61,63
11:11,2547,Official TV Timeout,61,63
11:08,2547,Jordan Hill made Jumper.,61,65
10:46,-1,Tavian Henderson missed Jumper.,61,65
10:46,2547,Aaron Menzies Block.,61,65
10:43,2547,Josh Hearlihy Defensive Rebound.,61,65
10:31,2547,Jordan Hill missed Three Point Jumper.,61,65
10:31,-1,St. Martins Defensive Rebound.,61,65
10:30,2547,Foul on Richaud Gittens.,61,65
10:30,2547,Official TV Timeout,61,65
10:19,-1,Jared Mathews missed Jumper.,61,65
10:19,2547,Scott Ulaneo Defensive Rebound.,61,65
9:58,2547,Scott Ulaneo missed Jumper.,61,65
9:58,-1,Jared Mathews Block.,61,65
9:56,2547,Richaud Gittens Offensive Rebound.,61,65
9:53,2547,Aaron Nettles made Three Point Jumper. Assisted by Richaud Gittens.,61,68
9:28,-1,BJ Standley missed Three Point Jumper.,61,68
9:28,-1,Tavian Henderson Offensive Rebound.,61,68
9:22,-1,Luke Chavez missed Three Point Jumper.,61,68
9:22,2547,Josh Hearlihy Defensive Rebound.,61,68
8:55,2547,Jordan Hill missed Layup.,61,68
8:55,2547,Scott Ulaneo Offensive Rebound.,61,68
8:52,2547,Scott Ulaneo made Layup.,61,70
8:46,-1,St. Martins  Timeout,61,70
8:29,2547,Foul on Richaud Gittens.,61,70
8:29,2547,Technical Foul on Richaud Gittens.,61,70
8:29,-1,Luke Chavez made Free Throw.,62,70
8:29,-1,Luke Chavez made Free Throw.,63,70
8:29,-1,Luke Chavez made Free Throw.,64,70
8:29,-1,Luke Chavez made Free Throw.,65,70
8:19,-1,Foul on Luke Chavez.,65,70
8:19,2547,Jordan Hill made Free Throw.,65,71
8:19,2547,Jordan Hill made Free Throw.,65,72
8:07,-1,Jordan Kitchen missed Jumper.,65,72
8:07,2547,Josh Hearlihy Block.,65,72
8:05,2547,Jordan Hill Defensive Rebound.,65,72
7:59,2547,Aaron Nettles missed Three Point Jumper.,65,72
7:59,-1,Jared Mathews Block.,65,72
7:58,-1,Jared Mathews Defensive Rebound.,65,72
7:51,-1,Rhett Baerlocher made Three Point Jumper. Assisted by Luke Chavez.,68,72
7:30,2547,Josh Hearlihy made Layup.,68,74
7:09,-1,Jared Mathews missed Jumper.,68,74
7:09,2547,Scott Ulaneo Defensive Rebound.,68,74
6:59,2547,Jake Spurgeon missed Three Point Jumper.,68,74
6:59,-1,St. Martins Defensive Rebound.,68,74
6:56,2547,Official TV Timeout,68,74
6:42,-1,Luke Chavez missed Jumper.,68,74
6:42,2547,Jordan Hill Defensive Rebound.,68,74
6:28,2547,Jordan Hill made Dunk.,68,76
6:09,-1,Tavian Henderson made Layup. Assisted by Luke Chavez.,70,76
5:37,-1,Foul on Rhett Baerlocher.,70,76
5:37,2547,Josh Hearlihy made Free Throw.,70,77
5:37,2547,Josh Hearlihy made Free Throw.,70,78
5:25,-1,Jared Mathews Turnover.,70,78
5:24,2547,Richaud Gittens Steal.,70,78
5:03,2547,Matej Kavas missed Three Point Jumper.,70,78
5:03,-1,Robert Little Defensive Rebound.,70,78
4:55,-1,Rhett Baerlocher Turnover.,70,78
4:55,-1,St. Martins  Timeout,70,78
4:45,2547,Richaud Gittens Turnover.,70,78
4:43,-1,Luke Chavez Steal.,70,78
4:23,-1,Jared Mathews missed Layup.,70,78
4:23,2547,Matej Kavas Defensive Rebound.,70,78
4:07,2547,Matej Kavas made Three Point Jumper. Assisted by Jordan Hill.,70,81
3:50,2547,Foul on Matej Kavas.,70,81
3:50,2547,Official TV Timeout,70,81
3:50,-1,Rhett Baerlocher missed Free Throw.,70,81
3:50,2547,Morgan Means Defensive Rebound.,70,81
3:22,2547,Jordan Hill missed Three Point Jumper.,70,81
3:22,2547,Richaud Gittens Offensive Rebound.,70,81
3:17,2547,Richaud Gittens missed Layup.,70,81
3:17,2547,Morgan Means Offensive Rebound.,70,81
3:17,-1,Foul on Robert Little.,70,81
3:17,2547,Morgan Means made Free Throw.,70,82
3:17,2547,Morgan Means missed Free Throw.,70,82
3:17,-1,Jared Mathews Defensive Rebound.,70,82
2:57,-1,E.J. Boyce missed Three Point Jumper.,70,82
2:57,2547,Jordan Hill Defensive Rebound.,70,82
2:27,2547,Josh Hearlihy Turnover.,70,82
2:25,-1,Jared Mathews Steal.,70,82
2:23,-1,Robert Little missed Three Point Jumper.,70,82
2:23,2547,Richaud Gittens Defensive Rebound.,70,82
2:03,2547,Jordan Hill Turnover.,70,82
2:02,-1,Luke Chavez Steal.,70,82
1:46,-1,BJ Standley missed Jumper.,70,82
1:46,-1,St. Martins Offensive Rebound.,70,82
1:32,2547,Foul on Matej Kavas.,70,82
1:32,-1,Jared Mathews made Free Throw.,71,82
1:32,-1,Jared Mathews made Free Throw.,72,82
1:10,-1,Foul on Jared Mathews.,72,82
1:10,2547,Josh Hearlihy made Free Throw.,72,83
1:10,2547,Josh Hearlihy made Free Throw.,72,84
1:03,-1,Luke Chavez missed Three Point Jumper.,72,84
1:03,2547,Matej Kavas Defensive Rebound.,72,84
0:47,2547,Richaud Gittens made Dunk. Assisted by Josh Hearlihy.,72,86
0:29,-1,Luke Chavez missed Layup.,72,86
0:29,-1,Tavian Henderson Offensive Rebound.,72,86
0:28,2547,Foul on Jordan Hill.,72,86
0:28,-1,Tavian Henderson missed Free Throw.,72,86
0:28,-1,St. Martins Deadball Team Rebound.,72,86
0:28,-1,Tavian Henderson missed Free Throw.,72,86
0:28,2547,Josh Hearlihy Defensive Rebound.,72,86
0:26,-1,Foul on Caden Smith.,72,86
0:26,2547,Josh Hearlihy made Free Throw.,72,87
0:26,2547,Josh Hearlihy made Free Throw.,72,88
0:20,2547,Josh Hearlihy Turnover.,72,88
0:00,2547,End of Game,72,88
