Stephen F. Austin,2344,Longwood,2617
10:55,2344,B.K. Ashe made Free Throw.,15,11
10:44,2617,Aaron Augustin made Three Point Jumper.,18,11
10:26,2344,Isaiah Walton missed Three Point Jumper.,18,11
10:26,2344,Chris Shields Offensive Rebound.,18,11
10:22,2344,Chris Shields missed Three Point Jumper.,18,11
10:22,2617,Kevon Harris Defensive Rebound.,18,11
10:11,2344,Foul on Damarion Geter.,18,11
10:06,2617,Samuli Nieminen missed Three Point Jumper.,18,11
10:06,2344,Isaiah Walton Defensive Rebound.,18,11
9:52,2344,Charles Glover made Layup.,18,13
9:52,2617,Foul on Samuli Nieminen.,18,13
9:52,2344,Charles Glover made Free Throw.,18,14
9:32,2617,Kevon Harris missed Three Point Jumper.,18,14
9:32,2617,TJ Holyfield Offensive Rebound.,18,14
9:28,2617,Foul on TJ Holyfield.,18,14
9:28,2617,TJ Holyfield Turnover.,18,14
9:12,2344,Chris Shields made Three Point Jumper. Assisted by Charles Glover.,18,17
9:03,2617,Foul on Leon Gilmore III.,18,17
9:03,2617,Leon Gilmore III Turnover.,18,17
9:03,2617,Stephen F. Austin  Timeout,18,17
8:39,2344,Charles Glover missed Three Point Jumper.,18,17
8:39,2617,Aaron Augustin Defensive Rebound.,18,17
8:29,2617,TJ Holyfield missed Three Point Jumper.,18,17
8:29,2617,Kevon Harris Offensive Rebound.,18,17
8:26,2617,Kevon Harris made Layup.,20,17
8:26,2344,Foul on Chris Shields.,20,17
8:26,2617,Kevon Harris made Free Throw.,21,17
8:08,2617,Foul on Ivan Canete.,21,17
8:08,2344,Isaiah Walton made Free Throw.,21,18
8:08,2344,Isaiah Walton made Free Throw.,21,19
8:03,2617,Foul on TJ Holyfield.,21,19
7:55,2617,TJ Holyfield Steal.,21,19
7:30,2617,Leon Gilmore III missed Layup.,21,19
7:30,2344,Boaz Williams Defensive Rebound.,21,19
7:25,2344,Isaiah Walton missed Layup.,21,19
7:25,2617,Aaron Augustin Defensive Rebound.,21,19
6:52,2617,John Comeaux missed Three Point Jumper.,21,19
6:52,2344,B.K. Ashe Block.,21,19
6:49,2617,Jovan Grujic Offensive Rebound.,21,19
6:47,2617,Jovan Grujic made Layup.,23,19
6:30,2344,Isaiah Walton made Dunk. Assisted by Jahleem Montague.,23,21
6:01,2617,Aaron Augustin missed Jumper.,23,21
6:01,2617,John Comeaux Offensive Rebound.,23,21
5:58,2344,Foul on B.K. Ashe.,23,21
5:58,2617,John Comeaux missed Free Throw.,23,21
5:58,2617,Stephen F. Austin Deadball Team Rebound.,23,21
5:58,2617,John Comeaux made Free Throw.,24,21
5:38,2344,Isaiah Walton Turnover.,24,21
5:26,2617,John Comeaux Turnover.,24,21
5:26,2344,JaShaun Smith Steal.,24,21
5:23,2344,B.K. Ashe made Layup.,24,23
4:53,2344,Foul on Chris Shields.,24,23
4:53,2617,Leon Gilmore III made Free Throw.,25,23
4:53,2617,Leon Gilmore III made Free Throw.,26,23
4:41,2344,Boaz Williams missed Three Point Jumper.,26,23
4:41,2617,Kevon Harris Defensive Rebound.,26,23
4:20,2344,Foul on Boaz Williams.,26,23
4:20,2617,Leon Gilmore III missed Free Throw.,26,23
4:20,2617,Stephen F. Austin Deadball Team Rebound.,26,23
4:20,2617,Leon Gilmore III made Free Throw.,27,23
4:03,2344,Boaz Williams made Jumper. Assisted by Jahleem Montague.,27,25
3:45,2617,Kevon Harris made Jumper.,29,25
3:18,2617,Foul on Leon Gilmore III.,29,25
3:18,2344,Official TV Timeout,29,25
3:18,2344,Isaiah Walton made Free Throw.,29,26
3:18,2344,Isaiah Walton made Free Throw.,29,27
3:03,2617,Leon Gilmore III made Layup.,31,27
2:46,2344,Boaz Williams Turnover.,31,27
2:45,2617,Kevon Harris Steal.,31,27
2:42,2344,Foul on Boaz Williams.,31,27
2:42,2617,Kevon Harris made Free Throw.,32,27
2:42,2617,Kevon Harris missed Free Throw.,32,27
2:42,2344,Isaiah Walton Defensive Rebound.,32,27
2:32,2344,Isaiah Walton Turnover.,32,27
2:31,2617,Jovan Grujic Steal.,32,27
2:26,2617,Leon Gilmore III made Jumper.,34,27
2:15,2617,Foul on Kevon Harris.,34,27
2:15,2344,Charles Glover made Free Throw.,34,28
2:15,2344,Charles Glover missed Free Throw.,34,28
2:15,2617,Aaron Augustin Defensive Rebound.,34,28
2:08,2617,Kevon Harris missed Layup.,34,28
2:08,2617,Kevon Harris Offensive Rebound.,34,28
2:04,2344,Foul on Jahleem Montague.,34,28
2:04,2617,Kevon Harris made Free Throw.,35,28
2:04,2617,Kevon Harris made Free Throw.,36,28
1:45,2617,Foul on John Comeaux.,36,28
1:45,2344,Jahleem Montague made Free Throw.,36,29
1:45,2344,Jahleem Montague missed Free Throw.,36,29
1:45,2617,Kevon Harris Defensive Rebound.,36,29
1:25,2344,Foul on Charles Glover.,36,29
1:25,2617,Kevon Harris made Free Throw.,37,29
1:25,2617,Kevon Harris made Free Throw.,38,29
1:15,2344,Jahleem Montague made Dunk. Assisted by Charles Glover.,38,31
1:14,2344,Foul on Jahleem Montague.,38,31
1:14,2344,Technical Foul on Jahleem Montague.,38,31
1:14,2617,Kevon Harris missed Free Throw.,38,31
1:14,2617,Stephen F. Austin Deadball Team Rebound.,38,31
1:14,2617,Kevon Harris made Free Throw.,39,31
1:00,2617,Kevon Harris made Layup.,41,31
1:00,2344,Foul on Charles Glover.,41,31
1:00,2617,Kevon Harris missed Free Throw.,41,31
1:00,2344,B.K. Ashe Defensive Rebound.,41,31
0:57,2344,B.K. Ashe missed Layup.,41,31
0:57,2617,Aaron Augustin Block.,41,31
0:57,2344,Longwood Offensive Rebound.,41,31
0:55,2344,Kamil Chapman missed Three Point Jumper.,41,31
0:55,2617,Aaron Augustin Defensive Rebound.,41,31
0:28,2617,Kevon Harris missed Layup.,41,31
0:28,2344,JaShaun Smith Block.,41,31
0:26,2344,Kamil Chapman Defensive Rebound.,41,31
0:20,2344,Kamil Chapman missed Three Point Jumper.,41,31
0:20,2617,Kevon Harris Defensive Rebound.,41,31
0:00,2344,End of 1st half,41,31
19:53,2344,Charles Glover missed Jumper.,41,31
19:53,2344,Damarion Geter Offensive Rebound.,41,31
19:44,2344,B.K. Ashe missed Three Point Jumper.,41,31
19:44,2617,Kevon Harris Defensive Rebound.,41,31
19:41,2344,Isaiah Walton Steal.,41,31
19:39,2617,Kevon Harris Turnover.,41,31
19:38,2344,Longwood  Timeout,41,31
19:24,2344,Isaiah Walton made Jumper.,41,33
19:06,2617,TJ Holyfield made Dunk. Assisted by Aaron Augustin.,43,33
18:46,2344,Isaiah Walton Turnover.,43,33
18:20,2617,Aaron Augustin missed Three Point Jumper.,43,33
18:20,2344,Damarion Geter Defensive Rebound.,43,33
18:06,2344,Charles Glover made Layup. Assisted by Isaiah Walton.,43,35
17:57,2617,TJ Holyfield made Three Point Jumper.,46,35
17:38,2344,Isaiah Walton Turnover.,46,35
17:37,2617,TJ Holyfield Steal.,46,35
17:34,2617,Kevon Harris made Layup.,48,35
17:19,2617,Foul on Ivan Canete.,48,35
17:07,2344,Isaiah Walton made Layup.,48,37
16:56,2617,Kevon Harris Turnover.,48,37
16:55,2344,Isaiah Walton Steal.,48,37
16:51,2344,Isaiah Walton Turnover.,48,37
16:51,2617,Shannon Bogues Steal.,48,37
16:43,2617,Samuli Nieminen missed Layup.,48,37
16:43,2344,Chris Shields Defensive Rebound.,48,37
16:25,2344,Charles Glover missed Three Point Jumper.,48,37
16:25,2617,TJ Holyfield Defensive Rebound.,48,37
16:02,2617,Kevon Harris missed Three Point Jumper.,48,37
16:02,2617,Ivan Canete Offensive Rebound.,48,37
15:50,2617,Aaron Augustin missed Three Point Jumper.,48,37
15:50,2617,Kevon Harris Offensive Rebound.,48,37
15:47,2617,Kevon Harris missed Jumper.,48,37
15:47,2617,Samuli Nieminen Offensive Rebound.,48,37
15:27,2617,Shannon Bogues made Three Point Jumper. Assisted by Aaron Augustin.,51,37
15:03,2344,Charles Glover missed Layup.,51,37
15:03,2617,Kevon Harris Defensive Rebound.,51,37
14:53,2617,Aaron Augustin Turnover.,51,37
14:52,2344,Charles Glover Steal.,51,37
14:51,2617,Foul on Leon Gilmore III.,51,37
14:42,2617,Foul on TJ Holyfield.,51,37
14:32,2344,Isaiah Walton missed Jumper.,51,37
14:32,2617,Kevon Harris Defensive Rebound.,51,37
14:24,2617,Shannon Bogues made Layup.,53,37
14:11,2344,JaShaun Smith missed Three Point Jumper.,53,37
14:11,2617,Stephen F. Austin Defensive Rebound.,53,37
13:49,2617,Kevon Harris missed Jumper.,53,37
13:49,2617,Leon Gilmore III Offensive Rebound.,53,37
13:46,2617,Leon Gilmore III missed Layup.,53,37
13:46,2617,TJ Holyfield Offensive Rebound.,53,37
13:42,2617,Kevon Harris made Layup.,55,37
13:22,2344,Isaiah Walton missed Jumper.,55,37
13:22,2344,Jahleem Montague Offensive Rebound.,55,37
13:20,2344,Jahleem Montague made Layup.,55,39
13:07,2617,Leon Gilmore III missed Jumper.,55,39
13:07,2617,John Comeaux Offensive Rebound.,55,39
13:01,2344,Foul on Jahleem Montague.,55,39
13:01,2617,Shannon Bogues made Free Throw.,56,39
13:01,2617,Shannon Bogues made Free Throw.,57,39
12:45,2344,Charles Glover missed Three Point Jumper.,57,39
12:45,2617,Leon Gilmore III Defensive Rebound.,57,39
12:37,2617,Shannon Bogues missed Three Point Jumper.,57,39
12:37,2344,Jahleem Montague Defensive Rebound.,57,39
12:32,2344,Jahleem Montague Turnover.,57,39
12:31,2617,John Comeaux Steal.,57,39
12:30,2617,Foul on John Comeaux.,57,39
12:30,2617,John Comeaux Turnover.,57,39
12:01,2344,Damarion Geter made Dunk. Assisted by Jahleem Montague.,57,41
11:35,2617,Shannon Bogues made Jumper. Assisted by Aaron Augustin.,59,41
11:14,2344,JaShaun Smith made Three Point Jumper. Assisted by Charles Glover.,59,44
11:10,2344,Longwood  Timeout,59,44
10:52,2617,TJ Holyfield missed Three Point Jumper.,59,44
10:52,2617,Aaron Augustin Offensive Rebound.,59,44
10:42,2617,TJ Holyfield Turnover.,59,44
10:40,2344,Kamil Chapman Steal.,59,44
10:32,2344,Charles Glover missed Layup.,59,44
10:32,2344,Jahleem Montague Offensive Rebound.,59,44
10:28,2344,Jahleem Montague missed Jumper.,59,44
10:28,2617,Shannon Bogues Defensive Rebound.,59,44
10:24,2344,Foul on Kamil Chapman.,59,44
10:20,2344,Foul on Kamil Chapman.,59,44
10:12,2617,TJ Holyfield Turnover.,59,44
9:56,2344,JaShaun Smith missed Layup.,59,44
9:56,2617,TJ Holyfield Block.,59,44
9:56,2344,Longwood Offensive Rebound.,59,44
9:53,2344,JaShaun Smith Turnover.,59,44
9:39,2617,TJ Holyfield missed Jumper.,59,44
9:39,2617,Kevon Harris Offensive Rebound.,59,44
9:36,2617,Kevon Harris made Layup.,61,44
9:19,2344,Kamil Chapman Turnover.,61,44
9:18,2617,Samuli Nieminen Steal.,61,44
9:13,2617,TJ Holyfield made Dunk. Assisted by Aaron Augustin.,63,44
8:50,2344,Charles Glover made Layup. Assisted by Damarion Geter.,63,46
8:25,2344,Foul on JaShaun Smith.,63,46
8:16,2617,Aaron Augustin Turnover.,63,46
8:00,2344,Boaz Williams missed Layup.,63,46
8:00,2617,TJ Holyfield Block.,63,46
7:59,2617,TJ Holyfield Defensive Rebound.,63,46
7:54,2617,TJ Holyfield made Three Point Jumper. Assisted by Aaron Augustin.,66,46
7:40,2344,Official TV Timeout,66,46
7:38,2344,Isaiah Walton made Three Point Jumper. Assisted by Boaz Williams.,66,49
7:14,2617,Samuli Nieminen missed Layup.,66,49
7:13,2617,TJ Holyfield Offensive Rebound.,66,49
7:12,2617,TJ Holyfield missed Layup.,66,49
7:11,2344,Charles Glover Defensive Rebound.,66,49
7:07,2344,Charles Glover Turnover.,66,49
6:55,2617,TJ Holyfield Turnover.,66,49
6:55,2344,Isaiah Walton Steal.,66,49
6:47,2344,Isaiah Walton made Layup.,66,51
6:39,2617,Stephen F. Austin  Timeout,66,51
6:19,2344,Charles Glover Turnover.,66,51
6:16,2617,Foul on Kevon Harris.,66,51
6:16,2344,JaShaun Smith missed Free Throw.,66,51
6:16,2344,Longwood Deadball Team Rebound.,66,51
6:16,2344,JaShaun Smith made Free Throw.,66,52
6:15,2344,Longwood  Timeout,66,52
6:03,2344,Boaz Williams missed Jumper.,66,52
6:03,2617,Leon Gilmore III Defensive Rebound.,66,52
5:50,2344,Foul on Boaz Williams.,66,52
5:41,2617,Foul on Ivan Canete.,66,52
5:41,2617,Ivan Canete Turnover.,66,52
5:27,2344,JaShaun Smith made Layup.,66,54
4:55,2617,Aaron Augustin Turnover.,66,54
4:55,2344,Charles Glover Steal.,66,54
4:38,2344,Damarion Geter Turnover.,66,54
4:37,2617,Aaron Augustin Steal.,66,54
4:32,2344,Foul on Charles Glover.,66,54
4:32,2617,Kevon Harris made Free Throw.,67,54
4:32,2617,Kevon Harris made Free Throw.,68,54
4:12,2344,Charles Glover missed Layup.,68,54
4:12,2617,Shannon Bogues Defensive Rebound.,68,54
4:02,2617,Leon Gilmore III missed Layup.,68,54
4:01,2344,Jahleem Montague Block.,68,54
4:00,2344,Damarion Geter Defensive Rebound.,68,54
3:58,2344,Isaiah Walton missed Three Point Jumper.,68,54
3:58,2344,Damarion Geter Offensive Rebound.,68,54
3:56,2344,Damarion Geter made Layup.,68,56
3:41,2617,Shannon Bogues Turnover.,68,56
3:38,2344,JaShaun Smith Steal.,68,56
3:35,2344,Charles Glover Turnover.,68,56
3:11,2617,TJ Holyfield made Three Point Jumper. Assisted by Aaron Augustin.,71,56
2:54,2344,Isaiah Walton missed Three Point Jumper.,71,56
2:54,2617,Leon Gilmore III Defensive Rebound.,71,56
2:26,2617,Kevon Harris missed Layup.,71,56
2:26,2344,Jahleem Montague Block.,71,56
2:24,2344,Jahleem Montague Defensive Rebound.,71,56
2:21,2344,Charles Glover Turnover.,71,56
2:20,2617,TJ Holyfield Steal.,71,56
2:01,2617,Leon Gilmore III Turnover.,71,56
1:54,2344,Charles Glover Turnover.,71,56
1:52,2344,Foul on Charles Glover.,71,56
1:52,2617,Aaron Augustin made Free Throw.,72,56
1:52,2617,Aaron Augustin missed Free Throw.,72,56
1:52,2344,Damarion Geter Defensive Rebound.,72,56
1:50,2344,Charles Glover Turnover.,72,56
1:49,2617,Aaron Augustin Steal.,72,56
1:47,2617,Aaron Augustin made Layup.,74,56
1:44,2617,Stephen F. Austin  Timeout,74,56
1:27,2344,Isaiah Walton made Jumper. Assisted by Damarion Geter.,74,58
1:11,2617,Stefon Fisher Turnover.,74,58
1:11,2344,Isaiah Walton Steal.,74,58
1:10,2617,Foul on Stefon Fisher.,74,58
1:10,2344,Isaiah Walton made Free Throw.,74,59
1:10,2344,Isaiah Walton missed Free Throw.,74,59
1:10,2617,Leon Gilmore III Defensive Rebound.,74,59
1:03,2617,John Comeaux missed Free Throw.,74,59
1:03,2344,Jordan Cintron Defensive Rebound.,74,59
1:01,2344,Foul on Isaiah Walton.,74,59
0:50,2344,Dominic Ezeani missed Layup.,74,59
0:50,2617,Kevon Harris Defensive Rebound.,74,59
0:35,2617,Kevon Harris Turnover.,74,59
0:34,2344,Jordan Cintron Steal.,74,59
0:32,2344,Kamil Chapman made Layup.,74,61
0:00,2344,End of Game,74,61
