Siena Heights,Error,Western Michigan,2711
11:55,2711,Adida Ikongshul made Layup. Assisted by Jarrin Randall.,12,19
11:55,-1,Foul on Kevin Smith Ii.,12,19
11:55,2711,Official TV Timeout,12,19
11:55,2711,Adida Ikongshul missed Free Throw.,12,19
11:55,2711,Josh Davis Offensive Rebound.,12,19
11:48,2711,Jared Printy missed Three Point Jumper.,12,19
11:48,-1,Jon Hovermale Defensive Rebound.,12,19
11:31,-1,Turnover.,12,19
11:31,2711,Drake LaMont made Layup. Assisted by Jarrin Randall.,12,21
11:28,-1,Foul on Jon Hovermale.,12,21
11:11,2711,Drake LaMont made Free Throw.,12,22
11:02,-1,Jon Hovermale missed Three Point Jumper.,12,22
11:02,2711,Josh Davis Defensive Rebound.,12,22
10:45,2711,Josh Davis missed Three Point Jumper.,12,22
10:45,-1,Defensive Rebound.,12,22
10:22,-1,made Three Point Jumper. Assisted by Carter Drazga.,15,22
10:08,2711,Drake LaMont missed Jumper.,15,22
10:08,-1,Trevor Holston Defensive Rebound.,15,22
9:57,-1,PJ Austin made Layup.,17,22
9:49,-1,Foul on Carter Drazga.,17,22
9:49,2711,Jarrin Randall missed Free Throw.,17,22
9:49,2711,Western Michigan Deadball Team Rebound.,17,22
9:49,2711,Jarrin Randall made Free Throw.,17,23
9:35,-1,Nick Randle missed Layup.,17,23
9:35,2711,Seth Dugan Defensive Rebound.,17,23
9:28,2711,Bryce Moore missed Jumper.,17,23
9:28,-1,Josh Winowiecki Defensive Rebound.,17,23
9:19,-1,Nick Randle missed Three Point Jumper.,17,23
9:19,-1,PJ Austin Offensive Rebound.,17,23
8:57,-1,Jon Hovermale made Three Point Jumper. Assisted by Nick Randle.,20,23
8:25,2711,Brandon Johnson missed Jumper.,20,23
8:25,-1,Nick Randle Defensive Rebound.,20,23
8:09,-1,Trevor Holston missed Jumper.,20,23
8:09,2711,Seth Dugan Defensive Rebound.,20,23
7:47,2711,Reggie Jones missed Three Point Jumper.,20,23
7:47,2711,Brandon Johnson Offensive Rebound.,20,23
7:41,2711,Brandon Johnson missed Layup.,20,23
7:41,2711,Brandon Johnson Offensive Rebound.,20,23
7:38,2711,Brandon Johnson made Two Point Tip Shot.,20,25
7:29,-1,PJ Austin missed Jumper.,20,25
7:29,2711,Seth Dugan Defensive Rebound.,20,25
7:22,2711,Brandon Johnson made Layup. Assisted by Thomas Wilder.,20,27
7:07,2711,Foul on Thomas Wilder.,20,27
7:07,2711,Official TV Timeout,20,27
7:05,-1,Josh Winowiecki Turnover.,20,27
7:05,2711,Thomas Wilder missed Three Point Jumper.,20,27
7:05,2711,Seth Dugan Offensive Rebound.,20,27
6:29,2711,Reggie Jones missed Three Point Jumper.,20,27
6:29,-1,Siena Heights Deadball Team Rebound.,20,27
6:28,2711,Foul on Seth Dugan.,20,27
6:12,-1,Jon Hovermale made Three Point Jumper. Assisted by Nick Randle.,23,27
5:59,-1,Foul on Trevor Holston.,23,27
5:59,2711,Thomas Wilder missed Free Throw.,23,27
5:59,2711,Western Michigan Deadball Team Rebound.,23,27
5:59,2711,Thomas Wilder made Free Throw.,23,28
5:50,-1,Nick Randle missed Jumper.,23,28
5:50,2711,Reggie Jones Defensive Rebound.,23,28
5:38,2711,Drake LaMont made Jumper.,23,30
5:27,-1,Kevin Smith Ii Turnover.,23,30
5:27,-1,Foul on Kevin Smith Ii.,23,30
5:16,-1,Foul on Jon Hovermale.,23,30
5:14,2711,Reggie Jones made Free Throw.,23,31
5:14,2711,Reggie Jones made Free Throw.,23,32
4:51,-1,Jon Hovermale missed Three Point Jumper.,23,32
4:51,-1,Trevor Holston Offensive Rebound.,23,32
4:46,-1,Trevor Holston made Two Point Tip Shot.,25,32
4:32,2711,Bryce Moore missed Three Point Jumper.,25,32
4:32,-1,Siena Heights Defensive Rebound.,25,32
4:09,-1,missed Three Point Jumper.,25,32
4:09,2711,Reggie Jones Defensive Rebound.,25,32
4:04,2711,Reggie Jones Turnover.,25,32
4:02,-1,Nick Randle Steal.,25,32
4:00,-1,Trevor Holston Turnover.,25,32
4:00,2711,Official TV Timeout,25,32
3:44,2711,Drake LaMont made Layup. Assisted by Thomas Wilder.,25,34
3:28,-1,Nick Randle Turnover.,25,34
3:16,2711,Adida Ikongshul made Three Point Jumper. Assisted by Jarrin Randall.,25,37
3:01,2711,Foul on Drake LaMont.,25,37
3:01,-1,Tony Jackson Ii made Free Throw.,26,37
3:01,-1,Tony Jackson Ii made Free Throw.,27,37
2:44,2711,Josh Davis made Three Point Jumper. Assisted by Thomas Wilder.,27,40
2:24,-1,Nick Randle Turnover.,27,40
2:05,-1,Foul on Tony Jackson Ii.,27,40
2:05,2711,Thomas Wilder made Free Throw.,27,41
2:05,2711,Thomas Wilder made Free Throw.,27,42
1:48,-1,made Jumper.,29,42
1:35,2711,Josh Davis made Three Point Jumper. Assisted by Adida Ikongshul.,29,45
1:27,-1,Siena Heights  Timeout,29,45
1:17,-1,Nick Randle Turnover.,29,45
1:15,2711,Jarrin Randall Steal.,29,45
1:13,2711,Josh Davis missed Layup.,29,45
1:13,2711,Thomas Wilder Offensive Rebound.,29,45
1:07,2711,Thomas Wilder made Layup.,29,47
0:49,-1,Nick Randle Turnover.,29,47
0:48,2711,Thomas Wilder Steal.,29,47
0:10,2711,Thomas Wilder missed Jumper.,29,47
0:10,2711,Thomas Wilder Offensive Rebound.,29,47
0:04,2711,Jarrin Randall missed Three Point Jumper.,29,47
0:04,-1,Defensive Rebound.,29,47
0:00,2711,End of 1st half,29,47
19:50,2711,Seth Dugan made Layup. Assisted by Reggie Jones.,29,49
19:36,-1,Jon Hovermale made Three Point Jumper. Assisted by Josh Winowiecki.,32,49
19:17,2711,Bryce Moore missed Layup.,32,49
19:17,-1,Siena Heights Defensive Rebound.,32,49
18:54,-1,Josh Winowiecki Turnover.,32,49
18:53,2711,Reggie Jones Steal.,32,49
18:49,2711,Thomas Wilder made Dunk. Assisted by Reggie Jones.,32,51
18:32,2711,Foul on Seth Dugan.,32,51
18:29,-1,Trevor Holston missed Three Point Jumper.,32,51
18:29,2711,Bryce Moore Defensive Rebound.,32,51
18:04,2711,Reggie Jones made Three Point Jumper. Assisted by Brandon Johnson.,32,54
17:47,-1,Trevor Holston made Jumper.,34,54
17:34,-1,Foul on PJ Austin.,34,54
17:34,2711,Bryce Moore made Jumper. Assisted by Thomas Wilder.,34,56
17:24,-1,Nick Randle missed Jumper.,34,56
17:24,2711,Bryce Moore Defensive Rebound.,34,56
17:18,2711,Brandon Johnson missed Jumper.,34,56
17:18,2711,Drake LaMont Offensive Rebound.,34,56
17:17,-1,Foul on Nick Randle.,34,56
17:17,2711,Drake LaMont missed Free Throw.,34,56
17:17,2711,Western Michigan Deadball Team Rebound.,34,56
17:17,2711,Drake LaMont made Free Throw.,34,57
17:06,-1,Josh Winowiecki Turnover.,34,57
17:05,2711,Reggie Jones Steal.,34,57
17:01,2711,Reggie Jones made Layup. Assisted by Bryce Moore.,34,59
16:56,-1,Siena Heights  Timeout,34,59
16:42,-1,Carter Drazga missed Jumper.,34,59
16:42,-1,Trevor Holston Offensive Rebound.,34,59
16:39,-1,PJ Austin made Three Point Jumper. Assisted by Trevor Holston.,37,59
16:31,2711,Bryce Moore missed Three Point Jumper.,37,59
16:31,2711,Reggie Jones Offensive Rebound.,37,59
16:28,-1,Foul on Jon Hovermale.,37,59
16:28,2711,Reggie Jones made Free Throw.,37,60
16:28,2711,Reggie Jones made Free Throw.,37,61
16:04,-1,Trevor Holston made Jumper. Assisted by PJ Austin.,39,61
15:51,2711,Thomas Wilder made Layup.,39,63
15:37,-1,Trevor Holston made Jumper.,41,63
15:24,2711,Reggie Jones missed Three Point Jumper.,41,63
15:24,-1,Siena Heights Deadball Team Rebound.,41,63
15:21,2711,Foul on Brandon Johnson.,41,63
15:21,2711,Official TV Timeout,41,63
15:09,-1,PJ Austin missed Three Point Jumper.,41,63
15:09,2711,Bryce Moore Defensive Rebound.,41,63
15:09,2711,Thomas Wilder made Layup.,41,65
14:37,-1,PJ Austin missed Layup.,41,65
14:37,2711,Drake LaMont Block.,41,65
14:37,-1,Siena Heights Offensive Rebound.,41,65
14:37,-1,made Three Point Jumper. Assisted by PJ Austin.,44,65
14:25,2711,Drake LaMont made Jumper. Assisted by Thomas Wilder.,44,67
14:12,-1,Jon Hovermale missed Jumper.,44,67
14:12,2711,Bryce Moore Defensive Rebound.,44,67
14:02,2711,Thomas Wilder made Three Point Jumper.,44,70
13:44,-1,Trevor Holston Turnover.,44,70
13:42,2711,Drake LaMont Steal.,44,70
13:37,2711,Thomas Wilder made Layup.,44,72
13:25,-1,Siena Heights  Timeout,44,72
13:19,-1,Jon Hovermale missed Three Point Jumper.,44,72
13:19,2711,Drake LaMont Defensive Rebound.,44,72
13:03,2711,Adida Ikongshul made Jumper.,44,74
12:48,-1,Jon Hovermale missed Three Point Jumper.,44,74
12:48,-1,Siena Heights Deadball Team Rebound.,44,74
12:46,2711,Foul on Drake LaMont.,44,74
12:37,-1,Nick Randle made Three Point Jumper. Assisted by Jon Hovermale.,47,74
12:31,2711,Adida Ikongshul Turnover.,47,74
12:29,-1,Nick Randle Steal.,47,74
12:17,-1,Nick Randle missed Jumper.,47,74
12:17,2711,Seth Dugan Defensive Rebound.,47,74
12:10,2711,Jarrin Randall missed Jumper.,47,74
12:10,-1,Kevin Smith Ii Defensive Rebound.,47,74
12:02,-1,Kevin Smith Ii Turnover.,47,74
12:02,2711,Seth Dugan Steal.,47,74
12:02,2711,Official TV Timeout,47,74
11:52,2711,Official TV Timeout,47,74
11:37,2711,Adida Ikongshul missed Layup.,47,74
11:37,-1,Defensive Rebound.,47,74
11:31,-1,missed Layup.,47,74
11:31,2711,Jarrin Randall Defensive Rebound.,47,74
11:17,2711,Seth Dugan missed Layup.,47,74
11:17,2711,Western Michigan Offensive Rebound.,47,74
11:03,2711,Seth Dugan missed Jumper.,47,74
11:03,-1,Josh Winowiecki Block.,47,74
11:02,-1,Josh Winowiecki Defensive Rebound.,47,74
11:02,2711,Foul on Josh Davis.,47,74
10:51,2711,Foul on Seth Dugan.,47,74
10:51,2711,Western Michigan  Timeout,47,74
10:51,-1,made Free Throw.,48,74
10:51,-1,made Free Throw.,49,74
10:36,2711,Josh Davis Turnover.,49,74
10:33,-1,Steal.,49,74
10:29,-1,Josh Winowiecki made Layup. Assisted by Jon Hovermale.,51,74
10:16,2711,Brandon Johnson made Layup. Assisted by Adida Ikongshul.,51,76
10:04,-1,Kevin Smith Ii made Three Point Jumper.,54,76
9:50,2711,Michael Flowers missed Jumper.,54,76
9:50,-1,Defensive Rebound.,54,76
9:44,-1,Jon Hovermale made Three Point Jumper. Assisted by Nick Randle.,57,76
9:37,2711,Adida Ikongshul Turnover.,57,76
9:35,-1,Jon Hovermale Steal.,57,76
9:32,-1,Nick Randle missed Jumper.,57,76
9:32,2711,Michael Flowers Defensive Rebound.,57,76
9:20,2711,Jarrin Randall missed Three Point Jumper.,57,76
9:20,2711,Josh Davis Offensive Rebound.,57,76
9:15,2711,Jarrin Randall missed Layup.,57,76
9:15,-1,Jon Hovermale Defensive Rebound.,57,76
9:00,-1,Nick Randle missed Three Point Jumper.,57,76
9:00,2711,Adida Ikongshul Defensive Rebound.,57,76
8:50,2711,Michael Flowers made Three Point Jumper.,57,79
8:40,-1,Kevin Smith Ii missed Three Point Jumper.,57,79
8:40,2711,Josh Davis Defensive Rebound.,57,79
8:35,2711,Josh Davis Turnover.,57,79
8:34,-1,Nick Randle Steal.,57,79
8:30,-1,Kevin Smith Ii missed Three Point Jumper.,57,79
8:30,2711,Adida Ikongshul Defensive Rebound.,57,79
8:10,-1,Foul on Nick Randle.,57,79
8:03,2711,Jarrin Randall missed Free Throw.,57,79
8:03,2711,Western Michigan Deadball Team Rebound.,57,79
8:03,2711,Jarrin Randall made Free Throw.,57,80
8:03,2711,Jarrin Randall made Free Throw.,57,81
7:44,-1,missed Three Point Jumper.,57,81
7:44,2711,Michael Flowers Defensive Rebound.,57,81
7:37,-1,Foul on Kevin Smith Ii.,57,81
7:37,2711,Official TV Timeout,57,81
7:37,2711,Michael Flowers missed Free Throw.,57,81
7:37,2711,Western Michigan Deadball Team Rebound.,57,81
7:37,2711,Michael Flowers made Free Throw.,57,82
7:18,-1,PJ Austin made Three Point Jumper.,60,82
6:49,2711,Brandon Johnson made Jumper. Assisted by Jared Printy.,60,84
6:26,-1,Josh Winowiecki missed Jumper.,60,84
6:26,2711,Brandon Johnson Defensive Rebound.,60,84
6:21,2711,Michael Flowers missed Layup.,60,84
6:21,-1,PJ Austin Block.,60,84
6:18,2711,Michael Flowers Offensive Rebound.,60,84
6:13,2711,Jared Printy missed Three Point Jumper.,60,84
6:13,2711,Drake LaMont Offensive Rebound.,60,84
6:10,-1,Foul on Josh Winowiecki.,60,84
6:10,2711,Jason Whitens made Layup. Assisted by Brandon Johnson.,60,86
5:59,-1,Kevin Smith Ii missed Three Point Jumper.,60,86
5:59,2711,Michael Flowers Defensive Rebound.,60,86
5:49,2711,Brandon Johnson made Layup. Assisted by Jason Whitens.,60,88
5:35,-1,Quincy Lunsford missed Three Point Jumper.,60,88
5:35,2711,Michael Flowers Defensive Rebound.,60,88
5:28,-1,Foul on Josh Winowiecki.,60,88
5:28,2711,Michael Flowers missed Free Throw.,60,88
5:28,2711,Western Michigan Deadball Team Rebound.,60,88
5:28,2711,Michael Flowers made Free Throw.,60,89
5:13,-1,PJ Austin missed Three Point Jumper.,60,89
5:13,-1,Carter Drazga Offensive Rebound.,60,89
5:05,-1,made Layup. Assisted by Carter Drazga.,62,89
4:54,2711,Michael Flowers made Layup.,62,91
4:33,-1,Trevor Holston missed Jumper.,62,91
4:33,-1,Offensive Rebound.,62,91
4:31,-1,made Layup.,64,91
4:14,2711,Jared Printy missed Three Point Jumper.,64,91
4:14,-1,Defensive Rebound.,64,91
3:54,-1,Carter Drazga missed Jumper.,64,91
3:54,2711,Drake LaMont Defensive Rebound.,64,91
3:31,2711,Jared Printy Turnover.,64,91
3:30,-1,Carter Drazga Steal.,64,91
3:27,-1,PJ Austin made Three Point Jumper. Assisted by Carter Drazga.,67,91
3:00,2711,Jason Whitens made Three Point Jumper. Assisted by Drake LaMont.,67,94
2:38,-1,PJ Austin missed Three Point Jumper.,67,94
2:38,2711,Drake LaMont Defensive Rebound.,67,94
2:29,2711,Michael Flowers made Three Point Jumper.,67,97
2:09,-1,Quincy Lunsford made Three Point Jumper. Assisted by PJ Austin.,70,97
1:57,2711,Western Michigan  Timeout,70,97
1:57,2711,Official TV Timeout,70,97
1:51,2711,Adida Ikongshul missed Jumper.,70,97
1:51,2711,TJ Clifford Offensive Rebound.,70,97
1:47,2711,TJ Clifford missed Layup.,70,97
1:47,2711,Adida Ikongshul Offensive Rebound.,70,97
1:37,-1,Foul on  .,70,97
1:37,2711,Adida Ikongshul missed Free Throw.,70,97
1:37,2711,Western Michigan Deadball Team Rebound.,70,97
1:37,2711,Adida Ikongshul made Free Throw.,70,98
1:16,-1,Quincy Lunsford missed Three Point Jumper.,70,98
1:16,2711,Jason Whitens Defensive Rebound.,70,98
1:14,-1,Foul on Trevor Holston.,70,98
1:14,2711,Jason Whitens made Free Throw.,70,99
1:14,2711,Jason Whitens missed Free Throw.,70,99
1:14,-1,Carter Drazga Defensive Rebound.,70,99
1:07,-1,Siena Heights  Timeout,70,99
0:53,-1,Carter Drazga Turnover.,70,99
0:52,2711,Kyle McDermed Steal.,70,99
0:50,2711,TJ Clifford made Dunk. Assisted by Adida Ikongshul.,70,101
0:39,-1,Trevor Holston Turnover.,70,101
0:38,2711,Jarrin Randall Steal.,70,101
0:33,2711,Kyle McDermed missed Layup.,70,101
0:33,2711,Adida Ikongshul Offensive Rebound.,70,101
0:31,2711,Adida Ikongshul made Two Point Tip Shot.,70,103
0:19,2711,Foul on Kyle McDermed.,70,103
0:13,-1,Carter Drazga made Jumper.,72,103
0:00,2711,End of Game,72,103
