Ouachita Baptist,Error,Little Rock,2031
4:18,2031,Damir Hadzic Block.,29,31
4:16,2031,Kris Bankston Defensive Rebound.,29,31
4:07,2031,Damir Hadzic missed Layup.,29,31
4:07,-1,Mahlon Martin Block.,29,31
4:06,-1,Ouachita Baptist Defensive Rebound.,29,31
3:54,-1,Wesley Franklin made Jumper. Assisted by Mahlon Martin.,31,31
3:45,2031,Camron Reedus missed Jumper.,31,31
3:45,2031,Oliver Black Offensive Rebound.,31,31
3:40,-1,Foul on Wesley Franklin.,31,31
3:40,2031,Official TV Timeout,31,31
3:40,2031,Oliver Black missed Free Throw.,31,31
3:40,2031,Little Rock Deadball Team Rebound.,31,31
3:40,2031,Oliver Black made Free Throw.,31,32
3:12,-1,Kendarious Smith missed Jumper.,31,32
3:12,2031,Kris Bankston Defensive Rebound.,31,32
2:50,-1,Foul on Jontavis Willis.,31,32
2:50,2031,Jaizec Lottie made Free Throw.,31,33
2:50,2031,Jaizec Lottie missed Free Throw.,31,33
2:50,-1,Jontavis Willis Defensive Rebound.,31,33
2:21,-1,Kendarious Smith missed Jumper.,31,33
2:21,2031,Oliver Black Defensive Rebound.,31,33
2:05,2031,Andre Jones Turnover.,31,33
1:42,-1,Aitor Lopez-Breton made Layup. Assisted by Trey Harris.,33,33
1:26,2031,Wadly Mompremier Turnover.,33,33
1:26,2031,Foul on Wadly Mompremier.,33,33
1:13,-1,Trey Harris made Three Point Jumper.,36,33
1:11,2031,Little Rock  Timeout,36,33
0:52,2031,Wadly Mompremier Turnover.,36,33
0:35,2031,Foul on Jaizec Lottie.,36,33
0:35,-1,Jontavis Willis made Free Throw.,37,33
0:35,-1,Jontavis Willis made Free Throw.,38,33
0:35,-1,Jontavis Willis missed Free Throw.,38,33
0:35,2031,Oliver Black Defensive Rebound.,38,33
0:34,-1,Foul on Aitor Lopez-Breton.,38,33
0:34,2031,Oliver Black made Free Throw.,38,34
0:34,2031,Oliver Black missed Free Throw.,38,34
0:34,-1,Aitor Lopez-Breton Defensive Rebound.,38,34
0:02,-1,Wesley Franklin missed Three Point Jumper.,38,34
0:02,-1,Kendarious Smith Offensive Rebound.,38,34
0:00,-1,Aitor Lopez-Breton made Layup. Assisted by Kendarious Smith.,40,34
0:00,2031,End of 1st half,40,34
19:35,2031,Ben Marcus made Layup. Assisted by Oliver Black.,40,36
19:16,-1,Matt Stanley Turnover.,40,36
19:16,-1,Foul on Matt Stanley.,40,36
18:55,2031,Anthony Black made Three Point Jumper. Assisted by Oliver Black.,40,39
18:33,-1,Mahlon Martin made Three Point Jumper. Assisted by Isaiah Harper.,43,39
18:19,2031,Ben Marcus Turnover.,43,39
18:17,-1,Mahlon Martin Steal.,43,39
18:16,-1,Mahlon Martin made Layup.,45,39
17:50,2031,Oliver Black made Layup.,45,41
17:28,2031,Foul on Anthony Black.,45,41
17:28,-1,Matt Stanley made Free Throw.,46,41
17:28,-1,Aitor Lopez-Breton Turnover.,46,41
17:10,2031,Oliver Black made Layup. Assisted by Wadly Mompremier.,46,43
16:45,-1,Aitor Lopez-Breton made Layup. Assisted by Mahlon Martin.,48,43
16:34,2031,Cameron Corcoran Turnover.,48,43
16:30,-1,Mahlon Martin Turnover.,48,43
16:28,2031,Andre Jones Steal.,48,43
16:25,2031,Wadly Mompremier made Dunk. Assisted by Andre Jones.,48,45
15:57,2031,Foul on Oliver Black.,48,45
15:57,2031,Official TV Timeout,48,45
15:57,-1,Matt Stanley made Free Throw.,49,45
15:57,-1,Matt Stanley made Free Throw.,50,45
15:47,2031,Wadly Mompremier made Dunk. Assisted by Andre Jones.,50,47
15:16,-1,Wesley Franklin made Jumper.,52,47
14:48,2031,Andre Jones missed Three Point Jumper.,52,47
14:48,-1,Jontavis Willis Defensive Rebound.,52,47
14:34,-1,Wesley Franklin made Layup. Assisted by Jontavis Willis.,54,47
14:16,2031,Camron Reedus made Three Point Jumper. Assisted by Jaizec Lottie.,54,50
13:51,-1,Aitor Lopez-Breton made Jumper. Assisted by Mahlon Martin.,56,50
13:26,2031,Camron Reedus missed Three Point Jumper.,56,50
13:26,-1,Mahlon Martin Defensive Rebound.,56,50
13:14,-1,Jontavis Willis made Three Point Jumper.,59,50
13:07,2031,Little Rock  Timeout,59,50
12:57,2031,Damir Hadzic made Three Point Jumper. Assisted by Andre Jones.,59,53
12:37,-1,Jontavis Willis Turnover.,59,53
12:35,2031,Oliver Black Steal.,59,53
12:28,2031,Anthony Black missed Three Point Jumper.,59,53
12:28,-1,Jontavis Willis Defensive Rebound.,59,53
12:23,-1,Isaiah Harper made Layup. Assisted by Jontavis Willis.,61,53
12:04,-1,Foul on Aitor Lopez-Breton.,61,53
12:04,2031,Oliver Black made Free Throw.,61,54
12:04,2031,Oliver Black missed Free Throw.,61,54
12:04,-1,Aitor Lopez-Breton Defensive Rebound.,61,54
11:48,-1,Jontavis Willis made Three Point Jumper. Assisted by Isaiah Harper.,64,54
11:32,2031,Damir Hadzic made Layup. Assisted by Anthony Black.,64,56
11:14,-1,Jontavis Willis made Three Point Jumper.,67,56
10:58,2031,Anthony Black made Layup.,67,58
10:33,-1,Trey Harris Turnover.,67,58
10:20,-1,Foul on Jontavis Willis.,67,58
10:12,2031,Anthony Black missed Three Point Jumper.,67,58
10:12,-1,Kendarious Smith Defensive Rebound.,67,58
9:57,-1,Jontavis Willis missed Three Point Jumper.,67,58
9:57,2031,K.J. Gilmore Defensive Rebound.,67,58
9:30,2031,Damir Hadzic made Layup. Assisted by Oliver Black.,67,60
9:11,-1,Aitor Lopez-Breton made Jumper. Assisted by Jontavis Willis.,69,60
8:51,2031,Deondre Burns missed Jumper.,69,60
8:51,2031,Oliver Black Offensive Rebound.,69,60
8:41,2031,K.J. Gilmore missed Three Point Jumper.,69,60
8:41,2031,Oliver Black Offensive Rebound.,69,60
8:39,2031,Anthony Black missed Layup.,69,60
8:39,-1,Aitor Lopez-Breton Defensive Rebound.,69,60
8:26,-1,Wesley Franklin missed Jumper.,69,60
8:26,2031,Damir Hadzic Defensive Rebound.,69,60
8:16,-1,Foul on Kendarious Smith.,69,60
8:00,2031,K.J. Gilmore missed Jumper.,69,60
8:00,-1,Mahlon Martin Defensive Rebound.,69,60
7:51,-1,Matt Stanley made Layup.,71,60
7:27,2031,Andre Jones made Layup. Assisted by Jaizec Lottie.,71,62
6:56,-1,Matthew Ward missed Three Point Jumper.,71,62
6:56,2031,Jaizec Lottie Defensive Rebound.,71,62
6:28,2031,Andre Jones missed Three Point Jumper.,71,62
6:28,-1,Kendarious Smith Defensive Rebound.,71,62
6:17,2031,Foul on Andre Jones.,71,62
6:17,2031,Official TV Timeout,71,62
6:17,-1,Matt Stanley missed Free Throw.,71,62
6:17,-1,Ouachita Baptist Deadball Team Rebound.,71,62
6:17,-1,Matt Stanley made Free Throw.,72,62
5:55,2031,Ben Marcus made Layup.,72,64
5:30,-1,Wesley Franklin missed Jumper.,72,64
5:30,-1,Matt Stanley Offensive Rebound.,72,64
5:08,-1,Wesley Franklin Turnover.,72,64
4:39,2031,Ben Marcus made Layup. Assisted by Andre Jones.,72,66
4:15,-1,Matt Stanley made Three Point Jumper. Assisted by Isaiah Harper.,75,66
3:54,-1,Foul on Aitor Lopez-Breton.,75,66
3:54,2031,Official TV Timeout,75,66
3:54,2031,Ben Marcus missed Free Throw.,75,66
3:54,2031,Little Rock Deadball Team Rebound.,75,66
3:54,2031,Ben Marcus missed Free Throw.,75,66
3:54,-1,Jontavis Willis Defensive Rebound.,75,66
3:43,-1,Isaiah Harper Turnover.,75,66
3:27,2031,Jaizec Lottie missed Three Point Jumper.,75,66
3:27,2031,Little Rock Offensive Rebound.,75,66
3:27,2031,Andre Jones made Layup.,75,68
2:53,2031,Foul on Oliver Black.,75,68
2:42,-1,Mahlon Martin made Three Point Jumper. Assisted by Matt Stanley.,78,68
2:25,2031,Andre Jones missed Jumper.,78,68
2:25,-1,Aitor Lopez-Breton Defensive Rebound.,78,68
2:04,-1,Aitor Lopez-Breton missed Three Point Jumper.,78,68
2:04,2031,Anthony Black Defensive Rebound.,78,68
2:04,-1,Foul on Isaiah Harper.,78,68
1:41,2031,Jaizec Lottie missed Layup.,78,68
1:41,2031,Ben Marcus Offensive Rebound.,78,68
1:37,2031,Ben Marcus made Two Point Tip Shot.,78,70
1:34,2031,Foul on Ben Marcus.,78,70
1:28,-1,Isaiah Harper Turnover.,78,70
1:26,2031,Camron Reedus Steal.,78,70
1:10,2031,Anthony Black made Layup.,78,72
1:10,-1,Foul on Jontavis Willis.,78,72
1:10,2031,Anthony Black missed Free Throw.,78,72
1:10,-1,Isaiah Harper Defensive Rebound.,78,72
1:01,-1,Ouachita Baptist  Timeout,78,72
1:01,-1,Ouachita Baptist  Timeout,78,72
1:01,-1,Kendarious Smith Turnover.,78,72
0:52,2031,Camron Reedus made Three Point Jumper. Assisted by Jaizec Lottie.,78,75
0:42,2031,Foul on Camron Reedus.,78,75
0:34,2031,Foul on Jaizec Lottie.,78,75
0:34,-1,Mahlon Martin made Free Throw.,79,75
0:34,-1,Mahlon Martin made Free Throw.,80,75
0:34,2031,Little Rock  Timeout,80,75
0:23,2031,Jaizec Lottie missed Three Point Jumper.,80,75
0:23,2031,Oliver Black Offensive Rebound.,80,75
0:23,-1,Foul on Matt Stanley.,80,75
0:23,2031,Oliver Black missed Free Throw.,80,75
0:23,-1,Ouachita Baptist Defensive Rebound.,80,75
0:16,-1,Jontavis Willis Turnover.,80,75
0:15,2031,Jaizec Lottie Steal.,80,75
0:12,2031,Andre Jones made Layup.,80,77
0:06,2031,Foul on Andre Jones.,80,77
0:00,-1,Mahlon Martin made Free Throw.,81,77
0:00,-1,Mahlon Martin missed Free Throw.,81,77
0:00,2031,Anthony Black Defensive Rebound.,81,77
0:00,2031,Anthony Black missed Three Point Jumper.,81,77
0:00,2031,Damir Hadzic Offensive Rebound.,81,77
0:00,2031,Damir Hadzic made Layup.,81,79
0:00,2031,End of Game,81,79
