Cleveland State,2006,Akron,325
13:36,2006,Daniel Utomi made Layup.,11,8
13:22,2006,Foul on Malcolm Duvivier.,11,8
13:04,325,Kasheem Thomas Turnover.,11,8
12:49,2006,Mark Kostelac missed Layup.,11,8
12:49,325,Evan Clayborne Block.,11,8
12:47,2006,Malcolm Duvivier Offensive Rebound.,11,8
12:45,325,Foul on Evan Clayborne.,11,8
12:35,2006,Daniel Utomi missed Three Point Jumper.,11,8
12:35,325,Cleveland State Deadball Team Rebound.,11,8
12:35,2006,Foul on Mark Kostelac.,11,8
12:20,325,Bobby Word missed Layup.,11,8
12:20,2006,Emmanuel Olojakpoke Defensive Rebound.,11,8
12:14,2006,Virshon Cotton Turnover.,11,8
11:56,325,Anthony Wright Turnover.,11,8
11:54,2006,Emmanuel Olojakpoke Steal.,11,8
11:49,2006,Jimond Ivey missed Three Point Jumper.,11,8
11:49,325,Anthony Wright Defensive Rebound.,11,8
11:39,325,Anthony Wright missed Three Point Jumper.,11,8
11:39,2006,Craig Eubanks Defensive Rebound.,11,8
11:25,2006,Jimond Ivey Turnover.,11,8
11:22,325,Tyree Appleby Steal.,11,8
11:20,2006,Foul on Craig Eubanks.,11,8
11:20,2006,Official TV Timeout,11,8
11:20,325,Tyree Appleby missed Free Throw.,11,8
11:20,325,Cleveland State Deadball Team Rebound.,11,8
11:20,325,Tyree Appleby made Free Throw.,12,8
11:06,2006,Jimond Ivey Turnover.,12,8
11:05,2006,Foul on Jimond Ivey.,12,8
10:58,325,Stefan Kenic missed Three Point Jumper.,12,8
10:58,2006,Torrey Patton Defensive Rebound.,12,8
10:49,2006,Malcolm Duvivier missed Three Point Jumper.,12,8
10:49,325,Stefan Kenic Defensive Rebound.,12,8
10:35,325,Kenny Carpenter Turnover.,12,8
10:12,2006,Jimond Ivey Turnover.,12,8
9:58,2006,Foul on Emmanuel Olojakpoke.,12,8
9:58,325,Derek Sloan made Free Throw.,13,8
9:58,325,Derek Sloan made Free Throw.,14,8
9:42,2006,Jimond Ivey missed Three Point Jumper.,14,8
9:42,325,Kenny Carpenter Defensive Rebound.,14,8
9:37,325,Tyree Appleby made Layup. Assisted by Kenny Carpenter.,16,8
9:24,2006,Jimond Ivey missed Layup.,16,8
9:24,325,Bobby Word Defensive Rebound.,16,8
9:09,325,Stefan Kenic Turnover.,16,8
9:07,2006,Torrey Patton Steal.,16,8
9:04,2006,Torrey Patton missed Layup.,16,8
9:04,325,Kenny Carpenter Defensive Rebound.,16,8
8:55,325,Stefan Kenic made Three Point Jumper.,19,8
8:54,2006,Akron  Timeout,19,8
8:42,2006,Daniel Utomi made Layup.,19,10
8:25,325,Tyree Appleby made Layup.,21,10
8:13,2006,Malcolm Duvivier made Layup.,21,12
7:56,325,Bobby Word made Three Point Jumper. Assisted by Stefan Kenic.,24,12
7:46,2006,Malcolm Duvivier missed Layup.,24,12
7:46,325,Stefan Kenic Block.,24,12
7:46,2006,Akron Offensive Rebound.,24,12
7:46,2006,Official TV Timeout,24,12
7:44,2006,Akron  Turnover.,24,12
7:32,325,Jamarcus Hairston missed Three Point Jumper.,24,12
7:32,2006,Eric Parrish Defensive Rebound.,24,12
7:19,2006,Emmanuel Olojakpoke missed Layup.,24,12
7:19,325,Kasheem Thomas Defensive Rebound.,24,12
7:15,2006,Foul on Jimond Ivey.,24,12
7:15,325,Bobby Word missed Free Throw.,24,12
7:10,325,Bobby Word Offensive Rebound.,24,12
7:07,325,Tyree Appleby missed Three Point Jumper.,24,12
7:07,2006,Jaden Sayles Defensive Rebound.,24,12
6:53,2006,Craig Eubanks missed Three Point Jumper.,24,12
6:53,325,Tyree Appleby Defensive Rebound.,24,12
6:39,325,Terrell Hales missed Three Point Jumper.,24,12
6:39,2006,Jaden Sayles Defensive Rebound.,24,12
6:08,325,Kasheem Thomas missed Three Point Jumper.,24,12
6:08,2006,Virshon Cotton Defensive Rebound.,24,12
6:01,2006,Craig Eubanks made Three Point Jumper. Assisted by Malcolm Duvivier.,24,15
5:31,325,Kasheem Thomas missed Layup.,24,15
5:31,2006,Malcolm Duvivier Defensive Rebound.,24,15
5:18,2006,Daniel Utomi made Three Point Jumper. Assisted by Craig Eubanks.,24,18
5:13,325,Cleveland State  Timeout,24,18
5:03,325,Tyree Appleby made Layup.,26,18
4:43,2006,Daniel Utomi missed Jumper.,26,18
4:43,325,Jamarcus Hairston Defensive Rebound.,26,18
4:36,325,Tyree Appleby made Layup.,28,18
4:11,2006,Malcolm Duvivier missed Three Point Jumper.,28,18
4:11,325,Jamarcus Hairston Defensive Rebound.,28,18
3:50,325,Tyree Appleby missed Three Point Jumper.,28,18
3:50,2006,Virshon Cotton Defensive Rebound.,28,18
3:38,2006,Daniel Utomi missed Layup.,28,18
3:38,325,Jamarcus Hairston Block.,28,18
3:38,325,Cleveland State Deadball Team Rebound.,28,18
3:38,2006,Official TV Timeout,28,18
3:29,325,Kenny Carpenter Turnover.,28,18
3:17,2006,Daniel Utomi missed Three Point Jumper.,28,18
3:17,325,Bobby Word Defensive Rebound.,28,18
3:02,325,Jamarcus Hairston missed Layup.,28,18
3:02,2006,Jimond Ivey Defensive Rebound.,28,18
2:47,2006,Daniel Utomi Turnover.,28,18
2:47,325,Stefan Kenic Steal.,28,18
2:28,325,Tyree Appleby Turnover.,28,18
2:26,2006,Virshon Cotton Steal.,28,18
2:21,2006,Malcolm Duvivier Turnover.,28,18
2:08,325,Tyree Appleby missed Three Point Jumper.,28,18
2:08,2006,Eric Parrish Defensive Rebound.,28,18
2:03,325,Foul on Bobby Word.,28,18
2:03,2006,Eric Parrish made Free Throw.,28,19
2:03,2006,Eric Parrish missed Free Throw.,28,19
2:03,325,Kenny Carpenter Defensive Rebound.,28,19
1:50,325,Jamarcus Hairston Turnover.,28,19
1:50,325,Foul on Jamarcus Hairston.,28,19
1:34,2006,Virshon Cotton Turnover.,28,19
1:27,325,Kenny Carpenter made Layup.,30,19
1:13,2006,Virshon Cotton missed Jumper.,30,19
1:13,325,Kenny Carpenter Defensive Rebound.,30,19
1:03,325,Kenny Carpenter missed Jumper.,30,19
1:03,2006,Daniel Utomi Defensive Rebound.,30,19
0:44,2006,Eric Parrish made Three Point Jumper. Assisted by Malcolm Duvivier.,30,22
0:24,325,Stefan Kenic Turnover.,30,22
0:02,2006,Virshon Cotton missed Layup.,30,22
0:02,325,Stefan Kenic Block.,30,22
0:00,325,Stefan Kenic Defensive Rebound.,30,22
0:00,2006,End of 1st half,30,22
19:50,2006,Jimond Ivey missed Layup.,30,22
19:50,325,Bobby Word Defensive Rebound.,30,22
19:43,325,Kenny Carpenter made Layup.,32,22
19:33,2006,Jimond Ivey Turnover.,32,22
19:24,2006,Foul on Malcolm Duvivier.,32,22
19:07,325,Kenny Carpenter missed Three Point Jumper.,32,22
19:07,2006,Torrey Patton Defensive Rebound.,32,22
18:58,325,Foul on Derek Sloan.,32,22
18:58,2006,Daniel Utomi made Free Throw.,32,23
18:58,2006,Daniel Utomi made Free Throw.,32,24
18:44,325,Derek Sloan made Layup.,34,24
18:32,2006,Malcolm Duvivier missed Three Point Jumper.,34,24
18:32,2006,Akron Deadball Team Rebound.,34,24
18:31,325,Foul on Derek Sloan.,34,24
18:30,2006,Daniel Utomi missed Three Point Jumper.,34,24
18:30,2006,Akron Deadball Team Rebound.,34,24
18:30,325,Foul on Derek Sloan.,34,24
18:23,2006,Emmanuel Olojakpoke Turnover.,34,24
18:23,2006,Foul on Emmanuel Olojakpoke.,34,24
18:14,325,Kenny Carpenter Turnover.,34,24
18:12,2006,Eric Parrish Steal.,34,24
18:10,2006,Eric Parrish made Dunk.,34,26
17:57,325,Anthony Wright made Layup.,36,26
17:46,325,Foul on Stefan Kenic.,36,26
17:46,2006,Daniel Utomi made Three Point Jumper. Assisted by Malcolm Duvivier.,36,29
17:40,325,Stefan Kenic Turnover.,36,29
17:38,2006,Torrey Patton Steal.,36,29
17:34,2006,Eric Parrish made Layup.,36,31
17:16,325,Foul on Stefan Kenic.,36,31
17:16,2006,Eric Parrish made Free Throw.,36,32
17:02,325,Anthony Wright missed Three Point Jumper.,36,32
17:02,2006,Torrey Patton Defensive Rebound.,36,32
16:55,325,Foul on Jamarcus Hairston.,36,32
16:43,2006,Daniel Utomi missed Three Point Jumper.,36,32
16:43,2006,Emmanuel Olojakpoke Offensive Rebound.,36,32
16:25,2006,Eric Parrish missed Jumper.,36,32
16:25,2006,Akron Deadball Team Rebound.,36,32
16:25,325,Foul on Kenny Carpenter.,36,32
16:25,2006,Torrey Patton made Free Throw.,36,33
16:25,2006,Torrey Patton made Free Throw.,36,34
16:17,2006,Foul on Eric Parrish.,36,34
16:17,325,Evan Clayborne missed Layup.,36,34
16:17,2006,Torrey Patton Defensive Rebound.,36,34
16:17,2006,Eric Parrish missed Three Point Jumper.,36,34
16:17,325,Tyree Appleby Defensive Rebound.,36,34
16:09,2006,Foul on Daniel Utomi.,36,34
15:38,2006,Official TV Timeout,36,34
15:38,325,Tyree Appleby made Free Throw.,37,34
15:38,325,Tyree Appleby missed Free Throw.,37,34
15:38,2006,Eric Parrish Defensive Rebound.,37,34
15:19,2006,Daniel Utomi made Three Point Jumper. Assisted by Emmanuel Olojakpoke.,37,37
14:48,325,Tyree Appleby missed Three Point Jumper.,37,37
14:48,2006,Akron Defensive Rebound.,37,37
14:30,2006,Daniel Utomi missed Three Point Jumper.,37,37
14:30,2006,Torrey Patton Offensive Rebound.,37,37
14:27,2006,Torrey Patton missed Layup.,37,37
14:27,325,Anthony Wright Defensive Rebound.,37,37
14:26,2006,Foul on Emmanuel Olojakpoke.,37,37
14:12,2006,Foul on Daniel Utomi.,37,37
14:06,325,Kasheem Thomas missed Three Point Jumper.,37,37
14:06,2006,Jimond Ivey Defensive Rebound.,37,37
13:53,2006,Malcolm Duvivier missed Layup.,37,37
13:53,2006,Torrey Patton Offensive Rebound.,37,37
13:49,2006,Jimond Ivey missed Three Point Jumper.,37,37
13:49,325,Evan Clayborne Defensive Rebound.,37,37
13:36,325,Evan Clayborne made Dunk. Assisted by Tyree Appleby.,39,37
13:11,325,Foul on Bobby Word.,39,37
13:11,2006,Jaden Sayles made Free Throw.,39,38
13:11,2006,Jaden Sayles made Free Throw.,39,39
12:58,325,Tyree Appleby missed Layup.,39,39
12:58,2006,Jaden Sayles Defensive Rebound.,39,39
12:45,2006,Jimond Ivey missed Layup.,39,39
12:45,325,Kenny Carpenter Defensive Rebound.,39,39
12:38,325,Kasheem Thomas Turnover.,39,39
12:33,2006,Malcolm Duvivier missed Three Point Jumper.,39,39
12:33,2006,Eric Parrish Offensive Rebound.,39,39
12:33,2006,Eric Parrish made Layup.,39,41
11:59,2006,Foul on Eric Parrish.,39,41
11:59,2006,Official TV Timeout,39,41
11:59,325,Tyree Appleby missed Free Throw.,39,41
11:59,2006,Virshon Cotton Defensive Rebound.,39,41
11:57,2006,Jaden Sayles made Free Throw.,39,42
11:57,2006,Jaden Sayles made Free Throw.,39,43
11:54,325,Foul on Evan Clayborne.,39,43
11:33,325,Stefan Kenic missed Layup.,39,43
11:33,2006,Jaden Sayles Block.,39,43
11:28,2006,Virshon Cotton Defensive Rebound.,39,43
11:21,2006,Malcolm Duvivier made Dunk.,39,45
11:15,325,Cleveland State  Timeout,39,45
10:51,325,Stefan Kenic missed Layup.,39,45
10:51,2006,Jaden Sayles Defensive Rebound.,39,45
10:37,2006,Virshon Cotton made Jumper.,39,47
10:21,2006,Foul on Malcolm Duvivier.,39,47
10:21,325,Stefan Kenic made Free Throw.,40,47
10:21,325,Stefan Kenic missed Free Throw.,40,47
10:21,2006,Emmanuel Olojakpoke Defensive Rebound.,40,47
10:00,2006,Jimond Ivey missed Three Point Jumper.,40,47
10:00,325,Kasheem Thomas Defensive Rebound.,40,47
9:47,325,Stefan Kenic missed Layup.,40,47
9:47,2006,Emmanuel Olojakpoke Block.,40,47
9:45,2006,Eric Parrish Defensive Rebound.,40,47
9:42,325,Foul on Anthony Wright.,40,47
9:42,2006,Eric Parrish made Free Throw.,40,48
9:42,2006,Eric Parrish made Free Throw.,40,49
9:21,325,Kenny Carpenter made Layup.,42,49
9:04,2006,Daniel Utomi missed Three Point Jumper.,42,49
9:04,2006,Jimond Ivey Offensive Rebound.,42,49
9:01,2006,Jimond Ivey missed Layup.,42,49
9:01,325,Kenny Carpenter Defensive Rebound.,42,49
8:53,325,Kenny Carpenter missed Layup.,42,49
8:53,2006,Emmanuel Olojakpoke Block.,42,49
8:50,2006,Emmanuel Olojakpoke Defensive Rebound.,42,49
8:46,2006,Daniel Utomi made Layup.,42,51
8:38,325,Cleveland State  Timeout,42,51
8:34,325,Tyree Appleby missed Layup.,42,51
8:34,2006,Daniel Utomi Defensive Rebound.,42,51
8:30,2006,Virshon Cotton Turnover.,42,51
8:29,325,Tyree Appleby Steal.,42,51
8:24,325,Bobby Word missed Layup.,42,51
8:24,2006,Daniel Utomi Block.,42,51
8:23,2006,Akron Defensive Rebound.,42,51
8:10,2006,Daniel Utomi missed Jumper.,42,51
8:10,325,Kenny Carpenter Defensive Rebound.,42,51
7:52,2006,Foul on Virshon Cotton.,42,51
7:52,2006,Official TV Timeout,42,51
7:51,325,Kasheem Thomas missed Free Throw.,42,51
7:51,2006,Daniel Utomi Defensive Rebound.,42,51
7:28,2006,Jimond Ivey made Jumper.,42,53
7:15,325,Kenny Carpenter missed Layup.,42,53
7:15,2006,Daniel Utomi Defensive Rebound.,42,53
7:07,2006,Eric Parrish missed Three Point Jumper.,42,53
7:07,325,Cleveland State Defensive Rebound.,42,53
5:48,2006,Foul on Daniel Utomi.,42,53
5:48,325,Derek Sloan made Free Throw.,43,53
5:48,325,Derek Sloan missed Free Throw.,43,53
5:48,2006,Emmanuel Olojakpoke Defensive Rebound.,43,53
5:18,2006,Jimond Ivey missed Layup.,43,53
5:18,2006,Akron Deadball Team Rebound.,43,53
5:18,325,Foul on Bobby Word.,43,53
5:18,2006,Emmanuel Olojakpoke missed Free Throw.,43,53
5:18,2006,Akron Deadball Team Rebound.,43,53
5:18,2006,Emmanuel Olojakpoke missed Free Throw.,43,53
5:18,325,Kenny Carpenter Defensive Rebound.,43,53
5:03,2006,Foul on Jimond Ivey.,43,53
5:03,325,Kenny Carpenter made Free Throw.,44,53
5:03,325,Kenny Carpenter missed Free Throw.,44,53
5:03,2006,Emmanuel Olojakpoke Defensive Rebound.,44,53
4:54,325,Foul on Jamarcus Hairston.,44,53
4:54,2006,Malcolm Duvivier made Free Throw.,44,54
4:54,2006,Malcolm Duvivier missed Free Throw.,44,54
4:54,325,Kenny Carpenter Defensive Rebound.,44,54
4:51,325,Anthony Wright made Layup.,46,54
4:39,325,Stefan Kenic made Three Point Jumper. Assisted by Kenny Carpenter.,49,54
4:26,2006,Eric Parrish made Jumper.,49,56
4:20,2006,Eric Parrish missed Three Point Jumper.,49,56
4:20,325,Derek Sloan Defensive Rebound.,49,56
4:17,325,Tyree Appleby Turnover.,49,56
4:15,2006,Foul on Emmanuel Olojakpoke.,49,56
4:15,325,Derek Sloan missed Free Throw.,49,56
4:15,325,Cleveland State Deadball Team Rebound.,49,56
4:15,325,Derek Sloan missed Free Throw.,49,56
4:15,2006,Eric Parrish Defensive Rebound.,49,56
4:13,2006,Jimond Ivey missed Layup.,49,56
4:13,325,Anthony Wright Defensive Rebound.,49,56
4:01,2006,Official TV Timeout,49,56
3:55,2006,Malcolm Duvivier made Jumper.,49,58
3:27,2006,Foul on Virshon Cotton.,49,58
3:27,325,Tyree Appleby missed Free Throw.,49,58
3:27,325,Cleveland State Deadball Team Rebound.,49,58
3:27,325,Tyree Appleby missed Free Throw.,49,58
3:27,2006,Virshon Cotton Defensive Rebound.,49,58
3:08,2006,Virshon Cotton missed Layup.,49,58
3:08,325,Bobby Word Defensive Rebound.,49,58
2:58,2006,Foul on Jaden Sayles.,49,58
2:58,325,Tyree Appleby made Free Throw.,50,58
2:58,325,Tyree Appleby missed Free Throw.,50,58
2:58,2006,Daniel Utomi Defensive Rebound.,50,58
2:34,2006,Jimond Ivey made Three Point Jumper.,50,61
2:13,325,Kenny Carpenter missed Three Point Jumper.,50,61
2:13,2006,Daniel Utomi Defensive Rebound.,50,61
1:55,2006,Akron  Timeout,50,61
1:49,2006,Jimond Ivey missed Three Point Jumper.,50,61
1:49,325,Kenny Carpenter Defensive Rebound.,50,61
1:39,2006,Foul on Eric Parrish.,50,61
1:39,325,Derek Sloan missed Free Throw.,50,61
1:39,325,Cleveland State Deadball Team Rebound.,50,61
1:37,2006,Eric Parrish Turnover.,50,61
1:31,325,Anthony Wright made Dunk.,52,61
1:31,325,Cleveland State  Timeout,52,61
1:12,2006,Malcolm Duvivier Turnover.,52,61
1:10,325,Kenny Carpenter Steal.,52,61
1:08,325,Kenny Carpenter made Layup.,54,61
0:53,325,Foul on Tyree Appleby.,54,61
0:53,2006,Virshon Cotton made Free Throw.,54,62
0:53,2006,Virshon Cotton made Free Throw.,54,63
0:43,2006,Foul on Emmanuel Olojakpoke.,54,63
0:43,325,Anthony Wright missed Free Throw.,54,63
0:43,325,Cleveland State Deadball Team Rebound.,54,63
0:43,325,Anthony Wright made Free Throw.,55,63
0:32,2006,Virshon Cotton Turnover.,55,63
0:32,2006,Foul on Virshon Cotton.,55,63
0:32,325,Tyree Appleby made Layup.,57,63
0:24,325,Foul on Derek Sloan.,57,63
0:24,2006,Eric Parrish made Free Throw.,57,64
0:24,2006,Eric Parrish made Free Throw.,57,65
0:19,325,Bobby Word missed Three Point Jumper.,57,65
0:19,2006,Malcolm Duvivier Block.,57,65
0:17,2006,Daniel Utomi Defensive Rebound.,57,65
0:16,325,Foul on Kenny Carpenter.,57,65
0:16,2006,Jimond Ivey made Free Throw.,57,66
0:16,2006,Jimond Ivey made Free Throw.,57,67
0:07,325,Stefan Kenic missed Three Point Jumper.,57,67
0:07,2006,Daniel Utomi Defensive Rebound.,57,67
0:00,2006,End of Game,57,67
