Mayville State,Error,South Dakota,233
10:55,-1,Max Cooper made Jumper. Assisted by Michael Slaba.,10,20
10:41,233,Brandon Armstrong missed Jumper.,10,20
10:41,233,Triston Simpson Offensive Rebound.,10,20
10:24,233,Nick Fuller missed Layup.,10,20
10:24,233,Carlton Hurst Offensive Rebound.,10,20
10:20,233,Carlton Hurst made Layup.,10,22
10:17,-1,Michael Slaba Turnover.,10,22
10:16,233,Triston Simpson Steal.,10,22
10:08,233,Triston Simpson missed Three Point Jumper.,10,22
10:08,-1,Gorg Alhag Defensive Rebound.,10,22
10:06,233,Foul on Nick Fuller.,10,22
9:51,-1,Gorg Alhag missed Jumper.,10,22
9:51,233,Trey Burch-Manning Defensive Rebound.,10,22
9:23,233,Trey Burch-Manning missed Layup.,10,22
9:23,-1,Taylor Delaughter Defensive Rebound.,10,22
9:08,-1,Daniel Lindgren made Three Point Jumper. Assisted by Taylor Delaughter.,13,22
8:48,233,Tyler Hagedorn made Three Point Jumper. Assisted by Carlton Hurst.,13,25
8:26,-1,Max Cooper missed Jumper.,13,25
8:26,233,Triston Simpson Defensive Rebound.,13,25
8:19,233,Triston Simpson missed Jumper.,13,25
8:19,-1,Taylor Delaughter Defensive Rebound.,13,25
8:07,-1,Max Cooper missed Jumper.,13,25
8:07,233,Triston Simpson Defensive Rebound.,13,25
7:51,233,Trey Burch-Manning Turnover.,13,25
7:51,233,Official TV Timeout,13,25
7:42,-1,Daniel Lindgren made Jumper.,15,25
7:30,233,Matt Mooney missed Jumper.,15,25
7:30,-1,Taylor Delaughter Defensive Rebound.,15,25
7:28,233,Foul on Matt Mooney.,15,25
7:18,-1,Daniel Lindgren made Three Point Jumper. Assisted by Daymarcco Green.,18,25
7:02,-1,Foul on Taylor Delaughter.,18,25
6:58,233,Matt Mooney made Jumper.,18,27
6:46,-1,Cameron Epps missed Jumper.,18,27
6:46,233,Trey Burch-Manning Defensive Rebound.,18,27
6:36,233,Tyler Hagedorn Turnover.,18,27
6:14,-1,Daymarcco Green missed Jumper.,18,27
6:14,-1,Garek Droog Offensive Rebound.,18,27
6:10,-1,Garek Droog missed Layup.,18,27
6:10,-1,Garek Droog Offensive Rebound.,18,27
6:06,-1,Garek Droog missed Jumper.,18,27
6:06,233,Tyler Hagedorn Block.,18,27
6:04,233,Carlton Hurst Defensive Rebound.,18,27
5:56,-1,Foul on Daniel Lindgren.,18,27
5:56,233,Triston Simpson missed Free Throw.,18,27
5:56,233,South Dakota Deadball Team Rebound.,18,27
5:56,233,Triston Simpson made Free Throw.,18,28
5:45,-1,Gonzalo Munez missed Three Point Jumper.,18,28
5:45,-1,Eric Staebler Offensive Rebound.,18,28
5:37,-1,Daniel Lindgren made Three Point Jumper. Assisted by Cameron Epps.,21,28
5:26,233,Matt Mooney missed Three Point Jumper.,21,28
5:26,233,Austin Sparks Offensive Rebound.,21,28
5:17,233,Nick Fuller missed Layup.,21,28
5:17,-1,Gonzalo Munez Defensive Rebound.,21,28
5:08,-1,Daymarcco Green made Layup.,23,28
5:01,233,Tyler Peterson made Layup. Assisted by Matt Mooney.,23,30
4:48,-1,Eric Staebler missed Layup.,23,30
4:48,233,Austin Sparks Block.,23,30
4:45,233,South Dakota Defensive Rebound.,23,30
4:28,-1,Foul on Michael Slaba.,23,30
4:28,233,Tyler Peterson made Free Throw.,23,31
4:28,233,Tyler Peterson missed Free Throw.,23,31
4:28,-1,Gonzalo Munez Defensive Rebound.,23,31
4:08,-1,Michael Slaba Turnover.,23,31
4:06,233,Tyler Peterson Steal.,23,31
4:01,233,Tyler Peterson missed Three Point Jumper.,23,31
4:01,-1,Gonzalo Munez Defensive Rebound.,23,31
3:50,-1,Gonzalo Munez made Three Point Jumper.,26,31
3:28,233,Austin Sparks Turnover.,26,31
3:28,233,Foul on Austin Sparks.,26,31
3:28,233,Official TV Timeout,26,31
3:15,-1,Gonzalo Munez made Three Point Jumper. Assisted by Jack Turnbull.,29,31
2:51,233,Matt Mooney made Three Point Jumper. Assisted by Carlton Hurst.,29,34
2:21,-1,Jack Turnbull missed Jumper.,29,34
2:21,233,Matt Mooney Defensive Rebound.,29,34
2:13,233,Matt Mooney missed Three Point Jumper.,29,34
2:13,-1,Gonzalo Munez Defensive Rebound.,29,34
2:06,233,Foul on Trey Burch-Manning.,29,34
2:06,-1,Gonzalo Munez missed Free Throw.,29,34
2:06,233,Tyler Hagedorn Defensive Rebound.,29,34
1:51,-1,Foul on Eric Staebler.,29,34
1:51,233,Tyler Hagedorn made Free Throw.,29,35
1:51,233,Tyler Hagedorn made Free Throw.,29,36
1:38,-1,Daniel Lindgren made Jumper.,31,36
1:25,233,Triston Simpson made Jumper. Assisted by Trey Burch-Manning.,31,38
1:00,-1,Garek Droog missed Jumper.,31,38
1:00,233,Tyler Hagedorn Block.,31,38
0:58,-1,Garek Droog Offensive Rebound.,31,38
0:56,-1,Garek Droog missed Jumper.,31,38
0:56,233,Tyler Hagedorn Defensive Rebound.,31,38
0:51,233,Tyler Hagedorn missed Three Point Jumper.,31,38
0:51,233,Triston Simpson Offensive Rebound.,31,38
0:46,-1,Foul on Michael Slaba.,31,38
0:46,233,Carlton Hurst made Free Throw.,31,39
0:46,233,Carlton Hurst made Free Throw.,31,40
0:30,-1,Daniel Lindgren missed Layup.,31,40
0:30,233,Tyler Hagedorn Block.,31,40
0:30,-1,Mayville St Offensive Rebound.,31,40
0:18,-1,Cameron Epps missed Three Point Jumper.,31,40
0:18,233,Matt Mooney Defensive Rebound.,31,40
0:03,233,Matt Mooney made Jumper.,31,42
0:00,233,End of 1st half,31,42
19:44,-1,Eric Staebler missed Jumper.,31,42
19:44,233,Tyler Hagedorn Block.,31,42
19:42,233,Tyler Hagedorn Defensive Rebound.,31,42
19:28,233,Trey Burch-Manning missed Jumper.,31,42
19:28,-1,Michael Slaba Defensive Rebound.,31,42
19:13,-1,Eric Staebler missed Jumper.,31,42
19:13,-1,Taylor Delaughter Offensive Rebound.,31,42
18:57,-1,Michael Slaba missed Jumper.,31,42
18:57,233,Trey Burch-Manning Defensive Rebound.,31,42
18:47,233,Matt Mooney made Jumper. Assisted by Triston Simpson.,31,44
18:30,233,Foul on Triston Simpson.,31,44
18:30,-1,Daniel Lindgren made Free Throw.,32,44
18:30,-1,Daniel Lindgren made Free Throw.,33,44
18:17,233,Trey Burch-Manning made Jumper.,33,46
18:17,-1,Foul on Taylor Delaughter.,33,46
18:17,-1,Mayville St  Timeout,33,46
18:17,233,Trey Burch-Manning made Free Throw.,33,47
18:08,-1,Eric Staebler made Layup. Assisted by Gorg Alhag.,35,47
17:51,233,Matt Mooney Turnover.,35,47
17:39,-1,Gonzalo Munez missed Three Point Jumper.,35,47
17:39,233,Trey Burch-Manning Defensive Rebound.,35,47
17:29,233,Tyler Hagedorn missed Jumper.,35,47
17:29,233,Tyler Hagedorn Offensive Rebound.,35,47
17:26,233,Tyler Hagedorn made Jumper.,35,49
17:03,-1,Gorg Alhag made Three Point Jumper. Assisted by Michael Slaba.,38,49
16:50,233,Tyler Hagedorn missed Three Point Jumper.,38,49
16:50,-1,Michael Slaba Defensive Rebound.,38,49
16:38,-1,Daniel Lindgren missed Three Point Jumper.,38,49
16:38,233,Trey Burch-Manning Defensive Rebound.,38,49
16:24,233,Trey Burch-Manning made Jumper.,38,51
16:04,-1,Michael Slaba missed Three Point Jumper.,38,51
16:04,-1,Eric Staebler Offensive Rebound.,38,51
15:59,-1,Eric Staebler made Jumper.,40,51
15:59,-1,Mayville St  Timeout,40,51
15:49,233,Trey Burch-Manning Turnover.,40,51
15:49,233,Foul on Trey Burch-Manning.,40,51
15:32,-1,Jack Turnbull made Three Point Jumper. Assisted by Daymarcco Green.,43,51
15:20,233,Carlton Hurst missed Layup.,43,51
15:20,233,Carlton Hurst Offensive Rebound.,43,51
15:17,233,Carlton Hurst missed Layup.,43,51
15:17,-1,Daniel Lindgren Block.,43,51
15:15,-1,Gorg Alhag Defensive Rebound.,43,51
15:08,-1,Daniel Lindgren missed Layup.,43,51
15:08,233,Carlton Hurst Defensive Rebound.,43,51
15:02,233,Matt Mooney missed Three Point Jumper.,43,51
15:02,233,South Dakota Offensive Rebound.,43,51
14:58,-1,Foul on Daymarcco Green.,43,51
14:52,-1,Foul on Gorg Alhag.,43,51
14:50,233,Trey Burch-Manning missed Jumper.,43,51
14:50,-1,Garek Droog Defensive Rebound.,43,51
14:34,-1,Garek Droog missed Jumper.,43,51
14:34,233,Trey Burch-Manning Defensive Rebound.,43,51
14:23,-1,Foul on Garek Droog.,43,51
14:23,233,Dan Jech made Free Throw.,43,52
14:23,233,Dan Jech made Free Throw.,43,53
14:07,-1,Jack Turnbull missed Three Point Jumper.,43,53
14:07,233,Matt Mooney Defensive Rebound.,43,53
14:01,233,Nick Fuller made Layup. Assisted by Matt Mooney.,43,55
13:49,-1,Cameron Epps missed Jumper.,43,55
13:49,233,Matt Mooney Defensive Rebound.,43,55
13:40,233,Matt Mooney Turnover.,43,55
13:26,-1,Daniel Lindgren made Jumper.,45,55
13:15,233,Dan Jech missed Jumper.,45,55
13:15,233,Carlton Hurst Offensive Rebound.,45,55
13:11,233,Carlton Hurst made Layup.,45,57
12:50,-1,Mayville St  Timeout,45,57
12:37,-1,Michael Slaba missed Jumper.,45,57
12:37,-1,Michael Slaba Offensive Rebound.,45,57
12:21,-1,Daniel Lindgren missed Three Point Jumper.,45,57
12:21,233,Nick Fuller Block.,45,57
12:17,233,Dan Jech Defensive Rebound.,45,57
12:13,233,Tyler Peterson made Three Point Jumper. Assisted by Triston Simpson.,45,60
11:39,-1,Eric Staebler made Layup. Assisted by Michael Slaba.,47,60
11:11,233,Triston Simpson missed Layup.,47,60
11:11,233,Dan Jech Offensive Rebound.,47,60
10:58,233,Tyler Peterson made Three Point Jumper. Assisted by Triston Simpson.,47,63
10:42,-1,Daniel Lindgren Turnover.,47,63
10:41,233,Tyler Peterson Steal.,47,63
10:41,-1,Foul on Michael Slaba.,47,63
10:41,233,Official TV Timeout,47,63
10:24,-1,Foul on Garek Droog.,47,63
10:24,233,Tyler Hagedorn missed Free Throw.,47,63
10:24,233,South Dakota Deadball Team Rebound.,47,63
10:24,233,Tyler Hagedorn made Free Throw.,47,64
10:00,-1,Konrad Bueckers Turnover.,47,64
9:58,233,Triston Simpson Steal.,47,64
9:57,233,Triston Simpson made Layup.,47,66
9:57,-1,Foul on Daymarcco Green.,47,66
9:57,233,Triston Simpson made Free Throw.,47,67
9:43,-1,Taylor Delaughter missed Three Point Jumper.,47,67
9:43,233,Triston Simpson Defensive Rebound.,47,67
9:32,233,Tyler Hagedorn Turnover.,47,67
9:30,-1,Taylor Delaughter Steal.,47,67
9:26,-1,Taylor Delaughter Turnover.,47,67
9:25,233,Joshua Doss Steal.,47,67
9:22,233,Joshua Doss made Dunk.,47,69
9:04,-1,Gorg Alhag made Layup.,49,69
8:55,233,Triston Simpson missed Jumper.,49,69
8:55,-1,Cameron Epps Defensive Rebound.,49,69
8:46,-1,Gorg Alhag missed Three Point Jumper.,49,69
8:46,-1,Mayville St Offensive Rebound.,49,69
8:42,-1,Gorg Alhag missed Layup.,49,69
8:42,233,Brandon Armstrong Defensive Rebound.,49,69
8:28,233,Joshua Doss Turnover.,49,69
8:21,-1,Cameron Epps missed Three Point Jumper.,49,69
8:21,-1,Daymarcco Green Offensive Rebound.,49,69
8:11,233,Foul on Logan Power.,49,69
8:04,-1,Cameron Epps missed Layup.,49,69
8:04,-1,Konrad Bueckers Offensive Rebound.,49,69
7:59,233,Foul on Austin Sparks.,49,69
7:59,233,Official TV Timeout,49,69
7:42,-1,Konrad Bueckers made Three Point Jumper. Assisted by Jack Turnbull.,52,69
7:28,233,Brandon Armstrong made Three Point Jumper. Assisted by Logan Power.,52,72
7:12,-1,Jack Turnbull missed Jumper.,52,72
7:12,233,Joshua Doss Defensive Rebound.,52,72
7:03,233,Brandon Armstrong made Three Point Jumper. Assisted by Logan Power.,52,75
6:48,-1,Gorg Alhag Turnover.,52,75
6:46,233,Brandon Armstrong Steal.,52,75
6:34,233,Logan Power missed Three Point Jumper.,52,75
6:34,-1,Jack Turnbull Defensive Rebound.,52,75
6:24,-1,Cameron Epps missed Three Point Jumper.,52,75
6:24,233,Tyler Peterson Defensive Rebound.,52,75
6:04,-1,Foul on Jack Turnbull.,52,75
6:04,233,Joshua Doss missed Free Throw.,52,75
6:04,233,South Dakota Deadball Team Rebound.,52,75
6:04,233,Joshua Doss made Free Throw.,52,76
5:43,-1,Max Cooper Turnover.,52,76
5:42,233,Brandon Armstrong Steal.,52,76
5:39,233,Brandon Armstrong made Layup.,52,78
5:31,-1,Gonzalo Munez missed Jumper.,52,78
5:31,233,Brandon Armstrong Defensive Rebound.,52,78
5:09,233,Logan Power missed Three Point Jumper.,52,78
5:09,233,Dan Jech Offensive Rebound.,52,78
5:05,233,Dan Jech made Jumper.,52,80
4:53,233,Foul on Jack Stensgard.,52,80
4:47,-1,Cameron Epps made Jumper.,54,80
4:30,233,Logan Power made Layup. Assisted by Josh Williams.,54,82
4:18,-1,Cameron Epps missed Jumper.,54,82
4:18,233,Logan Power Defensive Rebound.,54,82
4:13,233,Josh Williams Turnover.,54,82
4:01,-1,Cameron Epps missed Jumper.,54,82
4:01,233,Logan Power Defensive Rebound.,54,82
3:51,233,Dan Jech missed Jumper.,54,82
3:51,-1,Gonzalo Munez Defensive Rebound.,54,82
3:25,-1,Jacob Eaton missed Three Point Jumper.,54,82
3:25,233,Brandon Armstrong Defensive Rebound.,54,82
3:18,233,Josh Williams missed Three Point Jumper.,54,82
3:18,-1,Gonzalo Munez Defensive Rebound.,54,82
3:10,-1,Michael Slaba made Layup.,56,82
2:46,233,Jack Stensgard missed Three Point Jumper.,56,82
2:46,233,Logan Power Offensive Rebound.,56,82
2:41,233,Logan Power missed Jumper.,56,82
2:41,-1,Gonzalo Munez Defensive Rebound.,56,82
2:18,-1,Konrad Bueckers missed Three Point Jumper.,56,82
2:18,233,Jack Stensgard Defensive Rebound.,56,82
2:00,233,Jack Stensgard Turnover.,56,82
2:00,233,Official TV Timeout,56,82
1:52,-1,Jack Turnbull missed Three Point Jumper.,56,82
1:52,233,Austin Sparks Defensive Rebound.,56,82
1:40,-1,Foul on Max Cooper.,56,82
1:40,233,Austin Sparks missed Free Throw.,56,82
1:40,233,Logan Power Offensive Rebound.,56,82
1:27,233,Josh Williams made Layup.,56,84
1:10,-1,Jack Turnbull made Three Point Jumper. Assisted by Jacob Eaton.,59,84
0:40,233,Logan Power made Three Point Jumper. Assisted by Jack Stensgard.,59,87
0:25,-1,Max Cooper missed Jumper.,59,87
0:25,233,Logan Power Defensive Rebound.,59,87
0:00,233,End of Game,59,87
