Mississippi Valley State,252,BYU,2400
1:11,252,Foul on Kajon Brown.,20,42
0:49,2400,Nate Nahimy missed Three Point Jumper.,20,42
0:49,252,Yoeli Childs Defensive Rebound.,20,42
0:36,252,Elijah Bryant made Three Point Jumper.,20,45
0:28,252,Foul on Yoeli Childs.,20,45
0:28,2400,Jordan Evans missed Free Throw.,20,45
0:28,2400,Mississippi Valley State Deadball Team Rebound.,20,45
0:28,2400,Jordan Evans made Free Throw.,21,45
0:08,252,Payton Dastrup made Jumper. Assisted by Luke Worthington.,21,47
0:00,2400,Tereke Eckwood made Jumper.,23,47
0:00,252,End of 1st half,23,47
19:52,252,TJ Haws Turnover.,23,47
19:51,2400,Jordan Evans Steal.,23,47
19:48,252,Foul on TJ Haws.,23,47
19:48,2400,Jordan Evans made Free Throw.,24,47
19:48,2400,Jordan Evans missed Free Throw.,24,47
19:48,252,Yoeli Childs Defensive Rebound.,24,47
19:41,2400,Foul on Jordan Evans.,24,47
19:32,252,Yoeli Childs Turnover.,24,47
19:07,2400,Arinze Anakwenze missed Jumper.,24,47
19:07,252,Yoeli Childs Block.,24,47
19:06,252,Yoeli Childs Defensive Rebound.,24,47
18:43,252,Luke Worthington missed Jumper.,24,47
18:43,252,Elijah Bryant Offensive Rebound.,24,47
18:41,252,Elijah Bryant made Jumper.,24,49
18:25,2400,Arinze Anakwenze missed Jumper.,24,49
18:25,252,Yoeli Childs Block.,24,49
18:24,252,Luke Worthington Defensive Rebound.,24,49
18:12,252,TJ Haws made Three Point Jumper. Assisted by Zac Seljaas.,24,52
18:00,2400,Mississippi Valley State  Timeout,24,52
17:53,2400,Tereke Eckwood missed Jumper.,24,52
17:53,252,Yoeli Childs Defensive Rebound.,24,52
17:45,252,Luke Worthington made Layup. Assisted by Yoeli Childs.,24,54
17:36,2400,Gemaal Davis missed Jumper.,24,54
17:36,252,Elijah Bryant Defensive Rebound.,24,54
17:20,252,Zac Seljaas missed Three Point Jumper.,24,54
17:20,2400,Tereke Eckwood Defensive Rebound.,24,54
17:14,2400,Jordan Evans missed Three Point Jumper.,24,54
17:14,252,TJ Haws Defensive Rebound.,24,54
17:04,252,Yoeli Childs missed Three Point Jumper.,24,54
17:04,252,Luke Worthington Offensive Rebound.,24,54
16:53,252,Elijah Bryant made Three Point Jumper. Assisted by Yoeli Childs.,24,57
16:28,2400,Dante Scott made Three Point Jumper. Assisted by Jamal Watson.,27,57
16:08,252,Elijah Bryant made Three Point Jumper. Assisted by TJ Haws.,27,60
15:39,2400,Dante Scott missed Jumper.,27,60
15:39,252,Yoeli Childs Block.,27,60
15:37,252,Zac Seljaas Defensive Rebound.,27,60
15:32,252,Zac Seljaas missed Three Point Jumper.,27,60
15:32,2400,Dante Scott Defensive Rebound.,27,60
15:20,2400,Tereke Eckwood missed Jumper.,27,60
15:20,252,Yoeli Childs Block.,27,60
15:17,252,Elijah Bryant Defensive Rebound.,27,60
15:12,252,Luke Worthington made Layup. Assisted by Zac Seljaas.,27,62
15:02,2400,Mississippi Valley State  Timeout,27,62
14:53,2400,Gemaal Davis made Layup.,29,62
14:03,252,Yoeli Childs made Jumper. Assisted by Dalton Nixon.,29,64
13:45,2400,Jamal Watson made Jumper.,31,64
13:31,252,Elijah Bryant made Three Point Jumper. Assisted by TJ Haws.,31,67
13:23,2400,LaCurtis Allen missed Layup.,31,67
13:23,252,Yoeli Childs Block.,31,67
13:22,252,Yoeli Childs Defensive Rebound.,31,67
12:58,252,Yoeli Childs Turnover.,31,67
12:57,2400,Nate Nahimy Steal.,31,67
12:51,2400,Jeffery Lewis made Three Point Jumper. Assisted by Nate Nahimy.,34,67
12:33,252,Yoeli Childs made Jumper. Assisted by TJ Haws.,34,69
12:23,2400,Gemaal Davis missed Jumper.,34,69
12:23,252,TJ Haws Block.,34,69
12:22,252,Yoeli Childs Defensive Rebound.,34,69
11:55,252,Dalton Nixon made Layup. Assisted by Jahshire Hardnett.,34,71
11:39,2400,Nate Nahimy made Jumper.,36,71
11:22,252,Yoeli Childs missed Layup.,36,71
11:22,252,Dalton Nixon Offensive Rebound.,36,71
11:20,252,Dalton Nixon made Jumper.,36,73
11:09,2400,Nate Nahimy missed Three Point Jumper.,36,73
11:09,252,Elijah Bryant Defensive Rebound.,36,73
10:43,252,TJ Haws missed Jumper.,36,73
10:43,2400,Mississippi Valley State Defensive Rebound.,36,73
10:41,252,Official TV Timeout,36,73
10:26,2400,Jeffery Lewis missed Three Point Jumper.,36,73
10:26,252,BYU Defensive Rebound.,36,73
9:57,252,Kajon Brown missed Three Point Jumper.,36,73
9:57,2400,LaCurtis Allen Defensive Rebound.,36,73
9:33,252,Foul on TJ Haws.,36,73
9:16,2400,LaCurtis Allen Turnover.,36,73
9:14,252,Kajon Brown Steal.,36,73
9:12,252,TJ Haws made Layup.,36,75
9:12,2400,Foul on Jeffery Lewis.,36,75
9:12,252,TJ Haws made Free Throw.,36,76
8:57,2400,Arinze Anakwenze made Jumper. Assisted by Jordan Evans.,38,76
8:34,252,Yoeli Childs made Jumper.,38,78
8:11,2400,Dante Scott missed Jumper.,38,78
8:11,2400,Dante Scott Offensive Rebound.,38,78
8:08,2400,Dante Scott made Jumper.,40,78
7:44,252,Yoeli Childs made Jumper.,40,80
7:44,2400,Foul on Arinze Anakwenze.,40,80
7:44,252,Official TV Timeout,40,80
7:44,252,Yoeli Childs made Free Throw.,40,81
7:28,252,Foul on Kajon Brown.,40,81
7:20,2400,Tereke Eckwood made Three Point Jumper. Assisted by Dante Scott.,43,81
7:18,252,Foul on Kajon Brown.,43,81
7:18,252,Kajon Brown Turnover.,43,81
7:13,2400,Dante Scott made Three Point Jumper. Assisted by Jordan Evans.,46,81
6:48,2400,Foul on Jordan Evans.,46,81
6:48,252,Luke Worthington missed Free Throw.,46,81
6:48,252,BYU Deadball Team Rebound.,46,81
6:48,252,Luke Worthington missed Free Throw.,46,81
6:48,2400,Emmanuel Ejeh Defensive Rebound.,46,81
6:42,252,Foul on Rylan Bergersen.,46,81
6:35,2400,Tereke Eckwood made Three Point Jumper.,49,81
6:11,252,Zac Seljaas made Layup.,49,83
5:54,252,Foul on Luke Worthington.,49,83
5:50,2400,Jordan Evans missed Jumper.,49,83
5:50,252,Payton Dastrup Block.,49,83
5:50,2400,Mississippi Valley State Offensive Rebound.,49,83
5:42,252,Foul on Rylan Bergersen.,49,83
5:42,2400,Tereke Eckwood made Free Throw.,50,83
5:42,2400,Tereke Eckwood made Free Throw.,51,83
5:34,252,Zac Seljaas Turnover.,51,83
5:17,252,Foul on Rylan Bergersen.,51,83
5:17,2400,Tereke Eckwood made Free Throw.,52,83
5:17,2400,Tereke Eckwood made Free Throw.,53,83
4:58,252,Zac Seljaas missed Three Point Jumper.,53,83
4:58,252,Dalton Nixon Offensive Rebound.,53,83
4:58,2400,Foul on Dante Scott.,53,83
4:58,252,BYU  Timeout,53,83
4:56,2400,Foul on LaCurtis Allen.,53,83
4:49,252,Rylan Bergersen made Three Point Jumper. Assisted by Dalton Nixon.,53,86
4:26,2400,Dante Scott made Jumper.,55,86
4:09,252,Rylan Bergersen Turnover.,55,86
3:52,2400,Dante Scott missed Jumper.,55,86
3:52,252,Zac Seljaas Defensive Rebound.,55,86
3:50,2400,Foul on Tereke Eckwood.,55,86
3:50,252,Official TV Timeout,55,86
3:50,252,Zac Seljaas missed Free Throw.,55,86
3:50,2400,Mississippi Valley State Defensive Rebound.,55,86
3:32,2400,Jeffery Lewis Turnover.,55,86
3:31,252,Payton Dastrup Steal.,55,86
3:21,252,Dalton Nixon missed Jumper.,55,86
3:21,252,Dalton Nixon Offensive Rebound.,55,86
3:13,252,Rylan Bergersen missed Three Point Jumper.,55,86
3:13,2400,Mississippi Valley State Defensive Rebound.,55,86
2:45,2400,Tereke Eckwood missed Jumper.,55,86
2:45,252,Jahshire Hardnett Defensive Rebound.,55,86
2:25,2400,Foul on LaCurtis Allen.,55,86
2:25,252,Evan Troy missed Free Throw.,55,86
2:25,2400,Tereke Eckwood Defensive Rebound.,55,86
2:19,2400,Dante Scott made Three Point Jumper. Assisted by Tereke Eckwood.,58,86
1:55,252,Evan Troy missed Three Point Jumper.,58,86
1:55,252,Payton Dastrup Offensive Rebound.,58,86
1:55,2400,Foul on Tereke Eckwood.,58,86
1:55,252,Payton Dastrup made Free Throw.,58,87
1:55,252,Payton Dastrup missed Free Throw.,58,87
1:55,2400,Nate Nahimy Defensive Rebound.,58,87
1:40,252,Foul on Payton Dastrup.,58,87
1:40,2400,Gemaal Davis missed Free Throw.,58,87
1:40,2400,Mississippi Valley State Deadball Team Rebound.,58,87
1:40,2400,Gemaal Davis made Free Throw.,59,87
1:09,252,Kajon Brown made Layup.,59,89
0:55,2400,Kaleb Allison missed Jumper.,59,89
0:55,252,Payton Dastrup Block.,59,89
0:53,252,Payton Dastrup Defensive Rebound.,59,89
0:30,252,Payton Dastrup made Jumper.,59,91
0:00,2400,Nate Nahimy made Jumper.,61,91
0:00,252,End of Game,61,91
