Johnson Univ (TN),Error,Presbyterian,2506
16:34,2506,Jaron Withers Turnover.,51,58
16:12,2506,Foul on Davon Bell.,51,58
16:12,-1,Tyler Champan made Free Throw.,52,58
16:12,-1,Tyler Champan made Free Throw.,53,58
15:59,2506,Reggie Dillard missed Layup.,53,58
15:59,-1,Kenton Gullion Defensive Rebound.,53,58
15:51,2506,Foul on Montenia Nelson.,53,58
15:51,2506,Official TV Timeout,53,58
15:51,-1,Taylor Gilpin made Free Throw.,54,58
15:51,-1,Taylor Gilpin missed Free Throw.,54,58
15:51,-1,Johnson University Deadball Team Rebound.,54,58
15:51,-1,Taylor Gilpin made Free Throw.,55,58
15:31,-1,Foul on Taylor Gilpin.,55,58
15:31,2506,Montenia Nelson made Free Throw.,55,59
15:31,2506,Montenia Nelson missed Free Throw.,55,59
15:31,-1,Tyler Champan Defensive Rebound.,55,59
15:15,-1,Tyler Champan missed Three Point Jumper.,55,59
15:15,2506,JC Younger Defensive Rebound.,55,59
15:05,2506,Reggie Dillard missed Three Point Jumper.,55,59
15:05,2506,Jaron Withers Offensive Rebound.,55,59
14:57,2506,Montenia Nelson missed Layup.,55,59
14:57,-1,Brett Camp Defensive Rebound.,55,59
14:53,-1,Brett Camp Turnover.,55,59
14:38,2506,Reggie Dillard Turnover.,55,59
14:25,-1,Taylor Cresswell made Jumper. Assisted by Trent Flemming.,57,59
14:15,-1,Foul on Tyler Champan.,57,59
14:15,2506,Francois Lewis made Free Throw.,57,60
14:15,2506,Francois Lewis made Free Throw.,57,61
14:06,-1,Kenny White missed Layup.,57,61
14:06,2506,Reggie Dillard Block.,57,61
14:04,2506,Francois Lewis Defensive Rebound.,57,61
14:00,2506,Reggie Dillard made Layup.,57,63
13:49,-1,Kenny White made Layup.,59,63
13:33,2506,Ethan Kay missed Three Point Jumper.,59,63
13:33,-1,Kenny White Defensive Rebound.,59,63
13:20,-1,Kenny White made Jumper.,61,63
13:06,2506,Romeo Crouch made Layup.,61,65
12:54,-1,Kenny White missed Three Point Jumper.,61,65
12:54,-1,Taylor Cresswell Offensive Rebound.,61,65
12:52,-1,Taylor Cresswell made Layup.,63,65
12:14,2506,Jaron Withers missed Jumper.,63,65
12:14,-1,Johnson University Defensive Rebound.,63,65
12:14,2506,Foul on Francois Lewis.,63,65
11:53,-1,Kenton Gullion made Three Point Jumper. Assisted by Taylor Cresswell.,66,65
11:36,2506,Davon Bell missed Layup.,66,65
11:36,2506,Armel TeTe Offensive Rebound.,66,65
11:33,2506,Armel TeTe missed Layup.,66,65
11:33,2506,Ruben Arroyo Offensive Rebound.,66,65
11:31,2506,Ruben Arroyo made Layup.,66,67
11:21,-1,Taylor Cresswell missed Three Point Jumper.,66,67
11:21,-1,Trent Flemming Offensive Rebound.,66,67
11:17,-1,Taylor Gilpin made Three Point Jumper. Assisted by Trent Flemming.,69,67
10:52,2506,Davon Bell made Layup.,69,69
10:52,-1,Foul on Kenton Gullion.,69,69
10:52,2506,Official TV Timeout,69,69
10:52,2506,Davon Bell missed Free Throw.,69,69
10:52,-1,Taylor Gilpin Defensive Rebound.,69,69
10:37,-1,Trent Flemming Turnover.,69,69
10:24,2506,Ruben Arroyo made Layup.,69,71
10:04,-1,Taylor Cresswell missed Three Point Jumper.,69,71
10:04,2506,JC Younger Defensive Rebound.,69,71
9:55,2506,Davon Bell missed Jumper.,69,71
9:55,-1,Brett Camp Defensive Rebound.,69,71
9:39,-1,Foul on Cody Mcclain.,69,71
9:39,-1,Cody Mcclain Turnover.,69,71
9:30,2506,Davon Bell made Layup.,69,73
9:30,-1,Foul on Taylor Cresswell.,69,73
9:30,2506,Davon Bell made Free Throw.,69,74
9:30,-1,Taylor Gilpin made Jumper.,71,74
9:30,2506,Davon Bell missed Layup.,71,74
9:30,2506,Ruben Arroyo Offensive Rebound.,71,74
9:24,-1,Foul on Kenton Gullion.,71,74
9:12,2506,Ruben Arroyo made Free Throw.,71,75
9:05,2506,Ruben Arroyo missed Free Throw.,71,75
9:05,-1,Johnson University Defensive Rebound.,71,75
9:05,2506,Foul on JC Younger.,71,75
8:55,-1,Taylor Gilpin made Three Point Jumper.,74,75
8:45,2506,Foul on Reggie Dillard.,74,75
8:45,2506,Reggie Dillard Turnover.,74,75
8:35,-1,Cody Mcclain missed Three Point Jumper.,74,75
8:35,2506,Ruben Arroyo Defensive Rebound.,74,75
8:22,2506,Reggie Dillard missed Three Point Jumper.,74,75
8:22,-1,Taylor Gilpin Defensive Rebound.,74,75
8:11,-1,Taylor Gilpin made Jumper.,76,75
8:09,2506,Presbyterian  Timeout,76,75
8:03,2506,Davon Bell made Layup.,76,77
7:34,2506,Official TV Timeout,76,77
7:28,-1,Taylor Gilpin Turnover.,76,77
7:09,-1,Foul on Taylor Gilpin.,76,77
7:09,2506,Reggie Dillard made Free Throw.,76,78
7:09,2506,Reggie Dillard made Free Throw.,76,79
7:01,-1,Jake Blaylock Turnover.,76,79
6:35,2506,Ruben Arroyo missed Layup.,76,79
6:35,-1,Cody Mcclain Defensive Rebound.,76,79
6:29,-1,Kenny White Turnover.,76,79
6:02,2506,Reggie Dillard made Jumper.,76,81
5:43,-1,Kenny White missed Layup.,76,81
5:43,2506,Reggie Dillard Defensive Rebound.,76,81
5:37,2506,Reggie Dillard made Layup.,76,83
5:29,-1,Johnson University  Timeout,76,83
5:00,-1,Jake Blaylock missed Layup.,76,83
5:00,2506,Francois Lewis Defensive Rebound.,76,83
4:49,-1,Foul on Ed Kalu.,76,83
4:49,2506,Francois Lewis made Free Throw.,76,84
4:49,2506,Francois Lewis missed Free Throw.,76,84
4:49,2506,Jaron Withers Offensive Rebound.,76,84
4:49,2506,Davon Bell missed Three Point Jumper.,76,84
4:49,2506,JC Younger Offensive Rebound.,76,84
4:45,-1,Foul on Ed Kalu.,76,84
4:43,2506,JC Younger made Free Throw.,76,85
4:43,2506,JC Younger missed Free Throw.,76,85
4:43,2506,Presbyterian Deadball Team Rebound.,76,85
4:43,-1,Foul on Ed Kalu.,76,85
4:43,2506,Francois Lewis missed Free Throw.,76,85
4:43,2506,Presbyterian Deadball Team Rebound.,76,85
4:43,2506,Francois Lewis made Free Throw.,76,86
4:34,-1,Kenny White missed Jumper.,76,86
4:34,2506,Francois Lewis Defensive Rebound.,76,86
4:26,2506,Davon Bell made Layup.,76,88
4:18,2506,Foul on Davon Bell.,76,88
4:18,-1,Taylor Gilpin made Free Throw.,77,88
4:18,-1,Taylor Gilpin made Free Throw.,78,88
3:51,2506,Romeo Crouch made Three Point Jumper. Assisted by Jaron Withers.,78,91
3:40,-1,Kenton Gullion missed Three Point Jumper.,78,91
3:40,2506,JC Younger Defensive Rebound.,78,91
3:31,-1,Foul on Taylor Cresswell.,78,91
3:28,2506,Official TV Timeout,78,91
3:28,2506,Francois Lewis missed Free Throw.,78,91
3:28,2506,Presbyterian Deadball Team Rebound.,78,91
3:28,2506,Francois Lewis made Free Throw.,78,92
3:11,-1,Taylor Gilpin missed Three Point Jumper.,78,92
3:11,2506,Reggie Dillard Defensive Rebound.,78,92
3:01,2506,Reggie Dillard missed Layup.,78,92
3:01,2506,Francois Lewis Offensive Rebound.,78,92
2:59,2506,Francois Lewis made Layup.,78,94
2:59,-1,Foul on Taylor Cresswell.,78,94
2:59,2506,Francois Lewis missed Free Throw.,78,94
2:59,-1,Kenton Gullion Defensive Rebound.,78,94
2:50,2506,Foul on Reggie Dillard.,78,94
2:50,-1,Kenny White made Free Throw.,79,94
2:50,-1,Kenny White made Free Throw.,80,94
2:42,2506,Jaron Withers made Layup.,80,96
2:30,-1,Kenny White made Jumper.,82,96
2:17,2506,JC Younger made Layup.,82,98
2:07,2506,Foul on Jaron Withers.,82,98
2:07,-1,Taylor Gilpin made Free Throw.,83,98
2:07,-1,Taylor Gilpin made Free Throw.,84,98
1:57,2506,Francois Lewis made Layup. Assisted by Reggie Dillard.,84,100
1:48,2506,Foul on Reggie Dillard.,84,100
1:48,-1,Kenny White missed Free Throw.,84,100
1:48,-1,Johnson University Deadball Team Rebound.,84,100
1:48,-1,Kenny White made Free Throw.,85,100
1:48,2506,Davon Bell made Three Point Jumper. Assisted by Francois Lewis.,85,103
1:48,-1,Kenny White made Layup.,87,103
1:41,-1,Johnson University  Timeout,87,103
0:56,2506,Davon Bell made Layup.,87,105
0:48,-1,Brett Camp missed Three Point Jumper.,87,105
0:48,2506,JC Younger Defensive Rebound.,87,105
0:31,2506,Francois Lewis made Layup.,87,107
0:16,-1,Trent Flemming missed Jumper.,87,107
0:16,2506,Jaron Withers Defensive Rebound.,87,107
0:00,2506,End of Game,87,107
