North Dakota State,2540,UC Santa Barbara,2449
12:36,2540,Jarriesse Blackmon Block.,12,16
12:36,2449,North Dakota State Offensive Rebound.,12,16
12:18,2449,Jared Samuelson missed Three Point Jumper.,12,16
12:18,2449,Tyson Ward Offensive Rebound.,12,16
12:13,2449,Tyson Ward made Layup.,14,16
11:54,2449,Foul on Tyson Ward.,14,16
11:54,2540,Ami Lakoju made Free Throw.,14,17
11:54,2540,Ami Lakoju missed Free Throw.,14,17
11:54,2449,Dylan Miller Defensive Rebound.,14,17
11:38,2449,Tyson Ward made Three Point Jumper. Assisted by A.J. Jacobson.,17,17
11:17,2540,Max Heidegger missed Jumper.,17,17
11:17,2449,Dylan Miller Block.,17,17
11:15,2540,Ami Lakoju Offensive Rebound.,17,17
11:11,2540,Leland King Ii made Jumper.,17,19
10:45,2449,Cameron Hunter made Jumper.,19,19
10:43,2540,Foul on Gabe Vincent.,19,19
10:25,2449,Cameron Hunter missed Jumper.,19,19
10:25,2449,Tyson Ward Offensive Rebound.,19,19
10:22,2449,Tyson Ward Turnover.,19,19
10:22,2449,Foul on Tyson Ward.,19,19
10:03,2540,Jalen Canty Turnover.,19,19
9:42,2449,A.J. Jacobson made Layup.,21,19
9:15,2540,Jarriesse Blackmon missed Three Point Jumper.,21,19
9:15,2449,A.J. Jacobson Defensive Rebound.,21,19
8:52,2449,Paul Miller missed Jumper.,21,19
8:52,2540,Jalen Canty Defensive Rebound.,21,19
8:40,2540,Gabe Vincent Turnover.,21,19
8:35,2449,Paul Miller Turnover.,21,19
8:15,2449,Foul on Rocky Kreuser.,21,19
8:15,2540,Jalen Canty made Free Throw.,21,20
8:15,2540,Jalen Canty made Free Throw.,21,21
7:57,2449,Chris Quayle missed Three Point Jumper.,21,21
7:57,2449,Deng Geu Offensive Rebound.,21,21
7:54,2540,Foul on Brandon Davis.,21,21
7:46,2540,Foul on Clifton Powell Jr..,21,21
7:37,2449,Deng Geu made Layup.,23,21
7:21,2449,Foul on Jared Samuelson.,23,21
7:21,2540,Max Heidegger made Free Throw.,23,22
7:21,2540,Max Heidegger made Free Throw.,23,23
7:21,2540,Max Heidegger made Free Throw.,23,24
7:06,2449,Deng Geu missed Three Point Jumper.,23,24
7:06,2540,Brandon Davis Defensive Rebound.,23,24
6:51,2540,Leland King Ii made Layup. Assisted by Brandon Davis.,23,26
6:35,2449,Paul Miller made Layup.,25,26
6:11,2449,Foul on Deng Geu.,25,26
6:11,2540,Max Heidegger made Free Throw.,25,27
6:11,2540,Max Heidegger made Free Throw.,25,28
6:06,2540,Foul on Sam Walters.,25,28
6:06,2449,Cameron Hunter made Free Throw.,26,28
6:06,2449,Cameron Hunter made Free Throw.,27,28
5:55,2540,Max Heidegger missed Three Point Jumper.,27,28
5:55,2540,UC Santa Barbara Offensive Rebound.,27,28
5:42,2540,Jalen Canty Turnover.,27,28
5:39,2449,Chris Quayle Steal.,27,28
5:19,2449,Paul Miller missed Three Point Jumper.,27,28
5:19,2540,Leland King Ii Defensive Rebound.,27,28
4:45,2540,Jalen Canty missed Layup.,27,28
4:45,2449,Spencer Eliason Defensive Rebound.,27,28
4:33,2449,A.J. Jacobson missed Layup.,27,28
4:33,2540,Brandon Davis Defensive Rebound.,27,28
4:26,2540,Leland King Ii missed Three Point Jumper.,27,28
4:26,2449,Chris Quayle Defensive Rebound.,27,28
4:00,2449,A.J. Jacobson Turnover.,27,28
3:56,2540,Brandon Davis Steal.,27,28
3:54,2540,Max Heidegger missed Three Point Jumper.,27,28
3:54,2540,Jalen Canty Offensive Rebound.,27,28
3:48,2540,Jalen Canty missed Layup.,27,28
3:48,2449,Cameron Hunter Defensive Rebound.,27,28
3:35,2540,Foul on Jalen Canty.,27,28
3:35,2449,Spencer Eliason made Free Throw.,28,28
3:35,2449,Spencer Eliason missed Free Throw.,28,28
3:35,2540,Gabe Vincent Defensive Rebound.,28,28
3:35,2540,Leland King Ii made Three Point Jumper. Assisted by Gabe Vincent.,28,31
2:59,2449,Cameron Hunter missed Layup.,28,31
2:59,2540,Leland King Ii Defensive Rebound.,28,31
2:59,2449,Foul on Rocky Kreuser.,28,31
2:59,2540,Leland King Ii made Free Throw.,28,32
2:59,2540,Leland King Ii missed Free Throw.,28,32
2:59,2449,Dylan Miller Defensive Rebound.,28,32
2:48,2449,Rocky Kreuser missed Three Point Jumper.,28,32
2:48,2540,Leland King Ii Defensive Rebound.,28,32
2:39,2540,Max Heidegger made Three Point Jumper. Assisted by Gabe Vincent.,28,35
2:04,2449,Paul Miller Turnover.,28,35
1:46,2540,Max Heidegger made Three Point Jumper.,28,38
1:27,2449,Chris Quayle made Three Point Jumper. Assisted by A.J. Jacobson.,31,38
1:07,2540,Gabe Vincent missed Jumper.,31,38
1:07,2540,Ami Lakoju Offensive Rebound.,31,38
1:01,2540,Ami Lakoju made Jumper.,31,40
0:46,2449,Cameron Hunter Turnover.,31,40
0:46,2449,Foul on Cameron Hunter.,31,40
0:27,2540,Leland King Ii missed Jumper.,31,40
0:27,2449,A.J. Jacobson Defensive Rebound.,31,40
0:01,2449,Paul Miller missed Layup.,31,40
0:01,2540,Leland King Ii Defensive Rebound.,31,40
0:00,2540,End of 1st half,31,40
19:34,2449,Jared Samuelson missed Three Point Jumper.,31,40
19:34,2540,Jalen Canty Defensive Rebound.,31,40
19:07,2540,Max Heidegger made Three Point Jumper. Assisted by Gabe Vincent.,31,43
18:43,2449,A.J. Jacobson made Layup. Assisted by Jared Samuelson.,33,43
18:29,2540,Max Heidegger missed Three Point Jumper.,33,43
18:29,2449,North Dakota State Defensive Rebound.,33,43
18:07,2449,A.J. Jacobson made Three Point Jumper. Assisted by Paul Miller.,36,43
17:48,2449,Foul on Dylan Miller.,36,43
17:48,2540,Jalen Canty missed Free Throw.,36,43
17:48,2540,UC Santa Barbara Deadball Team Rebound.,36,43
17:47,2540,Jalen Canty made Free Throw.,36,44
17:25,2449,Paul Miller missed Jumper.,36,44
17:25,2449,Deng Geu Offensive Rebound.,36,44
17:22,2449,Deng Geu missed Layup.,36,44
17:22,2540,Jalen Canty Block.,36,44
17:18,2540,Jalen Canty Defensive Rebound.,36,44
17:13,2540,Christian Terrell made Layup.,36,46
16:55,2449,Tyson Ward missed Three Point Jumper.,36,46
16:55,2540,Max Heidegger Defensive Rebound.,36,46
16:44,2540,Leland King Ii made Three Point Jumper. Assisted by Christian Terrell.,36,49
16:33,2449,North Dakota State  Timeout,36,49
16:23,2449,Dylan Miller missed Three Point Jumper.,36,49
16:23,2540,Leland King Ii Defensive Rebound.,36,49
16:15,2540,Max Heidegger made Three Point Jumper.,36,52
15:52,2449,Paul Miller missed Three Point Jumper.,36,52
15:52,2540,Max Heidegger Defensive Rebound.,36,52
15:29,2540,Max Heidegger made Jumper.,36,54
15:20,2540,Foul on Max Heidegger.,36,54
15:20,2449,Deng Geu missed Free Throw.,36,54
15:20,2449,North Dakota State Deadball Team Rebound.,36,54
15:20,2449,Deng Geu made Free Throw.,37,54
14:59,2540,Jalen Canty missed Jumper.,37,54
14:59,2540,Jalen Canty Offensive Rebound.,37,54
14:56,2449,Foul on Spencer Eliason.,37,54
14:51,2540,Christian Terrell Turnover.,37,54
14:27,2449,Deng Geu made Dunk. Assisted by Paul Miller.,39,54
14:08,2540,Clifton Powell Jr. made Jumper. Assisted by Max Heidegger.,39,56
13:47,2540,Foul on Jalen Canty.,39,56
13:35,2449,Cameron Hunter made Three Point Jumper.,42,56
13:35,2540,Foul on Brandon Davis.,42,56
13:35,2449,Cameron Hunter made Free Throw.,43,56
13:19,2540,Leland King Ii made Jumper. Assisted by Brandon Davis.,43,58
13:06,2449,Cameron Hunter missed Three Point Jumper.,43,58
13:06,2540,Leland King Ii Defensive Rebound.,43,58
12:48,2540,Alex Hart missed Layup.,43,58
12:48,2449,Spencer Eliason Defensive Rebound.,43,58
12:39,2540,Foul on Christian Terrell.,43,58
12:22,2449,Cameron Hunter missed Jumper.,43,58
12:22,2540,Leland King Ii Defensive Rebound.,43,58
12:16,2449,Foul on A.J. Jacobson.,43,58
12:16,2540,Leland King Ii missed Free Throw.,43,58
12:16,2540,UC Santa Barbara Deadball Team Rebound.,43,58
12:16,2540,Leland King Ii made Free Throw.,43,59
11:54,2449,Paul Miller made Jumper.,45,59
11:43,2540,Leland King Ii missed Jumper.,45,59
11:43,2540,Jarriesse Blackmon Offensive Rebound.,45,59
11:28,2540,Leland King Ii missed Jumper.,45,59
11:28,2449,Chris Quayle Defensive Rebound.,45,59
11:17,2449,A.J. Jacobson missed Three Point Jumper.,45,59
11:17,2540,Brandon Davis Defensive Rebound.,45,59
10:43,2540,Leland King Ii Turnover.,45,59
10:43,2540,Foul on Leland King Ii.,45,59
10:43,2540,Official TV Timeout,45,59
10:27,2449,Deng Geu made Layup.,47,59
10:07,2540,Gabe Vincent made Layup. Assisted by Jalen Canty.,47,61
9:56,2449,Deng Geu made Dunk. Assisted by Tyson Ward.,49,61
9:38,2540,Max Heidegger made Jumper. Assisted by Gabe Vincent.,49,63
9:16,2449,Paul Miller missed Layup.,49,63
9:16,2540,Leland King Ii Defensive Rebound.,49,63
9:10,2449,Foul on Chris Quayle.,49,63
9:00,2540,Jalen Canty made Jumper. Assisted by Gabe Vincent.,49,65
8:56,2449,Foul on Deng Geu.,49,65
8:56,2540,Jalen Canty made Free Throw.,49,66
8:40,2449,Tyson Ward missed Jumper.,49,66
8:40,2540,Christian Terrell Block.,49,66
8:37,2540,Christian Terrell Defensive Rebound.,49,66
8:35,2540,Gabe Vincent missed Jumper.,49,66
8:35,2449,Paul Miller Defensive Rebound.,49,66
8:30,2540,Christian Terrell missed Layup.,49,66
8:30,2449,Tyson Ward Block.,49,66
8:28,2449,Paul Miller made Free Throw.,50,66
8:28,2449,Paul Miller made Free Throw.,51,66
8:28,2540,Foul on Maxwell Kupchak.,49,66
8:28,2540,UC Santa Barbara Offensive Rebound.,49,66
8:08,2540,Jalen Canty made Jumper. Assisted by Max Heidegger.,51,68
7:56,2449,Tyson Ward made Three Point Jumper. Assisted by Paul Miller.,54,68
7:36,2449,Foul on Rocky Kreuser.,54,68
7:35,2449,Foul on A.J. Jacobson.,54,68
7:35,2540,Leland King Ii made Free Throw.,54,69
7:35,2540,Leland King Ii made Free Throw.,54,70
7:17,2449,A.J. Jacobson made Three Point Jumper. Assisted by Tyson Ward.,57,70
6:49,2540,Max Heidegger missed Jumper.,57,70
6:49,2449,Paul Miller Defensive Rebound.,57,70
6:47,2540,Foul on Ami Lakoju.,57,70
6:47,2449,Spencer Eliason missed Free Throw.,57,70
6:47,2540,Christian Terrell Defensive Rebound.,57,70
6:37,2540,Max Heidegger missed Three Point Jumper.,57,70
6:37,2449,Paul Miller Defensive Rebound.,57,70
6:20,2449,Tyson Ward missed Layup.,57,70
6:20,2540,Max Heidegger Defensive Rebound.,57,70
6:06,2540,Max Heidegger missed Three Point Jumper.,57,70
6:06,2449,A.J. Jacobson Defensive Rebound.,57,70
5:59,2540,Foul on Ami Lakoju.,57,70
5:59,2540,Official TV Timeout,57,70
5:59,2449,Paul Miller made Free Throw.,58,70
5:59,2449,Paul Miller made Free Throw.,59,70
5:36,2540,Jalen Canty missed Jumper.,59,70
5:36,2449,Paul Miller Defensive Rebound.,59,70
5:21,2540,Foul on Christian Terrell.,59,70
5:21,2449,Paul Miller made Free Throw.,60,70
5:21,2449,Paul Miller made Free Throw.,61,70
5:06,2540,Max Heidegger made Three Point Jumper. Assisted by Brandon Davis.,61,73
5:02,2540,UC Santa Barbara  Timeout,61,73
4:43,2449,Paul Miller missed Jumper.,61,73
4:43,2540,Christian Terrell Defensive Rebound.,61,73
4:25,2540,Jalen Canty Turnover.,61,73
4:24,2449,Paul Miller Steal.,61,73
4:20,2540,Foul on Brandon Davis.,61,73
4:20,2449,Cameron Hunter missed Free Throw.,61,73
4:20,2449,North Dakota State Deadball Team Rebound.,61,73
4:20,2449,Cameron Hunter made Free Throw.,62,73
3:53,2449,Foul on Deng Geu.,62,73
3:53,2540,Official TV Timeout,62,73
3:53,2540,Leland King Ii made Free Throw.,62,74
3:53,2540,Leland King Ii made Free Throw.,62,75
3:39,2540,Foul on Gabe Vincent.,62,75
3:39,2449,Paul Miller made Free Throw.,63,75
3:39,2449,Paul Miller made Free Throw.,64,75
3:13,2540,Gabe Vincent missed Three Point Jumper.,64,75
3:13,2540,Jalen Canty Offensive Rebound.,64,75
3:06,2540,Leland King Ii made Three Point Jumper. Assisted by Gabe Vincent.,64,78
2:49,2449,Paul Miller missed Jumper.,64,78
2:49,2540,Jalen Canty Defensive Rebound.,64,78
2:20,2540,Gabe Vincent made Layup. Assisted by Leland King Ii.,64,80
2:08,2449,A.J. Jacobson missed Three Point Jumper.,64,80
2:08,2540,Gabe Vincent Defensive Rebound.,64,80
1:49,2449,Foul on A.J. Jacobson.,64,80
1:47,2540,Leland King Ii missed Free Throw.,64,80
1:47,2449,Spencer Eliason Defensive Rebound.,64,80
1:36,2449,Tyson Ward Turnover.,64,80
1:23,2540,Max Heidegger made Three Point Jumper. Assisted by Gabe Vincent.,64,83
1:05,2449,Cameron Hunter made Jumper.,66,83
0:52,2449,Foul on Tyson Ward.,66,83
0:52,2540,Christian Terrell made Free Throw.,66,84
0:52,2540,Christian Terrell made Free Throw.,66,85
0:40,2449,Chris Quayle missed Jumper.,66,85
0:40,2540,Leland King Ii Defensive Rebound.,66,85
0:05,2540,Brandon Davis missed Jumper.,66,85
0:05,2449,North Dakota State Defensive Rebound.,66,85
0:00,2449,Cameron Hunter missed Three Point Jumper.,66,85
0:00,2540,UC Santa Barbara Defensive Rebound.,66,85
0:00,2540,End of Game,66,85
