Notre Dame,305,DePaul,87
14:43,305,DePaul Defensive Rebound.,9,4
14:41,87,Foul on Elijah Burns.,9,4
14:22,305,Tre'Darius McCallum made Three Point Jumper. Assisted by Brandon Cyrus.,9,7
14:00,87,Temple Gibbs missed Three Point Jumper.,9,7
14:00,87,Bonzie Colson Offensive Rebound.,9,7
13:53,87,Bonzie Colson made Jumper.,11,7
13:38,305,Max Strus missed Three Point Jumper.,11,7
13:38,87,D.J. Harvey Defensive Rebound.,11,7
13:22,87,Temple Gibbs made Jumper.,13,7
13:14,305,Brandon Cyrus missed Three Point Jumper.,13,7
13:14,87,Elijah Burns Defensive Rebound.,13,7
12:51,87,Elijah Burns missed Jumper.,13,7
12:51,305,Jaylen Butz Defensive Rebound.,13,7
12:34,305,Devin Gage made Layup.,13,9
12:11,87,Matt Farrell missed Three Point Jumper.,13,9
12:11,305,Tre'Darius McCallum Defensive Rebound.,13,9
11:50,305,Devin Gage missed Layup.,13,9
11:50,87,Bonzie Colson Defensive Rebound.,13,9
11:28,87,Bonzie Colson made Jumper.,15,9
11:13,305,Tre'Darius McCallum missed Three Point Jumper.,15,9
11:13,87,D.J. Harvey Defensive Rebound.,15,9
10:56,305,Foul on Brandon Cyrus.,15,9
10:56,305,Official TV Timeout,15,9
10:56,87,Temple Gibbs made Free Throw.,16,9
10:56,87,Temple Gibbs made Free Throw.,17,9
10:29,305,Eli Cain made Layup.,17,11
10:08,87,Rex Pflueger Turnover.,17,11
9:53,305,Eli Cain missed Jumper.,17,11
9:53,87,Martinas Geben Defensive Rebound.,17,11
9:42,87,Bonzie Colson missed Jumper.,17,11
9:42,305,DePaul Defensive Rebound.,17,11
9:42,87,Foul on Martinas Geben.,17,11
9:23,305,Jaylen Butz missed Layup.,17,11
9:23,87,Notre Dame Defensive Rebound.,17,11
9:04,87,Rex Pflueger Turnover.,17,11
8:55,305,Max Strus made Three Point Jumper. Assisted by Eli Cain.,17,14
8:29,87,Temple Gibbs missed Three Point Jumper.,17,14
8:29,305,Jaylen Butz Defensive Rebound.,17,14
8:22,305,Tre'Darius McCallum made Dunk. Assisted by Eli Cain.,17,16
8:00,87,D.J. Harvey made Jumper.,19,16
7:44,87,Foul on D.J. Harvey.,19,16
7:44,305,Official TV Timeout,19,16
7:24,305,Devin Gage missed Jumper.,19,16
7:24,87,Temple Gibbs Defensive Rebound.,19,16
6:57,87,John Mooney missed Three Point Jumper.,19,16
6:57,305,Eli Cain Defensive Rebound.,19,16
6:51,87,Foul on John Mooney.,19,16
6:51,305,Devin Gage missed Free Throw.,19,16
6:51,305,DePaul Deadball Team Rebound.,19,16
6:51,305,Devin Gage made Free Throw.,19,17
6:41,87,Matt Farrell Turnover.,19,17
6:39,305,Tre'Darius McCallum Steal.,19,17
6:21,305,Marin Maric missed Layup.,19,17
6:21,87,Rex Pflueger Defensive Rebound.,19,17
6:04,87,John Mooney made Three Point Jumper. Assisted by Bonzie Colson.,22,17
5:32,305,Max Strus missed Three Point Jumper.,22,17
5:32,87,Bonzie Colson Defensive Rebound.,22,17
5:23,87,Rex Pflueger Turnover.,22,17
5:22,305,Devin Gage Steal.,22,17
5:16,305,Tre'Darius McCallum made Three Point Jumper. Assisted by Max Strus.,22,20
4:43,87,Rex Pflueger missed Three Point Jumper.,22,20
4:43,305,Tre'Darius McCallum Defensive Rebound.,22,20
4:28,305,Eli Cain missed Three Point Jumper.,22,20
4:28,305,Eli Cain Offensive Rebound.,22,20
4:22,305,Eli Cain made Layup.,22,22
3:53,87,Bonzie Colson made Jumper.,24,22
3:26,305,Max Strus missed Three Point Jumper.,24,22
3:26,87,Rex Pflueger Defensive Rebound.,24,22
3:09,87,Temple Gibbs made Jumper.,26,22
2:53,305,Eli Cain missed Jumper.,26,22
2:53,305,Marin Maric Offensive Rebound.,26,22
2:45,305,Tre'Darius McCallum missed Jumper.,26,22
2:45,87,John Mooney Defensive Rebound.,26,22
2:18,87,Rex Pflueger missed Three Point Jumper.,26,22
2:18,305,Tre'Darius McCallum Defensive Rebound.,26,22
2:13,87,Foul on Temple Gibbs.,26,22
2:13,305,Official TV Timeout,26,22
2:13,305,Devin Gage made Free Throw.,26,23
2:13,305,Devin Gage missed Free Throw.,26,23
2:13,87,Martinas Geben Defensive Rebound.,26,23
1:53,87,Matt Farrell missed Jumper.,26,23
1:53,87,Martinas Geben Offensive Rebound.,26,23
1:42,87,Temple Gibbs made Three Point Jumper. Assisted by Bonzie Colson.,29,23
1:08,305,Devin Gage made Jumper.,29,25
0:42,87,Bonzie Colson missed Three Point Jumper.,29,25
0:42,305,Jaylen Butz Defensive Rebound.,29,25
0:32,305,Max Strus missed Three Point Jumper.,29,25
0:32,87,Martinas Geben Defensive Rebound.,29,25
0:21,87,Temple Gibbs missed Layup.,29,25
0:21,305,Max Strus Defensive Rebound.,29,25
0:12,305,DePaul  Timeout,29,25
0:06,305,Max Strus missed Three Point Jumper.,29,25
0:06,87,Rex Pflueger Defensive Rebound.,29,25
0:00,87,Rex Pflueger missed Three Point Jumper.,29,25
0:00,305,DePaul Defensive Rebound.,29,25
0:00,305,End of 1st half,29,25
19:41,305,Marin Maric missed Layup.,29,25
19:41,87,Martinas Geben Defensive Rebound.,29,25
19:12,87,Martinas Geben missed Layup.,29,25
19:12,305,Max Strus Block.,29,25
19:12,305,DePaul Defensive Rebound.,29,25
18:49,305,Eli Cain missed Jumper.,29,25
18:49,87,Rex Pflueger Defensive Rebound.,29,25
18:27,87,Bonzie Colson missed Jumper.,29,25
18:27,305,Eli Cain Defensive Rebound.,29,25
18:18,87,Foul on Martinas Geben.,29,25
18:18,305,Eli Cain missed Free Throw.,29,25
18:18,305,DePaul Deadball Team Rebound.,29,25
18:18,305,Eli Cain missed Free Throw.,29,25
18:18,87,Bonzie Colson Defensive Rebound.,29,25
17:58,87,Bonzie Colson missed Jumper.,29,25
17:58,305,Tre'Darius McCallum Defensive Rebound.,29,25
17:53,305,Max Strus missed Three Point Jumper.,29,25
17:53,87,Bonzie Colson Defensive Rebound.,29,25
17:23,87,Matt Farrell missed Three Point Jumper.,29,25
17:23,305,Max Strus Defensive Rebound.,29,25
17:02,305,Marin Maric made Layup. Assisted by Eli Cain.,29,27
17:02,87,Foul on Matt Farrell.,29,27
17:02,305,Marin Maric made Free Throw.,29,28
16:41,87,Temple Gibbs made Layup.,31,28
16:31,305,Tre'Darius McCallum made Layup.,31,30
15:55,87,Bonzie Colson missed Three Point Jumper.,31,30
15:55,305,Devin Gage Block.,31,30
15:55,305,Devin Gage Defensive Rebound.,31,30
15:51,305,Devin Gage missed Layup.,31,30
15:51,305,Max Strus Offensive Rebound.,31,30
15:50,305,Max Strus Turnover.,31,30
15:27,87,Temple Gibbs made Three Point Jumper. Assisted by Matt Farrell.,34,30
15:09,87,Foul on John Mooney.,34,30
15:07,305,Max Strus missed Dunk.,34,30
15:07,87,D.J. Harvey Defensive Rebound.,34,30
14:54,87,Matt Farrell made Three Point Jumper. Assisted by Bonzie Colson.,37,30
14:36,87,Foul on Matt Farrell.,37,30
14:33,305,Brandon Cyrus made Jumper. Assisted by Tre'Darius McCallum.,37,32
14:17,305,Foul on Tre'Darius McCallum.,37,32
14:17,87,Temple Gibbs missed Free Throw.,37,32
14:17,87,Notre Dame Deadball Team Rebound.,37,32
14:17,87,Temple Gibbs made Free Throw.,38,32
14:17,305,Foul on Brandon Cyrus.,38,32
14:17,305,Technical Foul on Brandon Cyrus.,38,32
14:17,87,Foul on Temple Gibbs.,38,32
14:17,87,Technical Foul on Temple Gibbs.,38,32
14:00,305,Eli Cain made Layup.,38,34
13:31,87,D.J. Harvey made Three Point Jumper. Assisted by Temple Gibbs.,41,34
13:17,305,Brandon Cyrus missed Three Point Jumper.,41,34
13:17,305,Jaylen Butz Offensive Rebound.,41,34
13:14,87,Foul on Bonzie Colson.,41,34
13:14,305,Jaylen Butz missed Free Throw.,41,34
13:14,305,DePaul Deadball Team Rebound.,41,34
13:14,305,Jaylen Butz made Free Throw.,41,35
12:51,87,Matt Farrell made Three Point Jumper.,44,35
12:30,305,Eli Cain missed Layup.,44,35
12:30,305,Jaylen Butz Offensive Rebound.,44,35
12:27,87,Foul on D.J. Harvey.,44,35
12:27,305,Jaylen Butz missed Free Throw.,44,35
12:27,305,DePaul Deadball Team Rebound.,44,35
12:27,305,Jaylen Butz made Free Throw.,44,36
12:06,87,Matt Farrell Turnover.,44,36
12:05,305,Devin Gage Steal.,44,36
12:03,87,Foul on Matt Farrell.,44,36
12:03,305,Devin Gage made Free Throw.,44,37
12:03,305,Devin Gage made Free Throw.,44,38
11:38,305,Foul on Eli Cain.,44,38
11:38,305,Official TV Timeout,44,38
11:38,87,Bonzie Colson made Free Throw.,45,38
11:38,87,Bonzie Colson made Free Throw.,46,38
11:19,305,Brandon Cyrus missed Three Point Jumper.,46,38
11:19,305,DePaul Offensive Rebound.,46,38
10:52,305,Eli Cain missed Layup.,46,38
10:52,305,Tre'Darius McCallum Offensive Rebound.,46,38
10:50,305,Tre'Darius McCallum made Layup.,46,40
10:25,87,Temple Gibbs made Three Point Jumper. Assisted by Bonzie Colson.,49,40
10:15,305,DePaul  Timeout,49,40
9:54,305,Eli Cain made Layup.,49,42
9:20,87,Bonzie Colson missed Jumper.,49,42
9:20,87,Martinas Geben Offensive Rebound.,49,42
9:16,87,Martinas Geben made Layup.,51,42
9:05,305,Eli Cain made Jumper.,51,44
8:48,87,Rex Pflueger made Three Point Jumper. Assisted by Matt Farrell.,54,44
8:35,305,Eli Cain missed Layup.,54,44
8:35,87,Bonzie Colson Defensive Rebound.,54,44
8:28,87,Matt Farrell made Three Point Jumper.,57,44
8:18,305,Max Strus made Three Point Jumper. Assisted by Devin Gage.,57,47
7:47,87,Temple Gibbs made Three Point Jumper. Assisted by Bonzie Colson.,60,47
7:46,87,Notre Dame  Timeout,60,47
7:37,305,Eli Cain missed Jumper.,60,47
7:37,87,Bonzie Colson Defensive Rebound.,60,47
7:07,87,Temple Gibbs missed Three Point Jumper.,60,47
7:07,305,Max Strus Defensive Rebound.,60,47
6:58,305,Tre'Darius McCallum made Jumper. Assisted by Max Strus.,60,49
6:32,87,Rex Pflueger missed Jumper.,60,49
6:32,305,Devin Gage Defensive Rebound.,60,49
6:17,305,Marin Maric missed Jumper.,60,49
6:17,87,Martinas Geben Block.,60,49
6:17,305,Marin Maric Offensive Rebound.,60,49
6:15,305,Marin Maric Turnover.,60,49
5:53,87,Bonzie Colson missed Jumper.,60,49
5:53,305,Tre'Darius McCallum Defensive Rebound.,60,49
5:47,305,Devin Gage missed Layup.,60,49
5:47,87,Notre Dame Defensive Rebound.,60,49
5:33,87,Matt Farrell made Three Point Jumper.,63,49
5:18,305,Max Strus missed Three Point Jumper.,63,49
5:18,87,Rex Pflueger Defensive Rebound.,63,49
5:00,87,D.J. Harvey made Jumper.,65,49
4:45,305,Eli Cain made Dunk.,65,51
4:43,305,DePaul  Timeout,65,51
4:34,87,Matt Farrell Turnover.,65,51
4:27,305,Devin Gage missed Layup.,65,51
4:27,87,Rex Pflueger Defensive Rebound.,65,51
4:01,87,D.J. Harvey missed Layup.,65,51
4:01,87,Bonzie Colson Offensive Rebound.,65,51
3:59,87,Bonzie Colson made Layup.,67,51
3:50,305,Max Strus made Three Point Jumper. Assisted by Tre'Darius McCallum.,67,54
3:25,87,Bonzie Colson made Layup. Assisted by Temple Gibbs.,69,54
3:25,305,Foul on Max Strus.,69,54
3:25,305,Official TV Timeout,69,54
3:25,87,Bonzie Colson missed Free Throw.,69,54
3:25,305,Max Strus Defensive Rebound.,69,54
3:13,305,Eli Cain made Jumper.,69,56
2:41,305,Foul on Tre'Darius McCallum.,69,56
2:41,87,Bonzie Colson made Free Throw.,70,56
2:41,87,Bonzie Colson made Free Throw.,71,56
2:35,305,Max Strus missed Three Point Jumper.,71,56
2:35,87,Bonzie Colson Defensive Rebound.,71,56
2:07,305,Foul on Devin Gage.,71,56
2:00,87,Matt Farrell missed Jumper.,71,56
2:00,305,Justin Roberts Defensive Rebound.,71,56
1:54,305,Justin Roberts missed Layup.,71,56
1:54,87,Temple Gibbs Defensive Rebound.,71,56
1:28,305,Foul on Tre'Darius McCallum.,71,56
1:28,87,Bonzie Colson missed Free Throw.,71,56
1:28,87,Notre Dame Deadball Team Rebound.,71,56
1:28,87,Bonzie Colson made Free Throw.,72,56
1:17,305,Devin Gage missed Jumper.,72,56
1:17,87,Bonzie Colson Defensive Rebound.,72,56
0:50,305,Foul on Justin Roberts.,72,56
0:50,87,Foul on Bonzie Colson.,72,56
0:50,87,Technical Foul on Bonzie Colson.,72,56
0:50,305,Foul on Tre'Darius McCallum.,72,56
0:50,305,Technical Foul on Tre'Darius McCallum.,72,56
0:50,87,Matt Farrell missed Free Throw.,72,56
0:50,305,Peter Ryckbosch Defensive Rebound.,72,56
0:49,305,Justin Roberts missed Three Point Jumper.,72,56
0:49,87,Notre Dame Defensive Rebound.,72,56
0:10,87,Notre Dame  Turnover.,72,56
0:03,305,Austin Grandstaff missed Three Point Jumper.,72,56
0:03,305,Peter Ryckbosch Offensive Rebound.,72,56
0:00,305,Peter Ryckbosch made Layup.,72,58
0:00,305,End of 2nd half,72,56
0:00,305,End of Game,72,58
