Alabama A&amp;M,195,Ohio,2010
4:00,195,Official TV Timeout,22,23
3:46,2010,Foul on Mohamed Sherif.,22,23
3:40,195,Doug Taylor Turnover.,22,23
3:22,2010,Tracey Burnett missed Layup.,22,23
3:22,195,Doug Taylor Block.,22,23
3:22,195,Ohio Defensive Rebound.,22,23
3:22,2010,Foul on Tracey Burnett.,22,23
3:22,195,Doug Taylor missed Free Throw.,22,23
3:22,2010,De'Ederick Petty Defensive Rebound.,22,23
3:05,2010,Tracey Burnett missed Layup.,22,23
3:05,195,Doug Taylor Defensive Rebound.,22,23
2:51,195,Gavin Block made Jumper. Assisted by Jordan Dartis.,22,25
2:17,2010,Alabama A&M  Turnover.,22,25
1:47,195,Jordan Dartis missed Three Point Jumper.,22,25
1:47,195,Doug Taylor Offensive Rebound.,22,25
1:45,195,Doug Taylor made Layup.,22,27
1:14,2010,De'Ederick Petty missed Three Point Jumper.,22,27
1:14,195,Gavin Block Defensive Rebound.,22,27
1:06,195,Teyvion Kirk made Layup.,22,29
0:54,2010,Alabama A&M  Timeout,22,29
0:39,2010,Ariston Johnson missed Layup.,22,29
0:39,195,Doug Taylor Defensive Rebound.,22,29
0:35,195,Teyvion Kirk made Layup.,22,31
0:35,2010,Foul on De'Ederick Petty.,22,31
0:35,195,Teyvion Kirk missed Free Throw.,22,31
0:35,2010,Ariston Johnson Defensive Rebound.,22,31
0:10,2010,De'Ederick Petty Turnover.,22,31
0:09,195,Doug Taylor Steal.,22,31
0:07,2010,Foul on De'Ederick Petty.,22,31
0:07,195,Teyvion Kirk missed Free Throw.,22,31
0:07,195,Ohio Deadball Team Rebound.,22,31
0:07,195,Teyvion Kirk made Free Throw.,22,32
0:07,195,Ohio  Timeout,22,32
0:00,2010,Amari Goulbourne missed Three Point Jumper.,22,32
0:00,195,Jordan Dartis Defensive Rebound.,22,32
0:00,195,End of 1st half,22,32
19:49,2010,Mohamed Sherif Turnover.,22,32
19:31,195,Jordan Dartis missed Layup.,22,32
19:31,195,Gavin Block Offensive Rebound.,22,32
19:29,195,Gavin Block missed Layup.,22,32
19:29,195,Doug Taylor Offensive Rebound.,22,32
19:27,195,Doug Taylor missed Layup.,22,32
19:27,2010,Alabama A&M Defensive Rebound.,22,32
19:13,2010,Arthur Johnson missed Three Point Jumper.,22,32
19:13,195,Doug Taylor Defensive Rebound.,22,32
18:59,195,Gavin Block made Three Point Jumper. Assisted by Mike Laster.,22,35
18:39,2010,Andre Kennedy missed Jumper.,22,35
18:39,2010,Arthur Johnson Offensive Rebound.,22,35
18:37,2010,Arthur Johnson missed Layup.,22,35
18:37,195,Doug Taylor Defensive Rebound.,22,35
18:30,195,Mike Laster made Layup. Assisted by Gavin Block.,22,37
18:15,2010,Mohamed Sherif Turnover.,22,37
18:15,2010,Alabama A&M  Timeout,22,37
18:15,195,Official TV Timeout,22,37
17:53,195,Jordan Dartis missed Jumper.,22,37
17:53,2010,De'Ederick Petty Defensive Rebound.,22,37
17:33,2010,De'Ederick Petty missed Layup.,22,37
17:33,195,Gavin Block Defensive Rebound.,22,37
17:23,195,Teyvion Kirk missed Layup.,22,37
17:23,195,Teyvion Kirk Offensive Rebound.,22,37
17:21,195,Teyvion Kirk missed Layup.,22,37
17:21,2010,Mohamed Sherif Defensive Rebound.,22,37
17:11,2010,Andre Kennedy made Layup. Assisted by Arthur Johnson.,24,37
16:59,2010,Foul on Evan Wiley.,24,37
16:59,195,Mike Laster made Free Throw.,24,38
16:59,195,Mike Laster made Free Throw.,24,39
16:39,2010,Andre Kennedy Turnover.,24,39
16:22,195,Jordan Dartis missed Three Point Jumper.,24,39
16:22,2010,Evan Wiley Defensive Rebound.,24,39
16:13,2010,Mohamed Sherif made Layup. Assisted by Evan Wiley.,26,39
16:03,195,Kevin Mickle made Layup. Assisted by Gavin Block.,26,41
15:41,2010,Andre Kennedy made Jumper.,28,41
15:26,195,Gavin Block made Three Point Jumper. Assisted by Teyvion Kirk.,28,44
15:07,2010,Andre Kennedy missed Jumper.,28,44
15:07,2010,Arthur Johnson Offensive Rebound.,28,44
15:05,2010,Arthur Johnson missed Layup.,28,44
15:05,195,Kevin Mickle Defensive Rebound.,28,44
15:04,2010,Foul on Andre Kennedy.,28,44
15:04,195,Official TV Timeout,28,44
14:47,195,Kevin Mickle made Jumper.,28,46
14:28,2010,Arthur Johnson made Layup.,30,46
14:13,195,Kevin Mickle missed Layup.,30,46
14:13,2010,Arthur Johnson Defensive Rebound.,30,46
13:55,2010,Arthur Johnson Turnover.,30,46
13:53,195,Gavin Block Steal.,30,46
13:49,195,Gavin Block missed Three Point Jumper.,30,46
13:49,2010,Jalen Reeder Defensive Rebound.,30,46
13:43,2010,Jalen Reeder Turnover.,30,46
13:41,195,Kevin Mickle Steal.,30,46
13:38,195,James Gollon missed Three Point Jumper.,30,46
13:38,2010,Jalen Reeder Defensive Rebound.,30,46
13:28,2010,Jalen Reeder missed Jumper.,30,46
13:28,195,Gavin Block Defensive Rebound.,30,46
13:19,195,James Gollon missed Three Point Jumper.,30,46
13:19,2010,Jalen Reeder Defensive Rebound.,30,46
12:48,2010,Mohamed Sherif missed Jumper.,30,46
12:48,2010,Arthur Johnson Offensive Rebound.,30,46
12:46,2010,Arthur Johnson missed Layup.,30,46
12:46,2010,Jalen Reeder Offensive Rebound.,30,46
12:44,2010,Jalen Reeder made Layup.,32,46
12:19,195,Mike Laster missed Three Point Jumper.,32,46
12:19,2010,Evan Wiley Defensive Rebound.,32,46
12:02,2010,Jalen Reeder missed Three Point Jumper.,32,46
12:02,195,James Gollon Defensive Rebound.,32,46
12:00,195,Ohio  Timeout,32,46
12:00,195,Official TV Timeout,32,46
11:44,195,Doug Taylor made Layup.,32,48
11:27,2010,Jalen Reeder made Layup.,34,48
10:58,195,Zach Butler made Three Point Jumper. Assisted by Gavin Block.,34,51
10:35,2010,Jalen Reeder Turnover.,34,51
10:35,195,Gavin Block Steal.,34,51
10:35,195,Jordan Dartis Turnover.,34,51
10:23,2010,Evan Wiley missed Three Point Jumper.,34,51
10:23,195,Ohio Defensive Rebound.,34,51
9:53,195,Jordan Dartis missed Jumper.,34,51
9:53,2010,Ariston Johnson Defensive Rebound.,34,51
9:48,2010,Ariston Johnson missed Layup.,34,51
9:48,195,James Gollon Block.,34,51
9:46,195,James Gollon Defensive Rebound.,34,51
9:43,195,Zach Butler missed Layup.,34,51
9:43,2010,Amari Goulbourne Defensive Rebound.,34,51
9:43,195,Foul on Mike Laster.,34,51
9:24,2010,Jalen Reeder Turnover.,34,51
9:24,195,James Gollon Steal.,34,51
9:24,195,James Gollon Turnover.,34,51
9:16,2010,Arthur Johnson missed Layup.,34,51
9:16,195,Doug Taylor Block.,34,51
9:14,195,Doug Taylor Defensive Rebound.,34,51
9:04,195,Mike Laster missed Jumper.,34,51
9:04,2010,Alabama A&M Defensive Rebound.,34,51
9:04,195,Foul on Doug Taylor.,34,51
8:56,2010,Amari Goulbourne missed Three Point Jumper.,34,51
8:56,195,Doug Taylor Defensive Rebound.,34,51
8:35,2010,Foul on Amari Goulbourne.,34,51
8:32,2010,Foul on Amari Goulbourne.,34,51
8:28,195,James Gollon missed Three Point Jumper.,34,51
8:28,2010,Arthur Johnson Defensive Rebound.,34,51
8:22,2010,Amari Goulbourne Turnover.,34,51
8:08,195,Teyvion Kirk missed Jumper.,34,51
8:08,2010,Mohamed Sherif Defensive Rebound.,34,51
7:39,2010,Ariston Johnson missed Layup.,34,51
7:39,195,Kevin Mickle Block.,34,51
7:39,2010,Alabama A&M Offensive Rebound.,34,51
7:39,2010,Alabama A&M  Turnover.,34,51
7:30,195,Ohio  Timeout,34,51
7:21,195,Gavin Block missed Layup.,34,51
7:21,195,Ohio Offensive Rebound.,34,51
7:18,195,Gavin Block made Jumper. Assisted by Teyvion Kirk.,34,53
6:48,2010,De'Ederick Petty missed Three Point Jumper.,34,53
6:48,195,Ohio Defensive Rebound.,34,53
6:33,195,Gavin Block Turnover.,34,53
6:32,2010,Andre Kennedy Steal.,34,53
6:27,2010,Andre Kennedy missed Layup.,34,53
6:27,195,Doug Taylor Defensive Rebound.,34,53
6:04,195,Mike Laster missed Jumper.,34,53
6:04,2010,Ariston Johnson Defensive Rebound.,34,53
5:55,2010,De'Ederick Petty made Jumper.,36,53
5:37,195,Doug Taylor missed Layup.,36,53
5:37,2010,Ariston Johnson Defensive Rebound.,36,53
5:32,2010,Andre Kennedy made Layup.,38,53
5:32,195,Foul on Gavin Block.,38,53
5:32,2010,Andre Kennedy made Free Throw.,39,53
5:24,195,Mike Laster Turnover.,39,53
5:04,2010,De'Ederick Petty missed Layup.,39,53
5:04,2010,Mohamed Sherif Offensive Rebound.,39,53
5:04,195,Foul on Gavin Block.,39,53
5:04,2010,Mohamed Sherif made Free Throw.,40,53
5:04,2010,Mohamed Sherif made Free Throw.,41,53
4:49,195,Jordan Dartis Turnover.,41,53
4:38,2010,Mohamed Sherif made Layup.,43,53
4:38,195,Foul on Mike Laster.,43,53
4:38,2010,Mohamed Sherif made Free Throw.,44,53
4:26,2010,Foul on Ariston Johnson.,44,53
4:26,195,Teyvion Kirk Turnover.,44,53
4:20,2010,De'Ederick Petty Steal.,44,53
4:19,2010,De'Ederick Petty made Layup.,46,53
4:10,2010,Foul on De'Ederick Petty.,46,53
4:10,195,Doug Taylor missed Free Throw.,46,53
4:10,195,Ohio Deadball Team Rebound.,46,53
4:10,195,Doug Taylor missed Free Throw.,46,53
4:10,2010,Mohamed Sherif Defensive Rebound.,46,53
3:51,2010,Andre Kennedy missed Jumper.,46,53
3:51,195,Doug Taylor Defensive Rebound.,46,53
3:35,195,Teyvion Kirk made Layup.,46,55
3:10,2010,Mohamed Sherif Turnover.,46,55
3:09,195,Jordan Dartis Steal.,46,55
3:06,195,Jordan Dartis missed Layup.,46,55
3:06,2010,Andre Kennedy Defensive Rebound.,46,55
2:57,2010,Ariston Johnson missed Three Point Jumper.,46,55
2:57,195,Doug Taylor Defensive Rebound.,46,55
2:40,195,Gavin Block missed Three Point Jumper.,46,55
2:40,2010,Ariston Johnson Defensive Rebound.,46,55
2:26,195,Foul on Teyvion Kirk.,46,55
2:26,195,Official TV Timeout,46,55
2:21,2010,Arthur Johnson made Layup.,48,55
1:59,195,Gavin Block missed Jumper.,48,55
1:59,2010,Arthur Johnson Defensive Rebound.,48,55
1:50,2010,Arthur Johnson made Three Point Jumper. Assisted by Ariston Johnson.,51,55
1:39,195,Teyvion Kirk Turnover.,51,55
1:39,195,Foul on Teyvion Kirk.,51,55
1:39,2010,Arthur Johnson Turnover.,51,55
1:39,195,Jordan Dartis Steal.,51,55
1:39,195,Gavin Block made Layup. Assisted by Mike Laster.,51,57
1:25,2010,Arthur Johnson Turnover.,51,57
1:24,195,Kevin Mickle Steal.,51,57
1:01,195,Gavin Block Turnover.,51,57
1:01,195,Foul on Gavin Block.,51,57
0:45,2010,De'Ederick Petty made Layup.,53,57
0:40,195,Kevin Mickle Turnover.,53,57
0:34,2010,Arthur Johnson missed Layup.,53,57
0:34,195,Teyvion Kirk Defensive Rebound.,53,57
0:30,2010,Foul on Evan Wiley.,53,57
0:30,195,Kevin Mickle made Free Throw.,53,58
0:30,195,Kevin Mickle made Free Throw.,53,59
0:20,2010,De'Ederick Petty missed Layup.,53,59
0:20,195,Doug Taylor Block.,53,59
0:17,195,Mike Laster Defensive Rebound.,53,59
0:16,2010,Foul on De'Ederick Petty.,53,59
0:16,195,Teyvion Kirk made Free Throw.,53,60
0:16,195,Teyvion Kirk made Free Throw.,53,61
0:10,2010,Arthur Johnson missed Three Point Jumper.,53,61
0:10,195,Jordan Dartis Defensive Rebound.,53,61
0:00,195,End of Game,53,61
