Utah Valley,150,Duke,3084
3:59,3084,Kenneth Ogbe made Layup. Assisted by Brandon Randolph.,29,40
3:40,150,Grayson Allen missed Jumper.,29,40
3:40,3084,Jake Toolson Defensive Rebound.,29,40
3:29,3084,Kenneth Ogbe made Layup.,31,40
3:29,150,Official TV Timeout,31,40
3:19,3084,Foul on Conner Toolson.,31,40
3:14,3084,Foul on Isaac Neilson.,31,40
3:14,150,Marvin Bagley III missed Free Throw.,31,40
3:14,150,Duke Deadball Team Rebound.,31,40
3:14,150,Marvin Bagley III missed Free Throw.,31,40
3:14,3084,Akolda Manyang Defensive Rebound.,31,40
2:52,3084,Brandon Randolph Turnover.,31,40
2:52,150,Trevon Duval Steal.,31,40
2:47,150,Grayson Allen made Dunk. Assisted by Trevon Duval.,31,42
2:30,3084,Kenneth Ogbe missed Three Point Jumper.,31,42
2:30,150,Trevon Duval Defensive Rebound.,31,42
2:22,150,Grayson Allen made Three Point Jumper. Assisted by Trevon Duval.,31,45
1:54,3084,Brandon Randolph missed Jumper.,31,45
1:54,3084,Akolda Manyang Offensive Rebound.,31,45
1:51,3084,Akolda Manyang made Layup.,33,45
1:35,150,Trevon Duval Turnover.,33,45
1:18,3084,Kenneth Ogbe missed Three Point Jumper.,33,45
1:18,150,Marvin Bagley III Defensive Rebound.,33,45
1:06,150,Trevon Duval made Jumper.,33,47
1:05,3084,Foul on Brandon Randolph.,33,47
1:05,150,Trevon Duval made Free Throw.,33,48
0:42,3084,Kenneth Ogbe missed Jumper.,33,48
0:42,150,Wendell Carter Jr Block.,33,48
0:42,3084,Utah Valley Offensive Rebound.,33,48
0:36,3084,Jake Toolson missed Three Point Jumper.,33,48
0:36,3084,Isaac Neilson Offensive Rebound.,33,48
0:31,3084,Isaac Neilson Turnover.,33,48
0:02,150,Wendell Carter Jr missed Layup.,33,48
0:02,150,Wendell Carter Jr Offensive Rebound.,33,48
0:01,150,Duke  Turnover.,33,48
0:00,150,End of 1st half,33,48
20:00,150,Jump Ball won by Duke,33,48
19:45,150,Gary Trent Jr Turnover.,33,48
19:32,3084,Brandon Randolph made Layup. Assisted by Akolda Manyang.,35,48
19:16,150,Marvin Bagley III missed Jumper.,35,48
19:16,3084,Conner Toolson Defensive Rebound.,35,48
19:00,3084,Jake Toolson missed Three Point Jumper.,35,48
19:00,150,Gary Trent Jr Defensive Rebound.,35,48
18:51,150,Marvin Bagley III made Layup. Assisted by Wendell Carter Jr.,35,50
18:33,3084,Conner Toolson missed Three Point Jumper.,35,50
18:33,150,Grayson Allen Defensive Rebound.,35,50
18:23,150,Marvin Bagley III made Layup. Assisted by Trevon Duval.,35,52
17:56,3084,Jake Toolson missed Three Point Jumper.,35,52
17:56,3084,Utah Valley Deadball Team Rebound.,35,52
17:54,150,Foul on Gary Trent Jr.,35,52
17:53,3084,Kenneth Ogbe Turnover.,35,52
17:53,150,Marvin Bagley III Steal.,35,52
17:50,150,Trevon Duval made Layup. Assisted by Grayson Allen.,35,54
17:37,3084,Akolda Manyang made Layup.,37,54
17:22,150,Marvin Bagley III made Jumper.,37,56
17:02,3084,Brandon Randolph Turnover.,37,56
17:02,150,Trevon Duval Steal.,37,56
16:57,150,Grayson Allen made Dunk. Assisted by Trevon Duval.,37,58
16:53,3084,Utah Valley  Timeout,37,58
16:48,3084,Conner Toolson made Layup. Assisted by Akolda Manyang.,39,58
16:33,150,Gary Trent Jr missed Three Point Jumper.,39,58
16:33,3084,Joonas Tahvanainen Defensive Rebound.,39,58
16:24,3084,Conner Toolson missed Three Point Jumper.,39,58
16:24,150,Trevon Duval Defensive Rebound.,39,58
16:16,150,Gary Trent Jr made Layup. Assisted by Trevon Duval.,39,60
16:16,3084,Foul on Conner Toolson.,39,60
16:16,150,Gary Trent Jr missed Free Throw.,39,60
16:16,150,Gary Trent Jr Offensive Rebound.,39,60
16:16,150,Gary Trent Jr Turnover.,39,60
16:16,3084,Conner Toolson Steal.,39,60
16:02,3084,Akolda Manyang Turnover.,39,60
16:02,150,Gary Trent Jr Steal.,39,60
15:56,150,Marvin Bagley III made Dunk. Assisted by Grayson Allen.,39,62
15:46,3084,Brandon Randolph made Layup. Assisted by Akolda Manyang.,41,62
15:31,150,Gary Trent Jr missed Three Point Jumper.,41,62
15:31,3084,Akolda Manyang Defensive Rebound.,41,62
15:05,3084,Brandon Randolph made Layup. Assisted by Akolda Manyang.,43,62
15:05,150,Foul on Marvin Bagley III.,43,62
15:05,150,Official TV Timeout,43,62
15:05,3084,Brandon Randolph made Free Throw.,44,62
14:58,3084,Foul on Conner Toolson.,44,62
14:46,150,Gary Trent Jr made Three Point Jumper. Assisted by Trevon Duval.,44,65
14:32,3084,Brandon Randolph Turnover.,44,65
14:32,150,Wendell Carter Jr Steal.,44,65
14:24,150,Grayson Allen missed Three Point Jumper.,44,65
14:24,3084,Brandon Randolph Defensive Rebound.,44,65
14:18,3084,Jake Toolson missed Three Point Jumper.,44,65
14:18,150,Marvin Bagley III Defensive Rebound.,44,65
14:12,150,Grayson Allen made Layup. Assisted by Gary Trent Jr.,44,67
13:48,3084,Kenneth Ogbe missed Three Point Jumper.,44,67
13:48,150,Wendell Carter Jr Defensive Rebound.,44,67
13:39,150,Gary Trent Jr missed Three Point Jumper.,44,67
13:39,3084,Kenneth Ogbe Defensive Rebound.,44,67
13:31,150,Foul on Grayson Allen.,44,67
13:22,3084,Ben Nakwaasah made Jumper.,46,67
13:01,150,Trevon Duval made Dunk. Assisted by Marvin Bagley III.,46,69
12:42,3084,Akolda Manyang made Layup.,48,69
12:42,150,Foul on Marques Bolden.,48,69
12:42,3084,Akolda Manyang made Free Throw.,49,69
12:29,150,Trevon Duval made Jumper.,49,71
12:12,3084,Kenneth Ogbe missed Layup.,49,71
12:12,150,Alex O'Connell Defensive Rebound.,49,71
11:58,3084,Foul on Kenneth Ogbe.,49,71
11:58,150,Official TV Timeout,49,71
11:52,150,Grayson Allen Turnover.,49,71
11:52,3084,Akolda Manyang Steal.,49,71
11:29,3084,Brandon Randolph Turnover.,49,71
11:29,150,Alex O'Connell Steal.,49,71
11:25,150,Alex O'Connell Turnover.,49,71
11:25,3084,Brandon Randolph Steal.,49,71
11:24,3084,Brandon Randolph missed Layup.,49,71
11:24,150,Marques Bolden Block.,49,71
11:24,150,Alex O'Connell Defensive Rebound.,49,71
11:11,150,Grayson Allen made Three Point Jumper. Assisted by Trevon Duval.,49,74
10:46,3084,Brandon Randolph made Three Point Jumper. Assisted by Kenneth Ogbe.,52,74
10:24,150,Trevon Duval made Layup. Assisted by Marques Bolden.,52,76
10:06,3084,Kenneth Ogbe made Layup. Assisted by Akolda Manyang.,54,76
9:51,150,Grayson Allen made Three Point Jumper. Assisted by Alex O'Connell.,54,79
9:29,150,Foul on Jordan Goldwire.,54,79
9:17,150,Foul on Javin DeLaurier.,54,79
9:17,3084,Akolda Manyang made Free Throw.,55,79
9:17,3084,Akolda Manyang made Free Throw.,56,79
9:10,150,Wendell Carter Jr Turnover.,56,79
8:59,3084,Akolda Manyang missed Layup.,56,79
8:59,150,Javin DeLaurier Defensive Rebound.,56,79
8:51,150,Marvin Bagley III made Dunk. Assisted by Wendell Carter Jr.,56,81
8:35,3084,Akolda Manyang made Dunk. Assisted by Isaac Neilson.,58,81
8:18,150,Gary Trent Jr missed Jumper.,58,81
8:18,150,Duke Offensive Rebound.,58,81
8:12,3084,Foul on Conner Toolson.,58,81
8:05,150,Foul on Gary Trent Jr.,58,81
8:05,150,Gary Trent Jr Turnover.,58,81
8:05,150,Official TV Timeout,58,81
7:40,3084,Akolda Manyang Turnover.,58,81
7:28,150,Grayson Allen made Three Point Jumper. Assisted by Trevon Duval.,58,84
7:10,3084,Brandon Randolph missed Three Point Jumper.,58,84
7:10,150,Grayson Allen Defensive Rebound.,58,84
7:03,150,Trevon Duval made Layup.,58,86
6:43,3084,Ben Nakwaasah missed Three Point Jumper.,58,86
6:43,150,Marvin Bagley III Defensive Rebound.,58,86
6:32,3084,Foul on Akolda Manyang.,58,86
6:32,150,Marvin Bagley III missed Free Throw.,58,86
6:32,150,Duke Deadball Team Rebound.,58,86
6:32,150,Marvin Bagley III missed Free Throw.,58,86
6:32,3084,Ben Nakwaasah Defensive Rebound.,58,86
6:13,3084,Brandon Randolph made Jumper.,60,86
5:46,150,Marvin Bagley III Turnover.,60,86
5:34,3084,Brandon Randolph missed Jumper.,60,86
5:34,3084,Akolda Manyang Offensive Rebound.,60,86
5:30,150,Foul on Marques Bolden.,60,86
5:30,3084,Akolda Manyang made Free Throw.,61,86
5:30,3084,Akolda Manyang made Free Throw.,62,86
5:16,150,Alex O'Connell missed Three Point Jumper.,62,86
5:16,150,Marques Bolden Offensive Rebound.,62,86
5:10,150,Marques Bolden made Layup.,62,88
4:48,3084,Brandon Randolph Turnover.,62,88
4:48,150,Marques Bolden Steal.,62,88
4:42,150,Alex O'Connell made Layup. Assisted by Trevon Duval.,62,90
4:33,3084,Ben Nakwaasah missed Three Point Jumper.,62,90
4:33,3084,Joonas Tahvanainen Offensive Rebound.,62,90
4:32,150,Foul on Marvin Bagley III.,62,90
4:32,3084,Joonas Tahvanainen made Free Throw.,63,90
4:32,3084,Joonas Tahvanainen made Free Throw.,64,90
4:24,150,Gary Trent Jr missed Jumper.,64,90
4:24,3084,Ben Nakwaasah Defensive Rebound.,64,90
4:13,3084,Kenneth Ogbe missed Layup.,64,90
4:13,3084,Kenneth Ogbe Offensive Rebound.,64,90
4:12,3084,Kenneth Ogbe Turnover.,64,90
4:01,3084,Foul on Ben Nakwaasah.,64,90
4:01,150,Alex O'Connell made Free Throw.,64,91
4:01,150,Alex O'Connell made Free Throw.,64,92
3:43,3084,Isaac Neilson made Layup. Assisted by Ben Nakwaasah.,66,92
3:28,150,Trevon Duval missed Jumper.,66,92
3:28,150,Javin DeLaurier Offensive Rebound.,66,92
3:15,150,Marques Bolden missed Layup.,66,92
3:15,150,Javin DeLaurier Offensive Rebound.,66,92
3:13,3084,Foul on Cory Calvert.,66,92
3:13,150,Official TV Timeout,66,92
3:13,150,Javin DeLaurier made Free Throw.,66,93
3:13,150,Javin DeLaurier made Free Throw.,66,94
2:56,3084,Ben Nakwaasah made Three Point Jumper. Assisted by Isaac Neilson.,69,94
2:24,150,Javin DeLaurier made Three Point Jumper.,69,97
2:06,3084,Cory Calvert missed Jumper.,69,97
2:06,150,Marques Bolden Block.,69,97
2:06,150,Alex O'Connell Defensive Rebound.,69,97
2:00,150,Jordan Goldwire missed Layup.,69,97
2:00,3084,Utah Valley Defensive Rebound.,69,97
1:48,3084,Isaac Neilson Turnover.,69,97
1:34,150,Javin DeLaurier missed Jumper.,69,97
1:34,150,Jack White Offensive Rebound.,69,97
1:34,150,Jack White made Two Point Tip Shot.,69,99
1:19,3084,Cory Calvert missed Three Point Jumper.,69,99
1:19,150,Alex O'Connell Defensive Rebound.,69,99
1:09,150,Jordan Goldwire Turnover.,69,99
0:56,3084,Cory Calvert missed Three Point Jumper.,69,99
0:56,150,Jack White Defensive Rebound.,69,99
0:33,150,Javin DeLaurier missed Jumper.,69,99
0:33,3084,Richard Harward Defensive Rebound.,69,99
0:07,3084,Richard Harward missed Layup.,69,99
0:07,150,Jack White Block.,69,99
0:07,3084,Cory Calvert Offensive Rebound.,69,99
0:03,3084,Richard Harward missed Jumper.,69,99
0:03,150,Jordan Goldwire Defensive Rebound.,69,99
0:00,150,End of Game,69,99
