North Florida,130,Michigan,2454
11:59,2454,Trip Day missed Jumper.,14,9
11:58,130,Muhammad-Ali Abdur-Rahkman Defensive Rebound.,14,9
11:46,130,Jaaron Simmons missed Three Point Jumper.,14,9
11:41,2454,Garrett Sams Defensive Rebound.,14,9
11:20,2454,Garrett Sams made Jumper.,16,9
11:00,130,Charles Matthews Turnover.,16,9
11:00,2454,Garrett Sams Steal.,16,9
10:54,2454,Garrett Sams missed Jumper.,16,9
10:53,2454,Garrett Sams Offensive Rebound.,16,9
10:53,2454,Garrett Sams missed Jumper.,16,9
10:52,130,Official TV Timeout,16,9
10:52,2454,North Florida Offensive Rebound.,16,9
10:52,130,Official TV Timeout,16,9
10:35,2454,Trip Day Turnover.,16,9
10:32,130,Charles Matthews made Layup.,16,11
10:18,2454,J.T. Escobar made Jumper.,18,11
10:07,130,Charles Matthews missed Jumper.,18,11
10:04,2454,Noah Horchler Defensive Rebound.,18,11
9:50,2454,Trip Day missed Jumper.,18,11
9:45,130,Jaaron Simmons Defensive Rebound.,18,11
9:32,130,Jon Teske made Dunk. Assisted by Isaiah Livers.,18,13
9:15,2454,J.T. Escobar Turnover.,18,13
9:15,130,Isaiah Livers Steal.,18,13
9:06,2454,Foul on Trip Day.,18,13
8:52,130,Jaaron Simmons made Free Throw.,18,14
8:52,130,Jaaron Simmons made Free Throw.,18,15
8:52,2454,Foul on Osborn Blount.,18,13
8:52,130,Jaaron Simmons made Free Throw.,18,14
8:52,130,Jaaron Simmons made Free Throw.,18,15
8:41,2454,Noah Horchler missed Jumper.,18,15
8:39,130,Duncan Robinson Defensive Rebound.,18,15
8:19,130,Isaiah Livers missed Layup.,18,15
8:17,2454,Noah Horchler Defensive Rebound.,18,15
7:59,2454,Wajid Aminu Turnover.,18,15
7:59,130,Moritz Wagner Steal.,18,15
7:45,130,Official TV Timeout,18,15
7:45,130,Official TV Timeout,18,15
7:45,130,Jaaron Simmons missed Jumper.,18,15
7:45,2454,North Florida Deadball Team Rebound.,18,15
7:45,130,Official TV Timeout,18,15
7:30,2454,J.T. Escobar Turnover.,18,15
7:30,130,Eli Brooks Steal.,18,15
7:27,130,Eli Brooks made Layup.,18,17
6:54,2454,North Florida  Turnover.,18,17
6:41,130,Duncan Robinson missed Three Point Jumper.,18,17
6:35,130,Duncan Robinson Offensive Rebound.,18,17
6:35,130,Duncan Robinson made Jumper.,18,19
6:35,2454,North Florida  Timeout,18,19
6:35,2454,Foul on Garrett Sams.,18,19
6:35,130,Duncan Robinson made Free Throw.,18,20
6:21,2454,Ivan Gandia-Rosa made Three Point Jumper. Assisted by Osborn Blount.,21,20
5:57,130,Charles Matthews missed Jumper.,21,20
5:54,130,Moritz Wagner Offensive Rebound.,21,20
5:51,130,Charles Matthews missed Jumper.,21,20
5:51,2454,Wajid Aminu Block.,21,20
5:51,2454,North Florida Defensive Rebound.,21,20
5:37,2454,Garrett Sams missed Jumper.,21,20
5:36,130,Moritz Wagner Defensive Rebound.,21,20
5:26,130,Eli Brooks missed Three Point Jumper.,21,20
5:23,130,Charles Matthews Offensive Rebound.,21,20
5:22,130,Charles Matthews made Dunk.,21,22
5:02,2454,Osborn Blount made Free Throw.,22,22
5:02,2454,Osborn Blount made Free Throw.,23,22
5:02,130,Foul on Muhammad-Ali Abdur-Rahkman.,21,22
5:02,2454,Osborn Blount made Free Throw.,22,22
5:02,2454,Osborn Blount made Free Throw.,23,22
4:48,130,Charles Matthews missed Free Throw.,23,22
4:48,130,Charles Matthews missed Free Throw.,23,22
4:48,2454,Foul on Osborn Blount.,23,22
4:48,130,Michigan Deadball Team Rebound.,23,22
4:48,130,Charles Matthews missed Free Throw.,23,22
4:48,130,Charles Matthews missed Free Throw.,23,22
4:47,2454,Noah Horchler Defensive Rebound.,23,22
4:25,2454,Ivan Gandia-Rosa made Three Point Jumper.,26,22
4:06,130,Charles Matthews made Jumper. Assisted by Duncan Robinson.,26,24
3:58,130,Official TV Timeout,26,24
3:58,2454,Garrett Sams Turnover.,26,24
3:58,130,Official TV Timeout,26,24
3:38,130,Muhammad-Ali Abdur-Rahkman missed Jumper.,26,24
3:35,2454,Noah Horchler Defensive Rebound.,26,24
3:24,2454,Osborn Blount Turnover.,26,24
3:07,130,Zavier Simpson Turnover.,26,24
3:07,2454,Noah Horchler Steal.,26,24
3:00,2454,J.T. Escobar missed Jumper.,26,24
2:58,130,Zavier Simpson Defensive Rebound.,26,24
2:55,130,Duncan Robinson made Three Point Jumper. Assisted by Zavier Simpson.,26,27
2:34,2454,Foul on Wajid Aminu.,26,27
2:34,2454,Wajid Aminu Turnover.,26,27
2:20,130,Duncan Robinson missed Three Point Jumper.,26,27
2:16,2454,Wajid Aminu Defensive Rebound.,26,27
2:09,2454,Osborn Blount Turnover.,26,27
1:54,130,Ibi Watson made Three Point Jumper. Assisted by Charles Matthews.,26,30
1:27,2454,J.T. Escobar made Three Point Jumper. Assisted by Wajid Aminu.,29,30
1:11,130,Charles Matthews made Jumper. Assisted by Ibi Watson.,29,32
1:04,2454,J.T. Escobar missed Three Point Jumper.,29,32
1:01,130,Zavier Simpson Defensive Rebound.,29,32
0:56,130,Ibi Watson missed Three Point Jumper.,29,32
0:52,2454,Osborn Blount Defensive Rebound.,29,32
0:29,130,Foul on Moritz Wagner.,29,32
0:29,2454,Wajid Aminu made Free Throw.,30,32
0:29,2454,Wajid Aminu missed Free Throw.,30,32
0:28,2454,Brian Coffey II Offensive Rebound.,30,32
0:28,2454,Brian Coffey II Turnover.,30,32
0:15,130,Michigan  Timeout,30,32
0:01,130,Eli Brooks missed Three Point Jumper.,30,32
0:01,130,Michigan Deadball Team Rebound.,30,32
0:00,130,End of 1st half,30,32
19:51,130,Muhammad-Ali Abdur-Rahkman made Three Point Jumper. Assisted by Zavier Simpson.,30,35
19:28,2454,Noah Horchler missed Jumper.,30,35
19:28,130,Charles Matthews Block.,30,35
19:26,2454,Noah Horchler Offensive Rebound.,30,35
19:24,2454,Noah Horchler missed Jumper.,30,35
19:22,130,Moritz Wagner Defensive Rebound.,30,35
19:08,130,Moritz Wagner made Jumper. Assisted by Zavier Simpson.,30,37
18:56,2454,Ivan Gandia-Rosa Turnover.,30,37
18:56,130,Duncan Robinson Steal.,30,37
18:52,130,Charles Matthews Turnover.,30,37
18:39,2454,Ivan Gandia-Rosa Turnover.,30,37
18:39,130,Zavier Simpson Steal.,30,37
18:39,2454,Foul on Ivan Gandia-Rosa.,30,37
18:24,130,Duncan Robinson missed Jumper.,30,37
18:21,2454,Garrett Sams Defensive Rebound.,30,37
18:16,2454,Garrett Sams missed Jumper.,30,37
18:14,130,Duncan Robinson Defensive Rebound.,30,37
18:11,130,Duncan Robinson Turnover.,30,37
18:11,2454,J.T. Escobar Steal.,30,37
18:05,2454,Garrett Sams made Three Point Jumper. Assisted by J.T. Escobar.,33,37
17:49,130,Moritz Wagner missed Jumper.,33,37
17:47,2454,Wajid Aminu Defensive Rebound.,33,37
17:41,130,Foul on Moritz Wagner.,33,37
17:33,2454,Ivan Gandia-Rosa made Jumper.,35,37
17:13,130,Moritz Wagner made Layup.,35,39
16:53,2454,Noah Horchler missed Jumper.,35,39
16:51,130,Moritz Wagner Defensive Rebound.,35,39
16:46,130,Charles Matthews missed Three Point Jumper.,35,39
16:42,130,Duncan Robinson Offensive Rebound.,35,39
16:41,130,Duncan Robinson missed Jumper.,35,39
16:39,2454,Noah Horchler Defensive Rebound.,35,39
16:32,2454,Garrett Sams missed Jumper.,35,39
16:30,130,Moritz Wagner Defensive Rebound.,35,39
16:24,130,Moritz Wagner missed Three Point Jumper.,35,39
16:21,130,Charles Matthews Offensive Rebound.,35,39
16:21,2454,Foul on Wajid Aminu.,35,39
16:21,130,Charles Matthews missed Free Throw.,35,39
16:21,130,Michigan Deadball Team Rebound.,35,39
16:21,130,Charles Matthews made Free Throw.,35,40
16:05,2454,Garrett Sams Turnover.,35,40
16:05,130,Charles Matthews Steal.,35,40
15:58,130,Moritz Wagner made Layup. Assisted by Jaaron Simmons.,35,42
15:42,2454,Garrett Sams made Three Point Jumper. Assisted by Trip Day.,38,42
15:42,2454,North Florida  Timeout,38,42
15:28,130,Charles Matthews made Dunk. Assisted by Isaiah Livers.,38,44
15:18,2454,Trip Day made Jumper. Assisted by Ivan Gandia-Rosa.,40,44
14:59,130,Moritz Wagner missed Jumper.,40,44
14:58,2454,Trip Day Block.,40,44
14:57,130,Moritz Wagner Offensive Rebound.,40,44
14:56,130,Moritz Wagner made Jumper.,40,46
14:49,130,Official TV Timeout,40,46
14:49,130,Foul on Isaiah Livers.,40,46
14:49,2454,Wajid Aminu made Free Throw.,41,46
14:49,2454,Wajid Aminu made Free Throw.,42,46
14:35,2454,Foul on Trip Day.,42,46
14:20,130,Moritz Wagner missed Jumper.,42,46
14:18,2454,North Florida Defensive Rebound.,42,46
13:54,2454,Trip Day missed Jumper.,42,46
13:52,2454,North Florida Offensive Rebound.,42,46
13:49,2454,Garrett Sams missed Three Point Jumper.,42,46
13:48,130,Moritz Wagner Defensive Rebound.,42,46
13:48,2454,Foul on Trip Day.,42,46
13:35,130,Moritz Wagner missed Jumper.,42,46
13:35,2454,Noah Horchler Block.,42,46
13:33,2454,Wajid Aminu Defensive Rebound.,42,46
13:25,2454,Garrett Sams made Three Point Jumper. Assisted by Noah Horchler.,45,46
13:07,130,Eli Brooks Turnover.,45,46
13:07,2454,Garrett Sams Steal.,45,46
13:05,130,Foul on Moritz Wagner.,45,46
12:49,2454,Garrett Sams made Jumper.,47,46
12:17,130,Muhammad-Ali Abdur-Rahkman missed Jumper.,47,46
12:15,2454,North Florida Defensive Rebound.,47,46
12:15,130,Official TV Timeout,47,46
12:15,130,Michigan  Timeout,47,46
11:57,2454,Osborn Blount missed Three Point Jumper.,47,46
11:57,130,Jon Teske Defensive Rebound.,47,46
11:57,2454,Foul on Wajid Aminu.,47,46
11:36,130,Charles Matthews missed Jumper.,47,46
11:35,2454,Garrett Sams Defensive Rebound.,47,46
11:27,2454,Garrett Sams Turnover.,47,46
11:27,130,Charles Matthews Steal.,47,46
11:27,2454,Foul on Garrett Sams.,47,46
11:17,130,Duncan Robinson made Three Point Jumper. Assisted by Charles Matthews.,47,49
11:03,130,Foul on Jon Teske.,47,49
11:03,2454,Wajid Aminu made Free Throw.,48,49
11:03,2454,Wajid Aminu made Free Throw.,49,49
10:46,130,Eli Brooks missed Three Point Jumper.,49,49
10:43,2454,Emmanuel Lambright Defensive Rebound.,49,49
10:36,2454,Wajid Aminu Turnover.,49,49
10:13,130,Muhammad-Ali Abdur-Rahkman missed Three Point Jumper.,49,49
10:11,130,Michigan Deadball Team Rebound.,49,49
10:11,2454,Foul on Emmanuel Lambright.,49,49
10:11,130,Austin Davis made Free Throw.,49,50
10:11,130,Austin Davis missed Free Throw.,49,50
10:10,2454,Wajid Aminu Defensive Rebound.,49,50
10:04,2454,Emmanuel Lambright missed Three Point Jumper.,49,50
10:02,130,Muhammad-Ali Abdur-Rahkman Defensive Rebound.,49,50
9:56,130,Ibi Watson missed Three Point Jumper.,49,50
9:52,130,Austin Davis Offensive Rebound.,49,50
9:51,130,Austin Davis made Jumper.,49,52
9:36,2454,Osborn Blount made Jumper.,51,52
9:19,130,Ibi Watson made Jumper. Assisted by Duncan Robinson.,51,54
9:01,2454,Ivan Gandia-Rosa Turnover.,51,54
8:41,130,Duncan Robinson missed Three Point Jumper.,51,54
8:38,2454,North Florida Defensive Rebound.,51,54
8:20,2454,Noah Horchler missed Jumper.,51,54
8:18,2454,Noah Horchler Offensive Rebound.,51,54
8:16,2454,Noah Horchler missed Jumper.,51,54
8:14,130,Ibi Watson Defensive Rebound.,51,54
8:09,130,Duncan Robinson made Three Point Jumper. Assisted by Muhammad-Ali Abdur-Rahkman.,51,57
7:54,130,Foul on Muhammad-Ali Abdur-Rahkman.,51,57
7:54,2454,Ivan Gandia-Rosa made Free Throw.,52,57
7:54,2454,Ivan Gandia-Rosa missed Free Throw.,52,57
7:53,130,Moritz Wagner Defensive Rebound.,52,57
7:53,2454,Foul on Garrett Sams.,52,57
7:53,130,Moritz Wagner missed Free Throw.,52,57
7:50,2454,Noah Horchler Defensive Rebound.,52,57
7:36,2454,J.T. Escobar missed Jumper.,52,57
7:36,130,Duncan Robinson Block.,52,57
7:34,130,Duncan Robinson Defensive Rebound.,52,57
7:30,130,Duncan Robinson made Jumper.,52,59
7:18,2454,Ivan Gandia-Rosa Turnover.,52,59
7:18,130,Muhammad-Ali Abdur-Rahkman Steal.,52,59
7:18,130,Muhammad-Ali Abdur-Rahkman made Free Throw.,52,60
7:18,130,Muhammad-Ali Abdur-Rahkman made Free Throw.,52,61
7:18,2454,Foul on J.T. Escobar.,52,59
7:18,130,Muhammad-Ali Abdur-Rahkman made Free Throw.,52,60
7:18,130,Muhammad-Ali Abdur-Rahkman made Free Throw.,52,61
7:00,2454,Wajid Aminu missed Jumper.,52,61
6:58,130,Charles Matthews Defensive Rebound.,52,61
6:53,130,Duncan Robinson made Dunk. Assisted by Zavier Simpson.,52,63
6:42,130,Foul on Charles Matthews.,52,63
6:29,130,Foul on Zavier Simpson.,52,63
6:29,2454,Noah Horchler made Free Throw.,53,63
6:29,2454,Noah Horchler missed Free Throw.,53,63
6:28,130,Moritz Wagner Defensive Rebound.,53,63
6:13,130,Duncan Robinson made Free Throw.,53,64
6:13,130,Duncan Robinson made Free Throw.,53,65
6:13,2454,Foul on Noah Horchler.,53,63
6:13,130,Duncan Robinson made Free Throw.,53,64
6:13,130,Duncan Robinson made Free Throw.,53,65
5:59,2454,J.T. Escobar missed Jumper.,53,65
5:57,130,Zavier Simpson Defensive Rebound.,53,65
5:52,130,Charles Matthews made Layup. Assisted by Zavier Simpson.,53,67
5:45,2454,North Florida  Timeout,53,67
5:30,2454,Noah Horchler Turnover.,53,67
5:15,130,Zavier Simpson made Three Point Jumper. Assisted by Charles Matthews.,53,70
4:53,2454,Ivan Gandia-Rosa missed Three Point Jumper.,53,70
4:49,130,Moritz Wagner Defensive Rebound.,53,70
4:40,130,Moritz Wagner missed Three Point Jumper.,53,70
4:35,130,Muhammad-Ali Abdur-Rahkman Offensive Rebound.,53,70
4:29,130,Moritz Wagner made Jumper.,53,72
4:29,2454,Foul on Noah Horchler.,53,72
4:29,130,Moritz Wagner made Free Throw.,53,73
4:16,2454,Garrett Sams made Free Throw.,54,73
4:16,2454,Garrett Sams made Free Throw.,55,73
4:16,130,Foul on Charles Matthews.,53,73
4:16,2454,Garrett Sams made Free Throw.,54,73
4:16,2454,Garrett Sams made Free Throw.,55,73
3:59,130,Charles Matthews made Jumper. Assisted by Zavier Simpson.,55,75
3:38,2454,Garrett Sams made Jumper.,57,75
3:18,130,Charles Matthews made Three Point Jumper. Assisted by Duncan Robinson.,57,78
3:03,2454,Noah Horchler made Jumper.,59,78
2:36,130,Muhammad-Ali Abdur-Rahkman missed Jumper.,59,78
2:35,130,Moritz Wagner Offensive Rebound.,59,78
2:33,130,Moritz Wagner missed Jumper.,59,78
2:33,2454,Noah Horchler Block.,59,78
2:32,130,Official TV Timeout,59,80
2:32,130,Official TV Timeout,59,80
2:32,130,Official TV Timeout,59,80
2:32,130,Moritz Wagner Offensive Rebound.,59,78
2:32,130,Moritz Wagner made Jumper.,59,80
2:32,130,Official TV Timeout,59,80
2:32,2454,Foul on J.T. Escobar.,59,80
2:32,130,Moritz Wagner made Free Throw.,59,81
2:15,2454,Osborn Blount Turnover.,59,81
2:15,130,Jordan Poole Steal.,59,81
2:10,130,Jordan Poole Turnover.,59,81
1:54,2454,Osborn Blount made Three Point Jumper. Assisted by Emmanuel Lambright.,62,81
1:52,2454,North Florida  Timeout,62,81
1:29,130,Jordan Poole made Jumper.,62,83
1:15,130,Foul on Jordan Poole.,62,83
1:15,2454,Trip Day made Free Throw.,63,83
1:15,2454,Trip Day missed Free Throw.,63,83
1:10,130,Jon Teske Defensive Rebound.,63,83
1:00,130,Isaiah Livers made Three Point Jumper. Assisted by Jon Teske.,63,86
0:41,2454,Osborn Blount Turnover.,63,86
0:41,130,Ibi Watson Steal.,63,86
0:39,130,Isaiah Livers Turnover.,63,86
0:17,2454,Benedikt Haid made Three Point Jumper. Assisted by Trip Day.,66,86
0:00,130,End of Game,66,86
