Texas-Tyler,Error,Sam Houston State,2534
4:27,3086,Xavier Fogle Defensive Rebound.,13,29
4:20,3086,Chase Mason missed Three Point Jumper.,13,29
4:20,2534,Jamal Williams Defensive Rebound.,13,29
4:17,3086,Foul on Jamal Green-Gaskin.,13,29
4:17,2534,Jamal Williams made Free Throw.,13,30
4:17,2534,Jamal Williams made Free Throw.,13,31
4:03,2534,Foul on Albert Almanza.,13,31
4:03,3086,Josh Tatum made Free Throw.,14,31
4:03,3086,Josh Tatum made Free Throw.,15,31
3:53,2534,Albert Almanza made Three Point Jumper. Assisted by Dajuan Jones.,15,34
3:39,3086,Chase Mason made Jumper. Assisted by Jamal Green-Gaskin.,17,34
3:16,2534,Abrian Edwards Turnover.,17,34
3:04,3086,Josh Tatum missed Layup.,17,34
3:04,2534,Albert Almanza Defensive Rebound.,17,34
2:48,2534,Marcus Harris made Three Point Jumper. Assisted by Josh Delaney.,17,37
2:17,3086,Cameron Frank Turnover.,17,37
1:51,2534,Dajuan Jones missed Layup.,17,37
1:51,3086,Jamal Green-Gaskin Defensive Rebound.,17,37
1:30,3086,Xavier Fogle missed Three Point Jumper.,17,37
1:30,3086,Chase Mason Offensive Rebound.,17,37
1:22,3086,Chase Mason made Layup.,19,37
1:09,2534,Devin Jackson missed Three Point Jumper.,19,37
1:09,3086,Xavier Fogle Defensive Rebound.,19,37
0:56,3086,Chase Mason made Three Point Jumper. Assisted by Xavier Fogle.,22,37
0:27,2534,Abrian Edwards missed Three Point Jumper.,22,37
0:27,3086,Jamal Green-Gaskin Defensive Rebound.,22,37
0:01,3086,Xavier Fogle missed Three Point Jumper.,22,37
0:01,2534,Devin Jackson Defensive Rebound.,22,37
0:00,2534,End of 1st half,22,37
19:48,2534,John Dewey III missed Three Point Jumper.,22,37
19:48,3086,Josh Tatum Defensive Rebound.,22,37
19:40,3086,Josh Tatum missed Layup.,22,37
19:40,2534,Cameron Delaney Defensive Rebound.,22,37
19:12,2534,Christopher Galbreath Jr. missed Layup.,22,37
19:12,3086,Cameron Frank Defensive Rebound.,22,37
19:11,2534,Foul on Jamal Williams.,22,37
18:49,3086,Xavier Fogle missed Three Point Jumper.,22,37
18:49,2534,Jamal Williams Defensive Rebound.,22,37
18:31,2534,John Dewey III missed Jumper.,22,37
18:31,2534,Jamal Williams Offensive Rebound.,22,37
18:27,3086,Foul on Jamal Green-Gaskin.,22,37
18:27,2534,Jamal Williams made Free Throw.,22,38
18:27,2534,Jamal Williams missed Free Throw.,22,38
18:27,3086,Chase Mason Defensive Rebound.,22,38
18:20,3086,Chase Mason missed Jumper.,22,38
18:20,2534,Marcus Harris Defensive Rebound.,22,38
18:11,2534,Jamal Williams made Layup. Assisted by Cameron Delaney.,22,40
17:46,3086,Chase Mason made Jumper. Assisted by Xavier Fogle.,24,40
17:28,2534,Cameron Delaney missed Three Point Jumper.,24,40
17:28,2534,Jamal Williams Offensive Rebound.,24,40
17:22,2534,Cameron Delaney made Layup. Assisted by Jamal Williams.,24,42
17:11,3086,Chase Mason made Three Point Jumper. Assisted by Josh Tatum.,27,42
16:49,2534,Christopher Galbreath Jr. made Jumper. Assisted by John Dewey III.,27,44
16:32,3086,Foul on Emeka Obukwelu.,27,44
16:32,3086,Emeka Obukwelu Turnover.,27,44
16:08,2534,John Dewey III Turnover.,27,44
15:50,2534,Foul on Albert Almanza.,27,44
15:50,2534,Official TV Timeout,27,44
15:47,3086,Skyler Hadden made Layup. Assisted by Josh Tatum.,29,44
15:20,2534,John Dewey III made Layup. Assisted by Albert Almanza.,29,46
15:20,3086,Foul on Emeka Obukwelu.,29,46
15:20,2534,John Dewey III made Free Throw.,29,47
15:02,3086,Cameron Frank made Three Point Jumper. Assisted by Davis Moore.,32,47
14:38,2534,John Dewey III made Layup. Assisted by Marcus Harris.,32,49
14:25,3086,Skyler Hadden missed Three Point Jumper.,32,49
14:25,2534,Albert Almanza Defensive Rebound.,32,49
14:10,2534,Bubba Furlong missed Layup.,32,49
14:10,2534,Bubba Furlong Offensive Rebound.,32,49
14:07,2534,Foul on Bubba Furlong.,32,49
14:07,2534,Bubba Furlong Turnover.,32,49
13:54,3086,Cameron Frank made Layup.,34,49
13:54,2534,Foul on Bubba Furlong.,34,49
13:54,3086,Cameron Frank made Free Throw.,35,49
13:47,2534,John Dewey III Turnover.,35,49
13:44,3086,Melvin Anthony Steal.,35,49
13:43,3086,Melvin Anthony made Layup. Assisted by Cameron Frank.,37,49
13:43,2534,Foul on Marcus Harris.,37,49
13:43,3086,Melvin Anthony made Free Throw.,38,49
13:28,2534,John Dewey III made Three Point Jumper. Assisted by Abrian Edwards.,38,52
13:12,3086,Melvin Anthony missed Layup.,38,52
13:12,2534,Chidozie Ndu Defensive Rebound.,38,52
13:04,2534,John Dewey III made Jumper. Assisted by Abrian Edwards.,38,54
12:52,3086,Cameron Frank Turnover.,38,54
12:35,2534,Abrian Edwards made Layup. Assisted by Josh Delaney.,38,56
12:24,3086,Skyler Hadden Turnover.,38,56
12:24,2534,Abrian Edwards Steal.,38,56
12:07,2534,Abrian Edwards missed Layup.,38,56
12:07,2534,Albert Almanza Offensive Rebound.,38,56
12:02,2534,Josh Delaney missed Three Point Jumper.,38,56
12:02,3086,Skyler Hadden Defensive Rebound.,38,56
11:51,3086,Melvin Anthony missed Three Point Jumper.,38,56
11:51,2534,Josh Delaney Defensive Rebound.,38,56
11:42,2534,Jamal Williams made Layup. Assisted by Abrian Edwards.,38,58
11:25,3086,Skyler Hadden missed Three Point Jumper.,38,58
11:25,2534,Jamal Williams Defensive Rebound.,38,58
11:15,2534,Abrian Edwards made Three Point Jumper. Assisted by Josh Delaney.,38,61
10:55,3086,Cameron Frank made Three Point Jumper.,41,61
10:40,3086,Foul on Cameron Frank.,41,61
10:36,2534,Abrian Edwards Turnover.,41,61
10:03,3086,Melvin Anthony Turnover.,41,61
9:51,2534,Albert Almanza made Three Point Jumper. Assisted by Josh Delaney.,41,64
9:17,3086,Chase Mason missed Three Point Jumper.,41,64
9:17,2534,John Dewey III Defensive Rebound.,41,64
9:11,3086,Foul on Melvin Anthony.,41,64
9:11,2534,Abrian Edwards made Free Throw.,41,65
9:11,2534,Abrian Edwards missed Free Throw.,41,65
9:11,3086,Melvin Anthony Defensive Rebound.,41,65
9:05,3086,Melvin Anthony Turnover.,41,65
9:04,2534,Abrian Edwards Steal.,41,65
9:01,2534,Abrian Edwards made Dunk.,41,67
8:44,3086,Xavier Fogle Turnover.,41,67
8:31,2534,John Dewey III missed Jumper.,41,67
8:31,3086,Melvin Anthony Defensive Rebound.,41,67
8:23,3086,Johnell Lane missed Layup.,41,67
8:23,2534,Bubba Furlong Block.,41,67
8:23,3086,Texas At Tyler Offensive Rebound.,41,67
8:11,3086,Josh Tatum Turnover.,41,67
8:10,2534,Cameron Delaney Steal.,41,67
8:07,2534,Jamal Williams missed Layup.,41,67
8:07,2534,John Dewey III Offensive Rebound.,41,67
8:04,2534,John Dewey III missed Layup.,41,67
8:04,2534,Cameron Delaney Offensive Rebound.,41,67
7:57,2534,Cameron Delaney made Layup.,41,69
7:50,3086,Foul on Emeka Obukwelu.,41,69
7:50,3086,Emeka Obukwelu Turnover.,41,69
7:31,2534,Cameron Delaney missed Three Point Jumper.,41,69
7:31,2534,Jamal Williams Offensive Rebound.,41,69
7:24,2534,Josh Delaney missed Three Point Jumper.,41,69
7:24,3086,Cameron Frank Defensive Rebound.,41,69
7:17,3086,Johnell Lane missed Three Point Jumper.,41,69
7:17,2534,John Dewey III Defensive Rebound.,41,69
7:10,2534,John Dewey III made Jumper. Assisted by Cameron Delaney.,41,71
6:56,2534,Foul on Christopher Galbreath Jr..,41,71
6:56,3086,Jamal Green-Gaskin made Free Throw.,42,71
6:56,3086,Jamal Green-Gaskin made Free Throw.,43,71
6:41,2534,Christopher Galbreath Jr. missed Jumper.,43,71
6:41,3086,Johnell Lane Defensive Rebound.,43,71
6:21,3086,Johnell Lane made Layup.,45,71
6:06,2534,Josh Delaney made Three Point Jumper. Assisted by Cameron Delaney.,45,74
5:47,3086,Jamal Green-Gaskin missed Three Point Jumper.,45,74
5:47,2534,Cameron Delaney Defensive Rebound.,45,74
5:40,3086,Foul on Johnell Lane.,45,74
5:40,2534,John Dewey III made Free Throw.,45,75
5:40,2534,John Dewey III made Free Throw.,45,76
5:23,2534,Foul on Marcus Harris.,45,76
5:23,3086,Chase Mason missed Free Throw.,45,76
5:23,3086,Texas At Tyler Deadball Team Rebound.,45,76
5:23,3086,Chase Mason made Free Throw.,46,76
5:08,2534,Devin Jackson missed Three Point Jumper.,46,76
5:08,3086,Cameron Frank Defensive Rebound.,46,76
4:57,3086,Jamal Green-Gaskin missed Jumper.,46,76
4:57,2534,Bubba Furlong Defensive Rebound.,46,76
4:37,2534,Devin Jackson missed Three Point Jumper.,46,76
4:37,2534,Bubba Furlong Offensive Rebound.,46,76
4:32,2534,Bubba Furlong missed Layup.,46,76
4:32,3086,Jamal Green-Gaskin Block.,46,76
4:29,2534,John Dewey III Offensive Rebound.,46,76
4:24,3086,Foul on Chase Mason.,46,76
4:24,2534,Jamal Williams made Free Throw.,46,77
4:24,2534,Jamal Williams made Free Throw.,46,78
4:03,3086,Chase Mason Turnover.,46,78
3:58,2534,Marcus Harris Steal.,46,78
3:54,2534,Jamal Williams missed Layup.,46,78
3:54,3086,Xavier Fogle Defensive Rebound.,46,78
3:49,3086,Xavier Fogle made Layup.,48,78
3:44,3086,Foul on Jamal Green-Gaskin.,48,78
3:44,2534,Marcus Harris made Free Throw.,48,79
3:44,2534,Marcus Harris missed Free Throw.,48,79
3:44,2534,Marcus Harris Offensive Rebound.,48,79
3:40,3086,Foul on Xavier Fogle.,48,79
3:40,2534,Marcus Harris made Free Throw.,48,80
3:40,2534,Marcus Harris made Free Throw.,48,81
3:28,3086,Xavier Fogle made Three Point Jumper. Assisted by Omar Mohamed.,51,81
3:05,2534,Dajuan Jones made Three Point Jumper. Assisted by Josh Delaney.,51,84
2:51,3086,Xavier Fogle missed Layup.,51,84
2:51,2534,Devin Jackson Defensive Rebound.,51,84
2:28,2534,Josh Delaney missed Three Point Jumper.,51,84
2:28,3086,Texas At Tyler Defensive Rebound.,51,84
