NC Wesleyan,Error,UNC Wilmington,350
14:11,-1,Justin Tankelewicz missed Three Point Jumper.,11,22
14:11,350,Jaylen Fornes Defensive Rebound.,11,22
14:03,350,Ty Taylor II missed Three Point Jumper.,11,22
14:03,-1,Robert Wilson Defensive Rebound.,11,22
13:42,-1,Chris Braswell missed Jumper.,11,22
13:42,350,Devontae Cacok Defensive Rebound.,11,22
13:33,-1,Foul on A.J. Frye.,11,22
13:33,350,Official TV Timeout,11,22
13:33,350,Marcus Bryan missed Free Throw.,11,22
13:33,350,UNC Wilmington Deadball Team Rebound.,11,22
13:33,350,Marcus Bryan missed Free Throw.,11,22
13:33,-1,Damon McDowell Defensive Rebound.,11,22
13:07,-1,Foul on Malique Judd.,11,22
13:07,-1,Malique Judd Turnover.,11,22
12:52,350,Trey Kalina Turnover.,11,22
12:27,-1,Chris Braswell missed Jumper.,11,22
12:27,350,Devontae Cacok Defensive Rebound.,11,22
12:18,-1,Foul on Ricardo Bullock.,11,22
12:15,350,Jay Estime' missed Three Point Jumper.,11,22
12:15,-1,Adrian Moore Defensive Rebound.,11,22
12:07,-1,Adrian Moore made Jumper.,13,22
11:59,350,Jeffrey Gary missed Three Point Jumper.,13,22
11:59,-1,Damon McDowell Defensive Rebound.,13,22
11:46,-1,Adrian Moore missed Jumper.,13,22
11:46,350,Devontae Cacok Defensive Rebound.,13,22
11:18,350,Trey Kalina missed Jumper.,13,22
11:18,-1,Adrian Moore Block.,13,22
11:15,350,Jay Estime' Offensive Rebound.,13,22
11:13,350,Jay Estime' missed Jumper.,13,22
11:13,-1,Ricardo Bullock Block.,13,22
11:10,-1,Damon McDowell Defensive Rebound.,13,22
11:06,-1,Chris Braswell made Three Point Jumper. Assisted by Adrian Moore.,16,22
10:58,350,Trey Kalina made Jumper.,16,24
10:42,-1,Damon McDowell made Jumper.,18,24
10:35,350,Jeffrey Gary made Layup. Assisted by Jacque Brown.,18,26
10:16,350,Official TV Timeout,18,26
10:09,-1,Chris Braswell Turnover.,18,26
10:08,350,Jacque Brown Steal.,18,26
10:01,350,Jeffrey Gary made Jumper.,18,28
9:40,-1,A.J. Frye made Jumper. Assisted by Chris Braswell.,20,28
9:22,350,Trey Kalina Turnover.,20,28
9:17,-1,Damon McDowell missed Jumper.,20,28
9:17,350,Jay Estime' Defensive Rebound.,20,28
8:52,350,Jordon Talley made Three Point Jumper. Assisted by Marcus Bryan.,20,31
8:31,-1,Justin Tankelewicz missed Three Point Jumper.,20,31
8:31,350,Jordon Talley Defensive Rebound.,20,31
8:28,-1,Foul on Malique Judd.,20,31
8:23,350,Marcus Bryan Turnover.,20,31
8:19,-1,Justin Tankelewicz missed Three Point Jumper.,20,31
8:19,350,Jordon Talley Defensive Rebound.,20,31
8:14,350,Jaylen Fornes missed Jumper.,20,31
8:14,350,Marcus Bryan Offensive Rebound.,20,31
8:10,350,Marcus Bryan made Jumper.,20,33
7:57,-1,A.J. Frye missed Three Point Jumper.,20,33
7:57,-1,Damon McDowell Offensive Rebound.,20,33
7:53,-1,Damon McDowell made Jumper.,22,33
7:34,-1,Foul on A.J. Frye.,22,33
7:32,350,Official TV Timeout,22,33
7:09,350,Devontae Cacok made Free Throw.,22,34
7:09,350,Devontae Cacok made Free Throw.,22,35
6:59,-1,Chris Sause missed Three Point Jumper.,22,35
6:59,350,Devontae Cacok Defensive Rebound.,22,35
6:45,350,Jaylen Fornes made Three Point Jumper. Assisted by Devontae Cacok.,22,38
6:28,-1,Robert Wilson missed Jumper.,22,38
6:28,350,Devontae Cacok Defensive Rebound.,22,38
6:26,-1,Foul on Adrian Moore.,22,38
6:26,350,Devontae Cacok made Free Throw.,22,39
6:26,350,Devontae Cacok made Free Throw.,22,40
6:14,-1,Robert Wilson made Three Point Jumper. Assisted by Chris Sause.,25,40
6:09,350,Ty Taylor II missed Jumper.,25,40
6:09,-1,Robert Wilson Block.,25,40
6:09,350,UNC Wilmington Offensive Rebound.,25,40
6:01,350,Devontae Cacok missed Jumper.,25,40
6:01,-1,Robert Wilson Defensive Rebound.,25,40
5:52,-1,Chris Sause made Jumper. Assisted by Justin Tankelewicz.,27,40
5:44,350,Jaylen Fornes missed Three Point Jumper.,27,40
5:44,350,Jaylen Fornes Offensive Rebound.,27,40
5:41,350,Jaylen Fornes made Layup.,27,42
5:32,-1,Chris Sause made Jumper.,29,42
5:16,350,Marcus Bryan made Layup.,29,44
5:03,-1,Robert Wilson Turnover.,29,44
5:01,350,Marcus Bryan Steal.,29,44
4:59,-1,Foul on Chris Sause.,29,44
4:59,350,Devontae Cacok made Free Throw.,29,45
4:59,350,Devontae Cacok missed Free Throw.,29,45
4:59,-1,Chris Sause Defensive Rebound.,29,45
4:37,-1,Chris Sause missed Three Point Jumper.,29,45
4:37,-1,A.J. Frye Offensive Rebound.,29,45
4:33,-1,A.J. Frye missed Jumper.,29,45
4:33,350,Devontae Cacok Defensive Rebound.,29,45
4:27,350,Devontae Cacok made Dunk.,29,47
4:12,-1,Justin Tankelewicz missed Three Point Jumper.,29,47
4:12,-1,Robert Wilson Offensive Rebound.,29,47
4:11,350,Foul on Devontae Cacok.,29,47
3:52,350,Foul on Trey Kalina.,29,47
3:52,350,Official TV Timeout,29,47
3:52,-1,Adrian Moore made Free Throw.,30,47
3:52,-1,Adrian Moore made Free Throw.,31,47
3:24,350,Jacque Brown made Jumper.,31,49
3:24,-1,Foul on Vernon McWhite.,31,49
3:24,350,Jacque Brown made Free Throw.,31,50
3:17,-1,Robert Wilson Turnover.,31,50
3:17,350,Marcus Bryan Steal.,31,50
3:01,350,Jeffrey Gary made Three Point Jumper. Assisted by Jacque Brown.,31,53
2:54,-1,Ricardo Bullock missed Jumper.,31,53
2:54,350,Trey Kalina Block.,31,53
2:51,-1,Robert Wilson Offensive Rebound.,31,53
2:49,-1,Robert Wilson missed Jumper.,31,53
2:49,-1,Robert Wilson Offensive Rebound.,31,53
2:49,350,Foul on Trey Kalina.,31,53
2:49,-1,Robert Wilson missed Free Throw.,31,53
2:49,-1,NC Wesleyan Deadball Team Rebound.,31,53
2:49,-1,Robert Wilson made Free Throw.,32,53
2:32,350,Jay Estime' missed Three Point Jumper.,32,53
2:32,-1,Adrian Moore Defensive Rebound.,32,53
2:25,-1,Justin Tankelewicz made Three Point Jumper. Assisted by Adrian Moore.,35,53
2:18,350,Jacque Brown made Jumper. Assisted by Jeffrey Gary.,35,55
1:59,-1,Adrian Moore missed Jumper.,35,55
1:59,350,Devontae Cacok Defensive Rebound.,35,55
1:53,350,Jay Estime' missed Layup.,35,55
1:53,-1,Ricardo Bullock Defensive Rebound.,35,55
1:36,-1,Justin Tankelewicz made Three Point Jumper. Assisted by Vernon McWhite.,38,55
1:25,350,Devontae Cacok made Dunk. Assisted by Jacque Brown.,38,57
1:05,-1,Justin Tankelewicz missed Jumper.,38,57
1:05,350,Devontae Cacok Defensive Rebound.,38,57
1:01,350,Devontae Cacok Turnover.,38,57
0:46,-1,Adrian Moore missed Jumper.,38,57
0:46,350,Devontae Cacok Defensive Rebound.,38,57
0:36,350,Devontae Cacok missed Jumper.,38,57
0:36,-1,Chris Sause Defensive Rebound.,38,57
0:28,-1,Adrian Moore made Layup.,40,57
0:00,350,Jaylen Fornes missed Three Point Jumper.,40,57
0:00,350,Marcus Bryan Offensive Rebound.,40,57
0:00,350,Marcus Bryan missed Jumper.,40,57
0:00,-1,NC Wesleyan Defensive Rebound.,40,57
0:00,350,End of 1st half,40,57
19:45,350,Devontae Cacok made Dunk. Assisted by Marcus Bryan.,40,59
19:29,-1,Justin Tankelewicz missed Three Point Jumper.,40,59
19:29,350,Devontae Cacok Defensive Rebound.,40,59
19:18,350,Jordon Talley missed Three Point Jumper.,40,59
19:18,350,Ty Taylor II Offensive Rebound.,40,59
19:14,350,Ty Taylor II missed Jumper.,40,59
19:14,350,Jaylen Fornes Offensive Rebound.,40,59
19:14,-1,Foul on Robert Wilson.,40,59
19:14,350,Jaylen Fornes made Free Throw.,40,60
19:14,350,Jaylen Fornes made Free Throw.,40,61
19:06,-1,Adrian Moore Turnover.,40,61
18:58,-1,Foul on Robert Wilson.,40,61
18:58,350,Jordon Talley made Free Throw.,40,62
18:58,350,Jordon Talley made Free Throw.,40,63
18:40,-1,Chris Braswell made Three Point Jumper. Assisted by Robert Wilson.,43,63
18:31,350,Jordon Talley made Layup.,43,65
18:09,-1,Chris Braswell missed Three Point Jumper.,43,65
18:09,-1,A.J. Frye Offensive Rebound.,43,65
18:05,-1,A.J. Frye made Jumper.,45,65
17:36,350,Jaylen Fornes missed Jumper.,45,65
17:36,-1,Robert Wilson Defensive Rebound.,45,65
17:30,-1,Justin Tankelewicz missed Three Point Jumper.,45,65
17:30,350,Marcus Bryan Defensive Rebound.,45,65
17:25,350,Devontae Cacok made Dunk. Assisted by Jaylen Fornes.,45,67
17:18,-1,Foul on Adrian Moore.,45,67
17:18,-1,Adrian Moore Turnover.,45,67
17:05,-1,Foul on Greg Joseph.,45,67
16:58,350,Jordon Talley Turnover.,45,67
16:56,-1,Chris Braswell Steal.,45,67
16:54,-1,Chris Braswell missed Layup.,45,67
16:54,-1,Justin Tankelewicz Offensive Rebound.,45,67
16:50,-1,Justin Tankelewicz missed Jumper.,45,67
16:50,350,Jaylen Fornes Defensive Rebound.,45,67
16:45,350,Jordon Talley made Layup. Assisted by Jaylen Fornes.,45,69
16:29,-1,Robert Wilson made Three Point Jumper. Assisted by A.J. Frye.,48,69
16:17,-1,Foul on Robert Wilson.,48,69
16:14,350,Devontae Cacok missed Jumper.,48,69
16:14,-1,Greg Joseph Defensive Rebound.,48,69
16:04,-1,A.J. Frye missed Layup.,48,69
16:04,350,Trey Kalina Defensive Rebound.,48,69
15:57,350,Ty Taylor II missed Jumper.,48,69
15:57,350,Devontae Cacok Offensive Rebound.,48,69
15:50,350,Jay Estime' made Three Point Jumper. Assisted by Jordon Talley.,48,72
15:31,-1,A.J. Frye Turnover.,48,72
15:31,350,Official TV Timeout,48,72
15:17,350,Jay Estime' missed Jumper.,48,72
15:17,-1,Ricardo Bullock Block.,48,72
15:14,350,Jay Estime' Offensive Rebound.,48,72
15:05,350,Jay Estime' made Layup.,48,74
14:50,-1,A.J. Frye made Three Point Jumper. Assisted by Chris Braswell.,51,74
14:34,350,Nick Powell made Three Point Jumper. Assisted by Jay Estime'.,51,77
14:22,-1,Chris Braswell Turnover.,51,77
14:20,350,Jeffrey Gary Steal.,51,77
14:18,350,Jeffrey Gary Turnover.,51,77
14:15,-1,Justin Tankelewicz Steal.,51,77
14:05,-1,A.J. Frye made Three Point Jumper. Assisted by Justin Tankelewicz.,54,77
13:47,350,Jeffrey Gary missed Three Point Jumper.,54,77
13:47,350,UNC Wilmington Offensive Rebound.,54,77
13:40,350,Jacque Brown missed Jumper.,54,77
13:40,-1,Chris Braswell Defensive Rebound.,54,77
13:35,350,Foul on Nick Powell.,54,77
13:35,-1,Chris Braswell made Free Throw.,55,77
13:35,-1,Chris Braswell made Free Throw.,56,77
13:17,350,Trey Kalina made Jumper.,56,79
13:03,-1,Ricardo Bullock made Layup.,58,79
12:51,350,Jay Estime' missed Three Point Jumper.,58,79
12:51,-1,Damon McDowell Defensive Rebound.,58,79
12:36,-1,Malique Judd made Layup.,60,79
12:29,-1,Foul on Damon McDowell.,60,79
12:19,-1,Foul on Ricardo Bullock.,60,79
12:19,350,Trey Kalina made Free Throw.,60,80
12:19,350,Trey Kalina missed Free Throw.,60,80
12:19,-1,Greg Joseph Defensive Rebound.,60,80
12:12,-1,Justin Tankelewicz missed Layup.,60,80
12:12,350,Trey Kalina Block.,60,80
12:10,350,Jacque Brown Defensive Rebound.,60,80
12:06,350,Nick Powell made Layup. Assisted by Jacque Brown.,60,82
11:50,-1,Justin Tankelewicz missed Three Point Jumper.,60,82
11:50,-1,Damon McDowell Offensive Rebound.,60,82
11:47,-1,Damon McDowell made Jumper.,62,82
11:34,350,Trey Kalina made Layup. Assisted by Nick Powell.,62,84
11:18,-1,Damon McDowell missed Layup.,62,84
11:18,350,Trey Kalina Block.,62,84
11:16,350,Nick Powell Defensive Rebound.,62,84
11:05,350,Jay Estime' missed Three Point Jumper.,62,84
11:05,350,Nick Powell Offensive Rebound.,62,84
10:59,350,Jacque Brown made Three Point Jumper. Assisted by Jay Estime'.,62,87
10:45,350,Official TV Timeout,62,87
10:30,350,Foul on Jordon Talley.,62,87
10:23,-1,Chris Sause missed Jumper.,62,87
10:23,350,Jordon Talley Defensive Rebound.,62,87
10:22,-1,Foul on A.J. Frye.,62,87
10:22,350,Jordon Talley made Free Throw.,62,88
10:22,350,Jordon Talley made Free Throw.,62,89
10:12,-1,Foul on Chris Sause.,62,89
10:12,-1,Chris Sause Turnover.,62,89
9:57,350,Foul on Jaylen Fornes.,62,89
9:57,350,Jaylen Fornes Turnover.,62,89
9:46,-1,A.J. Frye missed Jumper.,62,89
9:46,350,Marcus Bryan Block.,62,89
9:44,-1,A.J. Frye Offensive Rebound.,62,89
9:42,-1,Greg Joseph missed Three Point Jumper.,62,89
9:42,350,Devontae Cacok Defensive Rebound.,62,89
9:31,-1,Foul on Greg Joseph.,62,89
9:31,350,Devontae Cacok made Free Throw.,62,90
9:31,350,Devontae Cacok missed Free Throw.,62,90
9:31,-1,Chris Sause Defensive Rebound.,62,90
9:09,-1,Adrian Moore missed Jumper.,62,90
9:09,-1,Adrian Moore Offensive Rebound.,62,90
9:07,-1,Adrian Moore missed Jumper.,62,90
9:07,350,Ty Taylor II Defensive Rebound.,62,90
8:59,350,Jaylen Fornes missed Three Point Jumper.,62,90
8:59,-1,Adrian Moore Defensive Rebound.,62,90
8:53,350,Foul on Jaylen Fornes.,62,90
8:36,-1,Adrian Moore made Jumper. Assisted by Chris Sause.,64,90
8:22,350,Ty Taylor II missed Three Point Jumper.,64,90
8:22,-1,Chris Sause Defensive Rebound.,64,90
8:04,-1,Adrian Moore made Jumper.,66,90
7:56,350,Ty Taylor II missed Layup.,66,90
7:56,350,Devontae Cacok Offensive Rebound.,66,90
7:50,350,Devontae Cacok missed Jumper.,66,90
7:50,-1,Adrian Moore Defensive Rebound.,66,90
7:45,-1,Chris Braswell Turnover.,66,90
7:40,350,Ty Taylor II Steal.,66,90
7:38,350,Ty Taylor II made Layup.,66,92
7:20,-1,Adrian Moore made Layup.,68,92
7:12,350,Jordon Talley made Jumper.,68,94
6:54,-1,Adrian Moore missed Jumper.,68,94
6:54,350,Marcus Bryan Defensive Rebound.,68,94
6:43,350,Ty Taylor II missed Three Point Jumper.,68,94
6:43,350,Marcus Bryan Offensive Rebound.,68,94
6:38,350,Jordon Talley Turnover.,68,94
6:37,-1,Adrian Moore Steal.,68,94
6:35,350,Foul on Jordon Talley.,68,94
6:35,350,Official TV Timeout,68,94
6:26,350,Foul on Devontae Cacok.,68,94
6:26,-1,Chris Sause made Free Throw.,69,94
6:26,-1,Chris Sause made Free Throw.,70,94
6:07,350,Devontae Cacok made Dunk. Assisted by Jordon Talley.,70,96
5:55,-1,Gordon Brann missed Jumper.,70,96
5:55,350,Devontae Cacok Defensive Rebound.,70,96
5:48,350,Ty Taylor II missed Jumper.,70,96
5:48,-1,Damon McDowell Defensive Rebound.,70,96
5:42,-1,Damon McDowell Turnover.,70,96
5:39,350,Devontae Cacok Steal.,70,96
5:37,350,Jordon Talley Turnover.,70,96
5:19,-1,Cameron Martin missed Three Point Jumper.,70,96
5:19,350,Jaylen Fornes Defensive Rebound.,70,96
4:49,350,Jordon Talley made Three Point Jumper.,70,99
4:27,-1,Damon McDowell made Three Point Jumper. Assisted by Gordon Brann.,73,99
4:08,350,UNC Wilmington Deadball Team Rebound.,73,99
4:08,-1,Foul on Gordon Brann.,73,99
4:08,350,Devontae Cacok missed Free Throw.,73,99
4:08,350,UNC Wilmington Deadball Team Rebound.,73,99
4:08,350,Devontae Cacok made Free Throw.,73,100
3:47,350,Devontae Cacok missed Jumper.,73,100
3:47,350,Nick Powell Offensive Rebound.,73,100
3:44,350,Nick Powell missed Jumper.,73,100
3:44,-1,Justin Tankelewicz Block.,73,100
3:44,350,UNC Wilmington Offensive Rebound.,73,100
3:44,350,Official TV Timeout,73,100
3:44,350,Devontae Cacok missed Free Throw.,73,100
3:44,-1,Cameron Martin missed Three Point Jumper.,73,100
3:44,-1,NC Wesleyan Offensive Rebound.,73,100
3:42,-1,Mitch Layton made Jumper. Assisted by Josh Covington.,75,100
3:28,350,Trey Kalina made Jumper. Assisted by Jeffrey Gary.,75,102
3:15,-1,Mitch Layton made Jumper. Assisted by Cameron Martin.,77,102
2:56,350,Jay Estime' Turnover.,77,102
2:55,-1,Cameron Martin Steal.,77,102
2:43,-1,Mitch Layton Turnover.,77,102
2:34,350,Nick Powell made Three Point Jumper. Assisted by Jeffrey Gary.,77,105
2:28,-1,Gordon Brann missed Layup.,77,105
2:28,-1,Mitch Layton Offensive Rebound.,77,105
2:25,-1,Mitch Layton missed Jumper.,77,105
2:25,350,Trey Kalina Block.,77,105
2:24,350,Trey Kalina Defensive Rebound.,77,105
2:13,350,Jeffrey Gary missed Three Point Jumper.,77,105
2:13,350,Daniel Etoroma Offensive Rebound.,77,105
2:11,350,Daniel Etoroma missed Jumper.,77,105
2:11,350,Jay Estime' Offensive Rebound.,77,105
2:07,350,Daniel Etoroma missed Jumper.,77,105
2:07,350,Daniel Etoroma Offensive Rebound.,77,105
2:02,-1,Foul on Damon McDowell.,77,105
2:02,350,Jacque Brown missed Free Throw.,77,105
2:02,350,UNC Wilmington Deadball Team Rebound.,77,105
2:02,350,Jacque Brown missed Free Throw.,77,105
2:02,-1,Mitch Layton Defensive Rebound.,77,105
1:44,350,Foul on Jacque Brown.,77,105
1:44,-1,Josh Covington made Free Throw.,78,105
1:44,-1,Josh Covington missed Free Throw.,78,105
1:44,350,Daniel Etoroma Defensive Rebound.,78,105
1:27,350,Jacque Brown missed Three Point Jumper.,78,105
1:27,-1,Damon McDowell Defensive Rebound.,78,105
1:20,-1,Damon McDowell made Layup.,80,105
1:20,350,Foul on Daniel Etoroma.,80,105
1:20,-1,Damon McDowell made Free Throw.,81,105
1:05,350,Jeffrey Gary missed Layup.,81,105
1:05,-1,Gordon Brann Defensive Rebound.,81,105
0:56,-1,Cameron Martin Turnover.,81,105
0:40,350,Jay Estime' missed Three Point Jumper.,81,105
0:40,-1,Josh Covington Defensive Rebound.,81,105
0:31,-1,Gordon Brann Turnover.,81,105
0:30,350,Nick Powell Steal.,81,105
0:00,350,End of Game,81,105
