Monmouth,2514,Quinnipiac,2405
3:05,2514,Rich Kelly missed Three Point Jumper.,35,38
3:05,2514,Aaron Robinson Offensive Rebound.,35,38
2:47,2405,Foul on Micah Seaborn.,35,38
2:47,2514,Official TV Timeout,35,38
2:47,2514,Cameron Young made Free Throw.,35,39
2:47,2514,Cameron Young made Free Throw.,35,40
2:28,2405,Sam Ibiezugbe made Dunk. Assisted by Pierre Sarr.,37,40
2:12,2514,Andrew Robinson missed Three Point Jumper.,37,40
2:12,2405,Pierre Sarr Defensive Rebound.,37,40
2:05,2405,Pierre Sarr made Three Point Jumper. Assisted by Austin Tilghman.,40,40
1:45,2514,Aaron Robinson made Jumper.,40,42
1:32,2405,Deion Hammond missed Three Point Jumper.,40,42
1:32,2514,Andrew Robinson Defensive Rebound.,40,42
1:08,2514,Isaiah Washington Turnover.,40,42
1:08,2405,Pierre Sarr Steal.,40,42
1:02,2405,Deion Hammond made Three Point Jumper. Assisted by Austin Tilghman.,43,42
0:38,2514,Isaiah Washington missed Jumper.,43,42
0:38,2514,Abdulai Bundu Offensive Rebound.,43,42
0:20,2514,Andrew Robinson missed Three Point Jumper.,43,42
0:20,2405,Pierre Sarr Block.,43,42
0:18,2514,Quinnipiac Offensive Rebound.,43,42
0:04,2514,Cameron Young made Jumper.,43,44
0:00,2514,End of 1st half,43,44
19:42,2405,Diago Quinn missed Layup.,43,44
19:42,2514,Quinnipiac Defensive Rebound.,43,44
19:42,2405,Foul on Diago Quinn.,43,44
19:32,2514,Cameron Young missed Three Point Jumper.,43,44
19:32,2405,Deion Hammond Defensive Rebound.,43,44
19:19,2405,Diago Quinn made Layup. Assisted by Deion Hammond.,45,44
19:04,2514,Andrew Robinson missed Jumper.,45,44
19:04,2405,Mustapha Traore Defensive Rebound.,45,44
18:34,2405,Deion Hammond missed Jumper.,45,44
18:34,2514,Rich Kelly Defensive Rebound.,45,44
18:23,2514,Rich Kelly missed Layup.,45,44
18:23,2405,Diago Quinn Defensive Rebound.,45,44
18:18,2405,Micah Seaborn missed Three Point Jumper.,45,44
18:18,2514,Cameron Young Defensive Rebound.,45,44
18:07,2405,Foul on Diago Quinn.,45,44
18:07,2514,Abdulai Bundu missed Free Throw.,45,44
18:07,2514,Quinnipiac Deadball Team Rebound.,45,44
18:07,2514,Abdulai Bundu made Free Throw.,45,45
17:43,2405,Foul on Diago Quinn.,45,45
17:43,2405,Diago Quinn Turnover.,45,45
17:23,2514,Abdulai Bundu made Jumper. Assisted by Cameron Young.,45,47
17:04,2514,Foul on Andrew Robinson.,45,47
16:58,2405,Deion Hammond missed Jumper.,45,47
16:58,2405,Austin Tilghman Offensive Rebound.,45,47
16:52,2405,Micah Seaborn made Jumper. Assisted by Austin Tilghman.,47,47
16:35,2514,Jacob Rigoni made Three Point Jumper. Assisted by Rich Kelly.,47,50
16:20,2405,Mustapha Traore Turnover.,47,50
16:18,2514,Cameron Young Steal.,47,50
16:11,2514,Rich Kelly Turnover.,47,50
15:58,2514,Official TV Timeout,47,50
15:43,2514,Foul on Rich Kelly.,47,50
15:43,2405,Deion Hammond made Free Throw.,48,50
15:43,2405,Deion Hammond made Free Throw.,49,50
15:19,2514,Cameron Young missed Three Point Jumper.,49,50
15:19,2405,Micah Seaborn Block.,49,50
15:17,2405,Austin Tilghman Defensive Rebound.,49,50
15:14,2405,Austin Tilghman Turnover.,49,50
15:12,2514,Rich Kelly Steal.,49,50
15:09,2514,Aaron Robinson missed Three Point Jumper.,49,50
15:09,2514,Quinnipiac Offensive Rebound.,49,50
14:50,2514,Cameron Young Turnover.,49,50
14:49,2405,Micah Seaborn Steal.,49,50
14:46,2405,Micah Seaborn made Layup.,51,50
14:15,2514,Jacob Rigoni made Three Point Jumper. Assisted by Cameron Young.,51,53
13:47,2405,Austin Tilghman missed Layup.,51,53
13:47,2514,Cameron Young Block.,51,53
13:46,2514,Cameron Young Defensive Rebound.,51,53
13:35,2405,Foul on Mustapha Traore.,51,53
13:35,2514,Alain Chigha made Free Throw.,51,54
13:35,2514,Alain Chigha missed Free Throw.,51,54
13:35,2405,Ray Salnave Defensive Rebound.,51,54
13:31,2405,Zac Tillman made Layup. Assisted by Ray Salnave.,53,54
13:11,2405,Foul on Micah Seaborn.,53,54
13:04,2514,Isaiah Washington missed Jumper.,53,54
13:04,2405,Monmouth Defensive Rebound.,53,54
12:47,2405,Zac Tillman made Layup. Assisted by Ray Salnave.,55,54
12:24,2514,Cameron Young Turnover.,55,54
12:23,2405,Ray Salnave Steal.,55,54
12:19,2514,Foul on Abdulai Bundu.,55,54
12:07,2405,Zac Tillman missed Jumper.,55,54
12:07,2405,Marcus McClary Offensive Rebound.,55,54
12:05,2405,Marcus McClary made Layup.,57,54
12:00,2514,Quinnipiac  Timeout,57,54
11:53,2405,Foul on Marcus McClary.,57,54
11:53,2514,Official TV Timeout,57,54
11:47,2405,Foul on Marcus McClary.,57,54
11:47,2514,Cameron Young made Free Throw.,57,55
11:47,2514,Cameron Young missed Free Throw.,57,55
11:47,2405,Melik Martin Defensive Rebound.,57,55
11:39,2405,Ray Salnave missed Jumper.,57,55
11:39,2514,Jacob Rigoni Block.,57,55
11:38,2514,Abdulai Bundu Defensive Rebound.,57,55
11:12,2514,Abdulai Bundu Turnover.,57,55
11:12,2405,Zac Tillman Steal.,57,55
10:51,2514,Foul on Abdulai Bundu.,57,55
10:38,2514,Foul on Isaiah Washington.,57,55
10:23,2405,Louie Pillari missed Jumper.,57,55
10:23,2514,Abdulai Bundu Defensive Rebound.,57,55
10:15,2514,Jacob Rigoni made Three Point Jumper. Assisted by Rich Kelly.,57,58
9:55,2405,Melik Martin missed Three Point Jumper.,57,58
9:55,2514,Cameron Young Defensive Rebound.,57,58
9:45,2514,Jacob Rigoni made Three Point Jumper. Assisted by Rich Kelly.,57,61
9:32,2405,Zac Tillman Turnover.,57,61
9:31,2514,Cameron Young Steal.,57,61
9:25,2514,Jacob Rigoni missed Three Point Jumper.,57,61
9:25,2405,Marcus McClary Defensive Rebound.,57,61
9:17,2405,Marcus McClary missed Jumper.,57,61
9:17,2405,Louie Pillari Offensive Rebound.,57,61
8:49,2405,Micah Seaborn Turnover.,57,61
8:48,2514,Alain Chigha Steal.,57,61
8:37,2405,Foul on Diago Quinn.,57,61
8:37,2514,Alain Chigha made Free Throw.,57,62
8:37,2514,Alain Chigha made Free Throw.,57,63
8:15,2405,Austin Tilghman made Jumper.,59,63
7:40,2514,Aaron Robinson missed Jumper.,59,63
7:40,2514,Aaron Robinson Offensive Rebound.,59,63
7:15,2514,Rich Kelly made Jumper.,59,65
6:50,2405,Micah Seaborn made Three Point Jumper.,62,65
6:34,2405,Foul on Louie Pillari.,62,65
6:34,2514,Rich Kelly missed Free Throw.,62,65
6:34,2514,Andrew Robinson Offensive Rebound.,62,65
6:16,2514,Isaiah Washington missed Layup.,62,65
6:16,2405,Micah Seaborn Defensive Rebound.,62,65
6:01,2405,Sam Ibiezugbe missed Layup.,62,65
6:01,2514,Aaron Robinson Defensive Rebound.,62,65
5:39,2405,Foul on Melik Martin.,62,65
5:39,2514,Rich Kelly made Free Throw.,62,66
5:39,2514,Rich Kelly made Free Throw.,62,67
5:25,2405,Melik Martin missed Three Point Jumper.,62,67
5:25,2514,Abdulai Bundu Defensive Rebound.,62,67
5:17,2514,Jacob Rigoni made Three Point Jumper. Assisted by Rich Kelly.,62,70
4:54,2514,Foul on Isaiah Washington.,62,70
4:48,2405,Deion Hammond made Jumper.,64,70
4:25,2514,Rich Kelly Turnover.,64,70
4:25,2405,Micah Seaborn Steal.,64,70
4:05,2514,Foul on Jacob Rigoni.,64,70
4:05,2405,Pierre Sarr made Free Throw.,65,70
4:05,2405,Pierre Sarr made Free Throw.,66,70
3:54,2514,Cameron Young missed Three Point Jumper.,66,70
3:54,2405,Sam Ibiezugbe Defensive Rebound.,66,70
3:45,2514,Foul on Rich Kelly.,66,70
3:45,2405,Micah Seaborn made Free Throw.,67,70
3:45,2405,Micah Seaborn missed Free Throw.,67,70
3:45,2405,Austin Tilghman Offensive Rebound.,67,70
3:38,2514,Foul on Cameron Young.,67,70
3:27,2405,Austin Tilghman made Free Throw.,68,70
3:19,2405,Austin Tilghman missed Free Throw.,68,70
3:19,2514,Rich Kelly Defensive Rebound.,68,70
2:59,2514,Cameron Young made Layup. Assisted by Jacob Rigoni.,68,72
2:49,2405,Micah Seaborn missed Three Point Jumper.,68,72
2:49,2514,Isaiah Washington Block.,68,72
2:49,2514,Abdulai Bundu Defensive Rebound.,68,72
2:34,2514,Cameron Young Turnover.,68,72
2:34,2405,Pierre Sarr Steal.,68,72
2:24,2405,Sam Ibiezugbe missed Layup.,68,72
2:24,2514,Rich Kelly Defensive Rebound.,68,72
2:09,2514,Isaiah Washington made Three Point Jumper.,68,75
1:56,2405,Monmouth  Timeout,68,75
1:48,2405,Austin Tilghman made Layup. Assisted by Micah Seaborn.,70,75
1:11,2514,Rich Kelly missed Three Point Jumper.,70,75
1:11,2405,Micah Seaborn Defensive Rebound.,70,75
1:06,2405,Micah Seaborn made Jumper.,72,75
0:54,2514,Quinnipiac  Timeout,72,75
0:31,2514,Cameron Young missed Three Point Jumper.,72,75
0:31,2514,Cameron Young Offensive Rebound.,72,75
0:24,2405,Foul on Austin Tilghman.,72,75
0:24,2514,Isaiah Washington made Free Throw.,72,76
0:24,2514,Isaiah Washington missed Free Throw.,72,76
0:24,2405,Deion Hammond Defensive Rebound.,72,76
0:18,2405,Micah Seaborn missed Layup.,72,76
0:18,2514,Abdulai Bundu Block.,72,76
0:17,2514,Cameron Young Defensive Rebound.,72,76
0:14,2405,Foul on Austin Tilghman.,72,76
0:14,2514,Cameron Young missed Free Throw.,72,76
0:14,2514,Quinnipiac Deadball Team Rebound.,72,76
0:14,2514,Cameron Young missed Free Throw.,72,76
0:14,2405,Austin Tilghman Defensive Rebound.,72,76
0:08,2405,Deion Hammond made Three Point Jumper. Assisted by Austin Tilghman.,75,76
0:06,2405,Monmouth  Timeout,75,76
0:05,2405,Foul on Austin Tilghman.,75,76
0:05,2514,Rich Kelly made Free Throw.,75,77
0:05,2514,Rich Kelly made Free Throw.,75,78
0:05,2514,Quinnipiac  Timeout,75,78
0:04,2405,Monmouth  Timeout,75,78
0:01,2514,Foul on Abdulai Bundu.,75,78
0:01,2405,Pierre Sarr made Free Throw.,76,78
0:01,2405,Pierre Sarr missed Free Throw.,76,78
0:01,2514,Abdulai Bundu Defensive Rebound.,76,78
0:00,2405,Louie Pillari missed Three Point Jumper.,75,78
0:00,2405,Pierre Sarr Offensive Rebound.,75,78
0:00,2514,End of Game,75,78
