Avila,140,UMKC,2048
12:23,-1,Josh Benford Steal.,13,28
12:17,-1,Josh Benford Turnover.,13,28
12:17,140,Marco Smith Steal.,13,28
12:13,-1,Foul on Tajh Downs.,13,28
12:13,140,Marco Smith missed Free Throw.,13,28
12:13,140,UMKC Deadball Team Rebound.,13,28
12:13,140,Marco Smith made Free Throw.,13,29
12:02,140,Foul on Marvin Nesbitt Jr..,13,29
12:02,-1,Tajh Downs missed Free Throw.,13,29
12:02,-1,Avila Deadball Team Rebound.,13,29
12:02,-1,Tajh Downs missed Free Throw.,13,29
12:02,140,Mo Ahmed Defensive Rebound.,13,29
11:50,140,Mo Ahmed Turnover.,13,29
11:50,140,Official TV Timeout,13,29
11:49,140,Official TV Timeout,13,29
11:29,-1,Shandon Boone missed Three Point Jumper.,13,29
11:29,140,Mo Ahmed Defensive Rebound.,13,29
11:14,140,Brandon McKissic Turnover.,13,29
10:35,-1,Byron Cooke made Layup.,15,29
10:28,140,Broderick Robinson missed Jumper.,15,29
10:28,-1,James Thomas Defensive Rebound.,15,29
10:05,-1,Byron Cooke made Jumper.,17,29
9:52,140,Marco Smith made Jumper.,17,31
9:32,-1,Byron Cooke Turnover.,17,31
9:32,140,Steve Dulley Steal.,17,31
9:31,140,Steve Dulley missed Layup.,17,31
9:31,-1,Byron Cooke Block.,17,31
9:22,-1,James Thomas Defensive Rebound.,17,31
9:18,140,Foul on Mo Ahmed.,17,31
9:18,-1,Byron Cooke made Free Throw.,18,31
9:18,-1,Byron Cooke made Free Throw.,19,31
8:56,140,Xavier Bishop missed Three Point Jumper.,19,31
8:56,-1,Tajh Downs Block.,19,31
8:56,-1,Josh Benford Defensive Rebound.,19,31
8:49,-1,Tajh Downs Turnover.,19,31
8:30,140,Aleer Leek Turnover.,19,31
8:30,140,Foul on Aleer Leek.,19,31
8:22,-1,Foul on Darnell Miller.,19,31
8:22,-1,Darnell Miller Turnover.,19,31
8:04,140,Brandon McKissic Turnover.,19,31
8:04,-1,Darnell Miller Steal.,19,31
7:54,-1,James Thomas missed Layup.,19,31
7:54,140,Aleer Leek Defensive Rebound.,19,31
7:50,140,Xavier Bishop Turnover.,19,31
7:46,-1,Byron Cooke Steal.,19,31
7:41,140,Foul on Aleer Leek.,19,31
7:41,140,Official TV Timeout,19,31
7:41,-1,Josh Benford missed Free Throw.,19,31
7:41,-1,Avila Deadball Team Rebound.,19,31
7:41,-1,Josh Benford made Free Throw.,20,31
7:12,140,Mo Ahmed made Layup. Assisted by Broderick Robinson.,20,33
6:58,140,Foul on Steve Dulley.,20,33
6:58,-1,Tajh Downs made Free Throw.,21,33
6:58,-1,Tajh Downs made Free Throw.,22,33
6:44,140,Broderick Robinson missed Three Point Jumper.,22,33
6:44,-1,Byron Cooke Defensive Rebound.,22,33
6:18,-1,Byron Cooke made Layup.,24,33
5:53,140,Xavier Bishop made Three Point Jumper. Assisted by Broderick Robinson.,24,36
5:30,-1,Shandon Boone made Jumper. Assisted by Byron Cooke.,26,36
5:05,140,Mo Ahmed missed Jumper.,26,36
5:05,140,Broderick Robinson Offensive Rebound.,26,36
5:04,140,Isaiah Ross made Three Point Jumper. Assisted by Xavier Bishop.,26,39
4:50,140,Foul on Isaiah Ross.,26,39
4:50,-1,Josh Benford made Free Throw.,27,39
4:50,-1,Josh Benford missed Free Throw.,27,39
4:50,140,Mo Ahmed Defensive Rebound.,27,39
4:39,-1,Foul on Shandon Boone.,27,39
4:39,140,Robert Knar missed Free Throw.,27,39
4:39,-1,Josh Benford Defensive Rebound.,27,39
4:28,-1,Josh Benford made Jumper. Assisted by James Thomas.,29,39
4:03,140,Robert Knar missed Jumper.,29,39
4:03,-1,Steven Gramblin Defensive Rebound.,29,39
3:45,-1,James Thomas missed Jumper.,29,39
3:45,140,Xavier Bishop Defensive Rebound.,29,39
3:34,140,Robert Knar made Three Point Jumper. Assisted by Isaiah Ross.,29,42
3:13,-1,James Thomas missed Layup.,29,42
3:13,140,Robert Knar Defensive Rebound.,29,42
3:00,140,Isaiah Ross missed Three Point Jumper.,29,42
3:00,-1,Shandon Boone Defensive Rebound.,29,42
2:31,-1,Shandon Boone missed Three Point Jumper.,29,42
2:31,140,UMKC Defensive Rebound.,29,42
2:29,140,Official TV Timeout,29,42
2:17,-1,Foul on Darnell Miller.,29,42
2:17,140,Broderick Robinson made Free Throw.,29,43
2:17,140,Broderick Robinson missed Free Throw.,29,43
2:17,-1,Tajh Downs Defensive Rebound.,29,43
2:01,-1,Steven Gramblin missed Three Point Jumper.,29,43
2:01,-1,Dominique Washington Offensive Rebound.,29,43
1:45,-1,Byron Cooke missed Layup.,29,43
1:45,140,Mo Ahmed Block.,29,43
1:45,140,Mo Ahmed Defensive Rebound.,29,43
1:40,140,Marco Smith Turnover.,29,43
1:40,-1,Josh Benford Steal.,29,43
1:36,-1,Foul on Dominique Washington.,29,43
1:36,-1,Dominique Washington Turnover.,29,43
1:14,140,Xavier Bishop missed Three Point Jumper.,29,43
1:14,140,Marco Smith Offensive Rebound.,29,43
1:11,140,Xavier Bishop made Three Point Jumper. Assisted by Marco Smith.,29,46
0:43,-1,Steven Gramblin missed Jumper.,29,46
0:43,140,Mo Ahmed Defensive Rebound.,29,46
0:12,140,Xavier Bishop missed Three Point Jumper.,29,46
0:12,140,UMKC Offensive Rebound.,29,46
0:07,140,UMKC  Timeout,29,46
0:05,140,Broderick Robinson missed Jumper.,29,46
0:05,-1,Dominique Washington Defensive Rebound.,29,46
0:00,140,End of 1st half,29,46
19:44,-1,Tajh Downs missed Jumper.,29,46
19:44,140,Aleer Leek Defensive Rebound.,29,46
19:37,140,Isaiah Ross made Jumper.,29,48
19:20,140,Foul on Xavier Bishop.,29,48
19:20,-1,Tajh Downs made Free Throw.,30,48
19:20,-1,Tajh Downs missed Free Throw.,30,48
19:20,140,Isaiah Ross Defensive Rebound.,30,48
19:03,140,Jordan Giles missed Three Point Jumper.,30,48
19:03,-1,James Thomas Defensive Rebound.,30,48
18:37,-1,Josh Benford made Jumper. Assisted by Byron Cooke.,32,48
18:30,140,Aleer Leek missed Jumper.,32,48
18:30,-1,James Thomas Defensive Rebound.,32,48
18:19,-1,Byron Cooke made Layup. Assisted by Josh Benford.,34,48
18:05,140,Broderick Robinson made Three Point Jumper.,34,51
17:58,-1,Tajh Downs made Layup.,36,51
17:38,-1,Foul on Tajh Downs.,36,51
17:38,140,Xavier Bishop made Free Throw.,36,52
17:38,140,Xavier Bishop made Free Throw.,36,53
17:38,140,Isaiah Ross missed Three Point Jumper.,36,53
17:38,-1,Shandon Boone Defensive Rebound.,36,53
17:38,-1,Avila  Turnover.,36,53
17:25,-1,Tajh Downs missed Layup.,36,53
17:25,140,Aleer Leek Defensive Rebound.,36,53
17:05,140,Brandon McKissic missed Jumper.,36,53
17:05,-1,Tajh Downs Defensive Rebound.,36,53
16:50,-1,Josh Benford Turnover.,36,53
16:48,140,Broderick Robinson Steal.,36,53
16:42,140,Broderick Robinson made Layup.,36,55
16:23,-1,Dominique Washington missed Three Point Jumper.,36,55
16:23,140,Brandon McKissic Defensive Rebound.,36,55
16:08,140,Isaiah Ross missed Three Point Jumper.,36,55
16:08,140,Broderick Robinson Offensive Rebound.,36,55
15:59,140,Aleer Leek missed Three Point Jumper.,36,55
15:59,-1,Dominique Washington Defensive Rebound.,36,55
15:55,-1,Avila  Timeout,36,55
15:55,140,Official TV Timeout,36,55
15:35,-1,Steven Gramblin missed Jumper.,36,55
15:35,140,UMKC Deadball Team Rebound.,36,55
15:17,140,Aleer Leek made Jumper.,36,57
15:07,-1,Dominique Washington missed Layup.,36,57
15:07,140,Isaiah Ross Defensive Rebound.,36,57
15:02,-1,Foul on Steven Gramblin.,36,57
14:58,140,Aleer Leek made Three Point Jumper. Assisted by Brandon McKissic.,36,60
14:46,-1,Steven Gramblin Turnover.,36,60
14:42,140,Marvin Nesbitt Jr. Steal.,36,60
14:36,140,Isaiah Ross missed Three Point Jumper.,36,60
14:36,-1,Tajh Downs Defensive Rebound.,36,60
14:20,-1,Dominique Washington missed Three Point Jumper.,36,60
14:20,140,Isaiah Ross Defensive Rebound.,36,60
14:01,-1,Foul on Dominique Washington.,36,60
13:46,-1,Foul on Shandon Boone.,36,60
13:38,140,Marvin Nesbitt Jr. made Jumper. Assisted by Xavier Bishop.,36,62
13:23,-1,Byron Cooke missed Jumper.,36,62
13:23,140,Brandon McKissic Defensive Rebound.,36,62
13:14,140,Isaiah Ross made Three Point Jumper. Assisted by Marvin Nesbitt Jr..,36,65
12:43,-1,James Thomas missed Jumper.,36,65
12:43,-1,Avila Offensive Rebound.,36,65
12:35,-1,Darnell Miller made Jumper. Assisted by Byron Cooke.,38,65
12:20,140,Brandon McKissic missed Three Point Jumper.,38,65
12:20,-1,Shandon Boone Defensive Rebound.,38,65
12:16,-1,Shandon Boone made Three Point Jumper. Assisted by Byron Cooke.,41,65
11:53,-1,Foul on James Thomas.,41,65
11:53,140,Official TV Timeout,41,65
11:46,140,Robert Knar made Jumper.,41,67
11:34,-1,Darnell Miller made Three Point Jumper. Assisted by Shandon Boone.,44,67
11:12,140,Mo Ahmed missed Jumper.,44,67
11:12,-1,Byron Cooke Defensive Rebound.,44,67
11:08,-1,Shandon Boone missed Three Point Jumper.,44,67
11:08,140,Xavier Bishop Defensive Rebound.,44,67
10:47,140,Xavier Bishop made Layup.,44,69
10:35,-1,Darnell Miller missed Three Point Jumper.,44,69
10:35,140,Xavier Bishop Defensive Rebound.,44,69
10:24,140,Xavier Bishop Turnover.,44,69
10:24,140,Foul on Xavier Bishop.,44,69
10:09,-1,James Thomas made Layup. Assisted by Darnell Miller.,46,69
9:57,140,Broderick Robinson missed Three Point Jumper.,46,69
9:57,140,Marvin Nesbitt Jr. Offensive Rebound.,46,69
9:47,140,Robert Knar made Jumper. Assisted by Xavier Bishop.,46,71
9:28,-1,James Thomas made Dunk. Assisted by Byron Cooke.,48,71
9:05,140,Marvin Nesbitt Jr. made Layup. Assisted by Xavier Bishop.,48,73
8:43,-1,Byron Cooke made Layup.,50,73
8:43,140,Foul on Marvin Nesbitt Jr..,50,73
8:43,-1,Byron Cooke made Free Throw.,51,73
8:16,-1,James Thomas Defensive Rebound.,51,73
8:16,140,Broderick Robinson missed Jumper.,51,73
8:03,-1,Darnell Miller made Layup.,53,73
7:49,140,Steve Dulley missed Three Point Jumper.,53,73
7:49,-1,Byron Cooke Defensive Rebound.,53,73
7:37,-1,James Thomas made Layup. Assisted by Byron Cooke.,55,73
7:20,140,Robert Knar missed Jumper.,55,73
7:20,140,UMKC Deadball Team Rebound.,55,73
7:15,-1,Foul on James Thomas.,55,73
7:15,140,Official TV Timeout,55,73
7:11,140,Aleer Leek made Layup. Assisted by Jordan Giles.,55,75
6:52,-1,Shandon Boone missed Three Point Jumper.,55,75
6:52,140,Aleer Leek Defensive Rebound.,55,75
6:42,140,Isaiah Ross missed Three Point Jumper.,55,75
6:42,140,Jordan Giles Offensive Rebound.,55,75
6:40,-1,Foul on James Thomas.,55,75
6:40,140,Jordan Giles made Free Throw.,55,76
6:40,140,Jordan Giles missed Free Throw.,55,76
6:40,140,Steve Dulley Offensive Rebound.,55,76
6:30,140,Steve Dulley missed Layup.,55,76
6:30,-1,Dominique Washington Defensive Rebound.,55,76
6:11,-1,Shandon Boone missed Three Point Jumper.,55,76
6:11,140,Isaiah Ross Defensive Rebound.,55,76
6:08,140,Jordan Giles Turnover.,55,76
6:03,-1,Josh Benford Steal.,55,76
5:44,-1,Darnell Miller missed Three Point Jumper.,55,76
5:44,140,Steve Dulley Defensive Rebound.,55,76
5:23,140,Xavier Bishop missed Three Point Jumper.,55,76
5:23,140,Jordan Giles Offensive Rebound.,55,76
5:20,140,Jordan Giles missed Two Point Tip Shot.,55,76
5:20,140,UMKC Offensive Rebound.,55,76
5:10,140,Isaiah Ross made Layup.,55,78
4:46,-1,Tajh Downs missed Jumper.,55,78
4:46,140,Isaiah Ross Defensive Rebound.,55,78
4:38,140,Steve Dulley missed Three Point Jumper.,55,78
4:38,-1,Steven Gramblin Defensive Rebound.,55,78
4:35,-1,Tajh Downs Turnover.,55,78
4:35,140,Xavier Bishop Steal.,55,78
4:33,140,Xavier Bishop made Layup.,55,80
4:13,-1,Byron Cooke Turnover.,55,80
3:55,140,Isaiah Ross missed Layup.,55,80
3:55,-1,Tajh Downs Defensive Rebound.,55,80
3:53,140,Foul on Mo Ahmed.,55,80
3:53,140,Official TV Timeout,55,80
3:27,-1,Darnell Miller missed Three Point Jumper.,55,80
3:27,-1,Darnell Miller Offensive Rebound.,55,80
3:19,-1,Darnell Miller missed Three Point Jumper.,55,80
3:19,-1,Avila Offensive Rebound.,55,80
3:15,-1,Darnell Miller Turnover.,55,80
3:15,140,Brandon McKissic Steal.,55,80
3:01,-1,Foul on Darnell Miller.,55,80
3:01,140,Jordan Giles made Free Throw.,55,81
3:01,140,Jordan Giles made Free Throw.,55,82
2:33,-1,Foul on Darnell Miller.,55,82
2:33,-1,Darnell Miller Turnover.,55,82
2:17,140,Robert Knar made Three Point Jumper.,55,85
2:02,-1,Shandon Boone made Three Point Jumper.,58,85
1:41,140,Robert Knar made Jumper.,58,87
1:25,-1,Byron Cooke missed Jumper.,58,87
1:25,140,Steve Dulley Defensive Rebound.,58,87
1:18,-1,Foul on Kenric Twine.,58,87
1:18,140,Steve Dulley missed Free Throw.,58,87
1:18,140,UMKC Deadball Team Rebound.,58,87
1:18,140,Steve Dulley missed Free Throw.,58,87
1:18,-1,Shandon Boone Defensive Rebound.,58,87
0:52,-1,James Thomas missed Jumper.,58,87
0:52,140,Brandon McKissic Defensive Rebound.,58,87
0:43,140,Mo Ahmed made Dunk. Assisted by Steve Dulley.,58,89
0:32,-1,Kenric Twine missed Layup.,58,89
0:32,140,Mo Ahmed Block.,58,89
0:30,-1,Avila Offensive Rebound.,58,89
0:23,-1,Kenric Twine missed Jumper.,58,89
0:23,140,Brandon McKissic Defensive Rebound.,58,89
0:00,140,End of Game,58,89
