Houston,58,South Florida,248
4:12,58,David Collins made Free Throw.,40,26
4:12,58,David Collins missed Free Throw.,40,26
4:12,248,Nura Zanna Defensive Rebound.,40,26
3:50,248,Rob Gray missed Three Point Jumper.,40,26
3:50,58,Stephan Jiggetts Defensive Rebound.,40,26
3:47,58,Official TV Timeout,40,26
3:16,58,Malik Martin missed Jumper.,40,26
3:16,248,Breaon Brady Defensive Rebound.,40,26
2:56,248,Corey Davis Jr. missed Three Point Jumper.,40,26
2:56,248,Houston Offensive Rebound.,40,26
2:50,248,Houston  Turnover.,40,26
2:39,58,David Collins missed Jumper.,40,26
2:39,248,Breaon Brady Defensive Rebound.,40,26
2:33,248,Breaon Brady Turnover.,40,26
2:32,58,David Collins Steal.,40,26
2:29,58,David Collins made Three Point Jumper. Assisted by Stephan Jiggetts.,40,29
1:59,248,Rob Gray missed Jumper.,40,29
1:59,58,David Collins Defensive Rebound.,40,29
1:51,58,Malik Martin made Layup. Assisted by David Collins.,40,31
1:43,248,Houston  Timeout,40,31
1:34,248,Corey Davis Jr. missed Three Point Jumper.,40,31
1:34,248,Chris Harris Jr. Offensive Rebound.,40,31
1:24,248,Wes VanBeck missed Three Point Jumper.,40,31
1:24,58,Justin Brown Defensive Rebound.,40,31
1:16,58,Justin Brown missed Layup.,40,31
1:16,248,Chris Harris Jr. Defensive Rebound.,40,31
1:09,248,Rob Gray made Layup.,42,31
0:47,248,Foul on Nura Zanna.,42,31
0:47,58,Isaiah Manderson made Free Throw.,42,32
0:47,58,Isaiah Manderson made Free Throw.,42,33
0:23,248,Wes VanBeck missed Three Point Jumper.,42,33
0:23,58,South Florida Defensive Rebound.,42,33
0:03,58,Stephan Jiggetts missed Jumper.,42,33
0:03,58,David Collins Offensive Rebound.,42,33
0:00,58,David Collins missed Layup.,42,33
0:00,248,Houston Defensive Rebound.,42,33
0:00,58,End of 1st half,42,33
19:51,58,Justin Brown made Jumper.,42,35
19:43,248,Rob Gray missed Jumper.,42,35
19:43,58,South Florida Defensive Rebound.,42,35
19:30,58,Terrence Samuel Turnover.,42,35
19:30,58,Foul on Terrence Samuel.,42,35
19:15,248,Rob Gray missed Layup.,42,35
19:15,58,Justin Brown Defensive Rebound.,42,35
19:06,58,Nikola Scekic missed Jumper.,42,35
19:06,248,Devin Davis Defensive Rebound.,42,35
18:45,248,Devin Davis made Jumper.,44,35
18:16,58,Stephan Jiggetts missed Jumper.,44,35
18:16,248,Devin Davis Defensive Rebound.,44,35
18:06,58,Foul on Terrence Samuel.,44,35
18:06,248,Rob Gray made Free Throw.,45,35
18:06,248,Rob Gray made Free Throw.,46,35
17:47,58,Tulio Da Silva missed Jumper.,46,35
17:47,248,Galen Robinson Jr. Defensive Rebound.,46,35
17:40,58,Foul on David Collins.,46,35
17:40,248,Corey Davis Jr. made Free Throw.,47,35
17:40,248,Corey Davis Jr. made Free Throw.,48,35
17:28,58,David Collins missed Three Point Jumper.,48,35
17:28,248,Houston Defensive Rebound.,48,35
17:11,248,Devin Davis missed Jumper.,48,35
17:11,58,Nikola Scekic Defensive Rebound.,48,35
17:10,248,Foul on Breaon Brady.,48,35
16:40,58,Stephan Jiggetts Turnover.,48,35
16:31,248,Corey Davis Jr. missed Layup.,48,35
16:31,248,Breaon Brady Offensive Rebound.,48,35
16:28,248,Breaon Brady made Layup.,50,35
16:21,58,Justin Brown missed Layup.,50,35
16:21,248,Breaon Brady Defensive Rebound.,50,35
16:20,58,Foul on Nikola Scekic.,50,35
16:11,248,Rob Gray made Jumper.,52,35
16:05,58,Official TV Timeout,52,35
16:05,58,South Florida  Timeout,52,35
15:57,58,David Collins Turnover.,52,35
15:57,58,Official TV Timeout,52,35
15:39,248,Devin Davis missed Layup.,52,35
15:39,248,Galen Robinson Jr. Offensive Rebound.,52,35
15:24,248,Devin Davis made Layup.,54,35
15:02,248,Foul on Devin Davis.,54,35
14:46,58,Isaiah Manderson made Jumper.,54,37
14:32,248,Galen Robinson Jr. missed Three Point Jumper.,54,37
14:32,58,Isaiah Manderson Defensive Rebound.,54,37
14:06,58,David Collins Turnover.,54,37
14:06,58,Foul on David Collins.,54,37
13:43,58,Foul on Justin Brown.,54,37
13:39,248,Devin Davis made Jumper.,56,37
13:18,248,Foul on Chris Harris Jr..,56,37
13:18,58,Stephan Jiggetts made Free Throw.,56,38
13:18,58,Stephan Jiggetts made Free Throw.,56,39
12:59,248,Fabian White Jr. made Layup.,58,39
12:41,58,Isaiah Manderson made Jumper.,58,41
12:27,248,Corey Davis Jr. missed Three Point Jumper.,58,41
12:27,248,Armoni Brooks Offensive Rebound.,58,41
12:12,248,Rob Gray made Jumper.,60,41
11:47,58,Justin Brown Turnover.,60,41
11:45,248,Corey Davis Jr. Steal.,60,41
11:42,248,Armoni Brooks missed Layup.,60,41
11:42,58,Justin Brown Defensive Rebound.,60,41
11:32,58,Justin Brown made Three Point Jumper. Assisted by Tulio Da Silva.,60,44
10:59,58,Foul on Stephan Jiggetts.,60,44
10:59,58,Official TV Timeout,60,44
10:59,248,Corey Davis Jr. made Free Throw.,61,44
10:59,248,Corey Davis Jr. made Free Throw.,62,44
10:38,58,Tulio Da Silva missed Jumper.,62,44
10:38,58,Justin Brown Offensive Rebound.,62,44
10:25,248,Foul on Chris Harris Jr..,62,44
10:09,58,Terrence Samuel Turnover.,62,44
10:07,248,Corey Davis Jr. Steal.,62,44
10:05,248,Armoni Brooks made Three Point Jumper. Assisted by Corey Davis Jr..,65,44
9:37,58,Terrence Samuel missed Jumper.,65,44
9:37,58,David Collins Offensive Rebound.,65,44
9:33,248,Foul on Chris Harris Jr..,65,44
9:33,58,David Collins made Free Throw.,65,45
9:33,58,David Collins made Free Throw.,65,46
9:15,248,Fabian White Jr. missed Layup.,65,46
9:15,58,Tulio Da Silva Block.,65,46
9:13,58,Isaiah Manderson Defensive Rebound.,65,46
9:03,58,David Collins missed Layup.,65,46
9:03,248,Fabian White Jr. Defensive Rebound.,65,46
8:58,248,Wes VanBeck missed Three Point Jumper.,65,46
8:58,248,Nura Zanna Offensive Rebound.,65,46
8:52,248,Armoni Brooks missed Three Point Jumper.,65,46
8:52,58,Tulio Da Silva Defensive Rebound.,65,46
8:45,248,Foul on Galen Robinson Jr..,65,46
8:39,58,Stephan Jiggetts missed Jumper.,65,46
8:39,248,Galen Robinson Jr. Defensive Rebound.,65,46
8:32,248,Armoni Brooks made Layup. Assisted by Galen Robinson Jr..,67,46
8:09,58,Tulio Da Silva missed Jumper.,67,46
8:09,58,Malik Martin Offensive Rebound.,67,46
8:04,58,Malik Martin missed Jumper.,67,46
8:04,58,South Florida Offensive Rebound.,67,46
8:02,248,Foul on Wes VanBeck.,67,46
8:02,58,Tulio Da Silva made Free Throw.,67,47
8:02,58,Tulio Da Silva missed Free Throw.,67,47
8:02,58,Malik Martin Offensive Rebound.,67,47
7:59,58,Malik Martin missed Layup.,67,47
7:59,58,Justin Brown Offensive Rebound.,67,47
7:58,58,Official TV Timeout,67,49
7:58,248,Foul on Breaon Brady.,67,47
7:58,58,Official TV Timeout,67,47
7:58,58,Justin Brown made Free Throw.,67,48
7:58,58,Justin Brown made Free Throw.,67,49
7:29,248,Armoni Brooks made Three Point Jumper. Assisted by Devin Davis.,70,49
7:14,248,Foul on Rob Gray.,70,49
7:14,58,Tulio Da Silva missed Free Throw.,70,49
7:14,248,Galen Robinson Jr. Defensive Rebound.,70,49
6:59,248,Devin Davis made Jumper.,72,49
6:45,58,Malik Martin Turnover.,72,49
6:17,248,Rob Gray Turnover.,72,49
6:16,58,David Collins Steal.,72,49
6:13,58,David Collins made Layup.,72,51
6:12,58,Foul on David Collins.,72,51
6:12,248,Galen Robinson Jr. made Free Throw.,73,51
6:12,248,Galen Robinson Jr. made Free Throw.,74,51
5:44,58,Stephan Jiggetts missed Three Point Jumper.,74,51
5:44,248,Nura Zanna Defensive Rebound.,74,51
5:40,58,Foul on Isaiah Manderson.,74,51
5:40,248,Nura Zanna made Free Throw.,75,51
5:40,248,Nura Zanna made Free Throw.,76,51
5:26,58,Justin Brown missed Three Point Jumper.,76,51
5:26,248,Armoni Brooks Defensive Rebound.,76,51
5:11,248,Rob Gray Turnover.,76,51
5:09,58,Malik Martin Steal.,76,51
5:05,58,Terrence Samuel missed Layup.,76,51
5:05,248,Nura Zanna Defensive Rebound.,76,51
5:00,248,Armoni Brooks missed Three Point Jumper.,76,51
5:00,58,Malik Martin Defensive Rebound.,76,51
4:44,58,Justin Brown made Three Point Jumper. Assisted by Malik Martin.,76,54
4:29,248,Houston  Timeout,76,54
4:29,58,Official TV Timeout,76,54
4:11,248,Armoni Brooks made Three Point Jumper. Assisted by Galen Robinson Jr..,79,54
3:57,58,Stephan Jiggetts missed Three Point Jumper.,79,54
3:57,58,Malik Martin Offensive Rebound.,79,54
3:49,58,Malik Martin missed Layup.,79,54
3:49,248,Fabian White Jr. Defensive Rebound.,79,54
3:43,248,Armoni Brooks missed Three Point Jumper.,79,54
3:43,248,Nura Zanna Offensive Rebound.,79,54
3:26,248,Fabian White Jr. missed Layup.,79,54
3:26,58,Isaiah Manderson Defensive Rebound.,79,54
3:18,58,Terrence Samuel missed Jumper.,79,54
3:18,248,Galen Robinson Jr. Defensive Rebound.,79,54
2:45,248,Gabe Grant missed Three Point Jumper.,79,54
2:45,58,Terrence Samuel Defensive Rebound.,79,54
2:45,248,Foul on Nura Zanna.,79,54
2:45,58,Terrence Samuel made Free Throw.,79,55
2:45,58,Terrence Samuel made Free Throw.,79,56
2:37,248,Gabe Grant missed Layup.,79,56
2:37,58,Isaiah Manderson Defensive Rebound.,79,56
2:30,58,Justin Brown missed Three Point Jumper.,79,56
2:30,248,Gabe Grant Defensive Rebound.,79,56
2:14,248,Armoni Brooks missed Jumper.,79,56
2:14,58,Isaiah Manderson Defensive Rebound.,79,56
1:52,58,David Collins made Jumper.,79,58
1:27,248,Gabe Grant missed Three Point Jumper.,79,58
1:27,58,South Florida Defensive Rebound.,79,58
1:08,58,Isaiah Manderson made Jumper.,79,60
0:36,248,Valentine Sangoyomi missed Layup.,79,60
0:36,58,Malik Martin Block.,79,60
0:34,58,Isaiah Manderson Defensive Rebound.,79,60
0:21,58,Foul on Terrence Samuel.,79,60
0:21,58,Terrence Samuel Turnover.,79,60
0:00,58,End of Game,79,60
