IUPUI,94,Northern Kentucky,85
12:22,85,IUPUI Offensive Rebound.,14,8
12:05,85,T.J. Henderson missed Three Point Jumper.,14,8
12:05,85,Maurice Kirby Offensive Rebound.,14,8
12:00,85,Maurice Kirby made Jumper.,16,8
11:45,94,Drew McDonald missed Three Point Jumper.,16,8
11:45,85,Ron Patterson Defensive Rebound.,16,8
11:20,85,T.J. Henderson Turnover.,16,8
11:19,94,Tyler Sharpe Steal.,16,8
11:16,94,Jalen Tate made Layup. Assisted by Mason Faulkner.,16,10
11:16,94,Official TV Timeout,16,10
10:48,85,T.J. Henderson made Three Point Jumper. Assisted by Jaylen Minnett.,19,10
10:21,94,Lavone Holland II missed Layup.,19,10
10:21,85,Ron Patterson Block.,19,10
10:20,85,T.J. Henderson Defensive Rebound.,19,10
10:02,85,Ron Patterson missed Three Point Jumper.,19,10
10:02,94,Carson Williams Defensive Rebound.,19,10
9:42,94,Jalen Tate made Layup.,19,12
9:12,85,Elyjah Goss missed Layup.,19,12
9:12,94,Carson Williams Block.,19,12
9:11,94,Drew McDonald Defensive Rebound.,19,12
9:07,94,Carson Williams Turnover.,19,12
8:50,94,Foul on Jalen Tate.,19,12
8:50,85,Nick Rogers made Free Throw.,20,12
8:50,85,Nick Rogers made Free Throw.,21,12
8:29,94,Jalen Tate missed Three Point Jumper.,21,12
8:29,85,D.J. McCall Defensive Rebound.,21,12
8:15,85,Aaron Brennan missed Three Point Jumper.,21,12
8:15,94,Drew McDonald Defensive Rebound.,21,12
7:55,94,Lavone Holland II made Jumper.,21,14
7:27,85,Ron Patterson missed Jumper.,21,14
7:27,94,Lavone Holland II Defensive Rebound.,21,14
7:11,85,Foul on Maurice Kirby.,21,14
7:11,94,Official TV Timeout,21,14
6:53,94,Drew McDonald made Three Point Jumper. Assisted by Lavone Holland II.,21,17
6:21,85,Elyjah Goss missed Jumper.,21,17
6:21,94,Jalen Tate Defensive Rebound.,21,17
5:55,94,Jalen Tate made Jumper.,21,19
5:36,85,Nick Rogers Turnover.,21,19
5:36,94,Drew McDonald Steal.,21,19
5:36,94,Drew McDonald Turnover.,21,19
5:27,85,Jaylen Minnett missed Jumper.,21,19
5:27,85,Elyjah Goss Offensive Rebound.,21,19
5:22,85,Elyjah Goss missed Two Point Tip Shot.,21,19
5:22,85,Elyjah Goss Offensive Rebound.,21,19
5:20,85,Elyjah Goss Turnover.,21,19
5:19,94,Carson Williams Steal.,21,19
5:15,94,Lavone Holland II missed Three Point Jumper.,21,19
5:15,94,Northern Kentucky Offensive Rebound.,21,19
5:10,94,Jordan Garnett Turnover.,21,19
4:37,85,Nick Rogers missed Layup.,21,19
4:37,94,Lavone Holland II Defensive Rebound.,21,19
4:30,94,Lavone Holland II missed Three Point Jumper.,21,19
4:30,94,Drew McDonald Offensive Rebound.,21,19
4:27,94,Drew McDonald made Jumper.,21,21
4:14,85,Jaylen Minnett Turnover.,21,21
4:13,94,Lavone Holland II Steal.,21,21
4:10,94,Lavone Holland II made Layup.,21,23
4:06,85,IUPUI  Timeout,21,23
4:06,94,Official TV Timeout,21,23
3:44,85,Aaron Brennan missed Jumper.,21,23
3:44,94,Drew McDonald Defensive Rebound.,21,23
3:37,94,Jordan Garnett Turnover.,21,23
3:36,85,Ron Patterson Steal.,21,23
3:33,85,Ron Patterson missed Layup.,21,23
3:33,85,T.J. Henderson Offensive Rebound.,21,23
3:30,85,T.J. Henderson missed Two Point Tip Shot.,21,23
3:30,94,Lavone Holland II Defensive Rebound.,21,23
3:25,94,Jordan Garnett missed Jumper.,21,23
3:25,85,Aaron Brennan Defensive Rebound.,21,23
2:53,94,Foul on Drew McDonald.,21,23
2:35,94,Foul on Jalen Tate.,21,23
2:19,85,T.J. Henderson missed Layup.,21,23
2:19,94,Dantez Walton Block.,21,23
2:18,94,Dantez Walton Defensive Rebound.,21,23
2:11,94,Dantez Walton missed Layup.,21,23
2:11,85,Elyjah Goss Block.,21,23
2:09,85,T.J. Henderson Defensive Rebound.,21,23
2:03,85,Aaron Brennan missed Layup.,21,23
2:03,94,Dantez Walton Block.,21,23
2:01,94,Drew McDonald Defensive Rebound.,21,23
1:56,94,Drew McDonald made Layup.,21,25
1:56,85,Foul on T.J. Henderson.,21,25
1:56,94,Drew McDonald made Free Throw.,21,26
1:49,85,Ron Patterson Turnover.,21,26
1:45,94,Lavone Holland II Steal.,21,26
1:43,94,Mason Faulkner made Three Point Jumper. Assisted by Lavone Holland II.,21,29
1:11,85,D.J. McCall missed Three Point Jumper.,21,29
1:11,94,Lavone Holland II Defensive Rebound.,21,29
0:42,94,Dantez Walton made Layup. Assisted by Drew McDonald.,21,31
0:10,85,Jaylen Minnett missed Three Point Jumper.,21,31
0:10,85,D.J. McCall Offensive Rebound.,21,31
0:04,94,Foul on Jordan Garnett.,21,31
0:04,85,D.J. McCall made Free Throw.,22,31
0:04,94,Northern Kentucky  Timeout,22,31
0:04,85,D.J. McCall missed Free Throw.,22,31
0:04,94,Dantez Walton Defensive Rebound.,22,31
0:00,94,End of 1st half,22,31
19:47,94,Lavone Holland II missed Layup.,22,31
19:47,85,D.J. McCall Defensive Rebound.,22,31
19:36,85,Nick Rogers made Three Point Jumper. Assisted by Aaron Brennan.,25,31
19:18,94,Carson Williams made Layup. Assisted by Drew McDonald.,25,33
18:58,85,Evan Hall Turnover.,25,33
18:55,94,Jalen Tate Steal.,25,33
18:53,85,Foul on Aaron Brennan.,25,33
18:53,94,Carson Williams made Free Throw.,25,34
18:53,94,Carson Williams made Free Throw.,25,35
18:33,85,Ron Patterson missed Three Point Jumper.,25,35
18:33,94,Lavone Holland II Defensive Rebound.,25,35
18:25,85,Foul on Evan Hall.,25,35
18:24,94,Drew McDonald made Layup. Assisted by Lavone Holland II.,25,37
17:56,85,Evan Hall made Jumper.,27,37
17:56,94,Foul on Lavone Holland II.,27,37
17:56,85,Evan Hall made Free Throw.,28,37
17:44,94,Drew McDonald made Jumper. Assisted by Jordan Garnett.,28,39
17:27,85,Nick Rogers missed Three Point Jumper.,28,39
17:27,94,Drew McDonald Defensive Rebound.,28,39
17:18,94,Lavone Holland II missed Three Point Jumper.,28,39
17:18,94,Carson Williams Offensive Rebound.,28,39
17:06,94,Drew McDonald made Jumper.,28,41
16:45,94,Foul on Jalen Tate.,28,41
16:39,85,Foul on Evan Hall.,28,41
16:39,85,Evan Hall Turnover.,28,41
16:21,94,Jordan Garnett Turnover.,28,41
16:20,85,D.J. McCall Steal.,28,41
16:16,85,Maurice Kirby made Dunk. Assisted by Ron Patterson.,30,41
15:56,94,Mason Faulkner made Jumper.,30,43
15:36,85,Ron Patterson missed Layup.,30,43
15:36,85,D.J. McCall Offensive Rebound.,30,43
15:35,94,Official TV Timeout,30,43
15:35,94,Official TV Timeout,32,43
15:35,85,D.J. McCall made Two Point Tip Shot.,32,43
15:35,94,Official TV Timeout,32,43
15:35,94,Foul on Drew McDonald.,32,43
15:35,85,D.J. McCall made Free Throw.,33,43
15:11,94,Mason Faulkner Turnover.,33,43
15:09,85,D.J. McCall Steal.,33,43
15:07,85,T.J. Henderson missed Three Point Jumper.,33,43
15:07,85,Aaron Brennan Offensive Rebound.,33,43
15:03,85,Aaron Brennan made Two Point Tip Shot.,35,43
14:36,94,Tyler Sharpe made Three Point Jumper. Assisted by Drew McDonald.,35,46
14:14,85,Ron Patterson made Three Point Jumper.,38,46
14:06,94,Drew McDonald made Jumper. Assisted by Lavone Holland II.,38,48
13:49,85,Ron Patterson missed Three Point Jumper.,38,48
13:49,94,Carson Williams Defensive Rebound.,38,48
13:39,94,Lavone Holland II missed Three Point Jumper.,38,48
13:39,94,Drew McDonald Offensive Rebound.,38,48
13:31,94,Tyler Sharpe made Three Point Jumper. Assisted by Lavone Holland II.,38,51
13:04,94,Foul on Dantez Walton.,38,51
12:44,85,T.J. Henderson missed Jumper.,38,51
12:44,94,Dantez Walton Defensive Rebound.,38,51
12:15,94,Dantez Walton missed Three Point Jumper.,38,51
12:15,94,Jeff Garrett Offensive Rebound.,38,51
12:11,85,Foul on Elyjah Goss.,38,51
12:11,94,Jeff Garrett missed Free Throw.,38,51
12:11,94,Northern Kentucky Deadball Team Rebound.,38,51
12:11,94,Jeff Garrett made Free Throw.,38,52
11:56,85,Elyjah Goss missed Layup.,38,52
11:56,94,Carson Williams Block.,38,52
11:54,94,Dantez Walton Defensive Rebound.,38,52
11:33,94,Tre Cobbs made Layup.,38,54
11:05,94,Foul on Carson Williams.,38,54
11:04,94,Official TV Timeout,38,54
11:04,85,Elyjah Goss made Free Throw.,39,54
11:04,85,Elyjah Goss made Free Throw.,40,54
10:51,94,Tre Cobbs Turnover.,40,54
10:36,85,T.J. Henderson missed Jumper.,40,54
10:36,94,Drew McDonald Defensive Rebound.,40,54
10:27,94,Dantez Walton missed Three Point Jumper.,40,54
10:27,85,IUPUI Defensive Rebound.,40,54
10:05,85,Nick Rogers missed Jumper.,40,54
10:05,94,Jalen Tate Defensive Rebound.,40,54
9:52,85,Foul on Jaylen Minnett.,40,54
9:39,94,Drew McDonald made Jumper.,40,56
9:11,85,Jaylen Minnett missed Three Point Jumper.,40,56
9:11,85,Evan Hall Offensive Rebound.,40,56
9:07,85,Evan Hall made Layup.,42,56
8:59,94,Jeff Garrett made Layup. Assisted by Jordan Garnett.,42,58
8:44,85,Jaylen Minnett made Three Point Jumper.,45,58
8:34,94,Northern Kentucky  Timeout,45,58
8:34,94,Official TV Timeout,45,58
8:30,85,Foul on Jaylen Minnett.,45,58
8:27,94,Lavone Holland II missed Jumper.,45,58
8:27,85,Nick Rogers Defensive Rebound.,45,58
8:05,85,Aaron Brennan made Layup. Assisted by Nick Rogers.,47,58
7:54,94,Jordan Garnett missed Layup.,47,58
7:54,85,Ron Patterson Defensive Rebound.,47,58
7:49,85,Jaylen Minnett missed Three Point Jumper.,47,58
7:49,94,Carson Williams Defensive Rebound.,47,58
7:19,85,Foul on Nick Rogers.,47,58
7:19,94,Official TV Timeout,47,58
7:19,94,Drew McDonald made Free Throw.,47,59
7:19,94,Drew McDonald made Free Throw.,47,60
7:05,85,Evan Hall missed Jumper.,47,60
7:05,94,Lavone Holland II Defensive Rebound.,47,60
6:55,94,Drew McDonald made Layup. Assisted by Lavone Holland II.,47,62
6:24,85,Aaron Brennan missed Three Point Jumper.,47,62
6:24,94,Jalen Tate Defensive Rebound.,47,62
6:12,94,Jalen Tate missed Layup.,47,62
6:12,85,Evan Hall Defensive Rebound.,47,62
6:03,85,D.J. McCall Turnover.,47,62
6:02,94,Jalen Tate Steal.,47,62
5:59,94,Jalen Tate made Layup.,47,64
5:43,85,D.J. McCall made Three Point Jumper. Assisted by Jaylen Minnett.,50,64
5:29,94,Carson Williams made Layup. Assisted by Lavone Holland II.,50,66
5:11,94,Foul on Drew McDonald.,50,66
4:58,85,Ron Patterson missed Jumper.,50,66
4:58,94,Carson Williams Defensive Rebound.,50,66
4:25,94,Northern Kentucky  Turnover.,50,66
4:12,85,Jaylen Minnett Turnover.,50,66
3:56,94,Drew McDonald made Three Point Jumper. Assisted by Lavone Holland II.,50,69
3:35,85,Ron Patterson made Jumper.,52,69
3:35,94,Foul on Lavone Holland II.,52,69
3:35,94,Official TV Timeout,52,69
3:35,85,Ron Patterson made Free Throw.,53,69
3:21,94,Carson Williams made Layup. Assisted by Jalen Tate.,53,71
3:21,85,Foul on T.J. Henderson.,53,71
3:21,94,Carson Williams made Free Throw.,53,72
3:07,94,Foul on Jalen Tate.,53,72
3:07,85,T.J. Henderson made Free Throw.,54,72
3:07,85,T.J. Henderson missed Free Throw.,54,72
3:07,94,Dantez Walton Defensive Rebound.,54,72
2:50,94,Dantez Walton missed Layup.,54,72
2:50,85,Elyjah Goss Block.,54,72
2:49,85,D.J. McCall Defensive Rebound.,54,72
2:44,85,T.J. Henderson made Three Point Jumper. Assisted by D.J. McCall.,57,72
2:14,94,Mason Faulkner made Jumper.,57,74
2:00,85,T.J. Henderson missed Layup.,57,74
2:00,94,Jeff Garrett Block.,57,74
1:58,85,D.J. McCall Offensive Rebound.,57,74
1:50,85,Elyjah Goss Turnover.,57,74
1:48,94,Mason Faulkner Steal.,57,74
1:42,94,Mason Faulkner Turnover.,57,74
1:41,85,T.J. Henderson Steal.,57,74
1:39,85,Elyjah Goss missed Dunk.,57,74
1:39,94,Dantez Walton Defensive Rebound.,57,74
1:12,94,Carson Williams made Jumper. Assisted by Dantez Walton.,57,76
1:05,85,IUPUI  Timeout,57,76
0:41,85,Chad Hudson made Jumper.,59,76
0:41,85,Foul on Maurice Kirby.,59,76
0:41,94,Jeff Garrett made Free Throw.,59,77
0:41,94,Jeff Garrett missed Free Throw.,59,77
0:41,85,T.J. Henderson Defensive Rebound.,59,77
0:34,85,T.J. Henderson missed Layup.,59,77
0:34,85,Evan Borgman Offensive Rebound.,59,77
0:32,85,Evan Borgman missed Layup.,59,77
0:32,85,Maurice Kirby Offensive Rebound.,59,77
0:27,94,Foul on Dantez Walton.,59,77
0:27,85,Maurice Kirby missed Free Throw.,59,77
0:27,85,IUPUI Deadball Team Rebound.,59,77
0:27,85,Maurice Kirby missed Free Throw.,59,77
0:27,94,Jeff Garrett Defensive Rebound.,59,77
0:00,94,End of Game,59,77
