Greensboro,Error,UNC Wilmington,350
10:41,350,Jeffrey Gary Defensive Rebound.,14,26
10:32,350,Jay Estime' missed Layup.,14,26
10:32,350,Ty Taylor II Offensive Rebound.,14,26
10:27,350,Ty Taylor II made Jumper.,14,28
10:15,-1,Demetrius Tilley made Jumper.,16,28
9:59,350,Ty Taylor II missed Three Point Jumper.,16,28
9:59,-1,Darus Maddox Defensive Rebound.,16,28
9:48,-1,Cornelius Johnson missed Layup.,16,28
9:48,350,Ty Taylor II Defensive Rebound.,16,28
9:43,350,Ty Taylor II made Jumper.,16,30
9:33,-1,Greensboro College  Timeout,16,30
9:19,-1,Keyford Langley missed Three Point Jumper.,16,30
9:19,350,Devontae Cacok Defensive Rebound.,16,30
9:05,350,Ty Taylor II missed Jumper.,16,30
9:05,-1,Torrence Lathon Defensive Rebound.,16,30
8:37,350,Foul on Jeffrey Gary.,16,30
8:37,-1,Keyford Langley made Free Throw.,17,30
8:37,-1,Keyford Langley made Free Throw.,18,30
8:18,350,Devontae Cacok made Dunk. Assisted by Jaylen Fornes.,18,32
8:13,-1,Joseph Gatling Turnover.,18,32
8:04,350,Devontae Cacok missed Jumper.,18,32
8:04,350,UNC Wilmington Offensive Rebound.,18,32
7:57,350,Devontae Cacok made Layup. Assisted by Jacque Brown.,18,34
7:49,-1,Joseph Gatling missed Layup.,18,34
7:49,350,Nick Powell Defensive Rebound.,18,34
7:38,350,Marcus Bryan missed Jumper.,18,34
7:38,-1,Carmoni Marks Defensive Rebound.,18,34
7:29,-1,Keyford Langley missed Three Point Jumper.,18,34
7:29,350,Devontae Cacok Defensive Rebound.,18,34
7:20,350,Jacque Brown Turnover.,18,34
7:20,-1,Keyford Langley Steal.,18,34
7:20,350,Foul on Jacque Brown.,18,34
7:20,-1,Greensboro College  Timeout,18,34
7:07,-1,Joseph Gatling missed Three Point Jumper.,18,34
7:07,350,Jaylen Fornes Defensive Rebound.,18,34
7:05,-1,Foul on Daron Gipson.,18,34
7:05,350,Jaylen Fornes missed Free Throw.,18,34
7:05,-1,Daron Gipson Defensive Rebound.,18,34
6:54,-1,Daron Gipson made Jumper.,20,34
6:36,-1,Foul on Demetrius Tilley.,20,34
6:36,350,Devontae Cacok made Free Throw.,20,35
6:36,350,Devontae Cacok made Free Throw.,20,36
6:14,-1,Darus Maddox missed Jumper.,20,36
6:14,350,Devontae Cacok Defensive Rebound.,20,36
6:07,350,Jeffrey Gary made Three Point Jumper. Assisted by Jacque Brown.,20,39
5:44,-1,Darus Maddox missed Three Point Jumper.,20,39
5:44,-1,Greensboro College Offensive Rebound.,20,39
5:35,-1,Keyford Langley missed Jumper.,20,39
5:35,350,Devontae Cacok Defensive Rebound.,20,39
5:27,350,Jay Estime' made Three Point Jumper. Assisted by Jacque Brown.,20,42
5:19,-1,Joseph Gatling Turnover.,20,42
5:19,350,Jacque Brown Steal.,20,42
5:09,350,Jeffrey Gary Turnover.,20,42
5:07,-1,Cornelius Johnson Steal.,20,42
5:03,-1,Cornelius Johnson missed Layup.,20,42
5:03,350,Devontae Cacok Defensive Rebound.,20,42
4:59,350,Devontae Cacok Turnover.,20,42
4:46,350,Foul on Trey Kalina.,20,42
4:46,-1,Cornelius Johnson made Free Throw.,21,42
4:46,-1,Cornelius Johnson missed Free Throw.,21,42
4:46,-1,Daron Gipson Offensive Rebound.,21,42
4:42,-1,Daron Gipson made Jumper.,23,42
4:26,350,Jeffrey Gary made Three Point Jumper. Assisted by Jacque Brown.,23,45
4:14,-1,Foul on Cornelius Johnson.,23,45
4:14,-1,Cornelius Johnson Turnover.,23,45
4:06,350,Ty Taylor II missed Three Point Jumper.,23,45
4:06,350,Trey Kalina Offensive Rebound.,23,45
4:02,350,Trey Kalina missed Jumper.,23,45
4:02,-1,Keyford Langley Defensive Rebound.,23,45
3:58,-1,Darus Maddox made Layup.,25,45
3:13,350,UNC Wilmington  Timeout,25,45
3:13,350,Trey Kalina made Dunk.,25,47
3:13,-1,Darus Maddox missed Three Point Jumper.,25,47
3:13,350,Trey Kalina Defensive Rebound.,25,47
3:08,350,Jaylen Fornes Turnover.,25,47
2:55,-1,Darus Maddox missed Jumper.,25,47
2:55,350,Trey Kalina Block.,25,47
2:54,-1,Greensboro College Offensive Rebound.,25,47
2:48,-1,Joseph Gatling missed Jumper.,25,47
2:48,350,Ty Taylor II Defensive Rebound.,25,47
2:32,350,Jaylen Fornes Turnover.,25,47
2:14,-1,Joseph Gatling made Jumper.,27,47
2:05,350,Jaylen Fornes missed Three Point Jumper.,27,47
2:05,-1,Joseph Gatling Defensive Rebound.,27,47
1:54,350,Foul on Trey Kalina.,27,47
1:54,-1,Joseph Gatling made Free Throw.,28,47
1:54,-1,Joseph Gatling made Free Throw.,29,47
1:47,350,Jaylen Fornes made Dunk. Assisted by Jeffrey Gary.,29,49
1:28,-1,Darus Maddox missed Three Point Jumper.,29,49
1:28,350,Jaylen Fornes Defensive Rebound.,29,49
1:25,-1,Foul on Joseph Gatling.,29,49
1:25,350,Jeffrey Gary missed Free Throw.,29,49
1:25,350,UNC Wilmington Deadball Team Rebound.,29,49
1:25,350,Jeffrey Gary made Free Throw.,29,50
1:18,-1,Daron Gipson missed Three Point Jumper.,29,50
1:18,350,Devontae Cacok Defensive Rebound.,29,50
1:00,-1,Foul on Darus Maddox.,29,50
1:00,350,Jay Estime' made Free Throw.,29,51
1:00,350,Jay Estime' made Free Throw.,29,52
0:47,-1,Joseph Gatling missed Jumper.,29,52
0:47,350,Devontae Cacok Defensive Rebound.,29,52
0:37,-1,Foul on Torrence Lathon.,29,52
0:37,350,Marcus Bryan made Free Throw.,29,53
0:37,350,Marcus Bryan made Free Throw.,29,54
0:15,-1,Javen Garrison made Three Point Jumper.,32,54
0:03,350,Jacque Brown missed Jumper.,32,54
0:03,-1,Torrence Lathon Defensive Rebound.,32,54
0:00,350,End of 1st half,32,54
19:41,-1,Cornelius Johnson missed Jumper.,32,54
19:41,350,Devontae Cacok Block.,32,54
19:37,350,Devontae Cacok Defensive Rebound.,32,54
19:31,350,Marcus Bryan made Jumper. Assisted by Devontae Cacok.,32,56
19:12,-1,Demetrius Tilley Turnover.,32,56
18:58,350,Ty Taylor II made Jumper.,32,58
18:41,-1,Trey Smith missed Jumper.,32,58
18:41,350,Jaylen Fornes Defensive Rebound.,32,58
18:33,350,Marcus Bryan made Layup. Assisted by Jaylen Fornes.,32,60
18:24,-1,Joseph Gatling made Three Point Jumper. Assisted by Trey Smith.,35,60
18:11,350,Jaylen Fornes Turnover.,35,60
18:09,-1,Trey Smith Steal.,35,60
18:07,350,Foul on Jaylen Fornes.,35,60
18:07,-1,Trey Smith missed Free Throw.,35,60
18:07,-1,Greensboro College Deadball Team Rebound.,35,60
18:07,-1,Trey Smith made Free Throw.,36,60
17:58,-1,Darus Maddox missed Jumper.,36,60
17:58,350,Marcus Bryan Defensive Rebound.,36,60
17:51,350,Ty Taylor II missed Jumper.,36,60
17:51,350,UNC Wilmington Offensive Rebound.,36,60
17:51,-1,Foul on Demetrius Tilley.,36,60
17:45,350,Jacque Brown made Jumper.,36,62
17:37,-1,Trey Smith Turnover.,36,62
17:34,350,Ty Taylor II Steal.,36,62
17:31,350,Ty Taylor II made Jumper.,36,64
17:24,-1,Cornelius Johnson Turnover.,36,64
17:08,350,Jacque Brown Turnover.,36,64
17:06,-1,Demetrius Tilley Steal.,36,64
17:00,-1,Trey Smith made Jumper.,38,64
16:42,350,Ty Taylor II missed Jumper.,38,64
16:42,350,Ty Taylor II Offensive Rebound.,38,64
16:38,350,Ty Taylor II made Jumper.,38,66
16:24,-1,Demetrius Tilley missed Jumper.,38,66
16:24,350,Devontae Cacok Defensive Rebound.,38,66
16:17,350,Jaylen Fornes missed Layup.,38,66
16:17,350,Ty Taylor II Offensive Rebound.,38,66
16:13,-1,Foul on Cornelius Johnson.,38,66
16:13,350,Ty Taylor II made Free Throw.,38,67
16:13,350,Ty Taylor II made Free Throw.,38,68
16:12,-1,Trey Smith Turnover.,38,68
16:09,350,Ty Taylor II Steal.,38,68
16:08,350,Jacque Brown missed Layup.,38,68
16:08,-1,Darus Maddox Defensive Rebound.,38,68
16:03,-1,Joseph Gatling missed Three Point Jumper.,38,68
16:03,350,Devontae Cacok Defensive Rebound.,38,68
15:50,350,Jacque Brown Turnover.,38,68
15:48,-1,Darus Maddox Steal.,38,68
15:45,-1,Darus Maddox made Layup.,40,68
15:37,-1,Foul on Darus Maddox.,40,68
15:37,350,UNC Wilmington  Timeout,40,68
15:24,350,Devontae Cacok made Dunk. Assisted by Jaylen Fornes.,40,70
15:17,-1,Trey Smith missed Three Point Jumper.,40,70
15:17,350,UNC Wilmington Defensive Rebound.,40,70
15:05,350,Ty Taylor II missed Jumper.,40,70
15:05,350,UNC Wilmington Offensive Rebound.,40,70
14:49,-1,Foul on Trey Smith.,40,70
14:44,350,Jaylen Fornes Turnover.,40,70
14:28,-1,Joseph Gatling missed Three Point Jumper.,40,70
14:28,-1,Darus Maddox Offensive Rebound.,40,70
14:26,350,Foul on Ty Taylor II.,40,70
14:23,-1,Darus Maddox missed Three Point Jumper.,40,70
14:23,350,Jay Estime' Defensive Rebound.,40,70
14:16,350,Ty Taylor II Turnover.,40,70
13:47,350,Foul on Jay Estime'.,40,70
13:47,-1,Cornelius Johnson made Free Throw.,41,70
13:47,-1,Cornelius Johnson missed Free Throw.,41,70
13:47,350,Trey Kalina Defensive Rebound.,41,70
13:09,350,Jacque Brown made Jumper.,41,72
13:02,-1,Joseph Gatling made Jumper.,43,72
12:55,350,Trey Kalina made Jumper. Assisted by Jeffrey Gary.,43,74
12:48,-1,Joseph Gatling missed Three Point Jumper.,43,74
12:48,-1,Torrence Lathon Offensive Rebound.,43,74
12:40,-1,Keyford Langley missed Layup.,43,74
12:40,350,Jacque Brown Defensive Rebound.,43,74
12:28,350,Jacque Brown made Jumper.,43,76
12:12,-1,Joseph Gatling missed Jumper.,43,76
12:12,350,Trey Kalina Defensive Rebound.,43,76
12:09,-1,Foul on Torrence Lathon.,43,76
11:53,350,Jeffrey Gary missed Three Point Jumper.,43,76
11:53,350,Nick Powell Offensive Rebound.,43,76
11:48,350,Nick Powell missed Jumper.,43,76
11:48,350,Jay Estime' Offensive Rebound.,43,76
11:45,350,Jay Estime' made Jumper.,43,78
11:34,-1,Torrence Lathon missed Jumper.,43,78
11:34,350,Jeffrey Gary Defensive Rebound.,43,78
11:27,350,Nick Powell missed Jumper.,43,78
11:27,-1,Cornelius Johnson Defensive Rebound.,43,78
11:15,-1,Daron Gipson made Jumper.,45,78
11:00,350,Jay Estime' made Three Point Jumper. Assisted by Jeffrey Gary.,45,81
10:50,-1,Greensboro College  Timeout,45,81
10:34,-1,Keyford Langley made Jumper.,47,81
10:13,350,Jeffrey Gary missed Three Point Jumper.,47,81
10:13,350,Devontae Cacok Offensive Rebound.,47,81
10:02,350,Jacque Brown missed Three Point Jumper.,47,81
10:02,350,Nick Powell Offensive Rebound.,47,81
9:58,350,Nick Powell missed Jumper.,47,81
9:58,-1,Keyford Langley Defensive Rebound.,47,81
9:52,-1,Keyford Langley missed Three Point Jumper.,47,81
9:52,350,Nick Powell Defensive Rebound.,47,81
9:40,350,Devontae Cacok made Layup. Assisted by Marcus Bryan.,47,83
9:14,-1,Daron Gipson made Jumper.,49,83
9:05,350,Nick Powell missed Three Point Jumper.,49,83
9:05,350,Devontae Cacok Offensive Rebound.,49,83
9:01,350,Devontae Cacok missed Jumper.,49,83
9:01,-1,Torrence Lathon Block.,49,83
8:59,350,Marcus Bryan Offensive Rebound.,49,83
8:57,-1,Foul on Torrence Lathon.,49,83
8:57,350,UNC Wilmington  Timeout,49,83
8:57,350,Devontae Cacok missed Free Throw.,49,83
8:57,350,UNC Wilmington Deadball Team Rebound.,49,83
8:57,350,Devontae Cacok missed Free Throw.,49,83
8:57,-1,Carmoni Marks Defensive Rebound.,49,83
8:28,-1,Carmoni Marks missed Jumper.,49,83
8:28,350,Marcus Bryan Defensive Rebound.,49,83
8:15,350,Jeffrey Gary missed Jumper.,49,83
8:15,-1,Daron Gipson Defensive Rebound.,49,83
8:07,-1,Darus Maddox missed Jumper.,49,83
8:07,350,Nick Powell Defensive Rebound.,49,83
7:50,350,Ty Taylor II missed Jumper.,49,83
7:50,-1,Darus Maddox Defensive Rebound.,49,83
7:43,-1,Daron Gipson Turnover.,49,83
7:43,350,UNC Wilmington  Timeout,49,83
7:27,350,Devontae Cacok made Layup. Assisted by Ty Taylor II.,49,85
6:58,-1,Darus Maddox missed Jumper.,49,85
6:58,350,Jay Estime' Defensive Rebound.,49,85
6:50,350,Jaylen Fornes made Jumper.,49,87
6:27,350,Foul on Jeffrey Gary.,49,87
6:27,-1,Cornelius Johnson missed Free Throw.,49,87
6:27,-1,Greensboro College Deadball Team Rebound.,49,87
6:27,-1,Cornelius Johnson missed Free Throw.,49,87
6:27,350,Ty Taylor II Defensive Rebound.,49,87
6:01,350,Jay Estime' Turnover.,49,87
5:54,-1,Carmoni Marks made Three Point Jumper. Assisted by Darus Maddox.,52,87
5:45,350,Jeffrey Gary Turnover.,52,87
5:42,-1,Joseph Gatling Steal.,52,87
5:40,-1,Darus Maddox made Layup. Assisted by Joseph Gatling.,54,87
5:28,350,Jaylen Fornes Turnover.,54,87
5:26,-1,Darus Maddox Steal.,54,87
5:24,350,Foul on Devontae Cacok.,54,87
5:24,350,UNC Wilmington  Timeout,54,87
5:23,-1,Darus Maddox made Free Throw.,55,87
5:23,-1,Darus Maddox missed Free Throw.,55,87
5:23,350,Jay Estime' Defensive Rebound.,55,87
5:08,-1,Foul on Trey Smith.,55,87
5:08,350,Jaylen Fornes made Free Throw.,55,88
5:08,350,Jaylen Fornes made Free Throw.,55,89
4:47,-1,Joseph Gatling missed Three Point Jumper.,55,89
4:47,350,Jay Estime' Defensive Rebound.,55,89
4:24,350,Marcus Bryan made Layup. Assisted by Jaylen Fornes.,55,91
4:19,-1,Trey Smith missed Jumper.,55,91
4:19,350,Jacque Brown Block.,55,91
4:19,-1,Greensboro College Offensive Rebound.,55,91
4:12,-1,Darus Maddox missed Three Point Jumper.,55,91
4:12,350,Jaylen Fornes Defensive Rebound.,55,91
4:05,350,Jaylen Fornes Turnover.,55,91
4:04,-1,Trey Smith Steal.,55,91
4:00,-1,Greensboro College  Timeout,55,91
3:56,-1,Demetrius Tilley Turnover.,55,91
3:56,350,Jacque Brown Steal.,55,91
3:50,-1,Foul on Joseph Gatling.,55,91
3:50,350,Jacque Brown made Free Throw.,55,92
3:50,350,Jacque Brown made Free Throw.,55,93
3:41,350,Foul on Jay Estime'.,55,93
3:41,-1,Cornelius Johnson made Free Throw.,56,93
3:41,-1,Cornelius Johnson made Free Throw.,57,93
3:28,350,Daniel Etoroma missed Jumper.,57,93
3:28,350,Trey Kalina Offensive Rebound.,57,93
3:24,350,Trey Kalina made Jumper.,57,95
3:21,-1,Foul on Cornelius Johnson.,57,95
3:21,350,Trey Kalina made Free Throw.,57,96
3:19,-1,Joseph Gatling made Jumper.,59,96
2:51,350,Jacque Brown Turnover.,59,96
2:49,-1,Carmoni Marks Steal.,59,96
2:45,-1,Carmoni Marks missed Jumper.,59,96
2:45,350,Daniel Etoroma Block.,59,96
2:45,-1,Greensboro College Offensive Rebound.,59,96
2:36,-1,Trey Smith missed Jumper.,59,96
2:36,350,Trey Kalina Defensive Rebound.,59,96
2:15,350,Trey Kalina made Dunk.,59,98
2:06,-1,Darus Maddox missed Jumper.,59,98
2:06,350,Nick Powell Defensive Rebound.,59,98
2:00,-1,Foul on Darus Maddox.,59,98
2:00,350,Jacque Brown made Free Throw.,59,99
2:00,350,Jacque Brown missed Free Throw.,59,99
2:00,-1,Carmoni Marks Defensive Rebound.,59,99
1:51,-1,Trey Smith missed Jumper.,59,99
1:51,350,Trey Kalina Defensive Rebound.,59,99
1:39,350,Jacque Brown missed Layup.,59,99
1:39,-1,Carmoni Marks Block.,59,99
1:36,-1,Demetrius Tilley Defensive Rebound.,59,99
1:29,-1,Joseph Gatling missed Jumper.,59,99
1:29,350,Jacque Brown Defensive Rebound.,59,99
1:19,-1,Foul on Joseph Gatling.,59,99
1:19,350,Trey Kalina made Free Throw.,59,100
1:19,350,Trey Kalina made Free Throw.,59,101
1:14,350,Nick Powell Turnover.,59,101
1:12,-1,Daron Gipson Steal.,59,101
1:07,-1,Daron Gipson missed Three Point Jumper.,59,101
1:07,350,Jacque Brown Defensive Rebound.,59,101
0:42,350,Nick Powell missed Three Point Jumper.,59,101
0:42,-1,Trey Smith Defensive Rebound.,59,101
0:33,350,Foul on Daniel Etoroma.,59,101
0:32,-1,Trey Smith missed Free Throw.,59,101
0:32,-1,Greensboro College Deadball Team Rebound.,59,101
0:32,-1,Trey Smith made Free Throw.,60,101
0:02,350,UNC Wilmington  Turnover.,60,101
0:00,350,End of Game,60,101
