Montana State,253,Southern Utah,147
9:45,147,Harald Frey made Free Throw.,25,15
9:29,147,Foul on Sam Neumann.,25,15
9:29,253,Jamal Aytes made Free Throw.,25,16
9:29,253,Jamal Aytes made Free Throw.,25,17
9:15,253,Foul on Brandon Better.,25,17
9:15,147,Harald Frey made Free Throw.,26,17
9:15,147,Harald Frey missed Free Throw.,26,17
9:15,253,Jamal Aytes Defensive Rebound.,26,17
9:00,253,Jamal Aytes Turnover.,26,17
9:00,253,Foul on Jamal Aytes.,26,17
8:42,147,Keljin Blevins missed Layup.,26,17
8:42,147,Keljin Blevins Offensive Rebound.,26,17
8:38,147,Keljin Blevins made Layup.,28,17
8:24,253,Jacob Calloway made Three Point Jumper. Assisted by Brandon Better.,28,20
8:04,147,Lassi Nikkarinen Turnover.,28,20
8:02,253,Brandon Better Steal.,28,20
7:58,253,Brandon Better missed Three Point Jumper.,28,20
7:58,147,Sam Neumann Defensive Rebound.,28,20
7:48,147,Sam Neumann Turnover.,28,20
7:48,147,Foul on Sam Neumann.,28,20
7:48,253,Official TV Timeout,28,20
7:33,253,Dre Marin Turnover.,28,20
7:32,147,Zach Green Steal.,28,20
7:27,147,Tyler Hall Turnover.,28,20
7:26,253,Dre Marin Steal.,28,20
7:23,253,Dre Marin missed Layup.,28,20
7:23,253,Jacob Calloway Offensive Rebound.,28,20
7:20,253,Jacob Calloway made Layup.,28,22
7:19,147,Foul on Luke Schultz.,28,22
7:19,253,Jacob Calloway made Free Throw.,28,23
7:18,147,Lassi Nikkarinen Turnover.,28,23
7:18,147,Foul on Lassi Nikkarinen.,28,23
7:09,147,Foul on Luke Schultz.,28,23
7:09,253,Jamal Aytes made Free Throw.,28,24
7:09,253,Jamal Aytes made Free Throw.,28,25
6:50,147,Tyler Hall made Three Point Jumper.,31,25
6:42,253,James McGee made Three Point Jumper. Assisted by Jadon Cohee.,31,28
6:28,253,Foul on Dre Marin.,31,28
6:28,147,Tyler Hall made Free Throw.,32,28
6:28,147,Tyler Hall made Free Throw.,33,28
6:11,147,Foul on Sam Neumann.,33,28
6:11,253,Jamal Aytes made Free Throw.,33,29
6:11,253,Jamal Aytes made Free Throw.,33,30
6:02,147,Tyler Hall made Layup. Assisted by Harald Frey.,35,30
5:50,253,Dre Marin made Three Point Jumper. Assisted by Jadon Cohee.,35,33
5:38,253,Foul on James McGee.,35,33
5:38,147,Joe Mvuezolo Jr. missed Free Throw.,35,33
5:38,147,Montana State Deadball Team Rebound.,35,33
5:38,147,Joe Mvuezolo Jr. made Free Throw.,36,33
5:20,253,Jadon Cohee made Three Point Jumper. Assisted by Dre Marin.,36,36
5:03,147,Tyler Hall missed Three Point Jumper.,36,36
5:03,253,Jadon Cohee Defensive Rebound.,36,36
4:52,147,Foul on Benson Osayande.,36,36
4:52,253,Jadon Cohee missed Free Throw.,36,36
4:52,253,Southern Utah Deadball Team Rebound.,36,36
4:52,253,Jadon Cohee missed Free Throw.,36,36
4:52,147,Keljin Blevins Defensive Rebound.,36,36
4:39,147,Keljin Blevins Turnover.,36,36
4:39,147,Foul on Keljin Blevins.,36,36
4:24,253,James McGee made Three Point Jumper. Assisted by Jacob Calloway.,36,39
4:08,147,Tyler Hall missed Three Point Jumper.,36,39
4:08,253,James McGee Defensive Rebound.,36,39
3:58,253,James McGee made Three Point Jumper.,36,42
3:48,147,Montana State  Timeout,36,42
3:48,253,Official TV Timeout,36,42
3:25,147,Harald Frey made Layup.,38,42
3:25,253,Foul on Jacob Calloway.,38,42
3:25,147,Harald Frey made Free Throw.,39,42
3:13,253,James McGee missed Three Point Jumper.,39,42
3:13,147,Keljin Blevins Defensive Rebound.,39,42
3:02,147,Harald Frey made Layup.,41,42
2:39,253,Jacob Calloway missed Three Point Jumper.,41,42
2:39,147,Keljin Blevins Defensive Rebound.,41,42
2:21,147,Keljin Blevins made Layup.,43,42
2:04,253,Jacob Calloway Turnover.,43,42
1:56,147,Devonte Klines made Layup. Assisted by Harald Frey.,45,42
1:46,253,Southern Utah  Timeout,45,42
1:31,253,Dre Marin made Layup.,45,44
1:21,253,Foul on Ivan Madunic.,45,44
1:21,147,Harald Frey made Free Throw.,46,44
1:21,147,Harald Frey made Free Throw.,47,44
1:10,253,Dre Marin missed Three Point Jumper.,47,44
1:10,147,Harald Frey Defensive Rebound.,47,44
0:53,147,Devonte Klines made Layup.,49,44
0:31,253,Jadon Cohee made Layup.,49,46
0:06,147,Tyler Hall missed Three Point Jumper.,49,46
0:06,253,Ivan Madunic Defensive Rebound.,49,46
0:01,253,Jadon Cohee missed Layup.,49,46
0:01,253,Southern Utah Deadball Team Rebound.,49,46
0:00,253,End of 1st half,49,46
19:44,147,Keljin Blevins missed Layup.,49,46
19:44,253,Dwayne Morgan Defensive Rebound.,49,46
19:28,147,Foul on Keljin Blevins.,49,46
19:28,253,Dwayne Morgan missed Free Throw.,49,46
19:28,253,Southern Utah Deadball Team Rebound.,49,46
19:28,253,Dwayne Morgan made Free Throw.,49,47
19:17,147,Devonte Klines missed Layup.,49,47
19:17,253,Christian Musoko Block.,49,47
19:17,253,Dre Marin Defensive Rebound.,49,47
19:16,147,Foul on Sam Neumann.,49,47
19:02,253,Dwayne Morgan missed Layup.,49,47
19:02,147,Konner Frey Defensive Rebound.,49,47
18:43,147,Harald Frey made Three Point Jumper.,52,47
18:28,253,Dwayne Morgan made Layup.,52,49
18:06,147,Konner Frey missed Three Point Jumper.,52,49
18:06,253,Dre Marin Defensive Rebound.,52,49
17:53,253,Christian Musoko made Dunk. Assisted by James McGee.,52,51
17:32,147,Tyler Hall made Jumper.,54,51
17:06,147,Foul on Keljin Blevins.,54,51
17:04,253,Dwayne Morgan missed Jumper.,54,51
17:04,147,Konner Frey Defensive Rebound.,54,51
16:57,147,Devonte Klines made Jumper.,56,51
16:41,253,Dre Marin missed Three Point Jumper.,56,51
16:41,147,Konner Frey Defensive Rebound.,56,51
16:27,147,Keljin Blevins Turnover.,56,51
16:17,253,Dre Marin made Layup.,56,53
16:15,147,Foul on Konner Frey.,56,53
16:15,253,Dre Marin made Free Throw.,56,54
16:03,147,Harald Frey made Layup.,58,54
15:49,253,Ivan Madunic missed Three Point Jumper.,58,54
15:49,253,Jamal Aytes Offensive Rebound.,58,54
15:43,253,Jamal Aytes made Layup.,58,56
15:28,147,Tyler Hall made Three Point Jumper.,61,56
15:13,253,Jamal Aytes missed Layup.,61,56
15:13,147,Konner Frey Defensive Rebound.,61,56
14:55,147,Konner Frey Turnover.,61,56
14:55,253,Official TV Timeout,61,56
14:47,253,Jadon Cohee made Three Point Jumper. Assisted by Jacob Calloway.,61,59
14:37,253,Foul on Jadon Cohee.,61,59
14:36,147,Tyler Hall made Three Point Jumper. Assisted by Benson Osayande.,64,59
14:14,253,Jacob Calloway missed Three Point Jumper.,64,59
14:14,253,Southern Utah Deadball Team Rebound.,64,59
14:13,253,Foul on Dwayne Morgan.,64,59
13:53,147,Tyler Hall missed Jumper.,64,59
13:53,253,James McGee Defensive Rebound.,64,59
13:46,147,Foul on Lassi Nikkarinen.,64,59
13:37,147,Foul on Lassi Nikkarinen.,64,59
13:37,253,Jadon Cohee made Free Throw.,64,60
13:37,253,Jadon Cohee made Free Throw.,64,61
13:25,147,Tyler Hall made Three Point Jumper. Assisted by Harald Frey.,67,61
13:09,253,Jadon Cohee made Three Point Jumper. Assisted by James McGee.,67,64
12:55,147,Joe Mvuezolo Jr. missed Three Point Jumper.,67,64
12:55,147,Zach Green Offensive Rebound.,67,64
12:52,253,Foul on Jamal Aytes.,67,64
12:44,253,Foul on Jadon Cohee.,67,64
12:34,253,Foul on Dre Marin.,67,64
12:28,147,Joe Mvuezolo Jr. made Dunk. Assisted by Zach Green.,69,64
12:09,253,Dwayne Morgan Turnover.,69,64
12:08,147,Harald Frey Steal.,69,64
12:05,147,Harald Frey made Three Point Jumper. Assisted by Tyler Hall.,72,64
11:47,147,Montana State  Timeout,72,64
11:47,253,Official TV Timeout,72,64
11:39,253,Jacob Calloway made Three Point Jumper. Assisted by Dre Marin.,72,67
11:25,147,Harald Frey missed Layup.,72,67
11:25,253,Jamal Aytes Defensive Rebound.,72,67
11:12,253,Jamal Aytes missed Layup.,72,67
11:12,147,Benson Osayande Block.,72,67
11:12,253,Jamal Aytes Offensive Rebound.,72,67
11:08,253,Jamal Aytes missed Layup.,72,67
11:08,253,Southern Utah Deadball Team Rebound.,72,67
11:08,253,Foul on Dwayne Morgan.,72,67
11:08,253,Official TV Timeout,72,67
10:48,253,Foul on Christian Musoko.,72,67
10:48,147,Joe Mvuezolo Jr. made Free Throw.,73,67
10:48,147,Joe Mvuezolo Jr. made Free Throw.,74,67
10:24,147,Foul on Zach Green.,74,67
10:24,253,James McGee made Free Throw.,74,68
10:24,253,James McGee made Free Throw.,74,69
10:01,147,Devonte Klines missed Layup.,74,69
10:01,253,Ivan Madunic Block.,74,69
10:01,253,Christian Musoko Defensive Rebound.,74,69
9:39,253,Christian Musoko made Layup.,74,71
9:23,147,Tyler Hall made Three Point Jumper. Assisted by Joe Mvuezolo Jr..,77,71
9:09,253,Dre Marin missed Three Point Jumper.,77,71
9:09,253,Ivan Madunic Offensive Rebound.,77,71
9:05,147,Foul on Keljin Blevins.,77,71
9:05,253,Ivan Madunic made Free Throw.,77,72
9:05,253,Ivan Madunic missed Free Throw.,77,72
9:05,147,Zach Green Defensive Rebound.,77,72
8:59,147,Montana State  Timeout,77,72
8:45,147,Joe Mvuezolo Jr. made Three Point Jumper. Assisted by Zach Green.,80,72
8:26,253,Brandon Better made Jumper.,80,74
8:10,147,Harald Frey made Layup.,82,74
7:51,253,Brandon Better Turnover.,82,74
7:51,253,Foul on Brandon Better.,82,74
7:51,253,Official TV Timeout,82,74
7:37,147,Konner Frey Turnover.,82,74
7:37,253,Dwayne Morgan Steal.,82,74
7:37,147,Foul on Konner Frey.,82,74
7:37,253,Dwayne Morgan made Free Throw.,82,75
7:37,253,Dwayne Morgan made Free Throw.,82,76
7:21,253,James McGee missed Three Point Jumper.,82,76
7:21,253,Christian Musoko Offensive Rebound.,82,76
7:16,253,Christian Musoko made Layup.,82,78
7:16,147,Foul on Konner Frey.,82,78
7:16,253,Christian Musoko made Free Throw.,82,79
7:06,147,Harald Frey missed Jumper.,82,79
7:06,253,Dre Marin Defensive Rebound.,82,79
7:00,253,Dwayne Morgan made Layup. Assisted by Dre Marin.,82,81
6:39,147,Joe Mvuezolo Jr. made Dunk. Assisted by Harald Frey.,84,81
6:15,147,Foul on Joe Mvuezolo Jr..,84,81
6:15,253,Jadon Cohee made Free Throw.,84,82
6:15,253,Jadon Cohee made Free Throw.,84,83
6:02,147,Joe Mvuezolo Jr. missed Three Point Jumper.,84,83
6:02,147,Benson Osayande Offensive Rebound.,84,83
5:57,147,Benson Osayande missed Layup.,84,83
5:57,253,James McGee Block.,84,83
5:57,147,Benson Osayande Offensive Rebound.,84,83
5:52,147,Benson Osayande made Layup.,86,83
5:34,253,Jadon Cohee Turnover.,86,83
5:33,147,Joe Mvuezolo Jr. Steal.,86,83
5:31,253,Foul on Dre Marin.,86,83
5:31,147,Tyler Hall made Free Throw.,87,83
5:31,147,Tyler Hall made Free Throw.,88,83
5:14,253,Jadon Cohee missed Three Point Jumper.,88,83
5:14,253,Christian Musoko Offensive Rebound.,88,83
5:12,147,Foul on Harald Frey.,88,83
5:12,253,Christian Musoko made Free Throw.,88,84
5:12,253,Christian Musoko missed Free Throw.,88,84
5:12,147,Keljin Blevins Defensive Rebound.,88,84
4:58,147,Harald Frey made Layup.,90,84
4:39,253,James McGee made Three Point Jumper. Assisted by Dwayne Morgan.,90,87
4:14,147,Keljin Blevins Turnover.,90,87
4:14,147,Foul on Keljin Blevins.,90,87
4:02,253,Dre Marin Turnover.,90,87
3:48,147,Tyler Hall missed Three Point Jumper.,90,87
3:48,147,Montana State Offensive Rebound.,90,87
3:46,253,Foul on Christian Musoko.,90,87
3:46,253,Official TV Timeout,90,87
3:46,147,Benson Osayande missed Free Throw.,90,87
3:46,147,Montana State Deadball Team Rebound.,90,87
3:46,147,Benson Osayande made Free Throw.,91,87
3:31,147,Foul on Devonte Klines.,91,87
3:31,253,James McGee made Free Throw.,91,88
3:31,253,James McGee made Free Throw.,91,89
3:14,147,Benson Osayande Turnover.,91,89
3:06,253,Dwayne Morgan Turnover.,91,89
3:06,253,Foul on Dwayne Morgan.,91,89
2:51,147,Tyler Hall made Jumper.,93,89
2:32,147,Foul on Sam Neumann.,93,89
2:32,253,Christian Musoko made Free Throw.,93,90
2:32,253,Christian Musoko made Free Throw.,93,91
2:18,147,Benson Osayande missed Layup.,93,91
2:18,147,Benson Osayande Offensive Rebound.,93,91
2:15,147,Benson Osayande missed Layup.,93,91
2:15,253,Christian Musoko Block.,93,91
2:15,147,Harald Frey Offensive Rebound.,93,91
2:10,147,Harald Frey made Three Point Jumper.,96,91
1:54,253,Jadon Cohee missed Jumper.,96,91
1:54,147,Harald Frey Defensive Rebound.,96,91
1:35,147,Harald Frey missed Three Point Jumper.,96,91
1:35,253,Jadon Cohee Defensive Rebound.,96,91
1:27,253,Jadon Cohee Turnover.,96,91
1:25,147,Devonte Klines Steal.,96,91
1:20,147,Montana State  Timeout,96,91
1:06,253,Foul on Dre Marin.,96,91
1:06,147,Harald Frey missed Free Throw.,96,91
1:06,147,Montana State Deadball Team Rebound.,96,91
1:06,147,Harald Frey made Free Throw.,97,91
0:55,147,Foul on Tyler Hall.,97,91
0:55,253,James McGee made Free Throw.,97,92
0:55,253,James McGee made Free Throw.,97,93
0:55,253,James McGee made Free Throw.,97,94
0:49,253,Foul on Jacob Calloway.,97,94
0:49,147,Zach Green made Free Throw.,98,94
0:49,147,Zach Green missed Free Throw.,98,94
0:49,253,Jacob Calloway Defensive Rebound.,98,94
0:43,147,Foul on Harald Frey.,98,94
0:43,253,Jadon Cohee made Free Throw.,98,95
0:43,253,Jadon Cohee made Free Throw.,98,96
0:42,253,Southern Utah  Timeout,98,96
0:22,147,Tyler Hall made Layup. Assisted by Harald Frey.,100,96
0:13,253,Jadon Cohee missed Layup.,100,96
0:13,147,Joe Mvuezolo Jr. Defensive Rebound.,100,96
0:11,253,Foul on Jadon Cohee.,100,96
0:11,147,Joe Mvuezolo Jr. made Free Throw.,101,96
0:11,147,Joe Mvuezolo Jr. made Free Throw.,102,96
0:06,253,Brandon Better made Three Point Jumper.,102,99
0:04,253,Southern Utah  Timeout,102,99
0:04,253,Foul on Brandon Better.,102,99
0:04,147,Harald Frey made Free Throw.,103,99
0:04,147,Harald Frey made Free Throw.,104,99
0:01,253,Matthew Johnson missed Three Point Jumper.,104,99
0:01,147,Harald Frey Defensive Rebound.,104,99
0:00,253,End of 2nd half,104,99
0:00,253,End of Game,104,99
