Valparaiso,282,Indiana State,2674
12:18,2674,Jaume Sorolla Turnover.,2,11
12:17,282,Qiydar Davis Steal.,2,11
12:14,282,Tyreke Key missed Layup.,2,11
12:14,2674,Max Joseph Defensive Rebound.,2,11
12:09,2674,Mileek McMillan made Dunk. Assisted by Max Joseph.,4,11
11:52,282,Qiydar Davis made Three Point Jumper. Assisted by Devin Thomas.,4,14
11:31,2674,Micah Bradford missed Three Point Jumper.,4,14
11:31,282,Qiydar Davis Defensive Rebound.,4,14
11:21,282,Tyreke Key missed Layup.,4,14
11:21,2674,Max Joseph Defensive Rebound.,4,14
11:12,2674,Mileek McMillan missed Three Point Jumper.,4,14
11:12,282,Brenton Scott Defensive Rebound.,4,14
10:54,282,Brenton Scott made Layup.,4,16
10:52,2674,Valparaiso  Timeout,4,16
10:52,282,Official TV Timeout,4,16
10:20,2674,Valparaiso  Turnover.,4,16
10:02,282,Devin Thomas Turnover.,4,16
9:54,282,Foul on Devin Thomas.,4,16
9:41,2674,Tevonn Walker missed Jumper.,4,16
9:41,2674,Tevonn Walker Offensive Rebound.,4,16
9:36,2674,Tevonn Walker made Layup.,6,16
9:36,282,Foul on Devin Thomas.,6,16
9:35,2674,Tevonn Walker missed Free Throw.,6,16
9:35,282,Brenton Scott Defensive Rebound.,6,16
9:10,2674,Foul on Tevonn Walker.,6,16
9:10,282,Brenton Scott missed Free Throw.,6,16
9:10,2674,Max Joseph Defensive Rebound.,6,16
8:58,2674,Max Joseph Turnover.,6,16
8:57,282,Clayton Hughes Steal.,6,16
8:50,282,Jordan Barnes Turnover.,6,16
8:48,2674,John Kiser Steal.,6,16
8:43,282,Foul on Jordan Barnes.,6,16
8:39,2674,Bakari Evelyn made Three Point Jumper. Assisted by John Kiser.,9,16
8:18,282,Brandon Murphy missed Dunk.,9,16
8:18,2674,Marten Linssen Defensive Rebound.,9,16
8:08,282,Foul on Brandon Murphy.,9,16
7:55,2674,Micah Bradford Turnover.,9,16
7:54,282,Jordan Barnes Steal.,9,16
7:52,2674,Foul on Max Joseph.,9,16
7:52,282,Official TV Timeout,9,16
7:52,282,Jordan Barnes missed Free Throw.,9,16
7:52,282,Indiana State Deadball Team Rebound.,9,16
7:52,282,Jordan Barnes made Free Throw.,9,17
7:43,2674,Micah Bradford Turnover.,9,17
7:42,282,Jordan Barnes Steal.,9,17
7:18,282,Clayton Hughes missed Three Point Jumper.,9,17
7:18,2674,Marten Linssen Defensive Rebound.,9,17
7:06,282,Foul on Brandon Murphy.,9,17
7:06,2674,Max Joseph missed Free Throw.,9,17
7:06,2674,Valparaiso Deadball Team Rebound.,9,17
7:06,2674,Max Joseph made Free Throw.,10,17
6:44,282,Tyreke Key made Three Point Jumper. Assisted by Qiydar Davis.,10,20
6:21,2674,Bakari Evelyn made Three Point Jumper. Assisted by Marten Linssen.,13,20
5:57,282,Tyreke Key missed Three Point Jumper.,13,20
5:57,2674,Max Joseph Defensive Rebound.,13,20
5:37,282,Foul on Qiydar Davis.,13,20
5:36,2674,Max Joseph made Free Throw.,14,20
5:36,2674,Max Joseph made Free Throw.,15,20
5:21,282,Clayton Hughes made Jumper.,15,22
4:54,2674,Bakari Evelyn Turnover.,15,22
4:33,282,Devin Thomas missed Jumper.,15,22
4:33,282,Tyreke Key Offensive Rebound.,15,22
4:28,282,Clayton Hughes made Three Point Jumper. Assisted by Qiydar Davis.,15,25
4:07,2674,Marten Linssen made Layup.,17,25
3:59,282,Tyreke Key Turnover.,17,25
3:59,282,Official TV Timeout,17,25
3:38,2674,Max Joseph missed Jumper.,17,25
3:38,282,Clayton Hughes Defensive Rebound.,17,25
3:37,2674,Foul on Max Joseph.,17,25
3:37,282,Clayton Hughes missed Free Throw.,17,25
3:37,282,Indiana State Deadball Team Rebound.,17,25
3:36,282,Clayton Hughes missed Free Throw.,17,25
3:36,2674,Marten Linssen Defensive Rebound.,17,25
3:18,2674,Micah Bradford made Three Point Jumper. Assisted by Bakari Evelyn.,20,25
2:56,282,Emondre Rickman missed Jumper.,20,25
2:56,2674,Marten Linssen Defensive Rebound.,20,25
2:46,2674,Bakari Evelyn made Layup.,22,25
2:42,282,Indiana State  Timeout,22,25
2:28,282,Bronson Kessinger Turnover.,22,25
2:20,2674,Max Joseph made Jumper. Assisted by Micah Bradford.,24,25
2:20,282,Foul on Qiydar Davis.,24,25
2:19,2674,Max Joseph made Free Throw.,25,25
2:06,282,Brenton Scott Turnover.,25,25
2:05,2674,Marten Linssen Steal.,25,25
2:02,2674,John Kiser made Layup. Assisted by Marten Linssen.,27,25
1:41,282,Jordan Barnes Turnover.,27,25
1:41,282,Foul on Jordan Barnes.,27,25
1:25,2674,Marten Linssen Turnover.,27,25
1:22,282,Tyreke Key Steal.,27,25
1:21,282,Tyreke Key made Layup.,27,27
0:55,2674,Bakari Evelyn made Three Point Jumper.,30,27
0:42,282,Matt Deady Turnover.,30,27
0:42,282,Foul on Matt Deady.,30,27
0:33,2674,Micah Bradford missed Three Point Jumper.,30,27
0:33,282,Brenton Scott Defensive Rebound.,30,27
0:02,282,Clayton Hughes missed Three Point Jumper.,30,27
0:01,2674,Valparaiso Defensive Rebound.,30,27
0:00,282,End of 1st half,30,27
19:38,2674,Bakari Evelyn Turnover.,30,27
19:36,282,Qiydar Davis Steal.,30,27
19:33,2674,Foul on Markus Golder.,30,27
19:33,282,Qiydar Davis made Free Throw.,30,28
19:33,282,Qiydar Davis made Free Throw.,30,29
19:21,2674,Valparaiso  Timeout,30,29
19:21,282,Official TV Timeout,30,29
19:05,2674,Markus Golder Turnover.,30,29
19:04,282,Brandon Murphy Steal.,30,29
19:01,282,Qiydar Davis made Layup.,30,31
18:49,2674,Markus Golder missed Three Point Jumper.,30,31
18:49,2674,Jaume Sorolla Offensive Rebound.,30,31
18:45,2674,Markus Golder missed Layup.,30,31
18:45,2674,Jaume Sorolla Offensive Rebound.,30,31
18:41,2674,Jaume Sorolla made Two Point Tip Shot.,32,31
18:25,282,Jordan Barnes Turnover.,32,31
18:24,2674,Markus Golder Steal.,32,31
18:19,2674,Markus Golder Turnover.,32,31
18:17,282,Brenton Scott Steal.,32,31
18:08,282,Jordan Barnes missed Jumper.,32,31
18:08,2674,Bakari Evelyn Defensive Rebound.,32,31
17:54,2674,Tevonn Walker missed Three Point Jumper.,32,31
17:54,282,Qiydar Davis Defensive Rebound.,32,31
17:37,282,Jordan Barnes made Three Point Jumper. Assisted by Tyreke Key.,32,34
17:19,2674,Tevonn Walker made Layup.,34,34
16:50,282,Brandon Murphy Turnover.,34,34
16:47,2674,Tevonn Walker Steal.,34,34
16:45,2674,Tevonn Walker missed Layup.,34,34
16:45,282,Brandon Murphy Defensive Rebound.,34,34
16:34,282,Jordan Barnes Turnover.,34,34
16:21,2674,Parker Hazen missed Three Point Jumper.,34,34
16:21,282,Jordan Barnes Defensive Rebound.,34,34
16:11,2674,Foul on Jaume Sorolla.,34,34
16:11,282,Qiydar Davis made Free Throw.,34,35
16:11,282,Qiydar Davis made Free Throw.,34,36
15:52,282,Foul on Brenton Scott.,34,36
15:52,282,Official TV Timeout,34,36
15:52,2674,Tevonn Walker made Free Throw.,35,36
15:52,2674,Tevonn Walker made Free Throw.,36,36
15:30,282,Tyreke Key missed Three Point Jumper.,36,36
15:30,282,Bronson Kessinger Offensive Rebound.,36,36
15:28,282,Bronson Kessinger made Layup.,36,38
15:01,2674,Bakari Evelyn made Three Point Jumper. Assisted by Mileek McMillan.,39,38
14:36,282,Brenton Scott made Jumper.,39,40
14:16,2674,Mileek McMillan missed Three Point Jumper.,39,40
14:16,282,Brenton Scott Defensive Rebound.,39,40
14:09,282,Brenton Scott made Layup.,39,42
14:09,2674,Foul on Mileek McMillan.,39,42
14:07,282,Brenton Scott made Free Throw.,39,43
13:47,282,Foul on Devin Thomas.,39,43
13:47,2674,Derrik Smits missed Free Throw.,39,43
13:47,2674,Valparaiso Deadball Team Rebound.,39,43
13:47,2674,Derrik Smits missed Free Throw.,39,43
13:47,282,Tyreke Key Defensive Rebound.,39,43
13:26,282,Tyreke Key missed Layup.,39,43
13:26,2674,Max Joseph Defensive Rebound.,39,43
13:01,2674,Derrik Smits Turnover.,39,43
13:00,282,Devin Thomas Steal.,39,43
12:48,282,Devin Thomas made Three Point Jumper. Assisted by Tyreke Key.,39,46
12:26,282,Foul on Devin Thomas.,39,46
12:14,2674,Marten Linssen missed Layup.,39,46
12:14,282,Emondre Rickman Block.,39,46
12:09,282,Emondre Rickman Defensive Rebound.,39,46
12:03,282,Qiydar Davis made Jumper. Assisted by Jordan Barnes.,39,48
11:44,2674,Tevonn Walker missed Three Point Jumper.,39,48
11:44,2674,Marten Linssen Offensive Rebound.,39,48
11:41,282,Official TV Timeout,39,48
11:23,2674,Tevonn Walker made Three Point Jumper.,42,48
11:23,282,Foul on Qiydar Davis.,42,48
11:23,2674,Tevonn Walker made Free Throw.,43,48
11:12,2674,Foul on Marten Linssen.,43,48
11:01,2674,Foul on Marten Linssen.,43,48
11:01,282,Emondre Rickman missed Free Throw.,43,48
11:01,282,Indiana State Deadball Team Rebound.,43,48
11:01,282,Emondre Rickman missed Free Throw.,43,48
11:01,2674,Tevonn Walker Defensive Rebound.,43,48
10:36,2674,Tevonn Walker made Three Point Jumper.,46,48
10:15,282,Bronson Kessinger made Layup.,46,50
9:54,2674,Bakari Evelyn made Jumper.,48,50
9:40,282,Brenton Scott Turnover.,48,50
9:39,2674,Max Joseph Steal.,48,50
9:36,282,Foul on Brenton Scott.,48,50
9:36,2674,Tevonn Walker made Free Throw.,49,50
9:36,2674,Tevonn Walker made Free Throw.,50,50
9:26,282,Jordan Barnes Turnover.,50,50
9:05,282,Foul on Brenton Scott.,50,50
8:53,2674,Max Joseph missed Layup.,50,50
8:53,282,Emondre Rickman Defensive Rebound.,50,50
8:45,282,Jordan Barnes Turnover.,50,50
8:44,2674,Max Joseph Steal.,50,50
8:41,2674,Max Joseph Turnover.,50,50
8:16,282,Clayton Hughes missed Three Point Jumper.,50,50
8:16,282,Emondre Rickman Offensive Rebound.,50,50
8:10,282,Emondre Rickman made Layup.,50,52
7:45,2674,Max Joseph Turnover.,50,52
7:45,2674,Foul on Max Joseph.,50,52
7:42,282,Official TV Timeout,50,52
7:32,282,Jordan Barnes made Three Point Jumper.,50,55
7:03,2674,Derrik Smits missed Jumper.,50,55
7:03,282,Jordan Barnes Defensive Rebound.,50,55
7:02,2674,Foul on Bakari Evelyn.,50,55
7:02,282,Jordan Barnes missed Free Throw.,50,55
7:02,2674,Derrik Smits Defensive Rebound.,50,55
6:39,2674,Tevonn Walker missed Three Point Jumper.,50,55
6:39,282,Tyreke Key Defensive Rebound.,50,55
6:37,2674,Foul on John Kiser.,50,55
6:37,282,Tyreke Key made Free Throw.,50,56
6:37,282,Tyreke Key made Free Throw.,50,57
6:15,282,Foul on Clayton Hughes.,50,57
6:15,2674,Tevonn Walker missed Free Throw.,50,57
6:15,2674,Valparaiso Deadball Team Rebound.,50,57
6:15,2674,Tevonn Walker missed Free Throw.,50,57
6:15,282,Jordan Barnes Defensive Rebound.,50,57
5:48,282,Brandon Murphy Turnover.,50,57
5:37,2674,Bakari Evelyn made Three Point Jumper.,53,57
5:09,282,Brandon Murphy Turnover.,53,57
4:55,2674,Marten Linssen Turnover.,53,57
4:54,282,Clayton Hughes Steal.,53,57
4:42,282,Jordan Barnes made Three Point Jumper. Assisted by Clayton Hughes.,53,60
4:33,2674,Bakari Evelyn Turnover.,53,60
4:18,282,Brandon Murphy Turnover.,53,60
4:17,2674,Markus Golder Steal.,53,60
4:02,2674,Max Joseph made Layup.,55,60
3:50,282,Indiana State  Timeout,55,60
3:50,282,Official TV Timeout,55,60
3:45,282,Jordan Barnes made Jumper.,55,62
3:23,2674,Markus Golder Turnover.,55,62
3:00,282,Brenton Scott made Three Point Jumper. Assisted by Jordan Barnes.,55,65
2:51,2674,Valparaiso  Timeout,55,65
2:42,2674,Max Joseph made Layup.,57,65
2:11,282,Jordan Barnes missed Three Point Jumper.,57,65
2:11,2674,Tevonn Walker Defensive Rebound.,57,65
2:01,2674,Mileek McMillan made Layup. Assisted by Tevonn Walker.,59,65
1:46,282,Indiana State  Timeout,59,65
1:26,2674,Foul on Tevonn Walker.,59,65
1:26,282,Brenton Scott made Free Throw.,59,66
1:26,282,Brenton Scott made Free Throw.,59,67
1:17,2674,Tevonn Walker missed Three Point Jumper.,59,67
1:17,2674,Max Joseph Offensive Rebound.,59,67
1:16,282,Foul on Clayton Hughes.,59,67
1:15,2674,Max Joseph made Free Throw.,60,67
1:15,2674,Max Joseph missed Free Throw.,60,67
1:15,282,Indiana State Defensive Rebound.,60,67
1:13,2674,Foul on Bakari Evelyn.,60,67
1:13,282,Jordan Barnes missed Free Throw.,60,67
1:13,282,Indiana State Deadball Team Rebound.,60,67
1:13,282,Jordan Barnes made Free Throw.,60,68
1:07,2674,Tevonn Walker missed Three Point Jumper.,60,68
1:07,282,Jordan Barnes Defensive Rebound.,60,68
0:59,282,Jordan Barnes Turnover.,60,68
0:50,2674,Tevonn Walker missed Three Point Jumper.,60,68
0:50,2674,Max Joseph Offensive Rebound.,60,68
0:48,2674,Max Joseph made Two Point Tip Shot.,62,68
0:47,2674,Foul on Micah Bradford.,62,68
0:47,282,Jordan Barnes made Free Throw.,62,69
0:47,282,Jordan Barnes made Free Throw.,62,70
0:41,2674,Tevonn Walker made Layup.,64,70
0:40,2674,Foul on Mileek McMillan.,64,70
0:40,282,Brandon Murphy made Free Throw.,64,71
0:40,282,Brandon Murphy missed Free Throw.,64,71
0:40,2674,Micah Bradford Defensive Rebound.,64,71
0:34,2674,Bakari Evelyn missed Three Point Jumper.,64,71
0:34,282,Tyreke Key Defensive Rebound.,64,71
0:31,2674,Foul on Max Joseph.,64,71
0:31,282,Tyreke Key made Free Throw.,64,72
0:31,282,Tyreke Key made Free Throw.,64,73
0:22,2674,Tevonn Walker missed Three Point Jumper.,64,73
0:22,282,Indiana State Defensive Rebound.,64,73
0:04,282,Jordan Barnes Turnover.,64,73
0:01,2674,Micah Bradford missed Three Point Jumper.,64,73
0:01,282,Brandon Murphy Defensive Rebound.,64,73
0:00,282,End of Game,64,73
