North Texas,2638,UTEP,249
2:36,2638,Matt Willms Defensive Rebound.,20,24
2:07,2638,Evan Gilyard made Layup.,20,26
1:40,249,Zachary Simmons missed Jumper.,20,26
1:40,2638,Trey Touchet Defensive Rebound.,20,26
1:34,249,Foul on Jorden Duffy.,20,26
1:34,2638,Evan Gilyard made Free Throw.,20,27
1:34,2638,Evan Gilyard made Free Throw.,20,28
1:17,249,Shane Temara made Three Point Jumper. Assisted by Ryan Woolridge.,23,28
0:47,2638,Evan Gilyard missed Three Point Jumper.,23,28
0:47,249,Shane Temara Defensive Rebound.,23,28
0:25,2638,Foul on Matt Willms.,23,28
0:25,249,Tope Arikawe missed Free Throw.,23,28
0:25,249,North Texas Deadball Team Rebound.,23,28
0:25,249,Tope Arikawe made Free Throw.,24,28
0:03,2638,Evan Gilyard made Layup.,24,30
0:00,2638,End of 1st half,24,30
19:43,249,Shane Temara missed Three Point Jumper.,24,30
19:43,2638,Tirus Smith Defensive Rebound.,24,30
19:15,2638,Omega Harris missed Three Point Jumper.,24,30
19:15,249,North Texas Defensive Rebound.,24,30
19:00,249,Roosevelt Smart made Layup.,26,30
19:00,2638,Foul on Trey Touchet.,26,30
19:00,249,Roosevelt Smart made Free Throw.,27,30
18:46,2638,Omega Harris missed Jumper.,27,30
18:46,249,Roosevelt Smart Defensive Rebound.,27,30
18:38,2638,Foul on Omega Harris.,27,30
18:15,249,Zachary Simmons Turnover.,27,30
17:50,2638,Tirus Smith made Layup. Assisted by Paul Thomas.,27,32
17:25,249,Roosevelt Smart made Jumper.,29,32
17:09,249,Foul on Zachary Simmons.,29,32
17:09,249,Foul on Allante Holston.,29,32
17:07,2638,Trey Touchet made Jumper. Assisted by Kobe Magee.,29,34
16:36,249,A.J. Lawson missed Three Point Jumper.,29,34
16:36,2638,Kobe Magee Defensive Rebound.,29,34
16:08,2638,Omega Harris missed Layup.,29,34
16:08,249,Tope Arikawe Block.,29,34
16:07,249,Tope Arikawe Defensive Rebound.,29,34
15:59,249,A.J. Lawson Turnover.,29,34
15:52,2638,Paul Thomas missed Jumper.,29,34
15:52,249,A.J. Lawson Defensive Rebound.,29,34
15:36,249,Ryan Woolridge made Jumper.,31,34
15:14,2638,Omega Harris missed Jumper.,31,34
15:14,2638,Paul Thomas Offensive Rebound.,31,34
15:08,2638,Official TV Timeout,31,34
15:03,2638,Omega Harris missed Layup.,31,34
15:03,249,Shane Temara Block.,31,34
15:01,2638,Trey Wade Offensive Rebound.,31,34
14:44,2638,Trey Wade missed Three Point Jumper.,31,34
14:44,249,Ryan Woolridge Defensive Rebound.,31,34
14:36,249,Tope Arikawe made Layup.,33,34
14:17,2638,Kobe Magee made Jumper.,33,36
13:53,249,Jorden Duffy missed Layup.,33,36
13:53,249,Tope Arikawe Offensive Rebound.,33,36
13:49,249,Jorden Duffy made Three Point Jumper.,36,36
13:29,2638,Omega Harris made Layup. Assisted by Matt Willms.,36,38
13:05,249,Jorden Duffy missed Three Point Jumper.,36,38
13:05,2638,Trey Touchet Defensive Rebound.,36,38
12:36,2638,Matt Willms missed Jumper.,36,38
12:36,249,Roosevelt Smart Defensive Rebound.,36,38
12:26,2638,Foul on Trey Touchet.,36,38
12:17,249,A.J. Lawson made Jumper.,38,38
12:03,2638,Paul Thomas missed Jumper.,38,38
12:03,249,A.J. Lawson Defensive Rebound.,38,38
11:58,249,Roosevelt Smart made Dunk.,40,38
11:49,2638,Keith Frazier made Jumper.,40,40
11:45,2638,Official TV Timeout,40,40
11:30,249,Zachary Simmons missed Layup.,40,40
11:30,2638,Tirus Smith Block.,40,40
11:28,2638,Kobe Magee Defensive Rebound.,40,40
11:24,2638,Omega Harris missed Three Point Jumper.,40,40
11:24,249,A.J. Lawson Defensive Rebound.,40,40
10:59,249,A.J. Lawson Turnover.,40,40
10:56,2638,Foul on Tirus Smith.,40,40
10:56,2638,Tirus Smith Turnover.,40,40
10:40,249,A.J. Lawson missed Layup.,40,40
10:40,2638,Matt Willms Defensive Rebound.,40,40
10:36,2638,Omega Harris Turnover.,40,40
10:36,249,Roosevelt Smart Steal.,40,40
10:22,249,Shane Temara made Layup. Assisted by Allante Holston.,42,40
10:15,2638,UTEP  Timeout,42,40
10:15,2638,Official TV Timeout,42,40
10:05,2638,Keith Frazier made Dunk.,42,42
9:47,249,Shane Temara made Three Point Jumper. Assisted by Ryan Woolridge.,45,42
9:19,2638,Keith Frazier missed Three Point Jumper.,45,42
9:19,249,Roosevelt Smart Defensive Rebound.,45,42
9:14,249,Shane Temara missed Three Point Jumper.,45,42
9:14,2638,Omega Harris Defensive Rebound.,45,42
8:57,2638,Paul Thomas missed Jumper.,45,42
8:57,2638,Matt Willms Offensive Rebound.,45,42
8:52,2638,Matt Willms Turnover.,45,42
8:33,249,Ryan Woolridge Turnover.,45,42
8:10,2638,Paul Thomas Turnover.,45,42
8:01,2638,Foul on Omega Harris.,45,42
7:56,249,Ryan Woolridge made Three Point Jumper. Assisted by A.J. Lawson.,48,42
7:35,2638,Matt Willms made Layup. Assisted by Trey Wade.,48,44
7:16,249,Shane Temara missed Jumper.,48,44
7:16,2638,Trey Wade Defensive Rebound.,48,44
7:03,249,Foul on Shane Temara.,48,44
7:03,2638,Official TV Timeout,48,44
7:03,2638,Matt Willms made Free Throw.,48,45
7:03,2638,Matt Willms made Free Throw.,48,46
6:43,249,Allante Holston missed Layup.,48,46
6:43,249,Tope Arikawe Offensive Rebound.,48,46
6:38,249,Tope Arikawe missed Dunk.,48,46
6:38,249,Ryan Woolridge Offensive Rebound.,48,46
6:28,2638,Technical Foul on UTEP.,48,46
6:28,2638,Foul on UTEP.,48,46
6:28,2638,Technical Foul on UTEP.,48,46
6:28,2638,Foul on UTEP.,48,46
6:28,249,Roosevelt Smart made Free Throw.,49,46
6:28,249,Roosevelt Smart made Free Throw.,50,46
6:28,249,Roosevelt Smart made Free Throw.,51,46
6:28,249,Roosevelt Smart missed Free Throw.,51,46
6:28,249,North Texas Deadball Team Rebound.,51,46
6:14,2638,Foul on Evan Gilyard.,51,46
6:14,249,Ryan Woolridge missed Free Throw.,51,46
6:14,2638,Matt Willms Defensive Rebound.,51,46
5:49,2638,Evan Gilyard missed Layup.,51,46
5:49,2638,Matt Willms Offensive Rebound.,51,46
5:49,249,Foul on Allante Holston.,51,46
5:37,2638,Omega Harris missed Three Point Jumper.,51,46
5:37,249,A.J. Lawson Defensive Rebound.,51,46
5:14,249,Tope Arikawe missed Jumper.,51,46
5:14,2638,Trey Wade Defensive Rebound.,51,46
5:07,2638,Evan Gilyard made Three Point Jumper.,51,49
4:57,249,North Texas  Timeout,51,49
4:49,2638,Foul on Omega Harris.,51,49
4:49,249,Shane Temara missed Free Throw.,51,49
4:49,249,North Texas Deadball Team Rebound.,51,49
4:49,249,Shane Temara missed Free Throw.,51,49
4:49,2638,Omega Harris Defensive Rebound.,51,49
4:33,249,Foul on Ryan Woolridge.,51,49
4:21,249,Foul on Zachary Simmons.,51,49
4:07,2638,Matt Willms made Jumper.,51,51
4:01,249,Roosevelt Smart made Three Point Jumper.,54,51
3:36,2638,Paul Thomas made Jumper.,54,53
3:20,2638,Foul on Paul Thomas.,54,53
3:20,2638,Official TV Timeout,54,53
3:20,249,Roosevelt Smart made Free Throw.,55,53
3:20,249,Roosevelt Smart made Free Throw.,56,53
3:20,249,Roosevelt Smart missed Free Throw.,56,53
3:20,2638,Keith Frazier Defensive Rebound.,56,53
3:08,249,Foul on Zachary Simmons.,56,53
3:08,2638,Omega Harris missed Free Throw.,56,53
3:08,2638,UTEP Deadball Team Rebound.,56,53
3:08,2638,Omega Harris missed Free Throw.,56,53
3:08,249,Shane Temara Defensive Rebound.,56,53
2:52,249,A.J. Lawson missed Three Point Jumper.,56,53
2:52,249,Zachary Simmons Offensive Rebound.,56,53
2:43,249,Zachary Simmons missed Layup.,56,53
2:43,2638,Matt Willms Defensive Rebound.,56,53
2:25,2638,Keith Frazier made Three Point Jumper.,56,56
1:59,249,Roosevelt Smart made Three Point Jumper. Assisted by Ryan Woolridge.,59,56
1:40,249,Foul on Ryan Woolridge.,59,56
1:40,2638,Evan Gilyard missed Free Throw.,59,56
1:40,249,Shane Temara Defensive Rebound.,59,56
1:24,249,Roosevelt Smart missed Three Point Jumper.,59,56
1:24,249,Zachary Simmons Offensive Rebound.,59,56
1:02,2638,Foul on Evan Gilyard.,59,56
1:02,249,Ryan Woolridge missed Free Throw.,59,56
1:02,249,North Texas Deadball Team Rebound.,59,56
1:02,249,Ryan Woolridge missed Free Throw.,59,56
1:02,2638,Paul Thomas Defensive Rebound.,59,56
0:45,2638,Foul on Omega Harris.,59,56
0:45,2638,Omega Harris Turnover.,59,56
0:23,249,Roosevelt Smart made Jumper.,61,56
0:23,249,North Texas  Timeout,61,56
0:14,2638,Keith Frazier made Three Point Jumper.,61,59
0:14,2638,UTEP  Timeout,61,59
0:14,2638,Foul on Evan Gilyard.,61,59
0:14,249,Roosevelt Smart made Free Throw.,62,59
0:14,249,Roosevelt Smart made Free Throw.,63,59
0:10,2638,UTEP  Timeout,63,59
0:06,2638,Keith Frazier missed Three Point Jumper.,63,59
0:06,2638,Keith Frazier Offensive Rebound.,63,59
0:03,2638,Keith Frazier made Three Point Jumper.,63,62
