Southern Illinois,2460,Northern Iowa,79
11:12,2460,Tywhon Pickford Steal.,6,3
11:09,2460,Tywhon Pickford made Layup.,6,5
10:54,79,Marcus Bartley Turnover.,6,5
10:31,2460,Bennett Koch Turnover.,6,5
10:30,79,Aaron Cook Steal.,6,5
10:27,79,Aaron Cook made Dunk.,8,5
10:01,2460,Tywhon Pickford made Three Point Jumper. Assisted by Juwan McCloud.,8,8
9:49,79,Tyler Smithpeters missed Three Point Jumper.,8,8
9:49,2460,Klint Carlson Defensive Rebound.,8,8
9:40,2460,Klint Carlson Turnover.,8,8
9:08,79,Southern Illinois  Turnover.,8,8
8:48,2460,Tywhon Pickford made Layup. Assisted by Juwan McCloud.,8,10
8:35,2460,Foul on Tywhon Pickford.,8,10
8:33,2460,Foul on Tywhon Pickford.,8,10
8:26,79,Kavion Pippen made Jumper.,10,10
8:04,2460,Bennett Koch missed Jumper.,10,10
8:04,79,Kavion Pippen Defensive Rebound.,10,10
7:41,79,Jonathan Wiley missed Jumper.,10,10
7:41,2460,Wyatt Lohaus Defensive Rebound.,10,10
7:28,2460,Juwan McCloud missed Three Point Jumper.,10,10
7:28,79,Jonathan Wiley Defensive Rebound.,10,10
7:08,79,Aaron Cook Turnover.,10,10
7:06,2460,Juwan McCloud Steal.,10,10
7:04,2460,Juwan McCloud made Layup.,10,12
6:46,79,Tyler Smithpeters made Three Point Jumper.,13,12
6:25,2460,Bennett Koch made Layup.,13,14
5:58,79,Kavion Pippen made Jumper.,15,14
5:41,2460,Wyatt Lohaus missed Three Point Jumper.,15,14
5:41,79,Sean Lloyd Jr. Defensive Rebound.,15,14
5:22,79,Aaron Cook missed Three Point Jumper.,15,14
5:22,2460,Bennett Koch Defensive Rebound.,15,14
5:05,79,Foul on Tyler Smithpeters.,15,14
5:05,2460,Official TV Timeout,15,14
5:03,2460,Wyatt Lohaus missed Jumper.,15,14
5:03,79,Marcus Bartley Defensive Rebound.,15,14
4:29,79,Aaron Cook Turnover.,15,14
4:29,79,Foul on Aaron Cook.,15,14
4:08,2460,Klint Carlson made Layup.,15,16
3:47,79,Aaron Cook missed Three Point Jumper.,15,16
3:47,2460,Austin Phyfe Defensive Rebound.,15,16
3:35,2460,Isaiah Brown made Jumper.,15,18
3:15,79,Kavion Pippen made Jumper.,17,18
2:49,2460,Isaiah Brown missed Three Point Jumper.,17,18
2:49,79,Aaron Cook Defensive Rebound.,17,18
2:36,79,Armon Fletcher made Layup. Assisted by Aaron Cook.,19,18
2:19,2460,Wyatt Lohaus made Three Point Jumper. Assisted by Isaiah Brown.,19,21
2:00,79,Sean Lloyd Jr. missed Three Point Jumper.,19,21
2:00,2460,Klint Carlson Defensive Rebound.,19,21
1:52,2460,Juwan McCloud made Layup.,19,23
1:49,79,Southern Illinois  Timeout,19,23
1:49,2460,Official TV Timeout,19,23
1:21,79,Brendon Gooch missed Three Point Jumper.,19,23
1:21,2460,Northern Iowa Defensive Rebound.,19,23
0:53,2460,Wyatt Lohaus made Jumper.,19,25
0:24,79,Marcus Bartley missed Three Point Jumper.,19,25
0:24,79,Armon Fletcher Offensive Rebound.,19,25
0:18,79,Armon Fletcher missed Jumper.,19,25
0:18,79,Brendon Gooch Offensive Rebound.,19,25
0:05,2460,Foul on Isaiah Brown.,19,25
0:02,79,Marcus Bartley made Three Point Jumper. Assisted by Jonathan Wiley.,22,25
0:00,2460,End of 1st half,22,25
19:46,79,Kavion Pippen made Jumper.,24,25
19:29,2460,Bennett Koch missed Layup.,24,25
19:29,79,Armon Fletcher Block.,24,25
19:26,79,Sean Lloyd Jr. Defensive Rebound.,24,25
19:02,79,Kavion Pippen Turnover.,24,25
18:45,2460,Tywhon Pickford made Layup.,24,27
18:32,79,Tyler Smithpeters missed Three Point Jumper.,24,27
18:32,2460,Juwan McCloud Defensive Rebound.,24,27
18:15,2460,Isaiah Brown made Layup.,24,29
18:15,79,Foul on Tyler Smithpeters.,24,29
18:15,2460,Isaiah Brown made Free Throw.,24,30
18:01,2460,Foul on Bennett Koch.,24,30
18:01,79,Kavion Pippen made Free Throw.,25,30
18:01,79,Kavion Pippen missed Free Throw.,25,30
18:01,2460,Klint Carlson Defensive Rebound.,25,30
17:47,2460,Isaiah Brown missed Jumper.,25,30
17:47,2460,Bennett Koch Offensive Rebound.,25,30
17:36,2460,Bennett Koch missed Layup.,25,30
17:36,79,Kavion Pippen Defensive Rebound.,25,30
17:21,79,Aaron Cook made Layup.,27,30
16:54,2460,Isaiah Brown missed Three Point Jumper.,27,30
16:54,2460,Klint Carlson Offensive Rebound.,27,30
16:50,2460,Bennett Koch made Layup.,27,32
16:49,79,Foul on Kavion Pippen.,27,32
16:49,2460,Bennett Koch made Free Throw.,27,33
16:33,79,Kavion Pippen missed Jumper.,27,33
16:33,2460,Bennett Koch Defensive Rebound.,27,33
16:08,2460,Klint Carlson missed Three Point Jumper.,27,33
16:08,79,Sean Lloyd Jr. Defensive Rebound.,27,33
16:00,2460,Foul on Juwan McCloud.,27,33
16:00,2460,Official TV Timeout,27,33
15:47,79,Armon Fletcher made Three Point Jumper. Assisted by Aaron Cook.,30,33
15:31,2460,Austin Phyfe made Layup. Assisted by Klint Carlson.,30,35
15:07,79,Armon Fletcher missed Jumper.,30,35
15:07,2460,Klint Carlson Block.,30,35
15:04,2460,Juwan McCloud Defensive Rebound.,30,35
14:47,2460,Tywhon Pickford missed Three Point Jumper.,30,35
14:47,79,Marcus Bartley Defensive Rebound.,30,35
14:26,79,Marcus Bartley missed Jumper.,30,35
14:26,2460,Tywhon Pickford Defensive Rebound.,30,35
13:57,2460,Wyatt Lohaus Turnover.,30,35
13:43,79,Marcus Bartley made Three Point Jumper. Assisted by Jonathan Wiley.,33,35
13:09,2460,Wyatt Lohaus missed Three Point Jumper.,33,35
13:08,79,Jonathan Wiley Block.,33,35
13:07,79,Marcus Bartley Defensive Rebound.,33,35
13:03,79,Jonathan Wiley Turnover.,33,35
13:03,2460,Adam McDermott Steal.,33,35
12:54,2460,Juwan McCloud Turnover.,33,35
12:54,2460,Foul on Juwan McCloud.,33,35
12:54,79,Aaron Cook Steal.,33,35
12:28,79,Rudy Stradnieks missed Layup.,33,35
12:28,2460,Klint Carlson Defensive Rebound.,33,35
12:10,2460,Bennett Koch Turnover.,33,35
11:55,79,Rudy Stradnieks missed Three Point Jumper.,33,35
11:55,2460,Wyatt Lohaus Defensive Rebound.,33,35
11:34,79,Foul on Rudy Stradnieks.,33,35
11:34,2460,Official TV Timeout,33,35
11:29,2460,Klint Carlson missed Jumper.,33,35
11:29,2460,Klint Carlson Offensive Rebound.,33,35
11:13,2460,Juwan McCloud missed Three Point Jumper.,33,35
11:13,79,Aaron Cook Defensive Rebound.,33,35
10:52,79,Sean Lloyd Jr. Turnover.,33,35
10:51,2460,Juwan McCloud Steal.,33,35
10:44,79,Foul on Kavion Pippen.,33,35
10:42,2460,Wyatt Lohaus missed Jumper.,33,35
10:42,79,Kavion Pippen Defensive Rebound.,33,35
10:26,79,Marcus Bartley made Three Point Jumper. Assisted by Jonathan Wiley.,36,35
9:51,2460,Bennett Koch Turnover.,36,35
9:38,79,Marcus Bartley made Three Point Jumper. Assisted by Aaron Cook.,39,35
9:26,2460,Northern Iowa  Timeout,39,35
9:26,2460,Official TV Timeout,39,35
9:11,2460,Austin Phyfe missed Jumper.,39,35
9:11,2460,Northern Iowa Offensive Rebound.,39,35
9:07,2460,Hunter Rhodes made Three Point Jumper. Assisted by Isaiah Brown.,39,38
8:41,2460,Foul on Klint Carlson.,39,38
8:31,79,Rudy Stradnieks missed Jumper.,39,38
8:31,2460,Klint Carlson Defensive Rebound.,39,38
8:04,2460,Klint Carlson Turnover.,39,38
7:47,79,Marcus Bartley missed Three Point Jumper.,39,38
7:47,79,Sean Lloyd Jr. Offensive Rebound.,39,38
7:42,79,Tyler Smithpeters made Three Point Jumper. Assisted by Kavion Pippen.,42,38
7:22,2460,Hunter Rhodes made Layup.,42,40
7:08,79,Kavion Pippen made Jumper.,44,40
6:41,2460,Klint Carlson made Jumper.,44,42
6:19,2460,Foul on Austin Phyfe.,44,42
6:19,2460,Official TV Timeout,44,42
6:19,79,Kavion Pippen made Free Throw.,45,42
6:19,79,Kavion Pippen missed Free Throw.,45,42
6:19,2460,Klint Carlson Defensive Rebound.,45,42
6:03,79,Foul on Armon Fletcher.,45,42
5:57,79,Foul on Jonathan Wiley.,45,42
5:57,2460,Klint Carlson made Free Throw.,45,43
5:57,2460,Klint Carlson missed Free Throw.,45,43
5:57,79,Kavion Pippen Defensive Rebound.,45,43
5:29,79,Sean Lloyd Jr. made Layup.,47,43
5:04,2460,Bennett Koch missed Layup.,47,43
5:04,79,Kavion Pippen Block.,47,43
5:03,79,Jonathan Wiley Defensive Rebound.,47,43
4:39,79,Jonathan Wiley missed Jumper.,47,43
4:39,79,Kavion Pippen Offensive Rebound.,47,43
4:36,79,Kavion Pippen missed Layup.,47,43
4:36,2460,Tywhon Pickford Defensive Rebound.,47,43
4:22,2460,Klint Carlson made Layup.,47,45
3:57,79,Aaron Cook made Three Point Jumper.,50,45
3:53,2460,Official TV Timeout,50,45
3:30,79,Foul on Kavion Pippen.,50,45
3:30,2460,Klint Carlson made Free Throw.,50,46
3:30,2460,Klint Carlson missed Free Throw.,50,46
3:30,2460,Bennett Koch Offensive Rebound.,50,46
3:27,2460,Klint Carlson missed Three Point Jumper.,50,46
3:27,79,Sean Lloyd Jr. Defensive Rebound.,50,46
2:56,79,Kavion Pippen missed Jumper.,50,46
2:56,79,Sean Lloyd Jr. Offensive Rebound.,50,46
2:51,79,Sean Lloyd Jr. missed Layup.,50,46
2:51,79,Tyler Smithpeters Offensive Rebound.,50,46
2:51,79,Southern Illinois  Timeout,50,46
2:30,79,Aaron Cook missed Layup.,50,46
2:30,2460,Bennett Koch Defensive Rebound.,50,46
2:11,2460,Tywhon Pickford missed Three Point Jumper.,50,46
2:11,79,Armon Fletcher Defensive Rebound.,50,46
2:07,2460,Foul on Klint Carlson.,50,46
1:41,79,Sean Lloyd Jr. made Jumper. Assisted by Marcus Bartley.,52,46
1:28,2460,Wyatt Lohaus missed Layup.,52,46
1:28,2460,Klint Carlson Offensive Rebound.,52,46
1:25,2460,Klint Carlson missed Layup.,52,46
1:25,2460,Tywhon Pickford Offensive Rebound.,52,46
1:23,79,Foul on Sean Lloyd Jr..,52,46
1:23,2460,Tywhon Pickford made Free Throw.,52,47
1:23,2460,Tywhon Pickford made Free Throw.,52,48
0:58,79,Armon Fletcher made Three Point Jumper. Assisted by Marcus Bartley.,55,48
0:44,2460,Isaiah Brown missed Three Point Jumper.,55,48
0:44,79,Sean Lloyd Jr. Defensive Rebound.,55,48
0:40,2460,Foul on Klint Carlson.,55,48
0:40,79,Tyler Smithpeters made Free Throw.,56,48
0:40,79,Tyler Smithpeters missed Free Throw.,56,48
0:40,2460,Klint Carlson Defensive Rebound.,56,48
0:31,2460,Juwan McCloud missed Layup.,56,48
0:31,79,Jonathan Wiley Defensive Rebound.,56,48
0:25,2460,Foul on Klint Carlson.,56,48
0:25,79,Marcus Bartley missed Free Throw.,56,48
0:25,2460,Klint Carlson Defensive Rebound.,56,48
0:21,2460,Wyatt Lohaus made Three Point Jumper. Assisted by Klint Carlson.,56,51
0:21,2460,Northern Iowa  Timeout,56,51
0:16,2460,Foul on Tywhon Pickford.,56,51
0:13,79,Aaron Cook missed Free Throw.,56,51
0:13,2460,Wyatt Lohaus Defensive Rebound.,56,51
0:06,2460,Isaiah Brown missed Three Point Jumper.,56,51
0:05,79,Tyler Smithpeters Defensive Rebound.,56,51
0:05,79,Tyler Smithpeters missed Free Throw.,56,51
0:04,79,Southern Illinois Deadball Team Rebound.,56,51
0:04,79,Tyler Smithpeters missed Free Throw.,56,51
0:04,2460,Tywhon Pickford Defensive Rebound.,56,51
0:00,2460,Tywhon Pickford made Layup.,56,53
0:00,2460,End of Game,56,53
