Creighton,2550,Seton Hall,156
9:20,156,Khyri Thomas made Three Point Jumper. Assisted by Ronnie Harrell Jr..,28,20
9:16,2550,Seton Hall  Timeout,28,20
9:11,2550,Desi Rodriguez missed Jumper.,28,20
9:11,2550,Desi Rodriguez Offensive Rebound.,28,20
8:51,2550,Angel Delgado made Jumper.,28,22
8:29,156,Toby Hegner missed Three Point Jumper.,28,22
8:29,2550,Michael Nzei Defensive Rebound.,28,22
8:12,2550,Michael Nzei made Layup. Assisted by Angel Delgado.,28,24
7:53,156,Marcus Foster missed Jumper.,28,24
7:53,156,Khyri Thomas Offensive Rebound.,28,24
7:43,156,Khyri Thomas missed Three Point Jumper.,28,24
7:43,2550,Angel Delgado Defensive Rebound.,28,24
7:37,2550,Khadeen Carrington Turnover.,28,24
7:37,156,Mitch Ballock Steal.,28,24
7:23,156,Mitch Ballock missed Three Point Jumper.,28,24
7:23,2550,Angel Delgado Block.,28,24
7:23,2550,Angel Delgado Defensive Rebound.,28,24
7:08,2550,Myles Powell missed Layup.,28,24
7:08,156,Marcus Foster Defensive Rebound.,28,24
7:08,2550,Foul on Myles Powell.,28,24
7:03,2550,Official TV Timeout,28,24
7:03,156,Ty-Shon Alexander made Free Throw.,29,24
7:03,156,Ty-Shon Alexander made Free Throw.,30,24
6:48,2550,Myles Cale made Layup.,30,26
6:32,156,Marcus Foster made Jumper.,32,26
6:12,2550,Jordan Walker made Jumper.,32,28
5:54,2550,Foul on Desi Rodriguez.,32,28
5:54,156,Toby Hegner made Free Throw.,33,28
5:54,156,Toby Hegner made Free Throw.,34,28
5:42,2550,Angel Delgado missed Jumper.,34,28
5:42,156,Davion Mintz Defensive Rebound.,34,28
5:32,156,Davion Mintz Turnover.,34,28
5:32,2550,Michael Nzei Steal.,34,28
5:25,156,Foul on Davion Mintz.,34,28
5:25,2550,Myles Powell made Free Throw.,34,29
5:25,2550,Myles Powell made Free Throw.,34,30
5:25,2550,Myles Powell made Free Throw.,34,31
5:15,156,Ronnie Harrell Jr. missed Layup.,34,31
5:15,2550,Ismael Sanogo Block.,34,31
5:15,156,Marcus Foster Offensive Rebound.,34,31
5:01,156,Marcus Foster made Layup.,36,31
4:57,156,Foul on Davion Mintz.,36,31
4:57,2550,Myles Powell made Free Throw.,36,32
4:57,2550,Myles Powell missed Free Throw.,36,32
4:57,156,Ronnie Harrell Jr. Defensive Rebound.,36,32
4:46,156,Ty-Shon Alexander made Layup.,38,32
4:35,2550,Khadeen Carrington made Three Point Jumper. Assisted by Ismael Sanogo.,38,35
4:20,156,Marcus Foster made Layup.,40,35
4:04,2550,Khadeen Carrington missed Three Point Jumper.,40,35
4:04,156,Ronnie Harrell Jr. Defensive Rebound.,40,35
3:57,156,Marcus Foster made Layup. Assisted by Ronnie Harrell Jr..,42,35
3:32,2550,Angel Delgado missed Jumper.,42,35
3:32,156,Toby Hegner Defensive Rebound.,42,35
3:21,156,Ronnie Harrell Jr. made Three Point Jumper. Assisted by Ty-Shon Alexander.,45,35
3:12,2550,Seton Hall  Timeout,45,35
3:12,2550,Official TV Timeout,45,35
3:01,156,Foul on Ronnie Harrell Jr..,45,35
3:01,2550,Ismael Sanogo made Free Throw.,45,36
3:01,2550,Ismael Sanogo missed Free Throw.,45,36
3:01,156,Toby Hegner Defensive Rebound.,45,36
2:34,156,Toby Hegner made Jumper.,47,36
2:16,2550,Angel Delgado missed Jumper.,47,36
2:16,156,Toby Hegner Block.,47,36
2:16,2550,Angel Delgado Offensive Rebound.,47,36
2:05,2550,Angel Delgado made Layup.,47,38
1:55,156,Khyri Thomas missed Three Point Jumper.,47,38
1:55,2550,Khadeen Carrington Defensive Rebound.,47,38
1:49,2550,Angel Delgado missed Jumper.,47,38
1:49,2550,Angel Delgado Offensive Rebound.,47,38
1:45,2550,Angel Delgado made Layup.,47,40
1:45,2550,Foul on Ismael Sanogo.,47,40
1:45,156,Khyri Thomas made Free Throw.,48,40
1:45,156,Khyri Thomas made Free Throw.,49,40
1:17,2550,Khadeen Carrington Turnover.,49,40
1:10,156,Ty-Shon Alexander missed Three Point Jumper.,49,40
1:10,2550,Michael Nzei Defensive Rebound.,49,40
0:56,2550,Michael Nzei made Layup. Assisted by Angel Delgado.,49,42
0:43,156,Khyri Thomas missed Jumper.,49,42
0:43,156,Khyri Thomas Offensive Rebound.,49,42
0:38,156,Khyri Thomas made Jumper.,51,42
0:11,2550,Khadeen Carrington missed Three Point Jumper.,51,42
0:11,156,Marcus Foster Defensive Rebound.,51,42
0:01,156,Marcus Foster made Jumper.,53,42
0:00,2550,End of 1st half,53,42
20:00,156,Jump Ball won by Creighton,53,42
19:27,2550,Seton Hall  Turnover.,53,42
19:15,156,Martin Krampelj made Dunk. Assisted by Davion Mintz.,55,42
19:00,2550,Angel Delgado made Layup. Assisted by Michael Nzei.,55,44
19:00,156,Foul on Toby Hegner.,55,44
19:00,2550,Angel Delgado made Free Throw.,55,45
18:45,156,Davion Mintz made Three Point Jumper. Assisted by Khyri Thomas.,58,45
18:27,2550,Michael Nzei Turnover.,58,45
18:14,156,Martin Krampelj missed Three Point Jumper.,58,45
18:14,2550,Khadeen Carrington Defensive Rebound.,58,45
18:02,2550,Foul on Angel Delgado.,58,45
18:02,2550,Angel Delgado Turnover.,58,45
17:45,156,Martin Krampelj Turnover.,58,45
17:45,156,Foul on Martin Krampelj.,58,45
17:28,2550,Myles Powell made Three Point Jumper. Assisted by Angel Delgado.,58,48
17:14,156,Toby Hegner missed Jumper.,58,48
17:14,2550,Michael Nzei Block.,58,48
17:14,2550,Michael Nzei Defensive Rebound.,58,48
17:04,2550,Angel Delgado made Jumper.,58,50
16:53,156,Ronnie Harrell Jr. made Jumper.,60,50
16:33,2550,Angel Delgado missed Jumper.,60,50
16:33,2550,Michael Nzei Offensive Rebound.,60,50
16:27,2550,Myles Powell made Layup. Assisted by Michael Nzei.,60,52
16:17,156,Marcus Foster missed Jumper.,60,52
16:17,2550,Michael Nzei Defensive Rebound.,60,52
16:02,2550,Desi Rodriguez made Jumper.,60,54
15:50,2550,Official TV Timeout,60,54
15:50,156,Davion Mintz made Layup.,62,54
15:50,2550,Foul on Michael Nzei.,62,54
15:50,2550,Official TV Timeout,62,54
15:50,156,Davion Mintz made Free Throw.,63,54
15:40,2550,Khadeen Carrington made Three Point Jumper. Assisted by Desi Rodriguez.,63,57
15:22,156,Toby Hegner Turnover.,63,57
15:10,2550,Desi Rodriguez missed Jumper.,63,57
15:10,156,Ronnie Harrell Jr. Defensive Rebound.,63,57
15:03,156,Marcus Foster missed Layup.,63,57
15:03,2550,Angel Delgado Defensive Rebound.,63,57
14:53,2550,Myles Powell made Three Point Jumper. Assisted by Khadeen Carrington.,63,60
14:43,156,Creighton  Timeout,63,60
14:43,2550,Official TV Timeout,63,60
14:20,156,Ronnie Harrell Jr. missed Three Point Jumper.,63,60
14:20,2550,Ismael Sanogo Defensive Rebound.,63,60
14:12,2550,Foul on Angel Delgado.,63,60
14:12,2550,Angel Delgado Turnover.,63,60
13:51,156,Toby Hegner missed Jumper.,63,60
13:51,2550,Angel Delgado Defensive Rebound.,63,60
13:35,2550,Desi Rodriguez made Layup. Assisted by Myles Powell.,63,62
13:13,156,Khyri Thomas missed Jumper.,63,62
13:13,156,Ronnie Harrell Jr. Offensive Rebound.,63,62
13:06,156,Toby Hegner made Jumper. Assisted by Ronnie Harrell Jr..,65,62
12:48,156,Foul on Toby Hegner.,65,62
12:48,2550,Angel Delgado missed Free Throw.,65,62
12:48,2550,Seton Hall Deadball Team Rebound.,65,62
12:48,2550,Angel Delgado made Free Throw.,65,63
12:36,156,Martin Krampelj made Dunk. Assisted by Khyri Thomas.,67,63
12:17,2550,Desi Rodriguez missed Jumper.,67,63
12:17,156,Ronnie Harrell Jr. Defensive Rebound.,67,63
12:09,156,Martin Krampelj made Dunk. Assisted by Khyri Thomas.,69,63
11:55,2550,Sandro Mamukelashvili missed Three Point Jumper.,69,63
11:55,156,Martin Krampelj Defensive Rebound.,69,63
11:44,156,Marcus Foster missed Three Point Jumper.,69,63
11:44,2550,Ismael Sanogo Defensive Rebound.,69,63
11:34,2550,Ismael Sanogo Turnover.,69,63
11:34,156,Khyri Thomas Steal.,69,63
11:27,156,Khyri Thomas made Layup.,71,63
11:09,2550,Desi Rodriguez made Layup.,71,65
10:56,156,Martin Krampelj made Layup. Assisted by Marcus Foster.,73,65
10:36,2550,Desi Rodriguez made Jumper.,73,67
10:33,2550,Seton Hall  Timeout,73,67
10:33,2550,Official TV Timeout,73,67
10:22,2550,Foul on Myles Powell.,73,67
10:07,156,Marcus Foster Turnover.,73,67
10:07,2550,Michael Nzei Steal.,73,67
10:07,2550,Michael Nzei Turnover.,73,67
9:56,156,Ty-Shon Alexander missed Jumper.,73,67
9:56,2550,Desi Rodriguez Defensive Rebound.,73,67
9:53,156,Foul on Ronnie Harrell Jr..,73,67
9:43,2550,Khadeen Carrington made Layup.,73,69
9:36,156,Ty-Shon Alexander made Three Point Jumper. Assisted by Mitch Ballock.,76,69
9:21,2550,Desi Rodriguez missed Three Point Jumper.,76,69
9:21,156,Mitch Ballock Defensive Rebound.,76,69
9:04,156,Khyri Thomas missed Jumper.,76,69
9:04,2550,Khadeen Carrington Defensive Rebound.,76,69
8:55,2550,Khadeen Carrington made Layup.,76,71
8:41,156,Khyri Thomas missed Three Point Jumper.,76,71
8:41,2550,Angel Delgado Defensive Rebound.,76,71
8:13,2550,Desi Rodriguez Turnover.,76,71
8:13,2550,Foul on Desi Rodriguez.,76,71
7:56,156,Khyri Thomas missed Layup.,76,71
7:56,156,Martin Krampelj Offensive Rebound.,76,71
7:50,156,Martin Krampelj missed Layup.,76,71
7:50,2550,Michael Nzei Defensive Rebound.,76,71
7:46,156,Foul on Mitch Ballock.,76,71
7:46,2550,Official TV Timeout,76,71
7:46,2550,Khadeen Carrington made Free Throw.,76,72
7:46,2550,Khadeen Carrington made Free Throw.,76,73
7:36,156,Marcus Foster missed Jumper.,76,73
7:36,2550,Michael Nzei Defensive Rebound.,76,73
7:19,156,Foul on Toby Hegner.,76,73
7:19,2550,Desi Rodriguez made Free Throw.,76,74
7:19,2550,Desi Rodriguez made Free Throw.,76,75
6:58,156,Marcus Foster Turnover.,76,75
6:58,2550,Desi Rodriguez Steal.,76,75
6:52,2550,Desi Rodriguez made Jumper.,76,77
6:39,156,Ty-Shon Alexander made Jumper.,78,77
6:19,2550,Myles Powell missed Jumper.,78,77
6:19,2550,Angel Delgado Offensive Rebound.,78,77
6:08,2550,Angel Delgado missed Layup.,78,77
6:08,2550,Angel Delgado Offensive Rebound.,78,77
6:00,2550,Angel Delgado made Layup.,78,79
5:56,156,Khyri Thomas Turnover.,78,79
5:56,2550,Desi Rodriguez Steal.,78,79
5:49,2550,Desi Rodriguez missed Three Point Jumper.,78,79
5:49,2550,Angel Delgado Offensive Rebound.,78,79
5:43,2550,Angel Delgado made Layup.,78,81
5:41,156,Creighton  Timeout,78,81
5:31,156,Foul on Ty-Shon Alexander.,78,81
5:31,156,Ty-Shon Alexander Turnover.,78,81
5:16,156,Foul on Toby Hegner.,78,81
5:16,2550,Angel Delgado made Free Throw.,78,82
5:16,2550,Angel Delgado made Free Throw.,78,83
5:02,2550,Foul on Myles Powell.,78,83
4:57,156,Ronnie Harrell Jr. missed Jumper.,78,83
4:57,156,Martin Krampelj Offensive Rebound.,78,83
4:53,156,Martin Krampelj made Layup.,80,83
4:53,2550,Foul on Angel Delgado.,80,83
4:53,156,Martin Krampelj missed Free Throw.,80,83
4:53,2550,Michael Nzei Defensive Rebound.,80,83
4:30,156,Foul on Marcus Foster.,80,83
4:30,2550,Angel Delgado missed Free Throw.,80,83
4:30,156,Ronnie Harrell Jr. Defensive Rebound.,80,83
4:12,156,Martin Krampelj made Layup.,82,83
4:12,2550,Foul on Desi Rodriguez.,82,83
4:12,156,Martin Krampelj missed Free Throw.,82,83
4:12,2550,Angel Delgado Defensive Rebound.,82,83
3:45,2550,Desi Rodriguez missed Three Point Jumper.,82,83
3:45,156,Marcus Foster Defensive Rebound.,82,83
3:37,156,Marcus Foster made Jumper.,84,83
3:18,2550,Myles Powell missed Three Point Jumper.,84,83
3:18,2550,Michael Nzei Offensive Rebound.,84,83
3:11,2550,Khadeen Carrington missed Three Point Jumper.,84,83
3:11,156,Davion Mintz Defensive Rebound.,84,83
3:09,2550,Foul on Angel Delgado.,84,83
3:09,2550,Official TV Timeout,84,83
3:09,156,Davion Mintz missed Free Throw.,84,83
3:09,2550,Michael Nzei Defensive Rebound.,84,83
2:45,2550,Khadeen Carrington missed Jumper.,84,83
2:45,156,Khyri Thomas Defensive Rebound.,84,83
2:21,156,Martin Krampelj Turnover.,84,83
2:07,2550,Khadeen Carrington made Jumper.,84,85
1:51,156,Khyri Thomas missed Jumper.,84,85
1:51,156,Martin Krampelj Offensive Rebound.,84,85
1:51,156,Martin Krampelj missed Two Point Tip Shot.,84,85
1:51,2550,Desi Rodriguez Defensive Rebound.,84,85
1:32,2550,Desi Rodriguez missed Jumper.,84,85
1:32,2550,Michael Nzei Offensive Rebound.,84,85
1:31,156,Foul on Khyri Thomas.,84,85
1:31,2550,Michael Nzei made Free Throw.,84,86
1:31,2550,Michael Nzei missed Free Throw.,84,86
1:31,156,Khyri Thomas Defensive Rebound.,84,86
1:16,156,Khyri Thomas missed Three Point Jumper.,84,86
1:16,2550,Khadeen Carrington Defensive Rebound.,84,86
0:43,2550,Khadeen Carrington missed Jumper.,84,86
0:43,156,Ronnie Harrell Jr. Defensive Rebound.,84,86
0:32,156,Ronnie Harrell Jr. Turnover.,84,86
0:32,2550,Desi Rodriguez Steal.,84,86
0:20,156,Foul on Davion Mintz.,84,86
0:20,2550,Khadeen Carrington made Free Throw.,84,87
0:20,2550,Khadeen Carrington made Free Throw.,84,88
0:13,156,Marcus Foster Turnover.,84,88
0:13,2550,Desi Rodriguez Steal.,84,88
0:12,156,Foul on Khyri Thomas.,84,88
0:12,2550,Desi Rodriguez made Free Throw.,84,89
0:12,2550,Desi Rodriguez made Free Throw.,84,90
0:10,156,Marcus Foster missed Three Point Jumper.,84,90
0:10,2550,Michael Nzei Defensive Rebound.,84,90
0:08,156,Foul on Martin Krampelj.,84,90
0:08,2550,Michael Nzei missed Free Throw.,84,90
0:08,2550,Seton Hall Deadball Team Rebound.,84,90
0:08,2550,Michael Nzei missed Free Throw.,84,90
0:08,156,Martin Krampelj Defensive Rebound.,84,90
0:05,156,Creighton  Timeout,84,90
0:04,156,Martin Krampelj missed Three Point Jumper.,84,90
0:04,156,Khyri Thomas Offensive Rebound.,84,90
0:00,2550,End of Game,84,90
