Providence,2599,St. John's,2507
10:26,2599,Shamorie Ponds Defensive Rebound.,17,17
10:20,2507,Foul on Kalif Young.,17,17
10:20,2599,Marvin Clark II made Free Throw.,17,18
10:20,2599,Marvin Clark II made Free Throw.,17,19
9:59,2507,Kalif Young made Jumper.,19,19
9:32,2599,Foul on Bashir Ahmed.,19,19
9:32,2599,Bashir Ahmed Turnover.,19,19
9:14,2507,Alpha Diallo Turnover.,19,19
8:56,2599,Bryan Trimble Jr. made Three Point Jumper. Assisted by Shamorie Ponds.,19,22
8:32,2507,Kalif Young made Jumper.,21,22
8:14,2599,Justin Simon made Dunk.,21,24
7:52,2507,Drew Edwards missed Three Point Jumper.,21,24
7:52,2599,Bashir Ahmed Defensive Rebound.,21,24
7:44,2599,Shamorie Ponds Turnover.,21,24
7:43,2507,Kyron Cartwright Steal.,21,24
7:40,2507,Alpha Diallo made Dunk. Assisted by Kyron Cartwright.,23,24
7:28,2599,Kassoum Yakwe Turnover.,23,24
7:28,2599,Official TV Timeout,23,24
7:03,2507,Kalif Young missed Jumper.,23,24
7:03,2599,Kassoum Yakwe Block.,23,24
7:02,2507,Providence Offensive Rebound.,23,24
7:00,2507,Isaiah Jackson missed Jumper.,23,24
7:00,2599,Shamorie Ponds Defensive Rebound.,23,24
6:46,2599,Bryan Trimble Jr. missed Three Point Jumper.,23,24
6:46,2599,Kassoum Yakwe Offensive Rebound.,23,24
6:39,2599,Shamorie Ponds missed Three Point Jumper.,23,24
6:39,2599,Bryan Trimble Jr. Offensive Rebound.,23,24
6:15,2599,Justin Simon missed Three Point Jumper.,23,24
6:15,2507,Isaiah Jackson Defensive Rebound.,23,24
6:02,2507,Isaiah Jackson missed Three Point Jumper.,23,24
6:02,2599,Justin Simon Defensive Rebound.,23,24
5:55,2599,Shamorie Ponds missed Three Point Jumper.,23,24
5:55,2599,Marvin Clark II Offensive Rebound.,23,24
5:51,2599,Bryan Trimble Jr. missed Three Point Jumper.,23,24
5:51,2507,Kyron Cartwright Defensive Rebound.,23,24
5:45,2507,Isaiah Jackson made Layup. Assisted by Kyron Cartwright.,25,24
5:45,2599,Foul on Shamorie Ponds.,25,24
5:45,2507,Isaiah Jackson made Free Throw.,26,24
5:30,2599,Marvin Clark II made Three Point Jumper. Assisted by Shamorie Ponds.,26,27
5:06,2507,Nate Watson missed Jumper.,26,27
5:06,2599,Kassoum Yakwe Defensive Rebound.,26,27
4:44,2599,Bashir Ahmed made Three Point Jumper. Assisted by Shamorie Ponds.,26,30
4:27,2507,Makai Ashton-Langford missed Layup.,26,30
4:27,2599,Kassoum Yakwe Defensive Rebound.,26,30
4:14,2599,Shamorie Ponds made Layup.,26,32
4:12,2507,Providence  Timeout,26,32
4:12,2599,Official TV Timeout,26,32
3:58,2507,Alpha Diallo made Three Point Jumper. Assisted by Makai Ashton-Langford.,29,32
3:41,2599,Bashir Ahmed Turnover.,29,32
3:40,2507,Kyron Cartwright Steal.,29,32
3:34,2507,Makai Ashton-Langford Turnover.,29,32
3:34,2599,Shamorie Ponds Steal.,29,32
3:31,2599,Shamorie Ponds made Layup.,29,34
3:23,2507,Jalen Lindsey made Three Point Jumper. Assisted by Kyron Cartwright.,32,34
2:56,2599,Bashir Ahmed missed Three Point Jumper.,32,34
2:56,2507,Makai Ashton-Langford Defensive Rebound.,32,34
2:49,2507,Jalen Lindsey made Three Point Jumper. Assisted by Kyron Cartwright.,35,34
2:27,2599,Shamorie Ponds made Three Point Jumper.,35,37
2:07,2507,Nate Watson made Layup. Assisted by Kyron Cartwright.,37,37
1:49,2599,Bashir Ahmed made Three Point Jumper. Assisted by Shamorie Ponds.,37,40
1:29,2507,Kyron Cartwright made Jumper.,39,40
1:29,2599,Foul on Bryan Trimble Jr..,39,40
1:29,2507,Kyron Cartwright missed Free Throw.,39,40
1:29,2599,Kassoum Yakwe Defensive Rebound.,39,40
1:06,2599,Marvin Clark II Turnover.,39,40
1:05,2507,Kyron Cartwright Steal.,39,40
0:50,2507,Kyron Cartwright made Jumper.,41,40
0:32,2599,Kassoum Yakwe Turnover.,41,40
0:32,2599,Foul on Kassoum Yakwe.,41,40
0:04,2507,Kyron Cartwright Turnover.,41,40
0:04,2599,St. John's  Timeout,41,40
0:00,2599,End of 1st half,41,40
19:46,2507,Alpha Diallo made Layup. Assisted by Kyron Cartwright.,43,40
19:16,2599,Justin Simon made Jumper. Assisted by Shamorie Ponds.,43,42
18:58,2507,Rodney Bullock missed Three Point Jumper.,43,42
18:58,2507,Nate Watson Offensive Rebound.,43,42
18:55,2507,Nate Watson missed Jumper.,43,42
18:55,2507,Alpha Diallo Offensive Rebound.,43,42
18:53,2507,Alpha Diallo missed Jumper.,43,42
18:53,2599,Tariq Owens Block.,43,42
18:52,2599,Justin Simon Defensive Rebound.,43,42
18:47,2599,Shamorie Ponds missed Three Point Jumper.,43,42
18:47,2599,Tariq Owens Offensive Rebound.,43,42
18:40,2507,Foul on Nate Watson.,43,42
18:40,2599,Bashir Ahmed missed Free Throw.,43,42
18:40,2599,St. John's Deadball Team Rebound.,43,42
18:40,2599,Bashir Ahmed missed Free Throw.,43,42
18:40,2599,Marvin Clark II Offensive Rebound.,43,42
18:26,2599,Tariq Owens made Layup. Assisted by Marvin Clark II.,43,44
17:58,2507,Rodney Bullock made Jumper.,45,44
17:34,2599,Marvin Clark II missed Three Point Jumper.,45,44
17:34,2507,Alpha Diallo Defensive Rebound.,45,44
17:12,2507,Alpha Diallo made Three Point Jumper. Assisted by Rodney Bullock.,48,44
16:46,2599,Marvin Clark II made Jumper.,48,46
16:46,2507,Foul on Jalen Lindsey.,48,46
16:46,2599,Marvin Clark II made Free Throw.,48,47
16:29,2507,Alpha Diallo missed Layup.,48,47
16:29,2599,Tariq Owens Block.,48,47
16:26,2507,Nate Watson Offensive Rebound.,48,47
16:23,2507,Nate Watson made Jumper.,50,47
16:16,2599,Marvin Clark II missed Jumper.,50,47
16:16,2507,Nate Watson Block.,50,47
16:13,2599,Marvin Clark II Offensive Rebound.,50,47
16:07,2507,Foul on Alpha Diallo.,50,47
16:00,2599,Shamorie Ponds made Layup.,50,49
15:41,2507,Rodney Bullock made Layup. Assisted by Alpha Diallo.,52,49
15:21,2599,Marvin Clark II made Jumper.,52,51
14:58,2507,Kyron Cartwright made Three Point Jumper. Assisted by Jalen Lindsey.,55,51
14:33,2599,Shamorie Ponds missed Three Point Jumper.,55,51
14:33,2507,Rodney Bullock Defensive Rebound.,55,51
14:25,2507,Kyron Cartwright made Three Point Jumper.,58,51
14:22,2599,St. John's  Timeout,58,51
14:22,2599,Official TV Timeout,58,51
14:11,2599,Tariq Owens made Dunk. Assisted by Justin Simon.,58,53
13:56,2599,Foul on Marvin Clark II.,58,53
13:56,2599,Official TV Timeout,58,53
13:56,2507,Nate Watson missed Free Throw.,58,53
13:56,2507,Providence Deadball Team Rebound.,58,53
13:56,2507,Nate Watson made Free Throw.,59,53
13:46,2599,Shamorie Ponds missed Jumper.,59,53
13:46,2507,Kyron Cartwright Defensive Rebound.,59,53
13:36,2507,Alpha Diallo missed Layup.,59,53
13:36,2599,Marvin Clark II Defensive Rebound.,59,53
13:23,2599,Tariq Owens missed Jumper.,59,53
13:23,2507,Alpha Diallo Defensive Rebound.,59,53
12:59,2507,Kyron Cartwright made Three Point Jumper. Assisted by Kalif Young.,62,53
12:45,2599,Tariq Owens made Layup. Assisted by Justin Simon.,62,55
12:39,2507,Kalif Young Turnover.,62,55
12:28,2599,Shamorie Ponds missed Layup.,62,55
12:28,2507,Alpha Diallo Defensive Rebound.,62,55
12:21,2507,Jalen Lindsey made Three Point Jumper. Assisted by Rodney Bullock.,65,55
12:11,2599,Bashir Ahmed made Layup.,65,57
11:52,2507,Jalen Lindsey missed Three Point Jumper.,65,57
11:52,2599,Tariq Owens Defensive Rebound.,65,57
11:43,2599,Shamorie Ponds missed Three Point Jumper.,65,57
11:43,2507,Rodney Bullock Defensive Rebound.,65,57
11:23,2507,Alpha Diallo made Three Point Jumper. Assisted by Kyron Cartwright.,68,57
11:20,2599,Official TV Timeout,68,57
11:20,2599,St. John's  Timeout,68,57
11:06,2599,Tariq Owens missed Jumper.,68,57
11:06,2507,Alpha Diallo Defensive Rebound.,68,57
10:57,2507,Kyron Cartwright made Jumper.,70,57
10:48,2599,Bashir Ahmed missed Jumper.,70,57
10:48,2507,Kalif Young Defensive Rebound.,70,57
10:38,2507,Drew Edwards missed Three Point Jumper.,70,57
10:38,2599,Marvin Clark II Defensive Rebound.,70,57
10:33,2507,Foul on Drew Edwards.,70,57
10:25,2507,Foul on Drew Edwards.,70,57
10:11,2599,Justin Simon Turnover.,70,57
10:10,2507,Alpha Diallo Steal.,70,57
9:49,2507,Rodney Bullock made Three Point Jumper. Assisted by Kyron Cartwright.,73,57
9:27,2599,Marvin Clark II missed Three Point Jumper.,73,57
9:27,2507,Kalif Young Defensive Rebound.,73,57
9:10,2507,Rodney Bullock made Layup. Assisted by Kyron Cartwright.,75,57
9:10,2599,Foul on Tariq Owens.,75,57
9:10,2507,Rodney Bullock missed Free Throw.,75,57
9:10,2599,Kassoum Yakwe Defensive Rebound.,75,57
8:58,2599,Justin Simon missed Layup.,75,57
8:58,2599,Justin Simon Offensive Rebound.,75,57
8:58,2507,Foul on Drew Edwards.,75,57
8:51,2599,Amar Alibegovic missed Three Point Jumper.,75,57
8:51,2507,Rodney Bullock Defensive Rebound.,75,57
8:40,2507,Alpha Diallo missed Three Point Jumper.,75,57
8:40,2507,Drew Edwards Offensive Rebound.,75,57
8:25,2507,Rodney Bullock Turnover.,75,57
8:06,2599,Justin Simon missed Jumper.,75,57
8:06,2507,Drew Edwards Defensive Rebound.,75,57
7:54,2599,Foul on Kassoum Yakwe.,75,57
7:54,2599,Official TV Timeout,75,57
7:54,2507,Kalif Young missed Free Throw.,75,57
7:54,2507,Providence Deadball Team Rebound.,75,57
7:54,2507,Kalif Young made Free Throw.,76,57
7:35,2507,Foul on Alpha Diallo.,76,57
7:35,2599,Amar Alibegovic made Free Throw.,76,58
7:35,2599,Amar Alibegovic made Free Throw.,76,59
7:17,2507,Rodney Bullock Turnover.,76,59
7:16,2599,Justin Simon Steal.,76,59
7:13,2599,Amar Alibegovic made Layup. Assisted by Justin Simon.,76,61
6:51,2507,Alpha Diallo missed Jumper.,76,61
6:51,2507,Kalif Young Offensive Rebound.,76,61
6:24,2599,Foul on Amar Alibegovic.,76,61
6:24,2507,Rodney Bullock made Free Throw.,77,61
6:24,2507,Rodney Bullock made Free Throw.,78,61
6:12,2599,Amar Alibegovic missed Three Point Jumper.,78,61
6:12,2507,Kyron Cartwright Defensive Rebound.,78,61
5:49,2507,Jalen Lindsey Turnover.,78,61
5:37,2599,Bryan Trimble Jr. missed Three Point Jumper.,78,61
5:37,2599,Marvin Clark II Offensive Rebound.,78,61
5:33,2507,Foul on Kyron Cartwright.,78,61
5:33,2599,Marvin Clark II made Free Throw.,78,62
5:33,2599,Marvin Clark II made Free Throw.,78,63
5:16,2507,Jalen Lindsey missed Three Point Jumper.,78,63
5:16,2599,Amar Alibegovic Defensive Rebound.,78,63
5:02,2599,Marvin Clark II made Dunk.,78,65
4:31,2507,Kalif Young made Layup. Assisted by Kyron Cartwright.,80,65
4:20,2599,Tariq Owens made Dunk. Assisted by Justin Simon.,80,67
3:59,2507,Rodney Bullock made Three Point Jumper. Assisted by Kyron Cartwright.,83,67
3:32,2599,Justin Simon made Jumper.,83,69
3:21,2507,Jalen Lindsey made Three Point Jumper. Assisted by Rodney Bullock.,86,69
3:03,2599,Marvin Clark II made Layup.,86,71
3:03,2507,Foul on Jalen Lindsey.,86,71
3:03,2599,Official TV Timeout,86,71
3:03,2599,Marvin Clark II made Free Throw.,86,72
2:41,2507,Kyron Cartwright made Three Point Jumper.,89,72
2:21,2599,Marvin Clark II Turnover.,89,72
2:20,2507,Kyron Cartwright Steal.,89,72
2:18,2507,Rodney Bullock made Layup. Assisted by Kyron Cartwright.,91,72
2:03,2599,Justin Simon Turnover.,91,72
2:02,2507,Kalif Young Steal.,91,72
2:02,2599,Foul on Justin Simon.,91,72
1:37,2507,Kyron Cartwright made Three Point Jumper.,94,72
1:21,2599,Bashir Ahmed missed Three Point Jumper.,94,72
1:21,2507,Alpha Diallo Defensive Rebound.,94,72
1:05,2507,Kyron Cartwright Turnover.,94,72
1:04,2599,Justin Simon Steal.,94,72
1:01,2599,Justin Simon missed Jumper.,94,72
1:01,2507,Providence Defensive Rebound.,94,72
0:59,2599,Foul on Amar Alibegovic.,94,72
0:38,2507,Kalif Young missed Jumper.,94,72
0:38,2599,Amar Alibegovic Block.,94,72
0:37,2507,Kalif Young Offensive Rebound.,94,72
0:35,2507,Kalif Young missed Jumper.,94,72
0:35,2507,Kalif Young Offensive Rebound.,94,72
0:35,2599,Foul on Justin Simon.,94,72
0:35,2507,Kalif Young missed Free Throw.,94,72
0:35,2507,Providence Deadball Team Rebound.,94,72
0:35,2507,Kalif Young missed Free Throw.,94,72
0:35,2599,Tariq Owens Defensive Rebound.,94,72
0:27,2599,Amar Alibegovic missed Three Point Jumper.,94,72
0:27,2507,Kalif Young Defensive Rebound.,94,72
0:00,2599,End of Game,94,72
