Southern Miss,276,Marshall,2572
11:53,276,Ajdin Penava made Three Point Jumper. Assisted by Rondale Watson.,11,16
11:38,276,Foul on Milan Mijovic.,11,16
11:38,276,Official TV Timeout,11,16
11:37,2572,Anfernee Hampton Turnover.,11,16
11:20,276,Jannson Williams Turnover.,11,16
11:19,2572,Cortez Edwards Steal.,11,16
11:15,2572,Cortez Edwards missed Layup.,11,16
11:15,2572,Anfernee Hampton Offensive Rebound.,11,16
11:10,2572,Anfernee Hampton missed Layup.,11,16
11:10,276,Jarrod West Defensive Rebound.,11,16
11:06,276,Jarrod West Turnover.,11,16
10:53,2572,Eddie Davis III made Layup. Assisted by Tyree Griffin.,13,16
10:42,276,Jarrod West made Three Point Jumper. Assisted by Jon Elmore.,13,19
10:20,2572,Tyree Griffin missed Jumper.,13,19
10:20,276,Jannson Williams Defensive Rebound.,13,19
10:07,276,Jon Elmore Turnover.,13,19
10:06,2572,Eddie Davis III Steal.,13,19
10:01,2572,Anfernee Hampton made Layup. Assisted by Tyree Griffin.,15,19
9:51,276,Rondale Watson missed Three Point Jumper.,15,19
9:51,2572,Kevin Holland Defensive Rebound.,15,19
9:41,2572,Anfernee Hampton missed Three Point Jumper.,15,19
9:41,276,Ajdin Penava Defensive Rebound.,15,19
9:31,276,Jannson Williams missed Three Point Jumper.,15,19
9:31,2572,Eddie Davis III Defensive Rebound.,15,19
9:23,2572,Anfernee Hampton missed Layup.,15,19
9:23,276,Jannson Williams Block.,15,19
9:21,276,Jarrod West Defensive Rebound.,15,19
9:15,276,Rondale Watson missed Three Point Jumper.,15,19
9:15,276,Ajdin Penava Offensive Rebound.,15,19
9:04,276,Rondale Watson missed Jumper.,15,19
9:04,276,Ajdin Penava Offensive Rebound.,15,19
9:01,276,Ajdin Penava made Layup.,15,21
8:30,276,Foul on Rondale Watson.,15,21
8:30,2572,Eddie Davis III made Free Throw.,16,21
8:30,2572,Eddie Davis III missed Free Throw.,16,21
8:30,276,Jannson Williams Defensive Rebound.,16,21
8:11,276,Milan Mijovic missed Jumper.,16,21
8:11,2572,D'Angelo Richardson Defensive Rebound.,16,21
7:55,2572,Kevin Holland missed Jumper.,16,21
7:55,276,Jannson Williams Defensive Rebound.,16,21
7:44,276,Jarrod West made Three Point Jumper. Assisted by Jon Elmore.,16,24
7:23,2572,Tyree Griffin missed Jumper.,16,24
7:23,276,Milan Mijovic Block.,16,24
7:20,2572,Eddie Davis III Offensive Rebound.,16,24
7:13,2572,D'Angelo Richardson made Layup.,18,24
7:04,2572,Foul on Kevin Holland.,18,24
7:04,276,Official TV Timeout,18,24
6:59,276,Jon Elmore missed Layup.,18,24
6:59,2572,Cortez Edwards Defensive Rebound.,18,24
6:52,2572,Tyree Griffin Turnover.,18,24
6:51,276,Jannson Williams Steal.,18,24
6:32,276,Jarrod West made Three Point Jumper. Assisted by Jon Elmore.,18,27
6:17,2572,D'Angelo Richardson Turnover.,18,27
6:16,276,Jon Elmore Steal.,18,27
6:13,276,Jon Elmore missed Three Point Jumper.,18,27
6:13,2572,Kevin Holland Defensive Rebound.,18,27
6:05,2572,Cortez Edwards made Layup. Assisted by Kevin Holland.,20,27
5:41,276,Jannson Williams missed Three Point Jumper.,20,27
5:41,276,Jon Elmore Offensive Rebound.,20,27
5:36,276,Jannson Williams missed Three Point Jumper.,20,27
5:36,276,Dani Koljanin Offensive Rebound.,20,27
5:32,276,Dani Koljanin made Dunk.,20,29
5:20,2572,Tyree Griffin Turnover.,20,29
5:19,276,Jarrod West Steal.,20,29
5:14,276,Milan Mijovic Turnover.,20,29
5:13,2572,Kevin Holland Steal.,20,29
5:10,2572,Eddie Davis III missed Layup.,20,29
5:10,2572,Eddie Davis III Offensive Rebound.,20,29
5:07,2572,Eddie Davis III made Layup.,22,29
4:38,276,Jarrod West missed Layup.,22,29
4:38,2572,Southern Miss Defensive Rebound.,22,29
4:24,2572,Kevin Holland missed Three Point Jumper.,22,29
4:24,276,Ajdin Penava Defensive Rebound.,22,29
4:11,276,Jon Elmore Turnover.,22,29
4:10,2572,Anfernee Hampton Steal.,22,29
4:03,2572,Eddie Davis III made Three Point Jumper. Assisted by D'Angelo Richardson.,25,29
3:49,276,Rondale Watson missed Three Point Jumper.,25,29
3:49,276,Ajdin Penava Offensive Rebound.,25,29
3:46,276,Ajdin Penava made Layup.,25,31
3:42,276,Official TV Timeout,25,31
3:25,2572,D'Angelo Richardson missed Layup.,25,31
3:25,276,Ajdin Penava Block.,25,31
3:24,276,Ajdin Penava Defensive Rebound.,25,31
3:11,276,Dani Koljanin missed Three Point Jumper.,25,31
3:11,2572,Cortez Edwards Defensive Rebound.,25,31
3:02,2572,Cortez Edwards Turnover.,25,31
2:35,276,Jannson Williams made Dunk. Assisted by Dani Koljanin.,25,33
2:12,2572,D'Angelo Richardson missed Three Point Jumper.,25,33
2:12,276,Dani Koljanin Defensive Rebound.,25,33
1:59,2572,Foul on Cortez Edwards.,25,33
1:50,276,Ajdin Penava missed Three Point Jumper.,25,33
1:50,2572,Anfernee Hampton Defensive Rebound.,25,33
1:26,2572,Tyree Griffin missed Jumper.,25,33
1:26,276,Jannson Williams Defensive Rebound.,25,33
1:16,276,Jannson Williams Turnover.,25,33
1:07,2572,Cortez Edwards Turnover.,25,33
1:01,276,Jarrod West Turnover.,25,33
1:00,2572,Cortez Edwards Steal.,25,33
0:56,2572,Tim Rowe missed Layup.,25,33
0:56,276,Jannson Williams Block.,25,33
0:54,276,Jon Elmore Defensive Rebound.,25,33
0:47,276,Jon Elmore missed Layup.,25,33
0:47,2572,Tim Rowe Block.,25,33
0:47,276,Marshall Offensive Rebound.,25,33
0:46,2572,Foul on Tim Rowe.,25,33
0:39,276,Ajdin Penava made Layup. Assisted by Jarrod West.,25,35
0:29,2572,Southern Miss  Timeout,25,35
0:05,2572,Cortez Edwards Turnover.,25,35
0:04,276,Jarrod West Steal.,25,35
0:01,276,Jarrod West missed Layup.,25,35
0:01,2572,Anfernee Hampton Defensive Rebound.,25,35
0:00,276,End of 1st half,25,35
19:51,2572,Cortez Edwards missed Three Point Jumper.,25,35
19:51,276,Milan Mijovic Defensive Rebound.,25,35
19:28,2572,Foul on D'Angelo Richardson.,25,35
19:28,276,Milan Mijovic made Free Throw.,25,36
19:28,276,Milan Mijovic made Free Throw.,25,37
19:15,2572,Eddie Davis III missed Layup.,25,37
19:15,276,Ajdin Penava Block.,25,37
19:13,276,Ajdin Penava Defensive Rebound.,25,37
18:57,276,Jon Elmore missed Three Point Jumper.,25,37
18:57,2572,Southern Miss Defensive Rebound.,25,37
18:39,2572,Kevin Holland made Jumper.,27,37
18:31,276,Rondale Watson made Layup. Assisted by Jon Elmore.,27,39
18:12,2572,Cortez Edwards Turnover.,27,39
18:10,276,Ajdin Penava Steal.,27,39
18:04,2572,Foul on D'Angelo Richardson.,27,39
18:04,276,Jon Elmore missed Free Throw.,27,39
18:04,276,Marshall Deadball Team Rebound.,27,39
18:04,276,Jon Elmore made Free Throw.,27,40
17:50,2572,Tim Rowe missed Jumper.,27,40
17:50,276,Jon Elmore Defensive Rebound.,27,40
17:41,2572,Foul on Tim Rowe.,27,40
17:25,276,Jarrod West missed Three Point Jumper.,27,40
17:25,2572,Tyree Griffin Defensive Rebound.,27,40
17:07,276,Foul on Ajdin Penava.,27,40
17:07,2572,Tyree Griffin missed Free Throw.,27,40
17:07,2572,Southern Miss Deadball Team Rebound.,27,40
17:07,2572,Tyree Griffin made Free Throw.,28,40
16:49,276,Ajdin Penava made Dunk. Assisted by Milan Mijovic.,28,42
16:37,2572,Southern Miss  Timeout,28,42
16:37,276,Official TV Timeout,28,42
16:20,2572,Tyree Griffin missed Jumper.,28,42
16:20,276,Marshall Defensive Rebound.,28,42
16:05,276,Ajdin Penava Turnover.,28,42
16:04,2572,Tyree Griffin Steal.,28,42
16:00,2572,Cortez Edwards made Layup. Assisted by Tyree Griffin.,30,42
15:40,276,Milan Mijovic missed Layup.,30,42
15:40,276,Jon Elmore Offensive Rebound.,30,42
15:37,276,Jon Elmore made Layup.,30,44
15:21,276,Foul on Milan Mijovic.,30,44
15:21,276,Official TV Timeout,30,44
15:21,2572,Cortez Edwards missed Free Throw.,30,44
15:21,2572,Southern Miss Deadball Team Rebound.,30,44
15:21,2572,Cortez Edwards missed Free Throw.,30,44
15:21,276,Ajdin Penava Defensive Rebound.,30,44
14:58,276,Jon Elmore made Layup.,30,46
14:37,2572,D'Angelo Richardson missed Three Point Jumper.,30,46
14:37,276,Rondale Watson Defensive Rebound.,30,46
14:31,2572,Foul on Cortez Edwards.,30,46
14:14,276,Ajdin Penava missed Layup.,30,46
14:14,2572,Dominic Magee Block.,30,46
14:12,2572,Cortez Edwards Defensive Rebound.,30,46
14:09,2572,Cortez Edwards made Layup.,32,46
14:04,2572,Foul on Tim Rowe.,32,46
13:56,276,Rondale Watson Turnover.,32,46
13:37,2572,Foul on Tim Rowe.,32,46
13:37,2572,Tim Rowe Turnover.,32,46
13:18,276,Jarrod West missed Jumper.,32,46
13:18,276,Ajdin Penava Offensive Rebound.,32,46
13:13,2572,Foul on Dominic Magee.,32,46
13:13,276,Jannson Williams made Free Throw.,32,47
13:13,276,Jannson Williams made Free Throw.,32,48
13:01,2572,Kevin Holland Turnover.,32,48
13:00,276,Rondale Watson Steal.,32,48
12:58,276,Rondale Watson made Dunk.,32,50
12:50,2572,Southern Miss  Timeout,32,50
12:42,2572,Cortez Edwards made Layup. Assisted by Eddie Davis III.,34,50
12:18,276,Jannson Williams made Three Point Jumper. Assisted by Jon Elmore.,34,53
12:03,2572,Tyree Griffin made Jumper.,36,53
11:49,276,Jarrod West Turnover.,36,53
11:48,2572,Cortez Edwards Steal.,36,53
11:46,2572,Cortez Edwards made Dunk.,38,53
11:31,276,Rondale Watson made Three Point Jumper. Assisted by Jarrod West.,38,56
11:19,2572,Tyree Griffin made Layup.,40,56
11:08,2572,Foul on Eddie Davis III.,40,56
11:08,276,Official TV Timeout,40,56
11:08,276,Jon Elmore made Free Throw.,40,57
11:08,276,Jon Elmore missed Free Throw.,40,57
11:08,276,Marshall Offensive Rebound.,40,57
11:03,276,Rondale Watson missed Jumper.,40,57
11:03,2572,Tyree Griffin Defensive Rebound.,40,57
10:52,2572,Cortez Edwards made Jumper. Assisted by Tyree Griffin.,42,57
10:35,276,Ajdin Penava made Dunk. Assisted by Jon Elmore.,42,59
10:23,2572,Tyree Griffin Turnover.,42,59
10:03,276,Rondale Watson made Layup. Assisted by Jon Elmore.,42,61
9:49,2572,Cortez Edwards made Layup. Assisted by Tyree Griffin.,44,61
9:32,276,Phil Bledsoe made Three Point Jumper. Assisted by Ajdin Penava.,44,64
9:00,2572,Tyree Griffin Turnover.,44,64
9:00,276,Rondale Watson Steal.,44,64
9:00,2572,Foul on Tyree Griffin.,44,64
9:00,276,Rondale Watson made Free Throw.,44,65
9:00,276,Rondale Watson made Free Throw.,44,66
8:53,2572,Cortez Edwards made Layup.,46,66
8:35,276,Dani Koljanin missed Layup.,46,66
8:35,2572,Anfernee Hampton Block.,46,66
8:34,276,Marshall Offensive Rebound.,46,66
8:17,276,Jon Elmore made Three Point Jumper. Assisted by Dani Koljanin.,46,69
8:06,2572,Tyree Griffin made Layup.,48,69
7:53,276,Jon Elmore missed Three Point Jumper.,48,69
7:53,2572,Southern Miss Defensive Rebound.,48,69
7:51,276,Official TV Timeout,48,69
7:36,2572,Tyree Griffin made Jumper. Assisted by Cortez Edwards.,50,69
7:08,276,Rondale Watson made Three Point Jumper. Assisted by Dani Koljanin.,50,72
6:59,2572,Tyree Griffin missed Layup.,50,72
6:59,276,Milan Mijovic Defensive Rebound.,50,72
6:52,276,Rondale Watson made Dunk. Assisted by Jon Elmore.,50,74
6:39,2572,Tyree Griffin made Layup.,52,74
6:17,276,Jon Elmore made Layup.,52,76
6:15,276,Technical Foul on Marshall.,52,76
6:15,2572,Tyree Griffin missed Free Throw.,52,76
6:15,2572,Southern Miss Deadball Team Rebound.,52,76
6:02,2572,Anfernee Hampton made Jumper. Assisted by Tyree Griffin.,54,76
5:57,2572,Foul on Cortez Edwards.,54,76
5:57,276,Jarrod West missed Free Throw.,54,76
5:57,276,Marshall Deadball Team Rebound.,54,76
5:57,276,Jarrod West made Free Throw.,54,77
5:39,276,Foul on Phil Bledsoe.,54,77
5:32,2572,Tyree Griffin made Layup.,56,77
5:32,276,Foul on Dani Koljanin.,56,77
5:32,2572,Tyree Griffin missed Free Throw.,56,77
5:32,2572,Anfernee Hampton Offensive Rebound.,56,77
5:24,2572,Tyree Griffin made Jumper.,58,77
4:51,276,Jarrod West missed Three Point Jumper.,58,77
4:51,276,Ajdin Penava Offensive Rebound.,58,77
4:46,276,Jon Elmore Turnover.,58,77
4:46,2572,Anfernee Hampton Steal.,58,77
4:45,276,Foul on Ajdin Penava.,58,77
4:45,276,Marshall  Timeout,58,77
4:26,2572,Anfernee Hampton missed Layup.,58,77
4:26,276,Ajdin Penava Block.,58,77
4:24,276,Jannson Williams Defensive Rebound.,58,77
4:18,276,Jannson Williams missed Three Point Jumper.,58,77
4:18,276,Jon Elmore Offensive Rebound.,58,77
4:16,2572,Foul on Kevin Holland.,58,77
4:16,276,Ajdin Penava missed Free Throw.,58,77
4:16,276,Marshall Deadball Team Rebound.,58,77
4:16,276,Ajdin Penava made Free Throw.,58,78
4:05,2572,Kevin Holland missed Three Point Jumper.,58,78
4:05,276,Ajdin Penava Defensive Rebound.,58,78
3:40,276,Dani Koljanin made Layup. Assisted by Ajdin Penava.,58,80
3:27,2572,Tyree Griffin missed Jumper.,58,80
3:27,276,Jon Elmore Defensive Rebound.,58,80
3:13,276,Jon Elmore made Layup. Assisted by Ajdin Penava.,58,82
3:05,2572,Southern Miss  Timeout,58,82
3:05,276,Official TV Timeout,58,82
2:52,276,Foul on Ajdin Penava.,58,82
2:52,2572,Rodney Gill missed Free Throw.,58,82
2:52,2572,Southern Miss Deadball Team Rebound.,58,82
2:52,2572,Rodney Gill missed Free Throw.,58,82
2:52,276,Jon Elmore Defensive Rebound.,58,82
2:36,276,Phil Bledsoe missed Three Point Jumper.,58,82
2:36,2572,LaDavius Draine Defensive Rebound.,58,82
2:29,276,Foul on Phil Bledsoe.,58,82
2:29,2572,Anfernee Hampton made Free Throw.,59,82
2:29,2572,Anfernee Hampton missed Free Throw.,59,82
2:29,276,Marcus Reed Defensive Rebound.,59,82
2:00,276,Marcus Reed missed Three Point Jumper.,59,82
2:00,276,Phil Bledsoe Offensive Rebound.,59,82
1:52,276,Darius George missed Jumper.,59,82
1:52,2572,Clay Weatherspoon Defensive Rebound.,59,82
1:44,2572,LaDavius Draine made Layup.,61,82
1:32,276,Jon Elmore missed Three Point Jumper.,61,82
1:32,276,Marcus Reed Offensive Rebound.,61,82
1:19,276,Phil Bledsoe made Jumper. Assisted by Ajdin Penava.,61,84
1:02,2572,LaDavius Draine made Jumper.,63,84
0:57,2572,Foul on Clay Weatherspoon.,63,84
0:57,276,Marcus Reed made Free Throw.,63,85
0:57,276,Marcus Reed missed Free Throw.,63,85
0:57,2572,Anfernee Hampton Defensive Rebound.,63,85
0:47,2572,LaDavius Draine made Three Point Jumper. Assisted by Rodney Gill.,66,85
0:40,276,Darius George missed Three Point Jumper.,66,85
0:40,2572,LaDavius Draine Defensive Rebound.,66,85
0:32,2572,LaDavius Draine missed Three Point Jumper.,66,85
0:32,276,Darius George Defensive Rebound.,66,85
0:00,276,End of Game,66,85
