Tusculum,Error,East Tennessee State,2193
9:39,2193,Desonta Bradford made Free Throw.,44,69
9:18,2193,Desonta Bradford made Layup. Assisted by David Burrell.,44,71
9:18,-1,Foul on Tobe Okafor.,44,71
9:18,2193,Desonta Bradford missed Free Throw.,44,71
9:18,2193,Mladen Armus Offensive Rebound.,44,71
9:15,-1,Foul on Ronnie Baylark.,44,71
9:15,2193,Mladen Armus made Free Throw.,44,72
9:15,2193,Mladen Armus missed Free Throw.,44,72
9:15,2193,Desonta Bradford Offensive Rebound.,44,72
9:08,2193,Desonta Bradford missed Layup.,44,72
9:08,2193,Mladen Armus Offensive Rebound.,44,72
9:05,2193,Mladen Armus made Layup.,44,74
8:58,-1,Ronnie Baylark made Three Point Jumper. Assisted by Donovan Donaldson.,47,74
8:37,2193,Desonta Bradford Turnover.,47,74
8:36,-1,Hunter Parrish Steal.,47,74
8:16,-1,Zailan Peeler made Layup. Assisted by Caleb Hodnett.,49,74
8:02,-1,Foul on Zailan Peeler.,49,74
8:02,2193,Jalan McCloud made Free Throw.,49,75
8:02,2193,Jalan McCloud made Free Throw.,49,76
7:44,-1,Zailan Peeler made Jumper.,51,76
7:24,2193,Mladen Armus made Layup.,51,78
7:24,-1,Foul on Peyton Woods.,51,78
7:24,2193,Official TV Timeout,51,78
7:24,2193,Mladen Armus missed Free Throw.,51,78
7:24,2193,David Burrell Offensive Rebound.,51,78
7:14,2193,Kanayo Obi-Rapu missed Three Point Jumper.,51,78
7:14,-1,Dashaunt Smith Defensive Rebound.,51,78
6:49,-1,Zailan Peeler missed Three Point Jumper.,51,78
6:49,-1,Brandon Mitchell Offensive Rebound.,51,78
6:25,2193,Foul on James Harrison.,51,78
6:25,-1,Zailan Peeler made Free Throw.,52,78
6:25,-1,Zailan Peeler missed Free Throw.,52,78
6:25,2193,James Harrison Defensive Rebound.,52,78
6:01,2193,Jermaine Long Turnover.,52,78
6:00,-1,Diego Poore Steal.,52,78
5:43,-1,Zailan Peeler missed Jumper.,52,78
5:43,-1,Brandon Mitchell Offensive Rebound.,52,78
5:39,2193,Foul on James Harrison.,52,78
5:39,-1,Brandon Mitchell made Free Throw.,53,78
5:39,-1,Brandon Mitchell made Free Throw.,54,78
5:15,2193,Jermaine Long missed Three Point Jumper.,54,78
5:15,-1,Tusculum Defensive Rebound.,54,78
5:02,2193,Foul on Jason Williams.,54,78
4:55,-1,Elon Smallwood made Layup.,56,78
4:55,2193,Foul on James Harrison.,56,78
4:55,-1,Elon Smallwood made Free Throw.,57,78
4:37,2193,James Harrison missed Layup.,57,78
4:37,-1,Dashaunt Smith Defensive Rebound.,57,78
4:22,-1,Elon Smallwood missed Layup.,57,78
4:22,2193,James Harrison Defensive Rebound.,57,78
4:07,2193,James Harrison missed Jumper.,57,78
4:07,-1,Dashaunt Smith Defensive Rebound.,57,78
3:57,-1,Dashaunt Smith Turnover.,57,78
3:56,2193,Jermaine Long Steal.,57,78
3:52,2193,Jermaine Long missed Layup.,57,78
3:52,-1,Brandon Mitchell Block.,57,78
3:51,-1,Dashaunt Smith Defensive Rebound.,57,78
3:32,-1,Brandon Mitchell missed Jumper.,57,78
3:32,2193,Kanayo Obi-Rapu Defensive Rebound.,57,78
3:24,-1,Foul on Elon Smallwood.,57,78
3:24,2193,Official TV Timeout,57,78
3:24,2193,Kanayo Obi-Rapu made Free Throw.,57,79
3:24,2193,Kanayo Obi-Rapu made Free Throw.,57,80
3:19,-1,Dustin Day made Three Point Jumper. Assisted by Diego Poore.,60,80
2:58,-1,Foul on Diego Poore.,60,80
2:58,2193,Jalan McCloud missed Free Throw.,60,80
2:58,2193,East Tennessee State Deadball Team Rebound.,60,80
2:58,2193,Jalan McCloud made Free Throw.,60,81
2:40,-1,Hunter Parrish missed Layup.,60,81
2:40,-1,Dustin Day Offensive Rebound.,60,81
2:37,-1,Dustin Day missed Layup.,60,81
2:37,2193,Mladen Armus Block.,60,81
2:36,-1,Tusculum Offensive Rebound.,60,81
2:18,2193,Foul on Dillon Reppart.,60,81
2:18,-1,Dashaunt Smith made Free Throw.,61,81
2:18,-1,Dashaunt Smith missed Free Throw.,61,81
2:18,2193,Mladen Armus Defensive Rebound.,61,81
1:56,-1,Foul on Dustin Day.,61,81
1:56,2193,Mladen Armus made Free Throw.,61,82
1:56,2193,Mladen Armus missed Free Throw.,61,82
1:56,-1,Hunter Parrish Defensive Rebound.,61,82
1:43,-1,Dustin Day missed Jumper.,61,82
1:43,2193,Mladen Armus Defensive Rebound.,61,82
1:30,2193,Jermaine Long Turnover.,61,82
1:29,-1,Zailan Peeler Steal.,61,82
1:06,-1,Zailan Peeler missed Three Point Jumper.,61,82
1:06,-1,Dashaunt Smith Offensive Rebound.,61,82
1:03,2193,Foul on Jermaine Long.,61,82
1:03,-1,Dashaunt Smith made Free Throw.,62,82
1:03,-1,Dashaunt Smith made Free Throw.,63,82
0:44,2193,Dillon Reppart missed Layup.,63,82
0:44,2193,Dillon Reppart Offensive Rebound.,63,82
0:30,2193,Mladen Armus made Layup. Assisted by Dillon Reppart.,63,84
0:11,-1,Diego Poore missed Three Point Jumper.,63,84
0:11,-1,Dustin Day Offensive Rebound.,63,84
0:11,-1,Dustin Day made Layup.,65,84
0:00,2193,End of Game,65,84
