Northwestern State,2447,Nicholls,2466
10:57,2447,Roddy Peters Turnover.,32,65
10:47,2466,Vontay Ott missed Layup.,32,65
10:47,2466,Ishmael Lane Offensive Rebound.,32,65
10:43,2447,Foul on Kimani Jackson.,32,65
10:43,2466,Ishmael Lane missed Free Throw.,32,65
10:43,2466,Northwestern State Deadball Team Rebound.,32,65
10:43,2466,Ishmael Lane made Free Throw.,33,65
10:25,2447,Lafayette Rutledge missed Jumper.,33,65
10:25,2466,Iziahiah Sweeney Defensive Rebound.,33,65
10:09,2466,Ishmael Lane made Three Point Jumper. Assisted by Vontay Ott.,36,65
9:47,2447,Stevie Repichowski missed Three Point Jumper.,36,65
9:47,2466,Vontay Ott Defensive Rebound.,36,65
9:39,2466,Iziahiah Sweeney missed Jumper.,36,65
9:39,2466,Ishmael Lane Offensive Rebound.,36,65
9:32,2466,Ishmael Lane made Layup.,38,65
9:31,2447,Nicholls  Timeout,38,65
9:12,2447,Ryghe Lyons made Jumper.,38,67
8:49,2466,Ishmael Lane made Three Point Jumper. Assisted by Brandon Hutton.,41,67
8:22,2447,Ryghe Lyons Turnover.,41,67
8:21,2466,Vontay Ott Steal.,41,67
8:17,2466,Iziahiah Sweeney missed Three Point Jumper.,41,67
8:17,2466,Brandon Hutton Offensive Rebound.,41,67
8:12,2466,Brandon Hutton missed Layup.,41,67
8:12,2447,Nicholls Defensive Rebound.,41,67
7:56,2447,Jahvaughn Powell missed Three Point Jumper.,41,67
7:56,2466,Vontay Ott Defensive Rebound.,41,67
7:42,2466,Brandon Hutton missed Jumper.,41,67
7:42,2466,Northwestern State Offensive Rebound.,41,67
7:39,2447,Official TV Timeout,41,67
7:32,2447,Foul on Kimani Jackson.,41,67
7:27,2466,Darian Dixon Turnover.,41,67
7:26,2447,Jahvaughn Powell Steal.,41,67
7:16,2447,Ryghe Lyons Turnover.,41,67
7:14,2466,Iziahiah Sweeney Steal.,41,67
7:09,2466,Iziahiah Sweeney Turnover.,41,67
7:05,2466,Foul on Iziahiah Sweeney.,41,67
7:05,2447,Roddy Peters made Free Throw.,41,68
7:05,2447,Roddy Peters made Free Throw.,41,69
6:34,2466,Larry Owens missed Jumper.,41,69
6:34,2447,Tevon Saddler Defensive Rebound.,41,69
6:14,2447,Jahvaughn Powell made Layup. Assisted by Ryghe Lyons.,41,71
5:50,2466,Malik Metoyer Turnover.,41,71
5:48,2447,Jahvaughn Powell Steal.,41,71
5:44,2447,Jahvaughn Powell missed Three Point Jumper.,41,71
5:44,2447,Kevin Johnson Offensive Rebound.,41,71
5:27,2447,Ryghe Lyons made Dunk.,41,73
4:55,2466,Malik Metoyer Turnover.,41,73
4:34,2447,Kevin Johnson made Jumper.,41,75
4:04,2466,Malik Metoyer missed Jumper.,41,75
4:04,2447,Ryghe Lyons Defensive Rebound.,41,75
3:57,2447,Roddy Peters missed Three Point Jumper.,41,75
3:57,2466,Ishmael Lane Defensive Rebound.,41,75
3:47,2466,Malik Metoyer missed Layup.,41,75
3:47,2447,Ryghe Lyons Defensive Rebound.,41,75
3:25,2466,Foul on Iziahiah Sweeney.,41,75
3:25,2447,Official TV Timeout,41,75
3:25,2447,Kevin Johnson made Free Throw.,41,76
3:25,2447,Kevin Johnson made Free Throw.,41,77
3:08,2466,Larry Owens made Layup. Assisted by C.J. Jones.,43,77
2:47,2447,Kevin Johnson missed Jumper.,43,77
2:47,2466,Iziahiah Sweeney Defensive Rebound.,43,77
2:40,2447,Foul on Lafayette Rutledge.,43,77
2:40,2466,Brandon Hutton missed Free Throw.,43,77
2:40,2466,Northwestern State Deadball Team Rebound.,43,77
2:39,2466,Brandon Hutton missed Free Throw.,43,77
2:39,2447,Lafayette Rutledge Defensive Rebound.,43,77
2:29,2447,Kevin Johnson Turnover.,43,77
2:25,2466,Brandon Hutton Turnover.,43,77
2:23,2447,Lafayette Rutledge Steal.,43,77
2:22,2447,Lafayette Rutledge made Three Point Jumper.,43,80
2:03,2466,Iziahiah Sweeney missed Layup.,43,80
2:03,2466,Iziahiah Sweeney Offensive Rebound.,43,80
2:01,2447,Foul on Legend Robertin.,43,80
2:01,2466,Iziahiah Sweeney missed Free Throw.,43,80
2:01,2466,Northwestern State Deadball Team Rebound.,43,80
2:01,2466,Iziahiah Sweeney made Free Throw.,44,80
1:49,2447,Zach Young missed Jumper.,44,80
1:49,2447,Legend Robertin Offensive Rebound.,44,80
1:49,2447,Legend Robertin made Dunk.,44,82
1:49,2466,Foul on Cameron Lazare.,44,82
1:47,2447,Legend Robertin missed Free Throw.,44,82
1:47,2466,Darian Dixon Defensive Rebound.,44,82
1:37,2466,C.J. Jones missed Three Point Jumper.,44,82
1:37,2466,Brandon Hutton Offensive Rebound.,44,82
1:34,2466,Darian Dixon missed Layup.,44,82
1:34,2466,Cameron Lazare Offensive Rebound.,44,82
1:29,2466,Cameron Lazare missed Layup.,44,82
1:29,2447,Zach Young Defensive Rebound.,44,82
1:13,2447,Legend Robertin made Layup. Assisted by Rafe Blades.,44,84
1:13,2466,Foul on Vontay Ott.,44,84
1:13,2447,Legend Robertin missed Free Throw.,44,84
1:13,2466,Darian Dixon Defensive Rebound.,44,84
0:53,2466,Vontay Ott missed Jumper.,44,84
0:53,2466,Vontay Ott Offensive Rebound.,44,84
0:47,2466,Brandon Hutton made Jumper.,46,84
0:18,2447,Stevie Repichowski made Three Point Jumper. Assisted by Zach Young.,46,87
0:03,2466,Vontay Ott missed Layup.,46,87
0:03,2447,Legend Robertin Block.,46,87
0:01,2447,Legend Robertin Defensive Rebound.,46,87
0:00,2447,End of Game,46,87
