Stephen F. Austin,2545,SE Louisiana,2617
10:40,2617,Josh Huntley made Jumper.,12,16
10:27,2545,Marlain Veal Turnover.,12,16
10:04,2617,Josh Huntley made Jumper. Assisted by Ty Charles.,14,16
9:55,2545,James Currington Turnover.,14,16
9:50,2617,TJ Holyfield made Three Point Jumper. Assisted by Kevon Harris.,17,16
9:23,2545,Joshua Filmore made Three Point Jumper.,17,19
9:10,2617,Josh Huntley Turnover.,17,19
8:55,2545,Marlain Veal missed Three Point Jumper.,17,19
8:55,2617,Josh Huntley Defensive Rebound.,17,19
8:41,2617,Josh Huntley missed Jumper.,17,19
8:41,2545,Jordan Capps Block.,17,19
8:39,2617,Josh Huntley Offensive Rebound.,17,19
8:36,2617,Josh Huntley missed Jumper.,17,19
8:36,2545,Jabbar Singleton Defensive Rebound.,17,19
8:19,2545,James Currington missed Jumper.,17,19
8:19,2617,Josh Huntley Defensive Rebound.,17,19
8:11,2617,Kevon Harris made Three Point Jumper. Assisted by Josh Huntley.,20,19
8:03,2617,Foul on TJ Holyfield.,20,19
7:59,2545,Jabbar Singleton Turnover.,20,19
7:59,2545,Official TV Timeout,20,19
7:43,2617,Samuli Nieminen Turnover.,20,19
7:34,2545,Jabbar Singleton missed Layup.,20,19
7:34,2545,James Currington Offensive Rebound.,20,19
7:20,2617,Foul on Aaron Augustin.,20,19
7:20,2545,Jordan Capps missed Free Throw.,20,19
7:20,2545,SE Louisiana Deadball Team Rebound.,20,19
7:20,2545,Jordan Capps made Free Throw.,20,20
7:20,2617,Kevon Harris missed Three Point Jumper.,20,20
7:20,2545,James Currington Defensive Rebound.,20,20
7:06,2545,Jordan Capps missed Jumper.,20,20
7:06,2617,Kevon Harris Defensive Rebound.,20,20
6:45,2617,Leon Gilmore III missed Jumper.,20,20
6:45,2545,James Currington Defensive Rebound.,20,20
6:41,2617,Foul on Samuli Nieminen.,20,20
6:41,2545,James Currington made Free Throw.,20,21
6:41,2545,James Currington made Free Throw.,20,22
6:26,2545,Foul on Jordan Capps.,20,22
6:25,2617,Samuli Nieminen Turnover.,20,22
6:23,2545,James Currington Steal.,20,22
6:05,2545,Joshua Filmore missed Three Point Jumper.,20,22
6:05,2545,Jordan Capps Offensive Rebound.,20,22
6:04,2545,Jordan Capps Turnover.,20,22
5:58,2617,Foul on Ty Charles.,20,22
5:58,2545,Jordan Capps made Free Throw.,20,23
5:58,2545,Jordan Capps missed Free Throw.,20,23
5:58,2617,Leon Gilmore III Defensive Rebound.,20,23
5:54,2617,Ty Charles missed Jumper.,20,23
5:54,2545,Marlain Veal Defensive Rebound.,20,23
5:24,2545,Jordan Capps Turnover.,20,23
5:24,2545,Foul on Jordan Capps.,20,23
5:14,2617,Isaiah Traylor made Layup.,22,23
4:42,2617,Kevon Harris missed Jumper.,22,23
4:42,2545,Marlain Veal Defensive Rebound.,22,23
4:38,2617,Foul on Kevon Harris.,22,23
4:38,2545,Jabbar Singleton missed Free Throw.,22,23
4:38,2545,SE Louisiana Deadball Team Rebound.,22,23
4:38,2545,Jabbar Singleton made Free Throw.,22,24
4:25,2617,Ty Charles made Three Point Jumper. Assisted by Ivan Canete.,25,24
3:50,2545,Moses Greenwood Turnover.,25,24
3:50,2545,Foul on Moses Greenwood.,25,24
3:50,2545,Official TV Timeout,25,24
3:39,2617,Ty Charles made Jumper.,27,24
3:19,2545,James Currington made Jumper. Assisted by Jabbar Singleton.,27,26
3:09,2617,Ty Charles Turnover.,27,26
2:46,2545,Joshua Filmore made Three Point Jumper. Assisted by Marlain Veal.,27,29
2:32,2617,Ivan Canete missed Three Point Jumper.,27,29
2:32,2545,Marlain Veal Defensive Rebound.,27,29
2:25,2545,Joshua Filmore missed Three Point Jumper.,27,29
2:25,2545,James Currington Offensive Rebound.,27,29
2:19,2617,Foul on Ty Charles.,27,29
2:19,2545,James Currington missed Free Throw.,27,29
2:19,2545,SE Louisiana Deadball Team Rebound.,27,29
2:19,2545,James Currington made Free Throw.,27,30
1:59,2545,Foul on Keith Charleston.,27,30
1:59,2617,Ivan Canete missed Free Throw.,27,30
1:59,2617,Stephen F. Austin Deadball Team Rebound.,27,30
1:59,2617,Ivan Canete missed Free Throw.,27,30
1:59,2545,Moses Greenwood Defensive Rebound.,27,30
1:42,2545,Marlain Veal Turnover.,27,30
1:40,2617,Leon Gilmore III Steal.,27,30
1:37,2617,Josh Huntley made Dunk. Assisted by Leon Gilmore III.,29,30
1:12,2617,Foul on Isaiah Traylor.,29,30
1:12,2545,Marlain Veal made Free Throw.,29,31
1:12,2545,Marlain Veal made Free Throw.,29,32
1:07,2617,Isaiah Traylor missed Layup.,29,32
1:07,2545,Moses Greenwood Block.,29,32
1:06,2617,Ivan Canete Offensive Rebound.,29,32
1:04,2617,Josh Huntley missed Three Point Jumper.,29,32
1:04,2545,Moses Greenwood Defensive Rebound.,29,32
0:32,2545,SE Louisiana  Timeout,29,32
0:25,2545,Marlain Veal missed Three Point Jumper.,29,32
0:25,2617,Ivan Canete Defensive Rebound.,29,32
0:06,2617,Isaiah Traylor missed Jumper.,29,32
0:06,2545,James Currington Defensive Rebound.,29,32
0:06,2617,Foul on Leon Gilmore III.,29,32
0:06,2545,James Currington made Free Throw.,29,33
0:06,2545,James Currington missed Free Throw.,29,33
0:06,2617,Leon Gilmore III Defensive Rebound.,29,33
0:03,2617,Leon Gilmore III missed Three Point Jumper.,29,33
0:03,2545,Jabbar Singleton Defensive Rebound.,29,33
0:00,2545,End of 1st half,29,33
19:55,2545,Foul on James Currington.,29,33
19:41,2545,Foul on Jabbar Singleton.,29,33
19:41,2617,Ivan Canete missed Free Throw.,29,33
19:41,2617,Stephen F. Austin Deadball Team Rebound.,29,33
19:41,2617,Ivan Canete made Free Throw.,30,33
19:25,2617,Foul on Aaron Augustin.,30,33
19:10,2545,Joshua Filmore missed Three Point Jumper.,30,33
19:10,2617,Aaron Augustin Defensive Rebound.,30,33
18:48,2617,Kevon Harris made Jumper.,32,33
18:15,2545,James Currington made Jumper. Assisted by Jabbar Singleton.,32,35
18:00,2617,TJ Holyfield missed Jumper.,32,35
18:00,2545,James Currington Block.,32,35
17:58,2545,Joshua Filmore Defensive Rebound.,32,35
17:41,2545,Jordan Capps Turnover.,32,35
17:23,2545,Foul on Marlain Veal.,32,35
17:23,2617,TJ Holyfield made Free Throw.,33,35
17:23,2617,TJ Holyfield missed Free Throw.,33,35
17:23,2545,Jordan Capps Defensive Rebound.,33,35
17:15,2545,Jordan Capps made Layup. Assisted by Marlain Veal.,33,37
16:56,2617,TJ Holyfield Turnover.,33,37
16:56,2617,Foul on TJ Holyfield.,33,37
16:38,2545,Jordan Capps Turnover.,33,37
16:37,2617,TJ Holyfield Steal.,33,37
16:29,2617,Isaiah Traylor Turnover.,33,37
16:29,2617,Foul on Isaiah Traylor.,33,37
16:11,2545,Marlain Veal Turnover.,33,37
15:51,2617,TJ Holyfield Turnover.,33,37
15:51,2545,Official TV Timeout,33,37
15:42,2545,Jordan Capps made Layup. Assisted by Marlain Veal.,33,39
15:29,2617,Isaiah Traylor made Layup. Assisted by Ivan Canete.,35,39
15:09,2545,Jordan Capps missed Layup.,35,39
15:09,2617,Ty Charles Defensive Rebound.,35,39
15:03,2617,Technical Foul on Ivan Canete.,35,39
15:03,2545,Marlain Veal made Free Throw.,35,40
15:03,2545,Marlain Veal missed Free Throw.,35,40
15:03,2617,Stephen F. Austin Deadball Team Rebound.,35,40
15:00,2617,TJ Holyfield missed Jumper.,35,40
15:00,2617,TJ Holyfield Offensive Rebound.,35,40
14:58,2617,TJ Holyfield missed Jumper.,35,40
14:58,2617,TJ Holyfield Offensive Rebound.,35,40
14:56,2617,TJ Holyfield made Jumper.,37,40
14:54,2545,Foul on Jordan Capps.,37,40
14:54,2617,TJ Holyfield made Free Throw.,38,40
14:40,2617,Foul on Kevon Harris.,38,40
14:40,2545,Moses Greenwood made Free Throw.,38,41
14:40,2545,Moses Greenwood missed Free Throw.,38,41
14:40,2617,Ty Charles Defensive Rebound.,38,41
14:20,2617,Josh Huntley Turnover.,38,41
14:19,2545,Jabbar Singleton Steal.,38,41
14:11,2545,Jabbar Singleton made Three Point Jumper. Assisted by James Currington.,38,44
13:35,2617,Aaron Augustin missed Jumper.,38,44
13:35,2617,Ty Charles Offensive Rebound.,38,44
13:30,2617,Ty Charles missed Jumper.,38,44
13:30,2545,James Currington Defensive Rebound.,38,44
13:13,2545,Marlain Veal made Three Point Jumper. Assisted by Jabbar Singleton.,38,47
12:58,2617,Stephen F. Austin  Timeout,38,47
12:50,2545,Foul on Joshua Filmore.,38,47
12:50,2617,Ty Charles made Free Throw.,39,47
12:50,2617,Ty Charles made Free Throw.,40,47
12:42,2545,Jabbar Singleton Turnover.,40,47
12:42,2545,Foul on Jabbar Singleton.,40,47
12:31,2617,TJ Holyfield made Jumper. Assisted by Aaron Augustin.,42,47
12:08,2545,Joshua Filmore Turnover.,42,47
11:47,2545,Foul on Jabbar Singleton.,42,47
11:47,2545,Official TV Timeout,42,47
11:47,2617,Leon Gilmore III made Free Throw.,43,47
11:47,2617,Leon Gilmore III made Free Throw.,44,47
11:33,2545,Marlain Veal made Three Point Jumper. Assisted by Jabbar Singleton.,44,50
11:05,2545,Foul on Moses Greenwood.,44,50
11:05,2617,Aaron Augustin made Free Throw.,45,50
11:05,2617,Aaron Augustin made Free Throw.,46,50
10:49,2545,Marlain Veal missed Three Point Jumper.,46,50
10:49,2617,Isaiah Traylor Defensive Rebound.,46,50
10:35,2617,Aaron Augustin missed Jumper.,46,50
10:35,2545,Moses Greenwood Block.,46,50
10:34,2617,Aaron Augustin Offensive Rebound.,46,50
10:28,2617,Leon Gilmore III Turnover.,46,50
10:28,2617,Foul on Leon Gilmore III.,46,50
10:11,2545,Jabbar Singleton missed Three Point Jumper.,46,50
10:11,2617,Isaiah Traylor Defensive Rebound.,46,50
10:08,2545,Foul on Keith Charleston.,46,50
10:08,2617,Isaiah Traylor missed Free Throw.,46,50
10:08,2545,Marlain Veal Defensive Rebound.,46,50
9:51,2617,Foul on Isaiah Traylor.,46,50
9:51,2545,Marlain Veal made Free Throw.,46,51
9:51,2545,Marlain Veal made Free Throw.,46,52
9:25,2617,Aaron Augustin Turnover.,46,52
9:05,2545,Keith Charleston Turnover.,46,52
8:45,2617,Ty Charles missed Three Point Jumper.,46,52
8:45,2545,Moses Greenwood Defensive Rebound.,46,52
8:27,2545,Marlain Veal Turnover.,46,52
8:15,2617,Ivan Canete made Layup.,48,52
7:54,2617,Foul on Samuli Nieminen.,48,52
7:54,2545,Official TV Timeout,48,52
7:54,2545,Keith Charleston missed Free Throw.,48,52
7:54,2617,Ivan Canete Defensive Rebound.,48,52
7:44,2617,Ivan Canete missed Three Point Jumper.,48,52
7:44,2617,Kevon Harris Offensive Rebound.,48,52
7:41,2617,Kevon Harris made Jumper.,50,52
7:12,2545,Keith Charleston missed Three Point Jumper.,50,52
7:12,2545,Jordan Capps Offensive Rebound.,50,52
6:55,2545,Jordan Capps Turnover.,50,52
6:37,2617,Kevon Harris made Jumper.,52,52
6:20,2617,Foul on Kevon Harris.,52,52
6:20,2545,Jabbar Singleton made Free Throw.,52,53
6:20,2545,Jabbar Singleton made Free Throw.,52,54
6:06,2545,Foul on Jordan Capps.,52,54
6:06,2617,Samuli Nieminen made Free Throw.,53,54
6:06,2617,Samuli Nieminen missed Free Throw.,53,54
6:06,2545,James Currington Defensive Rebound.,53,54
5:48,2545,Jordan Capps missed Jumper.,53,54
5:48,2617,Kevon Harris Defensive Rebound.,53,54
5:39,2617,Ivan Canete missed Three Point Jumper.,53,54
5:39,2545,Marlain Veal Defensive Rebound.,53,54
5:30,2545,Jordan Capps missed Three Point Jumper.,53,54
5:30,2617,Ivan Canete Defensive Rebound.,53,54
5:10,2617,Ivan Canete made Three Point Jumper.,56,54
5:05,2617,Stephen F. Austin  Timeout,56,54
4:44,2545,Marlain Veal missed Jumper.,56,54
4:44,2545,Marlain Veal Offensive Rebound.,56,54
4:36,2545,Jabbar Singleton missed Three Point Jumper.,56,54
4:36,2545,Moses Greenwood Offensive Rebound.,56,54
4:31,2617,Foul on Ty Charles.,56,54
4:31,2545,Moses Greenwood missed Free Throw.,56,54
4:31,2545,SE Louisiana Deadball Team Rebound.,56,54
4:31,2545,Moses Greenwood made Free Throw.,56,55
4:17,2617,TJ Holyfield missed Jumper.,56,55
4:17,2545,James Currington Block.,56,55
4:15,2617,TJ Holyfield Offensive Rebound.,56,55
4:13,2617,TJ Holyfield made Jumper.,58,55
3:54,2545,Moses Greenwood Turnover.,58,55
3:53,2617,Aaron Augustin Steal.,58,55
3:48,2617,Leon Gilmore III Turnover.,58,55
3:46,2545,Marlain Veal Steal.,58,55
3:38,2545,Official TV Timeout,58,55
3:31,2545,Joshua Filmore made Three Point Jumper. Assisted by Moses Greenwood.,58,58
3:14,2617,Leon Gilmore III made Layup.,60,58
2:44,2545,Joshua Filmore made Three Point Jumper. Assisted by Marlain Veal.,60,61
2:37,2545,SE Louisiana  Timeout,60,61
2:25,2617,Ivan Canete missed Three Point Jumper.,60,61
2:25,2617,TJ Holyfield Offensive Rebound.,60,61
2:21,2617,TJ Holyfield made Jumper.,62,61
1:49,2545,Jabbar Singleton missed Jumper.,62,61
1:49,2617,TJ Holyfield Defensive Rebound.,62,61
1:32,2617,Ivan Canete missed Jumper.,62,61
1:32,2545,James Currington Defensive Rebound.,62,61
1:26,2617,Foul on TJ Holyfield.,62,61
1:26,2545,James Currington made Free Throw.,62,62
1:26,2545,James Currington made Free Throw.,62,63
1:10,2617,Kevon Harris missed Jumper.,62,63
1:10,2545,Moses Greenwood Defensive Rebound.,62,63
0:47,2545,Marlain Veal made Jumper.,62,65
0:28,2617,TJ Holyfield missed Jumper.,62,65
0:28,2545,Moses Greenwood Block.,62,65
0:26,2545,Marlain Veal Defensive Rebound.,62,65
0:23,2545,Marlain Veal made Layup.,62,67
0:16,2617,Ivan Canete Turnover.,62,67
0:16,2617,Foul on Ivan Canete.,62,67
0:14,2617,Foul on Aaron Augustin.,62,67
0:14,2545,Marlain Veal made Free Throw.,62,68
0:14,2545,Marlain Veal made Free Throw.,62,69
0:14,2545,SE Louisiana  Timeout,62,69
0:14,2617,Samuli Nieminen Turnover.,62,69
0:13,2545,Jabbar Singleton Steal.,62,69
0:13,2617,Foul on Aaron Augustin.,62,69
0:13,2545,Jabbar Singleton made Free Throw.,62,70
0:13,2545,Jabbar Singleton made Free Throw.,62,71
0:09,2617,Isaiah Traylor Turnover.,62,71
0:08,2545,Marlain Veal Steal.,62,71
0:08,2617,Foul on Ivan Canete.,62,71
0:08,2545,Marlain Veal made Free Throw.,62,72
0:08,2545,Marlain Veal made Free Throw.,62,73
0:00,2545,End of Game,62,73
