NJIT,2084,Buffalo,2885
17:36,2885,Abdul Lewis Defensive Rebound.,43,47
17:21,2084,Foul on Ikenna Smart.,43,47
17:21,2885,Abdul Lewis made Free Throw.,44,47
17:21,2885,Abdul Lewis made Free Throw.,45,47
17:10,2084,Wes Clark made Layup.,45,49
16:46,2885,Diandre Wilson missed Layup.,45,49
16:46,2084,Jeremy Harris Block.,45,49
16:46,2885,NJIT Offensive Rebound.,45,49
16:44,2885,Reilly Walsh missed Layup.,45,49
16:44,2885,NJIT Offensive Rebound.,45,49
16:26,2885,Abdul Lewis Turnover.,45,49
16:25,2084,CJ Massinburg Steal.,45,49
16:21,2084,Davonta Jordan missed Layup.,45,49
16:21,2084,CJ Massinburg Offensive Rebound.,45,49
16:18,2084,CJ Massinburg missed Layup.,45,49
16:18,2084,Nick Perkins Offensive Rebound.,45,49
16:15,2084,Nick Perkins made Layup.,45,51
16:00,2885,Abdul Lewis made Layup. Assisted by Reilly Walsh.,47,51
15:45,2084,Wes Clark missed Three Point Jumper.,47,51
15:45,2885,Reilly Walsh Defensive Rebound.,47,51
15:35,2885,Diandre Wilson made Three Point Jumper. Assisted by Shyquan Gibbs.,50,51
15:25,2084,CJ Massinburg missed Three Point Jumper.,50,51
15:25,2885,Diandre Wilson Defensive Rebound.,50,51
15:12,2885,Anthony Tarke made Layup.,52,51
14:46,2084,Davonta Jordan missed Three Point Jumper.,52,51
14:46,2084,Jeremy Harris Offensive Rebound.,52,51
14:41,2084,Jeremy Harris missed Layup.,52,51
14:41,2885,Abdul Lewis Defensive Rebound.,52,51
14:29,2885,Shyquan Gibbs Turnover.,52,51
14:10,2084,Nick Perkins missed Three Point Jumper.,52,51
14:10,2885,Diandre Wilson Defensive Rebound.,52,51
13:38,2885,Shyquan Gibbs missed Three Point Jumper.,52,51
13:38,2084,Montell McRae Defensive Rebound.,52,51
13:27,2084,Nick Perkins made Layup. Assisted by Wes Clark.,52,53
13:07,2885,Abdul Lewis missed Layup.,52,53
13:07,2084,Montell McRae Defensive Rebound.,52,53
12:54,2084,CJ Massinburg missed Three Point Jumper.,52,53
12:54,2885,Reilly Walsh Defensive Rebound.,52,53
12:43,2885,Diandre Wilson missed Three Point Jumper.,52,53
12:43,2084,CJ Massinburg Defensive Rebound.,52,53
12:33,2084,Jayvon Graves missed Three Point Jumper.,52,53
12:33,2885,Abdul Lewis Defensive Rebound.,52,53
12:13,2885,Abdul Lewis missed Three Point Jumper.,52,53
12:13,2885,Reilly Walsh Offensive Rebound.,52,53
12:08,2885,Reilly Walsh missed Layup.,52,53
12:08,2084,CJ Massinburg Defensive Rebound.,52,53
11:54,2084,Jayvon Graves made Layup. Assisted by Wes Clark.,52,55
11:34,2885,Diandre Wilson missed Layup.,52,55
11:34,2885,Abdul Lewis Offensive Rebound.,52,55
11:32,2885,Abdul Lewis made Layup.,54,55
11:32,2084,Foul on Nick Perkins.,54,55
11:32,2084,Official TV Timeout,54,55
11:32,2885,Abdul Lewis made Free Throw.,55,55
11:16,2084,Ikenna Smart Turnover.,55,55
10:55,2084,Foul on Davonta Jordan.,55,55
10:55,2885,Abdul Lewis missed Free Throw.,55,55
10:55,2885,NJIT Deadball Team Rebound.,55,55
10:55,2885,Abdul Lewis made Free Throw.,56,55
10:43,2084,CJ Massinburg missed Three Point Jumper.,56,55
10:43,2084,Davonta Jordan Offensive Rebound.,56,55
10:38,2084,Davonta Jordan missed Layup.,56,55
10:38,2084,Ikenna Smart Offensive Rebound.,56,55
10:34,2084,Jayvon Graves missed Jumper.,56,55
10:34,2885,Abdul Lewis Defensive Rebound.,56,55
10:06,2885,Diandre Wilson missed Three Point Jumper.,56,55
10:06,2084,Jeremy Harris Defensive Rebound.,56,55
9:44,2084,CJ Massinburg missed Jumper.,56,55
9:44,2885,Diandre Wilson Defensive Rebound.,56,55
9:16,2885,Zach Cooks missed Layup.,56,55
9:16,2084,Jeremy Harris Block.,56,55
9:15,2885,Shawndale Jones Offensive Rebound.,56,55
9:12,2885,Shawndale Jones missed Jumper.,56,55
9:12,2084,Jayvon Graves Defensive Rebound.,56,55
9:05,2084,Nick Perkins Turnover.,56,55
8:51,2885,Diandre Wilson missed Layup.,56,55
8:51,2084,Ikenna Smart Defensive Rebound.,56,55
8:43,2084,Jeremy Harris missed Three Point Jumper.,56,55
8:43,2084,Ikenna Smart Offensive Rebound.,56,55
8:40,2084,Ikenna Smart Turnover.,56,55
8:39,2885,Zach Cooks Steal.,56,55
8:36,2084,Foul on James Reese.,56,55
8:36,2885,Diandre Wilson made Free Throw.,57,55
8:36,2885,Diandre Wilson made Free Throw.,58,55
8:23,2084,Nick Perkins missed Jumper.,58,55
8:23,2885,Mohamed Bendary Defensive Rebound.,58,55
8:07,2885,Zach Cooks missed Three Point Jumper.,58,55
8:07,2885,Mohamed Bendary Offensive Rebound.,58,55
7:49,2885,Anthony Tarke made Three Point Jumper. Assisted by Zach Cooks.,61,55
7:47,2885,NJIT  Timeout,61,55
7:31,2084,CJ Massinburg missed Three Point Jumper.,61,55
7:31,2084,Montell McRae Offensive Rebound.,61,55
7:26,2084,Montell McRae Turnover.,61,55
7:26,2885,Shawndale Jones Steal.,61,55
7:26,2084,Official TV Timeout,61,55
6:58,2885,Shawndale Jones made Layup.,63,55
6:46,2885,Foul on Shawndale Jones.,63,55
6:41,2084,Wes Clark missed Jumper.,63,55
6:41,2885,Shawndale Jones Defensive Rebound.,63,55
6:27,2885,Anthony Tarke made Three Point Jumper. Assisted by Diandre Wilson.,66,55
6:24,2084,Buffalo  Timeout,66,55
6:16,2885,Foul on Diandre Wilson.,66,55
6:08,2084,CJ Massinburg made Jumper.,66,57
5:35,2885,NJIT  Turnover.,66,57
5:13,2084,Nick Perkins missed Jumper.,66,57
5:13,2885,Zach Cooks Defensive Rebound.,66,57
4:41,2885,Shawndale Jones missed Jumper.,66,57
4:41,2084,Nick Perkins Defensive Rebound.,66,57
4:36,2084,CJ Massinburg made Three Point Jumper. Assisted by Wes Clark.,66,60
4:11,2885,Zach Cooks made Layup.,68,60
4:03,2885,Foul on Shawndale Jones.,68,60
4:01,2885,Foul on Anthony Tarke.,68,60
4:01,2084,CJ Massinburg made Layup. Assisted by Wes Clark.,68,62
3:44,2885,Reilly Walsh Turnover.,68,62
3:42,2084,Wes Clark Steal.,68,62
3:38,2084,Nick Perkins made Layup. Assisted by Wes Clark.,68,64
3:07,2885,Reilly Walsh missed Three Point Jumper.,68,64
3:07,2885,Abdul Lewis Offensive Rebound.,68,64
2:42,2885,Anthony Tarke missed Jumper.,68,64
2:42,2084,Jeremy Harris Defensive Rebound.,68,64
2:17,2885,Foul on Diandre Wilson.,68,64
2:17,2084,Official TV Timeout,68,64
2:17,2084,Davonta Jordan made Free Throw.,68,65
2:17,2084,Davonta Jordan missed Free Throw.,68,65
2:17,2885,Shawndale Jones Defensive Rebound.,68,65
1:50,2885,Anthony Tarke Turnover.,68,65
1:50,2885,Foul on Anthony Tarke.,68,65
1:38,2084,Nick Perkins missed Layup.,68,65
1:38,2885,Shyquan Gibbs Defensive Rebound.,68,65
1:18,2885,Diandre Wilson missed Layup.,68,65
1:18,2084,CJ Massinburg Defensive Rebound.,68,65
1:08,2885,Foul on Zach Cooks.,68,65
1:08,2084,CJ Massinburg made Free Throw.,68,66
1:08,2084,CJ Massinburg made Free Throw.,68,67
0:46,2885,Diandre Wilson missed Three Point Jumper.,68,67
0:46,2084,CJ Massinburg Defensive Rebound.,68,67
0:32,2885,Foul on Shawndale Jones.,68,67
0:32,2084,Jeremy Harris missed Free Throw.,68,67
0:32,2084,Buffalo Deadball Team Rebound.,68,67
0:32,2084,Jeremy Harris made Free Throw.,68,68
0:21,2885,Zach Cooks Turnover.,68,68
0:21,2084,CJ Massinburg Steal.,68,68
0:00,2084,Davonta Jordan missed Jumper.,68,68
0:00,2885,NJIT Defensive Rebound.,68,68
0:00,2084,End of 2nd half,68,68
4:44,2885,Diandre Wilson missed Jumper.,68,68
4:44,2084,Davonta Jordan Defensive Rebound.,68,68
4:40,2084,Davonta Jordan Turnover.,68,68
4:39,2885,Zach Cooks Steal.,68,68
4:39,2084,Foul on Davonta Jordan.,68,68
4:39,2885,Shyquan Gibbs missed Free Throw.,68,68
4:39,2885,NJIT Deadball Team Rebound.,68,68
4:39,2885,Shyquan Gibbs made Free Throw.,69,68
4:22,2084,Nick Perkins Turnover.,69,68
3:55,2885,Diandre Wilson Turnover.,69,68
3:42,2084,Jeremy Harris made Three Point Jumper. Assisted by Davonta Jordan.,69,71
3:27,2885,Shyquan Gibbs made Layup.,71,71
3:11,2885,Foul on Shyquan Gibbs.,71,71
3:11,2084,Wes Clark made Free Throw.,71,72
3:11,2084,Wes Clark made Free Throw.,71,73
2:40,2885,Diandre Wilson missed Three Point Jumper.,71,73
2:40,2885,Shyquan Gibbs Offensive Rebound.,71,73
2:35,2885,Diandre Wilson missed Three Point Jumper.,71,73
2:35,2084,Buffalo Deadball Team Rebound.,71,73
2:15,2084,Nick Perkins Turnover.,71,73
2:03,2084,Foul on Nick Perkins.,71,73
1:53,2885,Zach Cooks Turnover.,71,73
1:53,2084,Wes Clark Steal.,71,73
1:53,2084,Buffalo  Timeout,71,73
1:40,2084,Wes Clark made Jumper.,71,75
1:18,2885,Diandre Wilson missed Jumper.,71,75
1:18,2084,Nick Perkins Defensive Rebound.,71,75
0:58,2084,Wes Clark made Three Point Jumper.,71,78
0:44,2084,Foul on Jeremy Harris.,71,78
0:44,2885,Shawndale Jones made Free Throw.,72,78
0:44,2885,Shawndale Jones made Free Throw.,73,78
0:44,2885,NJIT  Timeout,73,78
0:43,2885,Foul on Diandre Wilson.,73,78
0:43,2084,Wes Clark made Free Throw.,73,79
0:43,2084,Wes Clark made Free Throw.,73,80
0:38,2885,Diandre Wilson made Layup.,75,80
0:38,2885,NJIT  Timeout,75,80
0:35,2885,Foul on San Antonio Brinson.,75,80
0:35,2084,Wes Clark made Free Throw.,75,81
0:35,2084,Wes Clark made Free Throw.,75,82
0:31,2885,Zach Cooks made Layup.,77,82
0:31,2885,NJIT  Timeout,77,82
0:26,2885,Foul on San Antonio Brinson.,77,82
0:26,2084,Wes Clark made Free Throw.,77,83
0:26,2084,Wes Clark made Free Throw.,77,84
0:19,2084,Foul on CJ Massinburg.,77,84
0:19,2885,Diandre Wilson made Free Throw.,78,84
0:19,2885,Diandre Wilson made Free Throw.,79,84
0:17,2885,Foul on San Antonio Brinson.,79,84
0:17,2084,CJ Massinburg made Free Throw.,79,85
0:17,2084,CJ Massinburg made Free Throw.,79,86
0:12,2885,Diandre Wilson missed Three Point Jumper.,79,86
0:12,2885,Shawndale Jones Offensive Rebound.,79,86
0:09,2885,Shawndale Jones missed Layup.,79,86
0:09,2885,Shawndale Jones Offensive Rebound.,79,86
0:08,2885,Shawndale Jones made Layup.,81,86
0:00,2084,End of Game,81,86
