Hartford,164,Rutgers,42
19:14,42,John Carroll missed Layup.,27,31
19:14,164,Deshawn Freeman Block.,27,31
19:14,42,John Carroll Offensive Rebound.,27,31
19:09,42,John Carroll made Layup.,29,31
18:49,164,Deshawn Freeman missed Jumper.,29,31
18:49,164,Issa Thiam Offensive Rebound.,29,31
18:38,164,Corey Sanders missed Three Point Jumper.,29,31
18:38,42,Travis Weatherington Defensive Rebound.,29,31
18:26,42,Jason Dunne made Three Point Jumper. Assisted by Hassan Attia.,32,31
18:08,164,Mamadou Doucoure made Jumper. Assisted by Geo Baker.,32,33
17:45,42,J.R. Lynch made Jumper.,34,33
17:28,164,Corey Sanders made Layup.,34,35
17:09,42,Hassan Attia missed Layup.,34,35
17:09,164,Deshawn Freeman Defensive Rebound.,34,35
16:56,164,Issa Thiam missed Three Point Jumper.,34,35
16:56,42,Hassan Attia Defensive Rebound.,34,35
16:36,42,John Carroll made Layup.,36,35
16:13,164,Corey Sanders missed Jumper.,36,35
16:13,42,Hassan Attia Defensive Rebound.,36,35
15:45,42,John Carroll missed Layup.,36,35
15:45,164,Mamadou Doucoure Block.,36,35
15:44,164,Deshawn Freeman Defensive Rebound.,36,35
15:36,164,Deshawn Freeman missed Layup.,36,35
15:36,42,Hassan Attia Block.,36,35
15:34,164,Deshawn Freeman Offensive Rebound.,36,35
15:31,164,Issa Thiam missed Three Point Jumper.,36,35
15:31,42,Jason Dunne Defensive Rebound.,36,35
15:15,42,Jason Dunne made Three Point Jumper. Assisted by Travis Weatherington.,39,35
15:15,164,Rutgers  Timeout,39,35
15:15,164,Official TV Timeout,39,35
14:47,164,Mike Williams missed Three Point Jumper.,39,35
14:47,42,J.R. Lynch Defensive Rebound.,39,35
14:30,42,Jason Dunne Turnover.,39,35
14:29,164,Mike Williams Steal.,39,35
14:21,42,Foul on Hassan Attia.,39,35
14:21,164,Official TV Timeout,39,35
14:04,42,Foul on Jack Hobbs.,39,35
14:04,164,Eugene Omoruyi missed Free Throw.,39,35
14:04,164,Rutgers Deadball Team Rebound.,39,35
14:04,164,Eugene Omoruyi missed Free Throw.,39,35
14:04,42,Hassan Attia Defensive Rebound.,39,35
13:42,42,Foul on Jason Dunne.,39,35
13:42,42,Jason Dunne Turnover.,39,35
13:22,42,Foul on J.R. Lynch.,39,35
13:13,164,Issa Thiam missed Layup.,39,35
13:13,42,Hassan Attia Block.,39,35
13:12,42,J.R. Lynch Defensive Rebound.,39,35
12:51,42,Jason Dunne missed Three Point Jumper.,39,35
12:51,42,Hassan Attia Offensive Rebound.,39,35
12:48,164,Foul on Eugene Omoruyi.,39,35
12:36,164,Foul on Candido Sa.,39,35
12:36,42,Hassan Attia made Free Throw.,40,35
12:36,42,Hassan Attia made Free Throw.,41,35
12:19,42,Foul on Hassan Attia.,41,35
12:19,164,Corey Sanders made Free Throw.,41,36
12:19,164,Corey Sanders missed Free Throw.,41,36
12:19,42,John Carroll Defensive Rebound.,41,36
11:50,42,J.R. Lynch missed Three Point Jumper.,41,36
11:50,42,J.R. Lynch Offensive Rebound.,41,36
11:27,42,John Carroll made Jumper.,43,36
11:04,164,Issa Thiam made Three Point Jumper. Assisted by Corey Sanders.,43,39
10:35,42,Jason Dunne made Layup. Assisted by John Carroll.,45,39
10:16,164,Deshawn Freeman missed Layup.,45,39
10:16,42,George Blagojevic Defensive Rebound.,45,39
10:08,164,Foul on Shaquille Doorson.,45,39
10:08,164,Official TV Timeout,45,39
10:08,42,J.R. Lynch missed Free Throw.,45,39
10:08,42,Hartford Deadball Team Rebound.,45,39
10:08,42,J.R. Lynch missed Free Throw.,45,39
10:08,42,John Carroll Offensive Rebound.,45,39
9:48,42,Travis Weatherington missed Three Point Jumper.,45,39
9:48,164,Mike Williams Defensive Rebound.,45,39
9:35,42,Foul on J.R. Lynch.,45,39
9:35,164,Deshawn Freeman made Free Throw.,45,40
9:35,164,Deshawn Freeman made Free Throw.,45,41
9:09,42,J.R. Lynch missed Jumper.,45,41
9:09,42,Hartford Offensive Rebound.,45,41
9:09,164,Foul on Eugene Omoruyi.,45,41
8:41,42,Travis Weatherington Turnover.,45,41
8:13,164,Deshawn Freeman missed Three Point Jumper.,45,41
8:13,164,Eugene Omoruyi Offensive Rebound.,45,41
8:08,42,Foul on Jason Dunne.,45,41
8:08,164,Eugene Omoruyi made Free Throw.,45,42
8:08,164,Eugene Omoruyi made Free Throw.,45,43
7:49,164,Foul on Issa Thiam.,45,43
7:49,164,Official TV Timeout,45,43
7:30,42,Hartford  Timeout,45,43
7:30,42,John Carroll made Jumper. Assisted by J.R. Lynch.,47,43
7:29,164,Geo Baker missed Three Point Jumper.,47,43
7:29,42,Jason Dunne Defensive Rebound.,47,43
7:09,42,John Carroll made Three Point Jumper.,50,43
7:01,164,Mike Williams made Jumper.,50,45
6:30,42,John Carroll missed Three Point Jumper.,50,45
6:30,164,Rutgers Defensive Rebound.,50,45
6:07,42,Foul on Hassan Attia.,50,45
6:07,164,Eugene Omoruyi missed Free Throw.,50,45
6:07,42,John Carroll Defensive Rebound.,50,45
5:56,42,J.R. Lynch Turnover.,50,45
5:39,164,Deshawn Freeman missed Layup.,50,45
5:39,42,John Carroll Defensive Rebound.,50,45
5:25,42,Jason Dunne missed Layup.,50,45
5:25,164,Eugene Omoruyi Block.,50,45
