Rice,2636,UT San Antonio,242
8:24,242,Najja Hunter made Free Throw.,43,61
8:24,242,Najja Hunter made Free Throw.,44,61
8:07,2636,Deon Lyle missed Three Point Jumper.,44,61
8:07,242,Malik Osborne Defensive Rebound.,44,61
7:42,242,Ako Adams missed Jumper.,44,61
7:42,242,Malik Osborne Offensive Rebound.,44,61
7:38,242,Malik Osborne Turnover.,44,61
7:33,2636,Keaton Wallace missed Layup.,44,61
7:33,242,Bishop Mency Defensive Rebound.,44,61
7:28,2636,Foul on Toby Van Ry.,44,61
7:28,2636,Official TV Timeout,44,61
7:28,242,Najja Hunter missed Free Throw.,44,61
7:28,242,Rice Deadball Team Rebound.,44,61
7:28,242,Najja Hunter made Free Throw.,45,61
7:02,242,Foul on Ako Adams.,45,61
6:43,2636,Nick Allen Turnover.,45,61
6:31,242,Najja Hunter missed Jumper.,45,61
6:31,2636,Jhivvan Jackson Defensive Rebound.,45,61
6:28,242,Foul on Najja Hunter.,45,61
6:06,2636,Jhivvan Jackson made Three Point Jumper. Assisted by Giovanni De Nicolao.,45,64
5:47,242,Robert Martin made Layup.,47,64
5:41,2636,Jhivvan Jackson made Three Point Jumper. Assisted by Nick Allen.,47,67
5:20,242,Najja Hunter missed Jumper.,47,67
5:20,242,Najja Hunter Offensive Rebound.,47,67
5:18,242,Najja Hunter missed Jumper.,47,67
5:18,242,Malik Osborne Offensive Rebound.,47,67
5:14,242,Malik Osborne made Layup.,49,67
5:14,2636,Foul on Giovanni De Nicolao.,49,67
5:14,242,Malik Osborne missed Free Throw.,49,67
5:14,2636,Byron Frohnen Defensive Rebound.,49,67
5:03,2636,Giovanni De Nicolao missed Three Point Jumper.,49,67
5:03,2636,Nick Allen Offensive Rebound.,49,67
4:52,2636,Austin Karrer missed Three Point Jumper.,49,67
4:52,242,Najja Hunter Defensive Rebound.,49,67
4:36,2636,Foul on Austin Karrer.,49,67
4:36,242,Najja Hunter missed Free Throw.,49,67
4:36,242,Rice Deadball Team Rebound.,49,67
4:36,242,Najja Hunter missed Free Throw.,49,67
4:36,2636,Austin Karrer Defensive Rebound.,49,67
4:21,2636,Austin Karrer missed Three Point Jumper.,49,67
4:21,2636,Nick Allen Offensive Rebound.,49,67
4:09,2636,Jhivvan Jackson made Three Point Jumper. Assisted by Byron Frohnen.,49,70
3:47,242,Bishop Mency missed Jumper.,49,70
3:47,242,Najja Hunter Offensive Rebound.,49,70
3:44,242,Najja Hunter made Layup.,51,70
3:39,242,Foul on Malik Osborne.,51,70
3:39,2636,Official TV Timeout,51,70
3:39,2636,Jhivvan Jackson made Free Throw.,51,71
3:39,2636,Jhivvan Jackson made Free Throw.,51,72
3:20,242,Najja Hunter made Three Point Jumper.,54,72
2:58,2636,Deon Lyle made Layup. Assisted by Giovanni De Nicolao.,54,74
2:26,242,Tim Harrison made Three Point Jumper. Assisted by Connor Cashaw.,57,74
2:07,2636,Deon Lyle missed Three Point Jumper.,57,74
2:07,242,Tim Harrison Defensive Rebound.,57,74
1:54,242,Connor Cashaw missed Three Point Jumper.,57,74
1:54,2636,Jhivvan Jackson Defensive Rebound.,57,74
1:45,2636,Jhivvan Jackson made Layup.,57,76
1:29,242,Connor Cashaw made Three Point Jumper. Assisted by Miles Lester.,60,76
1:19,2636,Austin Karrer missed Layup.,60,76
1:19,242,Malik Osborne Defensive Rebound.,60,76
1:13,242,Miles Lester Turnover.,60,76
1:13,2636,Jhivvan Jackson Steal.,60,76
1:13,242,Foul on Miles Lester.,60,76
0:58,2636,Toby Van Ry missed Three Point Jumper.,60,76
0:58,242,Najja Hunter Defensive Rebound.,60,76
0:57,2636,Foul on Toby Van Ry.,60,76
0:57,242,Najja Hunter missed Free Throw.,60,76
0:57,242,Rice Deadball Team Rebound.,60,76
0:57,242,Najja Hunter made Free Throw.,61,76
0:48,2636,James Ringholt Turnover.,61,76
0:47,242,Tim Harrison Steal.,61,76
0:43,242,Tim Harrison made Layup.,63,76
0:36,242,Foul on Robert Martin.,63,76
0:36,2636,James Ringholt made Free Throw.,63,77
0:36,2636,James Ringholt missed Free Throw.,63,77
0:36,242,Tim Harrison Defensive Rebound.,63,77
0:21,242,Tim Harrison made Three Point Jumper. Assisted by Miles Lester.,66,77
0:16,242,Foul on Robert Martin.,66,77
0:16,2636,Kyle Massie made Free Throw.,66,78
0:16,2636,Kyle Massie made Free Throw.,66,79
0:07,242,Tim Harrison missed Three Point Jumper.,66,79
0:07,2636,George Willborn III Defensive Rebound.,66,79
0:00,2636,End of Game,66,79
