Oakland,270,Milwaukee,2473
13:18,2473,Oakland Deadball Team Rebound.,50,34
13:18,2473,Kendrick Nunn made Free Throw.,51,34
13:18,270,Foul on Bryce Nze.,51,34
13:18,270,Foul on Bryce Nze.,51,34
13:14,270,Foul on Jeremiah Bell.,51,34
13:11,2473,Nick Daniels made Free Throw.,52,34
13:11,2473,Nick Daniels made Free Throw.,53,34
13:00,270,Vance Johnson made Layup. Assisted by Brett Prahl.,53,36
13:00,2473,Foul on Jalen Hayes.,53,36
13:00,270,Vance Johnson made Free Throw.,53,37
12:36,270,Foul on Brett Prahl.,53,37
12:36,2473,Martez Walker made Free Throw.,54,37
12:36,2473,Martez Walker made Free Throw.,55,37
12:23,270,Brett Prahl missed Three Point Jumper.,55,37
12:23,2473,Isaiah Brock Defensive Rebound.,55,37
12:02,2473,Kendrick Nunn missed Three Point Jumper.,55,37
12:02,270,Vance Johnson Defensive Rebound.,55,37
11:46,270,Bryce Barnes missed Layup.,55,37
11:46,270,Vance Johnson Offensive Rebound.,55,37
11:44,2473,Foul on Jalen Hayes.,55,37
11:44,270,Official TV Timeout,55,37
11:36,2473,Foul on Kendrick Nunn.,55,37
11:36,270,Jeremiah Bell made Free Throw.,55,38
11:36,270,Jeremiah Bell made Free Throw.,55,39
11:27,270,Foul on Bryce Barnes.,55,39
11:27,2473,Kendrick Nunn made Free Throw.,56,39
11:27,2473,Kendrick Nunn made Free Throw.,57,39
11:16,270,Vance Johnson made Three Point Jumper. Assisted by Bryce Barnes.,57,42
10:53,2473,Kendrick Nunn made Jumper.,59,42
10:28,270,Bryce Barnes missed Layup.,59,42
10:28,2473,Isaiah Brock Block.,59,42
10:27,2473,Brailen Neely Defensive Rebound.,59,42
10:03,2473,Kendrick Nunn Turnover.,59,42
10:02,270,Jeremiah Bell Steal.,59,42
9:59,270,Jeremiah Bell made Layup.,59,44
9:34,2473,Chris Palombizio missed Jumper.,59,44
9:34,270,Vance Johnson Defensive Rebound.,59,44
9:25,270,Brock Stull missed Three Point Jumper.,59,44
9:25,2473,Brailen Neely Defensive Rebound.,59,44
9:01,2473,Kendrick Nunn made Jumper.,61,44
8:42,270,Bryce Barnes made Layup.,61,46
8:22,2473,Foul on Martez Walker.,61,46
8:22,2473,Martez Walker Turnover.,61,46
8:16,270,Jeremiah Bell made Layup.,61,48
7:59,2473,Jalen Hayes missed Layup.,61,48
7:59,270,Brett Prahl Defensive Rebound.,61,48
7:55,2473,Foul on Martez Walker.,61,48
7:55,270,Official TV Timeout,61,48
7:29,270,Brock Stull made Three Point Jumper. Assisted by August Haas.,61,51
7:14,2473,Jalen Hayes made Layup. Assisted by Nick Daniels.,63,51
7:05,270,August Haas made Three Point Jumper. Assisted by Brock Stull.,63,54
6:41,2473,Nick Daniels missed Three Point Jumper.,63,54
6:41,270,Milwaukee Defensive Rebound.,63,54
6:25,2473,Foul on Isaiah Brock.,63,54
6:25,270,Brett Prahl made Free Throw.,63,55
6:25,270,Brett Prahl made Free Throw.,63,56
6:09,2473,Jalen Hayes Turnover.,63,56
6:09,270,Jeremiah Bell Steal.,63,56
6:06,2473,Foul on Brailen Neely.,63,56
6:06,270,Jeremiah Bell missed Free Throw.,63,56
6:06,270,Milwaukee Deadball Team Rebound.,63,56
6:06,270,Jeremiah Bell made Free Throw.,63,57
5:52,2473,Brailen Neely Turnover.,63,57
5:51,270,August Haas Steal.,63,57
5:47,270,Carson Warren-Newsome missed Layup.,63,57
5:47,2473,Kendrick Nunn Defensive Rebound.,63,57
5:39,2473,Martez Walker missed Layup.,63,57
5:39,2473,Martez Walker Offensive Rebound.,63,57
5:37,2473,Martez Walker missed Layup.,63,57
5:37,270,Jeremiah Bell Defensive Rebound.,63,57
5:30,270,Brock Stull made Jumper. Assisted by Carson Warren-Newsome.,63,59
5:03,2473,Jalen Hayes missed Layup.,63,59
5:03,270,Brett Prahl Block.,63,59
5:01,270,August Haas Defensive Rebound.,63,59
4:57,270,Brock Stull missed Three Point Jumper.,63,59
4:57,2473,Isaiah Brock Defensive Rebound.,63,59
4:37,2473,Kendrick Nunn made Jumper.,65,59
4:33,2473,Oakland  Timeout,65,59
4:19,270,Jeremiah Bell made Jumper.,65,61
3:58,2473,Kendrick Nunn made Three Point Jumper. Assisted by Jalen Hayes.,68,61
3:40,270,Brock Stull missed Jumper.,68,61
3:40,270,Brock Stull Offensive Rebound.,68,61
3:36,270,Brock Stull missed Layup.,68,61
3:36,270,Brock Stull Offensive Rebound.,68,61
3:32,270,Brock Stull missed Layup.,68,61
3:32,2473,Isaiah Brock Block.,68,61
3:31,270,Milwaukee Offensive Rebound.,68,61
3:29,270,Official TV Timeout,68,61
3:14,270,August Haas missed Layup.,68,61
3:14,2473,Jalen Hayes Defensive Rebound.,68,61
2:47,2473,Kendrick Nunn missed Three Point Jumper.,68,61
2:47,270,Brock Stull Defensive Rebound.,68,61
2:41,270,August Haas made Layup. Assisted by Brock Stull.,68,63
2:16,2473,Jalen Hayes missed Three Point Jumper.,68,63
2:16,270,Brock Stull Defensive Rebound.,68,63
2:08,270,Brock Stull missed Three Point Jumper.,68,63
2:08,270,Carson Warren-Newsome Offensive Rebound.,68,63
2:05,2473,Foul on Jalen Hayes.,68,63
2:05,270,Carson Warren-Newsome made Free Throw.,68,64
2:05,270,Carson Warren-Newsome missed Free Throw.,68,64
2:05,2473,Isaiah Brock Defensive Rebound.,68,64
1:53,270,Foul on Jeremiah Bell.,68,64
1:53,2473,Kendrick Nunn made Free Throw.,69,64
1:53,2473,Kendrick Nunn made Free Throw.,70,64
1:45,270,Milwaukee  Timeout,70,64
1:27,270,Carson Warren-Newsome missed Three Point Jumper.,70,64
1:27,2473,Kendrick Nunn Defensive Rebound.,70,64
0:58,2473,Kendrick Nunn missed Jumper.,70,64
0:58,270,August Haas Defensive Rebound.,70,64
0:50,270,Brock Stull Turnover.,70,64
0:42,2473,Isaiah Brock made Dunk. Assisted by Nick Daniels.,72,64
0:28,270,Jeremiah Bell missed Three Point Jumper.,72,64
0:28,2473,Kendrick Nunn Defensive Rebound.,72,64
0:20,270,Foul on August Haas.,72,64
0:20,2473,Martez Walker made Free Throw.,73,64
0:20,2473,Martez Walker made Free Throw.,74,64
0:20,270,Milwaukee  Timeout,74,64
0:16,270,Brett Prahl made Layup. Assisted by Brock Stull.,74,66
0:16,270,Foul on Carson Warren-Newsome.,74,66
0:16,2473,Nick Daniels made Free Throw.,75,66
0:16,2473,Nick Daniels made Free Throw.,76,66
0:10,270,Jeremiah Bell missed Three Point Jumper.,76,66
0:10,270,Carson Warren-Newsome Offensive Rebound.,76,66
0:07,270,August Haas made Layup. Assisted by Carson Warren-Newsome.,76,68
0:00,270,End of Game,76,68
