Pepperdine,2541,Santa Clara,2492
11:00,2492,Knox Hellums Defensive Rebound.,49,45
10:42,2541,Official TV Timeout,49,45
10:25,2492,Jade' Smith missed Three Point Jumper.,49,45
10:25,2541,Santa Clara Deadball Team Rebound.,49,45
10:05,2541,Matt Hauser made Three Point Jumper. Assisted by KJ Feagin.,49,48
9:41,2541,Foul on Henry Caruso.,49,48
9:41,2492,Jade' Smith made Free Throw.,50,48
9:41,2492,Jade' Smith made Free Throw.,51,48
9:25,2541,KJ Feagin made Three Point Jumper. Assisted by Kai Healy.,51,51
9:05,2492,Nolan Taylor missed Jumper.,51,51
9:05,2541,Kai Healy Defensive Rebound.,51,51
8:53,2541,KJ Feagin missed Jumper.,51,51
8:53,2541,KJ Feagin Offensive Rebound.,51,51
8:52,2541,KJ Feagin made Layup.,51,53
8:35,2492,Jade' Smith Turnover.,51,53
8:35,2492,Foul on Jade' Smith.,51,53
8:07,2492,Foul on Nolan Taylor.,51,53
8:07,2541,Emmanuel Ndumanya made Free Throw.,51,54
8:07,2541,Emmanuel Ndumanya made Free Throw.,51,55
8:00,2541,Foul on KJ Feagin.,51,55
7:43,2492,Trae Berhow made Jumper.,53,55
7:19,2541,Henry Caruso missed Three Point Jumper.,53,55
7:19,2492,Darnell Dunn Defensive Rebound.,53,55
7:02,2492,Trae Berhow missed Three Point Jumper.,53,55
7:02,2492,Matthew Atewe Offensive Rebound.,53,55
6:56,2492,Matthew Atewe made Layup.,55,55
6:39,2541,Kai Healy missed Three Point Jumper.,55,55
6:39,2541,Emmanuel Ndumanya Offensive Rebound.,55,55
6:35,2541,KJ Feagin missed Three Point Jumper.,55,55
6:35,2492,Matthew Atewe Defensive Rebound.,55,55
6:20,2492,Colbey Ross Turnover.,55,55
6:05,2492,Foul on Matthew Atewe.,55,55
5:56,2541,Matt Hauser made Three Point Jumper. Assisted by KJ Feagin.,55,58
5:32,2492,Matthew Atewe Turnover.,55,58
5:31,2541,Emmanuel Ndumanya Steal.,55,58
5:10,2541,KJ Feagin missed Three Point Jumper.,55,58
5:10,2492,Darnell Dunn Defensive Rebound.,55,58
4:47,2492,Eric Cooper Jr. Turnover.,55,58
4:47,2492,Foul on Eric Cooper Jr..,55,58
4:31,2541,KJ Feagin missed Three Point Jumper.,55,58
4:31,2492,Harrison Meads Defensive Rebound.,55,58
4:20,2541,Foul on Henry Caruso.,55,58
4:20,2492,Colbey Ross made Free Throw.,56,58
4:20,2492,Colbey Ross made Free Throw.,57,58
4:04,2541,Henry Caruso made Layup.,57,60
3:42,2492,Eric Cooper Jr. missed Jumper.,57,60
3:42,2492,Jade' Smith Offensive Rebound.,57,60
3:34,2492,Jade' Smith made Layup.,59,60
3:07,2541,Kai Healy made Layup.,59,62
2:50,2492,Harrison Meads missed Layup.,59,62
2:50,2541,Kai Healy Block.,59,62
2:48,2541,Kai Healy Defensive Rebound.,59,62
2:35,2541,KJ Feagin made Layup.,59,64
2:28,2541,Santa Clara  Timeout,59,64
2:28,2541,Official TV Timeout,59,64
2:10,2492,Jade' Smith Turnover.,59,64
2:10,2541,Henry Caruso Steal.,59,64
2:10,2541,Santa Clara  Timeout,59,64
2:01,2541,KJ Feagin Turnover.,59,64
2:01,2541,Foul on KJ Feagin.,59,64
1:55,2541,Foul on Kai Healy.,59,64
1:55,2492,Jade' Smith made Free Throw.,60,64
1:55,2492,Jade' Smith made Free Throw.,61,64
1:27,2541,KJ Feagin missed Jumper.,61,64
1:27,2492,Trae Berhow Defensive Rebound.,61,64
1:09,2492,Jade' Smith missed Jumper.,61,64
1:09,2541,Josip Vrankic Block.,61,64
1:08,2541,Josip Vrankic Defensive Rebound.,61,64
1:03,2492,Foul on Jade' Smith.,61,64
1:03,2541,Matt Hauser missed Free Throw.,61,64
1:03,2492,Trae Berhow Defensive Rebound.,61,64
0:55,2492,Pepperdine  Timeout,61,64
0:38,2492,Colbey Ross missed Jumper.,61,64
0:38,2541,Henry Caruso Defensive Rebound.,61,64
0:24,2492,Foul on Colbey Ross.,61,64
0:24,2541,KJ Feagin made Free Throw.,61,65
0:24,2541,KJ Feagin made Free Throw.,61,66
0:16,2492,Colbey Ross made Layup.,63,66
0:16,2492,Pepperdine  Timeout,63,66
0:15,2492,Foul on Colbey Ross.,63,66
0:15,2541,KJ Feagin made Free Throw.,63,67
0:15,2541,KJ Feagin made Free Throw.,63,68
0:14,2492,Colbey Ross made Layup.,65,68
0:12,2492,Foul on Knox Hellums.,65,68
0:12,2541,Henry Caruso made Free Throw.,65,69
0:12,2541,Henry Caruso made Free Throw.,65,70
0:12,2541,Santa Clara  Timeout,65,70
0:07,2492,Eric Cooper Jr. missed Three Point Jumper.,65,70
0:07,2541,Emmanuel Ndumanya Defensive Rebound.,65,70
0:04,2492,Foul on Trae Berhow.,65,70
0:04,2541,Emmanuel Ndumanya made Free Throw.,65,71
0:04,2541,Emmanuel Ndumanya made Free Throw.,65,72
0:00,2492,Colbey Ross missed Three Point Jumper.,65,72
0:00,2492,Pepperdine Deadball Team Rebound.,65,72
0:00,2541,End of Game,65,72
