Mesa College,Error,Denver,2172
8:42,-1,Emilio Acedo missed Three Point Jumper.,24,30
8:42,2172,Ade Murkey Defensive Rebound.,24,30
8:26,2172,Daniel Amigo missed Jumper.,24,30
8:26,-1,Connor Nichols Defensive Rebound.,24,30
8:13,-1,Connor Nichols missed Three Point Jumper.,24,30
8:13,2172,Donoven Carlisle Defensive Rebound.,24,30
8:05,2172,Elvin Rodriguez missed Jumper.,24,30
8:05,2172,Ade Murkey Offensive Rebound.,24,30
8:01,2172,Ade Murkey missed Layup.,24,30
8:01,-1,Damon Dubots Defensive Rebound.,24,30
7:49,-1,Trent Clay Turnover.,24,30
7:49,-1,Foul on Trent Clay.,24,30
7:49,2172,Official TV Timeout,24,30
7:33,2172,Daniel Amigo missed Jumper.,24,30
7:33,2172,Jake Holtzmann Offensive Rebound.,24,30
7:30,2172,Jake Holtzmann made Layup.,24,32
7:12,-1,Brandon Hoffer missed Layup.,24,32
7:12,2172,Jake Holtzmann Defensive Rebound.,24,32
6:49,-1,Foul on Connor Nichols.,24,32
6:49,2172,Daniel Amigo made Free Throw.,24,33
6:49,2172,Daniel Amigo made Free Throw.,24,34
6:37,2172,Foul on Daniel Amigo.,24,34
6:37,-1,Damon Dubots missed Free Throw.,24,34
6:37,-1,Colorado Mesa Deadball Team Rebound.,24,34
6:37,-1,Damon Dubots missed Free Throw.,24,34
6:37,2172,Daniel Amigo Defensive Rebound.,24,34
6:20,2172,Daniel Amigo made Layup. Assisted by Jake Krafka.,24,36
6:01,-1,Connor Nichols missed Jumper.,24,36
6:01,2172,Joe Rosga Defensive Rebound.,24,36
5:53,-1,Foul on Damon Dubots.,24,36
5:53,2172,Ade Murkey missed Free Throw.,24,36
5:53,2172,Denver Deadball Team Rebound.,24,36
5:53,2172,Ade Murkey missed Free Throw.,24,36
5:53,-1,Colorado Mesa Defensive Rebound.,24,36
5:53,2172,Foul on Jake Krafka.,24,36
5:41,-1,CJ Davis Turnover.,24,36
5:26,2172,Daniel Amigo made Jumper. Assisted by Jake Krafka.,24,38
5:03,-1,Kolton Peterson missed Three Point Jumper.,24,38
5:03,2172,Joe Rosga Defensive Rebound.,24,38
4:54,2172,Daniel Amigo made Jumper. Assisted by Ade Murkey.,24,40
4:25,-1,Connor Nichols missed Jumper.,24,40
4:25,2172,Daniel Amigo Defensive Rebound.,24,40
4:17,2172,Joe Rosga made Layup.,24,42
4:00,2172,Official TV Timeout,24,42
4:00,2172,Foul on Joe Rosga.,24,42
4:00,2172,Official TV Timeout,24,42
4:00,-1,Filip Nowicki missed Free Throw.,24,42
4:00,-1,Colorado Mesa Deadball Team Rebound.,24,42
4:00,-1,Filip Nowicki made Free Throw.,25,42
3:41,2172,Jake Krafka missed Layup.,25,42
3:41,2172,Jake Krafka Offensive Rebound.,25,42
3:39,2172,Jake Krafka made Layup.,25,44
3:19,-1,Damon Dubots made Jumper. Assisted by Brandon Hoffer.,27,44
3:06,2172,Jake Pemberton missed Jumper.,27,44
3:06,2172,Daniel Amigo Offensive Rebound.,27,44
3:02,2172,Daniel Amigo made Layup.,27,46
2:48,-1,Damon Dubots missed Jumper.,27,46
2:48,2172,Luke Neff Defensive Rebound.,27,46
2:39,-1,Foul on Emilio Acedo.,27,46
2:39,2172,Ade Murkey missed Free Throw.,27,46
2:39,-1,Connor Nichols Defensive Rebound.,27,46
2:30,-1,Kolton Peterson Turnover.,27,46
2:19,2172,Christian Mackey made Layup. Assisted by Jake Pemberton.,27,48
1:58,-1,Damon Dubots missed Jumper.,27,48
1:58,2172,Christian Mackey Defensive Rebound.,27,48
1:41,2172,Thomas Neff made Layup.,27,50
1:27,2172,Foul on Thomas Neff.,27,50
1:27,-1,Emilio Acedo made Free Throw.,28,50
1:27,-1,Emilio Acedo made Free Throw.,29,50
1:18,2172,Thomas Neff made Layup.,29,52
1:05,-1,Emilio Acedo missed Layup.,29,52
1:05,2172,Thomas Neff Block.,29,52
1:02,2172,Luke Neff Defensive Rebound.,29,52
0:56,2172,Thomas Neff made Three Point Jumper. Assisted by Luke Neff.,29,55
0:37,-1,Connor Nichols made Layup.,31,55
0:09,2172,Christian Mackey missed Layup.,31,55
0:09,2172,Christian Mackey Offensive Rebound.,31,55
0:08,-1,Foul on Damon Dubots.,31,55
0:08,2172,Christian Mackey made Free Throw.,31,56
0:08,2172,Christian Mackey missed Free Throw.,31,56
0:08,-1,Connor Nichols Defensive Rebound.,31,56
0:01,-1,Connor Nichols made Three Point Jumper.,34,56
0:00,2172,End of 1st half,34,56
19:46,-1,Damon Dubots missed Jumper.,34,56
19:46,2172,Daniel Amigo Block.,34,56
19:44,2172,Jake Krafka Defensive Rebound.,34,56
19:35,2172,Jake Pemberton missed Three Point Jumper.,34,56
19:35,2172,Daniel Amigo Offensive Rebound.,34,56
19:19,2172,Jake Krafka missed Three Point Jumper.,34,56
19:19,2172,Ade Murkey Offensive Rebound.,34,56
19:16,2172,Ade Murkey made Jumper.,34,58
18:59,-1,Connor Nichols Turnover.,34,58
18:50,2172,Jake Pemberton made Layup. Assisted by Joe Rosga.,34,60
18:37,-1,Connor Nichols Turnover.,34,60
18:25,2172,Daniel Amigo made Layup. Assisted by Joe Rosga.,34,62
18:07,-1,Connor Nichols made Jumper. Assisted by CJ Davis.,36,62
17:45,2172,Daniel Amigo made Layup. Assisted by Joe Rosga.,36,64
17:30,-1,Emilio Acedo missed Three Point Jumper.,36,64
17:30,2172,Jake Pemberton Defensive Rebound.,36,64
17:09,2172,Jake Krafka missed Layup.,36,64
17:09,-1,Connor Nichols Block.,36,64
17:09,2172,Denver Offensive Rebound.,36,64
17:08,2172,Joe Rosga made Layup. Assisted by Ade Murkey.,36,66
16:58,-1,Connor Nichols Turnover.,36,66
16:57,2172,Ade Murkey Steal.,36,66
16:52,-1,Foul on Connor Nichols.,36,66
16:52,2172,Ade Murkey made Free Throw.,36,67
16:52,2172,Ade Murkey missed Free Throw.,36,67
16:52,-1,Trent Clay Defensive Rebound.,36,67
16:50,2172,Foul on Jake Krafka.,36,67
16:24,-1,CJ Davis missed Layup.,36,67
16:24,2172,Jake Pemberton Defensive Rebound.,36,67
16:11,2172,Jake Pemberton made Three Point Jumper. Assisted by Jake Krafka.,36,70
15:54,-1,Trent Clay missed Layup.,36,70
15:54,2172,Daniel Amigo Defensive Rebound.,36,70
15:38,-1,Foul on Damon Dubots.,36,70
15:38,2172,Official TV Timeout,36,70
15:38,2172,Daniel Amigo made Free Throw.,36,71
15:38,2172,Daniel Amigo made Free Throw.,36,72
15:24,-1,CJ Davis missed Three Point Jumper.,36,72
15:24,2172,Elvin Rodriguez Defensive Rebound.,36,72
15:17,-1,Foul on CJ Davis.,36,72
15:05,2172,Thomas Neff missed Layup.,36,72
15:05,-1,Filip Nowicki Block.,36,72
15:05,2172,Denver Offensive Rebound.,36,72
14:58,2172,Elvin Rodriguez missed Jumper.,36,72
14:58,-1,Filip Nowicki Defensive Rebound.,36,72
14:39,2172,Foul on Donoven Carlisle.,36,72
14:39,-1,CJ Davis made Free Throw.,37,72
14:39,-1,CJ Davis made Free Throw.,38,72
14:22,2172,Christian Mackey made Layup. Assisted by Thomas Neff.,38,74
13:59,-1,Filip Nowicki missed Jumper.,38,74
13:59,2172,Donoven Carlisle Defensive Rebound.,38,74
13:40,2172,Donoven Carlisle made Layup.,38,76
13:24,-1,Ludvig Saldh Turnover.,38,76
13:22,2172,Donoven Carlisle Steal.,38,76
13:19,2172,Elvin Rodriguez made Dunk. Assisted by Jake Holtzmann.,38,78
12:54,-1,Ludvig Saldh made Jumper.,40,78
12:27,2172,Elvin Rodriguez missed Three Point Jumper.,40,78
12:27,-1,Trent Clay Defensive Rebound.,40,78
12:17,-1,Kolton Peterson missed Three Point Jumper.,40,78
12:17,2172,Christian Mackey Defensive Rebound.,40,78
12:03,2172,Thomas Neff made Layup.,40,80
12:03,-1,Foul on Colin Rardin.,40,80
12:03,2172,Thomas Neff made Free Throw.,40,81
11:43,-1,Emilio Acedo missed Three Point Jumper.,40,81
11:43,2172,Elvin Rodriguez Defensive Rebound.,40,81
11:34,2172,Christian Mackey missed Layup.,40,81
11:34,2172,Christian Mackey Offensive Rebound.,40,81
11:32,2172,Christian Mackey missed Layup.,40,81
11:32,-1,Colorado Mesa Defensive Rebound.,40,81
11:29,2172,Official TV Timeout,40,81
11:06,-1,Connor Nichols missed Layup.,40,81
11:06,2172,Jake Holtzmann Defensive Rebound.,40,81
10:59,2172,Elvin Rodriguez missed Jumper.,40,81
10:59,-1,Brandon Hoffer Defensive Rebound.,40,81
10:57,-1,CJ Davis Turnover.,40,81
10:57,-1,Foul on CJ Davis.,40,81
10:29,2172,Elvin Rodriguez missed Jumper.,40,81
10:29,-1,Damon Dubots Block.,40,81
10:26,-1,Brandon Hoffer Defensive Rebound.,40,81
10:23,-1,Brandon Hoffer missed Jumper.,40,81
10:23,2172,Abiola Akintola Defensive Rebound.,40,81
9:54,2172,Abiola Akintola missed Jumper.,40,81
9:54,2172,Donoven Carlisle Offensive Rebound.,40,81
9:51,2172,Donoven Carlisle missed Layup.,40,81
9:51,-1,Brandon Hoffer Defensive Rebound.,40,81
9:36,-1,CJ Davis missed Three Point Jumper.,40,81
9:36,-1,Connor Nichols Offensive Rebound.,40,81
9:33,-1,Connor Nichols missed Jumper.,40,81
9:33,2172,Donoven Carlisle Defensive Rebound.,40,81
9:26,2172,Elvin Rodriguez missed Layup.,40,81
9:26,2172,Abiola Akintola Offensive Rebound.,40,81
9:22,2172,Luke Neff made Three Point Jumper. Assisted by Abiola Akintola.,40,84
9:01,-1,Emilio Acedo missed Three Point Jumper.,40,84
9:01,2172,Luke Neff Defensive Rebound.,40,84
8:53,2172,Abiola Akintola made Layup. Assisted by Jake Holtzmann.,40,86
8:33,2172,Foul on Donoven Carlisle.,40,86
8:33,-1,Filip Nowicki Turnover.,40,86
8:32,2172,Thomas Neff Steal.,40,86
8:31,2172,Abiola Akintola made Layup. Assisted by Elvin Rodriguez.,40,88
8:08,2172,Foul on Abiola Akintola.,40,88
7:50,-1,Filip Nowicki Turnover.,40,88
7:49,2172,Elvin Rodriguez Steal.,40,88
7:46,2172,Thomas Neff missed Three Point Jumper.,40,88
7:46,-1,Ridge Droskin Defensive Rebound.,40,88
7:36,-1,Colin Rardin made Three Point Jumper. Assisted by Ridge Droskin.,43,88
7:15,2172,Elvin Rodriguez made Layup.,43,90
7:05,-1,Emilio Acedo missed Three Point Jumper.,43,90
7:05,2172,Elvin Rodriguez Block.,43,90
7:03,-1,Ridge Droskin Offensive Rebound.,43,90
7:02,-1,Ridge Droskin made Layup.,45,90
7:02,2172,Foul on Abiola Akintola.,45,90
7:02,2172,Official TV Timeout,45,90
7:02,-1,Ridge Droskin missed Free Throw.,45,90
7:02,2172,Thomas Neff Defensive Rebound.,45,90
6:48,2172,Luke Neff made Three Point Jumper. Assisted by Thomas Neff.,45,93
6:33,-1,Emilio Acedo made Jumper.,47,93
6:06,2172,Abiola Akintola missed Layup.,47,93
6:06,2172,Abiola Akintola Offensive Rebound.,47,93
5:49,2172,Luke Neff made Jumper.,47,95
5:23,-1,Colin Rardin made Three Point Jumper. Assisted by Emilio Acedo.,50,95
5:03,2172,Luke Neff missed Three Point Jumper.,50,95
5:03,-1,Ludvig Saldh Defensive Rebound.,50,95
4:47,-1,Ludvig Saldh made Three Point Jumper. Assisted by Colin Rardin.,53,95
4:24,2172,Abiola Akintola made Layup. Assisted by Jake Holtzmann.,53,97
4:02,-1,Tyler Converse made Layup.,55,97
3:33,2172,Luke Neff made Three Point Jumper. Assisted by Elvin Rodriguez.,55,100
3:15,-1,Filip Nowicki made Layup.,57,100
2:59,2172,Official TV Timeout,57,100
2:43,2172,Elijah Blake made Layup.,57,102
2:30,-1,Tyler Converse missed Three Point Jumper.,57,102
2:30,2172,Elijah Blake Defensive Rebound.,57,102
2:11,2172,Abiola Akintola made Layup.,57,104
2:09,2172,Denver  Timeout,57,104
1:44,-1,Colin Rardin Turnover.,57,104
1:43,2172,Donoven Carlisle Steal.,57,104
1:29,2172,Elijah Blake made Jumper.,57,106
1:00,-1,Ludvig Saldh missed Three Point Jumper.,57,106
1:00,2172,Donoven Carlisle Defensive Rebound.,57,106
0:42,2172,Luke Neff Turnover.,57,106
0:41,-1,Ridge Droskin Steal.,57,106
0:32,-1,Tyler Converse made Three Point Jumper. Assisted by Ridge Droskin.,60,106
0:32,2172,Foul on Elijah Blake.,60,106
0:32,-1,Tyler Converse missed Free Throw.,60,106
0:32,2172,Donoven Carlisle Defensive Rebound.,60,106
0:02,2172,Denver  Turnover.,60,106
0:00,2172,End of Game,60,106
