Portland,252,BYU,2501
9:54,2501,Portland Deadball Team Rebound.,11,19
9:54,2501,Philipp Hartwich missed Free Throw.,11,19
9:54,252,Yoeli Childs Defensive Rebound.,11,19
9:37,252,Yoeli Childs missed Jumper.,11,19
9:37,2501,Josh McSwiggan Defensive Rebound.,11,19
9:08,2501,Malcolm Porter Turnover.,11,19
8:55,252,TJ Haws Turnover.,11,19
8:38,252,Foul on McKay Cannon.,11,19
8:33,252,Foul on Zac Seljaas.,11,19
8:14,2501,D'Marques Tyson missed Three Point Jumper.,11,19
8:14,252,Payton Dastrup Defensive Rebound.,11,19
7:51,252,TJ Haws missed Three Point Jumper.,11,19
7:51,2501,Marcus Shaver Jr. Defensive Rebound.,11,19
7:42,2501,D'Marques Tyson made Three Point Jumper. Assisted by Malcolm Porter.,14,19
7:20,252,TJ Haws Turnover.,14,19
7:20,252,Official TV Timeout,14,19
7:11,2501,Marcus Shaver Jr. missed Jumper.,14,19
7:11,2501,Tahirou Diabate Offensive Rebound.,14,19
7:09,252,Foul on Zac Seljaas.,14,19
7:09,2501,Tahirou Diabate missed Free Throw.,14,19
7:09,2501,Portland Deadball Team Rebound.,14,19
7:09,2501,Tahirou Diabate missed Free Throw.,14,19
7:09,252,Elijah Bryant Defensive Rebound.,14,19
7:02,252,Jahshire Hardnett Turnover.,14,19
7:01,2501,Josh McSwiggan Steal.,14,19
6:59,2501,Josh McSwiggan made Layup.,16,19
6:34,252,McKay Cannon missed Three Point Jumper.,16,19
6:34,2501,Malcolm Porter Defensive Rebound.,16,19
6:24,2501,Josh McSwiggan Turnover.,16,19
6:23,252,Elijah Bryant Steal.,16,19
6:20,252,Elijah Bryant made Layup.,16,21
5:55,2501,Malcolm Porter made Layup.,18,21
5:35,2501,Foul on D'Marques Tyson.,18,21
5:31,252,Elijah Bryant Turnover.,18,21
5:29,2501,Tahirou Diabate Steal.,18,21
5:23,2501,Tahirou Diabate made Jumper. Assisted by Malcolm Porter.,20,21
5:23,252,Foul on Jahshire Hardnett.,20,21
5:23,2501,Tahirou Diabate missed Free Throw.,20,21
5:23,252,Payton Dastrup Defensive Rebound.,20,21
5:15,252,Yoeli Childs made Dunk. Assisted by Elijah Bryant.,20,23
4:54,2501,Malcolm Porter Turnover.,20,23
4:53,252,McKay Cannon Steal.,20,23
4:36,252,Yoeli Childs missed Jumper.,20,23
4:36,2501,Tahirou Diabate Block.,20,23
4:34,252,Yoeli Childs Offensive Rebound.,20,23
4:31,252,Yoeli Childs made Jumper.,20,25
4:22,2501,Portland  Timeout,20,25
4:08,252,Foul on Elijah Bryant.,20,25
4:08,2501,Tahirou Diabate made Free Throw.,21,25
4:08,2501,Tahirou Diabate missed Free Throw.,21,25
4:08,252,Elijah Bryant Defensive Rebound.,21,25
3:41,252,Yoeli Childs made Jumper.,21,27
3:14,2501,Franklin Porter missed Jumper.,21,27
3:14,252,Elijah Bryant Defensive Rebound.,21,27
3:13,2501,Foul on Franklin Porter.,21,27
2:48,252,Yoeli Childs made Dunk. Assisted by TJ Haws.,21,29
2:16,2501,JoJo Walker made Three Point Jumper. Assisted by Marcus Shaver Jr..,24,29
1:42,252,Payton Dastrup Turnover.,24,29
1:29,2501,Josh McSwiggan missed Jumper.,24,29
1:29,252,TJ Haws Defensive Rebound.,24,29
1:15,252,McKay Cannon missed Three Point Jumper.,24,29
1:15,2501,Josh McSwiggan Defensive Rebound.,24,29
1:04,2501,Marcus Shaver Jr. missed Jumper.,24,29
1:04,252,Yoeli Childs Defensive Rebound.,24,29
0:51,252,Yoeli Childs made Dunk. Assisted by Jahshire Hardnett.,24,31
0:35,2501,JoJo Walker Turnover.,24,31
0:15,252,Zac Seljaas missed Three Point Jumper.,24,31
0:15,2501,Franklin Porter Defensive Rebound.,24,31
0:04,2501,Franklin Porter missed Three Point Jumper.,24,31
0:04,252,Luke Worthington Defensive Rebound.,24,31
0:00,252,End of 1st half,24,31
19:37,252,Luke Worthington missed Jumper.,24,31
19:37,2501,Franklin Porter Defensive Rebound.,24,31
19:20,2501,Josh McSwiggan missed Jumper.,24,31
19:20,252,Yoeli Childs Defensive Rebound.,24,31
19:08,252,Elijah Bryant missed Three Point Jumper.,24,31
19:08,252,Yoeli Childs Offensive Rebound.,24,31
19:05,2501,Foul on Marcus Shaver Jr..,24,31
19:05,252,Yoeli Childs missed Free Throw.,24,31
19:05,252,BYU Deadball Team Rebound.,24,31
19:05,252,Yoeli Childs made Free Throw.,24,32
18:54,2501,JoJo Walker made Jumper.,26,32
18:37,252,Elijah Bryant Turnover.,26,32
18:36,2501,Marcus Shaver Jr. Steal.,26,32
18:32,2501,Marcus Shaver Jr. missed Layup.,26,32
18:32,252,Luke Worthington Defensive Rebound.,26,32
18:08,252,Jahshire Hardnett missed Three Point Jumper.,26,32
18:08,2501,Philipp Hartwich Defensive Rebound.,26,32
17:50,2501,Franklin Porter made Three Point Jumper.,29,32
17:32,252,TJ Haws missed Jumper.,29,32
17:32,2501,Josh McSwiggan Block.,29,32
17:29,252,Luke Worthington Offensive Rebound.,29,32
17:17,252,Elijah Bryant made Jumper.,29,34
17:01,2501,Franklin Porter made Layup.,31,34
16:46,2501,Foul on Philipp Hartwich.,31,34
16:42,252,Elijah Bryant made Jumper. Assisted by TJ Haws.,31,36
16:27,252,Foul on TJ Haws.,31,36
16:27,252,Technical Foul on TJ Haws.,31,36
16:27,252,Foul on TJ Haws.,31,36
16:27,2501,Josh McSwiggan missed Free Throw.,31,36
16:27,2501,Portland Deadball Team Rebound.,31,36
16:27,2501,Josh McSwiggan made Free Throw.,32,36
16:16,2501,JoJo Walker made Three Point Jumper. Assisted by Marcus Shaver Jr..,35,36
15:57,2501,Foul on JoJo Walker.,35,36
15:57,252,Official TV Timeout,35,36
15:38,252,Zac Seljaas missed Three Point Jumper.,35,36
15:38,2501,Josh McSwiggan Defensive Rebound.,35,36
15:14,2501,Josh McSwiggan missed Jumper.,35,36
15:14,252,Elijah Bryant Defensive Rebound.,35,36
15:06,252,Elijah Bryant missed Jumper.,35,36
15:06,2501,Philipp Hartwich Block.,35,36
15:04,2501,Marcus Shaver Jr. Defensive Rebound.,35,36
15:00,2501,Marcus Shaver Jr. missed Jumper.,35,36
15:00,252,Yoeli Childs Block.,35,36
15:00,252,BYU Defensive Rebound.,35,36
14:50,252,McKay Cannon made Jumper.,35,38
14:23,2501,Franklin Porter made Jumper.,37,38
14:08,252,Zac Seljaas Turnover.,37,38
14:07,2501,Franklin Porter Steal.,37,38
13:58,2501,Marcus Shaver Jr. missed Three Point Jumper.,37,38
13:58,252,Elijah Bryant Defensive Rebound.,37,38
13:36,252,Yoeli Childs made Dunk. Assisted by TJ Haws.,37,40
13:13,2501,Franklin Porter missed Jumper.,37,40
13:13,252,Yoeli Childs Defensive Rebound.,37,40
13:05,252,Yoeli Childs missed Jumper.,37,40
13:05,252,Yoeli Childs Offensive Rebound.,37,40
13:02,2501,Foul on Philipp Hartwich.,37,40
13:02,252,Yoeli Childs made Free Throw.,37,41
13:02,252,Yoeli Childs made Free Throw.,37,42
12:42,2501,Josh McSwiggan missed Three Point Jumper.,37,42
12:42,252,TJ Haws Defensive Rebound.,37,42
12:35,252,Elijah Bryant missed Three Point Jumper.,37,42
12:35,252,Yoeli Childs Offensive Rebound.,37,42
12:32,252,Yoeli Childs made Jumper.,37,44
12:23,2501,Franklin Porter made Jumper.,39,44
12:05,252,Elijah Bryant Turnover.,39,44
11:48,2501,JoJo Walker missed Three Point Jumper.,39,44
11:48,252,Yoeli Childs Defensive Rebound.,39,44
11:34,252,Zac Seljaas made Layup. Assisted by McKay Cannon.,39,46
11:18,2501,Marcus Shaver Jr. missed Three Point Jumper.,39,46
11:18,252,Elijah Bryant Defensive Rebound.,39,46
11:03,2501,Foul on Franklin Porter.,39,46
11:03,252,Official TV Timeout,39,46
11:03,252,Yoeli Childs missed Free Throw.,39,46
11:03,252,BYU Deadball Team Rebound.,39,46
11:03,252,Yoeli Childs made Free Throw.,39,47
10:48,2501,Tahirou Diabate missed Jumper.,39,47
10:48,252,TJ Haws Defensive Rebound.,39,47
10:32,252,Yoeli Childs Turnover.,39,47
10:31,2501,JoJo Walker Steal.,39,47
10:21,2501,Malcolm Porter Turnover.,39,47
10:19,252,Yoeli Childs Steal.,39,47
10:16,252,Elijah Bryant made Layup. Assisted by Yoeli Childs.,39,49
10:00,2501,Franklin Porter missed Three Point Jumper.,39,49
10:00,2501,Franklin Porter Offensive Rebound.,39,49
9:39,2501,Tahirou Diabate missed Jumper.,39,49
9:39,252,TJ Haws Defensive Rebound.,39,49
9:19,2501,Foul on Tahirou Diabate.,39,49
9:19,252,Yoeli Childs missed Free Throw.,39,49
9:19,252,BYU Deadball Team Rebound.,39,49
9:19,252,Yoeli Childs made Free Throw.,39,50
8:47,2501,Franklin Porter missed Three Point Jumper.,39,50
8:47,252,Yoeli Childs Defensive Rebound.,39,50
8:40,252,Elijah Bryant made Layup.,39,52
8:19,2501,Malcolm Porter missed Jumper.,39,52
8:19,252,Payton Dastrup Block.,39,52
8:18,252,Elijah Bryant Defensive Rebound.,39,52
8:12,252,TJ Haws missed Layup.,39,52
8:12,2501,Tahirou Diabate Defensive Rebound.,39,52
8:03,2501,Franklin Porter Turnover.,39,52
8:02,252,McKay Cannon Steal.,39,52
7:42,2501,Foul on Franklin Porter.,39,52
7:42,252,Official TV Timeout,39,52
7:42,252,Payton Dastrup missed Free Throw.,39,52
7:42,2501,Portland Defensive Rebound.,39,52
7:42,2501,JoJo Walker Turnover.,39,52
7:42,252,Elijah Bryant made Layup.,39,54
7:42,2501,D'Marques Tyson missed Three Point Jumper.,39,54
7:42,252,Elijah Bryant Defensive Rebound.,39,54
6:47,252,Elijah Bryant missed Layup.,39,54
6:47,2501,Philipp Hartwich Block.,39,54
6:45,2501,D'Marques Tyson Defensive Rebound.,39,54
6:41,2501,D'Marques Tyson missed Three Point Jumper.,39,54
6:41,252,Elijah Bryant Defensive Rebound.,39,54
6:14,252,Jahshire Hardnett made Layup. Assisted by Elijah Bryant.,39,56
5:53,252,Foul on TJ Haws.,39,56
5:53,252,Payton Dastrup missed Jumper.,39,56
5:53,2501,Philipp Hartwich Defensive Rebound.,39,56
5:51,252,Foul on Zac Seljaas.,41,56
5:51,2501,Malcolm Porter made Free Throw.,42,56
5:51,2501,Malcolm Porter made Layup.,41,56
5:51,252,Elijah Bryant made Three Point Jumper. Assisted by TJ Haws.,42,59
4:33,252,Foul on Zac Seljaas.,42,59
4:17,2501,Malcolm Porter missed Three Point Jumper.,42,59
4:17,252,Yoeli Childs Defensive Rebound.,42,59
3:57,252,Yoeli Childs missed Jumper.,42,59
3:57,2501,Malcolm Porter Defensive Rebound.,42,59
3:49,252,Foul on Zac Seljaas.,42,59
3:49,252,Official TV Timeout,42,59
3:35,252,Foul on Yoeli Childs.,42,59
3:35,2501,Malcolm Porter missed Free Throw.,42,59
3:35,252,Elijah Bryant Defensive Rebound.,42,59
3:09,2501,Foul on Josh McSwiggan.,42,59
3:09,252,Yoeli Childs made Free Throw.,42,60
3:09,252,Yoeli Childs missed Free Throw.,42,60
3:09,2501,Philipp Hartwich Defensive Rebound.,42,60
2:48,2501,Rashad Jackson missed Jumper.,42,60
2:48,252,McKay Cannon Defensive Rebound.,42,60
2:30,2501,Foul on Philipp Hartwich.,42,60
2:30,252,Yoeli Childs made Free Throw.,42,61
2:30,252,Yoeli Childs made Free Throw.,42,62
2:06,2501,Rashad Jackson missed Three Point Jumper.,42,62
2:06,252,Elijah Bryant Defensive Rebound.,42,62
1:52,252,TJ Haws missed Jumper.,42,62
1:52,2501,D'Marques Tyson Defensive Rebound.,42,62
1:45,2501,Malcolm Porter made Layup.,44,62
1:25,2501,Foul on Marcus Shaver Jr..,44,62
1:25,252,TJ Haws made Free Throw.,44,63
1:25,252,TJ Haws made Free Throw.,44,64
1:19,2501,D'Marques Tyson missed Three Point Jumper.,44,64
1:19,252,McKay Cannon Defensive Rebound.,44,64
1:17,2501,Foul on Rashad Jackson.,44,64
1:17,252,McKay Cannon made Free Throw.,44,65
1:17,252,McKay Cannon made Free Throw.,44,66
1:08,2501,D'Marques Tyson missed Three Point Jumper.,44,66
1:08,2501,Portland Offensive Rebound.,44,66
0:59,2501,Rashad Jackson missed Three Point Jumper.,44,66
0:59,2501,Tahirou Diabate Offensive Rebound.,44,66
0:51,2501,Rashad Jackson missed Jumper.,44,66
0:51,252,McKay Cannon Defensive Rebound.,44,66
0:24,252,McKay Cannon made Three Point Jumper. Assisted by Evan Troy.,44,69
0:14,252,Foul on Braiden Shaw.,44,69
0:14,2501,Malcolm Porter missed Free Throw.,44,69
0:14,2501,Portland Deadball Team Rebound.,44,69
0:14,2501,Malcolm Porter made Free Throw.,45,69
0:00,252,End of Game,45,69
