Bradley,2181,Drake,71
13:49,2181,Noah Thomas Steal.,44,43
13:46,2181,Reed Timmer missed Layup.,44,43
13:46,2181,Ore Arogundade Offensive Rebound.,44,43
13:43,2181,Graham Woodward made Three Point Jumper. Assisted by Ore Arogundade.,44,46
13:25,71,Elijah Childs missed Jumper.,44,46
13:25,71,Donte Thomas Offensive Rebound.,44,46
13:20,71,Elijah Childs made Layup. Assisted by Donte Thomas.,46,46
12:52,2181,Reed Timmer Turnover.,46,46
12:51,71,Ryan Stipanovich Steal.,46,46
12:43,2181,Foul on Casey Schlatter.,46,46
12:43,71,Ryan Stipanovich made Free Throw.,47,46
12:43,71,Ryan Stipanovich made Free Throw.,48,46
12:20,2181,Casey Schlatter made Layup. Assisted by Noah Thomas.,48,48
12:05,71,Nate Kennell missed Three Point Jumper.,48,48
12:05,71,Elijah Childs Offensive Rebound.,48,48
12:02,71,Elijah Childs Turnover.,48,48
11:34,2181,Casey Schlatter Turnover.,48,48
11:34,2181,Official TV Timeout,48,48
11:14,71,Ryan Stipanovich missed Three Point Jumper.,48,48
11:14,2181,Casey Schlatter Defensive Rebound.,48,48
10:48,2181,Graham Woodward made Layup.,48,50
10:37,71,Donte Thomas Turnover.,48,50
10:37,71,Foul on Donte Thomas.,48,50
10:14,2181,De'Antae McMurray missed Jumper.,48,50
10:14,2181,Nick McGlynn Offensive Rebound.,48,50
10:11,2181,Nick McGlynn made Two Point Tip Shot.,48,52
10:05,71,Bradley  Timeout,48,52
10:05,2181,Official TV Timeout,48,52
9:51,71,Darrell Brown Turnover.,48,52
9:50,2181,C.J. Rivers Steal.,48,52
9:47,2181,Jalen Gibbs missed Layup.,48,52
9:47,71,Elijah Childs Block.,48,52
9:45,2181,De'Antae McMurray Offensive Rebound.,48,52
9:34,2181,Nick McGlynn made Jumper.,48,54
9:15,71,Nate Kennell missed Three Point Jumper.,48,54
9:15,2181,Graham Woodward Defensive Rebound.,48,54
9:11,2181,C.J. Rivers missed Layup.,48,54
9:11,71,Elijah Childs Block.,48,54
9:10,71,Elijah Childs Defensive Rebound.,48,54
9:02,71,Dwayne Lautier-Ogunleye missed Three Point Jumper.,48,54
9:02,2181,De'Antae McMurray Defensive Rebound.,48,54
8:55,2181,De'Antae McMurray missed Jumper.,48,54
8:55,2181,Graham Woodward Offensive Rebound.,48,54
8:41,2181,Nick McGlynn missed Jumper.,48,54
8:41,71,Dwayne Lautier-Ogunleye Defensive Rebound.,48,54
8:20,2181,Foul on C.J. Rivers.,48,54
8:20,71,Koch Bar made Free Throw.,49,54
8:20,71,Koch Bar made Free Throw.,50,54
8:00,2181,Official TV Timeout,50,54
8:00,2181,C.J. Rivers Turnover.,50,54
8:00,2181,Official TV Timeout,50,54
7:40,71,Nate Kennell made Layup.,52,54
7:16,2181,De'Antae McMurray missed Jumper.,52,54
7:16,71,Dwayne Lautier-Ogunleye Defensive Rebound.,52,54
6:49,71,Koch Bar missed Layup.,52,54
6:49,2181,C.J. Rivers Block.,52,54
6:47,71,Luuk van Bree Offensive Rebound.,52,54
6:45,71,Luuk van Bree made Jumper.,54,54
6:23,2181,Nick McGlynn missed Jumper.,54,54
6:23,2181,Ore Arogundade Offensive Rebound.,54,54
6:19,2181,Ore Arogundade missed Layup.,54,54
6:19,71,Jayden Hodgson Defensive Rebound.,54,54
6:16,2181,Foul on Ore Arogundade.,54,54
6:11,71,Nate Kennell Turnover.,54,54
5:52,2181,Casey Schlatter Turnover.,54,54
5:35,71,Koch Bar made Jumper.,56,54
5:10,2181,De'Antae McMurray Turnover.,56,54
5:09,71,Koch Bar Steal.,56,54
4:58,71,Dwayne Lautier-Ogunleye missed Layup.,56,54
4:58,2181,Casey Schlatter Block.,56,54
4:56,2181,De'Antae McMurray Defensive Rebound.,56,54
4:43,2181,Graham Woodward made Jumper.,56,56
4:15,2181,Foul on Ore Arogundade.,56,56
4:09,2181,Foul on Graham Woodward.,56,56
4:09,71,Darrell Brown made Free Throw.,57,56
4:09,71,Darrell Brown made Free Throw.,58,56
3:53,71,Foul on Donte Thomas.,58,56
3:53,2181,Official TV Timeout,58,56
3:53,2181,Casey Schlatter made Free Throw.,58,57
3:53,2181,Casey Schlatter made Free Throw.,58,58
3:35,71,Darrell Brown Turnover.,58,58
3:09,2181,Ore Arogundade missed Three Point Jumper.,58,58
3:09,71,Donte Thomas Defensive Rebound.,58,58
2:55,71,Darrell Brown made Jumper.,60,58
2:37,2181,Graham Woodward made Three Point Jumper. Assisted by Reed Timmer.,60,61
2:23,71,Nate Kennell missed Jumper.,60,61
2:23,2181,Graham Woodward Defensive Rebound.,60,61
2:14,2181,Ore Arogundade made Three Point Jumper. Assisted by De'Antae McMurray.,60,64
2:11,71,Bradley  Timeout,60,64
2:07,2181,Foul on Graham Woodward.,60,64
2:07,71,Darrell Brown made Free Throw.,61,64
2:07,71,Darrell Brown made Free Throw.,62,64
1:56,71,Foul on Dwayne Lautier-Ogunleye.,62,64
1:56,2181,Nick McGlynn missed Free Throw.,62,64
1:56,2181,Drake Deadball Team Rebound.,62,64
1:56,2181,Nick McGlynn missed Free Throw.,62,64
1:56,71,Dwayne Lautier-Ogunleye Defensive Rebound.,62,64
1:38,71,Jayden Hodgson missed Three Point Jumper.,62,64
1:38,71,Elijah Childs Offensive Rebound.,62,64
1:06,71,Koch Bar missed Jumper.,62,64
1:06,2181,Ore Arogundade Defensive Rebound.,62,64
0:55,2181,Drake  Timeout,62,64
0:40,2181,Nick McGlynn Turnover.,62,64
0:27,71,Darrell Brown missed Jumper.,62,64
0:27,2181,Reed Timmer Defensive Rebound.,62,64
0:17,71,Foul on Elijah Childs.,62,64
0:17,2181,Graham Woodward missed Free Throw.,62,64
0:17,71,Elijah Childs Defensive Rebound.,62,64
0:11,71,Nate Kennell missed Three Point Jumper.,62,64
0:11,2181,Nick McGlynn Defensive Rebound.,62,64
0:07,71,Foul on Elijah Childs.,62,64
0:07,2181,Nick McGlynn made Free Throw.,62,65
0:07,71,Bradley  Timeout,62,65
0:07,2181,Nick McGlynn made Free Throw.,62,66
0:04,71,Jayden Hodgson missed Three Point Jumper.,62,66
0:01,71,Luuk van Bree Offensive Rebound.,62,66
0:01,71,Luuk van Bree made Layup.,64,66
0:00,2181,End of Game,64,66
