South Dakota,2628,TCU,233
14:51,233,Triston Simpson Defensive Rebound.,11,5
14:25,233,Tyler Hagedorn missed Jumper.,11,5
14:25,2628,Desmond Bane Defensive Rebound.,11,5
14:18,2628,Vladimir Brodziansky made Dunk. Assisted by Desmond Bane.,11,7
14:00,233,Tyler Hagedorn made Layup. Assisted by Carlton Hurst.,13,7
13:45,233,Foul on Trey Burch-Manning.,13,7
13:36,2628,Kouat Noi Turnover.,13,7
13:27,233,Triston Simpson missed Three Point Jumper.,13,7
13:27,2628,Ahmed Hamdy-Mohamed Defensive Rebound.,13,7
13:18,2628,Kouat Noi made Three Point Jumper. Assisted by Kenrich Williams.,13,10
13:01,233,Matt Mooney missed Jumper.,13,10
13:01,2628,Ahmed Hamdy-Mohamed Defensive Rebound.,13,10
12:52,2628,Kouat Noi made Layup. Assisted by Ahmed Hamdy-Mohamed.,13,12
12:34,233,Matt Mooney made Layup. Assisted by Triston Simpson.,15,12
12:25,2628,Desmond Bane made Layup. Assisted by Jaylen Fisher.,15,14
12:09,2628,Foul on Desmond Bane.,15,14
12:09,233,Tyler Hagedorn made Free Throw.,16,14
12:09,233,Tyler Hagedorn made Free Throw.,17,14
11:54,2628,Kouat Noi made Three Point Jumper. Assisted by Jaylen Fisher.,17,17
11:22,233,Carlton Hurst made Layup. Assisted by Tyler Peterson.,19,17
11:10,2628,Ahmed Hamdy-Mohamed made Jumper. Assisted by Jaylen Fisher.,19,19
10:47,233,Dan Jech Turnover.,19,19
10:46,2628,Jaylen Fisher Steal.,19,19
10:44,2628,Jaylen Fisher missed Layup.,19,19
10:44,233,Triston Simpson Block.,19,19
10:43,2628,TCU Offensive Rebound.,19,19
10:43,2628,Official TV Timeout,19,19
10:30,2628,Kouat Noi missed Three Point Jumper.,19,19
10:30,233,Tyler Peterson Defensive Rebound.,19,19
10:17,233,Tyler Peterson missed Three Point Jumper.,19,19
10:17,233,Joshua Doss Offensive Rebound.,19,19
10:05,233,Dan Jech missed Three Point Jumper.,19,19
10:05,2628,Kenrich Williams Defensive Rebound.,19,19
9:39,233,Foul on Dan Jech.,19,19
9:39,2628,Alex Robinson made Free Throw.,19,20
9:39,2628,Alex Robinson made Free Throw.,19,21
9:16,233,Tyler Hagedorn made Jumper. Assisted by Tyler Peterson.,21,21
8:42,2628,Jaylen Fisher missed Three Point Jumper.,21,21
8:42,2628,TCU Deadball Team Rebound.,21,21
8:38,2628,TCU  Turnover.,21,21
8:27,233,Matt Mooney Turnover.,21,21
8:12,2628,JD Miller Turnover.,21,21
8:07,233,Tyler Hagedorn made Three Point Jumper. Assisted by Triston Simpson.,24,21
7:53,2628,Kenrich Williams missed Jumper.,24,21
7:53,233,Triston Simpson Defensive Rebound.,24,21
7:48,233,Triston Simpson Turnover.,24,21
7:47,2628,Kenrich Williams Steal.,24,21
7:44,2628,Kenrich Williams missed Layup.,24,21
7:44,233,Tyler Hagedorn Block.,24,21
7:43,2628,Kenrich Williams Offensive Rebound.,24,21
7:41,2628,Kenrich Williams made Layup.,24,23
7:12,233,Tyler Hagedorn missed Jumper.,24,23
7:12,2628,JD Miller Defensive Rebound.,24,23
7:05,2628,Desmond Bane made Three Point Jumper. Assisted by Kenrich Williams.,24,26
6:41,2628,Official TV Timeout,24,26
6:27,233,Matt Mooney missed Jumper.,24,26
6:27,2628,Alex Robinson Defensive Rebound.,24,26
6:20,2628,Jaylen Fisher made Layup. Assisted by Alex Robinson.,24,28
6:08,233,Triston Simpson Turnover.,24,28
6:08,2628,Jaylen Fisher Steal.,24,28
5:58,2628,Alex Robinson missed Jumper.,24,28
5:58,233,Carlton Hurst Defensive Rebound.,24,28
5:46,233,Triston Simpson made Layup.,26,28
5:17,2628,Jaylen Fisher missed Three Point Jumper.,26,28
5:17,233,Carlton Hurst Defensive Rebound.,26,28
4:47,233,Matt Mooney made Jumper.,28,28
4:32,2628,Jaylen Fisher made Layup.,28,30
4:05,233,Triston Simpson made Layup.,30,30
3:46,2628,Kouat Noi made Layup.,30,32
3:26,233,Nick Fuller missed Jumper.,30,32
3:26,2628,Kenrich Williams Defensive Rebound.,30,32
3:17,2628,Kouat Noi Turnover.,30,32
3:16,233,Triston Simpson Steal.,30,32
3:11,233,Triston Simpson missed Three Point Jumper.,30,32
3:11,2628,Alex Robinson Block.,30,32
3:08,2628,Kouat Noi Defensive Rebound.,30,32
3:04,2628,Jaylen Fisher missed Layup.,30,32
3:04,233,Carlton Hurst Block.,30,32
3:01,2628,Alex Robinson Offensive Rebound.,30,32
3:01,2628,Alex Robinson missed Two Point Tip Shot.,30,32
3:01,2628,TCU Offensive Rebound.,30,32
3:01,233,Foul on Nick Fuller.,30,32
3:01,2628,Official TV Timeout,30,32
2:48,2628,JD Miller made Jumper.,30,34
2:30,233,Tyler Hagedorn missed Jumper.,30,34
2:30,2628,JD Miller Defensive Rebound.,30,34
2:06,2628,Alex Robinson made Three Point Jumper. Assisted by Jaylen Fisher.,30,37
1:52,233,Tyler Hagedorn missed Three Point Jumper.,30,37
1:52,233,Trey Burch-Manning Offensive Rebound.,30,37
1:36,233,Brandon Armstrong made Three Point Jumper. Assisted by Trey Burch-Manning.,33,37
1:22,2628,JD Miller made Three Point Jumper. Assisted by Desmond Bane.,33,40
1:08,233,Matt Mooney missed Layup.,33,40
1:08,2628,JD Miller Defensive Rebound.,33,40
1:02,2628,Jaylen Fisher missed Three Point Jumper.,33,40
1:02,2628,Ahmed Hamdy-Mohamed Offensive Rebound.,33,40
0:57,233,Foul on Tyler Hagedorn.,33,40
0:48,2628,Vladimir Brodziansky made Layup. Assisted by Alex Robinson.,33,42
0:41,233,South Dakota  Timeout,33,42
0:14,233,Matt Mooney Turnover.,33,42
0:13,2628,Kenrich Williams Steal.,33,42
0:02,2628,Kenrich Williams missed Three Point Jumper.,33,42
0:02,2628,TCU Deadball Team Rebound.,33,42
0:00,2628,End of 1st half,33,42
19:41,233,Tyler Hagedorn missed Layup.,33,42
19:41,2628,Alex Robinson Defensive Rebound.,33,42
19:33,2628,Kenrich Williams Turnover.,33,42
19:32,233,Carlton Hurst Steal.,33,42
19:28,2628,Foul on Kenrich Williams.,33,42
19:28,233,Carlton Hurst made Free Throw.,34,42
19:28,233,Carlton Hurst missed Free Throw.,34,42
19:28,2628,Kenrich Williams Defensive Rebound.,34,42
19:09,2628,JD Miller missed Three Point Jumper.,34,42
19:09,233,Trey Burch-Manning Defensive Rebound.,34,42
18:59,233,Trey Burch-Manning Turnover.,34,42
18:48,2628,Vladimir Brodziansky made Three Point Jumper. Assisted by Kenrich Williams.,34,45
18:25,233,Tyler Hagedorn missed Layup.,34,45
18:25,2628,Vladimir Brodziansky Block.,34,45
18:22,2628,JD Miller Defensive Rebound.,34,45
18:16,2628,Kenrich Williams Turnover.,34,45
18:14,233,Trey Burch-Manning Steal.,34,45
18:09,233,Matt Mooney missed Three Point Jumper.,34,45
18:09,2628,JD Miller Defensive Rebound.,34,45
17:55,2628,Desmond Bane Turnover.,34,45
17:53,233,Carlton Hurst Steal.,34,45
17:51,233,Matt Mooney made Three Point Jumper. Assisted by Carlton Hurst.,37,45
17:47,2628,TCU  Timeout,37,45
17:24,2628,Vladimir Brodziansky missed Jumper.,37,45
17:24,2628,Kenrich Williams Offensive Rebound.,37,45
17:19,2628,Jaylen Fisher Turnover.,37,45
17:18,233,Matt Mooney Steal.,37,45
17:14,233,Matt Mooney Turnover.,37,45
17:09,2628,Official TV Timeout,43,47
17:00,2628,Alex Robinson made Layup.,37,47
16:56,233,Matt Mooney made Three Point Jumper.,40,47
16:35,2628,Alex Robinson missed Layup.,40,47
16:35,233,Tyler Hagedorn Defensive Rebound.,40,47
16:15,233,Matt Mooney made Three Point Jumper. Assisted by Tyler Hagedorn.,43,47
15:56,2628,Alex Robinson missed Layup.,43,47
15:55,233,Tyler Hagedorn Block.,43,47
15:54,233,South Dakota Defensive Rebound.,43,47
15:54,2628,Official TV Timeout,43,47
15:39,233,Triston Simpson missed Jumper.,43,47
15:39,2628,Kenrich Williams Defensive Rebound.,43,47
15:24,2628,Kenrich Williams missed Three Point Jumper.,43,47
15:24,233,Trey Burch-Manning Defensive Rebound.,43,47
15:09,2628,Foul on Kouat Noi.,43,47
15:09,233,Tyler Hagedorn made Free Throw.,44,47
15:09,233,Tyler Hagedorn missed Free Throw.,44,47
15:09,2628,Kenrich Williams Defensive Rebound.,44,47
14:46,2628,Vladimir Brodziansky made Jumper. Assisted by Kouat Noi.,44,49
14:38,233,Triston Simpson missed Jumper.,44,49
14:38,2628,Vladimir Brodziansky Defensive Rebound.,44,49
14:16,2628,Desmond Bane made Three Point Jumper. Assisted by Vladimir Brodziansky.,44,52
14:04,233,South Dakota  Timeout,44,52
13:55,233,Tyler Hagedorn made Jumper.,46,52
13:40,2628,Kouat Noi missed Three Point Jumper.,46,52
13:40,233,Matt Mooney Defensive Rebound.,46,52
13:30,233,Triston Simpson missed Three Point Jumper.,46,52
13:30,2628,Desmond Bane Defensive Rebound.,46,52
13:22,2628,Jaylen Fisher Turnover.,46,52
13:15,233,Matt Mooney missed Three Point Jumper.,46,52
13:15,233,Tyler Hagedorn Offensive Rebound.,46,52
13:05,233,Trey Burch-Manning made Jumper. Assisted by Matt Mooney.,48,52
12:52,233,Foul on Tyler Peterson.,48,52
12:37,233,Foul on Trey Burch-Manning.,48,52
12:20,2628,Ahmed Hamdy-Mohamed missed Jumper.,48,52
12:20,233,Matt Mooney Defensive Rebound.,48,52
12:08,233,Matt Mooney Turnover.,48,52
12:07,2628,Desmond Bane Steal.,48,52
12:03,2628,Jaylen Fisher made Three Point Jumper. Assisted by Desmond Bane.,48,55
11:39,2628,Foul on Jaylen Fisher.,48,55
11:39,2628,Official TV Timeout,48,55
11:34,2628,Foul on JD Miller.,48,55
11:23,233,Tyler Hagedorn missed Three Point Jumper.,48,55
11:23,2628,Vladimir Brodziansky Defensive Rebound.,48,55
11:04,233,Foul on Trey Burch-Manning.,48,55
11:04,2628,Vladimir Brodziansky made Free Throw.,48,56
11:04,2628,Vladimir Brodziansky made Free Throw.,48,57
11:04,2628,Vladimir Brodziansky missed Free Throw.,48,57
11:04,233,Matt Mooney Defensive Rebound.,48,57
10:54,233,Nick Fuller made Layup. Assisted by Matt Mooney.,50,57
10:30,2628,Vladimir Brodziansky made Dunk. Assisted by Desmond Bane.,50,59
10:09,233,Matt Mooney Turnover.,50,59
10:09,2628,Desmond Bane Steal.,50,59
10:01,233,Foul on Triston Simpson.,50,59
9:50,2628,JD Miller missed Jumper.,50,59
9:50,233,Nick Fuller Defensive Rebound.,50,59
9:42,233,Matt Mooney made Jumper. Assisted by Triston Simpson.,52,59
9:28,233,Foul on Triston Simpson.,52,59
9:19,2628,Alex Robinson Turnover.,52,59
9:07,233,Tyler Hagedorn made Three Point Jumper. Assisted by Nick Fuller.,55,59
8:40,2628,Vladimir Brodziansky Turnover.,55,59
8:21,233,Tyler Hagedorn made Three Point Jumper. Assisted by Matt Mooney.,58,59
7:57,2628,Kenrich Williams made Three Point Jumper. Assisted by Alex Robinson.,58,62
7:39,233,Tyler Hagedorn missed Layup.,58,62
7:39,2628,TCU Defensive Rebound.,58,62
7:36,2628,Official TV Timeout,58,62
7:24,233,Foul on Nick Fuller.,58,62
7:24,2628,Kenrich Williams made Free Throw.,58,63
7:24,2628,Kenrich Williams made Free Throw.,58,64
7:14,2628,Foul on Kenrich Williams.,58,64
7:14,233,Matt Mooney made Free Throw.,59,64
7:14,233,Matt Mooney made Free Throw.,60,64
6:57,2628,Vladimir Brodziansky made Layup.,60,66
6:42,233,Tyler Hagedorn made Layup.,62,66
6:26,2628,Alex Robinson missed Layup.,62,66
6:26,233,Tyler Hagedorn Block.,62,66
6:25,233,Tyler Hagedorn Defensive Rebound.,62,66
6:19,233,Matt Mooney missed Three Point Jumper.,62,66
6:19,2628,Kouat Noi Defensive Rebound.,62,66
6:08,2628,Desmond Bane missed Layup.,62,66
6:08,233,Brandon Armstrong Defensive Rebound.,62,66
6:00,233,Triston Simpson Turnover.,62,66
5:59,2628,Kenrich Williams Steal.,62,66
5:50,2628,Vladimir Brodziansky missed Three Point Jumper.,62,66
5:50,2628,Kenrich Williams Offensive Rebound.,62,66
5:30,2628,Vladimir Brodziansky missed Layup.,62,66
5:30,233,Triston Simpson Defensive Rebound.,62,66
5:23,233,Matt Mooney Turnover.,62,66
5:23,2628,Kenrich Williams Steal.,62,66
5:12,2628,JD Miller Turnover.,62,66
5:11,233,Triston Simpson Steal.,62,66
5:08,233,Triston Simpson made Layup.,64,66
4:52,233,Foul on Trey Burch-Manning.,64,66
4:52,2628,Vladimir Brodziansky made Free Throw.,64,67
4:52,2628,Vladimir Brodziansky made Free Throw.,64,68
4:37,233,Matt Mooney made Jumper.,66,68
4:07,2628,Alex Robinson missed Jumper.,66,68
4:07,233,Nick Fuller Defensive Rebound.,66,68
3:56,233,Triston Simpson missed Three Point Jumper.,66,68
3:56,2628,TCU Deadball Team Rebound.,66,68
3:52,2628,Official TV Timeout,66,68
3:24,2628,Kenrich Williams missed Jumper.,66,68
3:24,233,South Dakota Deadball Team Rebound.,66,68
3:21,2628,Foul on Kouat Noi.,66,68
3:07,233,Matt Mooney made Jumper.,68,68
2:53,2628,Kouat Noi made Layup. Assisted by Vladimir Brodziansky.,68,70
2:50,2628,TCU  Timeout,68,70
2:22,233,Triston Simpson missed Layup.,68,70
2:22,2628,Alex Robinson Block.,68,70
2:20,2628,Vladimir Brodziansky Defensive Rebound.,68,70
2:09,2628,Vladimir Brodziansky missed Three Point Jumper.,68,70
2:09,2628,Kouat Noi Offensive Rebound.,68,70
1:38,233,Foul on Tyler Hagedorn.,68,70
1:38,2628,Vladimir Brodziansky made Free Throw.,68,71
1:38,2628,Vladimir Brodziansky made Free Throw.,68,72
1:25,233,Matt Mooney missed Three Point Jumper.,68,72
1:25,2628,Kouat Noi Defensive Rebound.,68,72
0:52,2628,Vladimir Brodziansky missed Three Point Jumper.,68,72
0:52,233,Tyler Hagedorn Defensive Rebound.,68,72
0:41,233,Matt Mooney made Layup. Assisted by Triston Simpson.,70,72
0:41,2628,Foul on Kouat Noi.,70,72
0:41,233,Matt Mooney made Free Throw.,71,72
0:23,2628,Vladimir Brodziansky made Layup.,71,74
0:23,2628,TCU  Timeout,71,74
0:17,233,Matt Mooney missed Three Point Jumper.,71,74
0:17,2628,Kouat Noi Defensive Rebound.,71,74
0:13,233,Foul on Tyler Hagedorn.,71,74
0:13,2628,Kouat Noi made Free Throw.,71,75
0:13,2628,Kouat Noi made Free Throw.,71,76
0:08,233,Matt Mooney missed Three Point Jumper.,71,76
0:08,233,Triston Simpson Offensive Rebound.,71,76
0:04,233,Tyler Hagedorn missed Layup.,71,76
0:04,2628,Vladimir Brodziansky Block.,71,76
0:02,2628,Kouat Noi Defensive Rebound.,71,76
0:00,2628,End of Game,71,76
