Bucknell,153,North Carolina,2083
8:43,153,Theo Pinson made Free Throw.,20,28
8:43,153,Theo Pinson made Free Throw.,20,29
8:25,2083,Nana Foulland made Dunk.,22,29
8:10,153,Luke Maye made Three Point Jumper. Assisted by Joel Berry II.,22,32
7:55,2083,Nana Foulland missed Three Point Jumper.,22,32
7:55,153,Sterling Manley Block.,22,32
7:55,153,Theo Pinson Defensive Rebound.,22,32
7:48,153,Kenny Williams missed Jumper.,22,32
7:48,2083,Nana Foulland Block.,22,32
7:48,2083,Avi Toomer Defensive Rebound.,22,32
7:38,2083,Zach Thomas made Jumper.,24,32
7:28,2083,Foul on Avi Toomer.,24,32
7:28,153,Official TV Timeout,24,32
7:28,153,Luke Maye missed Free Throw.,24,32
7:28,153,North Carolina Deadball Team Rebound.,24,32
7:28,153,Luke Maye made Free Throw.,24,33
7:08,2083,Zach Thomas missed Three Point Jumper.,24,33
7:08,153,Sterling Manley Defensive Rebound.,24,33
7:01,153,Theo Pinson Turnover.,24,33
7:01,2083,Kimbal Mackenzie Steal.,24,33
6:35,2083,Kimbal Mackenzie missed Three Point Jumper.,24,33
6:35,153,North Carolina Defensive Rebound.,24,33
6:22,2083,Foul on Nate Sestina.,24,33
6:22,153,Joel Berry II made Free Throw.,24,34
6:22,153,Joel Berry II made Free Throw.,24,35
6:05,2083,Jimmy Sotos made Three Point Jumper. Assisted by Nana Foulland.,27,35
5:51,153,Garrison Brooks made Layup. Assisted by Joel Berry II.,27,37
5:36,153,Foul on Theo Pinson.,27,37
5:30,2083,Stephen Brown Turnover.,27,37
5:30,153,Joel Berry II Steal.,27,37
5:22,153,Theo Pinson made Layup. Assisted by Joel Berry II.,27,39
5:18,153,Foul on Garrison Brooks.,27,39
5:18,2083,Avi Toomer missed Free Throw.,27,39
5:18,2083,Bucknell Deadball Team Rebound.,27,39
5:18,2083,Avi Toomer missed Free Throw.,27,39
5:18,153,Joel Berry II Defensive Rebound.,27,39
5:09,153,Brandon Huffman made Dunk. Assisted by Luke Maye.,27,41
5:08,2083,Bucknell  Timeout,27,41
5:02,153,Foul on Joel Berry II.,27,41
5:02,2083,Stephen Brown missed Free Throw.,27,41
5:02,153,Brandon Huffman Defensive Rebound.,27,41
4:55,153,Theo Pinson missed Jumper.,27,41
4:55,2083,Stephen Brown Defensive Rebound.,27,41
4:33,2083,Nana Foulland missed Jumper.,27,41
4:33,153,Brandon Huffman Block.,27,41
4:33,153,Theo Pinson Defensive Rebound.,27,41
4:26,153,Theo Pinson made Layup.,27,43
4:12,2083,Stephen Brown missed Three Point Jumper.,27,43
4:12,2083,Zach Thomas Offensive Rebound.,27,43
4:06,2083,Zach Thomas made Jumper.,29,43
3:49,153,Luke Maye missed Jumper.,29,43
3:49,2083,Nana Foulland Defensive Rebound.,29,43
3:42,2083,Avi Toomer made Three Point Jumper. Assisted by Stephen Brown.,32,43
3:18,153,Andrew Platek missed Layup.,32,43
3:18,153,Brandon Huffman Offensive Rebound.,32,43
3:18,153,Brandon Huffman made Dunk.,32,45
3:05,153,Foul on Brandon Huffman.,32,45
3:05,153,Official TV Timeout,32,45
3:05,2083,Nana Foulland made Free Throw.,33,45
3:05,2083,Nana Foulland made Free Throw.,34,45
2:51,153,Kenny Williams made Three Point Jumper. Assisted by Jalek Felton.,34,48
2:37,2083,Stephen Brown made Jumper.,36,48
2:17,153,Jalek Felton missed Three Point Jumper.,36,48
2:17,2083,Nate Sestina Defensive Rebound.,36,48
2:08,2083,Kimbal Mackenzie made Three Point Jumper. Assisted by Nate Sestina.,39,48
1:50,153,Sterling Manley made Layup. Assisted by Kenny Williams.,39,50
1:41,2083,Stephen Brown missed Three Point Jumper.,39,50
1:41,153,Sterling Manley Defensive Rebound.,39,50
1:31,153,Sterling Manley Turnover.,39,50
1:31,2083,Nate Sestina Steal.,39,50
1:23,2083,Avi Toomer missed Three Point Jumper.,39,50
1:23,153,Sterling Manley Defensive Rebound.,39,50
1:18,153,Kenny Williams Turnover.,39,50
1:09,2083,Foul on Nana Foulland.,39,50
1:09,2083,Nana Foulland Turnover.,39,50
0:48,153,Sterling Manley Turnover.,39,50
0:38,2083,Stephen Brown made Layup.,41,50
0:17,153,Foul on Theo Pinson.,41,50
0:17,153,Theo Pinson Turnover.,41,50
0:01,2083,Zach Thomas missed Jumper.,41,50
0:01,153,Kenny Williams Block.,41,50
0:01,153,Andrew Platek Defensive Rebound.,41,50
0:00,153,End of 1st half,41,50
20:00,153,Jump Ball won by North Carolina,41,50
19:44,153,Theo Pinson missed Three Point Jumper.,41,50
19:44,153,Garrison Brooks Offensive Rebound.,41,50
19:34,153,Joel Berry II missed Jumper.,41,50
19:34,2083,Bucknell Defensive Rebound.,41,50
19:06,2083,Avi Toomer made Three Point Jumper. Assisted by Zach Thomas.,44,50
18:50,153,Garrison Brooks made Jumper.,44,52
18:35,2083,Nana Foulland made Jumper.,46,52
18:14,153,Joel Berry II missed Jumper.,46,52
18:14,2083,Nana Foulland Defensive Rebound.,46,52
17:55,2083,Stephen Brown missed Three Point Jumper.,46,52
17:55,153,Luke Maye Defensive Rebound.,46,52
17:36,153,Joel Berry II missed Jumper.,46,52
17:36,2083,Zach Thomas Block.,46,52
17:36,153,Joel Berry II Offensive Rebound.,46,52
17:35,2083,Foul on Avi Toomer.,46,52
17:28,153,Sterling Manley made Jumper. Assisted by Joel Berry II.,46,54
17:10,2083,Nana Foulland Turnover.,46,54
16:54,153,Luke Maye missed Jumper.,46,54
16:54,153,Sterling Manley Offensive Rebound.,46,54
16:48,153,Sterling Manley missed Jumper.,46,54
16:48,2083,Zach Thomas Defensive Rebound.,46,54
16:42,2083,Zach Thomas made Three Point Jumper. Assisted by Stephen Brown.,49,54
16:34,2083,Foul on Stephen Brown.,49,54
16:25,153,Luke Maye missed Jumper.,49,54
16:25,2083,Avi Toomer Defensive Rebound.,49,54
16:16,2083,Zach Thomas missed Three Point Jumper.,49,54
16:16,153,Theo Pinson Defensive Rebound.,49,54
16:10,2083,Foul on Stephen Brown.,49,54
16:04,2083,Foul on Kimbal Mackenzie.,49,54
16:04,153,Garrison Brooks made Free Throw.,49,55
16:04,153,Garrison Brooks made Free Throw.,49,56
15:49,153,Official TV Timeout,49,56
15:41,153,Foul on Garrison Brooks.,49,56
15:41,2083,Zach Thomas made Free Throw.,50,56
15:41,2083,Zach Thomas made Free Throw.,51,56
15:28,153,Foul on Kenny Williams.,51,56
15:28,153,Kenny Williams Turnover.,51,56
15:07,2083,Zach Thomas missed Jumper.,51,56
15:07,153,Luke Maye Defensive Rebound.,51,56
14:58,2083,Foul on Kimbal Mackenzie.,51,56
14:48,2083,Foul on Jimmy Sotos.,51,56
14:40,153,Luke Maye missed Three Point Jumper.,51,56
14:40,2083,Jimmy Sotos Defensive Rebound.,51,56
14:27,2083,Nana Foulland made Layup.,53,56
14:16,2083,Foul on Jimmy Sotos.,53,56
14:16,153,Joel Berry II made Free Throw.,53,57
14:16,153,Joel Berry II missed Free Throw.,53,57
14:16,2083,Nate Sestina Defensive Rebound.,53,57
13:57,2083,Nana Foulland Turnover.,53,57
13:57,153,Luke Maye Steal.,53,57
13:50,153,Theo Pinson made Layup.,53,59
13:35,2083,Nate Sestina made Three Point Jumper. Assisted by Stephen Brown.,56,59
13:22,153,Joel Berry II missed Three Point Jumper.,56,59
13:22,2083,Bucknell Deadball Team Rebound.,56,59
13:20,153,Foul on Luke Maye.,56,59
13:05,2083,Jimmy Sotos missed Three Point Jumper.,56,59
13:05,153,Jalek Felton Defensive Rebound.,56,59
12:58,153,Jalek Felton Turnover.,56,59
12:46,153,Foul on Kenny Williams.,56,59
12:40,2083,Nana Foulland made Jumper. Assisted by Stephen Brown.,58,59
12:21,153,Kenny Williams missed Three Point Jumper.,58,59
12:21,2083,Zach Thomas Defensive Rebound.,58,59
12:13,2083,Stephen Brown missed Jumper.,58,59
12:13,153,Sterling Manley Defensive Rebound.,58,59
12:03,2083,Foul on Stephen Brown.,58,59
12:03,153,Luke Maye made Free Throw.,58,60
12:03,153,Luke Maye made Free Throw.,58,61
11:47,2083,Nana Foulland Turnover.,58,61
11:47,153,Official TV Timeout,58,61
11:36,153,Luke Maye made Three Point Jumper. Assisted by Jalek Felton.,58,64
11:17,2083,Kimbal Mackenzie missed Jumper.,58,64
11:17,2083,Bruce Moore Offensive Rebound.,58,64
11:07,153,Foul on Kenny Williams.,58,64
10:53,2083,Bruce Moore made Dunk. Assisted by Zach Thomas.,60,64
10:26,153,Sterling Manley made Jumper. Assisted by Andrew Platek.,60,66
10:26,2083,Foul on Nana Foulland.,60,66
10:26,153,Sterling Manley made Free Throw.,60,67
10:09,2083,Nana Foulland missed Layup.,60,67
10:09,153,Seventh Woods Defensive Rebound.,60,67
10:04,153,Seventh Woods Turnover.,60,67
9:48,2083,Nana Foulland made Jumper. Assisted by Kimbal Mackenzie.,62,67
9:48,153,Foul on Garrison Brooks.,62,67
9:47,2083,Nana Foulland made Free Throw.,63,67
9:33,153,Theo Pinson made Layup.,63,69
9:24,2083,Zach Thomas missed Three Point Jumper.,63,69
9:24,153,Andrew Platek Defensive Rebound.,63,69
9:10,153,Seventh Woods missed Jumper.,63,69
9:10,2083,Nana Foulland Defensive Rebound.,63,69
8:55,2083,Foul on Zach Thomas.,63,69
8:55,2083,Zach Thomas Turnover.,63,69
8:43,2083,Foul on Avi Toomer.,63,69
8:43,153,Joel Berry II made Free Throw.,63,70
8:43,153,Joel Berry II made Free Throw.,63,71
8:27,2083,Zach Thomas missed Layup.,63,71
8:27,153,Luke Maye Block.,63,71
8:27,2083,Nate Sestina Offensive Rebound.,63,71
8:27,153,Foul on Luke Maye.,63,71
8:27,2083,Nate Sestina made Free Throw.,64,71
8:27,2083,Nate Sestina made Free Throw.,65,71
8:10,153,Luke Maye Turnover.,65,71
7:53,2083,Nate Sestina missed Jumper.,65,71
7:53,153,Seventh Woods Defensive Rebound.,65,71
7:44,153,Theo Pinson missed Jumper.,65,71
7:44,2083,Nate Sestina Defensive Rebound.,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,2083,Zach Thomas missed Free Throw.,65,71
7:28,153,Theo Pinson Defensive Rebound.,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Official TV Timeout,65,71
7:28,153,Foul on Theo Pinson.,65,71
7:28,153,Official TV Timeout,65,71
7:10,153,Luke Maye missed Jumper.,65,71
7:10,153,Andrew Platek Offensive Rebound.,65,71
6:56,153,Joel Berry II missed Jumper.,65,71
6:56,2083,Bruce Moore Block.,65,71
6:56,153,North Carolina Offensive Rebound.,65,71
6:51,153,Joel Berry II missed Three Point Jumper.,65,71
6:51,153,North Carolina Deadball Team Rebound.,65,71
6:50,2083,Foul on Kimbal Mackenzie.,65,71
6:50,153,Andrew Platek missed Free Throw.,65,71
6:50,153,North Carolina Deadball Team Rebound.,65,71
6:50,153,Andrew Platek missed Free Throw.,65,71
6:50,2083,Nate Sestina Defensive Rebound.,65,71
6:35,2083,Nate Sestina made Layup.,67,71
6:05,153,Sterling Manley missed Jumper.,67,71
6:05,2083,Nana Foulland Defensive Rebound.,67,71
5:50,2083,Nana Foulland missed Jumper.,67,71
5:50,153,Sterling Manley Block.,67,71
5:50,153,Luke Maye Defensive Rebound.,67,71
5:42,2083,Foul on Bruce Moore.,67,71
5:42,153,Theo Pinson made Free Throw.,67,72
5:42,153,Theo Pinson made Free Throw.,67,73
5:26,2083,Zach Thomas missed Three Point Jumper.,67,73
5:26,2083,Avi Toomer Offensive Rebound.,67,73
5:20,2083,Stephen Brown missed Three Point Jumper.,67,73
5:20,2083,Jimmy Sotos Offensive Rebound.,67,73
5:11,2083,Stephen Brown missed Jumper.,67,73
5:11,153,Luke Maye Defensive Rebound.,67,73
4:55,153,Sterling Manley missed Layup.,67,73
4:55,153,Sterling Manley Offensive Rebound.,67,73
4:55,153,Sterling Manley made Two Point Tip Shot. Assisted by Luke Maye.,67,75
4:48,2083,Bucknell  Timeout,67,75
4:39,2083,Foul on Kimbal Mackenzie.,67,75
4:39,2083,Kimbal Mackenzie Turnover.,67,75
4:24,153,Luke Maye made Three Point Jumper. Assisted by Kenny Williams.,67,78
4:15,153,Foul on Luke Maye.,67,78
4:15,2083,Zach Thomas missed Free Throw.,67,78
4:15,153,Sterling Manley Defensive Rebound.,67,78
4:13,2083,Foul on Nana Foulland.,67,78
4:13,153,Sterling Manley made Free Throw.,67,79
4:13,153,Sterling Manley made Free Throw.,67,80
4:02,2083,Zach Thomas made Three Point Jumper. Assisted by Stephen Brown.,70,80
3:43,2083,Foul on Avi Toomer.,70,80
3:43,153,Official TV Timeout,70,80
3:43,153,Theo Pinson made Free Throw.,70,81
3:43,153,Theo Pinson made Free Throw.,70,82
3:29,2083,Avi Toomer Turnover.,70,82
3:29,153,Kenny Williams Steal.,70,82
3:23,153,Kenny Williams Turnover.,70,82
3:23,2083,Zach Thomas Steal.,70,82
3:23,153,Foul on Luke Maye.,70,82
3:23,2083,Zach Thomas made Free Throw.,71,82
3:23,2083,Zach Thomas made Free Throw.,72,82
2:56,153,Theo Pinson missed Three Point Jumper.,72,82
2:56,153,Sterling Manley Offensive Rebound.,72,82
2:48,153,Kenny Williams made Layup.,72,84
2:27,2083,Nana Foulland made Jumper. Assisted by Zach Thomas.,74,84
2:05,153,Sterling Manley made Layup. Assisted by Theo Pinson.,74,86
2:05,2083,Stephen Brown missed Jumper.,74,86
2:05,2083,Nana Foulland Offensive Rebound.,74,86
1:52,2083,Nana Foulland made Dunk.,76,86
1:23,153,Joel Berry II missed Jumper.,76,86
1:23,2083,Nana Foulland Block.,76,86
1:23,153,Sterling Manley Offensive Rebound.,76,86
1:23,2083,Foul on Avi Toomer.,76,86
1:23,153,Sterling Manley made Free Throw.,76,87
1:23,153,Sterling Manley missed Free Throw.,76,87
1:23,2083,Zach Thomas Defensive Rebound.,76,87
1:16,2083,Stephen Brown made Jumper.,78,87
1:16,2083,Bucknell  Timeout,78,87
1:07,153,Jalek Felton made Dunk. Assisted by Joel Berry II.,78,89
0:56,2083,Stephen Brown made Three Point Jumper.,81,89
0:49,153,Kenny Williams made Layup. Assisted by Theo Pinson.,81,91
0:40,2083,Zach Thomas Turnover.,81,91
0:40,153,Theo Pinson Steal.,81,91
0:40,2083,Foul on Zach Thomas.,81,91
0:40,153,Theo Pinson made Free Throw.,81,92
0:40,153,Theo Pinson made Free Throw.,81,93
0:38,2083,Stephen Brown missed Three Point Jumper.,81,93
0:38,2083,Jimmy Sotos Offensive Rebound.,81,93
0:38,2083,Stephen Brown missed Three Point Jumper.,81,93
0:38,153,Luke Maye Defensive Rebound.,81,93
0:00,153,End of Game,81,93
