CS Fullerton,2608,Saint Mary's,2239
11:27,2239,Arkim Robertson Offensive Rebound.,43,56
11:24,2608,Foul on Jock Landale.,43,56
11:09,2239,Dwight Ramos missed Three Point Jumper.,43,56
11:09,2608,Jordan Hunter Defensive Rebound.,43,56
10:48,2608,Foul on Jordan Hunter.,43,56
10:48,2608,Jordan Hunter Turnover.,43,56
10:31,2239,Kyle Allman missed Layup.,43,56
10:31,2239,Austen Awosika Offensive Rebound.,43,56
10:25,2239,Dwight Ramos missed Three Point Jumper.,43,56
10:25,2239,Arkim Robertson Offensive Rebound.,43,56
10:04,2239,Jackson Rowe missed Dunk.,43,56
10:04,2608,Jordan Hunter Block.,43,56
10:04,2239,CSU Fullerton Offensive Rebound.,43,56
9:55,2239,Austen Awosika missed Layup.,43,56
9:55,2239,Arkim Robertson Offensive Rebound.,43,56
9:43,2239,Arkim Robertson missed Jumper.,43,56
9:43,2239,Austen Awosika Offensive Rebound.,43,56
9:42,2608,Foul on Calvin Hermanson.,43,56
9:42,2239,Austen Awosika missed Free Throw.,43,56
9:42,2239,CSU Fullerton Deadball Team Rebound.,43,56
9:42,2239,Austen Awosika made Free Throw.,44,56
9:22,2608,Foul on Jordan Hunter.,44,56
9:22,2608,Jordan Hunter Turnover.,44,56
9:06,2239,Kyle Allman missed Three Point Jumper.,44,56
9:06,2608,Calvin Hermanson Defensive Rebound.,44,56
8:54,2608,Jordan Hunter made Layup. Assisted by Emmett Naar.,44,58
8:35,2239,Austen Awosika missed Jumper.,44,58
8:35,2608,Cullen Neal Defensive Rebound.,44,58
8:27,2608,Tanner Krebs missed Layup.,44,58
8:27,2239,Jackson Rowe Block.,44,58
8:27,2239,Dwight Ramos Defensive Rebound.,44,58
8:25,2239,Dwight Ramos Turnover.,44,58
8:08,2608,Jock Perry made Jumper.,44,60
7:41,2239,Kyle Allman missed Jumper.,44,60
7:41,2239,Dwight Ramos Offensive Rebound.,44,60
7:35,2239,Dwight Ramos made Jumper.,46,60
7:21,2608,Official TV Timeout,46,60
7:04,2608,Cullen Neal missed Three Point Jumper.,46,60
7:04,2239,Jamal Smith Defensive Rebound.,46,60
6:56,2239,Foul on Arkim Robertson.,46,60
6:56,2239,Arkim Robertson Turnover.,46,60
6:56,2608,Tanner Krebs made Free Throw.,46,61
6:56,2608,Tanner Krebs made Free Throw.,46,62
6:29,2239,Kyle Allman made Layup. Assisted by Jamal Smith.,48,62
6:13,2608,Calvin Hermanson missed Three Point Jumper.,48,62
6:13,2239,Kyle Allman Defensive Rebound.,48,62
5:59,2608,Foul on Calvin Hermanson.,48,62
5:59,2239,Davon Clare missed Free Throw.,48,62
5:59,2239,CSU Fullerton Deadball Team Rebound.,48,62
5:59,2239,Davon Clare missed Free Throw.,48,62
5:59,2608,Tanner Krebs Defensive Rebound.,48,62
5:40,2608,Jock Landale missed Layup.,48,62
5:40,2239,Davon Clare Block.,48,62
5:40,2239,CSU Fullerton Defensive Rebound.,48,62
5:22,2239,Kyle Allman missed Layup.,48,62
5:22,2608,Jordan Ford Defensive Rebound.,48,62
5:15,2608,Calvin Hermanson made Three Point Jumper. Assisted by Tanner Krebs.,48,65
4:53,2239,Davon Clare missed Three Point Jumper.,48,65
4:53,2608,Jock Landale Defensive Rebound.,48,65
4:24,2608,Calvin Hermanson missed Three Point Jumper.,48,65
4:24,2239,Jamal Smith Defensive Rebound.,48,65
4:15,2239,Dwight Ramos made Three Point Jumper. Assisted by Jackson Rowe.,51,65
3:43,2239,Foul on Davon Clare.,51,65
3:43,2608,Official TV Timeout,51,65
3:43,2608,Calvin Hermanson made Free Throw.,51,66
3:43,2608,Calvin Hermanson made Free Throw.,51,67
3:29,2239,Jamal Smith missed Layup.,51,67
3:29,2608,Jock Landale Block.,51,67
3:29,2239,CSU Fullerton Offensive Rebound.,51,67
3:14,2239,Kyle Allman missed Layup.,51,67
3:14,2608,Tanner Krebs Block.,51,67
3:14,2608,Jock Landale Defensive Rebound.,51,67
2:52,2608,Emmett Naar missed Layup.,51,67
2:52,2239,Kyle Allman Defensive Rebound.,51,67
2:35,2239,Jamal Smith Turnover.,51,67
2:34,2608,Elijah Thomas Steal.,51,67
2:31,2608,Elijah Thomas made Dunk. Assisted by Emmett Naar.,51,69
2:24,2239,CSU Fullerton  Timeout,51,69
2:13,2239,Khalil Ahmad made Layup.,53,69
2:13,2608,Foul on Tanner Krebs.,53,69
2:13,2239,Khalil Ahmad missed Free Throw.,53,69
2:13,2608,Tanner Krebs Defensive Rebound.,53,69
1:57,2608,Tanner Krebs made Three Point Jumper. Assisted by Tommy Kuhse.,53,72
1:43,2239,Khalil Ahmad Turnover.,53,72
1:42,2608,Elijah Thomas Steal.,53,72
1:20,2608,Tanner Krebs missed Three Point Jumper.,53,72
1:20,2239,Austen Awosika Defensive Rebound.,53,72
1:15,2608,Foul on Cullen Neal.,53,72
1:15,2239,Jackson Rowe made Free Throw.,54,72
1:15,2239,Jackson Rowe made Free Throw.,55,72
0:58,2608,Evan Fitzner missed Layup.,55,72
0:58,2239,Johnny Wang Defensive Rebound.,55,72
0:49,2239,Johnny Wang Turnover.,55,72
0:48,2608,Elijah Thomas Steal.,55,72
0:48,2608,Elijah Thomas made Layup. Assisted by Tommy Kuhse.,55,74
0:48,2239,Dwight Ramos missed Three Point Jumper.,55,74
0:48,2608,Tommy Kuhse Defensive Rebound.,55,74
0:25,2239,Foul on Josh Pitts.,55,74
0:25,2608,Jock Perry made Free Throw.,55,75
0:25,2608,Jock Perry made Free Throw.,55,76
0:16,2608,Foul on Elijah Thomas.,55,76
0:16,2239,Austen Awosika made Free Throw.,56,76
0:16,2239,Austen Awosika made Free Throw.,57,76
0:00,2608,End of 2nd half,57,76
