Montana,213,Penn State,149
11:53,213,Mike Watkins Block.,14,15
11:52,213,Tony Carr Defensive Rebound.,14,15
11:26,149,Foul on Karl Nicholas.,14,15
11:26,213,Official TV Timeout,14,15
11:06,213,Mike Watkins made Jumper.,14,17
10:43,149,Foul on Ahmaad Rorie.,14,17
10:43,149,Ahmaad Rorie Turnover.,14,17
10:28,213,Shep Garner missed Three Point Jumper.,14,17
10:28,149,Fabijan Krslovic Defensive Rebound.,14,17
10:11,149,Michael Oguine missed Three Point Jumper.,14,17
10:11,213,Mike Watkins Defensive Rebound.,14,17
9:52,213,Lamar Stevens missed Jumper.,14,17
9:52,213,Lamar Stevens Offensive Rebound.,14,17
9:49,213,Shep Garner made Three Point Jumper. Assisted by Lamar Stevens.,14,20
9:18,149,Michael Oguine made Layup.,16,20
8:53,213,Josh Reaves made Layup. Assisted by Jamari Wheeler.,16,22
8:53,149,Foul on Sayeed Pridgett.,16,22
8:53,213,Josh Reaves made Free Throw.,16,23
8:39,149,Foul on Sayeed Pridgett.,16,23
8:39,149,Sayeed Pridgett Turnover.,16,23
8:39,149,Montana  Timeout,16,23
8:18,213,Lamar Stevens Turnover.,16,23
8:17,149,Fabijan Krslovic Steal.,16,23
7:52,149,Sayeed Pridgett made Three Point Jumper. Assisted by Ahmaad Rorie.,19,23
7:25,213,Josh Reaves made Layup. Assisted by Shep Garner.,19,25
7:16,149,Bobby Moorehead missed Three Point Jumper.,19,25
7:16,213,Shep Garner Defensive Rebound.,19,25
6:55,213,Shep Garner missed Three Point Jumper.,19,25
6:55,149,Bobby Moorehead Defensive Rebound.,19,25
6:34,149,Ahmaad Rorie missed Three Point Jumper.,19,25
6:34,213,Shep Garner Defensive Rebound.,19,25
6:14,213,Satchel Pierce missed Jumper.,19,25
6:14,149,Fabijan Krslovic Block.,19,25
6:14,149,Fabijan Krslovic Defensive Rebound.,19,25
6:14,213,Official TV Timeout,19,25
6:13,213,Official TV Timeout,19,25
5:58,149,Sayeed Pridgett made Jumper.,21,25
5:27,213,Lamar Stevens made Three Point Jumper. Assisted by Jamari Wheeler.,21,28
5:16,213,Foul on Satchel Pierce.,21,28
5:16,149,Jamar Akoh missed Free Throw.,21,28
5:16,149,Montana Deadball Team Rebound.,21,28
5:16,149,Jamar Akoh made Free Throw.,22,28
5:00,213,Mike Watkins made Jumper.,22,30
4:35,149,Fabijan Krslovic made Jumper.,24,30
4:08,213,Jamari Wheeler Turnover.,24,30
4:06,149,Fabijan Krslovic Steal.,24,30
4:04,149,Fabijan Krslovic Turnover.,24,30
4:02,149,Foul on Sayeed Pridgett.,24,30
4:02,213,Nazeer Bostick missed Free Throw.,24,30
4:02,149,Fabijan Krslovic Defensive Rebound.,24,30
3:56,213,Foul on Jamari Wheeler.,24,30
3:56,213,Official TV Timeout,24,30
3:40,149,Jamar Akoh made Layup. Assisted by Ahmaad Rorie.,26,30
3:27,213,Tony Carr missed Jumper.,26,30
3:27,149,Fabijan Krslovic Defensive Rebound.,26,30
2:57,149,Ahmaad Rorie Turnover.,26,30
2:56,213,Lamar Stevens Steal.,26,30
2:52,213,Nazeer Bostick missed Layup.,26,30
2:52,213,Nazeer Bostick Offensive Rebound.,26,30
2:44,213,Tony Carr made Jumper.,26,32
2:38,149,Michael Oguine missed Layup.,26,32
2:38,213,Lamar Stevens Defensive Rebound.,26,32
2:37,149,Foul on Jamar Akoh.,26,32
2:37,213,Lamar Stevens missed Free Throw.,26,32
2:37,149,Fabijan Krslovic Defensive Rebound.,26,32
2:33,213,Foul on Josh Reaves.,26,32
2:24,149,Bobby Moorehead Turnover.,26,32
2:12,213,Nazeer Bostick missed Layup.,26,32
2:12,149,Jamar Akoh Block.,26,32
2:11,149,Ahmaad Rorie Defensive Rebound.,26,32
2:06,149,Ahmaad Rorie made Layup.,28,32
1:57,213,Tony Carr missed Layup.,28,32
1:57,149,Bobby Moorehead Block.,28,32
1:56,149,Ahmaad Rorie Defensive Rebound.,28,32
1:54,149,Ahmaad Rorie Turnover.,28,32
1:34,149,Foul on Fabijan Krslovic.,28,32
1:34,213,Lamar Stevens made Free Throw.,28,33
1:34,213,Lamar Stevens made Free Throw.,28,34
1:20,149,Ahmaad Rorie missed Layup.,28,34
1:20,213,Lamar Stevens Block.,28,34
1:18,213,Julian Moore Defensive Rebound.,28,34
1:07,213,Tony Carr missed Jumper.,28,34
1:07,149,Timmy Falls Defensive Rebound.,28,34
0:46,149,Fabijan Krslovic Turnover.,28,34
0:45,213,Julian Moore Steal.,28,34
0:22,213,Julian Moore missed Layup.,28,34
0:22,149,Fabijan Krslovic Defensive Rebound.,28,34
0:04,213,Foul on Tony Carr.,28,34
0:04,213,Penn State  Timeout,28,34
0:04,149,Jamar Akoh missed Free Throw.,28,34
0:04,149,Montana Deadball Team Rebound.,28,34
0:04,149,Jamar Akoh made Free Throw.,29,34
0:00,213,Lamar Stevens missed Jumper.,29,34
0:00,213,Penn State Deadball Team Rebound.,29,34
0:00,213,End of 1st half,29,34
19:48,149,Jamar Akoh missed Three Point Jumper.,29,34
19:48,213,Lamar Stevens Defensive Rebound.,29,34
19:34,213,Lamar Stevens made Jumper.,29,36
19:14,213,Foul on Mike Watkins.,29,36
19:10,149,Bobby Moorehead Turnover.,29,36
18:54,213,Josh Reaves missed Three Point Jumper.,29,36
18:54,149,Michael Oguine Defensive Rebound.,29,36
18:50,213,Foul on Shep Garner.,29,36
18:50,149,Jamar Akoh made Free Throw.,30,36
18:50,149,Jamar Akoh made Free Throw.,31,36
18:25,213,Tony Carr made Three Point Jumper. Assisted by Josh Reaves.,31,39
18:02,149,Ahmaad Rorie made Three Point Jumper. Assisted by Sayeed Pridgett.,34,39
17:34,213,Tony Carr Turnover.,34,39
17:32,149,Ahmaad Rorie Steal.,34,39
17:32,149,Ahmaad Rorie made Dunk.,36,39
17:08,149,Foul on Michael Oguine.,36,39
17:05,213,Lamar Stevens made Jumper. Assisted by Shep Garner.,36,41
16:54,149,Fabijan Krslovic Turnover.,36,41
16:46,213,Lamar Stevens Turnover.,36,41
16:44,149,Ahmaad Rorie Steal.,36,41
16:39,149,Sayeed Pridgett missed Layup.,36,41
16:39,213,Mike Watkins Defensive Rebound.,36,41
16:28,213,Nazeer Bostick Turnover.,36,41
16:27,149,Jamar Akoh Steal.,36,41
16:08,149,Sayeed Pridgett missed Jumper.,36,41
16:08,213,Shep Garner Defensive Rebound.,36,41
15:55,149,Foul on Michael Oguine.,36,41
15:55,213,Official TV Timeout,36,41
15:43,213,Lamar Stevens made Jumper.,36,43
15:28,149,Foul on Sayeed Pridgett.,36,43
15:28,149,Sayeed Pridgett Turnover.,36,43
15:17,149,Foul on Jamar Akoh.,36,43
15:15,149,Foul on Karl Nicholas.,36,43
15:15,213,Josh Reaves missed Free Throw.,36,43
15:15,213,Penn State Deadball Team Rebound.,36,43
15:15,213,Josh Reaves made Free Throw.,36,44
15:04,213,Foul on Lamar Stevens.,36,44
15:04,149,Michael Oguine missed Free Throw.,36,44
15:04,149,Montana Deadball Team Rebound.,36,44
15:04,149,Michael Oguine missed Free Throw.,36,44
15:04,213,Mike Watkins Defensive Rebound.,36,44
14:49,213,Foul on Mike Watkins.,36,44
14:49,213,Mike Watkins Turnover.,36,44
14:29,149,Jamar Akoh made Three Point Jumper. Assisted by Ahmaad Rorie.,39,44
14:06,213,Lamar Stevens made Jumper.,39,46
13:49,149,Ahmaad Rorie missed Three Point Jumper.,39,46
13:49,213,Julian Moore Defensive Rebound.,39,46
13:40,213,Josh Reaves made Layup.,39,48
13:40,149,Foul on Karl Nicholas.,39,48
13:40,213,Official TV Timeout,39,48
13:40,213,Official TV Timeout,39,48
13:40,213,Josh Reaves missed Free Throw.,39,48
13:40,149,Michael Oguine Defensive Rebound.,39,48
13:12,149,Jamar Akoh missed Jumper.,39,48
13:12,213,Lamar Stevens Defensive Rebound.,39,48
13:06,149,Foul on Jamar Akoh.,39,48
13:06,213,Josh Reaves missed Free Throw.,39,48
13:06,213,Penn State Deadball Team Rebound.,39,48
13:06,213,Josh Reaves made Free Throw.,39,49
12:43,149,Ahmaad Rorie missed Three Point Jumper.,39,49
12:43,149,Sayeed Pridgett Offensive Rebound.,39,49
12:39,149,Sayeed Pridgett missed Layup.,39,49
12:39,149,Jamar Akoh Offensive Rebound.,39,49
12:36,149,Jamar Akoh made Two Point Tip Shot.,41,49
12:20,149,Foul on Ahmaad Rorie.,41,49
12:20,213,Lamar Stevens made Free Throw.,41,50
12:20,213,Lamar Stevens made Free Throw.,41,51
12:05,149,Michael Oguine missed Jumper.,41,51
12:05,213,Mike Watkins Block.,41,51
12:04,213,Jamari Wheeler Defensive Rebound.,41,51
11:52,213,Lamar Stevens Turnover.,41,51
11:52,149,Ahmaad Rorie Steal.,41,51
11:47,149,Bobby Moorehead made Layup. Assisted by Ahmaad Rorie.,43,51
11:23,213,Lamar Stevens Turnover.,43,51
11:23,213,Official TV Timeout,43,51
11:03,149,Ahmaad Rorie made Jumper.,45,51
10:44,213,Lamar Stevens missed Three Point Jumper.,45,51
10:44,149,Michael Oguine Defensive Rebound.,45,51
10:27,149,Michael Oguine missed Layup.,45,51
10:27,213,Mike Watkins Block.,45,51
10:26,149,Sayeed Pridgett Offensive Rebound.,45,51
10:19,149,Michael Oguine made Three Point Jumper. Assisted by Sayeed Pridgett.,48,51
9:57,213,Mike Watkins missed Jumper.,48,51
9:57,149,Ahmaad Rorie Defensive Rebound.,48,51
9:50,149,Ahmaad Rorie made Layup. Assisted by Bobby Moorehead.,50,51
9:50,213,Penn State  Timeout,50,51
9:35,213,Shep Garner made Three Point Jumper. Assisted by Lamar Stevens.,50,54
9:15,149,Sayeed Pridgett missed Jumper.,50,54
9:15,213,Jamari Wheeler Defensive Rebound.,50,54
8:58,213,Josh Reaves made Layup. Assisted by Satchel Pierce.,50,56
8:56,149,Montana  Timeout,50,56
8:39,213,Foul on Satchel Pierce.,50,56
8:34,213,Foul on Satchel Pierce.,50,56
8:20,149,Ahmaad Rorie missed Three Point Jumper.,50,56
8:20,213,Shep Garner Defensive Rebound.,50,56
8:02,213,Lamar Stevens missed Jumper.,50,56
8:02,149,Bobby Moorehead Defensive Rebound.,50,56
7:54,149,Timmy Falls Turnover.,50,56
7:24,213,Josh Reaves missed Three Point Jumper.,50,56
7:24,149,Michael Oguine Block.,50,56
7:24,213,Penn State Deadball Team Rebound.,50,56
7:24,213,Penn State  Turnover.,50,56
7:14,149,Jamar Akoh Turnover.,50,56
6:55,213,Lamar Stevens missed Jumper.,50,56
6:55,213,Satchel Pierce Offensive Rebound.,50,56
6:54,213,Satchel Pierce made Jumper.,50,58
6:39,149,Timmy Falls missed Three Point Jumper.,50,58
6:39,213,Penn State Defensive Rebound.,50,58
6:17,213,Jamari Wheeler Turnover.,50,58
6:17,149,Jamar Akoh Steal.,50,58
6:17,213,Foul on Lamar Stevens.,50,58
6:17,149,Fabijan Krslovic made Free Throw.,51,58
6:17,149,Fabijan Krslovic made Free Throw.,52,58
5:52,213,Jamari Wheeler missed Layup.,52,58
5:52,149,Jamar Akoh Defensive Rebound.,52,58
5:24,149,Jamar Akoh missed Layup.,52,58
5:24,213,Satchel Pierce Block.,52,58
5:22,149,Jamar Akoh Offensive Rebound.,52,58
5:21,149,Jamar Akoh missed Layup.,52,58
5:21,213,Lamar Stevens Block.,52,58
5:21,213,Lamar Stevens Defensive Rebound.,52,58
5:09,213,Nazeer Bostick missed Layup.,52,58
5:09,149,Jamar Akoh Block.,52,58
5:09,149,Montana Defensive Rebound.,52,58
4:50,149,Ahmaad Rorie missed Layup.,52,58
4:50,213,Satchel Pierce Defensive Rebound.,52,58
4:28,213,Satchel Pierce missed Jumper.,52,58
4:28,149,Michael Oguine Defensive Rebound.,52,58
4:22,149,Bobby Moorehead missed Three Point Jumper.,52,58
4:22,149,Jamar Akoh Offensive Rebound.,52,58
4:11,149,Michael Oguine made Three Point Jumper. Assisted by Bobby Moorehead.,55,58
3:45,213,Penn State  Timeout,55,58
3:45,213,Official TV Timeout,55,58
3:40,149,Foul on Fabijan Krslovic.,55,58
3:40,213,Shep Garner missed Free Throw.,55,58
3:40,213,Penn State Deadball Team Rebound.,55,58
3:40,213,Shep Garner missed Free Throw.,55,58
3:40,149,Karl Nicholas Defensive Rebound.,55,58
3:29,149,Montana  Turnover.,55,58
3:21,213,Shep Garner made Three Point Jumper.,55,61
3:01,149,Bobby Moorehead Turnover.,55,61
3:00,213,Lamar Stevens Steal.,55,61
2:42,213,Shep Garner made Three Point Jumper.,55,64
2:21,149,Ahmaad Rorie missed Three Point Jumper.,55,64
2:21,213,Josh Reaves Defensive Rebound.,55,64
2:01,213,Shep Garner Turnover.,55,64
2:00,149,Bobby Moorehead Steal.,55,64
1:48,213,Foul on Nazeer Bostick.,55,64
1:48,149,Jamar Akoh missed Free Throw.,55,64
1:48,149,Montana Deadball Team Rebound.,55,64
1:48,149,Jamar Akoh missed Free Throw.,55,64
1:48,213,Mike Watkins Defensive Rebound.,55,64
1:37,213,Penn State  Turnover.,55,64
1:37,213,Foul on Nazeer Bostick.,55,64
1:37,149,Michael Oguine missed Free Throw.,55,64
1:37,213,Penn State Defensive Rebound.,55,64
1:32,149,Foul on Timmy Falls.,55,64
1:32,213,Jamari Wheeler missed Free Throw.,55,64
1:32,213,Penn State Deadball Team Rebound.,55,64
1:32,213,Jamari Wheeler missed Free Throw.,55,64
1:32,149,Michael Oguine Defensive Rebound.,55,64
1:17,149,Michael Oguine missed Three Point Jumper.,55,64
1:17,213,Josh Reaves Block.,55,64
1:16,213,Shep Garner Defensive Rebound.,55,64
1:13,149,Foul on Michael Oguine.,55,64
1:13,213,Josh Reaves missed Free Throw.,55,64
1:13,213,Penn State Deadball Team Rebound.,55,64
1:13,213,Josh Reaves made Free Throw.,55,65
0:57,149,Michael Oguine made Dunk.,57,65
0:57,149,Montana  Timeout,57,65
0:51,213,Lamar Stevens made Layup. Assisted by Jamari Wheeler.,57,67
0:51,149,Foul on Ahmaad Rorie.,57,67
0:51,213,Lamar Stevens made Free Throw.,57,68
0:36,149,Jamar Akoh missed Jumper.,57,68
0:36,213,Lamar Stevens Defensive Rebound.,57,68
0:32,149,Foul on Bobby Moorehead.,57,68
0:32,213,Lamar Stevens made Free Throw.,57,69
0:32,213,Lamar Stevens made Free Throw.,57,70
0:24,149,Ahmaad Rorie missed Three Point Jumper.,57,70
0:24,149,Michael Oguine Offensive Rebound.,57,70
0:20,149,Michael Oguine missed Layup.,57,70
0:20,213,Mike Watkins Defensive Rebound.,57,70
0:00,213,End of Game,57,70
