Oakland City,Error,Austin Peay,2046
7:40,-1,Oakland City  Timeout,17,36
6:59,2046,Ferran Bernacer missed Layup.,17,36
6:59,2046,Austin Peay Offensive Rebound.,17,36
6:52,2046,Austin Peay  Turnover.,17,36
6:49,-1,Beau Hefner missed Layup.,17,36
6:49,2046,Acoydan McCarthy Defensive Rebound.,17,36
6:42,2046,Ferran Bernacer missed Three Point Jumper.,17,36
6:42,-1,Kase Robinson Defensive Rebound.,17,36
6:29,-1,Mitch Frederick made Three Point Jumper. Assisted by Beau Hefner.,20,36
6:24,2046,Tre' Ivory missed Jumper.,20,36
6:24,-1,Mitch Frederick Defensive Rebound.,20,36
6:20,2046,Foul on Chris Porter-Bunton.,20,36
5:30,2046,Foul on Steve Harris.,20,36
5:30,-1,Austin Robertson made Free Throw.,21,36
5:30,-1,Austin Robertson missed Free Throw.,21,36
5:30,2046,Tre' Ivory Defensive Rebound.,21,36
5:14,2046,Acoydan McCarthy missed Three Point Jumper.,21,36
5:14,-1,Austin Robertson Defensive Rebound.,21,36
5:02,-1,Foul on Beau Hefner.,21,36
5:02,-1,Beau Hefner Turnover.,21,36
4:52,2046,Dayton Gumm made Jumper. Assisted by Zach Glotta.,21,38
4:29,-1,Kase Robinson made Layup. Assisted by Beau Hefner.,23,38
4:13,2046,Terry Taylor missed Layup.,23,38
4:13,-1,Austin Robertson Block.,23,38
4:12,2046,Austin Peay Offensive Rebound.,23,38
3:57,2046,Austin Peay  Timeout,23,38
3:52,2046,Foul on Chris Porter-Bunton.,23,38
3:52,2046,Chris Porter-Bunton Turnover.,23,38
3:43,2046,Foul on Tre' Ivory.,23,38
3:43,-1,Christian Marks made Free Throw.,25,38
3:43,-1,Christian Marks made Free Throw.,24,38
3:30,2046,Ivan Cucak made Layup.,25,40
3:11,-1,Austin Robertson made Jumper.,27,40
2:57,2046,Ivan Cucak Turnover.,27,40
2:56,-1,Mitch Frederick Steal.,27,40
2:43,-1,Austin Robertson made Jumper. Assisted by Beau Hefner.,29,40
2:27,2046,Zach Glotta missed Three Point Jumper.,29,40
2:27,-1,Kase Robinson Defensive Rebound.,29,40
2:14,-1,Beau Hefner missed Three Point Jumper.,29,40
2:14,2046,Tre' Ivory Defensive Rebound.,29,40
1:59,2046,Foul on Ivan Cucak.,29,40
1:59,2046,Ivan Cucak Turnover.,29,40
1:46,-1,Beau Hefner Turnover.,29,40
1:34,2046,Tre' Ivory made Jumper. Assisted by Acoydan McCarthy.,29,42
1:14,-1,Christian Marks missed Three Point Jumper.,29,42
1:14,2046,Acoydan McCarthy Defensive Rebound.,29,42
1:03,-1,Foul on Mitch Frederick.,29,42
0:55,2046,Dayton Gumm missed Three Point Jumper.,29,42
0:55,-1,Mitch Frederick Defensive Rebound.,29,42
0:43,-1,Foul on Austin Robertson.,29,42
0:43,-1,Austin Robertson Turnover.,29,42
0:27,2046,Dayton Gumm missed Three Point Jumper.,29,42
0:27,2046,Terry Taylor Offensive Rebound.,29,42
0:22,2046,Terry Taylor missed Jumper.,29,42
0:22,2046,Terry Taylor Offensive Rebound.,29,42
0:14,2046,Richard Henderson made Layup. Assisted by Tre' Ivory.,29,44
0:04,-1,Christian Marks Turnover.,29,44
0:03,2046,Richard Henderson Steal.,29,44
0:00,2046,Dayton Gumm made Layup.,29,46
0:00,2046,End of 1st half,29,46
19:47,-1,Andre Bearden Turnover.,29,46
19:46,2046,Tre' Ivory Steal.,29,46
19:25,2046,Tre' Ivory missed Three Point Jumper.,29,46
19:25,2046,Averyl Ugba Offensive Rebound.,29,46
19:16,2046,Chris Porter-Bunton missed Three Point Jumper.,29,46
19:16,-1,Andre Bearden Defensive Rebound.,29,46
19:01,-1,Austin Robertson missed Layup.,29,46
19:01,2046,Averyl Ugba Block.,29,46
18:59,2046,Averyl Ugba Defensive Rebound.,29,46
18:54,2046,Averyl Ugba Turnover.,29,46
18:38,-1,Addison Wagler missed Jumper.,29,46
18:38,2046,Terry Taylor Defensive Rebound.,29,46
18:33,2046,Terry Taylor Turnover.,29,46
18:32,-1,Andre Bearden Steal.,29,46
18:22,-1,Addison Wagler made Jumper.,31,46
18:03,2046,Chris Porter-Bunton missed Three Point Jumper.,31,46
18:03,2046,Terry Taylor Offensive Rebound.,31,46
17:58,2046,Zach Glotta made Three Point Jumper. Assisted by Terry Taylor.,31,49
17:43,-1,Andre Bearden Turnover.,31,49
17:30,2046,Tre' Ivory missed Jumper.,31,49
17:30,2046,Terry Taylor Offensive Rebound.,31,49
17:26,2046,Terry Taylor made Jumper.,31,51
17:14,-1,Oakland City  Turnover.,31,51
17:01,2046,Steve Harris missed Jumper.,31,51
17:01,2046,Terry Taylor Offensive Rebound.,31,51
16:55,2046,Steve Harris Turnover.,31,51
16:42,2046,Foul on Tre' Ivory.,31,51
16:42,-1,Andre Bearden made Free Throw.,32,51
16:42,-1,Andre Bearden missed Free Throw.,32,51
16:42,2046,Terry Taylor Defensive Rebound.,32,51
16:33,2046,Terry Taylor Turnover.,32,51
16:32,-1,Addison Wagler Steal.,32,51
16:12,-1,Logan Worthington missed Jumper.,32,51
16:12,2046,Steve Harris Block.,32,51
16:08,-1,Addison Wagler Offensive Rebound.,32,51
15:58,-1,Austin Robertson made Layup.,34,51
15:49,2046,Steve Harris missed Jumper.,34,51
15:49,-1,Addison Wagler Defensive Rebound.,34,51
15:34,-1,Foul on Addison Wagler.,34,51
15:34,-1,Addison Wagler Turnover.,34,51
15:34,2046,Austin Peay  Timeout,34,51
15:20,2046,Richard Henderson made Layup. Assisted by Dayton Gumm.,34,53
15:10,-1,Austin Robertson Turnover.,34,53
15:09,2046,Averyl Ugba Steal.,34,53
15:06,-1,Foul on Andre Bearden.,34,53
15:06,2046,Richard Henderson missed Free Throw.,34,53
15:06,2046,Austin Peay Deadball Team Rebound.,34,53
15:06,2046,Richard Henderson missed Free Throw.,34,53
15:06,-1,Oakland City Defensive Rebound.,34,53
14:57,-1,Logan Worthington Turnover.,34,53
14:49,2046,Dayton Gumm missed Jumper.,34,53
14:49,2046,Averyl Ugba Offensive Rebound.,34,53
14:45,2046,Averyl Ugba made Layup.,34,55
14:17,-1,Christian Marks Turnover.,34,55
14:16,-1,Oakland City  Timeout,34,55
14:03,2046,Richard Henderson made Layup. Assisted by Steve Harris.,34,57
13:47,2046,Foul on Zach Glotta.,34,57
13:47,-1,Addison Wagler made Free Throw.,35,57
13:47,-1,Addison Wagler made Free Throw.,36,57
13:35,2046,Zach Glotta made Three Point Jumper. Assisted by Dayton Gumm.,36,60
13:18,-1,Addison Wagler missed Jumper.,36,60
13:18,2046,Steve Harris Defensive Rebound.,36,60
13:12,-1,Foul on Christian Marks.,36,60
13:04,2046,Steve Harris missed Layup.,36,60
13:04,2046,Dayton Gumm Offensive Rebound.,36,60
13:00,2046,Dayton Gumm made Jumper.,36,62
12:48,-1,Addison Wagler missed Jumper.,36,62
12:48,-1,Logan Worthington Offensive Rebound.,36,62
12:43,-1,Logan Worthington made Layup.,38,62
12:34,2046,Averyl Ugba made Jumper. Assisted by Richard Henderson.,38,64
12:11,-1,Austin Robertson missed Jumper.,38,64
12:11,2046,Averyl Ugba Block.,38,64
11:59,2046,Averyl Ugba Defensive Rebound.,38,64
11:57,-1,Foul on Addison Wagler.,38,64
11:57,2046,Austin Peay  Timeout,38,64
11:57,2046,Richard Henderson made Free Throw.,38,65
11:57,2046,Richard Henderson missed Free Throw.,38,65
11:57,2046,Richard Henderson Offensive Rebound.,38,65
11:55,2046,Richard Henderson Turnover.,38,65
11:54,-1,Logan Worthington Steal.,38,65
11:51,-1,Logan Worthington made Layup. Assisted by Andrew Scott.,40,65
11:35,2046,Chris Porter-Bunton missed Three Point Jumper.,40,65
11:35,-1,Andrew Scott Defensive Rebound.,40,65
11:26,-1,Addison Wagler missed Jumper.,40,65
11:26,2046,Averyl Ugba Defensive Rebound.,40,65
11:04,2046,Dayton Gumm made Three Point Jumper. Assisted by Richard Henderson.,40,68
10:47,2046,Foul on Averyl Ugba.,40,68
10:42,-1,Andrew Scott Turnover.,40,68
10:41,2046,Chris Porter-Bunton Steal.,40,68
10:39,2046,Dayton Gumm made Layup. Assisted by Chris Porter-Bunton.,40,70
10:23,-1,Logan Worthington made Layup.,42,70
10:23,2046,Foul on Dayton Gumm.,42,70
10:22,-1,Logan Worthington made Free Throw.,43,70
10:06,2046,Tre' Ivory missed Jumper.,43,70
10:06,2046,Terry Taylor Offensive Rebound.,43,70
10:02,-1,Foul on Austin Robertson.,43,70
10:02,2046,Terry Taylor made Free Throw.,43,71
10:02,2046,Terry Taylor missed Free Throw.,43,71
10:02,-1,Addison Wagler Defensive Rebound.,43,71
9:55,-1,Logan Worthington made Layup. Assisted by Andrew Scott.,45,71
9:40,2046,Dayton Gumm made Three Point Jumper. Assisted by Tre' Ivory.,45,74
9:21,-1,Austin Robertson Turnover.,45,74
9:20,2046,Tre' Ivory Steal.,45,74
9:17,2046,Averyl Ugba made Dunk. Assisted by Tre' Ivory.,45,76
8:58,-1,Andrew Scott missed Jumper.,45,76
8:58,2046,Averyl Ugba Defensive Rebound.,45,76
8:40,2046,Terry Taylor made Layup. Assisted by Chris Porter-Bunton.,45,78
8:40,-1,Oakland City  Timeout,45,78
8:30,-1,Andrew Scott missed Three Point Jumper.,45,78
8:30,-1,Oakland City Offensive Rebound.,45,78
8:13,-1,Logan Worthington missed Jumper.,45,78
8:13,2046,Terry Taylor Block.,45,78
8:11,2046,Acoydan McCarthy Defensive Rebound.,45,78
8:02,2046,Zach Glotta made Three Point Jumper. Assisted by Chris Porter-Bunton.,45,81
7:39,2046,Foul on Zach Glotta.,45,81
7:38,-1,Oakland City  Timeout,45,81
7:24,-1,Andrew Scott Turnover.,45,81
7:16,2046,Terry Taylor made Layup. Assisted by Tre' Ivory.,45,83
7:03,2046,Foul on Tre' Ivory.,45,83
6:54,2046,Foul on Zach Glotta.,45,83
6:54,-1,Andrew Scott made Free Throw.,46,83
6:54,-1,Andrew Scott missed Free Throw.,46,83
6:54,2046,Terry Taylor Defensive Rebound.,46,83
6:39,2046,Dayton Gumm made Layup.,46,85
6:39,-1,Foul on Austin Robertson.,46,85
6:39,2046,Dayton Gumm made Free Throw.,46,86
6:27,-1,Kase Robinson Turnover.,46,86
6:24,2046,Terry Taylor Steal.,46,86
6:21,2046,Dayton Gumm made Layup. Assisted by Terry Taylor.,46,88
6:05,-1,Kase Robinson Turnover.,46,88
6:04,2046,Dayton Gumm Steal.,46,88
6:01,2046,Dayton Gumm made Layup.,46,90
5:34,-1,Beau Hefner missed Three Point Jumper.,46,90
5:34,2046,Austin Peay Defensive Rebound.,46,90
5:13,2046,Ferran Bernacer made Three Point Jumper. Assisted by Tre' Ivory.,46,93
5:01,-1,Kase Robinson missed Three Point Jumper.,46,93
5:01,2046,Acoydan McCarthy Defensive Rebound.,46,93
4:52,2046,Tre' Ivory made Layup.,46,95
4:34,-1,Beau Hefner missed Jumper.,46,95
4:34,2046,Dayton Gumm Defensive Rebound.,46,95
4:24,2046,Ferran Bernacer missed Three Point Jumper.,46,95
4:24,-1,Beau Hefner Defensive Rebound.,46,95
4:16,-1,Jarod McHugh missed Layup.,46,95
4:16,2046,Terry Taylor Block.,46,95
4:14,2046,Terry Taylor Defensive Rebound.,46,95
3:57,2046,Acoydan McCarthy made Three Point Jumper. Assisted by Ferran Bernacer.,46,98
3:44,-1,Austin Robertson Turnover.,46,98
3:43,2046,Ivan Cucak Steal.,46,98
3:27,2046,Ivan Cucak missed Jumper.,46,98
3:27,-1,Austin Robertson Block.,46,98
3:24,2046,Ivan Cucak Offensive Rebound.,46,98
3:21,2046,Ivan Cucak made Jumper.,46,100
3:12,-1,Michael Light Turnover.,46,100
3:12,2046,Austin Peay  Timeout,46,100
3:01,2046,Acoydan McCarthy missed Three Point Jumper.,46,100
3:01,-1,Michael Light Defensive Rebound.,46,100
2:59,2046,Foul on Ferran Bernacer.,46,100
2:59,-1,Michael Light made Free Throw.,47,100
2:59,-1,Michael Light made Free Throw.,48,100
2:52,2046,Dayton Gumm missed Three Point Jumper.,48,100
2:52,2046,Richard Henderson Offensive Rebound.,48,100
2:39,2046,Richard Henderson made Layup. Assisted by Ivan Cucak.,48,102
2:21,-1,Jarod McHugh missed Three Point Jumper.,48,102
2:21,2046,Austin Peay Defensive Rebound.,48,102
2:09,2046,Richard Henderson missed Layup.,48,102
2:09,2046,Ivan Cucak Offensive Rebound.,48,102
1:59,-1,Foul on Jarod McHugh.,48,102
1:59,2046,Richard Henderson made Free Throw.,48,103
1:59,2046,Richard Henderson missed Free Throw.,48,103
1:59,-1,Austin Robertson Defensive Rebound.,48,103
1:46,-1,Jarod McHugh Turnover.,48,103
1:45,2046,Dayton Gumm Steal.,48,103
1:41,2046,Acoydan McCarthy Offensive Rebound.,48,103
1:40,-1,Foul on Michael Light.,48,103
1:40,-1,Oakland City  Timeout,48,103
1:40,2046,Acoydan McCarthy missed Free Throw.,48,103
1:40,2046,Austin Peay Deadball Team Rebound.,48,103
1:40,2046,Acoydan McCarthy missed Free Throw.,48,103
1:40,-1,Michael Light Defensive Rebound.,48,103
1:27,-1,Joe Hinton Turnover.,48,103
1:26,2046,Acoydan McCarthy Steal.,48,103
1:24,2046,Acoydan McCarthy made Dunk.,48,105
1:13,-1,Joe Hinton missed Three Point Jumper.,48,105
1:13,2046,Ferran Bernacer Defensive Rebound.,48,105
1:05,2046,Richard Henderson made Layup. Assisted by Dayton Gumm.,48,107
0:46,-1,Austin Robertson made Jumper. Assisted by Michael Light.,50,107
0:29,2046,Richard Henderson made Dunk. Assisted by Dayton Gumm.,50,109
0:01,-1,Austin Robertson missed Jumper.,50,109
0:01,2046,Richard Henderson Defensive Rebound.,50,109
0:00,2046,End of Game,50,109
