South Florida,56,Stetson,58
4:08,56,B.J. Glasford Turnover.,30,18
3:58,58,Payton Banks missed Three Point Jumper.,30,18
3:58,56,Angel Rivera Defensive Rebound.,30,18
3:42,56,Raine McKeython made Three Point Jumper. Assisted by Divine Myles.,30,21
3:23,58,Payton Banks made Jumper.,32,21
3:03,58,Foul on Malik Martin.,32,21
3:03,56,Official TV Timeout,32,21
2:53,58,Foul on Payton Banks.,32,21
2:48,56,B.J. Glasford made Layup. Assisted by Angel Rivera.,32,23
2:28,58,Payton Banks made Jumper. Assisted by Stephan Jiggetts.,34,23
2:12,56,B.J. Glasford made Jumper.,34,25
2:00,58,Payton Banks made Three Point Jumper.,37,25
1:45,56,B.J. Glasford made Three Point Jumper. Assisted by Divine Myles.,37,28
1:09,58,Terrence Samuel missed Jumper.,37,28
1:09,58,Nikola Scekic Offensive Rebound.,37,28
1:04,58,Nikola Scekic made Jumper.,39,28
1:02,58,South Florida  Timeout,39,28
0:50,58,Foul on Nikola Scekic.,39,28
0:50,56,Divine Myles made Free Throw.,39,29
0:50,56,Divine Myles made Free Throw.,39,30
0:33,56,Foul on Angel Rivera.,39,30
0:33,58,Terrence Samuel made Free Throw.,40,30
0:33,58,Terrence Samuel made Free Throw.,41,30
0:28,56,Stetson  Timeout,41,30
0:02,56,Divine Myles missed Three Point Jumper.,41,30
0:02,58,Nikola Scekic Defensive Rebound.,41,30
0:00,56,End of 1st half,41,30
19:46,56,Larry Dennis missed Layup.,41,30
19:46,58,Nikola Scekic Block.,41,30
19:44,56,Abayomi Iyiola Offensive Rebound.,41,30
19:39,56,Abayomi Iyiola made Dunk.,41,32
19:23,58,Nikola Scekic Turnover.,41,32
19:23,58,Foul on Nikola Scekic.,41,32
18:57,56,Abayomi Iyiola missed Three Point Jumper.,41,32
18:57,58,Tulio Da Silva Defensive Rebound.,41,32
18:49,58,Payton Banks missed Three Point Jumper.,41,32
18:49,56,B.J. Glasford Defensive Rebound.,41,32
18:38,56,B.J. Glasford missed Three Point Jumper.,41,32
18:38,56,Stetson Offensive Rebound.,41,32
18:31,56,Abayomi Iyiola made Jumper. Assisted by Luke Doyle.,41,34
18:00,58,Tulio Da Silva made Layup. Assisted by Terrence Samuel.,43,34
17:37,56,Angel Rivera missed Three Point Jumper.,43,34
17:37,58,Terrence Samuel Defensive Rebound.,43,34
17:29,58,Stephan Jiggetts Turnover.,43,34
17:28,56,B.J. Glasford Steal.,43,34
17:22,56,Luke Doyle made Layup. Assisted by B.J. Glasford.,43,36
17:05,58,Nikola Scekic made Jumper. Assisted by Stephan Jiggetts.,45,36
16:53,56,Abayomi Iyiola missed Jumper.,45,36
16:53,58,Payton Banks Defensive Rebound.,45,36
16:42,58,Nikola Scekic Turnover.,45,36
16:19,56,Larry Dennis made Layup.,45,38
15:55,58,Stephan Jiggetts missed Three Point Jumper.,45,38
15:55,58,Payton Banks Offensive Rebound.,45,38
15:49,56,Foul on Abayomi Iyiola.,45,38
15:49,56,Official TV Timeout,45,38
15:46,58,Tulio Da Silva Turnover.,45,38
15:45,56,Luke Doyle Steal.,45,38
15:42,56,Divine Myles made Layup. Assisted by Luke Doyle.,45,40
15:27,58,David Collins missed Three Point Jumper.,45,40
15:27,56,Larry Dennis Defensive Rebound.,45,40
15:14,56,Luke Doyle made Three Point Jumper. Assisted by Angel Rivera.,45,43
15:05,58,South Florida  Timeout,45,43
15:05,56,Official TV Timeout,45,43
15:04,56,Official TV Timeout,45,43
14:52,58,Payton Banks made Three Point Jumper. Assisted by Terrence Samuel.,48,43
14:36,56,Luke Doyle made Jumper. Assisted by Divine Myles.,48,45
14:07,58,Malik Martin made Layup. Assisted by David Collins.,50,45
13:47,56,Larry Dennis made Layup. Assisted by Angel Rivera.,50,47
13:22,58,Payton Banks made Three Point Jumper. Assisted by Terrence Samuel.,53,47
13:09,58,Foul on David Collins.,53,47
13:04,58,Foul on Tulio Da Silva.,53,47
12:45,58,Foul on David Collins.,53,47
12:38,56,Larry Dennis missed Layup.,53,47
12:38,58,Justin Brown Defensive Rebound.,53,47
12:36,56,Foul on B.J. Glasford.,53,47
12:12,58,Malik Martin missed Jumper.,53,47
12:12,56,Divine Myles Defensive Rebound.,53,47
12:09,58,Foul on Terrence Samuel.,53,47
12:04,56,Divine Myles missed Three Point Jumper.,53,47
12:04,56,Stetson Deadball Team Rebound.,53,47
12:04,58,Foul on Malik Martin.,53,47
12:02,56,Luke Doyle made Three Point Jumper. Assisted by Angel Rivera.,53,50
11:46,58,Nikola Scekic missed Jumper.,53,50
11:46,56,Divine Myles Defensive Rebound.,53,50
11:40,56,B.J. Glasford missed Layup.,53,50
11:40,58,Justin Brown Defensive Rebound.,53,50
11:20,58,Stephan Jiggetts made Three Point Jumper.,56,50
10:59,56,Abayomi Iyiola missed Layup.,56,50
10:59,58,Nikola Scekic Defensive Rebound.,56,50
10:53,56,Official TV Timeout,56,50
10:43,56,Foul on Abayomi Iyiola.,56,50
10:43,58,Malik Martin made Free Throw.,57,50
10:43,58,Malik Martin made Free Throw.,58,50
10:21,56,Angel Rivera missed Three Point Jumper.,58,50
10:21,58,Nikola Scekic Defensive Rebound.,58,50
9:59,58,Terrence Samuel missed Jumper.,58,50
9:59,56,Larry Dennis Block.,58,50
9:57,56,Larry Dennis Defensive Rebound.,58,50
9:53,56,Divine Myles made Layup.,58,52
9:38,58,Malik Martin missed Jumper.,58,52
9:38,56,Luke Doyle Defensive Rebound.,58,52
9:33,56,Divine Myles made Layup. Assisted by Luke Doyle.,58,54
9:33,58,Foul on Stephan Jiggetts.,58,54
9:33,56,Divine Myles made Free Throw.,58,55
9:21,58,Justin Brown missed Three Point Jumper.,58,55
9:21,58,Malik Martin Offensive Rebound.,58,55
9:20,56,Foul on Larry Dennis.,58,55
9:20,58,Malik Martin missed Free Throw.,58,55
9:20,58,South Florida Deadball Team Rebound.,58,55
9:20,58,Malik Martin missed Free Throw.,58,55
9:20,56,Stetson Deadball Team Rebound.,58,55
9:18,58,Foul on Justin Brown.,58,55
9:18,56,Luke Doyle made Free Throw.,58,56
9:18,56,Luke Doyle made Free Throw.,58,57
8:59,56,Foul on Angel Rivera.,58,57
8:48,56,Foul on Larry Dennis.,58,57
8:48,58,Tulio Da Silva made Free Throw.,59,57
8:48,58,Tulio Da Silva missed Free Throw.,59,57
8:48,56,Larry Dennis Defensive Rebound.,59,57
8:35,56,Larry Dennis missed Jumper.,59,57
8:35,58,Terrence Samuel Defensive Rebound.,59,57
8:28,56,Foul on Keith Matthews.,59,57
8:28,58,Tulio Da Silva made Free Throw.,60,57
8:28,58,Tulio Da Silva missed Free Throw.,60,57
8:28,56,Stetson Deadball Team Rebound.,60,57
8:16,56,Keith Matthews missed Three Point Jumper.,60,57
8:16,58,Terrence Samuel Defensive Rebound.,60,57
7:57,58,Tulio Da Silva missed Jumper.,60,57
7:57,58,South Florida Deadball Team Rebound.,60,57
7:57,56,Foul on Christiaan Jones.,60,57
7:57,56,Official TV Timeout,60,57
7:57,58,Malik Martin missed Free Throw.,60,57
7:57,56,Larry Dennis Defensive Rebound.,60,57
7:34,56,Kenny Aninye missed Three Point Jumper.,60,57
7:34,58,Terrence Samuel Defensive Rebound.,60,57
7:24,56,Foul on Keith Matthews.,60,57
7:24,58,Terrence Samuel made Free Throw.,61,57
7:24,58,Terrence Samuel made Free Throw.,62,57
7:08,56,Larry Dennis missed Jumper.,62,57
7:08,58,Terrence Samuel Defensive Rebound.,62,57
6:48,58,Payton Banks missed Layup.,62,57
6:48,56,Larry Dennis Defensive Rebound.,62,57
6:40,56,Divine Myles made Layup.,62,59
6:13,58,Stephan Jiggetts made Three Point Jumper. Assisted by Terrence Samuel.,65,59
5:53,56,Angel Rivera made Three Point Jumper. Assisted by Divine Myles.,65,62
5:23,58,Stephan Jiggetts made Three Point Jumper. Assisted by Terrence Samuel.,68,62
5:08,56,Divine Myles made Layup.,68,64
4:50,58,Tulio Da Silva Turnover.,68,64
4:33,56,Divine Myles made Three Point Jumper.,68,67
4:16,58,Tulio Da Silva made Dunk. Assisted by Payton Banks.,70,67
3:55,56,Luke Doyle made Three Point Jumper. Assisted by Divine Myles.,70,70
3:27,58,Stephan Jiggetts missed Three Point Jumper.,70,70
3:27,58,Tulio Da Silva Offensive Rebound.,70,70
3:05,58,Stephan Jiggetts made Layup.,72,70
2:46,56,Divine Myles made Jumper.,72,72
2:22,58,Tulio Da Silva made Jumper.,74,72
2:03,56,Luke Doyle missed Three Point Jumper.,74,72
2:03,58,Nikola Scekic Defensive Rebound.,74,72
1:36,58,Stephan Jiggetts Turnover.,74,72
1:36,56,Divine Myles Steal.,74,72
1:36,56,Stetson  Timeout,74,72
1:36,56,Official TV Timeout,74,72
1:22,56,Luke Doyle missed Three Point Jumper.,74,72
1:22,58,Terrence Samuel Defensive Rebound.,74,72
0:54,58,Stephan Jiggetts missed Jumper.,74,72
0:54,56,Larry Dennis Defensive Rebound.,74,72
0:42,56,B.J. Glasford missed Three Point Jumper.,74,72
0:42,58,Payton Banks Defensive Rebound.,74,72
0:12,58,South Florida  Turnover.,74,72
0:12,56,Stetson  Timeout,74,72
0:03,56,B.J. Glasford missed Jumper.,74,72
0:03,58,Tulio Da Silva Defensive Rebound.,74,72
0:01,56,Foul on B.J. Glasford.,74,72
0:01,58,Tulio Da Silva made Free Throw.,75,72
0:01,58,Tulio Da Silva missed Free Throw.,75,72
0:01,56,B.J. Glasford Defensive Rebound.,75,72
0:01,56,Stetson  Timeout,75,72
0:01,58,South Florida  Timeout,75,72
0:01,56,Divine Myles missed Three Point Jumper.,75,72
0:01,56,Stetson Deadball Team Rebound.,75,72
0:00,56,End of Game,75,72
