American,277,West Virginia,44
11:51,277,Foul on Daxter Miles Jr..,7,12
11:51,277,Official TV Timeout,7,12
11:50,44,Larry Motuzis made Layup. Assisted by Sam Iorio.,9,12
11:34,277,James Bolden made Three Point Jumper. Assisted by Chase Harler.,9,15
11:22,277,Foul on James Bolden.,9,15
11:22,44,Sa'eed Nelson made Free Throw.,10,15
11:22,44,Sa'eed Nelson made Free Throw.,11,15
10:59,44,Foul on Matt Cimino.,11,15
10:39,44,Foul on Jesse Little.,11,15
10:39,277,Lamont West made Free Throw.,11,16
10:39,277,Lamont West made Free Throw.,11,17
10:39,277,Lamont West made Free Throw.,11,18
10:26,44,Larry Motuzis made Layup.,13,18
10:06,277,Maciej Bender missed Layup.,13,18
10:06,44,Matt Cimino Block.,13,18
10:04,44,Larry Motuzis Defensive Rebound.,13,18
9:54,44,Larry Motuzis made Three Point Jumper.,16,18
9:19,277,Maciej Bender missed Jumper.,16,18
9:19,277,Lamont West Offensive Rebound.,16,18
9:18,44,Foul on Sam Iorio.,16,18
9:18,277,Lamont West made Free Throw.,16,19
9:18,277,Lamont West made Free Throw.,16,20
9:09,44,Larry Motuzis made Three Point Jumper. Assisted by Sa'eed Nelson.,19,20
8:59,277,Jevon Carter missed Jumper.,19,20
8:59,44,Cheikh Diallo Defensive Rebound.,19,20
8:40,44,Sa'eed Nelson missed Layup.,19,20
8:40,44,Jesse Little Offensive Rebound.,19,20
8:34,44,Larry Motuzis missed Jumper.,19,20
8:34,44,Cheikh Diallo Offensive Rebound.,19,20
8:07,44,Jesse Little made Layup.,21,20
7:44,277,D'Angelo Hunter missed Jumper.,21,20
7:44,277,Logan Routt Offensive Rebound.,21,20
7:42,277,Logan Routt missed Layup.,21,20
7:42,44,Cheikh Diallo Defensive Rebound.,21,20
7:24,44,Larry Motuzis missed Three Point Jumper.,21,20
7:24,277,Jevon Carter Defensive Rebound.,21,20
7:16,44,Foul on Jesse Little.,21,20
7:16,277,Official TV Timeout,21,20
7:16,277,Lamont West made Free Throw.,21,21
7:16,277,Lamont West made Free Throw.,21,22
7:02,44,Larry Motuzis Turnover.,21,22
7:02,44,Foul on Larry Motuzis.,21,22
6:48,277,Teddy Allen made Jumper. Assisted by Daxter Miles Jr..,21,24
6:31,44,Cheikh Diallo made Three Point Jumper. Assisted by Sa'eed Nelson.,24,24
6:12,277,Daxter Miles Jr. missed Jumper.,24,24
6:12,44,Cheikh Diallo Defensive Rebound.,24,24
5:44,277,Foul on D'Angelo Hunter.,24,24
5:43,44,James Washington Turnover.,24,24
5:42,277,Jevon Carter Steal.,24,24
5:41,277,Jevon Carter made Layup.,24,26
5:19,44,Sa'eed Nelson Turnover.,24,26
5:18,277,Wesley Harris Steal.,24,26
5:16,277,Daxter Miles Jr. made Dunk. Assisted by Jevon Carter.,24,28
4:52,277,Foul on Chase Harler.,24,28
4:40,277,Foul on Chase Harler.,24,28
4:40,44,Larry Motuzis missed Free Throw.,24,28
4:40,277,Lamont West Defensive Rebound.,24,28
4:30,277,Jevon Carter missed Jumper.,24,28
4:30,277,Lamont West Offensive Rebound.,24,28
4:25,44,Foul on Matt Cimino.,24,28
4:25,277,Lamont West made Free Throw.,24,29
4:25,277,Lamont West made Free Throw.,24,30
4:04,277,Foul on Wesley Harris.,24,30
4:04,44,Sam Iorio made Free Throw.,25,30
4:04,44,Sam Iorio made Free Throw.,26,30
3:49,277,Jevon Carter made Jumper.,26,32
3:34,277,Foul on Wesley Harris.,26,32
3:34,277,Official TV Timeout,26,32
3:34,44,Sa'eed Nelson missed Free Throw.,26,32
3:34,277,Jevon Carter Defensive Rebound.,26,32
3:26,44,Foul on Matt Cimino.,26,32
3:26,277,Lamont West missed Free Throw.,26,32
3:26,277,West Virginia Deadball Team Rebound.,26,32
3:26,277,Lamont West missed Free Throw.,26,32
3:26,277,Daxter Miles Jr. Offensive Rebound.,26,32
3:19,44,Foul on Jesse Little.,26,32
3:19,277,Jevon Carter made Free Throw.,26,33
3:19,277,Jevon Carter made Free Throw.,26,34
3:03,277,Foul on Lamont West.,26,34
3:03,44,Nick Macarchuk missed Free Throw.,26,34
3:03,44,American Deadball Team Rebound.,26,34
3:03,44,Nick Macarchuk missed Free Throw.,26,34
3:03,277,Teddy Allen Defensive Rebound.,26,34
2:47,277,Lamont West missed Three Point Jumper.,26,34
2:47,277,Teddy Allen Offensive Rebound.,26,34
2:44,44,Foul on Larry Motuzis.,26,34
2:44,277,Teddy Allen missed Free Throw.,26,34
2:44,277,West Virginia Deadball Team Rebound.,26,34
2:44,277,Teddy Allen made Free Throw.,26,35
2:29,44,Sa'eed Nelson missed Three Point Jumper.,26,35
2:29,44,Nick Macarchuk Offensive Rebound.,26,35
2:27,44,Nick Macarchuk missed Layup.,26,35
2:27,277,Jevon Carter Defensive Rebound.,26,35
2:19,277,Daxter Miles Jr. Turnover.,26,35
2:18,44,Marvin Bragg Steal.,26,35
2:09,44,Sa'eed Nelson missed Layup.,26,35
2:09,44,Nick Macarchuk Offensive Rebound.,26,35
2:04,44,Drew LaMont missed Three Point Jumper.,26,35
2:04,277,Lamont West Defensive Rebound.,26,35
2:01,44,Foul on Sa'eed Nelson.,26,35
2:01,277,Lamont West missed Free Throw.,26,35
2:01,277,West Virginia Deadball Team Rebound.,26,35
2:01,277,Lamont West made Free Throw.,26,36
1:42,44,Cheikh Diallo made Three Point Jumper. Assisted by Sa'eed Nelson.,29,36
1:27,277,Chase Harler Turnover.,29,36
1:15,44,Cheikh Diallo Turnover.,29,36
1:14,277,Teddy Allen Steal.,29,36
1:10,277,Daxter Miles Jr. made Layup. Assisted by Jevon Carter.,29,38
1:03,44,Cheikh Diallo Turnover.,29,38
1:02,277,James Bolden Steal.,29,38
0:58,277,Teddy Allen made Three Point Jumper. Assisted by Jevon Carter.,29,41
0:50,44,Cheikh Diallo Turnover.,29,41
0:50,44,Foul on Cheikh Diallo.,29,41
0:50,44,Technical Foul on Cheikh Diallo.,29,41
0:50,277,James Bolden missed Free Throw.,29,41
0:50,277,West Virginia Deadball Team Rebound.,29,41
0:50,277,James Bolden made Free Throw.,29,42
0:26,277,Lamont West missed Layup.,29,42
0:26,44,Marvin Bragg Block.,29,42
0:26,44,James Washington made Free Throw.,30,42
0:26,44,James Washington made Free Throw.,31,42
0:25,44,James Washington Defensive Rebound.,29,42
0:25,277,Foul on James Bolden.,29,42
0:06,44,Foul on Sa'eed Nelson.,31,42
0:06,277,Jevon Carter made Free Throw.,31,43
0:06,277,Jevon Carter made Free Throw.,31,44
0:06,44,American  Timeout,31,44
0:02,277,Foul on Lamont West.,31,44
0:02,44,Sa'eed Nelson made Free Throw.,32,44
0:02,44,Sa'eed Nelson made Free Throw.,33,44
0:00,277,End of 1st half,33,44
19:51,44,Jesse Little Turnover.,33,44
19:31,277,James Bolden missed Three Point Jumper.,33,44
19:31,277,Daxter Miles Jr. Offensive Rebound.,33,44
19:22,277,Daxter Miles Jr. made Layup.,33,46
19:03,44,American  Timeout,33,46
18:47,44,Jesse Little missed Jumper.,33,46
18:47,44,Sa'eed Nelson Offensive Rebound.,33,46
18:44,44,Sa'eed Nelson made Layup.,35,46
18:14,277,Jevon Carter Turnover.,35,46
18:13,44,Sa'eed Nelson Steal.,35,46
18:10,44,Sa'eed Nelson Turnover.,35,46
18:10,277,Jevon Carter Steal.,35,46
18:06,277,James Bolden made Three Point Jumper. Assisted by Jevon Carter.,35,49
17:45,44,James Washington missed Three Point Jumper.,35,49
17:45,277,Daxter Miles Jr. Defensive Rebound.,35,49
17:39,277,James Bolden made Layup. Assisted by Daxter Miles Jr..,35,51
17:39,44,Foul on Sa'eed Nelson.,35,51
17:39,277,James Bolden made Free Throw.,35,52
17:39,277,James Bolden made Free Throw.,35,53
17:39,44,Sa'eed Nelson Turnover.,35,53
17:36,277,James Bolden missed Three Point Jumper.,35,53
17:36,44,Sam Iorio Defensive Rebound.,35,53
17:29,44,Sam Iorio Turnover.,35,53
17:28,277,Jevon Carter Steal.,35,53
17:11,277,Wesley Harris Turnover.,35,53
16:47,44,Jesse Little Turnover.,35,53
16:46,277,James Bolden Steal.,35,53
16:41,277,Daxter Miles Jr. missed Layup.,35,53
16:41,44,American Defensive Rebound.,35,53
16:33,44,Sa'eed Nelson missed Three Point Jumper.,35,53
16:33,277,Wesley Harris Defensive Rebound.,35,53
16:11,277,Jevon Carter made Jumper. Assisted by Logan Routt.,35,55
15:45,44,Drew LaMont missed Three Point Jumper.,35,55
15:45,277,Daxter Miles Jr. Defensive Rebound.,35,55
15:35,277,Wesley Harris made Dunk.,35,57
15:25,277,Foul on Wesley Harris.,35,57
15:25,277,Official TV Timeout,35,57
15:18,44,Sa'eed Nelson Turnover.,35,57
15:18,277,Jevon Carter Steal.,35,57
15:15,277,Jevon Carter made Layup.,35,59
14:43,44,Larry Motuzis Turnover.,35,59
14:43,44,Foul on Larry Motuzis.,35,59
14:24,277,Logan Routt made Jumper. Assisted by Daxter Miles Jr..,35,61
14:07,44,Matt Cimino made Layup. Assisted by Sa'eed Nelson.,37,61
13:47,277,Daxter Miles Jr. made Layup. Assisted by Logan Routt.,37,63
13:18,44,Drew LaMont Turnover.,37,63
12:57,277,Teddy Allen made Layup.,37,65
12:43,44,Sam Iorio made Dunk. Assisted by James Washington.,39,65
12:19,44,Foul on Sam Iorio.,39,65
12:19,277,Teddy Allen made Free Throw.,39,66
12:19,277,Teddy Allen made Free Throw.,39,67
12:07,44,Matt Cimino missed Three Point Jumper.,39,67
12:07,277,Lamont West Defensive Rebound.,39,67
11:58,277,Jevon Carter made Layup.,39,69
11:58,44,Foul on Matt Cimino.,39,69
11:58,277,Official TV Timeout,39,69
11:58,277,Jevon Carter made Free Throw.,39,70
11:47,44,Larry Motuzis Turnover.,39,70
11:45,277,Jevon Carter Steal.,39,70
11:37,277,Lamont West missed Layup.,39,70
11:37,44,Sam Iorio Defensive Rebound.,39,70
11:06,44,James Washington missed Three Point Jumper.,39,70
11:06,277,Maciej Bender Defensive Rebound.,39,70
10:44,277,Jevon Carter missed Layup.,39,70
10:44,277,Lamont West Offensive Rebound.,39,70
10:38,277,Lamont West made Layup.,39,72
10:20,277,Foul on Lamont West.,39,72
10:20,44,Sam Iorio made Free Throw.,40,72
10:20,44,Sam Iorio made Free Throw.,41,72
9:59,277,Teddy Allen Turnover.,41,72
9:59,277,Foul on Teddy Allen.,41,72
9:49,44,Sa'eed Nelson made Layup.,43,72
9:24,44,Foul on Jesse Little.,43,72
9:24,277,Wesley Harris missed Free Throw.,43,72
9:24,277,West Virginia Deadball Team Rebound.,43,72
9:24,277,Wesley Harris made Free Throw.,43,73
9:09,44,Marvin Bragg made Three Point Jumper. Assisted by Nick Macarchuk.,46,73
8:56,277,Teddy Allen missed Jumper.,46,73
8:56,277,West Virginia Deadball Team Rebound.,46,73
8:54,277,Logan Routt made Layup. Assisted by Jevon Carter.,46,75
8:32,44,Larry Motuzis Turnover.,46,75
8:31,277,Jevon Carter Steal.,46,75
8:27,277,Jevon Carter Turnover.,46,75
8:10,44,Larry Motuzis missed Three Point Jumper.,46,75
8:10,277,West Virginia Defensive Rebound.,46,75
7:45,277,Wesley Harris missed Three Point Jumper.,46,75
7:45,44,Larry Motuzis Defensive Rebound.,46,75
7:37,44,Marvin Bragg missed Three Point Jumper.,46,75
7:37,277,Wesley Harris Defensive Rebound.,46,75
7:25,277,Daxter Miles Jr. missed Layup.,46,75
7:25,277,Logan Routt Offensive Rebound.,46,75
7:23,277,Logan Routt made Layup.,46,77
6:52,44,Jesse Little missed Three Point Jumper.,46,77
6:52,277,Logan Routt Defensive Rebound.,46,77
6:39,277,Jevon Carter missed Three Point Jumper.,46,77
6:39,277,Logan Routt Offensive Rebound.,46,77
6:32,277,Jevon Carter made Jumper. Assisted by Logan Routt.,46,79
6:18,44,Nick Macarchuk made Layup. Assisted by Sa'eed Nelson.,48,79
5:49,44,Foul on Jesse Little.,48,79
5:49,277,Official TV Timeout,48,79
5:49,277,Daxter Miles Jr. made Free Throw.,48,80
5:49,277,Daxter Miles Jr. missed Free Throw.,48,80
5:49,44,Nick Macarchuk Defensive Rebound.,48,80
5:49,277,Foul on Maciej Bender.,48,80
5:26,44,Larry Motuzis made Three Point Jumper. Assisted by Sa'eed Nelson.,51,80
5:06,277,Daxter Miles Jr. made Three Point Jumper. Assisted by James Bolden.,51,83
4:45,44,Larry Motuzis made Layup. Assisted by Sam Iorio.,53,83
4:21,44,Foul on Sam Iorio.,53,83
4:21,277,Daxter Miles Jr. made Free Throw.,53,84
4:21,277,Daxter Miles Jr. made Free Throw.,53,85
4:21,277,Daxter Miles Jr. made Free Throw.,53,86
4:11,44,Sa'eed Nelson made Three Point Jumper.,56,86
4:11,277,Foul on Jevon Carter.,56,86
4:11,44,Sa'eed Nelson missed Free Throw.,56,86
4:11,277,Jevon Carter Defensive Rebound.,56,86
3:47,277,Jevon Carter missed Jumper.,56,86
3:47,277,Wesley Harris Offensive Rebound.,56,86
3:45,277,Wesley Harris missed Layup.,56,86
3:45,277,Wesley Harris Offensive Rebound.,56,86
3:42,277,Wesley Harris made Layup.,56,88
3:26,44,Sa'eed Nelson Turnover.,56,88
3:25,277,Jevon Carter Steal.,56,88
3:21,277,Daxter Miles Jr. made Layup. Assisted by Jevon Carter.,56,90
3:08,44,Sa'eed Nelson missed Layup.,56,90
3:08,277,Jevon Carter Block.,56,90
3:06,44,Sa'eed Nelson Offensive Rebound.,56,90
3:05,277,Foul on Jevon Carter.,56,90
3:05,277,Official TV Timeout,56,90
3:05,44,Sa'eed Nelson made Free Throw.,57,90
3:05,44,Sa'eed Nelson made Free Throw.,58,90
2:36,277,James Bolden made Three Point Jumper.,58,93
2:19,44,Marvin Bragg made Layup. Assisted by Matt Cimino.,60,93
2:19,277,Foul on Teddy Allen.,60,93
2:19,44,Marvin Bragg missed Free Throw.,60,93
2:19,277,Wesley Harris Defensive Rebound.,60,93
1:58,44,Foul on Nick Macarchuk.,60,93
1:58,277,Wesley Harris made Free Throw.,60,94
1:58,277,Wesley Harris missed Free Throw.,60,94
1:58,44,Marvin Bragg Defensive Rebound.,60,94
1:37,44,Drew LaMont made Three Point Jumper. Assisted by Nick Macarchuk.,63,94
1:07,277,Maciej Bender made Layup.,63,96
0:47,277,Foul on Wesley Harris.,63,96
0:47,44,James Washington made Free Throw.,64,96
0:47,44,James Washington missed Free Throw.,64,96
0:47,44,American Offensive Rebound.,64,96
0:33,44,Drew LaMont missed Three Point Jumper.,64,96
0:33,44,Nick Macarchuk Offensive Rebound.,64,96
0:18,44,Nick Macarchuk Turnover.,64,96
0:16,277,D'Angelo Hunter Steal.,64,96
0:07,277,James Bolden made Jumper.,64,98
0:00,44,Kevin Brown missed Three Point Jumper.,64,98
0:00,277,West Virginia Defensive Rebound.,64,98
0:00,277,End of Game,64,98
