KY Wesleyan,98,Western Kentucky,2316
2:47,-1,Evan Milligan made Free Throw.,22,34
2:27,98,Dwight Coleby made Dunk. Assisted by Darius Thompson.,22,36
1:55,-1,Rasheide Bell made Jumper.,24,36
1:46,98,Lamonte Bearden made Layup.,24,38
1:46,-1,Foul on Dakota Quinn.,24,38
1:46,98,Lamonte Bearden made Free Throw.,24,39
1:33,-1,Evan Milligan made Layup. Assisted by Bird Cardwell.,26,39
1:21,98,Taveion Hollingsworth Turnover.,26,39
1:20,-1,Evan Milligan Steal.,26,39
1:04,-1,Brandon Hatton Turnover.,26,39
1:03,98,Lamonte Bearden Steal.,26,39
1:00,98,Darius Thompson Turnover.,26,39
0:39,-1,Erik Bell missed Layup.,26,39
0:39,98,Dwight Coleby Block.,26,39
0:39,-1,Kentucky Wesleyan Offensive Rebound.,26,39
0:35,-1,Brandon Hatton missed Three Point Jumper.,26,39
0:35,98,Darius Thompson Defensive Rebound.,26,39
0:27,98,Taveion Hollingsworth made Layup.,26,41
0:04,-1,Evan Milligan made Three Point Jumper. Assisted by Erik Bell.,29,41
0:00,98,End of 1st half,29,41
19:41,-1,Rasheide Bell made Layup.,31,41
19:21,98,Darius Thompson missed Three Point Jumper.,31,41
19:21,98,Justin Johnson Offensive Rebound.,31,41
19:12,98,Justin Johnson missed Layup.,31,41
19:12,98,Justin Johnson Offensive Rebound.,31,41
19:10,98,Justin Johnson made Layup.,31,43
18:55,-1,Bird Cardwell made Layup.,33,43
18:20,98,Lamonte Bearden missed Layup.,33,43
18:20,98,Dwight Coleby Offensive Rebound.,33,43
18:18,98,Dwight Coleby made Layup.,33,45
18:04,-1,Brandon Hatton missed Three Point Jumper.,33,45
18:04,-1,Amir Warnock Offensive Rebound.,33,45
18:01,98,Foul on Dwight Coleby.,33,45
17:49,-1,Bird Cardwell Turnover.,33,45
17:45,-1,Foul on Brandon Hatton.,33,45
17:45,98,Darius Thompson made Free Throw.,33,46
17:45,98,Darius Thompson made Free Throw.,33,47
17:31,98,Foul on Dwight Coleby.,33,47
17:31,-1,Rasheide Bell missed Free Throw.,33,47
17:31,-1,Kentucky Wesleyan Deadball Team Rebound.,33,47
17:31,-1,Rasheide Bell missed Free Throw.,33,47
17:31,98,Justin Johnson Defensive Rebound.,33,47
17:26,98,Taveion Hollingsworth missed Three Point Jumper.,33,47
17:26,98,Taveion Hollingsworth Offensive Rebound.,33,47
17:09,98,Lamonte Bearden made Layup.,33,49
16:57,-1,Rasheide Bell Turnover.,33,49
16:55,98,Lamonte Bearden Steal.,33,49
16:45,98,Justin Johnson made Layup. Assisted by Lamonte Bearden.,33,51
16:43,-1,Kentucky Wesleyan  Timeout,33,51
16:43,98,Official TV Timeout,33,51
16:14,-1,Brandon Hatton missed Jumper.,33,51
16:14,98,Justin Johnson Defensive Rebound.,33,51
16:05,98,Lamonte Bearden made Jumper.,33,53
15:48,-1,Brandon Hatton missed Three Point Jumper.,33,53
15:48,98,Taveion Hollingsworth Defensive Rebound.,33,53
15:39,-1,Foul on Erik Bell.,33,53
15:39,98,Official TV Timeout,33,53
15:31,98,Taveion Hollingsworth missed Three Point Jumper.,33,53
15:31,98,Dwight Coleby Offensive Rebound.,33,53
15:28,-1,Foul on Amir Warnock.,33,53
15:23,98,Lamonte Bearden Turnover.,33,53
15:18,-1,Evan Milligan Turnover.,33,53
15:08,-1,Foul on Chandler Redix.,33,53
14:52,98,Taveion Hollingsworth missed Jumper.,33,53
14:52,-1,Chandler Redix Defensive Rebound.,33,53
14:45,-1,Chandler Redix made Layup.,35,53
14:38,98,Lamonte Bearden Turnover.,35,53
14:22,-1,Dakota Quinn Turnover.,35,53
14:21,98,Jake Ohmer Steal.,35,53
14:18,98,Lamonte Bearden missed Layup.,35,53
14:17,98,Marek Nelson Offensive Rebound.,35,53
14:17,-1,Foul on Chandler Redix.,35,53
14:17,98,Marek Nelson made Free Throw.,35,54
14:17,98,Marek Nelson made Free Throw.,35,55
14:02,-1,Brandon Hatton made Three Point Jumper. Assisted by Bird Cardwell.,38,55
13:44,98,Lamonte Bearden missed Jumper.,38,55
13:44,98,Lamonte Bearden Offensive Rebound.,38,55
13:41,98,Lamonte Bearden made Jumper.,38,57
13:27,-1,Chandler Redix Turnover.,38,57
13:18,98,Taveion Hollingsworth missed Jumper.,38,57
13:18,-1,Rasheide Bell Defensive Rebound.,38,57
13:09,-1,Evan Milligan missed Three Point Jumper.,38,57
13:09,98,Marek Nelson Defensive Rebound.,38,57
12:56,98,Justin Johnson missed Jumper.,38,57
12:56,98,Western Kentucky Offensive Rebound.,38,57
12:53,98,Western Kentucky  Turnover.,38,57
12:24,-1,Rasheide Bell missed Three Point Jumper.,38,57
12:24,98,Justin Johnson Defensive Rebound.,38,57
11:55,98,Justin Johnson missed Three Point Jumper.,38,57
11:55,-1,Rasheide Bell Defensive Rebound.,38,57
11:49,98,Foul on Marek Nelson.,38,57
11:49,98,Official TV Timeout,38,57
11:36,-1,Evan Milligan made Layup. Assisted by Brandon Hatton.,40,57
11:16,98,Dwight Coleby made Layup. Assisted by Marek Nelson.,40,59
10:58,-1,Rasheide Bell missed Three Point Jumper.,40,59
10:58,98,Dwight Coleby Defensive Rebound.,40,59
10:45,-1,Foul on Amir Warnock.,40,59
10:45,-1,Technical Foul on Amir Warnock.,40,59
10:45,-1,Foul on Amir Warnock.,40,59
10:45,98,Jake Ohmer made Free Throw.,40,60
10:45,98,Jake Ohmer made Free Throw.,40,61
10:45,98,Dwight Coleby made Free Throw.,40,62
10:45,98,Dwight Coleby missed Free Throw.,40,62
10:41,-1,Brandon Hatton Defensive Rebound.,40,62
10:22,-1,Bird Cardwell missed Three Point Jumper.,40,62
10:22,98,Marek Nelson Defensive Rebound.,40,62
10:09,98,Marek Nelson made Layup. Assisted by Tyler Miller.,40,64
9:47,-1,Brandon Hatton missed Three Point Jumper.,40,64
9:47,98,Dwight Coleby Defensive Rebound.,40,64
9:30,98,Dwight Coleby missed Jumper.,40,64
9:30,98,Dwight Coleby Offensive Rebound.,40,64
9:22,-1,Foul on Dakota Quinn.,40,64
9:22,98,Jake Ohmer made Free Throw.,40,65
9:22,98,Jake Ohmer made Free Throw.,40,66
9:05,-1,Bird Cardwell made Jumper.,42,66
8:58,98,Foul on Lamonte Bearden.,42,66
8:58,98,Lamonte Bearden Turnover.,42,66
8:37,-1,Rasheide Bell made Layup. Assisted by Bird Cardwell.,44,66
8:12,-1,Foul on Erik Bell.,44,66
8:12,98,Jake Ohmer missed Free Throw.,44,66
8:12,98,Western Kentucky Deadball Team Rebound.,44,66
8:12,98,Jake Ohmer made Free Throw.,44,67
7:59,-1,Bird Cardwell made Three Point Jumper.,47,67
7:38,98,Justin Johnson missed Jumper.,47,67
7:38,-1,Bird Cardwell Defensive Rebound.,47,67
7:26,98,Foul on Marek Nelson.,47,67
7:26,98,Official TV Timeout,47,67
7:09,-1,Erik Bell missed Jumper.,47,67
7:09,98,Justin Johnson Defensive Rebound.,47,67
6:43,98,Darius Thompson made Three Point Jumper. Assisted by Lamonte Bearden.,47,70
6:10,-1,Rasheide Bell Turnover.,47,70
6:09,98,Justin Johnson Steal.,47,70
6:07,98,Taveion Hollingsworth made Layup. Assisted by Justin Johnson.,47,72
5:45,-1,Evan Milligan made Jumper. Assisted by Bird Cardwell.,49,72
5:42,-1,Kentucky Wesleyan  Timeout,49,72
5:35,-1,Foul on Bird Cardwell.,49,72
5:35,98,Lamonte Bearden made Free Throw.,49,73
5:35,98,Lamonte Bearden made Free Throw.,49,74
5:16,-1,Evan Milligan Turnover.,49,74
5:16,98,Darius Thompson Steal.,49,74
5:13,98,Darius Thompson made Layup. Assisted by Jake Ohmer.,49,76
4:54,-1,Erik Bell Turnover.,49,76
4:53,98,Taveion Hollingsworth Steal.,49,76
4:49,98,Jake Ohmer made Layup. Assisted by Taveion Hollingsworth.,49,78
4:44,-1,Bird Cardwell Turnover.,49,78
4:43,98,Taveion Hollingsworth Steal.,49,78
4:29,98,Jake Ohmer made Three Point Jumper. Assisted by Darius Thompson.,49,81
4:03,-1,Bird Cardwell Turnover.,49,81
4:02,98,Jake Ohmer Steal.,49,81
4:00,98,Darius Thompson Turnover.,49,81
4:00,98,Official TV Timeout,49,81
3:47,-1,Evan Milligan made Jumper. Assisted by Brandon Hatton.,51,81
3:18,98,Justin Johnson missed Jumper.,51,81
3:13,98,Lamonte Bearden Offensive Rebound.,51,81
3:11,98,Lamonte Bearden missed Jumper.,51,81
3:05,98,Taveion Hollingsworth Offensive Rebound.,51,81
2:50,98,Jake Ohmer missed Three Point Jumper.,51,81
2:50,-1,Brandon Hatton Defensive Rebound.,51,81
2:46,98,Foul on Justin Johnson.,51,81
2:39,-1,Bird Cardwell Turnover.,51,81
2:39,98,Jake Ohmer Steal.,51,81
2:33,98,Jake Ohmer missed Layup.,51,81
2:33,98,Marek Nelson Offensive Rebound.,51,81
2:31,98,Marek Nelson made Jumper.,51,83
2:15,-1,Rasheide Bell Turnover.,51,83
2:01,98,Taveion Hollingsworth missed Jumper.,51,83
2:01,98,Marek Nelson Offensive Rebound.,51,83
1:54,98,Taveion Hollingsworth missed Jumper.,51,83
1:54,98,Dwight Coleby Offensive Rebound.,51,83
1:50,98,Dwight Coleby Turnover.,51,83
1:49,-1,Brandon Hatton Steal.,51,83
1:39,-1,Evan Milligan missed Three Point Jumper.,51,83
1:39,98,Taveion Hollingsworth Defensive Rebound.,51,83
1:12,98,Dwight Coleby missed Jumper.,51,83
1:12,-1,Rasheide Bell Defensive Rebound.,51,83
1:05,-1,Evan Milligan made Dunk. Assisted by Rasheide Bell.,53,83
0:44,98,Jake Ohmer missed Three Point Jumper.,53,83
0:44,98,Western Kentucky Offensive Rebound.,53,83
0:38,98,Jake Ohmer missed Three Point Jumper.,53,83
0:38,-1,Evan Milligan Defensive Rebound.,53,83
0:17,-1,Rasheide Bell Turnover.,53,83
0:16,98,Marek Nelson Steal.,53,83
0:00,98,End of Game,53,83
