Montana-Western,Error,Montana State,147
15:43,2701,Brandon Jones Offensive Rebound.,2,16
15:40,147,Foul on Konner Frey.,2,16
15:40,2701,Brandon Jones made Free Throw.,3,16
15:40,2701,Brandon Jones made Free Throw.,4,16
15:26,147,Isaac Bonton missed Jumper.,4,16
15:26,147,Konner Frey Offensive Rebound.,4,16
15:21,147,Joe Mvuezolo Jr. made Jumper. Assisted by Konner Frey.,4,18
15:07,147,Foul on Harald Frey.,4,18
15:07,2701,Kooper Kidgell made Free Throw.,5,18
15:07,2701,Kooper Kidgell made Free Throw.,6,18
14:55,147,Isaac Bonton missed Three Point Jumper.,6,18
14:55,147,Konner Frey Offensive Rebound.,6,18
14:53,2701,Foul on Kooper Kidgell.,6,18
14:41,147,Zach Green Turnover.,6,18
14:34,2701,Zaccheus Darko-Kelly missed Three Point Jumper.,6,18
14:34,147,Isaac Bonton Defensive Rebound.,6,18
14:26,147,Isaac Bonton Turnover.,6,18
14:17,147,Foul on Zach Green.,6,18
14:14,2701,Brandon Jones made Layup.,8,18
14:00,147,Foul on Isaac Bonton.,8,18
14:00,147,Isaac Bonton Turnover.,8,18
13:45,2701,Zaccheus Darko-Kelly Turnover.,8,18
13:21,147,Devonte Klines missed Jumper.,8,18
13:21,147,Devonte Klines Offensive Rebound.,8,18
13:17,147,Devonte Klines made Layup.,8,20
13:07,2701,Riley King missed Jumper.,8,20
13:07,147,Luke Schultz Defensive Rebound.,8,20
12:48,2701,Foul on Riley King.,8,20
12:40,147,Harald Frey made Three Point Jumper. Assisted by Tyler Hall.,8,23
12:22,2701,Warren Helligar made Layup.,10,23
12:21,147,Montana State  Timeout,10,23
12:02,147,Tyler Hall missed Three Point Jumper.,10,23
12:02,2701,Warren Helligar Defensive Rebound.,10,23
11:47,2701,Dom Robinson made Three Point Jumper. Assisted by Warren Helligar.,13,23
11:28,147,Sam Neumann made Layup. Assisted by Harald Frey.,13,25
11:14,2701,Warren Helligar missed Jumper.,13,25
11:14,147,Keljin Blevins Defensive Rebound.,13,25
11:07,2701,Foul on Warren Helligar.,13,25
11:01,147,Keljin Blevins missed Jumper.,13,25
11:01,2701,Zaccheus Darko-Kelly Block.,13,25
11:00,2701,Marcus Payne Defensive Rebound.,13,25
10:53,147,Foul on Keljin Blevins.,13,25
10:53,2701,Zaccheus Darko-Kelly missed Free Throw.,13,25
10:53,2701,Montana-Western Deadball Team Rebound.,13,25
10:53,2701,Zaccheus Darko-Kelly missed Free Throw.,13,25
10:53,147,Harald Frey Defensive Rebound.,13,25
10:42,147,Foul on Zach Green.,13,25
10:42,147,Zach Green Turnover.,13,25
10:34,2701,Dom Robinson missed Three Point Jumper.,13,25
10:34,147,Sam Neumann Defensive Rebound.,13,25
10:19,147,Isaac Bonton Turnover.,13,25
9:58,2701,Kooper Kidgell missed Layup.,13,25
9:58,147,Sam Neumann Defensive Rebound.,13,25
9:51,147,Sam Neumann made Layup. Assisted by Konner Frey.,13,27
9:34,2701,Trey Edwards missed Jumper.,13,27
9:34,147,Harald Frey Defensive Rebound.,13,27
9:24,147,Tyler Hall made Jumper.,13,29
9:24,2701,Foul on Zaccheus Darko-Kelly.,13,29
9:24,147,Tyler Hall made Free Throw.,13,30
9:12,2701,Brandon Jones made Three Point Jumper. Assisted by Trey Edwards.,16,30
8:56,147,Joe Mvuezolo Jr. Turnover.,16,30
8:40,147,Foul on Konner Frey.,16,30
8:40,2701,Kooper Kidgell made Free Throw.,17,30
8:40,2701,Kooper Kidgell made Free Throw.,18,30
8:35,147,Foul on Luke Schultz.,18,30
8:35,147,Luke Schultz Turnover.,18,30
8:18,2701,Foul on Troy Scott.,18,30
8:18,2701,Troy Scott Turnover.,18,30
7:56,147,Joe Mvuezolo Jr. missed Jumper.,18,30
7:56,2701,Trey Edwards Defensive Rebound.,18,30
7:44,2701,Foul on Brandon Jones.,18,30
7:44,2701,Brandon Jones Turnover.,18,30
7:44,147,Official TV Timeout,18,30
7:34,147,Isaac Bonton missed Three Point Jumper.,18,30
7:34,147,Zach Green Offensive Rebound.,18,30
7:30,147,Zach Green missed Jumper.,18,30
7:30,2701,Trey Edwards Block.,18,30
7:28,2701,Trey Edwards Defensive Rebound.,18,30
7:21,2701,Dom Robinson made Layup.,20,30
7:10,147,Devonte Klines missed Three Point Jumper.,20,30
7:10,2701,Dom Robinson Defensive Rebound.,20,30
7:07,2701,Dom Robinson missed Jumper.,20,30
7:07,147,Isaac Bonton Defensive Rebound.,20,30
6:57,147,Tyler Hall missed Jumper.,20,30
6:57,2701,Troy Scott Defensive Rebound.,20,30
6:41,2701,Brandon Jones missed Three Point Jumper.,20,30
6:41,147,Zach Green Defensive Rebound.,20,30
6:30,147,Isaac Bonton missed Layup.,20,30
6:30,147,Luke Schultz Offensive Rebound.,20,30
6:27,147,Luke Schultz made Jumper.,20,32
6:15,147,Foul on Zach Green.,20,32
6:15,2701,Brandon Jones missed Free Throw.,20,32
6:15,2701,Montana-Western Deadball Team Rebound.,20,32
6:15,2701,Brandon Jones made Free Throw.,21,32
5:49,147,Keljin Blevins missed Three Point Jumper.,21,32
5:49,2701,Kooper Kidgell Defensive Rebound.,21,32
5:36,2701,Dom Robinson missed Three Point Jumper.,21,32
5:36,147,Isaac Bonton Defensive Rebound.,21,32
5:26,147,Isaac Bonton made Jumper.,21,34
5:11,2701,Warren Helligar made Three Point Jumper. Assisted by Zaccheus Darko-Kelly.,24,34
4:56,2701,Foul on Dom Robinson.,24,34
4:56,147,Luke Schultz missed Free Throw.,24,34
4:56,147,Montana State Deadball Team Rebound.,24,34
4:56,147,Luke Schultz missed Free Throw.,24,34
4:56,2701,Zaccheus Darko-Kelly Defensive Rebound.,24,34
4:45,2701,Warren Helligar Turnover.,24,34
4:45,147,Luke Schultz Steal.,24,34
4:45,2701,Foul on Warren Helligar.,24,34
4:45,147,Devonte Klines missed Free Throw.,24,34
4:45,147,Montana State Deadball Team Rebound.,24,34
4:45,147,Devonte Klines missed Free Throw.,24,34
4:45,2701,Kooper Kidgell Defensive Rebound.,24,34
4:35,147,Foul on Tyler Hall.,24,34
4:35,2701,Kooper Kidgell missed Free Throw.,24,34
4:35,2701,Montana-Western Deadball Team Rebound.,24,34
4:35,2701,Kooper Kidgell made Free Throw.,25,34
4:21,147,Tyler Hall missed Jumper.,25,34
4:21,2701,Dom Robinson Defensive Rebound.,25,34
4:13,2701,Zaccheus Darko-Kelly made Three Point Jumper.,28,34
3:52,147,Harald Frey made Jumper.,28,36
3:40,147,Foul on Sam Neumann.,28,36
3:40,147,Official TV Timeout,28,36
3:40,2701,Kooper Kidgell made Free Throw.,29,36
3:40,2701,Kooper Kidgell made Free Throw.,30,36
3:21,147,Harald Frey missed Layup.,30,36
3:21,2701,Riley King Defensive Rebound.,30,36
3:20,147,Foul on Sam Neumann.,30,36
3:20,2701,Riley King made Free Throw.,31,36
3:20,2701,Riley King made Free Throw.,32,36
3:14,2701,Foul on Dom Robinson.,32,36
3:14,147,Harald Frey made Free Throw.,32,37
3:14,147,Harald Frey made Free Throw.,32,38
2:56,2701,Zaccheus Darko-Kelly made Jumper.,34,38
2:35,2701,Foul on Zaccheus Darko-Kelly.,34,38
2:35,147,Keljin Blevins made Free Throw.,34,39
2:35,147,Keljin Blevins made Free Throw.,34,40
2:22,147,Joe Mvuezolo Jr. Steal.,34,40
2:21,2701,Riley King Turnover.,34,40
2:16,147,Harald Frey made Three Point Jumper. Assisted by Sam Neumann.,34,43
2:04,2701,Riley King made Three Point Jumper. Assisted by Dom Robinson.,37,43
1:42,147,Keljin Blevins missed Jumper.,37,43
1:42,2701,Riley King Defensive Rebound.,37,43
1:34,2701,Zaccheus Darko-Kelly missed Jumper.,37,43
1:34,147,Keljin Blevins Defensive Rebound.,37,43
1:31,147,Keljin Blevins Turnover.,37,43
1:27,2701,Dom Robinson missed Three Point Jumper.,37,43
1:27,147,Joe Mvuezolo Jr. Defensive Rebound.,37,43
1:24,147,Foul on Keljin Blevins.,37,43
1:24,2701,Riley King made Free Throw.,38,43
1:24,2701,Riley King made Free Throw.,39,43
1:11,147,Tyler Hall made Three Point Jumper. Assisted by Keljin Blevins.,39,46
1:11,2701,Foul on Zaccheus Darko-Kelly.,39,46
1:11,147,Tyler Hall made Free Throw.,39,47
0:55,2701,Kooper Kidgell made Layup. Assisted by Troy Scott.,41,47
0:45,2701,Foul on Collin Achenbach.,41,47
0:45,147,Harald Frey made Free Throw.,41,48
0:45,147,Harald Frey made Free Throw.,41,49
0:36,2701,Collin Achenbach missed Layup.,41,49
0:36,147,Joe Mvuezolo Jr. Block.,41,49
0:34,2701,Kooper Kidgell Offensive Rebound.,41,49
0:31,2701,Kooper Kidgell missed Jumper.,41,49
0:31,147,Luke Schultz Defensive Rebound.,41,49
0:00,147,Luke Schultz made Jumper. Assisted by Tyler Hall.,41,51
0:00,147,End of 1st half,41,51
19:52,2701,Kooper Kidgell made Layup. Assisted by Dom Robinson.,43,51
19:20,147,Keljin Blevins Turnover.,43,51
19:18,2701,Brandon Jones Steal.,43,51
19:16,2701,Kooper Kidgell made Layup.,45,51
19:09,147,Montana State  Timeout,45,51
18:47,147,Devonte Klines missed Jumper.,45,51
18:47,147,Montana State Offensive Rebound.,45,51
18:37,147,Devonte Klines made Layup.,45,53
18:27,2701,Dom Robinson Turnover.,45,53
18:25,147,Harald Frey Steal.,45,53
18:22,147,Keljin Blevins made Dunk. Assisted by Harald Frey.,45,55
18:04,2701,Marcus Payne made Dunk. Assisted by Kooper Kidgell.,47,55
17:55,147,Devonte Klines made Layup.,47,57
17:47,2701,Dom Robinson Turnover.,47,57
17:45,147,Joe Mvuezolo Jr. Steal.,47,57
17:43,147,Joe Mvuezolo Jr. Turnover.,47,57
17:32,2701,Foul on Brandon Jones.,47,57
17:32,2701,Brandon Jones Turnover.,47,57
17:17,147,Keljin Blevins missed Layup.,47,57
17:17,2701,Marcus Payne Defensive Rebound.,47,57
17:09,147,Foul on Joe Mvuezolo Jr..,47,57
17:09,2701,Marcus Payne missed Free Throw.,47,57
17:09,2701,Montana-Western Deadball Team Rebound.,47,57
17:09,2701,Marcus Payne made Free Throw.,48,57
17:01,2701,Foul on Brandon Jones.,48,57
16:46,147,Isaac Bonton made Three Point Jumper. Assisted by Zach Green.,48,60
16:30,2701,Marcus Payne made Layup.,50,60
16:15,147,Harald Frey missed Three Point Jumper.,50,60
16:15,2701,Riley King Defensive Rebound.,50,60
16:08,2701,Zaccheus Darko-Kelly made Three Point Jumper. Assisted by Dom Robinson.,53,60
15:54,147,Isaac Bonton made Three Point Jumper.,53,63
15:38,2701,Kooper Kidgell made Layup. Assisted by Marcus Payne.,55,63
15:22,147,Konner Frey missed Jumper.,55,63
15:22,147,Konner Frey Offensive Rebound.,55,63
15:20,2701,Foul on Riley King.,55,63
15:20,147,Official TV Timeout,55,63
15:20,147,Konner Frey made Free Throw.,55,64
15:20,147,Konner Frey made Free Throw.,55,65
15:05,2701,Marcus Payne made Jumper.,57,65
14:52,147,Zach Green missed Three Point Jumper.,57,65
14:52,2701,Zaccheus Darko-Kelly Defensive Rebound.,57,65
14:40,2701,Riley King made Three Point Jumper. Assisted by Dom Robinson.,60,65
14:17,147,Devonte Klines made Three Point Jumper. Assisted by Zach Green.,60,68
14:07,2701,Warren Helligar missed Three Point Jumper.,60,68
14:07,147,Konner Frey Defensive Rebound.,60,68
13:52,147,Isaac Bonton missed Jumper.,60,68
13:52,2701,Marcus Payne Defensive Rebound.,60,68
13:46,2701,Zaccheus Darko-Kelly made Three Point Jumper. Assisted by Dom Robinson.,63,68
13:42,147,Montana State  Timeout,63,68
13:28,147,Tyler Hall made Three Point Jumper.,63,71
13:13,2701,Dom Robinson made Jumper.,65,71
13:13,147,Foul on Joe Mvuezolo Jr..,65,71
13:13,2701,Dom Robinson made Free Throw.,66,71
13:01,2701,Foul on Warren Helligar.,66,71
13:01,147,Tyler Hall missed Free Throw.,66,71
13:01,147,Montana State Deadball Team Rebound.,66,71
13:01,147,Tyler Hall made Free Throw.,66,72
13:01,147,Tyler Hall made Free Throw.,66,73
12:52,2701,Dom Robinson made Three Point Jumper.,69,73
12:39,2701,Foul on Christian Deane.,69,73
12:32,147,Harald Frey made Three Point Jumper. Assisted by Tyler Hall.,69,76
12:20,2701,Riley King missed Three Point Jumper.,69,76
12:20,147,Luke Schultz Defensive Rebound.,69,76
12:11,2701,Foul on Riley King.,69,76
12:11,147,Harald Frey missed Free Throw.,69,76
12:11,147,Montana State Deadball Team Rebound.,69,76
12:11,147,Harald Frey made Free Throw.,69,77
12:00,2701,Christian Deane missed Three Point Jumper.,69,77
12:00,147,Harald Frey Defensive Rebound.,69,77
11:48,147,Harald Frey missed Three Point Jumper.,69,77
11:48,147,Luke Schultz Offensive Rebound.,69,77
11:31,2701,Foul on Marcus Payne.,69,77
11:31,147,Official TV Timeout,69,77
11:31,147,Devonte Klines missed Free Throw.,69,77
11:31,147,Montana State Deadball Team Rebound.,69,77
11:31,147,Devonte Klines missed Free Throw.,69,77
11:31,2701,Marcus Payne Defensive Rebound.,69,77
11:13,2701,Marcus Payne missed Jumper.,69,77
11:13,147,Harald Frey Defensive Rebound.,69,77
11:04,147,Tyler Hall made Three Point Jumper. Assisted by Devonte Klines.,69,80
10:48,2701,Zaccheus Darko-Kelly missed Three Point Jumper.,69,80
10:48,2701,Marcus Payne Offensive Rebound.,69,80
10:46,147,Foul on Luke Schultz.,69,80
10:46,2701,Montana-Western  Timeout,69,80
10:37,2701,Zaccheus Darko-Kelly Turnover.,69,80
10:36,147,Devonte Klines Steal.,69,80
10:32,147,Devonte Klines made Layup.,69,82
10:16,147,Foul on Devonte Klines.,69,82
10:16,2701,Zaccheus Darko-Kelly made Free Throw.,70,82
10:16,2701,Zaccheus Darko-Kelly missed Free Throw.,70,82
10:16,147,Sam Neumann Defensive Rebound.,70,82
9:55,147,Tyler Hall made Three Point Jumper.,70,85
9:45,2701,Brandon Jones missed Three Point Jumper.,70,85
9:45,147,Tyler Hall Defensive Rebound.,70,85
9:37,147,Keljin Blevins missed Jumper.,70,85
9:37,147,Sam Neumann Offensive Rebound.,70,85
9:32,147,Sam Neumann made Jumper.,70,87
9:20,2701,Kooper Kidgell missed Three Point Jumper.,70,87
9:20,147,Isaac Bonton Defensive Rebound.,70,87
9:15,147,Tyler Hall made Layup. Assisted by Keljin Blevins.,70,89
9:12,2701,Montana-Western  Timeout,70,89
8:57,2701,Zaccheus Darko-Kelly made Jumper. Assisted by Dom Robinson.,72,89
8:39,147,Konner Frey made Layup. Assisted by Joe Mvuezolo Jr..,72,91
8:29,2701,Dom Robinson missed Jumper.,72,91
8:29,147,Konner Frey Block.,72,91
8:27,147,Isaac Bonton Defensive Rebound.,72,91
8:23,147,Isaac Bonton Turnover.,72,91
8:22,2701,Kooper Kidgell Steal.,72,91
8:17,2701,Zaccheus Darko-Kelly missed Dunk.,72,91
8:17,147,Konner Frey Defensive Rebound.,72,91
8:12,147,Joe Mvuezolo Jr. missed Three Point Jumper.,72,91
8:12,2701,Zaccheus Darko-Kelly Defensive Rebound.,72,91
7:58,2701,Riley King Turnover.,72,91
7:56,147,Joe Mvuezolo Jr. Steal.,72,91
7:51,147,Konner Frey made Layup. Assisted by Harald Frey.,72,93
7:34,147,Foul on Konner Frey.,72,93
7:34,147,Official TV Timeout,72,93
7:34,2701,Brandon Jones made Free Throw.,73,93
7:34,2701,Brandon Jones made Free Throw.,74,93
7:08,147,Konner Frey made Jumper. Assisted by Harald Frey.,74,95
6:53,147,Foul on Isaac Bonton.,74,95
6:45,147,Zach Green Steal.,74,95
6:43,2701,Dom Robinson Turnover.,74,95
6:41,147,Foul on Zach Green.,74,95
6:41,147,Zach Green Turnover.,74,95
6:23,147,Foul on Konner Frey.,74,95
6:23,2701,Troy Scott missed Free Throw.,74,95
6:23,2701,Montana-Western Deadball Team Rebound.,74,95
6:23,2701,Troy Scott made Free Throw.,75,95
6:12,147,Isaac Bonton Turnover.,75,95
6:11,2701,Troy Scott Steal.,75,95
6:06,147,Foul on Isaac Bonton.,75,95
6:06,2701,Brandon Jones missed Free Throw.,75,95
6:06,147,Konner Frey Defensive Rebound.,75,95
5:44,147,Konner Frey made Layup. Assisted by Isaac Bonton.,75,97
5:32,2701,Troy Scott missed Three Point Jumper.,75,97
5:32,147,Joe Mvuezolo Jr. Defensive Rebound.,75,97
5:20,147,Konner Frey missed Jumper.,75,97
5:20,2701,Trey Edwards Defensive Rebound.,75,97
5:12,2701,Brandon Jones missed Jumper.,75,97
5:12,147,Harald Frey Defensive Rebound.,75,97
4:45,147,Isaac Bonton made Jumper. Assisted by Harald Frey.,75,99
4:33,2701,Collin Achenbach Turnover.,75,99
4:15,147,Isaac Bonton made Three Point Jumper. Assisted by Konner Frey.,75,102
3:50,2701,Collin Achenbach missed Three Point Jumper.,75,102
3:50,147,Keljin Blevins Defensive Rebound.,75,102
3:42,147,Isaac Bonton missed Layup.,75,102
3:42,2701,Collin Achenbach Defensive Rebound.,75,102
3:24,2701,Derrek Durocher missed Three Point Jumper.,75,102
3:24,147,Harald Frey Defensive Rebound.,75,102
3:16,147,Montana State  Timeout,75,102
3:04,147,Joe Mvuezolo Jr. made Three Point Jumper. Assisted by Lassi Nikkarinen.,75,105
2:51,2701,Christian Deane missed Three Point Jumper.,75,105
2:51,147,Montana State Defensive Rebound.,75,105
2:23,147,Lassi Nikkarinen missed Three Point Jumper.,75,105
2:23,2701,Connor Burkhart Defensive Rebound.,75,105
2:19,147,Foul on Luke Schultz.,75,105
2:19,2701,Connor Burkhart made Free Throw.,76,105
2:19,2701,Connor Burkhart missed Free Throw.,76,105
2:19,147,Joe Mvuezolo Jr. Defensive Rebound.,76,105
2:02,147,Keljin Blevins missed Jumper.,76,105
2:02,2701,Christian Deane Defensive Rebound.,76,105
2:00,147,Foul on Luke Schultz.,76,105
2:00,2701,Christian Deane missed Free Throw.,76,105
2:00,2701,Montana-Western Deadball Team Rebound.,76,105
2:00,2701,Christian Deane made Free Throw.,77,105
1:47,147,Joe Mvuezolo Jr. missed Three Point Jumper.,77,105
1:47,2701,Christian Deane Defensive Rebound.,77,105
1:30,2701,Connor Burkhart made Jumper. Assisted by Collin Achenbach.,79,105
0:57,147,Devonte Klines missed Layup.,79,105
0:57,147,Luke Schultz Offensive Rebound.,79,105
0:51,147,Luke Schultz made Layup.,79,107
0:42,2701,Derek Walker missed Three Point Jumper.,79,107
0:42,147,Luke Schultz Defensive Rebound.,79,107
0:36,2701,Foul on Connor Burkhart.,79,107
0:36,147,Devonte Klines made Free Throw.,79,108
0:36,147,Devonte Klines made Free Throw.,79,109
0:23,2701,Derek Walker made Layup. Assisted by Connor Burkhart.,81,109
0:00,147,End of Game,81,109
