Hampton,2729,William &amp; Mary,2261
14:10,2729,Foul on Cole Harrison.,11,12
13:52,2261,Kalin Fisher made Layup.,13,12
13:34,2729,Justin Pierce made Layup.,13,14
13:17,2261,Austin Colbert missed Jumper.,13,14
13:17,2261,Akim Mitchell Offensive Rebound.,13,14
13:15,2729,Foul on Justin Pierce.,13,14
13:15,2729,Technical Foul on Justin Pierce.,13,14
13:15,2729,Foul on Justin Pierce.,13,14
13:15,2729,Technical Foul on William & Mary.,13,14
13:15,2261,Greg Heckstall made Free Throw.,14,14
13:15,2261,Greg Heckstall missed Free Throw.,14,14
13:15,2261,Hampton Deadball Team Rebound.,14,14
13:15,2261,Greg Heckstall missed Free Throw.,14,14
13:15,2261,Hampton Deadball Team Rebound.,14,14
13:15,2261,Greg Heckstall made Free Throw.,15,14
12:56,2261,Kalin Fisher made Jumper.,17,14
12:40,2261,Foul on Austin Colbert.,17,14
12:33,2729,Oliver Tot missed Three Point Jumper.,17,14
12:33,2261,Kalin Fisher Defensive Rebound.,17,14
12:08,2261,Greg Heckstall Turnover.,17,14
11:47,2729,Connor Burchfield missed Three Point Jumper.,17,14
11:47,2261,Austin Colbert Defensive Rebound.,17,14
11:38,2261,Austin Colbert made Three Point Jumper. Assisted by Greg Heckstall.,20,14
11:20,2729,Nathan Knight made Three Point Jumper. Assisted by Paul Rowley.,20,17
11:05,2261,Austin Colbert missed Three Point Jumper.,20,17
11:05,2729,Connor Burchfield Defensive Rebound.,20,17
10:53,2729,Nathan Knight Turnover.,20,17
10:53,2729,Foul on Nathan Knight.,20,17
10:53,2729,Official TV Timeout,20,17
10:40,2261,Austin Colbert made Three Point Jumper. Assisted by Kalin Fisher.,23,17
10:36,2261,Technical Foul on Austin Colbert.,23,17
10:36,2261,Foul on Austin Colbert.,23,17
10:36,2729,David Cohn made Free Throw.,23,18
10:36,2729,David Cohn made Free Throw.,23,19
10:26,2729,Connor Burchfield missed Three Point Jumper.,23,19
10:26,2261,Greg Heckstall Defensive Rebound.,23,19
10:04,2261,Kalin Fisher made Layup.,25,19
9:55,2729,Paul Rowley missed Three Point Jumper.,25,19
9:55,2729,Nathan Knight Offensive Rebound.,25,19
9:52,2729,Nathan Knight made Dunk.,25,21
9:29,2261,Greg Heckstall made Jumper.,27,21
9:15,2729,Matt Milon missed Three Point Jumper.,27,21
9:15,2261,A.J. Astroth Defensive Rebound.,27,21
8:54,2261,A.J. Astroth missed Jumper.,27,21
8:54,2729,David Cohn Defensive Rebound.,27,21
8:48,2261,Foul on A.J. Astroth.,27,21
8:48,2729,Nathan Knight missed Free Throw.,27,21
8:48,2729,William & Mary Deadball Team Rebound.,27,21
8:48,2729,Nathan Knight made Free Throw.,27,22
8:33,2729,Foul on Matt Milon.,27,22
8:33,2261,Trevond Barnes missed Free Throw.,27,22
8:33,2729,Nathan Knight Defensive Rebound.,27,22
8:13,2729,Paul Rowley missed Three Point Jumper.,27,22
8:13,2261,Kalin Fisher Defensive Rebound.,27,22
8:05,2261,Greg Heckstall missed Jumper.,27,22
8:05,2729,Nathan Knight Defensive Rebound.,27,22
8:02,2261,Foul on Trevond Barnes.,27,22
8:02,2729,Nathan Knight made Free Throw.,27,23
8:02,2729,Nathan Knight made Free Throw.,27,24
7:39,2261,Kalin Fisher missed Three Point Jumper.,27,24
7:39,2729,Nathan Knight Defensive Rebound.,27,24
7:37,2261,Foul on Charles Wilson-Fisher.,27,24
7:37,2729,Official TV Timeout,27,24
7:37,2729,Nathan Knight made Free Throw.,27,25
7:37,2729,Nathan Knight made Free Throw.,27,26
7:21,2261,Lysander Bracey missed Three Point Jumper.,27,26
7:21,2261,Trey Carver Offensive Rebound.,27,26
7:04,2729,Foul on Matt Milon.,27,26
7:04,2261,Greg Heckstall made Free Throw.,28,26
7:04,2261,Greg Heckstall made Free Throw.,29,26
6:47,2729,Nathan Knight missed Layup.,29,26
6:47,2261,Greg Heckstall Defensive Rebound.,29,26
6:38,2261,Kalin Fisher missed Jumper.,29,26
6:38,2261,Charles Wilson-Fisher Offensive Rebound.,29,26
6:34,2261,Charles Wilson-Fisher Turnover.,29,26
6:33,2729,Connor Burchfield Steal.,29,26
6:31,2729,Connor Burchfield Turnover.,29,26
6:31,2261,Charles Wilson-Fisher Steal.,29,26
6:30,2261,Charles Wilson-Fisher Turnover.,29,26
6:29,2729,Paul Rowley Steal.,29,26
6:16,2729,Jihar Williams made Three Point Jumper. Assisted by Connor Burchfield.,29,29
6:01,2729,Foul on Luke Loewe.,29,29
6:01,2261,Trey Carver made Free Throw.,30,29
6:01,2261,Trey Carver made Free Throw.,31,29
5:44,2261,Foul on Charles Wilson-Fisher.,31,29
5:41,2729,Nathan Knight made Free Throw.,31,30
5:41,2729,Nathan Knight missed Free Throw.,31,30
5:41,2261,Trey Carver Defensive Rebound.,31,30
5:29,2261,Kalin Fisher missed Jumper.,31,30
5:29,2729,Oliver Tot Defensive Rebound.,31,30
5:19,2729,David Cohn Turnover.,31,30
5:05,2261,Trey Carver Turnover.,31,30
4:51,2729,Jihar Williams missed Three Point Jumper.,31,30
4:51,2261,Greg Heckstall Defensive Rebound.,31,30
4:47,2261,Greg Heckstall Turnover.,31,30
4:44,2261,Foul on Austin Colbert.,31,30
4:44,2729,Nathan Knight made Free Throw.,31,31
4:44,2729,Nathan Knight missed Free Throw.,31,31
4:44,2261,A.J. Astroth Defensive Rebound.,31,31
4:27,2261,Trey Carver missed Three Point Jumper.,31,31
4:27,2261,A.J. Astroth Offensive Rebound.,31,31
4:25,2729,Foul on Jihar Williams.,31,31
4:25,2261,A.J. Astroth made Free Throw.,32,31
4:25,2261,A.J. Astroth missed Free Throw.,32,31
4:25,2729,Oliver Tot Defensive Rebound.,32,31
4:03,2729,Cole Harrison made Layup. Assisted by Oliver Tot.,32,33
3:45,2261,Akim Mitchell missed Three Point Jumper.,32,33
3:45,2729,William & Mary Defensive Rebound.,32,33
3:43,2729,Official TV Timeout,32,33
3:30,2729,Connor Burchfield missed Three Point Jumper.,32,33
3:30,2261,Akim Mitchell Defensive Rebound.,32,33
3:19,2261,Lysander Bracey made Jumper.,34,33
2:52,2729,Connor Burchfield Turnover.,34,33
2:51,2261,Greg Heckstall Steal.,34,33
2:48,2729,Foul on Oliver Tot.,34,33
2:48,2261,Lysander Bracey missed Free Throw.,34,33
2:48,2261,Hampton Deadball Team Rebound.,34,33
2:48,2261,Lysander Bracey made Free Throw.,35,33
2:20,2729,Matt Milon Turnover.,35,33
2:19,2261,Lysander Bracey Steal.,35,33
2:15,2261,Lysander Bracey missed Dunk.,35,33
2:15,2729,Matt Milon Defensive Rebound.,35,33
2:04,2261,Foul on Trey Carver.,35,33
2:04,2729,Nathan Knight made Free Throw.,35,34
2:04,2729,Nathan Knight made Free Throw.,35,35
1:49,2261,Lysander Bracey made Three Point Jumper.,38,35
1:26,2729,Paul Rowley missed Layup.,38,35
1:26,2261,A.J. Astroth Block.,38,35
1:26,2261,Hampton Defensive Rebound.,38,35
1:10,2261,Lysander Bracey Turnover.,38,35
1:09,2729,David Cohn Steal.,38,35
1:07,2729,David Cohn made Layup.,38,37
1:01,2261,Hampton  Timeout,38,37
0:45,2261,Lysander Bracey Turnover.,38,37
0:44,2729,Matt Milon Steal.,38,37
0:40,2729,Matt Milon made Layup.,38,39
0:15,2729,Nathan Knight Block.,38,39
0:15,2261,Trey Carver missed Layup.,38,39
0:15,2261,Hampton Offensive Rebound.,38,39
0:01,2261,Greg Heckstall made Three Point Jumper.,41,39
0:00,2729,End of 1st half,43,37
19:45,2261,Jermaine Marrow missed Layup.,41,39
19:45,2729,Paul Rowley Block.,41,39
19:44,2729,Nathan Knight Defensive Rebound.,41,39
19:28,2729,Nathan Knight missed Layup.,41,39
19:28,2729,Nathan Knight Offensive Rebound.,41,39
19:27,2261,Foul on Charles Wilson-Fisher.,41,39
19:27,2729,Nathan Knight made Free Throw.,41,40
19:27,2729,Nathan Knight missed Free Throw.,41,40
19:27,2261,Akim Mitchell Defensive Rebound.,41,40
19:05,2261,Trevond Barnes made Jumper. Assisted by Jermaine Marrow.,43,40
18:51,2729,Nathan Knight missed Layup.,43,40
18:51,2261,Trevond Barnes Block.,43,40
18:50,2261,Jermaine Marrow Defensive Rebound.,43,40
18:39,2261,Akim Mitchell made Layup.,45,40
18:23,2729,David Cohn missed Three Point Jumper.,45,40
18:23,2261,Greg Heckstall Defensive Rebound.,45,40
18:10,2261,Jermaine Marrow missed Jumper.,45,40
18:10,2729,Justin Pierce Defensive Rebound.,45,40
18:03,2729,Matt Milon made Three Point Jumper. Assisted by David Cohn.,45,43
17:43,2261,Charles Wilson-Fisher missed Jumper.,45,43
17:43,2729,Justin Pierce Defensive Rebound.,45,43
17:42,2261,Foul on Trevond Barnes.,45,43
17:33,2729,Paul Rowley Turnover.,45,43
17:32,2261,Akim Mitchell Steal.,45,43
17:30,2261,Akim Mitchell made Layup.,47,43
17:30,2729,Foul on Paul Rowley.,47,43
17:30,2261,Akim Mitchell missed Free Throw.,47,43
17:30,2729,Nathan Knight Defensive Rebound.,47,43
17:14,2729,Nathan Knight made Jumper.,47,45
17:00,2261,Greg Heckstall missed Jumper.,47,45
17:00,2261,Jermaine Marrow Offensive Rebound.,47,45
16:55,2261,Jermaine Marrow missed Jumper.,47,45
16:55,2729,Nathan Knight Defensive Rebound.,47,45
16:35,2729,David Cohn missed Layup.,47,45
16:35,2261,Charles Wilson-Fisher Defensive Rebound.,47,45
16:29,2261,Jermaine Marrow made Layup.,49,45
16:05,2729,Justin Pierce missed Jumper.,49,45
16:05,2261,Hampton Defensive Rebound.,49,45
15:45,2261,Jermaine Marrow made Layup.,51,45
15:38,2729,William & Mary  Timeout,51,45
15:21,2729,Paul Rowley made Three Point Jumper. Assisted by Nathan Knight.,51,48
14:56,2261,Jermaine Marrow made Three Point Jumper.,54,48
14:29,2729,Nathan Knight made Layup.,54,50
14:12,2261,Jermaine Marrow missed Jumper.,54,50
14:12,2729,Paul Rowley Block.,54,50
14:10,2261,Akim Mitchell Offensive Rebound.,54,50
14:07,2261,Akim Mitchell missed Jumper.,54,50
14:07,2729,Nathan Knight Defensive Rebound.,54,50
13:57,2729,Matt Milon made Three Point Jumper. Assisted by David Cohn.,54,53
13:33,2261,Austin Colbert missed Three Point Jumper.,54,53
13:33,2261,Charles Wilson-Fisher Offensive Rebound.,54,53
13:27,2261,Jermaine Marrow missed Three Point Jumper.,54,53
13:27,2729,Justin Pierce Defensive Rebound.,54,53
13:18,2729,Matt Milon made Layup. Assisted by Justin Pierce.,54,55
12:52,2261,Jermaine Marrow Turnover.,54,55
12:51,2729,Justin Pierce Steal.,54,55
12:50,2261,Foul on Greg Heckstall.,54,55
12:50,2729,Official TV Timeout,54,55
12:50,2729,Justin Pierce made Free Throw.,54,56
12:50,2729,Justin Pierce missed Free Throw.,54,56
12:50,2729,Justin Pierce Offensive Rebound.,54,56
12:38,2261,Foul on Charles Wilson-Fisher.,54,56
12:22,2729,Matt Milon missed Three Point Jumper.,54,56
12:22,2261,Jermaine Marrow Defensive Rebound.,54,56
12:15,2729,Foul on Paul Rowley.,54,56
12:15,2261,Jermaine Marrow made Free Throw.,55,56
12:15,2261,Jermaine Marrow made Free Throw.,56,56
12:03,2261,Foul on Greg Heckstall.,56,56
11:54,2729,Oliver Tot Turnover.,56,56
11:53,2261,Jermaine Marrow Steal.,56,56
11:51,2261,Jermaine Marrow made Layup.,58,56
11:24,2729,Justin Pierce missed Jumper.,58,56
11:24,2729,Nathan Knight Offensive Rebound.,58,56
11:23,2729,Nathan Knight made Layup.,58,58
11:01,2261,Jermaine Marrow made Jumper. Assisted by Austin Colbert.,60,58
10:40,2261,Foul on Greg Heckstall.,60,58
10:40,2729,Official TV Timeout,60,58
10:40,2729,Connor Burchfield made Free Throw.,60,59
10:40,2729,Connor Burchfield missed Free Throw.,60,59
10:40,2261,Austin Colbert Defensive Rebound.,60,59
10:22,2729,Foul on David Cohn.,60,59
10:22,2261,Jermaine Marrow made Free Throw.,61,59
10:22,2261,Jermaine Marrow made Free Throw.,62,59
10:08,2729,David Cohn Turnover.,62,59
10:08,2729,Foul on David Cohn.,62,59
9:57,2261,Kalin Fisher made Layup.,64,59
9:43,2729,Paul Rowley missed Three Point Jumper.,64,59
9:43,2261,A.J. Astroth Defensive Rebound.,64,59
9:35,2261,Jermaine Marrow missed Three Point Jumper.,64,59
9:35,2729,Paul Rowley Defensive Rebound.,64,59
9:19,2729,Nathan Knight missed Jumper.,64,59
9:19,2261,A.J. Astroth Defensive Rebound.,64,59
9:12,2729,Foul on Oliver Tot.,64,59
9:09,2261,A.J. Astroth missed Layup.,64,59
9:09,2729,Paul Rowley Block.,64,59
9:09,2729,Paul Rowley Defensive Rebound.,64,59
8:49,2729,Oliver Tot missed Jumper.,64,59
8:49,2261,A.J. Astroth Defensive Rebound.,64,59
8:39,2261,Jermaine Marrow missed Layup.,64,59
8:39,2729,Justin Pierce Defensive Rebound.,64,59
8:22,2729,Oliver Tot made Layup.,64,61
7:58,2261,Kalin Fisher made Layup.,66,61
7:29,2729,Paul Rowley made Three Point Jumper.,66,64
6:59,2261,Kalin Fisher missed Three Point Jumper.,66,64
6:59,2729,Justin Pierce Defensive Rebound.,66,64
6:51,2729,Matt Milon made Three Point Jumper. Assisted by Justin Pierce.,66,67
6:40,2261,Hampton  Timeout,66,67
6:26,2261,Kalin Fisher missed Layup.,66,67
6:26,2729,Nathan Knight Block.,66,67
6:25,2261,Charles Wilson-Fisher Offensive Rebound.,66,67
6:23,2261,Charles Wilson-Fisher missed Layup.,66,67
6:23,2729,Justin Pierce Defensive Rebound.,66,67
6:06,2729,Justin Pierce made Layup.,66,69
5:47,2261,Jermaine Marrow made Layup.,68,69
5:14,2729,Matt Milon missed Jumper.,68,69
5:14,2261,Jermaine Marrow Defensive Rebound.,68,69
4:49,2261,Jermaine Marrow made Three Point Jumper.,71,69
4:34,2729,Matt Milon missed Three Point Jumper.,71,69
4:34,2261,Kalin Fisher Defensive Rebound.,71,69
4:16,2261,Jermaine Marrow missed Jumper.,71,69
4:16,2729,Nathan Knight Defensive Rebound.,71,69
4:08,2729,David Cohn made Layup.,71,71
3:44,2261,Lysander Bracey made Three Point Jumper. Assisted by Jermaine Marrow.,74,71
3:25,2261,Foul on Lysander Bracey.,74,71
3:25,2729,Official TV Timeout,74,71
3:25,2729,Nathan Knight made Free Throw.,74,72
3:25,2729,Nathan Knight made Free Throw.,74,73
3:06,2729,Foul on Paul Rowley.,74,73
3:06,2261,Jermaine Marrow missed Free Throw.,74,73
3:06,2261,Hampton Deadball Team Rebound.,74,73
3:06,2261,Jermaine Marrow missed Free Throw.,74,73
3:06,2729,Justin Pierce Defensive Rebound.,74,73
2:51,2729,David Cohn made Layup.,74,75
2:30,2261,Jermaine Marrow missed Jumper.,74,75
2:30,2729,Paul Rowley Defensive Rebound.,74,75
2:22,2729,Justin Pierce Turnover.,74,75
2:01,2261,Trevond Barnes missed Three Point Jumper.,74,75
2:01,2729,Matt Milon Defensive Rebound.,74,75
1:34,2261,Foul on Greg Heckstall.,74,75
1:34,2729,Nathan Knight made Free Throw.,74,76
1:34,2729,Nathan Knight made Free Throw.,74,77
1:21,2261,Jermaine Marrow missed Three Point Jumper.,74,77
1:21,2729,Nathan Knight Defensive Rebound.,74,77
0:56,2261,Foul on Trevond Barnes.,74,77
0:56,2729,Matt Milon made Free Throw.,74,78
0:56,2729,Matt Milon made Free Throw.,74,79
0:54,2261,Hampton  Timeout,74,79
0:48,2261,Kalin Fisher missed Three Point Jumper.,74,79
0:48,2729,Nathan Knight Defensive Rebound.,74,79
0:45,2261,Foul on A.J. Astroth.,74,79
0:45,2729,Nathan Knight made Free Throw.,74,80
0:45,2729,Nathan Knight made Free Throw.,74,81
0:28,2729,Foul on Justin Pierce.,74,81
0:28,2261,Jermaine Marrow made Free Throw.,75,81
0:28,2261,Jermaine Marrow made Free Throw.,76,81
0:28,2261,Jermaine Marrow missed Free Throw.,76,81
0:28,2729,Paul Rowley Defensive Rebound.,76,81
0:21,2261,Foul on Akim Mitchell.,76,81
0:21,2729,Justin Pierce made Free Throw.,76,82
0:21,2729,Justin Pierce made Free Throw.,76,83
0:16,2261,Jermaine Marrow missed Three Point Jumper.,76,83
0:16,2261,Hampton Offensive Rebound.,76,83
0:05,2261,Kalin Fisher missed Jumper.,76,83
0:05,2729,Nathan Knight Defensive Rebound.,76,83
0:00,2729,End of Game,76,83
